Word	Amharic-am	Valence	Arousal	Dominance
absorbent	የሚስብ	0.552	0.394	0.718
absorbing	መሳብ	0.490	0.490	0.578
absorption	መሳብ	0.609	0.422	0.446
abstain	ተቀጣጡ	0.385	0.385	0.427
abstention	መታገል	0.271	0.264	0.509
abstinence	መታቀብ	0.260	0.392	0.429
abstract	ረቂቅ	0.438	0.292	0.444
abstraction	ማመሳከሪያ	0.469	0.439	0.525
absurd	የማይረባ	0.188	0.656	0.284
absurdity	አይቀሬነት	0.115	0.528	0.227
abundance	ብልጽግና	0.812	0.690	0.852
abundant	ብዙ	0.958	0.590	0.760
abuse	ማጎሳቆል	0.071	0.873	0.469
abused	አላግባብ ጥቅም ላይ ውሏል	0.021	0.874	0.235
abusive	የሚበድል	0.125	0.903	0.567
abutment	ማቋረጫ	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	አተላ	0.250	0.710	0.598
abyss	ጥልቁ	0.353	0.725	0.296
academic	አካዴሚ	0.781	0.420	0.812
academy	አካዴሚ	0.704	0.473	0.792
accede	የተቀበሉት	0.698	0.510	0.537
accelerant	ማስፋፊያ	0.643	0.844	0.802
accelerate	ፍጥነት	0.615	0.902	0.759
accelerated	ፍጥነት	0.610	0.812	0.682
acceleration	ፍጥነት	0.704	0.905	0.843
accelerator	ፍጥነት መጨመሪያ	0.593	0.830	0.812
accent	ዘዬ	0.598	0.357	0.509
accentuate	አጽንኦት	0.673	0.556	0.667
accept	ተቀበል	0.847	0.286	0.565
acceptable	ተቀባይነት ያለው	0.812	0.286	0.583
acceptance	ተቀባይነት	0.833	0.287	0.755
acceptances	ተቀባይነት	0.847	0.413	0.648
access	መዳረሻ	0.714	0.472	0.567
accessible	ሊደረስበት የሚችል	0.796	0.410	0.645
accession	መግባት	0.612	0.383	0.636
accessory	መለዋወጫ	0.562	0.292	0.445
accident	አደጋ	0.125	0.908	0.336
accidental	በድንገት	0.319	0.784	0.307
accidentally	በድንገት	0.333	0.741	0.333
acclaim	ማድነቅ	0.562	0.809	0.718
accolade	ሞገስ	0.688	0.591	0.775
accommodate	ማመቻቸት	0.844	0.375	0.566
accommodation	መኖሪያ ቤት	0.817	0.415	0.587
accompaniment	አጃቢ	0.740	0.479	0.695
accompany	ጋር አብሮ	0.833	0.406	0.585
accompanying	ጋር አብሮ	0.787	0.460	0.582
accomplice	ተባባሪ	0.408	0.580	0.510
accomplish	ተፈጸመ	0.929	0.673	0.816
accomplished	ተፈጽሟል	0.870	0.520	0.798
accomplishment	ስኬት	0.917	0.694	0.888
accord	ስምምነት	0.898	0.264	0.382
accordance	ተከተል	0.659	0.349	0.600
accordion	አኮርዲዮን	0.604	0.490	0.361
account	መለያ	0.531	0.347	0.472
accountability	ተጠያቂነት	0.755	0.537	0.833
accountable	ተጠያቂ	0.709	0.282	0.777
accountant	የሒሳብ ባለሙያ	0.625	0.450	0.639
accounting	ሂሳብ	0.552	0.390	0.677
accounts	መለያዎች	0.592	0.340	0.471
accredited	እውቅና አግኝቷል	0.669	0.479	0.768
accretion	ጭምር	0.448	0.519	0.672
accrue	ተጠናቋል	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	አከማች	0.573	0.536	0.607
accumulation	ማጠራቀሚያ	0.479	0.527	0.600
accuracy	ትክክለኛነት	0.604	0.481	0.802
accurate	ትክክለኛ	0.743	0.360	0.737
accursed	የተረገመ	0.135	0.745	0.345
accusation	ክስ	0.073	0.718	0.564
accusative	ተፎካካሪ	0.198	0.755	0.482
accuse	ክስ	0.133	0.752	0.500
accused	ተከሳ	0.130	0.670	0.420
accuser	ተከሳሽ	0.122	0.779	0.615
accusing	በማስመሰል	0.156	0.745	0.324
accustomed	የተለመዱ	0.542	0.365	0.441
ace	ace	0.643	0.481	0.546
acetic	አሲሲክ	0.333	0.420	0.519
acetylene	ኤትክሮይኔን	0.306	0.469	0.509
ache	ሕመም	0.146	0.760	0.312
achieve	ማግኘት	0.816	0.545	0.843
achieved	ተስኗል	0.896	0.519	0.775
achievement	ስኬት	0.896	0.808	0.759
aching	ቁጡ	0.053	0.880	0.348
achy	ቁስል	0.167	0.840	0.373
acid	አሲድ	0.265	0.642	0.566
acidity	አሲድነት	0.156	0.663	0.360
acknowledge	እውቅና ስጥ	0.786	0.370	0.661
acknowledged	እውቅና ሰጥቷል	0.714	0.443	0.765
acknowledgement	እውቅና	0.819	0.539	0.830
acknowledgment	እውቅና	0.796	0.528	0.777
acme	አሚ	0.408	0.435	0.375
acne	ብጉር	0.167	0.474	0.308
acorn	አረንጓዴ	0.448	0.198	0.192
acoustic	አኮስቲክ	0.542	0.462	0.536
acoustics	አኮስቲክ	0.611	0.330	0.509
acquaint	ያውቁ	0.646	0.491	0.639
acquaintance	የምታውቀው	0.656	0.290	0.670
acquainted	ተረድቷል	0.906	0.358	0.632
acquiescence	የፍቃደኝነት ስሜት	0.542	0.480	0.554
acquire	ማግኘት	0.833	0.468	0.700
acquiring	በማግኘት ላይ	0.735	0.510	0.817
acquisition	ግኝት	0.698	0.509	0.736
acquisitions	ግኝቶች	0.773	0.660	0.790
acquit	ፍረድ	0.583	0.571	0.611
acquittal	ፍቃድ	0.760	0.497	0.700
acre	ኤኬራ	0.583	0.387	0.423
acreage	መሬቶች	0.741	0.450	0.528
acres	ኤክስ	0.510	0.363	0.500
acrobat	acrobat	0.708	0.828	0.602
acrylic	acrylic	0.582	0.279	0.420
act	ድርጊት	0.656	0.704	0.735
acting	ሥራውን	0.698	0.643	0.500
action	ድርጊት	0.760	0.898	0.802
action figure	የእርምጃ ምስል	0.615	0.774	0.611
actionable	ሊሰራ የሚችል	0.673	0.702	0.613
activate	አግብር	0.764	0.650	0.806
activation	ማግበር	0.781	0.800	0.754
active	ገባሪ	0.847	0.730	0.731
activist	አክቲቪስት	0.531	0.653	0.877
activity	እንቅስቃሴ	0.701	0.660	0.807
actor	ተዋናይ	0.653	0.561	0.629
actress	ተዋናይ	0.633	0.556	0.596
actual	በትክክል	0.729	0.400	0.716
actuality	ወቅታዊነት	0.750	0.464	0.600
actuary	ወኪል	0.510	0.404	0.491
acuity	አከባቢ	0.469	0.378	0.741
acumen	ትይዩ	0.564	0.660	0.679
acupuncture	አኩፓንቸር	0.531	0.324	0.549
acute	አጥንት	0.427	0.652	0.534
acutely	በጥንቃቄ	0.417	0.543	0.491
ad	ማስታወቂያ	0.521	0.705	0.558
adage	ምህረት	0.517	0.415	0.566
adamant	ጠንካራ	0.344	0.529	0.575
adapt	ማስተካከል	0.740	0.355	0.551
adaptable	ተስማሚ	0.735	0.423	0.641
adaptation	ማስተካከል	0.663	0.365	0.609
add	ይጨመር	0.728	0.490	0.554
added	ታክሏል	0.562	0.405	0.509
addendum	ተጨማሪ ጽሑፍ	0.392	0.370	0.418
adder	አስደንጋጭ	0.388	0.461	0.588
addict	ሱሰኛ	0.075	0.696	0.327
addicted	ሱሰኛ	0.156	0.712	0.483
addiction	ሱስ	0.180	0.806	0.420
addictive	ሱስ	0.302	0.683	0.472
addition	ተጨማሪ	0.562	0.373	0.471
additional	ተጨማሪ	0.673	0.462	0.526
additive	additive	0.561	0.633	0.691
address	አድራሻ	0.650	0.327	0.567
addressee	የተላከ	0.622	0.382	0.538
addresses	አድራሻዎች	0.510	0.354	0.450
adept	የተዋጣለት	0.594	0.539	0.789
adequacy	በቂነት	0.615	0.435	0.702
adequate	በቂ	0.854	0.264	0.705
adhere	ተከተል	0.633	0.339	0.554
adherence	መከበር	0.760	0.307	0.630
adherent	ተከተል	0.561	0.385	0.555
adhering	ተከታትሏል	0.612	0.561	0.537
adhesion	ማጣበቅ	0.521	0.445	0.586
adhesive	ማጣበቂያ	0.604	0.350	0.413
adieu	ጥሩ	0.250	0.471	0.342
adipose	አፖፖዝ	0.333	0.350	0.391
adjacency	ተጋላጭነት	0.365	0.417	0.375
adjacent	አጠገብ	0.645	0.276	0.536
adjective	ቀጠለ	0.570	0.316	0.569
adjoining	ተያያዥነት	0.520	0.400	0.393
adjourn	መዘግየት	0.385	0.456	0.475
adjournment	መዘግየት	0.438	0.510	0.370
adjudicate	ፍርዱ	0.559	0.520	0.683
adjudication	ክርክር	0.551	0.462	0.691
adjunct	ተያያዥ	0.459	0.440	0.426
adjust	ማስተካከል	0.647	0.327	0.638
adjuster	ተቆጣጣሪ	0.510	0.540	0.760
adjustment	ማስተካከያ	0.590	0.520	0.661
adjuvant	ፈሳሽ	0.510	0.500	0.456
admin	አስተዳዳሪ	0.688	0.420	0.854
administer	አስተዳድር	0.635	0.425	0.860
administration	አስተዳደር	0.625	0.404	0.786
administrative	አስተዳደራዊ	0.542	0.415	0.579
administrator	አስተዳዳሪ	0.538	0.480	0.902
admirable	የሚደነቅ	0.929	0.600	0.870
admiral	መሐመድ	0.844	0.490	0.847
admiralty	የአድሎ ነፋስ	0.594	0.547	0.733
admiration	አድናቆት	0.969	0.583	0.726
admire	አድናቆት	0.867	0.692	0.704
admired	የተደነቀ	0.917	0.560	0.815
admirer	አድናቂ	0.796	0.720	0.650
admiring	ማድነቅ	0.867	0.578	0.629
admissibility	ተቀባይነት	0.802	0.580	0.602
admissible	ተቀባይነት ያለው	0.780	0.528	0.642
admission	መግባት	0.802	0.415	0.732
admit	እቀበላለሁ	0.538	0.423	0.667
admittance	ተቀባይነትን	0.690	0.451	0.598
admitted	ገብቷል	0.720	0.490	0.767
admitting	መከበር	0.620	0.500	0.546
admixture	ድካም	0.450	0.375	0.438
admonition	ማሳሰቢያ	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	አዋቂ	0.500	0.319	0.328
adolescence	ጉርምስና	0.487	0.694	0.444
adolescent	ጎረምሳ	0.781	0.680	0.509
adopt	ያጸድቃል	0.694	0.612	0.701
adoption	ጉዲፈቻ	0.625	0.566	0.589
adoptive	አሳዳጊ	0.531	0.469	0.520
adorable	ደስ የሚሉ	0.969	0.519	0.457
adoration	አምልኮ	0.885	0.699	0.708
adore	አጥብቆ ይወዳል	0.854	0.438	0.657
adoring	ማመስገን	0.885	0.620	0.717
adorn	ማስጌጥ	0.910	0.424	0.482
adornment	ማጌጥ	0.918	0.373	0.377
adrenalin	አድሬናሊን	0.865	0.920	0.786
adrenaline	አድሬናሊን	0.765	0.965	0.825
adrift	ወደፊትም	0.398	0.486	0.230
adult	አዋቂ	0.815	0.491	0.787
adulterated	የተሽከረከሩ	0.188	0.865	0.370
adulterer	አመንዝራ	0.229	0.814	0.407
adultery	ምንዝር	0.120	0.922	0.510
adulthood	ጎልማሳ	0.541	0.454	0.652
advance	እድገት	0.673	0.472	0.858
advanced	የላቀ	0.844	0.623	0.797
advancement	እድገት	0.776	0.650	0.839
advancing	እድገት	0.929	0.608	0.812
advantage	ጥቅል	0.917	0.548	0.859
advantageous	ጠቃሚ	0.837	0.640	0.789
advent	የመጣ	0.665	0.560	0.627
adventure	ጀብድ	0.917	0.857	0.710
adventurer	የጀግንነት ሰው	0.781	0.839	0.868
adventures	ጀብዱዎች	0.812	0.764	0.749
adventurous	የጀብደኝነት	0.969	0.898	0.722
adversary	ጠላት	0.349	0.777	0.457
adverse	ተቃራኒ	0.323	0.610	0.385
adversity	መከራ	0.276	0.760	0.538
advertise	አስተዋውቅ	0.500	0.529	0.580
advertisement	ማስታወቂያ	0.600	0.566	0.539
advertising	ማስታወቂያ	0.622	0.608	0.632
adverts	ማስታወቂያዎች	0.551	0.500	0.595
advice	ምክር	0.698	0.408	0.688
advisable	ጥሩ ነው	0.867	0.480	0.510
advise	ምክር ይስጡ	0.760	0.393	0.705
advised	ይመከራል	0.823	0.330	0.509
advisement	አማካሪ	0.698	0.235	0.655
adviser	አማካሪ	0.745	0.362	0.705
advisor	አማካሪ	0.646	0.350	0.689
advisory	አማካሪ	0.656	0.429	0.633
advocacy	ጠበቃ	0.500	0.646	0.731
advocate	ጠበቃ	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	የአየር ሁኔታ	0.550	0.500	0.433
aerial	ከአየር ላይ	0.615	0.461	0.463
aerobics	ኤሮባክ	0.708	0.771	0.627
aerodrome	አየርዶሮ	0.541	0.740	0.678
aerodynamic	የአየር ማመንጫ	0.561	0.724	0.728
aerodynamics	የአየር ማመንጫ	0.590	0.663	0.722
aeronautics	አየር መንገድ	0.551	0.633	0.688
aeroplane	አውሮፕላን	0.714	0.642	0.644
aerospace	አየር ተሸካሚ	0.643	0.520	0.779
aesthetic	ውበት	0.708	0.442	0.526
aesthetics	ማራኪ	0.847	0.327	0.549
aetiology	ኤታዊ	0.480	0.398	0.615
afar	ሩቅ	0.396	0.373	0.358
affable	ሞገስ	0.704	0.380	0.452
affair	ጉዳይ	0.520	0.459	0.657
affect	ተፅእኖ	0.458	0.569	0.578
affecting	ተጽዕኖ ማሳደሩ	0.350	0.574	0.394
affection	ፍቅር	0.898	0.559	0.696
affectionate	አፍቃሪ	0.949	0.422	0.550
affections	ፍቅር	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ማመልከት	0.469	0.584	0.526
affiliated	የተያያዘ	0.673	0.519	0.535
affiliation	ትስስር	0.615	0.594	0.500
affinity	ዝምድና	0.800	0.500	0.537
affirm	አረጋግጡ	0.745	0.509	0.731
affirmation	ማረጋገጫ	0.750	0.500	0.689
affirmative	አዎንታዊ	0.854	0.589	0.816
affirmatively	በአስተማማኝ ሁኔታ	0.908	0.500	0.811
affix	ተከታትሏል	0.438	0.335	0.411
afflict	ተጎዳ	0.302	0.555	0.293
afflicted	ተጎድቷል	0.271	0.500	0.167
affliction	መከራ	0.294	0.635	0.392
affluence	ሀብታም	0.663	0.618	0.722
affluent	ሀብታም	0.756	0.388	0.477
afford	አቅም	0.571	0.580	0.575
affordable	ዋጋው ተመጣጣኝ ነው	0.840	0.398	0.493
affront	ማስፈራራት	0.327	0.740	0.547
affronted	ተጋድሞ	0.385	0.750	0.527
afield	ድንበር	0.594	0.370	0.373
afire	እሳት	0.367	0.904	0.675
afloat	ጎርፍ	0.602	0.427	0.444
afore	በፊት	0.500	0.337	0.382
aforementioned	ቀደም ብሎ	0.490	0.316	0.408
aforesaid	ቀደም ብሎ	0.531	0.358	0.478
afraid	መፍራት	0.010	0.775	0.245
afresh	ዳግመኛ	0.643	0.521	0.480
african	አፍሪካዊ	0.490	0.423	0.555
aft	ተስፍ	0.480	0.417	0.518
afterlife	ከሕይወት በኋላ	0.571	0.567	0.568
aftermath	አስደንጋጭ	0.312	0.449	0.444
afternoon	ከሰአት	0.533	0.388	0.339
aftershave	ከኋለኛ በኋላ	0.406	0.384	0.415
aftertaste	ከኋላቸው	0.354	0.362	0.455
afterthought	ካስገባ በኋላ	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	አጋፔ	0.612	0.529	0.464
agate	አላት	0.540	0.377	0.483
age	እድሜ	0.561	0.226	0.498
aged	አሮጌ	0.135	0.365	0.236
agency	ወኪል	0.460	0.296	0.583
agenda	አጀንዳ	0.531	0.296	0.553
agent	ወኪል	0.480	0.439	0.755
agglomeration	አስገዳጅነት	0.450	0.765	0.509
aggravate	ጠነሰ	0.224	0.770	0.464
aggravated	ተባብሷል	0.079	0.760	0.430
aggravates	እየባሰ ይሄዳል	0.108	0.778	0.357
aggravating	የሚያባብስ	0.257	0.794	0.640
aggravation	መጨመር	0.071	0.784	0.613
aggregate	ድምር	0.730	0.378	0.556
aggregation	ድብልቅ	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ጠበኝነት	0.094	0.929	0.533
aggressive	ጠበኛ	0.125	0.949	0.648
aggressively	በኃይል	0.250	0.926	0.688
aggressiveness	ግልፍተኝነት	0.077	0.913	0.648
aggressor	አጥቂ	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	በጣም አስደንጋጭ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ቀልጣፋ	0.800	0.657	0.775
agility	ተለዋዋጭነት	0.720	0.702	0.815
aging	እርጅና	0.214	0.255	0.284
agitate	ተነሣ	0.300	0.796	0.593
agitated	ተበሳጨ	0.444	0.882	0.491
agitation	አስፈሪነት	0.240	0.931	0.447
aglow	ድካም	0.780	0.510	0.797
agnostic	አግኖስቲክ	0.306	0.396	0.574
ago	በፊት	0.317	0.280	0.404
agonizing	አስጨናቂ	0.083	0.800	0.340
agony	ሥቃይ	0.083	0.775	0.393
agoraphobia	አፍራፎባቢያ	0.127	0.712	0.438
agree	ተስማማ	0.906	0.260	0.545
agreeable	ተስማሚ	0.906	0.500	0.696
agreed	ተስማምተዋል	0.797	0.449	0.574
agreeing	በመስማማት	0.854	0.480	0.557
agreement	ስምምነት	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ግብርና	0.686	0.321	0.473
agriculture	ግብርና	0.640	0.357	0.465
aground	ድንበር	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ወደፊት	0.708	0.520	0.673
ahhh	አሃህ	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	አዮው	0.500	0.497	0.380
aid	እርዳታ	0.796	0.491	0.541
aide	እርዳታ	0.724	0.342	0.434
aiding	እርዳታ መስጠት	0.643	0.533	0.569
aids	እርዳታዎች	0.561	0.480	0.500
ail	ደቃ	0.375	0.434	0.385
ailing	ታማሚ	0.094	0.518	0.153
ailment	በሽታን	0.146	0.734	0.277
aim	ዓላማው	0.481	0.569	0.567
aimless	ማለቂያ የሌለው	0.150	0.267	0.183
air	አየር	0.708	0.163	0.427
airbag	ማቀፊያ	0.510	0.402	0.433
airborne	አየር ወለድ	0.542	0.519	0.385
aircraft	አውሮፕላን	0.646	0.644	0.691
aircraft carrier	የአውሮፕላን ተሸካሚ	0.490	0.740	0.727
airfield	የአየር ማረፊያ	0.601	0.650	0.645
airhead	አየር ወለድ	0.271	0.481	0.276
airlift	አውሮፕላን	0.573	0.622	0.642
airline	አየር መንገድ	0.650	0.482	0.688
airliner	አውሮፕላን	0.667	0.777	0.647
airlock	የጭንጭር	0.398	0.520	0.447
airman	አየር ማረፊያ	0.587	0.716	0.721
airplane	አውሮፕላን	0.719	0.702	0.708
airport	አየር ማረፊያ	0.729	0.684	0.682
airs	አየር	0.583	0.196	0.370
airship	የአየር ማረፊያ	0.542	0.472	0.529
airspace	የአየር መተላለፊያ	0.562	0.510	0.640
airspeed	አውሮፕኪን	0.583	0.780	0.544
airstrip	የአውሮፕላን ማረፊያ	0.550	0.690	0.649
airtight	አየር ንብረት	0.479	0.381	0.570
airway	የአየር መንገድ	0.638	0.585	0.482
aisle	መሀል	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ተዛማጅ	0.639	0.343	0.523
alabaster	አልባስተር	0.542	0.404	0.445
alarm	ማንቂያ	0.241	0.882	0.698
alarm clock	ማንቂያ ደውል	0.542	0.727	0.642
alarmed	ተረብሾ ነበር	0.188	0.822	0.492
alarming	አስደንጋጭ	0.204	0.890	0.585
alas	እሰይ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	አልባትሮስ	0.500	0.445	0.527
albino	አልቢዮኖ	0.500	0.240	0.358
album	አልበም	0.635	0.349	0.453
alchemy	አርቲሞኒ	0.541	0.583	0.693
alcohol	አልኮል	0.323	0.667	0.377
alcoholic	የአልኮል	0.153	0.688	0.361
alcoholism	የአልኮል ሱሰኝነት	0.061	0.779	0.407
alcove	የአልኮል መጠጥ	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ማስጠንቀቂያ	0.479	0.820	0.648
alertness	ጥንቃቄ	0.375	0.875	0.750
alerts	ማንቂያዎች	0.337	0.804	0.673
alfalfa	አልፋልፋ	0.546	0.250	0.311
algebra	አልጀብራ	0.440	0.340	0.565
algebraic	አልጀብራ	0.531	0.412	0.441
algorithm	ስልተ ቀመር	0.448	0.394	0.559
alias	ቅጽል ስም	0.541	0.353	0.333
alibi	ሕገ-ወጥነት	0.396	0.528	0.556
alien	እንግዳ	0.410	0.615	0.491
alienate	ተገለለ	0.247	0.500	0.523
alienated	ተገልጧል	0.410	0.423	0.559
alienation	ዝውውር	0.378	0.530	0.462
alight	ድንገት	0.667	0.657	0.605
align	አሰልፍ	0.656	0.364	0.627
aligned	አሰልፍ	0.583	0.275	0.553
alignment	አሰላለፍ	0.643	0.412	0.683
alike	ልክ ነህ	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ገንዘብ አያያዝ	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	በሕይወት ያለ	0.816	0.637	0.731
alkali	አልካሊያ	0.490	0.350	0.408
alkaloids	አልኮሎላይድስ	0.433	0.562	0.402
allay	ፍፁም	0.417	0.406	0.398
allegation	ክስ	0.578	0.578	0.608
allege	አለቅ አለ	0.418	0.482	0.587
alleged	ተከሰሰ	0.365	0.522	0.520
allegiance	ታማኝነት	0.917	0.398	0.750
allegorical	ተምሳሌታዊ	0.517	0.558	0.598
allegory	ተምሳሌት	0.615	0.580	0.509
allegro	አልጀግሮ	0.635	0.627	0.453
allergic	አለርጂ	0.135	0.549	0.273
allergy	አለርጂ	0.296	0.606	0.389
alleviate	ተጎዳ	0.869	0.270	0.528
alleviation	መቀነስ	0.735	0.200	0.491
alley	ዞረው	0.347	0.500	0.355
alleyway	መስቀለኛ መንገድ	0.357	0.471	0.382
alliance	ትብብር	0.696	0.473	0.769
allied	ተባባሪ	0.714	0.245	0.642
alligator	ሐይቅ	0.354	0.704	0.645
allocate	መድብ	0.673	0.462	0.672
allocation	ምደባ	0.604	0.388	0.679
allot	ወሰን	0.622	0.481	0.616
allotment	መከፋፈል	0.600	0.390	0.640
allow	ፍቀድ	0.698	0.429	0.538
allowable	ፍቃድ	0.698	0.500	0.561
allowance	ተቆራጭ	0.673	0.382	0.591
allowed	ተፈቅዷል	0.730	0.360	0.655
alloy	መቀመጫ	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ልምምድ	0.804	0.585	0.686
alluring	ማራኪ	0.837	0.745	0.843
allusion	ጠቃሽ	0.440	0.308	0.462
alluvial	የከብት ዝርያ	0.323	0.490	0.491
ally	ተባባሪ	0.792	0.320	0.688
almanac	አልማናክ	0.688	0.190	0.412
almighty	ሁሉን ቻይ	0.938	0.874	0.958
almond	አልማ	0.698	0.183	0.314
aloft	ከፍ ያለ	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ብቻ	0.333	0.167	0.216
alongside	እዚያው	0.458	0.333	0.347
aloof	ያለጠባቂ	0.189	0.423	0.302
aloud	ጮክ ብሎ	0.458	0.713	0.750
alpha	አልፋ	0.708	0.340	0.755
alphabet	ፊደል	0.562	0.204	0.672
alphabetical	በፊደል ተራ	0.537	0.296	0.535
alpine	አልፓይን	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	መሠዊያ	0.724	0.387	0.635
altar boy	መሠዊያ ልጅ	0.434	0.206	0.350
alter	ተለወጠ	0.333	0.694	0.654
alteration	ለውጥ	0.167	0.798	0.609
altercation	ውርወራ	0.170	0.806	0.500
altered	ተለወጠ	0.255	0.765	0.500
alternate	ተለዋጭ	0.625	0.363	0.589
alternating	ተለዋጭ	0.480	0.494	0.542
alternative	አማራጭ	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	ከፍታ	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	በሙሉ	0.833	0.324	0.644
aluminum	አልሙኒየም	0.449	0.280	0.434
alumnus	ባለ ስልኮች	0.633	0.368	0.422
alveolar	አልቫልቫል	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	ፎልጋም	0.438	0.333	0.510
amalgamation	ድብልቅነት	0.406	0.470	0.531
amaretto	አሚራቶ	0.543	0.551	0.375
amass	አምሳ	0.552	0.465	0.465
amateur	ሞኒተር	0.469	0.500	0.409
amaze	ይደንቁ	0.896	0.843	0.783
amazed	ተገርሟል	0.796	0.779	0.533
amazedness	አስደንጋጭ	0.827	0.872	0.510
amazement	ተገርሜ	0.750	0.800	0.639
