Word	Pashto-ps	Valence	Arousal	Dominance
adept	مننه	0.594	0.539	0.789
adequacy	کافیتوب	0.615	0.435	0.702
adequate	کافی	0.854	0.264	0.705
adhere	تعقیب	0.633	0.339	0.554
adherence	تعقیب	0.760	0.307	0.630
adherent	مننه	0.561	0.385	0.555
adhering	تعقیب	0.612	0.561	0.537
adhesion	عضوي	0.521	0.445	0.586
adhesive	چپکشی	0.604	0.350	0.413
adieu	اډییو	0.250	0.471	0.342
adipose	زېرمه	0.333	0.350	0.391
adjacency	نږدې	0.365	0.417	0.375
adjacent	نږدې	0.645	0.276	0.536
adjective	صفت	0.570	0.316	0.569
adjoining	نښلول	0.520	0.400	0.393
adjourn	ځنډول	0.385	0.456	0.475
adjournment	اختلاط	0.438	0.510	0.370
adjudicate	پرځای کیدل	0.559	0.520	0.683
adjudication	محکمه	0.551	0.462	0.691
adjunct	ضمیمه	0.459	0.440	0.426
adjust	سمون	0.647	0.327	0.638
adjuster	پلستر	0.510	0.540	0.760
adjustment	سمون	0.590	0.520	0.661
adjuvant	نږدې	0.510	0.500	0.456
admin	اداره	0.688	0.420	0.854
administer	اداره کول	0.635	0.425	0.860
administration	اداره	0.625	0.404	0.786
administrative	اداري	0.542	0.415	0.579
administrator	مدیر	0.538	0.480	0.902
admirable	منلو وړ	0.929	0.600	0.870
admiral	ایڈمریل	0.844	0.490	0.847
admiralty	اطمینان	0.594	0.547	0.733
admiration	ستاینه	0.969	0.583	0.726
admire	اطمینان	0.867	0.692	0.704
admired	مننه	0.917	0.560	0.815
admirer	مدافع وکیل	0.796	0.720	0.650
admiring	مننه	0.867	0.578	0.629
admissibility	اطمینان	0.802	0.580	0.602
admissible	منونکی	0.780	0.528	0.642
admission	داخلیدل	0.802	0.415	0.732
admit	اعتراف وکړئ	0.538	0.423	0.667
admittance	اعتراف	0.690	0.451	0.598
admitted	منل شوی	0.720	0.490	0.767
admitting	اعتراف کول	0.620	0.500	0.546
admixture	اطمینان	0.450	0.375	0.438
admonition	نصيحت	0.357	0.606	0.455
ado	اډو	0.520	0.423	0.385
adobe	ایڈوب	0.500	0.319	0.328
adolescence	تناسب	0.487	0.694	0.444
adolescent	ځوانان	0.781	0.680	0.509
adopt	منل	0.694	0.612	0.701
adoption	منل	0.625	0.566	0.589
adoptive	منل	0.531	0.469	0.520
adorable	د زړه وړ	0.969	0.519	0.457
adoration	دود	0.885	0.699	0.708
adore	خوښېږي	0.854	0.438	0.657
adoring	زړورتیا	0.885	0.620	0.717
adorn	زوره	0.910	0.424	0.482
adornment	زوړ	0.918	0.373	0.377
adrenalin	ایډرینالین	0.865	0.920	0.786
adrenaline	اېډرینینالین	0.765	0.965	0.825
adrift	زړورتیا	0.398	0.486	0.230
adult	بالغ	0.815	0.491	0.787
adulterated	زنا	0.188	0.865	0.370
adulterer	زنا	0.229	0.814	0.407
adultery	زنا	0.120	0.922	0.510
adulthood	زوړ	0.541	0.454	0.652
advance	مخکی	0.673	0.472	0.858
advanced	پرمختللی	0.844	0.623	0.797
advancement	پرمختګ	0.776	0.650	0.839
advancing	پرمختګ	0.929	0.608	0.812
advantage	ګټې	0.917	0.548	0.859
advantageous	ګټور	0.837	0.640	0.789
advent	راغلی	0.665	0.560	0.627
adventure	کړنه	0.917	0.857	0.710
adventurer	کونکي	0.781	0.839	0.868
adventures	تګلاره	0.812	0.764	0.749
adventurous	ناڅاپه	0.969	0.898	0.722
adversary	مخالف	0.349	0.777	0.457
adverse	منفي	0.323	0.610	0.385
adversity	سختۍ	0.276	0.760	0.538
advertise	اعلان کول	0.500	0.529	0.580
advertisement	اعلان	0.600	0.566	0.539
advertising	اعلان کول	0.622	0.608	0.632
adverts	خپروي	0.551	0.500	0.595
advice	مشوره	0.698	0.408	0.688
advisable	مشوره ورکول	0.867	0.480	0.510
advise	مشوره	0.760	0.393	0.705
advised	مشوره ورکول	0.823	0.330	0.509
advisement	مشوره	0.698	0.235	0.655
adviser	مشاور	0.745	0.362	0.705
advisor	مشاور	0.646	0.350	0.689
advisory	مشورتي	0.656	0.429	0.633
advocacy	مدافع وکیل	0.500	0.646	0.731
advocate	مدافع وکیل	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	هوا	0.550	0.500	0.433
aerial	هوایی	0.615	0.461	0.463
aerobics	هوایی	0.708	0.771	0.627
aerodrome	هواییوم	0.541	0.740	0.678
aerodynamic	هوایی	0.561	0.724	0.728
aerodynamics	هوایی ډګرونه	0.590	0.663	0.722
aeronautics	هوایی	0.551	0.633	0.688
aeroplane	هوایی الوتکه	0.714	0.642	0.644
aerospace	هوایی ډګر	0.643	0.520	0.779
aesthetic	جمالات	0.708	0.442	0.526
aesthetics	جمالیات	0.847	0.327	0.549
aetiology	ایټیولوژی	0.480	0.398	0.615
afar	په	0.396	0.373	0.358
affable	اغېزمن	0.704	0.380	0.452
affair	معامله	0.520	0.459	0.657
affect	اغیزه کوي	0.458	0.569	0.578
affecting	اغیزه کوي	0.350	0.574	0.394
affection	وینه	0.898	0.559	0.696
affectionate	مننه	0.949	0.422	0.550
affections	تاثیرات	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ایډیډیټیټ	0.469	0.584	0.526
affiliated	تړل شوی	0.673	0.519	0.535
affiliation	تړاو	0.615	0.594	0.500
affinity	تاثیر	0.800	0.500	0.537
affirm	اعتبار	0.745	0.509	0.731
affirmation	تایید	0.750	0.500	0.689
affirmative	مثبت	0.854	0.589	0.816
affirmatively	په مؤثره توګه	0.908	0.500	0.811
affix	اشکس	0.438	0.335	0.411
afflict	زیان رسوي	0.302	0.555	0.293
afflicted	زیانمن شوی	0.271	0.500	0.167
affliction	تاوان	0.294	0.635	0.392
affluence	تاثیر	0.663	0.618	0.722
affluent	هوساینه	0.756	0.388	0.477
afford	لګښت	0.571	0.580	0.575
affordable	ارزانه	0.840	0.398	0.493
affront	مخکی	0.327	0.740	0.547
affronted	سرغړونه	0.385	0.750	0.527
afield	ځمکه	0.594	0.370	0.373
afire	یو اور	0.367	0.904	0.675
afloat	افریقی	0.602	0.427	0.444
afore	مخکې	0.500	0.337	0.382
aforementioned	وړاندې شوي	0.490	0.316	0.408
aforesaid	مخکې له دې	0.531	0.358	0.478
afraid	ویره	0.010	0.775	0.245
afresh	نویش	0.643	0.521	0.480
african	افريقا	0.490	0.423	0.555
aft	af	0.480	0.417	0.518
afterlife	وروسته ژوند	0.571	0.567	0.568
aftermath	وروسته	0.312	0.449	0.444
afternoon	دوشنبه	0.533	0.388	0.339
aftershave	افتر	0.406	0.384	0.415
aftertaste	وروسته	0.354	0.362	0.455
afterthought	وروسته	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	اېډیپ	0.612	0.529	0.464
agate	عمر	0.540	0.377	0.483
age	عمر	0.561	0.226	0.498
aged	عمر	0.135	0.365	0.236
agency	اداره	0.460	0.296	0.583
agenda	اجنډا	0.531	0.296	0.553
agent	استازی	0.480	0.439	0.755
agglomeration	د ګوتو کول	0.450	0.765	0.509
aggravate	زړورتیا	0.224	0.770	0.464
aggravated	زړور شوی	0.079	0.760	0.430
aggravates	اجنډا	0.108	0.778	0.357
aggravating	زغم	0.257	0.794	0.640
aggravation	زړورتیا	0.071	0.784	0.613
aggregate	مجموعي	0.730	0.378	0.556
aggregation	راغونډول	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	يرغل	0.094	0.929	0.533
aggressive	تیریدونکی	0.125	0.949	0.648
aggressively	په چټکۍ سره	0.250	0.926	0.688
aggressiveness	تیریدونکی	0.077	0.913	0.648
aggressor	یرغلګر	0.146	0.948	0.823
agh	ی	0.260	0.500	0.400
aghast	عاجل	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ټوپک	0.800	0.657	0.775
agility	چټکۍ	0.720	0.702	0.815
aging	عمر	0.214	0.255	0.284
agitate	خواخوږي	0.300	0.796	0.593
agitated	ژغورل شوی	0.444	0.882	0.491
agitation	حرکت	0.240	0.931	0.447
aglow	زاړه	0.780	0.510	0.797
agnostic	اجنټیکیک	0.306	0.396	0.574
ago	مخکې	0.317	0.280	0.404
agonizing	ژوندی کول	0.083	0.800	0.340
agony	ظلم	0.083	0.775	0.393
agoraphobia	اراوروفیا	0.127	0.712	0.438
agree	موافقه وکړه	0.906	0.260	0.545
agreeable	منونکی	0.906	0.500	0.696
agreed	موافق دی	0.797	0.449	0.574
agreeing	موافق	0.854	0.480	0.557
agreement	تړون	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	کرنه	0.686	0.321	0.473
agriculture	کرهنه	0.640	0.357	0.465
aground	زمکه	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	مخکې	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	آه	0.500	0.497	0.380
aid	مرستې	0.796	0.491	0.541
aide	مرسته	0.724	0.342	0.434
aiding	مرستې	0.643	0.533	0.569
aids	مرستې	0.561	0.480	0.500
ail	زی	0.375	0.434	0.385
ailing	تاو	0.094	0.518	0.153
ailment	زیان	0.146	0.734	0.277
aim	موخه	0.481	0.569	0.567
aimless	مقاصد	0.150	0.267	0.183
air	هوا	0.708	0.163	0.427
airbag	هوایی	0.510	0.402	0.433
airborne	هوایی	0.542	0.519	0.385
aircraft	الوتکه	0.646	0.644	0.691
aircraft carrier	د الوتکې وړونکي	0.490	0.740	0.727
airfield	هوایی ډګر	0.601	0.650	0.645
airhead	هوایږی	0.271	0.481	0.276
airlift	هوایی ډګر	0.573	0.622	0.642
airline	هوایی کرښه	0.650	0.482	0.688
airliner	هوایی ډګر	0.667	0.777	0.647
airlock	هوایی	0.398	0.520	0.447
airman	هوایی	0.587	0.716	0.721
airplane	هوایی الوتکه	0.719	0.702	0.708
airport	هوايي ډګر	0.729	0.684	0.682
airs	هوا	0.583	0.196	0.370
airship	هوایی ډګر	0.542	0.472	0.529
airspace	هوايي ډګر	0.562	0.510	0.640
airspeed	هوایې شوی	0.583	0.780	0.544
airstrip	هوایی ډګر	0.550	0.690	0.649
airtight	هوایی	0.479	0.381	0.570
airway	هوایی لاره	0.638	0.585	0.482
aisle	لياره	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	اکا	0.459	0.358	0.351
akin	ډک	0.639	0.343	0.523
alabaster	الاباسټر	0.542	0.404	0.445
alarm	خطر	0.241	0.882	0.698
alarm clock	د خبرتیا ساعت	0.542	0.727	0.642
alarmed	اندیښنه	0.188	0.822	0.492
alarming	خطرناکه	0.204	0.890	0.585
alas	افسوس	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	البتهټراس	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	البوم	0.635	0.349	0.453
alchemy	کیمیا	0.541	0.583	0.693
alcohol	الکول	0.323	0.667	0.377
alcoholic	الکوليک	0.153	0.688	0.361
alcoholism	شراب	0.061	0.779	0.407
alcove	الکول	0.490	0.340	0.356
alderman	الفدرمن	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	خبرتیا	0.479	0.820	0.648
alertness	خبرتیا	0.375	0.875	0.750
alerts	خبرتیاوې	0.337	0.804	0.673
alfalfa	الففا	0.546	0.250	0.311
algebra	الګراه	0.440	0.340	0.565
algebraic	جغرافیه	0.531	0.412	0.441
algorithm	الګوریتم	0.448	0.394	0.559
alias	عرفان	0.541	0.353	0.333
alibi	البيبي	0.396	0.528	0.556
alien	اجنډا	0.410	0.615	0.491
alienate	بې ځایه	0.247	0.500	0.523
alienated	پاتې شوی	0.410	0.423	0.559
alienation	جغرافیه	0.378	0.530	0.462
alight	الیټ	0.667	0.657	0.605
align	برابرول	0.656	0.364	0.627
aligned	تړل شوی	0.583	0.275	0.553
alignment	پواسطه	0.643	0.412	0.683
alike	ورته	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	کمښت	0.612	0.477	0.464
aliquot	غیر قانوني	0.440	0.310	0.404
alive	ژوندی	0.816	0.637	0.731
alkali	الکالي	0.490	0.350	0.408
alkaloids	الکوسایډونه	0.433	0.562	0.402
allay	ټولی	0.417	0.406	0.398
allegation	تورونه	0.578	0.578	0.608
allege	ادعا کوي	0.418	0.482	0.587
alleged	ادعا شوې	0.365	0.522	0.520
allegiance	بيعت	0.917	0.398	0.750
allegorical	تورونه	0.517	0.558	0.598
allegory	تورونه	0.615	0.580	0.509
allegro	تورات	0.635	0.627	0.453
allergic	الرجی	0.135	0.549	0.273
allergy	الرښود	0.296	0.606	0.389
alleviate	کم کړئ	0.869	0.270	0.528
alleviation	کمول	0.735	0.200	0.491
alley	ګلی	0.347	0.500	0.355
alleyway	الوتونکي	0.357	0.471	0.382
alliance	اتحاد	0.696	0.473	0.769
allied	متحد	0.714	0.245	0.642
alligator	غصب	0.354	0.704	0.645
allocate	تخصیص وکړئ	0.673	0.462	0.672
allocation	تخصیص	0.604	0.388	0.679
allot	ډار	0.622	0.481	0.616
allotment	تخصیص	0.600	0.390	0.640
allow	اجازه ورکړئ	0.698	0.429	0.538
allowable	اجازه ورکول کیږي	0.698	0.500	0.561
allowance	تاوان	0.673	0.382	0.591
allowed	اجازه ورکړل شوی	0.730	0.360	0.655
alloy	مصر	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	جذب	0.804	0.585	0.686
alluring	غوره کول	0.837	0.745	0.843
allusion	انډول	0.440	0.308	0.462
alluvial	تاوول	0.323	0.490	0.491
ally	اتحادیه	0.792	0.320	0.688
almanac	المانیک	0.688	0.190	0.412
almighty	قوي	0.938	0.874	0.958
almond	بادام	0.698	0.183	0.314
aloft	الړ	0.771	0.373	0.700
aloha	الیا	0.698	0.440	0.441
alone	یوازې	0.333	0.167	0.216
alongside	سره یوځای	0.458	0.333	0.347
aloof	الف	0.189	0.423	0.302
aloud	ژوره	0.458	0.713	0.750
alpha	الفا	0.708	0.340	0.755
alphabet	الف	0.562	0.204	0.672
alphabetical	الف	0.537	0.296	0.535
alpine	الپین	0.594	0.337	0.474
alreadyyyyy	هیریایی	0.592	0.717	0.351
altar	قربانګاه	0.724	0.387	0.635
altar boy	د قربانۍ هلک	0.434	0.206	0.350
alter	بدل کړئ	0.333	0.694	0.654
alteration	بدلون	0.167	0.798	0.609
altercation	تکرار	0.170	0.806	0.500
altered	بدل شوی	0.255	0.765	0.500
alternate	بدله	0.625	0.363	0.589
alternating	بدله	0.480	0.494	0.542
alternative	بدیل	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	اونۍ	0.708	0.482	0.736
alto	الف	0.656	0.404	0.730
altogether	په بشپړ ډول	0.833	0.324	0.644
aluminum	ایلومینیم	0.449	0.280	0.434
alumnus	ژمي	0.633	0.368	0.422
alveolar	الیولورډ	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	امالګام	0.438	0.333	0.510
amalgamation	املاګونه	0.406	0.470	0.531
amaretto	اماراتو	0.543	0.551	0.375
amass	اماس	0.552	0.465	0.465
amateur	شوکیا	0.469	0.500	0.409
amaze	حیرانتیا	0.896	0.843	0.783
amazed	حیرانتیا	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	حیرانتیا	0.750	0.800	0.639
amazing	حیرانتیا	0.906	0.837	0.849
amazingly	حیرانتیا	0.918	0.765	0.920
ambassador	سفیر	0.651	0.529	0.917
amber	امبر	0.635	0.308	0.369
ambience	خوندیتوب	0.735	0.356	0.426
ambient	محیط	0.625	0.360	0.582
ambiguity	ناڅاپي	0.164	0.460	0.370
ambiguous	ناڅاپه	0.265	0.462	0.358
ambit	میړه	0.479	0.380	0.386
ambition	خوځښت	0.510	0.804	0.661
ambitious	لویه	0.484	0.821	0.717
ambivalent	ناڅاپه	0.510	0.404	0.482
ambrosia	مونډوز	0.571	0.452	0.480
ambulance	امبولانس	0.500	0.750	0.609
ambush	زخم	0.281	0.830	0.500
ameliorate	منځ ته راوړل	0.770	0.548	0.747
amen	امین	0.781	0.182	0.542
amenable	منونکی	0.448	0.410	0.406
amend	تعدیل	0.688	0.406	0.658
amendment	تعدیل	0.531	0.459	0.606
amends	تعهد	0.640	0.366	0.517
amenity	نوبت	0.750	0.327	0.574
amethyst	ناببره	0.622	0.406	0.517
amiable	امیر	0.847	0.290	0.483
amicable	ښایسته	0.875	0.330	0.507
amid	په منځ کې	0.510	0.340	0.256
amidst	د	0.480	0.330	0.316
amino	امينو	0.551	0.402	0.433
ammo	امو	0.323	0.765	0.621
ammonia	امونیا	0.292	0.587	0.409
ammonium	امونیم	0.354	0.396	0.368
ammunition	مهمات	0.338	0.635	0.667
amnesia	امونیا	0.296	0.330	0.308
amnesty	بخښنه	0.551	0.451	0.814
amorous	بدمرغه	0.844	0.670	0.636
amorphous	ناڅاپه	0.327	0.402	0.349
amortization	ځړول	0.592	0.491	0.522
amount	مقدار	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	امپراتور	0.480	0.448	0.483
amphetamines	امفافامینونه	0.133	0.667	0.526
amphibian	امفابین	0.427	0.357	0.474
amphibious	افسوس	0.479	0.346	0.445
amphitheater	امفیتهټر	0.653	0.480	0.545
ample	ښه	0.744	0.349	0.719
amplification	تطبیق	0.690	0.677	0.810
amplify	پرمختللی	0.677	0.735	0.827
amplitude	پراخوالى	0.694	0.439	0.692
amply	بس	0.781	0.431	0.766
amputate	ناڅاپه	0.092	0.660	0.509
amputation	تاوان	0.100	0.755	0.483
amuck	خوله	0.385	0.602	0.321
amulet	غوږۍ	0.781	0.260	0.630
amuse	بښنه	0.812	0.684	0.664
amused	مننه	0.942	0.847	0.596
