Word	Macedonian-mk	Valence	Arousal	Dominance
adjourn	одложување	0.385	0.456	0.475
adjournment	одложување	0.438	0.510	0.370
adjudicate	судијата	0.559	0.520	0.683
adjudication	пресуда	0.551	0.462	0.691
adjunct	додаток	0.459	0.440	0.426
adjust	прилагоди	0.647	0.327	0.638
adjuster	регулатор	0.510	0.540	0.760
adjustment	прилагодување	0.590	0.520	0.661
adjuvant	адјувантна	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	администрирај	0.635	0.425	0.860
administration	администрација	0.625	0.404	0.786
administrative	административно	0.542	0.415	0.579
administrator	администратор	0.538	0.480	0.902
admirable	восхитувачки	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	адмиралитет	0.594	0.547	0.733
admiration	восхит	0.969	0.583	0.726
admire	му се восхитувам	0.867	0.692	0.704
admired	восхитуван	0.917	0.560	0.815
admirer	обожавател	0.796	0.720	0.650
admiring	се восхитував	0.867	0.578	0.629
admissibility	допуштеност	0.802	0.580	0.602
admissible	допуштена	0.780	0.528	0.642
admission	прием	0.802	0.415	0.732
admit	признаам	0.538	0.423	0.667
admittance	прием	0.690	0.451	0.598
admitted	призна	0.720	0.490	0.767
admitting	признавајќи	0.620	0.500	0.546
admixture	мешавина	0.450	0.375	0.438
admonition	опомена	0.357	0.606	0.455
ado	Адо	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	адолесценција	0.487	0.694	0.444
adolescent	адолесцент	0.781	0.680	0.509
adopt	прифати	0.694	0.612	0.701
adoption	посвојување	0.625	0.566	0.589
adoptive	посвојувач	0.531	0.469	0.520
adorable	симпатична	0.969	0.519	0.457
adoration	обожување	0.885	0.699	0.708
adore	обожавам	0.854	0.438	0.657
adoring	обожавајќи се	0.885	0.620	0.717
adorn	украсен	0.910	0.424	0.482
adornment	украсување	0.918	0.373	0.377
adrenalin	адреналин	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	бегам	0.398	0.486	0.230
adult	возрасен	0.815	0.491	0.787
adulterated	развратен	0.188	0.865	0.370
adulterer	прељубник	0.229	0.814	0.407
adultery	прељуба	0.120	0.922	0.510
adulthood	зрелоста	0.541	0.454	0.652
advance	однапред	0.673	0.472	0.858
advanced	напредни	0.844	0.623	0.797
advancement	напредок	0.776	0.650	0.839
advancing	унапредување	0.929	0.608	0.812
advantage	предност	0.917	0.548	0.859
advantageous	поволна	0.837	0.640	0.789
advent	доаѓањето	0.665	0.560	0.627
adventure	авантура	0.917	0.857	0.710
adventurer	авантурист	0.781	0.839	0.868
adventures	авантури	0.812	0.764	0.749
adventurous	авантуристички	0.969	0.898	0.722
adversary	противник	0.349	0.777	0.457
adverse	негативни	0.323	0.610	0.385
adversity	катастрофа	0.276	0.760	0.538
advertise	рекламирај	0.500	0.529	0.580
advertisement	реклама	0.600	0.566	0.539
advertising	рекламирање	0.622	0.608	0.632
adverts	реклами	0.551	0.500	0.595
advice	совет	0.698	0.408	0.688
advisable	препорачливо	0.867	0.480	0.510
advise	советува	0.760	0.393	0.705
advised	советува	0.823	0.330	0.509
advisement	советување	0.698	0.235	0.655
adviser	советник	0.745	0.362	0.705
advisor	советник	0.646	0.350	0.689
advisory	советодавни	0.656	0.429	0.633
advocacy	застапување	0.500	0.646	0.731
advocate	се залага	0.551	0.530	0.818
aegis	Aegis	0.490	0.439	0.462
aeration	аерација	0.550	0.500	0.433
aerial	антена	0.615	0.461	0.463
aerobics	аеробик	0.708	0.771	0.627
aerodrome	аеродром	0.541	0.740	0.678
aerodynamic	аеродинамичен	0.561	0.724	0.728
aerodynamics	аеродинамика	0.590	0.663	0.722
aeronautics	аеронаутика	0.551	0.633	0.688
aeroplane	авион	0.714	0.642	0.644
aerospace	воздушната	0.643	0.520	0.779
aesthetic	естетски	0.708	0.442	0.526
aesthetics	естетика	0.847	0.327	0.549
aetiology	етиологија	0.480	0.398	0.615
afar	далеку	0.396	0.373	0.358
affable	љубезен	0.704	0.380	0.452
affair	афера	0.520	0.459	0.657
affect	влијаат	0.458	0.569	0.578
affecting	влијаат	0.350	0.574	0.394
affection	љубов	0.898	0.559	0.696
affectionate	приврзан	0.949	0.422	0.550
affections	наклонетост	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	писмена изјава	0.469	0.584	0.526
affiliated	поврзани	0.673	0.519	0.535
affiliation	припадност	0.615	0.594	0.500
affinity	афинитет	0.800	0.500	0.537
affirm	потврди	0.745	0.509	0.731
affirmation	афирмација	0.750	0.500	0.689
affirmative	потврден	0.854	0.589	0.816
affirmatively	потврдно	0.908	0.500	0.811
affix	афиширај	0.438	0.335	0.411
afflict	вознемири	0.302	0.555	0.293
afflicted	погодени	0.271	0.500	0.167
affliction	болка	0.294	0.635	0.392
affluence	изобилство	0.663	0.618	0.722
affluent	богат	0.756	0.388	0.477
afford	да си дозволи	0.571	0.580	0.575
affordable	прифатлива	0.840	0.398	0.493
affront	навреда	0.327	0.740	0.547
affronted	афектирано	0.385	0.750	0.527
afield	полека	0.594	0.370	0.373
afire	пожар	0.367	0.904	0.675
afloat	живот	0.602	0.427	0.444
afore	претходно	0.500	0.337	0.382
aforementioned	горенаведеното	0.490	0.316	0.408
aforesaid	претходно	0.531	0.358	0.478
afraid	се плаши	0.010	0.775	0.245
afresh	одново	0.643	0.521	0.480
african	африканско	0.490	0.423	0.555
aft	назад	0.480	0.417	0.518
afterlife	задгробен живот	0.571	0.567	0.568
aftermath	последиците	0.312	0.449	0.444
afternoon	попладне	0.533	0.388	0.339
aftershave	последици	0.406	0.384	0.415
aftertaste	послевкус	0.354	0.362	0.455
afterthought	после тоа	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	возраст	0.561	0.226	0.498
aged	на возраст	0.135	0.365	0.236
agency	агенција	0.460	0.296	0.583
agenda	агенда	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агломерација	0.450	0.765	0.509
aggravate	влоши	0.224	0.770	0.464
aggravated	отежнат	0.079	0.760	0.430
aggravates	влошува	0.108	0.778	0.357
aggravating	отежнувачки	0.257	0.794	0.640
aggravation	влошување	0.071	0.784	0.613
aggregate	агрегат	0.730	0.378	0.556
aggregation	агрегација	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агресија	0.094	0.929	0.533
aggressive	агресивен	0.125	0.949	0.648
aggressively	агресивно	0.250	0.926	0.688
aggressiveness	агресивност	0.077	0.913	0.648
aggressor	агресор	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	вознемирен	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	агилен	0.800	0.657	0.775
agility	агилност	0.720	0.702	0.815
aging	стареење	0.214	0.255	0.284
agitate	агитира	0.300	0.796	0.593
agitated	вознемирен	0.444	0.882	0.491
agitation	агитација	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	агностички	0.306	0.396	0.574
ago	пред	0.317	0.280	0.404
agonizing	агонизирачки	0.083	0.800	0.340
agony	агонија	0.083	0.775	0.393
agoraphobia	агорафобија	0.127	0.712	0.438
agree	се согласувам	0.906	0.260	0.545
agreeable	согласна	0.906	0.500	0.696
agreed	се согласија	0.797	0.449	0.574
agreeing	согласувајќи се	0.854	0.480	0.557
agreement	договор	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	земјоделски	0.686	0.321	0.473
agriculture	земјоделство	0.640	0.357	0.465
aground	агол	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	напред	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	помош	0.796	0.491	0.541
aide	помошник	0.724	0.342	0.434
aiding	помош	0.643	0.533	0.569
aids	помагала	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	болен	0.094	0.518	0.153
ailment	болест	0.146	0.734	0.277
aim	цел	0.481	0.569	0.567
aimless	бесцелно	0.150	0.267	0.183
air	воздух	0.708	0.163	0.427
airbag	воздушно перниче	0.510	0.402	0.433
airborne	во воздухот	0.542	0.519	0.385
aircraft	авиони	0.646	0.644	0.691
aircraft carrier	носач на авиони	0.490	0.740	0.727
airfield	аеродром	0.601	0.650	0.645
airhead	воздух	0.271	0.481	0.276
airlift	воздушен мост	0.573	0.622	0.642
airline	авиокомпанија	0.650	0.482	0.688
airliner	авион	0.667	0.777	0.647
airlock	воздушна пумпа	0.398	0.520	0.447
airman	воздухоплов	0.587	0.716	0.721
airplane	авион	0.719	0.702	0.708
airport	аеродром	0.729	0.684	0.682
airs	воздух	0.583	0.196	0.370
airship	авион	0.542	0.472	0.529
airspace	воздушен простор	0.562	0.510	0.640
airspeed	брзина на воздух	0.583	0.780	0.544
airstrip	писта	0.550	0.690	0.649
airtight	херметички	0.479	0.381	0.570
airway	дишните патишта	0.638	0.585	0.482
aisle	коридор	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	слично	0.639	0.343	0.523
alabaster	алабастер	0.542	0.404	0.445
alarm	аларм	0.241	0.882	0.698
alarm clock	аларм	0.542	0.727	0.642
alarmed	вознемирени	0.188	0.822	0.492
alarming	алармантно	0.204	0.890	0.585
alas	за жал	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	албино	0.500	0.240	0.358
album	албум	0.635	0.349	0.453
alchemy	алхемија	0.541	0.583	0.693
alcohol	алкохол	0.323	0.667	0.377
alcoholic	алкохолен	0.153	0.688	0.361
alcoholism	алкохолизам	0.061	0.779	0.407
alcove	бесконечно	0.490	0.340	0.356
alderman	Алдерман	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	алармирање	0.479	0.820	0.648
alertness	будност	0.375	0.875	0.750
alerts	сигнали	0.337	0.804	0.673
alfalfa	луцерка	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебарски	0.531	0.412	0.441
algorithm	алгоритам	0.448	0.394	0.559
alias	алијас	0.541	0.353	0.333
alibi	алиби	0.396	0.528	0.556
alien	странец	0.410	0.615	0.491
alienate	отуѓи	0.247	0.500	0.523
alienated	отуѓен	0.410	0.423	0.559
alienation	отуѓување	0.378	0.530	0.462
alight	запали	0.667	0.657	0.605
align	усогласување	0.656	0.364	0.627
aligned	подредени	0.583	0.275	0.553
alignment	усогласување	0.643	0.412	0.683
alike	слично	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алимент	0.612	0.477	0.464
aliquot	alquot	0.440	0.310	0.404
alive	жив	0.816	0.637	0.731
alkali	алкали	0.490	0.350	0.408
alkaloids	алкалоиди	0.433	0.562	0.402
allay	смирување	0.417	0.406	0.398
allegation	тврдење	0.578	0.578	0.608
allege	тврдат	0.418	0.482	0.587
alleged	наводно	0.365	0.522	0.520
allegiance	верност	0.917	0.398	0.750
allegorical	алегоричен	0.517	0.558	0.598
allegory	алегорија	0.615	0.580	0.509
allegro	алегро	0.635	0.627	0.453
allergic	алергичен	0.135	0.549	0.273
allergy	алергија	0.296	0.606	0.389
alleviate	олесни	0.869	0.270	0.528
alleviation	олеснување	0.735	0.200	0.491
alley	улица	0.347	0.500	0.355
alleyway	улица	0.357	0.471	0.382
alliance	Алијанса	0.696	0.473	0.769
allied	сојузнички	0.714	0.245	0.642
alligator	алигатор	0.354	0.704	0.645
allocate	алоцира	0.673	0.462	0.672
allocation	распределба	0.604	0.388	0.679
allot	распределба	0.622	0.481	0.616
allotment	распределба	0.600	0.390	0.640
allow	дозволи	0.698	0.429	0.538
allowable	дозволено	0.698	0.500	0.561
allowance	додаток	0.673	0.382	0.591
allowed	дозволено	0.730	0.360	0.655
alloy	легура	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	привлечност	0.804	0.585	0.686
alluring	примамливо	0.837	0.745	0.843
allusion	алузија	0.440	0.308	0.462
alluvial	алувијален	0.323	0.490	0.491
ally	сојузник	0.792	0.320	0.688
almanac	алманах	0.688	0.190	0.412
almighty	семоќен	0.938	0.874	0.958
almond	бадем	0.698	0.183	0.314
aloft	надолго	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	сам	0.333	0.167	0.216
alongside	заедно со	0.458	0.333	0.347
aloof	оддалечен	0.189	0.423	0.302
aloud	гласно	0.458	0.713	0.750
alpha	алфа	0.708	0.340	0.755
alphabet	азбука	0.562	0.204	0.672
alphabetical	азбучен	0.537	0.296	0.535
alpine	алпски	0.594	0.337	0.474
alreadyyyyy	веќе	0.592	0.717	0.351
altar	олтар	0.724	0.387	0.635
altar boy	олтар момче	0.434	0.206	0.350
alter	алтер	0.333	0.694	0.654
alteration	промена	0.167	0.798	0.609
altercation	раздразнување	0.170	0.806	0.500
altered	променети	0.255	0.765	0.500
alternate	алтернативен	0.625	0.363	0.589
alternating	наизменично	0.480	0.494	0.542
alternative	алтернатива	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	надморска височина	0.708	0.482	0.736
alto	алто	0.656	0.404	0.730
altogether	заедно	0.833	0.324	0.644
aluminum	алуминиум	0.449	0.280	0.434
alumnus	Алентус	0.633	0.368	0.422
alveolar	алвеоларен	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амалгам	0.438	0.333	0.510
amalgamation	амалгамација	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	аматер	0.469	0.500	0.409
amaze	изненадување	0.896	0.843	0.783
amazed	изненаден	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	изненадување	0.750	0.800	0.639
amazing	неверојатно	0.906	0.837	0.849
amazingly	неверојатно	0.918	0.765	0.920
ambassador	амбасадор	0.651	0.529	0.917
amber	килибар	0.635	0.308	0.369
ambience	амбиент	0.735	0.356	0.426
ambient	амбиент	0.625	0.360	0.582
ambiguity	двосмисленост	0.164	0.460	0.370
ambiguous	двосмислена	0.265	0.462	0.358
ambit	амбиент	0.479	0.380	0.386
ambition	амбиција	0.510	0.804	0.661
ambitious	амбициозни	0.484	0.821	0.717
ambivalent	амбивалентен	0.510	0.404	0.482
ambrosia	амброзија	0.571	0.452	0.480
ambulance	брза помош	0.500	0.750	0.609
ambush	заседа	0.281	0.830	0.500
ameliorate	подобри	0.770	0.548	0.747
amen	амин	0.781	0.182	0.542
amenable	податлив	0.448	0.410	0.406
amend	измени	0.688	0.406	0.658
amendment	амандман	0.531	0.459	0.606
amends	се менува	0.640	0.366	0.517
amenity	удобност	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	пријатно	0.847	0.290	0.483
amicable	пријателски	0.875	0.330	0.507
amid	во средината	0.510	0.340	0.256
amidst	среде	0.480	0.330	0.316
amino	амино	0.551	0.402	0.433
ammo	муниција	0.323	0.765	0.621
ammonia	амонијак	0.292	0.587	0.409
ammonium	амониум	0.354	0.396	0.368
ammunition	муниција	0.338	0.635	0.667
amnesia	амнезија	0.296	0.330	0.308
amnesty	амнестија	0.551	0.451	0.814
amorous	љубоморен	0.844	0.670	0.636
amorphous	аморфен	0.327	0.402	0.349
amortization	амортизација	0.592	0.491	0.522
amount	износ	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	амперсанд	0.480	0.448	0.483
amphetamines	амфетамини	0.133	0.667	0.526
amphibian	амфибија	0.427	0.357	0.474
amphibious	амфибиски	0.479	0.346	0.445
amphitheater	амфитеатар	0.653	0.480	0.545
ample	доволно	0.744	0.349	0.719
amplification	засилување	0.690	0.677	0.810
amplify	засили	0.677	0.735	0.827
amplitude	амплитуда	0.694	0.439	0.692
amply	добро	0.781	0.431	0.766
amputate	ампутираат	0.092	0.660	0.509
amputation	ампутација	0.100	0.755	0.483
amuck	ама	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	забавувај се	0.812	0.684	0.664
amused	забавуваше	0.942	0.847	0.596
amusement	забава	0.929	0.837	0.803
amusing	забавен	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	анестезија	0.350	0.217	0.473
anaesthetic	анестетик	0.449	0.268	0.509
anagram	анаграм	0.552	0.327	0.449
anal	анален	0.333	0.798	0.334
analgesic	аналгетик	0.417	0.321	0.441
analogous	аналогно	0.531	0.270	0.500
analogue	аналоген	0.570	0.320	0.446
analogy	аналогија	0.510	0.367	0.509
analysis	анализа	0.729	0.448	0.705
analyst	аналитичар	0.604	0.415	0.755
analytic	аналитички	0.665	0.521	0.634
analytical	аналитички	0.625	0.324	0.800
analyze	анализира	0.667	0.462	0.710
analyzer	анализатор	0.625	0.556	0.854
anaphylactic	анафилактичен	0.378	0.588	0.500
anarchism	анархизам	0.125	0.804	0.623
anarchist	анархист	0.204	0.700	0.759
anarchy	анархија	0.146	0.755	0.620
anastomosis	анастомоза	0.375	0.470	0.490
anathema	анатема	0.286	0.490	0.519
anatomic	анатомски	0.562	0.442	0.546
anatomy	анатомија	0.562	0.390	0.571
ancestor	предок	0.592	0.388	0.594
ancestral	предците	0.640	0.481	0.750
ancestry	потекло	0.708	0.519	0.717
anchor	сидро	0.520	0.284	0.564
anchorage	прицврстување	0.500	0.325	0.639
ancient	антички	0.420	0.217	0.439
ancillary	помошен	0.449	0.442	0.278
androgen	андроген	0.255	0.523	0.527
android	андроид	0.663	0.436	0.500
anecdote	анегдота	0.583	0.529	0.500
anemia	анемија	0.188	0.327	0.310
anemic	анемична	0.167	0.279	0.155
