Word	Swahili-sw	Valence	Arousal	Dominance
adhering	kushikamana	0.612	0.561	0.537
adhesion	kujitoa	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	karibu	0.365	0.417	0.375
adjacent	karibu	0.645	0.276	0.536
adjective	kivumbuzi	0.570	0.316	0.569
adjoining	kuunganishwa	0.520	0.400	0.393
adjourn	kurudi	0.385	0.456	0.475
adjournment	uhamisho	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	kuhukumiwa	0.551	0.462	0.691
adjunct	panga	0.459	0.440	0.426
adjust	rekebisha	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	marekebisho	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	kuongoza	0.635	0.425	0.860
administration	utawala	0.625	0.404	0.786
administrative	utawala	0.542	0.415	0.579
administrator	msimamizi	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	sifa	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	alivutiwa	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	admiring	0.867	0.578	0.629
admissibility	kukubalika	0.802	0.580	0.602
admissible	inakubalika	0.780	0.528	0.642
admission	kuingia	0.802	0.415	0.732
admit	kukubali	0.538	0.423	0.667
admittance	kukubali	0.690	0.451	0.598
admitted	alikiri	0.720	0.490	0.767
admitting	kukubali	0.620	0.500	0.546
admixture	mchanganyiko	0.450	0.375	0.438
admonition	ushauri	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ujana	0.487	0.694	0.444
adolescent	kijana	0.781	0.680	0.509
adopt	kupitisha	0.694	0.612	0.701
adoption	kupitishwa	0.625	0.566	0.589
adoptive	kupitisha	0.531	0.469	0.520
adorable	kupendeza	0.969	0.519	0.457
adoration	ibada	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	kupamba	0.910	0.424	0.482
adornment	kupamba	0.918	0.373	0.377
adrenalin	adrenalini	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	watu wazima	0.815	0.491	0.787
adulterated	kuharibiwa	0.188	0.865	0.370
adulterer	mzinzi	0.229	0.814	0.407
adultery	uzinzi	0.120	0.922	0.510
adulthood	watu wazima	0.541	0.454	0.652
advance	kuendeleza	0.673	0.472	0.858
advanced	ya juu	0.844	0.623	0.797
advancement	maendeleo	0.776	0.650	0.839
advancing	kuendeleza	0.929	0.608	0.812
advantage	faida	0.917	0.548	0.859
advantageous	faida	0.837	0.640	0.789
advent	kuja	0.665	0.560	0.627
adventure	adventure	0.917	0.857	0.710
adventurer	mchezaji	0.781	0.839	0.868
adventures	adventures	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	adui	0.349	0.777	0.457
adverse	mbaya	0.323	0.610	0.385
adversity	shida	0.276	0.760	0.538
advertise	tangaza	0.500	0.529	0.580
advertisement	matangazo	0.600	0.566	0.539
advertising	matangazo	0.622	0.608	0.632
adverts	matangazo	0.551	0.500	0.595
advice	ushauri	0.698	0.408	0.688
advisable	kushauriwa	0.867	0.480	0.510
advise	ushauri	0.760	0.393	0.705
advised	alishauriwa	0.823	0.330	0.509
advisement	Ushauri	0.698	0.235	0.655
adviser	mshauri	0.745	0.362	0.705
advisor	mshauri	0.646	0.350	0.689
advisory	ushauri	0.656	0.429	0.633
advocacy	utetezi	0.500	0.646	0.731
advocate	kutetea	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	angani	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	ndege	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	aesthetic	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiolojia	0.480	0.398	0.615
afar	mbali	0.396	0.373	0.358
affable	kuharibika	0.704	0.380	0.452
affair	jambo	0.520	0.459	0.657
affect	kuathiri	0.458	0.569	0.578
affecting	inayoathiri	0.350	0.574	0.394
affection	upendo	0.898	0.559	0.696
affectionate	upendo	0.949	0.422	0.550
affections	mapenzi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	afidaviti	0.469	0.584	0.526
affiliated	wanaohusishwa	0.673	0.519	0.535
affiliation	ushirikiano	0.615	0.594	0.500
affinity	ushirika	0.800	0.500	0.537
affirm	kuthibitisha	0.745	0.509	0.731
affirmation	uthibitisho	0.750	0.500	0.689
affirmative	hakika	0.854	0.589	0.816
affirmatively	kuthibitisha	0.908	0.500	0.811
affix	fanya	0.438	0.335	0.411
afflict	shida	0.302	0.555	0.293
afflicted	waliosumbuliwa	0.271	0.500	0.167
affliction	taabu	0.294	0.635	0.392
affluence	ustawi	0.663	0.618	0.722
affluent	wenye thamani	0.756	0.388	0.477
afford	kununua	0.571	0.580	0.575
affordable	nafuu	0.840	0.398	0.493
affront	chuki	0.327	0.740	0.547
affronted	kupigana	0.385	0.750	0.527
afield	uwanja	0.594	0.370	0.373
afire	moto	0.367	0.904	0.675
afloat	tamaa	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	yaliyotaja hapo awali	0.490	0.316	0.408
aforesaid	uliyotaja hapo awali	0.531	0.358	0.478
afraid	hofu	0.010	0.775	0.245
afresh	upya tena	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	baada ya maisha	0.571	0.567	0.568
aftermath	baada ya	0.312	0.449	0.444
afternoon	mchana	0.533	0.388	0.339
aftershave	baada ya	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	baadaye	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	umri	0.561	0.226	0.498
aged	wenye umri	0.135	0.365	0.236
agency	shirika	0.460	0.296	0.583
agenda	ajenda	0.531	0.296	0.553
agent	wakala	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	kuongeza	0.224	0.770	0.464
aggravated	imeongezeka	0.079	0.760	0.430
aggravates	huongeza	0.108	0.778	0.357
aggravating	kuchochea	0.257	0.794	0.640
aggravation	kupungua	0.071	0.784	0.613
aggregate	jumla	0.730	0.378	0.556
aggregation	uchochezi	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	uchokozi	0.094	0.929	0.533
aggressive	fujo	0.125	0.949	0.648
aggressively	vurugu	0.250	0.926	0.688
aggressiveness	uchochezi	0.077	0.913	0.648
aggressor	mkandamizaji	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	mbaya	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	kuzeeka	0.214	0.255	0.284
agitate	tamaa	0.300	0.796	0.593
agitated	alisitishwa	0.444	0.882	0.491
agitation	uchochezi	0.240	0.931	0.447
aglow	kuwaka	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	iliyopita	0.317	0.280	0.404
agonizing	kuumiza	0.083	0.800	0.340
agony	uchungu	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	kubali	0.906	0.260	0.545
agreeable	nzuri	0.906	0.500	0.696
agreed	walikubali	0.797	0.449	0.574
agreeing	kukubaliana	0.854	0.480	0.557
agreement	makubaliano	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	kilimo	0.686	0.321	0.473
agriculture	kilimo	0.640	0.357	0.465
aground	chini	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	mbele	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	misaada	0.796	0.491	0.541
aide	msaidizi	0.724	0.342	0.434
aiding	kusaidia	0.643	0.533	0.569
aids	vifaa	0.561	0.480	0.500
ail	chochote	0.375	0.434	0.385
ailing	mgonjwa	0.094	0.518	0.153
ailment	ugonjwa	0.146	0.734	0.277
aim	lengo	0.481	0.569	0.567
aimless	isiyo na maana	0.150	0.267	0.183
air	hewa	0.708	0.163	0.427
airbag	hewabag	0.510	0.402	0.433
airborne	ya hewa	0.542	0.519	0.385
aircraft	Ndege	0.646	0.644	0.691
aircraft carrier	carrier ndege	0.490	0.740	0.727
airfield	uwanja wa ndege	0.601	0.650	0.645
airhead	hewahead	0.271	0.481	0.276
airlift	ndege ya ndege	0.573	0.622	0.642
airline	ndege	0.650	0.482	0.688
airliner	ndege	0.667	0.777	0.647
airlock	hewalock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	ndege	0.719	0.702	0.708
airport	uwanja wa ndege	0.729	0.684	0.682
airs	hewa	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	nafasi ya hewa	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	kiwanja cha ndege	0.550	0.690	0.649
airtight	kupitiwa hewa	0.479	0.381	0.570
airway	barabara ya hewa	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	inayofanana	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	kengele	0.241	0.882	0.698
alarm clock	Saa ya Kengele	0.542	0.727	0.642
alarmed	alishtuka	0.188	0.822	0.492
alarming	inatisha	0.204	0.890	0.585
alas	ole	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albamu	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	pombe	0.323	0.667	0.377
alcoholic	pombe	0.153	0.688	0.361
alcoholism	ulevi	0.061	0.779	0.407
alcove	pombe	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	tahadhari	0.479	0.820	0.648
alertness	tahadhari	0.375	0.875	0.750
alerts	tahadhari	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	Alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	mgeni	0.410	0.615	0.491
alienate	kuepuka	0.247	0.500	0.523
alienated	kuachana	0.410	0.423	0.559
alienation	kuachana	0.378	0.530	0.462
alight	alikwenda	0.667	0.657	0.605
align	fanya	0.656	0.364	0.627
aligned	iliyokaa	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	sawa	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	hai	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	piga	0.417	0.406	0.398
allegation	madai	0.578	0.578	0.608
allege	wanasema	0.418	0.482	0.587
alleged	madai	0.365	0.522	0.520
allegiance	utii	0.917	0.398	0.750
allegorical	kinyume cha habari	0.517	0.558	0.598
allegory	madai	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	mzio	0.135	0.549	0.273
allergy	matatizo	0.296	0.606	0.389
alleviate	kupunguza	0.869	0.270	0.528
alleviation	kupungua	0.735	0.200	0.491
alley	kilimo	0.347	0.500	0.355
alleyway	barabarani	0.357	0.471	0.382
alliance	Muungano	0.696	0.473	0.769
allied	washirika	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	kutenga	0.673	0.462	0.672
allocation	mgao	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	ugawaji	0.600	0.390	0.640
allow	kuruhusu	0.698	0.429	0.538
allowable	halali	0.698	0.500	0.561
allowance	posho	0.673	0.382	0.591
allowed	ruhusiwa	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	fanya	0.804	0.585	0.686
alluring	kupendeza	0.837	0.745	0.843
allusion	kutaja	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	mshirika	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	Mwenye nguvu	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	peke yake	0.333	0.167	0.216
alongside	kando	0.458	0.333	0.347
aloof	wazi	0.189	0.423	0.302
aloud	kwa sauti kubwa	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabeti	0.562	0.204	0.672
alphabetical	alfabeti	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	tayariyyyyy	0.592	0.717	0.351
altar	madhabahu	0.724	0.387	0.635
altar boy	mvulana wa madhabahu	0.434	0.206	0.350
alter	kubadilisha	0.333	0.694	0.654
alteration	mabadiliko	0.167	0.798	0.609
altercation	mabadiliko	0.170	0.806	0.500
altered	ilibadilishwa	0.255	0.765	0.500
alternate	mbadala	0.625	0.363	0.589
alternating	kubadilisha	0.480	0.494	0.542
alternative	mbadala	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	urefu	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	kabisa	0.833	0.324	0.644
aluminum	alumini	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	ushirikiano	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	kushangaza	0.896	0.843	0.783
amazed	alishangaa	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	mshangao	0.750	0.800	0.639
amazing	ajabu	0.906	0.837	0.849
amazingly	kushangaza	0.918	0.765	0.920
ambassador	balozi	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	iliyoko	0.625	0.360	0.582
ambiguity	utata	0.164	0.460	0.370
ambiguous	wasiwasi	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	tamaa	0.510	0.804	0.661
ambitious	tamaa	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulensi	0.500	0.750	0.609
ambush	kumshtaki	0.281	0.830	0.500
ameliorate	kuimarisha	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	inafaa	0.448	0.410	0.406
amend	tengeneze	0.688	0.406	0.658
amendment	marekebisho	0.531	0.459	0.606
amends	inabadilisha	0.640	0.366	0.517
amenity	huduma	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	mzuri	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	katikati	0.510	0.340	0.256
amidst	katikati	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	amonia	0.354	0.396	0.368
ammunition	risasi	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	msamaha	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	uhamisho	0.592	0.491	0.522
amount	kiasi	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amfibia	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	kamili	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	kuimarisha	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	sana	0.781	0.431	0.766
amputate	kumkamata	0.092	0.660	0.509
amputation	kupigwa	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	Amulet	0.781	0.260	0.630
amuse	tamaa	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	pumbao	0.929	0.837	0.803
amusing	kusisimua	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anesthetic	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	sawa	0.531	0.270	0.500
analogue	mfano	0.570	0.320	0.446
analogy	mfano	0.510	0.367	0.509
analysis	uchambuzi	0.729	0.448	0.705
analyst	mchambuzi	0.604	0.415	0.755
analytic	uchambuzi	0.665	0.521	0.634
analytical	uchambuzi	0.625	0.324	0.800
analyze	kuchambua	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
