Word	Finnish-fi	Valence	Arousal	Dominance
adept	mestari	0.594	0.539	0.789
adequacy	riittävyys	0.615	0.435	0.702
adequate	riittävä	0.854	0.264	0.705
adhere	noudattaa	0.633	0.339	0.554
adherence	kiinnittyminen	0.760	0.307	0.630
adherent	kannattaja	0.561	0.385	0.555
adhering	kiinni	0.612	0.561	0.537
adhesion	kiinnittyminen	0.521	0.445	0.586
adhesive	tarttuva	0.604	0.350	0.413
adieu	hyvästi	0.250	0.471	0.342
adipose	rasva-	0.333	0.350	0.391
adjacency	läheisyytensä	0.365	0.417	0.375
adjacent	vierekkäinen	0.645	0.276	0.536
adjective	adjektiivi	0.570	0.316	0.569
adjoining	viereinen	0.520	0.400	0.393
adjourn	lykätä	0.385	0.456	0.475
adjournment	hajaantuminen	0.438	0.510	0.370
adjudicate	ratkaista	0.559	0.520	0.683
adjudication	tuomio	0.551	0.462	0.691
adjunct	lisä	0.459	0.440	0.426
adjust	säätää	0.647	0.327	0.638
adjuster	säädin	0.510	0.540	0.760
adjustment	säätö	0.590	0.520	0.661
adjuvant	adjuvanttia	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	hallita	0.635	0.425	0.860
administration	antaminen	0.625	0.404	0.786
administrative	hallinnollinen	0.542	0.415	0.579
administrator	järjestelmänvalvoja	0.538	0.480	0.902
admirable	ihailtava	0.929	0.600	0.870
admiral	amiraali	0.844	0.490	0.847
admiralty	amiraalinvirka	0.594	0.547	0.733
admiration	ihailu	0.969	0.583	0.726
admire	ihailla	0.867	0.692	0.704
admired	ihaillut	0.917	0.560	0.815
admirer	ihailija	0.796	0.720	0.650
admiring	ihaillen	0.867	0.578	0.629
admissibility	hyväksyttävyyden	0.802	0.580	0.602
admissible	hyväksyttävä	0.780	0.528	0.642
admission	pääsy	0.802	0.415	0.732
admit	myöntää	0.538	0.423	0.667
admittance	pääsy	0.690	0.451	0.598
admitted	hyväksytty	0.720	0.490	0.767
admitting	myöntää	0.620	0.500	0.546
admixture	sekoitus	0.450	0.375	0.438
admonition	kehotus	0.357	0.606	0.455
ado	melu	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	nuoruus	0.487	0.694	0.444
adolescent	nuori	0.781	0.680	0.509
adopt	hyväksyä	0.694	0.612	0.701
adoption	hyväksyminen	0.625	0.566	0.589
adoptive	otto-	0.531	0.469	0.520
adorable	ihana	0.969	0.519	0.457
adoration	palvonta	0.885	0.699	0.708
adore	jumaloida	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	kaunistaa	0.910	0.424	0.482
adornment	koriste	0.918	0.373	0.377
adrenalin	adrenaliini	0.865	0.920	0.786
adrenaline	adrenaliini	0.765	0.965	0.825
adrift	tuuliajolla	0.398	0.486	0.230
adult	aikuinen	0.815	0.491	0.787
adulterated	väärennetyllä	0.188	0.865	0.370
adulterer	avionrikkoja	0.229	0.814	0.407
adultery	aviorikos	0.120	0.922	0.510
adulthood	aikuisuus	0.541	0.454	0.652
advance	edetä	0.673	0.472	0.858
advanced	pitkälle kehittynyt	0.844	0.623	0.797
advancement	edistäminen	0.776	0.650	0.839
advancing	etenee	0.929	0.608	0.812
advantage	etu	0.917	0.548	0.859
advantageous	edullinen	0.837	0.640	0.789
advent	tulo	0.665	0.560	0.627
adventure	seikkailu	0.917	0.857	0.710
adventurer	seikkailija	0.781	0.839	0.868
adventures	seikkailuja	0.812	0.764	0.749
adventurous	seikkailunhaluinen	0.969	0.898	0.722
adversary	vastustaja	0.349	0.777	0.457
adverse	haitallinen	0.323	0.610	0.385
adversity	vastoinkäyminen	0.276	0.760	0.538
advertise	mainostaa	0.500	0.529	0.580
advertisement	mainos	0.600	0.566	0.539
advertising	mainonta	0.622	0.608	0.632
adverts	ilmoitusta	0.551	0.500	0.595
advice	neuvot	0.698	0.408	0.688
advisable	suositeltava	0.867	0.480	0.510
advise	neuvoa	0.760	0.393	0.705
advised	neuvoi	0.823	0.330	0.509
advisement	harkittaviksi	0.698	0.235	0.655
adviser	neuvonantaja	0.745	0.362	0.705
advisor	neuvonantaja	0.646	0.350	0.689
advisory	neuvontapalvelut	0.656	0.429	0.633
advocacy	asianajo	0.500	0.646	0.731
advocate	puolestapuhuja	0.551	0.530	0.818
aegis	suojeluksessa	0.490	0.439	0.462
aeration	ilmastus	0.550	0.500	0.433
aerial	antenni	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	lentoasema	0.541	0.740	0.678
aerodynamic	aerodynaaminen	0.561	0.724	0.728
aerodynamics	aerodynamiikka	0.590	0.663	0.722
aeronautics	ilmailu	0.551	0.633	0.688
aeroplane	lentokone	0.714	0.642	0.644
aerospace	ilmailu	0.643	0.520	0.779
aesthetic	esteettinen	0.708	0.442	0.526
aesthetics	estetiikka	0.847	0.327	0.549
aetiology	etiologia	0.480	0.398	0.615
afar	kauas	0.396	0.373	0.358
affable	ystävällinen	0.704	0.380	0.452
affair	asia	0.520	0.459	0.657
affect	vaikuttaa	0.458	0.569	0.578
affecting	vaikuttavia	0.350	0.574	0.394
affection	tunteet	0.898	0.559	0.696
affectionate	hellä	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	valaehtoinen todistus	0.469	0.584	0.526
affiliated	sidoksissa	0.673	0.519	0.535
affiliation	kuuluminen	0.615	0.594	0.500
affinity	affiniteetti	0.800	0.500	0.537
affirm	vakuuttaa	0.745	0.509	0.731
affirmation	vakuutus	0.750	0.500	0.689
affirmative	myöntävä	0.854	0.589	0.816
affirmatively	myöntävästi	0.908	0.500	0.811
affix	kiinnittää	0.438	0.335	0.411
afflict	vaivata	0.302	0.555	0.293
afflicted	ahdistettu	0.271	0.500	0.167
affliction	koettelemus	0.294	0.635	0.392
affluence	yltäkylläisyys	0.663	0.618	0.722
affluent	hyvinvoiva	0.756	0.388	0.477
afford	olla varaa	0.571	0.580	0.575
affordable	edullinen	0.840	0.398	0.493
affront	loukkaus	0.327	0.740	0.547
affronted	loukkaantuneena	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	tulipalo	0.367	0.904	0.675
afloat	pystyssä	0.602	0.427	0.444
afore	edellä	0.500	0.337	0.382
aforementioned	yllä mainitut	0.490	0.316	0.408
aforesaid	edellä mainittu	0.531	0.358	0.478
afraid	peloissaan	0.010	0.775	0.245
afresh	uudelleen	0.643	0.521	0.480
african	afrikkalainen	0.490	0.423	0.555
aft	perä-	0.480	0.417	0.518
afterlife	tuonpuoleinen elämä	0.571	0.567	0.568
aftermath	jälkiseuraukset	0.312	0.449	0.444
afternoon	iltapäivällä	0.533	0.388	0.339
aftershave	partavesi	0.406	0.384	0.415
aftertaste	jälkimaku	0.354	0.362	0.455
afterthought	jälkiviisaus	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	töllistellen	0.612	0.529	0.464
agate	akaatti	0.540	0.377	0.483
age	ikä	0.561	0.226	0.498
aged	ikäinen	0.135	0.365	0.236
agency	toimisto	0.460	0.296	0.583
agenda	esityslista	0.531	0.296	0.553
agent	agentti	0.480	0.439	0.755
agglomeration	kasauma	0.450	0.765	0.509
aggravate	pahentaa	0.224	0.770	0.464
aggravated	paheneminen	0.079	0.760	0.430
aggravates	pahentaa	0.108	0.778	0.357
aggravating	raskauttava	0.257	0.794	0.640
aggravation	paheneminen	0.071	0.784	0.613
aggregate	aggregaatti	0.730	0.378	0.556
aggregation	aggregaatti	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggressio	0.094	0.929	0.533
aggressive	aggressiivinen	0.125	0.949	0.648
aggressively	aggressiivisesti	0.250	0.926	0.688
aggressiveness	aggressiivisuus	0.077	0.913	0.648
aggressor	hyökkäävä puoli	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	tyrmistynyt jstk	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ketterä	0.800	0.657	0.775
agility	ketteryys	0.720	0.702	0.815
aging	vanheneminen	0.214	0.255	0.284
agitate	yllyttää	0.300	0.796	0.593
agitated	kiihtynyt	0.444	0.882	0.491
agitation	levottomuus	0.240	0.931	0.447
aglow	hehkuen	0.780	0.510	0.797
agnostic	agnostikko	0.306	0.396	0.574
ago	sitten	0.317	0.280	0.404
agonizing	tuskallinen	0.083	0.800	0.340
agony	tuska	0.083	0.775	0.393
agoraphobia	agorafobia	0.127	0.712	0.438
agree	olla samaa mieltä	0.906	0.260	0.545
agreeable	miellyttävä	0.906	0.500	0.696
agreed	sovittu	0.797	0.449	0.574
agreeing	sopimalla	0.854	0.480	0.557
agreement	sopimus	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	maatalous	0.686	0.321	0.473
agriculture	maatalous	0.640	0.357	0.465
aground	karille	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	eteenpäin	0.708	0.520	0.673
ahhh	Ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ohoi	0.500	0.497	0.380
aid	apu	0.796	0.491	0.541
aide	avustaja	0.724	0.342	0.434
aiding	auttamista	0.643	0.533	0.569
aids	aids	0.561	0.480	0.500
ail	vaivata	0.375	0.434	0.385
ailing	sairaalloinen	0.094	0.518	0.153
ailment	sairaus	0.146	0.734	0.277
aim	tavoite	0.481	0.569	0.567
aimless	päämäärätön	0.150	0.267	0.183
air	ilma	0.708	0.163	0.427
airbag	turvatyyny	0.510	0.402	0.433
airborne	ilmassa	0.542	0.519	0.385
aircraft	ilma-alus	0.646	0.644	0.691
aircraft carrier	lentotukialus	0.490	0.740	0.727
airfield	lentokenttä	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	ilmasilta	0.573	0.622	0.642
airline	lentoyhtiö	0.650	0.482	0.688
airliner	liikennelentokone	0.667	0.777	0.647
airlock	ilmalukko	0.398	0.520	0.447
airman	lentäjä	0.587	0.716	0.721
airplane	lentokone	0.719	0.702	0.708
airport	lentokenttä	0.729	0.684	0.682
airs	tärkeily	0.583	0.196	0.370
airship	ilmalaiva	0.542	0.472	0.529
airspace	ilmatila	0.562	0.510	0.640
airspeed	lentonopeus	0.583	0.780	0.544
airstrip	kiitorata	0.550	0.690	0.649
airtight	ilmatiivis	0.479	0.381	0.570
airway	hengitysteiden	0.638	0.585	0.482
aisle	käytävä	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	alias	0.459	0.358	0.351
akin	kaltainen	0.639	0.343	0.523
alabaster	alabasteri	0.542	0.404	0.445
alarm	hälytys	0.241	0.882	0.698
alarm clock	herätyskello	0.542	0.727	0.642
alarmed	huolissaan	0.188	0.822	0.492
alarming	hälyttävä	0.204	0.890	0.585
alas	Valitettavasti	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatrossi	0.500	0.445	0.527
albino	albiino	0.500	0.240	0.358
album	albumi	0.635	0.349	0.453
alchemy	alkemia	0.541	0.583	0.693
alcohol	alkoholi	0.323	0.667	0.377
alcoholic	alkoholisti	0.153	0.688	0.361
alcoholism	alkoholismi	0.061	0.779	0.407
alcove	alkovi	0.490	0.340	0.356
alderman	raatimies	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	hälytys	0.479	0.820	0.648
alertness	valppaus	0.375	0.875	0.750
alerts	hälytykset	0.337	0.804	0.673
alfalfa	sinimailanen	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebran	0.531	0.412	0.441
algorithm	algoritmi	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ulkomaalainen	0.410	0.615	0.491
alienate	luovuttaa	0.247	0.500	0.523
alienated	vieraantuneita	0.410	0.423	0.559
alienation	vieraantuminen	0.378	0.530	0.462
alight	laskeutua	0.667	0.657	0.605
align	kohdistaa	0.656	0.364	0.627
aligned	Tasaus	0.583	0.275	0.553
alignment	suuntaus	0.643	0.412	0.683
alike	samoin	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	elatusapu	0.612	0.477	0.464
aliquot	alikvootti	0.440	0.310	0.404
alive	elossa	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloideja	0.433	0.562	0.402
allay	lievittää	0.417	0.406	0.398
allegation	väite	0.578	0.578	0.608
allege	väittää	0.418	0.482	0.587
alleged	väitetty	0.365	0.522	0.520
allegiance	alamaisuus	0.917	0.398	0.750
allegorical	allegorinen	0.517	0.558	0.598
allegory	allegoria	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allerginen	0.135	0.549	0.273
allergy	allergia	0.296	0.606	0.389
alleviate	lievittää	0.869	0.270	0.528
alleviation	lievitys	0.735	0.200	0.491
alley	kuja	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	liitto	0.696	0.473	0.769
allied	liittoutunut	0.714	0.245	0.642
alligator	alligaattori	0.354	0.704	0.645
allocate	jakaa	0.673	0.462	0.672
allocation	jako	0.604	0.388	0.679
allot	jakaa	0.622	0.481	0.616
allotment	siirtolapuutarha	0.600	0.390	0.640
allow	sallia	0.698	0.429	0.538
allowable	sallittu	0.698	0.500	0.561
allowance	avustus	0.673	0.382	0.591
allowed	sallittu	0.730	0.360	0.655
alloy	metalliseos	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	viehättää	0.804	0.585	0.686
alluring	viettelevä	0.837	0.745	0.843
allusion	viittaus	0.440	0.308	0.462
alluvial	tulva-	0.323	0.490	0.491
ally	liittolainen	0.792	0.320	0.688
almanac	kalenteri	0.688	0.190	0.412
almighty	kaikkivaltias	0.938	0.874	0.958
almond	manteli	0.698	0.183	0.314
aloft	korkealla	0.771	0.373	0.700
aloha	näkemiin	0.698	0.440	0.441
alone	yksin	0.333	0.167	0.216
alongside	rinnalla	0.458	0.333	0.347
aloof	syrjässä	0.189	0.423	0.302
aloud	ääneen	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	aakkoset	0.562	0.204	0.672
alphabetical	aakkosellinen	0.537	0.296	0.535
alpine	alppi-	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	alttari	0.724	0.387	0.635
altar boy	alttaripoika	0.434	0.206	0.350
alter	muuttaa	0.333	0.694	0.654
alteration	muutos	0.167	0.798	0.609
altercation	kiista	0.170	0.806	0.500
altered	muuttunut	0.255	0.765	0.500
alternate	vaihtoehtoinen	0.625	0.363	0.589
alternating	vuorotteleva	0.480	0.494	0.542
alternative	vaihtoehto	0.628	0.373	0.631
altimeter	korkeusmittari	0.615	0.510	0.580
altitude	korkeus	0.708	0.482	0.736
alto	altto	0.656	0.404	0.730
altogether	yhteensä	0.833	0.324	0.644
aluminum	alumiini	0.449	0.280	0.434
alumnus	entinen oppilas	0.633	0.368	0.422
alveolar	alveolaarinen	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgaami	0.438	0.333	0.510
amalgamation	yhdistäminen	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	kasata	0.552	0.465	0.465
amateur	amatööri	0.469	0.500	0.409
amaze	hämmästyttää	0.896	0.843	0.783
amazed	hämmästynyt	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	hämmästys	0.750	0.800	0.639
amazing	hämmästyttävä	0.906	0.837	0.849
amazingly	mahtavasti	0.918	0.765	0.920
ambassador	suurlähettiläs	0.651	0.529	0.917
amber	keltainen	0.635	0.308	0.369
ambience	tunnelma	0.735	0.356	0.426
ambient	ympäröivä	0.625	0.360	0.582
ambiguity	epäselvyys	0.164	0.460	0.370
ambiguous	epäselvä	0.265	0.462	0.358
ambit	rajat	0.479	0.380	0.386
ambition	kunnianhimo	0.510	0.804	0.661
ambitious	kunnianhimoinen	0.484	0.821	0.717
ambivalent	ambivalentti	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulanssi	0.500	0.750	0.609
ambush	väijytys	0.281	0.830	0.500
ameliorate	parantaa	0.770	0.548	0.747
amen	aamen	0.781	0.182	0.542
amenable	myöntyväinen	0.448	0.410	0.406
amend	muuttaa	0.688	0.406	0.658
amendment	muutos	0.531	0.459	0.606
amends	muutetaan	0.640	0.366	0.517
amenity	mukavuudet	0.750	0.327	0.574
amethyst	ametisti	0.622	0.406	0.517
amiable	rakastettava	0.847	0.290	0.483
amicable	sovinnollinen	0.875	0.330	0.507
amid	keskellä	0.510	0.340	0.256
amidst	keskellä	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammus	0.323	0.765	0.621
ammonia	ammoniakki	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammukset	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	yleinen armahdus	0.551	0.451	0.814
amorous	rakkaus-	0.844	0.670	0.636
amorphous	amorfinen	0.327	0.402	0.349
amortization	kuoletus	0.592	0.491	0.522
amount	määrä	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	et-merkki	0.480	0.448	0.483
amphetamines	amfetamiinit	0.133	0.667	0.526
amphibian	sammakkoeläin	0.427	0.357	0.474
amphibious	amfibinen	0.479	0.346	0.445
amphitheater	amfiteatteri	0.653	0.480	0.545
ample	runsas	0.744	0.349	0.719
amplification	monistus	0.690	0.677	0.810
amplify	vahvistaa	0.677	0.735	0.827
amplitude	amplitudi	0.694	0.439	0.692
amply	runsaasti	0.781	0.431	0.766
amputate	amputoida	0.092	0.660	0.509
amputation	amputaatio	0.100	0.755	0.483
amuck	hillitön raivo	0.385	0.602	0.321
