Word	Samoan-sm	Valence	Arousal	Dominance
adherence	pipii	0.760	0.307	0.630
adherent	tausisia	0.561	0.385	0.555
adhering	pipii	0.612	0.561	0.537
adhesion	taliga	0.521	0.445	0.586
adhesive	pipii	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	faʻalelei	0.333	0.350	0.391
adjacency	faʻatatau	0.365	0.417	0.375
adjacent	lata ane	0.645	0.276	0.536
adjective	faʻaaliga	0.570	0.316	0.569
adjoining	latalata ane	0.520	0.400	0.393
adjourn	tolopo	0.385	0.456	0.475
adjournment	tolopoina	0.438	0.510	0.370
adjudicate	faamasinoina	0.559	0.520	0.683
adjudication	faamasinoga	0.551	0.462	0.691
adjunct	fetuunai	0.459	0.440	0.426
adjust	fetuunai	0.647	0.327	0.638
adjuster	fetuunaiga	0.510	0.540	0.760
adjustment	fetuunaiga	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	pule	0.688	0.420	0.854
administer	faafoe	0.635	0.425	0.860
administration	pulega	0.625	0.404	0.786
administrative	pulega	0.542	0.415	0.579
administrator	pule	0.538	0.480	0.902
admirable	faamemelo	0.929	0.600	0.870
admiral	talifiami	0.844	0.490	0.847
admiralty	talisapaia	0.594	0.547	0.733
admiration	faamemelo	0.969	0.583	0.726
admire	faamemelo	0.867	0.692	0.704
admired	faamemelo	0.917	0.560	0.815
admirer	faamemelo	0.796	0.720	0.650
admiring	faamemelo	0.867	0.578	0.629
admissibility	faʻatagaina	0.802	0.580	0.602
admissible	taliaina	0.780	0.528	0.642
admission	ulufale	0.802	0.415	0.732
admit	taʻutaʻu	0.538	0.423	0.667
admittance	taliaina	0.690	0.451	0.598
admitted	ioeina	0.720	0.490	0.767
admitting	ioeina	0.620	0.500	0.546
admixture	talofa	0.450	0.375	0.438
admonition	apoapoaiga	0.357	0.606	0.455
ado	pele	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	talavou	0.487	0.694	0.444
adolescent	talavou	0.781	0.680	0.509
adopt	talia	0.694	0.612	0.701
adoption	tamaʻitaʻi	0.625	0.566	0.589
adoptive	faʻataʻitaʻi	0.531	0.469	0.520
adorable	matagofie	0.969	0.519	0.457
adoration	faamemelo	0.885	0.699	0.708
adore	faʻaaloalo	0.854	0.438	0.657
adoring	tapuaʻi	0.885	0.620	0.717
adorn	teuteu	0.910	0.424	0.482
adornment	teuteu	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	faʻatau	0.398	0.486	0.230
adult	tagata matutua	0.815	0.491	0.787
adulterated	mulilua	0.188	0.865	0.370
adulterer	mulilua	0.229	0.814	0.407
adultery	mulilua	0.120	0.922	0.510
adulthood	matua	0.541	0.454	0.652
advance	muamua	0.673	0.472	0.858
advanced	sili atu	0.844	0.623	0.797
advancement	alualu i luma	0.776	0.650	0.839
advancing	agai i luma	0.929	0.608	0.812
advantage	manuia	0.917	0.548	0.859
advantageous	aoga	0.837	0.640	0.789
advent	afio mai	0.665	0.560	0.627
adventure	malaga	0.917	0.857	0.710
adventurer	tagata faʻasalalau	0.781	0.839	0.868
adventures	mea tutupu	0.812	0.764	0.749
adventurous	tagata faʻasalalau	0.969	0.898	0.722
adversary	fili	0.349	0.777	0.457
adverse	leaga	0.323	0.610	0.385
adversity	faigata	0.276	0.760	0.538
advertise	faasalalauina	0.500	0.529	0.580
advertisement	faasalalauga faatosina	0.600	0.566	0.539
advertising	faasalalauga	0.622	0.608	0.632
adverts	faasalalauga	0.551	0.500	0.595
advice	fautuaga	0.698	0.408	0.688
advisable	fautuaina	0.867	0.480	0.510
advise	fautuaina	0.760	0.393	0.705
advised	fautuaina	0.823	0.330	0.509
advisement	Fautuaga	0.698	0.235	0.655
adviser	faufautua	0.745	0.362	0.705
advisor	faufautua	0.646	0.350	0.689
advisory	faufautua	0.656	0.429	0.633
advocacy	faufautua	0.500	0.646	0.731
advocate	fautua	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	vaʻavaʻa	0.550	0.500	0.433
aerial	vaalele	0.615	0.461	0.463
aerobics	fomaʻi	0.708	0.771	0.627
aerodrome	malae vaalele	0.541	0.740	0.678
aerodynamic	malae vaalele	0.561	0.724	0.728
aerodynamics	malae vaʻalele	0.590	0.663	0.722
aeronautics	tagata femalagaiga i luga o le ea	0.551	0.633	0.688
aeroplane	vaalele	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	matagofie	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aioioio	0.480	0.398	0.615
afar	mamao	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	mataupu	0.520	0.459	0.657
affect	aafia ai	0.458	0.569	0.578
affecting	aafia ai	0.350	0.574	0.394
affection	alofa	0.898	0.559	0.696
affectionate	alofa	0.949	0.422	0.550
affections	alofa	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	faʻamaoniga	0.469	0.584	0.526
affiliated	faʻatasi	0.673	0.519	0.535
affiliation	mafutaga	0.615	0.594	0.500
affinity	faʻatasi	0.800	0.500	0.537
affirm	faʻamaonia	0.745	0.509	0.731
affirmation	faʻamaoniga	0.750	0.500	0.689
affirmative	ioe	0.854	0.589	0.816
affirmatively	ioe	0.908	0.500	0.811
affix	afifi	0.438	0.335	0.411
afflict	mafatia	0.302	0.555	0.293
afflicted	mafatia	0.271	0.500	0.167
affliction	puapuaga	0.294	0.635	0.392
affluence	tamaoaiga	0.663	0.618	0.722
affluent	tamaoaiga	0.756	0.388	0.477
afford	gafatia	0.571	0.580	0.575
affordable	taugofie	0.840	0.398	0.493
affront	faʻalavelave	0.327	0.740	0.547
affronted	ita	0.385	0.750	0.527
afield	aferika	0.594	0.370	0.373
afire	afifi	0.367	0.904	0.675
afloat	afu	0.602	0.427	0.444
afore	muamua	0.500	0.337	0.382
aforementioned	ua taua muamua	0.490	0.316	0.408
aforesaid	ua taua muamua	0.531	0.358	0.478
afraid	fefe	0.010	0.775	0.245
afresh	fou	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	afu	0.480	0.417	0.518
afterlife	pe a mavae le ola	0.571	0.567	0.568
aftermath	mulimuli ane	0.312	0.449	0.444
afternoon	aoauli	0.533	0.388	0.339
aftershave	pe a maeʻa	0.406	0.384	0.415
aftertaste	mulimuli ane	0.354	0.362	0.455
afterthought	i tua	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	tausaga	0.561	0.226	0.498
aged	matua	0.135	0.365	0.236
agency	lala sooupu	0.460	0.296	0.583
agenda	lisi o mataupu	0.531	0.296	0.553
agent	sooupu	0.480	0.439	0.755
agglomeration	agavaʻa	0.450	0.765	0.509
aggravate	faʻaleagaina	0.224	0.770	0.464
aggravated	ua faateteleina	0.079	0.760	0.430
aggravates	faʻalavelave	0.108	0.778	0.357
aggravating	faʻateleina	0.257	0.794	0.640
aggravation	faʻaleagaina	0.071	0.784	0.613
aggregate	faʻatasi	0.730	0.378	0.556
aggregation	tuufaatasiga	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	osofaiga	0.094	0.929	0.533
aggressive	faʻamalosi	0.125	0.949	0.648
aggressively	faʻamalosi	0.250	0.926	0.688
aggressiveness	faʻamalosi	0.077	0.913	0.648
aggressor	tagata sauā	0.146	0.948	0.823
agh	a	0.260	0.500	0.400
aghast	taua	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agavaʻa	0.720	0.702	0.815
aging	matua	0.214	0.255	0.284
agitate	faʻaosooso	0.300	0.796	0.593
agitated	atuatuvale	0.444	0.882	0.491
agitation	osofaʻiga	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	ua mavae	0.317	0.280	0.404
agonizing	tiga	0.083	0.800	0.340
agony	tiga	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	malilie	0.906	0.260	0.545
agreeable	malie	0.906	0.500	0.696
agreed	malilie	0.797	0.449	0.574
agreeing	malilie	0.854	0.480	0.557
agreement	maliega	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	faatoaga	0.686	0.321	0.473
agriculture	faatoaga	0.640	0.357	0.465
aground	vasa	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	luma atu	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	lalelei	0.500	0.497	0.380
aid	fesoasoani	0.796	0.491	0.541
aide	fesoasoani	0.724	0.342	0.434
aiding	fesoasoani	0.643	0.533	0.569
aids	fesoasoani	0.561	0.480	0.500
ail	a	0.375	0.434	0.385
ailing	maʻi	0.094	0.518	0.153
ailment	maʻi	0.146	0.734	0.277
aim	sini	0.481	0.569	0.567
aimless	leai se aoga	0.150	0.267	0.183
air	ea	0.708	0.163	0.427
airbag	vaalele	0.510	0.402	0.433
airborne	vaalele	0.542	0.519	0.385
aircraft	vaalele	0.646	0.644	0.691
aircraft carrier	vaalele vaalele	0.490	0.740	0.727
airfield	malae vaalele	0.601	0.650	0.645
airhead	vaalele	0.271	0.481	0.276
airlift	lele	0.573	0.622	0.642
airline	vaalele	0.650	0.482	0.688
airliner	vaalele	0.667	0.777	0.647
airlock	vaalele	0.398	0.520	0.447
airman	vaalele	0.587	0.716	0.721
airplane	vaalele	0.719	0.702	0.708
airport	malaevaalele	0.729	0.684	0.682
airs	ea	0.583	0.196	0.370
airship	vaalele	0.542	0.472	0.529
airspace	vaalele	0.562	0.510	0.640
airspeed	felelei	0.583	0.780	0.544
airstrip	matagi	0.550	0.690	0.649
airtight	vaalele	0.479	0.381	0.570
airway	vaalele	0.638	0.585	0.482
aisle	vavae	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	lima	0.459	0.358	0.351
akin	Akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	faʻailoga	0.241	0.882	0.698
alarm clock	uati faʻailo	0.542	0.727	0.642
alarmed	popole	0.188	0.822	0.492
alarming	mataʻutia	0.204	0.890	0.585
alas	ala	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	lipine	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	ava malosi	0.323	0.667	0.377
alcoholic	ava malosi	0.153	0.688	0.361
alcoholism	ava malosi	0.061	0.779	0.407
alcove	ava malosi	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	mataala	0.479	0.820	0.648
alertness	mataala	0.375	0.875	0.750
alerts	matala	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	aliasia	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	tagata ese	0.410	0.615	0.491
alienate	ese	0.247	0.500	0.523
alienated	vavalalata	0.410	0.423	0.559
alienation	vavalalata	0.378	0.530	0.462
alight	faʻamaonia	0.667	0.657	0.605
align	fetaui	0.656	0.364	0.627
aligned	fetaui	0.583	0.275	0.553
alignment	fetuutuunaiga	0.643	0.412	0.683
alike	tutusa	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	faʻailoga	0.440	0.310	0.404
alive	ola	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	faʻaitiitia	0.417	0.406	0.398
allegation	tuuaiga	0.578	0.578	0.608
allege	fai mai	0.418	0.482	0.587
alleged	tuuaia	0.365	0.522	0.520
allegiance	agavaʻa	0.917	0.398	0.750
allegorical	tala faʻatusa	0.517	0.558	0.598
allegory	faataoto	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	maʻi	0.135	0.549	0.273
allergy	allergy	0.296	0.606	0.389
alleviate	faʻaitiitia	0.869	0.270	0.528
alleviation	faʻalelei	0.735	0.200	0.491
alley	alala	0.347	0.500	0.355
alleyway	uila	0.357	0.471	0.382
alliance	fealofani	0.696	0.473	0.769
allied	lagolago	0.714	0.245	0.642
alligator	atigatoru	0.354	0.704	0.645
allocate	vavae	0.673	0.462	0.672
allocation	tufatufaga	0.604	0.388	0.679
allot	vaevaeina	0.622	0.481	0.616
allotment	tufatufaga	0.600	0.390	0.640
allow	faatagaina	0.698	0.429	0.538
allowable	faʻatagaina	0.698	0.500	0.561
allowance	alauni	0.673	0.382	0.591
allowed	faatagaina	0.730	0.360	0.655
alloy	tui	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	fiafia	0.804	0.585	0.686
alluring	faʻamalosi	0.837	0.745	0.843
allusion	fuafaatatau	0.440	0.308	0.462
alluvial	mea uma	0.323	0.490	0.491
ally	uo	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	tagata silisili ese	0.938	0.874	0.958
almond	almondi	0.698	0.183	0.314
aloft	alo	0.771	0.373	0.700
aloha	alofa	0.698	0.440	0.441
alone	toʻatasi	0.333	0.167	0.216
alongside	i autafa	0.458	0.333	0.347
aloof	aloese	0.189	0.423	0.302
aloud	leotele	0.458	0.713	0.750
alpha	palaka	0.708	0.340	0.755
alphabet	mataitusi	0.562	0.204	0.672
alphabetical	fafapeta	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	ua leva	0.592	0.717	0.351
altar	fata faitaulaga	0.724	0.387	0.635
altar boy	fata faitaulaga	0.434	0.206	0.350
alter	suia	0.333	0.694	0.654
alteration	suiga	0.167	0.798	0.609
altercation	suiga	0.170	0.806	0.500
altered	suia	0.255	0.765	0.500
alternate	sui	0.625	0.363	0.589
alternating	sui	0.480	0.494	0.542
alternative	isi	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	maualuga	0.708	0.482	0.736
alto	tusa lava	0.656	0.404	0.730
altogether	atoa	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	tuufaatasiga	0.438	0.333	0.510
amalgamation	tuufaatasiga	0.406	0.470	0.531
amaretto	faʻailoga	0.543	0.551	0.375
amass	faʻapipiʻi	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	maofa	0.896	0.843	0.783
amazed	maofa	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	maofa	0.750	0.800	0.639
amazing	ofoofogia	0.906	0.837	0.849
amazingly	ofoofogia	0.918	0.765	0.920
ambassador	amepasa	0.651	0.529	0.917
amber	Amber	0.635	0.308	0.369
ambience	lagona fiafia	0.735	0.356	0.426
ambient	uiga tutusa	0.625	0.360	0.582
ambiguity	valea	0.164	0.460	0.370
ambiguous	faanenefu	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	faanaunauga	0.510	0.804	0.661
ambitious	naunau tele	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	falemaʻi	0.500	0.750	0.609
ambush	faʻatali	0.281	0.830	0.500
ameliorate	faʻaleleia	0.770	0.548	0.747
amen	Amene	0.781	0.182	0.542
amenable	faʻafeiloaʻi	0.448	0.410	0.406
amend	teuteu	0.688	0.406	0.658
amendment	teuteuga	0.531	0.459	0.606
amends	teuteu	0.640	0.366	0.517
amenity	amene	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	malie	0.847	0.290	0.483
amicable	faʻalelei	0.875	0.330	0.507
amid	lotolotoi	0.510	0.340	0.256
amidst	i le ogatotonu	0.480	0.330	0.316
amino	Amino	0.551	0.402	0.433
ammo	Ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	auupega	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	faʻamaoni	0.551	0.451	0.814
amorous	fiafia	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	faʻaaogaina	0.592	0.491	0.522
amount	aofaiga	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	fale faʻafiafia	0.653	0.480	0.545
ample	tele	0.744	0.349	0.719
amplification	faʻamatalaga	0.690	0.677	0.810
amplify	faʻatele	0.677	0.735	0.827
amplitude	telefoni	0.694	0.439	0.692
amply	lava	0.781	0.431	0.766
amputate	toesea	0.092	0.660	0.509
amputation	toesea	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	fiafia	0.812	0.684	0.664
amused	fiafia	0.942	0.847	0.596
amusement	mea malie	0.929	0.837	0.803
amusing	malie	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	faʻamaʻi	0.350	0.217	0.473
anaesthetic	vailaʻau	0.449	0.268	0.509
anagram	ata	0.552	0.327	0.449
anal	tala	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
