Word	Sundanese-su	Valence	Arousal	Dominance
adhesive	napel	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adiposa	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	tepung wates	0.645	0.276	0.536
adjective	kecap sipat	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	nunda	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	ngatur	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	carana ngatur	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	ngololakeun	0.635	0.425	0.860
administration	administrasi	0.625	0.404	0.786
administrative	administrasi	0.542	0.415	0.579
administrator	anu ngolola	0.538	0.480	0.902
admirable	hebat	0.929	0.600	0.870
admiral	laksamana	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	rasa reueus	0.969	0.583	0.726
admire	muja	0.867	0.692	0.704
admired	admired	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	admiring	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	bisa ditarima	0.780	0.528	0.642
admission	pangakuan	0.802	0.415	0.732
admit	ngaku	0.538	0.423	0.667
admittance	hak keur asup	0.690	0.451	0.598
admitted	ngaku	0.720	0.490	0.767
admitting	admitting	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	waktu rumaja	0.487	0.694	0.444
adolescent	rumaja	0.781	0.680	0.509
adopt	ngukut anak	0.694	0.612	0.701
adoption	kukut	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	pikaresepeun	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	muja	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	ngahias	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	ngapung	0.398	0.486	0.230
adult	dewasa	0.815	0.491	0.787
adulterated	meruhkeun	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	kajinahan	0.120	0.922	0.510
adulthood	dewasa	0.541	0.454	0.652
advance	ngamajukeun	0.673	0.472	0.858
advanced	maju	0.844	0.623	0.797
advancement	kamajuan	0.776	0.650	0.839
advancing	advancing	0.929	0.608	0.812
advantage	Kauntungannana	0.917	0.548	0.859
advantageous	nguntungkeun	0.837	0.640	0.789
advent	Advent	0.665	0.560	0.627
adventure	pangalalanaan	0.917	0.857	0.710
adventurer	nu ngalalana	0.781	0.839	0.868
adventures	adventures	0.812	0.764	0.749
adventurous	Dongeng	0.969	0.898	0.722
adversary	musuh	0.349	0.777	0.457
adverse	ngarugikeun	0.323	0.610	0.385
adversity	adversity	0.276	0.760	0.538
advertise	ngareklameukeun	0.500	0.529	0.580
advertisement	reklameu	0.600	0.566	0.539
advertising	perkara reklameu	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	pituah	0.698	0.408	0.688
advisable	sasaena	0.867	0.480	0.510
advise	mamatahan	0.760	0.393	0.705
advised	disarankan	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	panasehat	0.745	0.362	0.705
advisor	panaséhat	0.646	0.350	0.689
advisory	piwuruk	0.656	0.429	0.633
advocacy	advokasi	0.500	0.646	0.731
advocate	nyarankeun	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	hawa	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodinamika	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	kapal udara	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	kaendahan	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	Afar	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	urusan	0.520	0.459	0.657
affect	mangaruhan	0.458	0.569	0.578
affecting	mangaruhan	0.350	0.574	0.394
affection	kaasih	0.898	0.559	0.696
affectionate	kaasih pisan	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	surat penting jeung sah	0.469	0.584	0.526
affiliated	filial	0.673	0.519	0.535
affiliation	karaketan	0.615	0.594	0.500
affinity	pangirut	0.800	0.500	0.537
affirm	ngeceskeun	0.745	0.509	0.731
affirmation	negeskeun	0.750	0.500	0.689
affirmative	satuju	0.854	0.589	0.816
affirmatively	affirmatively	0.908	0.500	0.811
affix	nambahan	0.438	0.335	0.411
afflict	sangsara	0.302	0.555	0.293
afflicted	afflicted	0.271	0.500	0.167
affliction	kasangsaraan	0.294	0.635	0.392
affluence	kamakmuran	0.663	0.618	0.722
affluent	makmur	0.756	0.388	0.477
afford	mampuh	0.571	0.580	0.575
affordable	affordable	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	ngambang	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	disebut tadi	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	sieun	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	Aprika	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	alam baka	0.571	0.567	0.568
aftermath	ceurik getih	0.312	0.449	0.444
afternoon	burit	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	afterthought	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	umur	0.561	0.226	0.498
aged	yuswa	0.135	0.365	0.236
agency	agen	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agen	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	nganyenyerikeun hate	0.224	0.770	0.464
aggravated	aggravated	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	ngakeuheulkeun	0.257	0.794	0.640
aggravation	kakeuheul	0.071	0.784	0.613
aggregate	agrégat	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresi	0.094	0.929	0.533
aggressive	agresip	0.125	0.949	0.648
aggressively	aggressively	0.250	0.926	0.688
aggressiveness	aggressiveness	0.077	0.913	0.648
aggressor	nu merangan	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	tangkas	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	sepuh	0.214	0.255	0.284
agitate	ngeundeurkeun	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	tukang	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	kanyeri nu nyosok jero	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	satuju	0.906	0.260	0.545
agreeable	bisa disatujuan	0.906	0.500	0.696
agreed	disatuju	0.797	0.449	0.574
agreeing	agreeing	0.854	0.480	0.557
agreement	perjangjian	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	pertanian	0.686	0.321	0.473
agriculture	pertanian	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	di payun	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	bantuan	0.796	0.491	0.541
aide	ajudan	0.724	0.342	0.434
aiding	aiding	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ngagantikeun	0.094	0.518	0.153
ailment	panyakit enteng	0.146	0.734	0.277
aim	tujul	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	hawa	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	airborne	0.542	0.519	0.385
aircraft	kapal udara	0.646	0.644	0.691
aircraft carrier	pamawa pesawat	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	pausahaan kapal udara	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	kapal udara	0.719	0.702	0.708
airport	palabuan udara	0.729	0.684	0.682
airs	Airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	lorong	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	sami	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarem	0.241	0.882	0.698
alarm clock	jam alarem	0.542	0.727	0.642
alarmed	alarmed	0.188	0.822	0.492
alarming	ngahariwangkeun	0.204	0.890	0.585
alas	Alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albeum	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	pamabokan	0.153	0.688	0.361
alcoholism	mabok	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	waspada	0.479	0.820	0.648
alertness	alertness	0.375	0.875	0.750
alerts	ngabejaan	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	aljabar	0.440	0.340	0.565
algebraic	aljabar	0.531	0.412	0.441
algorithm	algoritma	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	ngasingkeun	0.247	0.500	0.523
alienated	tebih	0.410	0.423	0.559
alienation	tempat keur ngasingkeun	0.378	0.530	0.462
alight	eunteup	0.667	0.657	0.605
align	ngagabung jadi babarengan	0.656	0.364	0.627
aligned	Blok	0.583	0.275	0.553
alignment	alignment	0.643	0.412	0.683
alike	sarua	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	duit sokongan saenggeusna pipisahan	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	hirup	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloid	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	sangkaan	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	disangka	0.365	0.522	0.520
allegiance	kasatiaan	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergi jeung	0.135	0.549	0.273
allergy	alergi	0.296	0.606	0.389
alleviate	alleviate	0.869	0.270	0.528
alleviation	alleviation	0.735	0.200	0.491
alley	cenik gang	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	ngongkowan	0.696	0.473	0.769
allied	ngagabung jadi babarengan	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	ngajatah	0.673	0.462	0.672
allocation	jatah	0.604	0.388	0.679
allot	ngabagikeun	0.622	0.481	0.616
allotment	bagean	0.600	0.390	0.640
allow	ngidinkeun	0.698	0.429	0.538
allowable	allowable	0.698	0.500	0.561
allowance	idin	0.673	0.382	0.591
allowed	diwenangkeun	0.730	0.360	0.655
alloy	logam campuran	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	mikat	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	dataran aluvial	0.323	0.490	0.491
ally	babaturan deukeut	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	nu pang kawasana	0.938	0.874	0.958
almond	buah badam	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	Dirgahayu	0.698	0.440	0.441
alone	sorangan	0.333	0.167	0.216
alongside	barengan	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	kalawan tarik	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	aksara	0.562	0.204	0.672
alphabetical	nurut aksara	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	budak altar	0.434	0.206	0.350
alter	ngarobah	0.333	0.694	0.654
alteration	robahan	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	dirobah	0.255	0.765	0.500
alternate	silih ganti	0.625	0.363	0.589
alternating	bolak	0.480	0.494	0.542
alternative	alternatip	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	luhurna	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	sakabehna	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amatir	0.469	0.500	0.409
amaze	reueus pisan	0.896	0.843	0.783
amazed	amazed	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	kaheranan	0.750	0.800	0.639
amazing	endah pisan	0.906	0.837	0.849
amazingly	amazingly	0.918	0.765	0.920
ambassador	duta ageng	0.651	0.529	0.917
amber	damar nu jadi kaya batu	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambiguitas	0.164	0.460	0.370
ambiguous	ambigu	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambisi	0.510	0.804	0.661
ambitious	gede ambisina	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulan	0.500	0.750	0.609
ambush	tewak	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	amin	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	ngajadikeun amandemen	0.688	0.406	0.658
amendment	amandemen	0.531	0.459	0.606
amends	amends	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	hade hatena	0.875	0.330	0.507
amid	Ditengah	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	amonium	0.354	0.396	0.368
ammunition	amunisi	0.338	0.635	0.667
amnesia	gering gampang poho ingetan	0.296	0.330	0.308
amnesty	pangampuran hukuman tina kapala nagara	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	jumlah	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	Kujang.jpg	0.653	0.480	0.545
ample	luas	0.744	0.349	0.719
amplification	Gedekeun	0.690	0.677	0.810
amplify	ngajadikeun leuwih tarik	0.677	0.735	0.827
amplitude	amplitudo	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	motong	0.092	0.660	0.509
amputation	amputasi	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	jimat	0.781	0.260	0.630
amuse	ngahibur	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	raramean	0.929	0.837	0.803
amusing	lucu	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	ubar keur ngabius	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analisa	0.729	0.448	0.705
analyst	analis	0.604	0.415	0.755
analytic	analytic	0.665	0.521	0.634
analytical	analitik	0.625	0.324	0.800
analyze	nganalisa	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
