Word	Nepali-ne	Valence	Arousal	Dominance
addict	आदी	0.075	0.696	0.327
addicted	आदी	0.156	0.712	0.483
addiction	लत	0.180	0.806	0.420
addictive	नशे की लत	0.302	0.683	0.472
addition	थप	0.562	0.373	0.471
additional	अतिरिक्त	0.673	0.462	0.526
additive	थप	0.561	0.633	0.691
address	ठेगाना	0.650	0.327	0.567
addressee	ठेगाना	0.622	0.382	0.538
addresses	ठेगानाहरू	0.510	0.354	0.450
adept	अनुचित	0.594	0.539	0.789
adequacy	पर्याप्तता	0.615	0.435	0.702
adequate	पर्याप्त	0.854	0.264	0.705
adhere	पालन ​​गर्नुहोस्	0.633	0.339	0.554
adherence	पालन ​​गर्नुहोस्	0.760	0.307	0.630
adherent	पालन ​​गर्नुहोस्	0.561	0.385	0.555
adhering	पालन ​​गर्दै	0.612	0.561	0.537
adhesion	आसंजन	0.521	0.445	0.586
adhesive	टाँसन वाला	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	एडपोज गर्नुहोस्	0.333	0.350	0.391
adjacency	निकटता	0.365	0.417	0.375
adjacent	आसन्न	0.645	0.276	0.536
adjective	विशेषण	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	विघटन	0.385	0.456	0.475
adjournment	विघटन	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	समायोजन गर्नुहोस्	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	समायोजन	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	व्यवस्थापक	0.688	0.420	0.854
administer	प्रशासन	0.635	0.425	0.860
administration	प्रशासन	0.625	0.404	0.786
administrative	प्रशासनिक	0.542	0.415	0.579
administrator	प्रशासक	0.538	0.480	0.902
admirable	प्रशंसनीय	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	प्रशंसा	0.969	0.583	0.726
admire	प्रशंसा गर्नुहोस्	0.867	0.692	0.704
admired	प्रशंसा गरे	0.917	0.560	0.815
admirer	प्रशंसक	0.796	0.720	0.650
admiring	प्रशंसा गर्दै	0.867	0.578	0.629
admissibility	स्वीकार्यता	0.802	0.580	0.602
admissible	स्वीकार्य	0.780	0.528	0.642
admission	प्रवेश	0.802	0.415	0.732
admit	स्वीकार गर्नुहोस्	0.538	0.423	0.667
admittance	दाबी	0.690	0.451	0.598
admitted	दाखिल भएको	0.720	0.490	0.767
admitting	स्वीकार गर्दै	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	सल्लाह	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	एडोब	0.500	0.319	0.328
adolescence	किशोरावस्था	0.487	0.694	0.444
adolescent	किशोर	0.781	0.680	0.509
adopt	अप्ठेरो	0.694	0.612	0.701
adoption	स्वीकृति	0.625	0.566	0.589
adoptive	ग्रहण	0.531	0.469	0.520
adorable	आराध्य	0.969	0.519	0.457
adoration	सजावट	0.885	0.699	0.708
adore	रुचाउँछन्	0.854	0.438	0.657
adoring	पालन ​​गर्दै	0.885	0.620	0.717
adorn	सङ्कलन	0.910	0.424	0.482
adornment	पुरूष	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	एड्रेनालिन	0.765	0.965	0.825
adrift	ईश्वर	0.398	0.486	0.230
adult	वयस्क	0.815	0.491	0.787
adulterated	व्यभिचारित	0.188	0.865	0.370
adulterer	व्यभिचारी	0.229	0.814	0.407
adultery	व्यभिचार	0.120	0.922	0.510
adulthood	वयस्क	0.541	0.454	0.652
advance	अग्रिम	0.673	0.472	0.858
advanced	उन्नत	0.844	0.623	0.797
advancement	प्रगति	0.776	0.650	0.839
advancing	अग्रगामी	0.929	0.608	0.812
advantage	फाइदा	0.917	0.548	0.859
advantageous	फायदेमंद	0.837	0.640	0.789
advent	आगमन	0.665	0.560	0.627
adventure	साहसिक	0.917	0.857	0.710
adventurer	साहसी	0.781	0.839	0.868
adventures	रोमांच	0.812	0.764	0.749
adventurous	साहसी	0.969	0.898	0.722
adversary	विपक्षी	0.349	0.777	0.457
adverse	प्रतिकूल	0.323	0.610	0.385
adversity	विपत्ति	0.276	0.760	0.538
advertise	विज्ञापन गर्नुहोस्	0.500	0.529	0.580
advertisement	विज्ञापन	0.600	0.566	0.539
advertising	विज्ञापन	0.622	0.608	0.632
adverts	विज्ञापन गर्दछ	0.551	0.500	0.595
advice	सल्लाह	0.698	0.408	0.688
advisable	सल्लाहकार	0.867	0.480	0.510
advise	सल्लाह	0.760	0.393	0.705
advised	सल्लाह दिए	0.823	0.330	0.509
advisement	सल्लाह	0.698	0.235	0.655
adviser	सल्लाहकार	0.745	0.362	0.705
advisor	सलाहकार	0.646	0.350	0.689
advisory	सल्लाहकार	0.656	0.429	0.633
advocacy	वकालत	0.500	0.646	0.731
advocate	अधिवक्ता	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	वायुसेना	0.550	0.500	0.433
aerial	हवाई	0.615	0.461	0.463
aerobics	एरोबिक्स	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	विमानस्थल	0.561	0.724	0.728
aerodynamics	विमानस्थल	0.590	0.663	0.722
aeronautics	वैमानिकी	0.551	0.633	0.688
aeroplane	हवाई जहाज	0.714	0.642	0.644
aerospace	एयरोस्पेस	0.643	0.520	0.779
aesthetic	सौंदर्य	0.708	0.442	0.526
aesthetics	सौंदर्यशास्त्र	0.847	0.327	0.549
aetiology	एथियोपोलोजी	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	प्रभावकारी	0.704	0.380	0.452
affair	मामला	0.520	0.459	0.657
affect	प्रभाव पार्छ	0.458	0.569	0.578
affecting	प्रभाव पार्छ	0.350	0.574	0.394
affection	स्नेह	0.898	0.559	0.696
affectionate	प्रेमी	0.949	0.422	0.550
affections	प्रभावहरू	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	Affidavit	0.469	0.584	0.526
affiliated	सम्बद्ध	0.673	0.519	0.535
affiliation	सम्बद्धता	0.615	0.594	0.500
affinity	आत्मीयता	0.800	0.500	0.537
affirm	पुष्टि गर्नुहोस्	0.745	0.509	0.731
affirmation	पुष्टि	0.750	0.500	0.689
affirmative	सकारात्मक	0.854	0.589	0.816
affirmatively	सकारात्मक रूपमा	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	पीडा	0.302	0.555	0.293
afflicted	पीडा भयो	0.271	0.500	0.167
affliction	दुखाइ	0.294	0.635	0.392
affluence	सम्मोहन	0.663	0.618	0.722
affluent	अमीर	0.756	0.388	0.477
afford	सस्तो	0.571	0.580	0.575
affordable	सस्ती	0.840	0.398	0.493
affront	अनुहार	0.327	0.740	0.547
affronted	सामना गरियो	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	आगो	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	उपराष्ट्रपति	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	डराउनु	0.010	0.775	0.245
afresh	नयाँ	0.643	0.521	0.480
african	अफ्रिका	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	पछि जीवन	0.571	0.567	0.568
aftermath	पछि	0.312	0.449	0.444
afternoon	दोहोरो	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	पछि	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	उमेर	0.540	0.377	0.483
age	उमेर	0.561	0.226	0.498
aged	उमेर	0.135	0.365	0.236
agency	एजेन्सी	0.460	0.296	0.583
agenda	एजेन्डा	0.531	0.296	0.553
agent	एजेन्ट	0.480	0.439	0.755
agglomeration	चकलेट	0.450	0.765	0.509
aggravate	बढ्दो	0.224	0.770	0.464
aggravated	बढ्यो	0.079	0.760	0.430
aggravates	बढ्छ	0.108	0.778	0.357
aggravating	बढ्दो	0.257	0.794	0.640
aggravation	बढ्दो	0.071	0.784	0.613
aggregate	कुल	0.730	0.378	0.556
aggregation	एकत्रीकरण	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	आक्रामकता	0.094	0.929	0.533
aggressive	आक्रामक	0.125	0.949	0.648
aggressively	आक्रामक	0.250	0.926	0.688
aggressiveness	आक्रामकता	0.077	0.913	0.648
aggressor	आक्रामक	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	तीज	0.800	0.657	0.775
agility	चपलता	0.720	0.702	0.815
aging	उमेर	0.214	0.255	0.284
agitate	आचरण गर्नुहोस्	0.300	0.796	0.593
agitated	उत्तेजित भयो	0.444	0.882	0.491
agitation	आलोचना	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	पहिले	0.317	0.280	0.404
agonizing	आलोचना	0.083	0.800	0.340
agony	पीडा	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	सहमत हुनुहोस्	0.906	0.260	0.545
agreeable	सहमत	0.906	0.500	0.696
agreed	सहमत भयो	0.797	0.449	0.574
agreeing	सहमत हुनुहोस्	0.854	0.480	0.557
agreement	सम्झौता	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	कृषि	0.686	0.321	0.473
agriculture	कृषि	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	अगाडि	0.708	0.520	0.673
ahhh	आह	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	सहायता	0.796	0.491	0.541
aide	सहयोगी	0.724	0.342	0.434
aiding	सहायता	0.643	0.533	0.569
aids	एड्स	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	तेल	0.094	0.518	0.153
ailment	रोग	0.146	0.734	0.277
aim	उद्देश्य	0.481	0.569	0.567
aimless	लक्ष्यहीन	0.150	0.267	0.183
air	हावा	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	हवाई	0.542	0.519	0.385
aircraft	विमानस्थलमा	0.646	0.644	0.691
aircraft carrier	विमान वाहक	0.490	0.740	0.727
airfield	वायुसेना	0.601	0.650	0.645
airhead	एयरहेड	0.271	0.481	0.276
airlift	हवाई जहाज	0.573	0.622	0.642
airline	एयरलाइन	0.650	0.482	0.688
airliner	हवाई जहाज	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	हवाई जहाज	0.719	0.702	0.708
airport	हवाई अड्डा	0.729	0.684	0.682
airs	हावा	0.583	0.196	0.370
airship	हवाई जहाज	0.542	0.472	0.529
airspace	एयरस्पेस	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	हवाई जहाज	0.550	0.690	0.649
airtight	उज्यालो	0.479	0.381	0.570
airway	हवाई मार्ग	0.638	0.585	0.482
aisle	हवाई जहाज	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	अलार्म	0.241	0.882	0.698
alarm clock	अलार्म घडी	0.542	0.727	0.642
alarmed	खतरनाक छ	0.188	0.822	0.492
alarming	खतरनाक	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	एल्बम	0.635	0.349	0.453
alchemy	रसायन विज्ञान	0.541	0.583	0.693
alcohol	शराब	0.323	0.667	0.377
alcoholic	शराब	0.153	0.688	0.361
alcoholism	रक्सी	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	चेतावनी	0.479	0.820	0.648
alertness	सतर्कता	0.375	0.875	0.750
alerts	अलर्टहरू	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	बीजगणना	0.440	0.340	0.565
algebraic	बीजगणना	0.531	0.412	0.441
algorithm	एल्गोरिदम	0.448	0.394	0.559
alias	उपनाम	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	विदेशी	0.410	0.615	0.491
alienate	अठोट	0.247	0.500	0.523
alienated	विलय भयो	0.410	0.423	0.559
alienation	अलगाव	0.378	0.530	0.462
alight	अलाइट	0.667	0.657	0.605
align	पङ्क्तिबद्ध गर्नुहोस्	0.656	0.364	0.627
aligned	पङ्क्तिबद्ध	0.583	0.275	0.553
alignment	संरेखण	0.643	0.412	0.683
alike	समान	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	गलती	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	जीवित	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	सबै	0.417	0.406	0.398
allegation	आरोप	0.578	0.578	0.608
allege	आरोप लगाउँछन्	0.418	0.482	0.587
alleged	कथित	0.365	0.522	0.520
allegiance	निष्ठा	0.917	0.398	0.750
allegorical	आरोपित	0.517	0.558	0.598
allegory	आरोप	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	एलर्जी	0.135	0.549	0.273
allergy	एलर्जी	0.296	0.606	0.389
alleviate	घटाउनुहोस्	0.869	0.270	0.528
alleviation	कमजोरी	0.735	0.200	0.491
alley	गल्ली	0.347	0.500	0.355
alleyway	अल्लेवेवे	0.357	0.471	0.382
alliance	गठबन्धन	0.696	0.473	0.769
allied	सहयोगी	0.714	0.245	0.642
alligator	आविष्कारक	0.354	0.704	0.645
allocate	आवंटित गर्नुहोस्	0.673	0.462	0.672
allocation	आवंटन	0.604	0.388	0.679
allot	आवारा	0.622	0.481	0.616
allotment	आवंटन	0.600	0.390	0.640
allow	अनुमति दिनुहोस्	0.698	0.429	0.538
allowable	स्वीकार्य	0.698	0.500	0.561
allowance	भत्ता	0.673	0.382	0.591
allowed	अनुमति दिइयो	0.730	0.360	0.655
alloy	मिश्र धातु	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	अलौकिक	0.804	0.585	0.686
alluring	आकर्षक	0.837	0.745	0.843
allusion	विलुप्तता	0.440	0.308	0.462
alluvial	अलौलिक	0.323	0.490	0.491
ally	सहयोगी	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	सर्वशक्तिमान	0.938	0.874	0.958
almond	बदाम	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	एक्लै	0.333	0.167	0.216
alongside	साथमा	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	गडबड	0.458	0.713	0.750
alpha	अल्फा	0.708	0.340	0.755
alphabet	वर्णमाला	0.562	0.204	0.672
alphabetical	वर्णमाला	0.537	0.296	0.535
alpine	अल्पाइन	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	वेदी	0.724	0.387	0.635
altar boy	वेदीको केटा	0.434	0.206	0.350
alter	बदल्नुहोस्	0.333	0.694	0.654
alteration	परिवर्तन	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	परिवर्तन गरियो	0.255	0.765	0.500
alternate	वैकल्पिक	0.625	0.363	0.589
alternating	वैकल्पिक	0.480	0.494	0.542
alternative	विकल्प	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	अक्षांश	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	पूर्णरूपमा	0.833	0.324	0.644
aluminum	एल्युमिनियम	0.449	0.280	0.434
alumnus	अलमारी	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	मिश्रण	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	शौकिया	0.469	0.500	0.409
amaze	अजीब	0.896	0.843	0.783
amazed	चकित	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	चकित	0.750	0.800	0.639
amazing	अद्भुत	0.906	0.837	0.849
amazingly	आश्चर्यजनक	0.918	0.765	0.920
ambassador	Ambassador	0.651	0.529	0.917
amber	एम्बर	0.635	0.308	0.369
ambience	वातावरण	0.735	0.356	0.426
ambient	परिवेश	0.625	0.360	0.582
ambiguity	अस्पष्टता	0.164	0.460	0.370
ambiguous	अस्पष्ट	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	महत्वाकांक्षी	0.510	0.804	0.661
ambitious	महत्वाकांक्षी	0.484	0.821	0.717
ambivalent	अस्पष्ट	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	यम्बुलेन्स	0.500	0.750	0.609
ambush	अटूट	0.281	0.830	0.500
ameliorate	बढाउनुहोस्	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	उत्तरदायी	0.448	0.410	0.406
amend	संशोधन गर्नुहोस्	0.688	0.406	0.658
amendment	संशोधन	0.531	0.459	0.606
amends	amends	0.640	0.366	0.517
amenity	सुविधा	0.750	0.327	0.574
amethyst	शिष्टाचार	0.622	0.406	0.517
amiable	अयोग्य	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	बीचमा	0.510	0.340	0.256
