Word	Irish-ga	Valence	Arousal	Dominance
adhering	ag cloí leis	0.612	0.561	0.537
adhesion	greamaitheacht	0.521	0.445	0.586
adhesive	greamaitheach	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	in aice láimhe	0.365	0.417	0.375
adjacent	in aice	0.645	0.276	0.536
adjective	aidiacht	0.570	0.316	0.569
adjoining	in aice láimhe	0.520	0.400	0.393
adjourn	atráth	0.385	0.456	0.475
adjournment	atráth	0.438	0.510	0.370
adjudicate	breithniú	0.559	0.520	0.683
adjudication	breithniú	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	coigeartú	0.647	0.327	0.638
adjuster	coigeartóir	0.510	0.540	0.760
adjustment	coigeartú	0.590	0.520	0.661
adjuvant	aidiúvach	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	riaradh	0.635	0.425	0.860
administration	riarachán	0.625	0.404	0.786
administrative	riaracháin	0.542	0.415	0.579
administrator	riarthóir	0.538	0.480	0.902
admirable	ionmholta	0.929	0.600	0.870
admiral	mhóiléir	0.844	0.490	0.847
admiralty	maireachtáil	0.594	0.547	0.733
admiration	admiration	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	admired	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	ag admiring	0.867	0.578	0.629
admissibility	inghlacthacht	0.802	0.580	0.602
admissible	inghlactha	0.780	0.528	0.642
admission	iontráil	0.802	0.415	0.732
admit	admháil	0.538	0.423	0.667
admittance	admháil	0.690	0.451	0.598
admitted	admhaíodh	0.720	0.490	0.767
admitting	ag ligean isteach	0.620	0.500	0.546
admixture	cumaisc	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ógánaigh	0.487	0.694	0.444
adolescent	ógánach	0.781	0.680	0.509
adopt	ghlacadh	0.694	0.612	0.701
adoption	glacadh	0.625	0.566	0.589
adoptive	uchtaíoch	0.531	0.469	0.520
adorable	gleoite	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	adhair	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	duine fásta	0.815	0.491	0.787
adulterated	adulterated	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	adhaltranas	0.120	0.922	0.510
adulthood	fásta	0.541	0.454	0.652
advance	roimh ré	0.673	0.472	0.858
advanced	dul chun cinn	0.844	0.623	0.797
advancement	dul chun cinn	0.776	0.650	0.839
advancing	ag dul chun cinn	0.929	0.608	0.812
advantage	buntáiste	0.917	0.548	0.859
advantageous	buntáisteach	0.837	0.640	0.789
advent	teacht	0.665	0.560	0.627
adventure	eachtra	0.917	0.857	0.710
adventurer	eachtraíochta	0.781	0.839	0.868
adventures	eachtraí	0.812	0.764	0.749
adventurous	eachtrúil	0.969	0.898	0.722
adversary	adversary	0.349	0.777	0.457
adverse	díobhálach	0.323	0.610	0.385
adversity	diúltacht	0.276	0.760	0.538
advertise	fógraíodh	0.500	0.529	0.580
advertisement	fógrán	0.600	0.566	0.539
advertising	fógraíocht	0.622	0.608	0.632
adverts	fógraí	0.551	0.500	0.595
advice	comhairle	0.698	0.408	0.688
advisable	inmholta	0.867	0.480	0.510
advise	comhairle a thabhairt	0.760	0.393	0.705
advised	comhairle	0.823	0.330	0.509
advisement	comhairle	0.698	0.235	0.655
adviser	comhairleoir	0.745	0.362	0.705
advisor	comhairleoir	0.646	0.350	0.689
advisory	comhairleacha	0.656	0.429	0.633
advocacy	Abhcóideacht	0.500	0.646	0.731
advocate	Abhcóide	0.551	0.530	0.818
aegis	cois	0.490	0.439	0.462
aeration	aeraithe	0.550	0.500	0.433
aerial	aeir	0.615	0.461	0.463
aerobics	aeróbaice	0.708	0.771	0.627
aerodrome	aeradróm	0.541	0.740	0.678
aerodynamic	aerodinimiciúil	0.561	0.724	0.728
aerodynamics	aerodinimic	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	eitleán	0.714	0.642	0.644
aerospace	aeraspáis	0.643	0.520	0.779
aesthetic	aeistéitiúil	0.708	0.442	0.526
aesthetics	aeistéitic	0.847	0.327	0.549
aetiology	aoiseolaíocht	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	dearfach	0.704	0.380	0.452
affair	affair	0.520	0.459	0.657
affect	difear	0.458	0.569	0.578
affecting	a dhéanann difear	0.350	0.574	0.394
affection	gean	0.898	0.559	0.696
affectionate	affectionate	0.949	0.422	0.550
affections	cairde	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	mionnscríbhinn	0.469	0.584	0.526
affiliated	cleamhnaithe	0.673	0.519	0.535
affiliation	cleamhnaithe	0.615	0.594	0.500
affinity	cleamhnas	0.800	0.500	0.537
affirm	dhaingniú	0.745	0.509	0.731
affirmation	dearbhú	0.750	0.500	0.689
affirmative	dearfach	0.854	0.589	0.816
affirmatively	dearfach	0.908	0.500	0.811
affix	cuir isteach	0.438	0.335	0.411
afflict	afflict	0.302	0.555	0.293
afflicted	cúisithe	0.271	0.500	0.167
affliction	mothú	0.294	0.635	0.392
affluence	saibhreas	0.663	0.618	0.722
affluent	saibhir	0.756	0.388	0.477
afford	acmhainn	0.571	0.580	0.575
affordable	inacmhainne	0.840	0.398	0.493
affront	dearfach	0.327	0.740	0.547
affronted	dearfach	0.385	0.750	0.527
afield	in aice	0.594	0.370	0.373
afire	dul	0.367	0.904	0.675
afloat	ar leataobh	0.602	0.427	0.444
afore	roimhe seo	0.500	0.337	0.382
aforementioned	thuasluaite	0.490	0.316	0.408
aforesaid	réamhráite	0.531	0.358	0.478
afraid	eagla	0.010	0.775	0.245
afresh	nua	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	saol	0.571	0.567	0.568
aftermath	tar éis	0.312	0.449	0.444
afternoon	tráthnóna	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	athuair	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	aois	0.561	0.226	0.498
aged	aois	0.135	0.365	0.236
agency	gníomhaireacht	0.460	0.296	0.583
agenda	clár oibre	0.531	0.296	0.553
agent	gníomhaire	0.480	0.439	0.755
agglomeration	ceirtleán	0.450	0.765	0.509
aggravate	ag meathlú	0.224	0.770	0.464
aggravated	méadaithe	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	ag fulaingt	0.257	0.794	0.640
aggravation	tromchúiseach	0.071	0.784	0.613
aggregate	comhiomlán	0.730	0.378	0.556
aggregation	comhiomlánú	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ionsaí	0.094	0.929	0.533
aggressive	ionsaitheach	0.125	0.949	0.648
aggressively	aggressively	0.250	0.926	0.688
aggressiveness	ionsaitheach	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	leann	0.800	0.657	0.775
agility	aclaíocht	0.720	0.702	0.815
aging	ag dul in aois	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	agitated	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	ó shin	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agony	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	aontú	0.906	0.260	0.545
agreeable	inmholta	0.906	0.500	0.696
agreed	aontaithe	0.797	0.449	0.574
agreeing	ag aontú	0.854	0.480	0.557
agreement	comhaontú	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	talmhaíochta	0.686	0.321	0.473
agriculture	talmhaíocht	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	romhainn	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	cúnamh	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	cabhrú leat	0.643	0.533	0.569
aids	áiseanna	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	tinneas	0.146	0.734	0.277
aim	aidhm	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	aer	0.708	0.163	0.427
airbag	bagáiste	0.510	0.402	0.433
airborne	aerbheirthe	0.542	0.519	0.385
aircraft	aerárthach	0.646	0.644	0.691
aircraft carrier	iompróir aerárthach	0.490	0.740	0.727
airfield	aerchlós	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	aerlíne	0.650	0.482	0.688
airliner	aerlíne	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	eitleán	0.719	0.702	0.708
airport	aerfort	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	aerspás	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	aerstrip	0.550	0.690	0.649
airtight	aerdhíonach	0.479	0.381	0.570
airway	aerbhealach	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	cosúil	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	aláraim	0.241	0.882	0.698
alarm clock	clog aláraim	0.542	0.727	0.642
alarmed	alarmed	0.188	0.822	0.492
alarming	scanrúil	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albam	0.635	0.349	0.453
alchemy	Ailceimic	0.541	0.583	0.693
alcohol	alcól	0.323	0.667	0.377
alcoholic	alcóil	0.153	0.688	0.361
alcoholism	alcólacht	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	airdeall	0.479	0.820	0.648
alertness	follasacht	0.375	0.875	0.750
alerts	foláirimh	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	ailgéabar	0.440	0.340	0.565
algebraic	ailgéabrach	0.531	0.412	0.441
algorithm	algartam	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	eachtrannach	0.410	0.615	0.491
alienate	eachtrannach	0.247	0.500	0.523
alienated	eachtrannach	0.410	0.423	0.559
alienation	coimhthiú	0.378	0.530	0.462
alight	ardaigh	0.667	0.657	0.605
align	ailínigh	0.656	0.364	0.627
aligned	ailínithe	0.583	0.275	0.553
alignment	ailíniú	0.643	0.412	0.683
alike	araon	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ailíniú	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	beo	0.816	0.637	0.731
alkali	alcaile	0.490	0.350	0.408
alkaloids	alcalóidigh	0.433	0.562	0.402
allay	athraigh	0.417	0.406	0.398
allegation	líomhain	0.578	0.578	0.608
allege	líomhain	0.418	0.482	0.587
alleged	líomhnaítear	0.365	0.522	0.520
allegiance	dliteanas	0.917	0.398	0.750
allegorical	allegorical	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	ailléirgeach	0.135	0.549	0.273
allergy	ailléirge	0.296	0.606	0.389
alleviate	maolú	0.869	0.270	0.528
alleviation	maolú	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	bóthar	0.357	0.471	0.382
alliance	Comhar	0.696	0.473	0.769
allied	gaolmhar	0.714	0.245	0.642
alligator	ailigéadar	0.354	0.704	0.645
allocate	leithdháileadh	0.673	0.462	0.672
allocation	leithdháileadh	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	leithroinnt	0.600	0.390	0.640
allow	cead a thabhairt	0.698	0.429	0.538
allowable	inmhuirearaithe	0.698	0.500	0.561
allowance	liúntas	0.673	0.382	0.591
allowed	ceadaithe	0.730	0.360	0.655
alloy	cóimhiotail	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	taitneamhach	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	ally	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	uilechumhachtach	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	arda	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	ina n-aonar	0.333	0.167	0.216
alongside	taobh le taobh	0.458	0.333	0.347
aloof	áfach	0.189	0.423	0.302
aloud	os ard	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	aibítir	0.562	0.204	0.672
alphabetical	aibítre	0.537	0.296	0.535
alpine	alpach	0.594	0.337	0.474
alreadyyyyy	cheana féin	0.592	0.717	0.351
altar	altóir	0.724	0.387	0.635
altar boy	buachaill altóir	0.434	0.206	0.350
alter	athrú	0.333	0.694	0.654
alteration	athrú	0.167	0.798	0.609
altercation	athrú	0.170	0.806	0.500
altered	athrú	0.255	0.765	0.500
alternate	malartach	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	malartach	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	airde	0.708	0.482	0.736
alto	ard	0.656	0.404	0.730
altogether	ar fad	0.833	0.324	0.644
aluminum	alúmanam	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	cónascadh	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amaitéarach	0.469	0.500	0.409
amaze	amaze	0.896	0.843	0.783
amazed	iontas	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	iontas	0.750	0.800	0.639
amazing	iontach	0.906	0.837	0.849
amazingly	iontach	0.918	0.765	0.920
ambassador	ambasadóir	0.651	0.529	0.917
amber	ómra	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	timpeallachta	0.625	0.360	0.582
ambiguity	athbhrí	0.164	0.460	0.370
ambiguous	débhríoch	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	uaillmhian	0.510	0.804	0.661
ambitious	uaillmhianach	0.484	0.821	0.717
ambivalent	meabhrach	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	otharcharr	0.500	0.750	0.609
ambush	luíochán	0.281	0.830	0.500
ameliorate	níos fearr	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	iniompartha	0.448	0.410	0.406
amend	leasú	0.688	0.406	0.658
amendment	leasú	0.531	0.459	0.606
amends	leasaíonn	0.640	0.366	0.517
amenity	taitneamhacht	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	go héasca	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amóinia	0.292	0.587	0.409
ammonium	amóiniam	0.354	0.396	0.368
ammunition	armlón	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amúchadh	0.592	0.491	0.522
amount	méid	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheatre	0.653	0.480	0.545
ample	cuimsitheach	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	amplify	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	go mór	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	spraoi	0.929	0.837	0.803
amusing	go maith	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	ainéistéise	0.350	0.217	0.473
anaesthetic	ainéistéiseach	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	mar an gcéanna	0.531	0.270	0.500
analogue	analógach	0.570	0.320	0.446
analogy	analaí	0.510	0.367	0.509
analysis	anailís	0.729	0.448	0.705
analyst	anailísí	0.604	0.415	0.755
analytic	anailíseach	0.665	0.521	0.634
