Word	Yoruba-yo	Valence	Arousal	Dominance
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	alemora	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	nitosi	0.645	0.276	0.536
adjective	adjective	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	adjourn	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	ṣatunṣe	0.647	0.327	0.638
adjuster	ṣatunṣe	0.510	0.540	0.760
adjustment	atunṣe	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	abojuto	0.688	0.420	0.854
administer	itọju	0.635	0.425	0.860
administration	isakoso	0.625	0.404	0.786
administrative	Isakoso	0.542	0.415	0.579
administrator	Alabojuto	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	admiration	0.969	0.583	0.726
admire	ṣe ẹwà	0.867	0.692	0.704
admired	admired	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	igbimọ	0.867	0.578	0.629
admissibility	gbigba agbara	0.802	0.580	0.602
admissible	o ṣee ṣe	0.780	0.528	0.642
admission	gbigba wọle	0.802	0.415	0.732
admit	gba	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	gbawọ	0.720	0.490	0.767
admitting	gbigba	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	ikilọ	0.357	0.606	0.455
ado	ọṣọ	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ọdọ ọdọ	0.487	0.694	0.444
adolescent	ọdọ	0.781	0.680	0.509
adopt	gba	0.694	0.612	0.701
adoption	imuduro	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	idunnu	0.885	0.699	0.708
adore	fẹran	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornment	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	agbalagba	0.815	0.491	0.787
adulterated	agbere	0.188	0.865	0.370
adulterer	alagbere	0.229	0.814	0.407
adultery	panṣaga	0.120	0.922	0.510
adulthood	agbalagba	0.541	0.454	0.652
advance	ilosiwaju	0.673	0.472	0.858
advanced	ilọsiwaju	0.844	0.623	0.797
advancement	ilosiwaju	0.776	0.650	0.839
advancing	ilosiwaju	0.929	0.608	0.812
advantage	anfani	0.917	0.548	0.859
advantageous	advantageous	0.837	0.640	0.789
advent	dide	0.665	0.560	0.627
adventure	adventure	0.917	0.857	0.710
adventurer	Olugbeja	0.781	0.839	0.868
adventures	Awọn iworo	0.812	0.764	0.749
adventurous	adventurous	0.969	0.898	0.722
adversary	ọta	0.349	0.777	0.457
adverse	ikolu	0.323	0.610	0.385
adversity	ipọnju	0.276	0.760	0.538
advertise	polowo	0.500	0.529	0.580
advertisement	ipolongo	0.600	0.566	0.539
advertising	ipolowo	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	imọran	0.698	0.408	0.688
advisable	iṣeduro	0.867	0.480	0.510
advise	imọran	0.760	0.393	0.705
advised	ni imọran	0.823	0.330	0.509
advisement	imọran	0.698	0.235	0.655
adviser	oluranran	0.745	0.362	0.705
advisor	Onimọnran	0.646	0.350	0.689
advisory	imọran	0.656	0.429	0.633
advocacy	agbero	0.500	0.646	0.731
advocate	alagbawi	0.551	0.530	0.818
aegis	awọn aṣayan	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	eriali	0.615	0.461	0.463
aerobics	awọn eerobics	0.708	0.771	0.627
aerodrome	papa ọkọ ofurufu	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	awọn eeronautics	0.551	0.633	0.688
aeroplane	Okoofurufu	0.714	0.642	0.644
aerospace	ailorukọ	0.643	0.520	0.779
aesthetic	darapupo	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	o jina	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	ibalopọ	0.520	0.459	0.657
affect	ipa	0.458	0.569	0.578
affecting	n ni ipa	0.350	0.574	0.394
affection	ifẹ	0.898	0.559	0.696
affectionate	alafẹfẹ	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	to somọ	0.673	0.519	0.535
affiliation	isopọmọ	0.615	0.594	0.500
affinity	affinity	0.800	0.500	0.537
affirm	jẹri	0.745	0.509	0.731
affirmation	asọtẹlẹ	0.750	0.500	0.689
affirmative	o daju	0.854	0.589	0.816
affirmatively	ni otitọ	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	ni ipọnju	0.302	0.555	0.293
afflicted	ipalara	0.271	0.500	0.167
affliction	ipọnju	0.294	0.635	0.392
affluence	affluence	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	irewesi	0.571	0.580	0.575
affordable	ti ifarada	0.840	0.398	0.493
affront	ojuju	0.327	0.740	0.547
affronted	dojuko	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	bẹrẹ	0.602	0.427	0.444
afore	ṣaaju	0.500	0.337	0.382
aforementioned	ti a ti sọ tẹlẹ	0.490	0.316	0.408
aforesaid	iṣaaju	0.531	0.358	0.478
afraid	bẹru	0.010	0.775	0.245
afresh	titun titun	0.643	0.521	0.480
african	African	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	lẹhin afterlife	0.571	0.567	0.568
aftermath	lẹhin lẹhin	0.312	0.449	0.444
afternoon	Friday	0.533	0.388	0.339
aftershave	lẹhin lẹhin	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	lẹhin lẹhin	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	Agate	0.540	0.377	0.483
age	ọjọ ori	0.561	0.226	0.498
aged	ọjọ ori	0.135	0.365	0.236
agency	ibẹwẹ	0.460	0.296	0.583
agenda	agbese	0.531	0.296	0.553
agent	oluranlowo	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	ti o ga	0.224	0.770	0.464
aggravated	ti o buru	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	aggravating	0.257	0.794	0.640
aggravation	ibanujẹ	0.071	0.784	0.613
aggregate	apapọ	0.730	0.378	0.556
aggregation	igbimọ	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ifinikan	0.094	0.929	0.533
aggressive	ibinu	0.125	0.949	0.648
aggressively	aggressively	0.250	0.926	0.688
aggressiveness	aggressiveness	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	ti o dara julọ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	ti ogbo	0.214	0.255	0.284
agitate	ṣe igbiyanju	0.300	0.796	0.593
agitated	ti bajẹ	0.444	0.882	0.491
agitation	irora	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	sẹhin	0.317	0.280	0.404
agonizing	agunizing	0.083	0.800	0.340
agony	irora	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	gba	0.906	0.260	0.545
agreeable	agbalagba	0.906	0.500	0.696
agreed	gbawọ	0.797	0.449	0.574
agreeing	ngba	0.854	0.480	0.557
agreement	adehun	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ogbin	0.686	0.321	0.473
agriculture	ogbin	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	niwaju	0.708	0.520	0.673
ahhh	nibi	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	iranlowo	0.796	0.491	0.541
aide	Iranlọwọ	0.724	0.342	0.434
aiding	aiding	0.643	0.533	0.569
aids	Aids	0.561	0.480	0.500
ail	Bẹẹni	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	ailment	0.146	0.734	0.277
aim	ifọkansi	0.481	0.569	0.567
aimless	aimọ	0.150	0.267	0.183
air	air	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	airborne	0.542	0.519	0.385
aircraft	ofurufu	0.646	0.644	0.691
aircraft carrier	ọkọ ayọkẹlẹ	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	ofurufu	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	Okoofurufu	0.719	0.702	0.708
airport	papa ọkọ ofurufu	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	airtight	0.479	0.381	0.570
airway	atẹgun	0.638	0.585	0.482
aisle	aye	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ọwọ	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	Alabaster	0.542	0.404	0.445
alarm	itaniji	0.241	0.882	0.698
alarm clock	aago itaniji	0.542	0.727	0.642
alarmed	binu	0.188	0.822	0.492
alarming	ibanujẹ	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	oti	0.323	0.667	0.377
alcoholic	ọti-lile	0.153	0.688	0.361
alcoholism	ọti-lile	0.061	0.779	0.407
alcove	ọti-inu	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	gbigbọn	0.479	0.820	0.648
alertness	titaniji	0.375	0.875	0.750
alerts	titaniji	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebra	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	ajeji	0.410	0.615	0.491
alienate	ajeji	0.247	0.500	0.523
alienated	ajeji	0.410	0.423	0.559
alienation	ajeji	0.378	0.530	0.462
alight	alight	0.667	0.657	0.605
align	tọpọ	0.656	0.364	0.627
aligned	deedee	0.583	0.275	0.553
alignment	titete	0.643	0.412	0.683
alike	bakanna	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	laaye	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	duro	0.417	0.406	0.398
allegation	agbasọ ọrọ	0.578	0.578	0.608
allege	sọ pe	0.418	0.482	0.587
alleged	esun	0.365	0.522	0.520
allegiance	igbẹkẹle	0.917	0.398	0.750
allegorical	aṣeyọri	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	Inira	0.135	0.549	0.273
allergy	aleji	0.296	0.606	0.389
alleviate	ya	0.869	0.270	0.528
alleviation	iyatọ	0.735	0.200	0.491
alley	Ale	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alakan	0.696	0.473	0.769
allied	ti o darapọ	0.714	0.245	0.642
alligator	alupupu	0.354	0.704	0.645
allocate	sọtọ	0.673	0.462	0.672
allocation	ipinpin	0.604	0.388	0.679
allot	pín	0.622	0.481	0.616
allotment	ipín	0.600	0.390	0.640
allow	gba laaye	0.698	0.429	0.538
allowable	allowable	0.698	0.500	0.561
allowance	alawansi	0.673	0.382	0.591
allowed	laaye	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	alara	0.804	0.585	0.686
alluring	titọju	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	ore	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	Olódùmarè	0.938	0.874	0.958
almond	almondi	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	alaafia	0.698	0.440	0.441
alone	nikan	0.333	0.167	0.216
alongside	lẹgbẹẹ	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	kigbe	0.458	0.713	0.750
alpha	Alpha	0.708	0.340	0.755
alphabet	alfabeti	0.562	0.204	0.672
alphabetical	itọka alailẹgbẹ	0.537	0.296	0.535
alpine	Alpine	0.594	0.337	0.474
alreadyyyyy	tẹlẹyyyy	0.592	0.717	0.351
altar	pẹpẹ	0.724	0.387	0.635
altar boy	ọmọkunrin pẹpẹ	0.434	0.206	0.350
alter	paarọ	0.333	0.694	0.654
alteration	iyipada	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	yipada	0.255	0.765	0.500
alternate	miiran	0.625	0.363	0.589
alternating	Ayika	0.480	0.494	0.542
alternative	Igbakeji	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	giga	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	lapapọ	0.833	0.324	0.644
aluminum	aluminiomu	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amopọpọ	0.406	0.470	0.531
amaretto	aṣalẹ	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	magbowo	0.469	0.500	0.409
amaze	jasi	0.896	0.843	0.783
amazed	ẹnu yà	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ibanuje	0.750	0.800	0.639
amazing	iyanu	0.906	0.837	0.849
amazingly	iyanu	0.918	0.765	0.920
ambassador	Ambassador	0.651	0.529	0.917
amber	awọ yẹlo to ṣokunkun	0.635	0.308	0.369
ambience	ibaramu	0.735	0.356	0.426
ambient	ibaramu	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	aṣoju	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	okanjuwa	0.510	0.804	0.661
ambitious	ifẹkufẹ	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ọkọ alaisan	0.500	0.750	0.609
ambush	atokuro	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	Amin	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	ṣe atunṣe	0.688	0.406	0.658
amendment	Atunse	0.531	0.459	0.606
amends	ṣe atunṣe	0.640	0.366	0.517
amenity	ore	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	alaafia	0.875	0.330	0.507
amid	larin	0.510	0.340	0.256
amidst	laarin	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	Amonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ohun ija	0.338	0.635	0.667
amnesia	Amnesia	0.296	0.330	0.308
amnesty	ifarada	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	iye	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	iwonba	0.744	0.349	0.719
amplification	titobi	0.690	0.677	0.810
amplify	amplify	0.677	0.735	0.827
amplitude	titobi	0.694	0.439	0.692
amply	agbara	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	ọgba iṣere	0.929	0.837	0.803
amusing	amusing	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	ailera	0.350	0.217	0.473
anaesthetic	anesitetiki	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	fọọmu	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	ibaraẹnisọrọ	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	apẹẹrẹ	0.510	0.367	0.509
analysis	atupọ	0.729	0.448	0.705
