Word	Luxembourgish-lb	Valence	Arousal	Dominance
addressee	schécken	0.622	0.382	0.538
addresses	Adressen	0.510	0.354	0.450
adept	adept	0.594	0.539	0.789
adequacy	adequat	0.615	0.435	0.702
adequate	adäquat	0.854	0.264	0.705
adhere	unhänken	0.633	0.339	0.554
adherence	adherenz	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	verflicht	0.612	0.561	0.537
adhesion	Adhesioun	0.521	0.445	0.586
adhesive	Klebstoff	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	Fett	0.333	0.350	0.391
adjacency	Noperschaft	0.365	0.417	0.375
adjacent	ugrenzend sinn	0.645	0.276	0.536
adjective	Adjektiv	0.570	0.316	0.569
adjoining	vgl	0.520	0.400	0.393
adjourn	notzen	0.385	0.456	0.475
adjournment	Versuergement	0.438	0.510	0.370
adjudicate	ze décidéieren	0.559	0.520	0.683
adjudication	Déklaratioun	0.551	0.462	0.691
adjunct	Zousaz	0.459	0.440	0.426
adjust	z'erreechen	0.647	0.327	0.638
adjuster	ze regelen	0.510	0.540	0.760
adjustment	Upassung	0.590	0.520	0.661
adjuvant	Adjuvans	0.510	0.500	0.456
admin	Administrateur	0.688	0.420	0.854
administer	verwalten	0.635	0.425	0.860
administration	Administratioun	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	Administrateur	0.538	0.480	0.902
admirable	begeeschtert	0.929	0.600	0.870
admiral	Admiral	0.844	0.490	0.847
admiralty	Admiralitéit hunn	0.594	0.547	0.733
admiration	Bewonnerung	0.969	0.583	0.726
admire	bewonnere	0.867	0.692	0.704
admired	bewonnert ginn	0.917	0.560	0.815
admirer	Bewonnerer	0.796	0.720	0.650
admiring	bewonnert	0.867	0.578	0.629
admissibility	admissibilitéit	0.802	0.580	0.602
admissible	zougänglech ass	0.780	0.528	0.642
admission	Entreeung	0.802	0.415	0.732
admit	zouginn	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	zouginn	0.720	0.490	0.767
admitting	zougoen	0.620	0.500	0.546
admixture	ginn	0.450	0.375	0.438
admonition	Erweiderung	0.357	0.606	0.455
ado	geroden	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	Jugendlecher	0.487	0.694	0.444
adolescent	Jugendlecher	0.781	0.680	0.509
adopt	ugeholl	0.694	0.612	0.701
adoption	Adoptiounsrecht	0.625	0.566	0.589
adoptive	adoptéiert	0.531	0.469	0.520
adorable	séiss	0.969	0.519	0.457
adoration	adore	0.885	0.699	0.708
adore	ugebuede ginn	0.854	0.438	0.657
adoring	ginn	0.885	0.620	0.717
adorn	schmaachen	0.910	0.424	0.482
adornment	opmierksam	0.918	0.373	0.377
adrenalin	Adrenalin	0.865	0.920	0.786
adrenaline	Adrenalin	0.765	0.965	0.825
adrift	ofgëtt	0.398	0.486	0.230
adult	Erwuessenen	0.815	0.491	0.787
adulterated	regléiert sinn	0.188	0.865	0.370
adulterer	Erwuessenen	0.229	0.814	0.407
adultery	Eeghel	0.120	0.922	0.510
adulthood	mateneebestueten	0.541	0.454	0.652
advance	Viraus	0.673	0.472	0.858
advanced	fortgeschratt	0.844	0.623	0.797
advancement	Fortschrëtt	0.776	0.650	0.839
advancing	forcéiere geet	0.929	0.608	0.812
advantage	Virdeel	0.917	0.548	0.859
advantageous	avantagéis	0.837	0.640	0.789
advent	kommen	0.665	0.560	0.627
adventure	Abenteuer	0.917	0.857	0.710
adventurer	Abenteuer	0.781	0.839	0.868
adventures	Erliefnisser	0.812	0.764	0.749
adventurous	Abenteuer	0.969	0.898	0.722
adversary	Géigner	0.349	0.777	0.457
adverse	ongewollt	0.323	0.610	0.385
adversity	begeeschtert	0.276	0.760	0.538
advertise	Reklammen	0.500	0.529	0.580
advertisement	Annonce	0.600	0.566	0.539
advertising	Reklammen	0.622	0.608	0.632
adverts	Annoncen	0.551	0.500	0.595
advice	Rot	0.698	0.408	0.688
advisable	unzeroden	0.867	0.480	0.510
advise	beroden	0.760	0.393	0.705
advised	beroden	0.823	0.330	0.509
advisement	Berodung	0.698	0.235	0.655
adviser	Beroder	0.745	0.362	0.705
advisor	Beroder	0.646	0.350	0.689
advisory	beroden	0.656	0.429	0.633
advocacy	dofir plädéiert	0.500	0.646	0.731
advocate	plädéieren	0.551	0.530	0.818
aegis	Aegis	0.490	0.439	0.462
aeration	Resident Evil	0.550	0.500	0.433
aerial	Loftopwand	0.615	0.461	0.463
aerobics	Aerobic	0.708	0.771	0.627
aerodrome	aerodrom	0.541	0.740	0.678
aerodynamic	aerodynamesch	0.561	0.724	0.728
aerodynamics	aerodynamesch Wierkung	0.590	0.663	0.722
aeronautics	Loft- a Raumfahrt	0.551	0.633	0.688
aeroplane	Flieger	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	ästhetesch	0.708	0.442	0.526
aesthetics	Ästhetik hunn	0.847	0.327	0.549
aetiology	der Aetiologie	0.480	0.398	0.615
afar	wäit ewech	0.396	0.373	0.358
affable	affirméierbar	0.704	0.380	0.452
affair	Affär	0.520	0.459	0.657
affect	beaflossen	0.458	0.569	0.578
affecting	beaflosst	0.350	0.574	0.394
affection	Affer	0.898	0.559	0.696
affectionate	Affektioun	0.949	0.422	0.550
affections	Affekot	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	Affidavit	0.469	0.584	0.526
affiliated	verbonne ginn	0.673	0.519	0.535
affiliation	gehéiert	0.615	0.594	0.500
affinity	Affinitéit	0.800	0.500	0.537
affirm	behaapt	0.745	0.509	0.731
affirmation	bestätegt	0.750	0.500	0.689
affirmative	bejausse wäert	0.854	0.589	0.816
affirmatively	affirmativ	0.908	0.500	0.811
affix	Affix	0.438	0.335	0.411
afflict	betrëfft	0.302	0.555	0.293
afflicted	beklot	0.271	0.500	0.167
affliction	Affer	0.294	0.635	0.392
affluence	Iwwerfloss	0.663	0.618	0.722
affluent	beandrockt	0.756	0.388	0.477
afford	erlaaben	0.571	0.580	0.575
affordable	bezuelen	0.840	0.398	0.493
affront	Affront	0.327	0.740	0.547
affronted	betrëfft	0.385	0.750	0.527
afield	afginn	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	ophalen	0.602	0.427	0.444
afore	uewen	0.500	0.337	0.382
aforementioned	sougenannten	0.490	0.316	0.408
aforesaid	uewendriwwer	0.531	0.358	0.478
afraid	Angscht ze hunn	0.010	0.775	0.245
afresh	afréieren	0.643	0.521	0.480
african	afrikanesch	0.490	0.423	0.555
aft	Aflt	0.480	0.417	0.518
afterlife	Afterlife	0.571	0.567	0.568
aftermath	nozekommen	0.312	0.449	0.444
afternoon	Mëtteg	0.533	0.388	0.339
aftershave	Afterhave	0.406	0.384	0.415
aftertaste	eng Kéier	0.354	0.362	0.455
afterthought	nogekuckt	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	Alter	0.561	0.226	0.498
aged	al sinn	0.135	0.365	0.236
agency	Agence	0.460	0.296	0.583
agenda	agenda sinn	0.531	0.296	0.553
agent	Agent ass	0.480	0.439	0.755
agglomeration	Agglomeratioun	0.450	0.765	0.509
aggravate	erkréien	0.224	0.770	0.464
aggravated	ergänzt	0.079	0.760	0.430
aggravates	schloen	0.108	0.778	0.357
aggravating	erofsetzen	0.257	0.794	0.640
aggravation	Agressioun	0.071	0.784	0.613
aggregate	aggregéiert sinn	0.730	0.378	0.556
aggregation	Aggregatioun	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	Agressioun	0.094	0.929	0.533
aggressive	aggressiv sinn	0.125	0.949	0.648
aggressively	aggressiv	0.250	0.926	0.688
aggressiveness	Aggressivitéit	0.077	0.913	0.648
aggressor	Agressor	0.146	0.948	0.823
agh	Agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agéieren	0.800	0.657	0.775
agility	ageleet	0.720	0.702	0.815
aging	Alterung	0.214	0.255	0.284
agitate	agitt	0.300	0.796	0.593
agitated	opgerëchtert	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	Agnostiker	0.306	0.396	0.574
ago	viru laanger Zäit	0.317	0.280	0.404
agonizing	verseegt	0.083	0.800	0.340
agony	agelueden	0.083	0.775	0.393
agoraphobia	Agoraphobie	0.127	0.712	0.438
agree	averstane sinn	0.906	0.260	0.545
agreeable	agreabel	0.906	0.500	0.696
agreed	vereinbar	0.797	0.449	0.574
agreeing	acceptéieren	0.854	0.480	0.557
agreement	eens	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	der Landwirtschaft	0.686	0.321	0.473
agriculture	Landwirtschaft	0.640	0.357	0.465
aground	e Land	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	virun	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	Hëllef	0.796	0.491	0.541
aide	bezeechent	0.724	0.342	0.434
aiding	Begrëff	0.643	0.533	0.569
aids	Aids	0.561	0.480	0.500
ail	gelidden	0.375	0.434	0.385
ailing	a belästegt	0.094	0.518	0.153
ailment	Krankheet	0.146	0.734	0.277
aim	Ziel	0.481	0.569	0.567
aimless	onméiglech	0.150	0.267	0.183
air	Loft	0.708	0.163	0.427
airbag	Airbag	0.510	0.402	0.433
airborne	verdeelt ginn	0.542	0.519	0.385
aircraft	Fliger	0.646	0.644	0.691
aircraft carrier	Fliger	0.490	0.740	0.727
airfield	Fluchfeld	0.601	0.650	0.645
airhead	Airhead	0.271	0.481	0.276
airlift	Airlift	0.573	0.622	0.642
airline	Airline	0.650	0.482	0.688
airliner	Airliner	0.667	0.777	0.647
airlock	ofgesprengt	0.398	0.520	0.447
airman	Airman	0.587	0.716	0.721
airplane	Flieger	0.719	0.702	0.708
airport	Fluchhafen	0.729	0.684	0.682
airs	Loft	0.583	0.196	0.370
airship	Ländeburg	0.542	0.472	0.529
airspace	Loftraum	0.562	0.510	0.640
airspeed	Fluggäscht	0.583	0.780	0.544
airstrip	Stiermer	0.550	0.690	0.649
airtight	luch	0.479	0.381	0.570
airway	Bunnen	0.638	0.585	0.482
aisle	erhuewen	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ähnlech	0.639	0.343	0.523
alabaster	Alabaster	0.542	0.404	0.445
alarm	Alarm	0.241	0.882	0.698
alarm clock	Wecker	0.542	0.727	0.642
alarmed	alarméiert sinn	0.188	0.822	0.492
alarming	alarméierend sinn	0.204	0.890	0.585
alas	leider	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	Album	0.635	0.349	0.453
alchemy	Alchimie baséiert	0.541	0.583	0.693
alcohol	Alkohol	0.323	0.667	0.377
alcoholic	alkoholesch	0.153	0.688	0.361
alcoholism	Alkoholismus	0.061	0.779	0.407
alcove	Alkohol	0.490	0.340	0.356
alderman	fréiere Chef	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	Alarm	0.479	0.820	0.648
alertness	Achtung	0.375	0.875	0.750
alerts	alarméiert	0.337	0.804	0.673
alfalfa	Alfalfa	0.546	0.250	0.311
algebra	Algebra	0.440	0.340	0.565
algebraic	Algebra	0.531	0.412	0.441
algorithm	Algorithmus	0.448	0.394	0.559
alias	Alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	Alien	0.410	0.615	0.491
alienate	verginn	0.247	0.500	0.523
alienated	veronsachen	0.410	0.423	0.559
alienation	Ausland	0.378	0.530	0.462
alight	erop gaangen	0.667	0.657	0.605
align	alignéieren	0.656	0.364	0.627
aligned	ausgeriicht	0.583	0.275	0.553
alignment	ausgeriicht war	0.643	0.412	0.683
alike	gleich	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	Alimon	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	lieweg	0.816	0.637	0.731
alkali	Alkali	0.490	0.350	0.408
alkaloids	Alkaloiden	0.433	0.562	0.402
allay	Alliéierten	0.417	0.406	0.398
allegation	bezeechent	0.578	0.578	0.608
allege	ausgoen	0.418	0.482	0.587
alleged	behaapt huet	0.365	0.522	0.520
allegiance	begeeschtert	0.917	0.398	0.750
allegorical	allegoresch	0.517	0.558	0.598
allegory	allegoriell	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergesch sinn	0.135	0.549	0.273
allergy	Allergie	0.296	0.606	0.389
alleviate	reduzéiere kënnen	0.869	0.270	0.528
alleviation	Lénk	0.735	0.200	0.491
alley	Gaass gefaangen	0.347	0.500	0.355
alleyway	Gout	0.357	0.471	0.382
alliance	Allianz	0.696	0.473	0.769
allied	alliéierten	0.714	0.245	0.642
alligator	Alligator	0.354	0.704	0.645
allocate	ze identifizéieren	0.673	0.462	0.672
allocation	ze weisen	0.604	0.388	0.679
allot	ofgeschloss hunn	0.622	0.481	0.616
allotment	Allotment	0.600	0.390	0.640
allow	erlaabt	0.698	0.429	0.538
allowable	zulässlech	0.698	0.500	0.561
allowance	erlaabt	0.673	0.382	0.591
allowed	erlaabt	0.730	0.360	0.655
alloy	Legierung	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	Allure	0.804	0.585	0.686
alluring	verzauberen	0.837	0.745	0.843
allusion	Allusioun	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	Alliéierten	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	all Muecht	0.938	0.874	0.958
almond	Mandel	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	fréier	0.698	0.440	0.441
alone	eleng	0.333	0.167	0.216
alongside	niewteneen	0.458	0.333	0.347
aloof	ofgeschloss hunn	0.189	0.423	0.302
aloud	haart	0.458	0.713	0.750
alpha	Alpha	0.708	0.340	0.755
alphabet	Alphabet	0.562	0.204	0.672
alphabetical	alphabétësch	0.537	0.296	0.535
alpine	Alpen	0.594	0.337	0.474
alreadyyyyy	schonyyyy	0.592	0.717	0.351
altar	Altor	0.724	0.387	0.635
altar boy	Altorien	0.434	0.206	0.350
alter	änneren	0.333	0.694	0.654
alteration	änneren	0.167	0.798	0.609
altercation	ugeet	0.170	0.806	0.500
altered	geännert ginn	0.255	0.765	0.500
alternate	alternéieren	0.625	0.363	0.589
alternating	oofwiesselnd	0.480	0.494	0.542
alternative	Alternativ	0.628	0.373	0.631
altimeter	Héicht	0.615	0.510	0.580
altitude	Héicht	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	zesumme gesammelt	0.833	0.324	0.644
aluminum	Aluminium	0.449	0.280	0.434
alumnus	Alumnus	0.633	0.368	0.422
alveolar	Alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	Amalgam	0.438	0.333	0.510
amalgamation	Ausbildung	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	gemittlech	0.552	0.465	0.465
amateur	Amateur	0.469	0.500	0.409
amaze	iwwerrascht	0.896	0.843	0.783
amazed	verwonnert war	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	verwonnert war	0.750	0.800	0.639
amazing	erstaunlech	0.906	0.837	0.849
amazingly	erstaunhaft	0.918	0.765	0.920
ambassador	Ambassadeur	0.651	0.529	0.917
amber	Amber	0.635	0.308	0.369
ambience	Ambiance	0.735	0.356	0.426
ambient	Ambiance	0.625	0.360	0.582
ambiguity	Zweiwel	0.164	0.460	0.370
ambiguous	net eendäiteg	0.265	0.462	0.358
ambit	Ambit	0.479	0.380	0.386
ambition	Ambitioun	0.510	0.804	0.661
ambitious	ambitiéis	0.484	0.821	0.717
ambivalent	Ambivalent	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	Ambulanz	0.500	0.750	0.609
ambush	ambushéiert	0.281	0.830	0.500
ameliorate	sech z'eliminéieren	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	auszeginn	0.688	0.406	0.658
amendment	Ännerung	0.531	0.459	0.606
amends	z'ënnerstëtzen	0.640	0.366	0.517
amenity	Prêt	0.750	0.327	0.574
amethyst	Amethyst	0.622	0.406	0.517
amiable	agréablement	0.847	0.290	0.483
amicable	geléiwt	0.875	0.330	0.507
amid	amidéiert	0.510	0.340	0.256
amidst	amidest	0.480	0.330	0.316
amino	Amino	0.551	0.402	0.433
ammo	den Ammo	0.323	0.765	0.621
ammonia	Ammoniak	0.292	0.587	0.409
ammonium	Ammonium	0.354	0.396	0.368
ammunition	Munitioun	0.338	0.635	0.667
amnesia	Amnesia	0.296	0.330	0.308
amnesty	Amnestie	0.551	0.451	0.814
amorous	lëschteg	0.844	0.670	0.636
amorphous	amorph	0.327	0.402	0.349
amortization	Amortiséierung	0.592	0.491	0.522
amount	Betrag ass	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp amp	0.439	0.393	0.375
ampersand	Ampersand	0.480	0.448	0.483
amphetamines	Amphetaminen	0.133	0.667	0.526
amphibian	Amphibien	0.427	0.357	0.474
amphibious	Amphibien	0.479	0.346	0.445
amphitheater	Amphitheater	0.653	0.480	0.545
ample	genuch	0.744	0.349	0.719
amplification	Verstäerkung	0.690	0.677	0.810
amplify	ze verstäerken	0.677	0.735	0.827
amplitude	Amplitude	0.694	0.439	0.692
amply	léif	0.781	0.431	0.766
amputate	amputéiert	0.092	0.660	0.509
