Word	Marathi-mr	Valence	Arousal	Dominance
academic	शैक्षणिक	0.781	0.420	0.812
academy	अकादमी	0.704	0.473	0.792
accede	अभिस्वीकृत करा	0.698	0.510	0.537
accelerant	प्रवेगक	0.643	0.844	0.802
accelerate	गती वाढवा	0.615	0.902	0.759
accelerated	प्रवेगक	0.610	0.812	0.682
acceleration	प्रवेग	0.704	0.905	0.843
accelerator	प्रवेगक	0.593	0.830	0.812
accent	उच्चारण	0.598	0.357	0.509
accentuate	भर घालणे	0.673	0.556	0.667
accept	स्वीकारा	0.847	0.286	0.565
acceptable	स्वीकार्य	0.812	0.286	0.583
acceptance	स्वीकृती	0.833	0.287	0.755
acceptances	स्वीकृती	0.847	0.413	0.648
access	प्रवेश	0.714	0.472	0.567
accessible	प्रवेशयोग्य	0.796	0.410	0.645
accession	प्रवेश	0.612	0.383	0.636
accessory	ऍक्सेसरीसाठी	0.562	0.292	0.445
accident	अपघात	0.125	0.908	0.336
accidental	अपघाती	0.319	0.784	0.307
accidentally	चुकून	0.333	0.741	0.333
acclaim	प्रशंसा	0.562	0.809	0.718
accolade	प्रशंसा	0.688	0.591	0.775
accommodate	सामावून	0.844	0.375	0.566
accommodation	निवास	0.817	0.415	0.587
accompaniment	साथीदार	0.740	0.479	0.695
accompany	बरोबर सोबत	0.833	0.406	0.585
accompanying	जेथील	0.787	0.460	0.582
accomplice	साथीदार	0.408	0.580	0.510
accomplish	साध्य करा	0.929	0.673	0.816
accomplished	कुशल	0.870	0.520	0.798
accomplishment	सिद्धी	0.917	0.694	0.888
accord	एकमताने	0.898	0.264	0.382
accordance	नुसार	0.659	0.349	0.600
accordion	स्वरपटल असणारे वाद्य	0.604	0.490	0.361
account	खाते	0.531	0.347	0.472
accountability	जबाबदारी	0.755	0.537	0.833
accountable	जबाबदार	0.709	0.282	0.777
accountant	अकाउंटंट	0.625	0.450	0.639
accounting	लेखा	0.552	0.390	0.677
accounts	खाती	0.592	0.340	0.471
accredited	मान्यताप्राप्त	0.669	0.479	0.768
accretion	वाढ	0.448	0.519	0.672
accrue	वाढणे	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	संचित करणे	0.573	0.536	0.607
accumulation	संचय	0.479	0.527	0.600
accuracy	अचूकता	0.604	0.481	0.802
accurate	अचूक	0.743	0.360	0.737
accursed	शापित	0.135	0.745	0.345
accusation	आरोप	0.073	0.718	0.564
accusative	आरोप	0.198	0.755	0.482
accuse	आरोप	0.133	0.752	0.500
accused	आरोपी	0.130	0.670	0.420
accuser	अभियोक्ता	0.122	0.779	0.615
accusing	आरोप करीत आहे	0.156	0.745	0.324
accustomed	नित्याचा	0.542	0.365	0.441
ace	निपुण	0.643	0.481	0.546
acetic	आभासी	0.333	0.420	0.519
acetylene	एसिटिलीन	0.306	0.469	0.509
ache	दुखणे	0.146	0.760	0.312
achieve	साध्य	0.816	0.545	0.843
achieved	साध्य	0.896	0.519	0.775
achievement	यश	0.896	0.808	0.759
aching	दुखणे	0.053	0.880	0.348
achy	अच्सी	0.167	0.840	0.373
acid	आम्ल	0.265	0.642	0.566
acidity	आंबटपणा	0.156	0.663	0.360
acknowledge	कबूल करा	0.786	0.370	0.661
acknowledged	कबूल केले	0.714	0.443	0.765
acknowledgement	पोचपावती	0.819	0.539	0.830
acknowledgment	पोचपावती	0.796	0.528	0.777
acme	कळस	0.408	0.435	0.375
acne	पुरळ	0.167	0.474	0.308
acorn	ओक वृक्षाचे फळ	0.448	0.198	0.192
acoustic	अकौस्टिक	0.542	0.462	0.536
acoustics	ध्वनिविज्ञान	0.611	0.330	0.509
acquaint	परिचित	0.646	0.491	0.639
acquaintance	परिचित	0.656	0.290	0.670
acquainted	परिचित	0.906	0.358	0.632
acquiescence	मूकसंस्कार	0.542	0.480	0.554
acquire	घेणे	0.833	0.468	0.700
acquiring	प्राप्त करीत आहे	0.735	0.510	0.817
acquisition	संपादन	0.698	0.509	0.736
acquisitions	अधिग्रहण	0.773	0.660	0.790
acquit	निर्दोष	0.583	0.571	0.611
acquittal	निर्दोष सुटलेला	0.760	0.497	0.700
acre	एकर	0.583	0.387	0.423
acreage	लागवडीखालील जमीन	0.741	0.450	0.528
acres	एकर	0.510	0.363	0.500
acrobat	अॅक्रॉबॅट	0.708	0.828	0.602
acrylic	सुपरगलू	0.582	0.279	0.420
act	कृती करा	0.656	0.704	0.735
acting	अभिनय	0.698	0.643	0.500
action	क्रिया	0.760	0.898	0.802
action figure	क्रिया आकृती	0.615	0.774	0.611
actionable	फिर्याद	0.673	0.702	0.613
activate	सक्रिय करा	0.764	0.650	0.806
activation	सक्रियण	0.781	0.800	0.754
active	सक्रिय	0.847	0.730	0.731
activist	कार्यकर्ते	0.531	0.653	0.877
activity	क्रियाकलाप	0.701	0.660	0.807
actor	अभिनेता	0.653	0.561	0.629
actress	अभिनेत्री	0.633	0.556	0.596
actual	वास्तविक	0.729	0.400	0.716
actuality	वास्तविकता	0.750	0.464	0.600
actuary	ऍक्चुअरी	0.510	0.404	0.491
acuity	तीक्ष्णता	0.469	0.378	0.741
acumen	कौशल्य	0.564	0.660	0.679
acupuncture	अॅक्यूपंक्चर	0.531	0.324	0.549
acute	तीव्र	0.427	0.652	0.534
acutely	तीव्रतेने	0.417	0.543	0.491
ad	जाहिरात	0.521	0.705	0.558
adage	म्हण	0.517	0.415	0.566
adamant	अविचल	0.344	0.529	0.575
adapt	परिस्थितीशी जुळवून घ्या	0.740	0.355	0.551
adaptable	अनुकूलनीय	0.735	0.423	0.641
adaptation	अनुकूलन	0.663	0.365	0.609
add	जोडा	0.728	0.490	0.554
added	जोडले	0.562	0.405	0.509
addendum	परिशिष्ट	0.392	0.370	0.418
adder	आकाराने लहान असा एक विषारी साप	0.388	0.461	0.588
addict	व्यसनाधीन	0.075	0.696	0.327
addicted	व्यसनी	0.156	0.712	0.483
addiction	व्यसन	0.180	0.806	0.420
addictive	व्यसन	0.302	0.683	0.472
addition	या व्यतिरिक्त	0.562	0.373	0.471
additional	अतिरिक्त	0.673	0.462	0.526
additive	मिश्रित पदार्थ	0.561	0.633	0.691
address	पत्ता	0.650	0.327	0.567
addressee	प्रेषक	0.622	0.382	0.538
addresses	पत्ते	0.510	0.354	0.450
adept	पटाईत	0.594	0.539	0.789
adequacy	पुरेसेपणा	0.615	0.435	0.702
adequate	पुरेशा	0.854	0.264	0.705
adhere	पालन	0.633	0.339	0.554
adherence	निष्ठा	0.760	0.307	0.630
adherent	अनुयायी	0.561	0.385	0.555
adhering	पालन	0.612	0.561	0.537
adhesion	आकुंचन	0.521	0.445	0.586
adhesive	निष्ठावंत	0.604	0.350	0.413
adieu	अडीयू	0.250	0.471	0.342
adipose	चरबी	0.333	0.350	0.391
adjacency	निकटस्थ	0.365	0.417	0.375
adjacent	समीप	0.645	0.276	0.536
adjective	विशेषण	0.570	0.316	0.569
adjoining	शेजारच्या	0.520	0.400	0.393
adjourn	स्थगित	0.385	0.456	0.475
adjournment	स्थगित	0.438	0.510	0.370
adjudicate	निवाडा करणे	0.559	0.520	0.683
adjudication	निवाडा	0.551	0.462	0.691
adjunct	अनुरुप	0.459	0.440	0.426
adjust	समायोजित करा	0.647	0.327	0.638
adjuster	समायोजक	0.510	0.540	0.760
adjustment	समायोजन	0.590	0.520	0.661
adjuvant	सहाय्यक	0.510	0.500	0.456
admin	प्रशासन	0.688	0.420	0.854
administer	प्रशासन करा	0.635	0.425	0.860
administration	प्रशासन	0.625	0.404	0.786
administrative	प्रशासकीय	0.542	0.415	0.579
administrator	प्रशासक	0.538	0.480	0.902
admirable	प्रशंसनीय	0.929	0.600	0.870
admiral	नौसेनाधिपती	0.844	0.490	0.847
admiralty	नौसेनाधिपती	0.594	0.547	0.733
admiration	प्रशंसा	0.969	0.583	0.726
admire	प्रशंसा करा	0.867	0.692	0.704
admired	प्रशंसनीय	0.917	0.560	0.815
admirer	प्रशंसक	0.796	0.720	0.650
admiring	कौतुकाच्या नजारा	0.867	0.578	0.629
admissibility	स्वीकार्यता	0.802	0.580	0.602
admissible	स्वीकार्य	0.780	0.528	0.642
admission	प्रवेश	0.802	0.415	0.732
admit	प्रवेश देणे	0.538	0.423	0.667
admittance	प्रवेशाचा हक्क	0.690	0.451	0.598
admitted	दाखल	0.720	0.490	0.767
admitting	admitting	0.620	0.500	0.546
admixture	मिश्रण	0.450	0.375	0.438
admonition	विवेचन	0.357	0.606	0.455
ado	नेहमी	0.520	0.423	0.385
adobe	एडोब	0.500	0.319	0.328
adolescence	पौगंडावस्थेतील	0.487	0.694	0.444
adolescent	किशोरवयीन	0.781	0.680	0.509
adopt	अवलंब करा	0.694	0.612	0.701
adoption	अवलंब	0.625	0.566	0.589
adoptive	दत्तक	0.531	0.469	0.520
adorable	मोहक	0.969	0.519	0.457
adoration	आराधना	0.885	0.699	0.708
adore	पूजा करणे	0.854	0.438	0.657
adoring	प्रेमळपणा	0.885	0.620	0.717
adorn	सुशोभित करणे	0.910	0.424	0.482
adornment	सजावट	0.918	0.373	0.377
adrenalin	एड्रिनलिन	0.865	0.920	0.786
adrenaline	एड्रेनालाईन	0.765	0.965	0.825
adrift	मुक्तपणे	0.398	0.486	0.230
adult	प्रौढ	0.815	0.491	0.787
adulterated	भेसळयुक्त	0.188	0.865	0.370
adulterer	व्यभिचारी	0.229	0.814	0.407
adultery	व्यभिचार	0.120	0.922	0.510
adulthood	प्रौढता	0.541	0.454	0.652
advance	प्रगती	0.673	0.472	0.858
advanced	प्रगत	0.844	0.623	0.797
advancement	प्रगती	0.776	0.650	0.839
advancing	प्रगत	0.929	0.608	0.812
advantage	फायदा	0.917	0.548	0.859
advantageous	फायदेशीर	0.837	0.640	0.789
advent	प्रगती	0.665	0.560	0.627
adventure	साहस	0.917	0.857	0.710
adventurer	साहसी	0.781	0.839	0.868
adventures	प्रवासातील	0.812	0.764	0.749
adventurous	साहसी	0.969	0.898	0.722
adversary	शत्रू	0.349	0.777	0.457
adverse	प्रतिकूल	0.323	0.610	0.385
adversity	अडचण	0.276	0.760	0.538
advertise	जाहिरात करा	0.500	0.529	0.580
advertisement	जाहिरात	0.600	0.566	0.539
advertising	जाहिरात	0.622	0.608	0.632
adverts	जाहिरात	0.551	0.500	0.595
advice	सल्ला	0.698	0.408	0.688
advisable	सल्ला दिला	0.867	0.480	0.510
advise	सल्ला द्या	0.760	0.393	0.705
advised	सल्ला दिला	0.823	0.330	0.509
advisement	सल्ला	0.698	0.235	0.655
adviser	सल्लागार	0.745	0.362	0.705
advisor	सल्लागार	0.646	0.350	0.689
advisory	सल्लागार	0.656	0.429	0.633
advocacy	समर्थन	0.500	0.646	0.731
advocate	वकील	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	वायुवीजन	0.550	0.500	0.433
aerial	हवाई	0.615	0.461	0.463
aerobics	एरोबिक्स	0.708	0.771	0.627
aerodrome	एरोड्रोम	0.541	0.740	0.678
aerodynamic	वायुगतिशास्त्रीय	0.561	0.724	0.728
aerodynamics	वायुगतियामिक	0.590	0.663	0.722
aeronautics	वैमानिक	0.551	0.633	0.688
aeroplane	विमान	0.714	0.642	0.644
aerospace	एरोस्पेस	0.643	0.520	0.779
aesthetic	सौंदर्याचा	0.708	0.442	0.526
aesthetics	सौंदर्यशास्त्र	0.847	0.327	0.549
aetiology	एटिओलॉजी	0.480	0.398	0.615
afar	खूप लांबून	0.396	0.373	0.358
affable	सौहार्दपूर्ण	0.704	0.380	0.452
affair	प्रकरण	0.520	0.459	0.657
affect	परिणाम	0.458	0.569	0.578
affecting	प्रभावित करणे	0.350	0.574	0.394
affection	प्रेम	0.898	0.559	0.696
affectionate	प्रेमळ	0.949	0.422	0.550
affections	प्रेम	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	प्रतिज्ञापत्र	0.469	0.584	0.526
affiliated	संलग्न	0.673	0.519	0.535
affiliation	संलग्नता	0.615	0.594	0.500
affinity	आत्मीयता	0.800	0.500	0.537
affirm	प्रतिज्ञा करा	0.745	0.509	0.731
affirmation	पुष्टी	0.750	0.500	0.689
affirmative	होकारार्थी	0.854	0.589	0.816
affirmatively	affirmatively	0.908	0.500	0.811
affix	लावणे	0.438	0.335	0.411
afflict	दु: ख देणे	0.302	0.555	0.293
afflicted	पीडित	0.271	0.500	0.167
affliction	दु: ख	0.294	0.635	0.392
affluence	समृद्धी	0.663	0.618	0.722
affluent	समृद्ध	0.756	0.388	0.477
afford	परवडणे	0.571	0.580	0.575
affordable	स्वस्त	0.840	0.398	0.493
affront	अपमान करणे	0.327	0.740	0.547
affronted	अप्रचलित	0.385	0.750	0.527
afield	दूर	0.594	0.370	0.373
afire	आग	0.367	0.904	0.675
afloat	बचावले	0.602	0.427	0.444
afore	पूर्वी	0.500	0.337	0.382
aforementioned	उपरोक्त	0.490	0.316	0.408
aforesaid	उपरोक्त	0.531	0.358	0.478
afraid	भिऊ	0.010	0.775	0.245
afresh	नवीन	0.643	0.521	0.480
african	आफ्रिकन	0.490	0.423	0.555
aft	मागे	0.480	0.417	0.518
afterlife	नंतरचे जीवन	0.571	0.567	0.568
aftermath	परिणाम	0.312	0.449	0.444
afternoon	दुपारी	0.533	0.388	0.339
aftershave	दाढी नंतर	0.406	0.384	0.415
aftertaste	नंतरचे	0.354	0.362	0.455
afterthought	पश्चातबुद्धी	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	अगाप	0.612	0.529	0.464
agate	अगाच	0.540	0.377	0.483
age	वय	0.561	0.226	0.498
aged	वृद्ध	0.135	0.365	0.236
agency	एजन्सी	0.460	0.296	0.583
agenda	अजेंडा	0.531	0.296	0.553
agent	एजंट	0.480	0.439	0.755
agglomeration	संचय	0.450	0.765	0.509
aggravate	तीव्र करा	0.224	0.770	0.464
aggravated	वृद्धी	0.079	0.760	0.430
aggravates	वृद्धी करते	0.108	0.778	0.357
aggravating	वृद्धी करणारा	0.257	0.794	0.640
aggravation	उत्तेजन	0.071	0.784	0.613
aggregate	एकूण	0.730	0.378	0.556
aggregation	एकत्रीकरण	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	आगळीक	0.094	0.929	0.533
aggressive	आक्रमक	0.125	0.949	0.648
aggressively	धडाडीने	0.250	0.926	0.688
aggressiveness	आक्रमकता	0.077	0.913	0.648
aggressor	आक्रमक	0.146	0.948	0.823
agh	अहो	0.260	0.500	0.400
aghast	आश्चर्य	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	चपळ	0.800	0.657	0.775
agility	चपळाई	0.720	0.702	0.815
aging	वृद्ध होणे	0.214	0.255	0.284
agitate	आंदोलन करा	0.300	0.796	0.593
agitated	उत्तेजित	0.444	0.882	0.491
agitation	आंदोलन	0.240	0.931	0.447
aglow	उज्ज्वल	0.780	0.510	0.797
agnostic	अज्ञेयवादी	0.306	0.396	0.574
ago	पूर्वी	0.317	0.280	0.404
agonizing	वेदना देणारे	0.083	0.800	0.340
agony	पीडा	0.083	0.775	0.393
agoraphobia	ऍग्रॅफोफिया	0.127	0.712	0.438
agree	सहमत	0.906	0.260	0.545
agreeable	आनंद देणारा	0.906	0.500	0.696
agreed	मान्य	0.797	0.449	0.574
agreeing	सहमत	0.854	0.480	0.557
agreement	करार	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	शेती	0.686	0.321	0.473
agriculture	शेती	0.640	0.357	0.465
aground	चक्कर	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	पुढे	0.708	0.520	0.673
ahhh	अहेह	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	अहो	0.500	0.497	0.380
aid	सहाय्य	0.796	0.491	0.541
aide	मदतनीस	0.724	0.342	0.434
aiding	मदत करणे	0.643	0.533	0.569
aids	एड्स	0.561	0.480	0.500
ail	आयल	0.375	0.434	0.385
ailing	आजारी	0.094	0.518	0.153
ailment	आजार	0.146	0.734	0.277
aim	उद्देश	0.481	0.569	0.567
aimless	लक्ष्यहीन	0.150	0.267	0.183
air	हवा	0.708	0.163	0.427
airbag	हवेची पिशवी	0.510	0.402	0.433
airborne	वैमानिक	0.542	0.519	0.385
aircraft	विमान	0.646	0.644	0.691
aircraft carrier	विमानाच्या वाहक	0.490	0.740	0.727
airfield	एअरफिल्ड	0.601	0.650	0.645
airhead	एअरहेड	0.271	0.481	0.276
airlift	हवाई मालवाहतूक	0.573	0.622	0.642
airline	एअरलाइन	0.650	0.482	0.688
airliner	प्रवासी वाहतूक करणारे विमान	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	एअरमन	0.587	0.716	0.721
airplane	विमान	0.719	0.702	0.708
airport	विमानतळ	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	हवेचा दाब	0.542	0.472	0.529
airspace	हवासा वाटणारा	0.562	0.510	0.640
airspeed	एअरस्पीड	0.583	0.780	0.544
airstrip	हवाई पट्टी	0.550	0.690	0.649
airtight	हवाबंद	0.479	0.381	0.570
airway	वायुमार्ग	0.638	0.585	0.482
aisle	जायची वाट	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	उर्फ	0.459	0.358	0.351
akin	समान	0.639	0.343	0.523
alabaster	अलबास्टर	0.542	0.404	0.445
alarm	गजर	0.241	0.882	0.698
alarm clock	गजराचे घड्याळ	0.542	0.727	0.642
alarmed	जागृत	0.188	0.822	0.492
alarming	भयानक	0.204	0.890	0.585
alas	अरेरे	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	अल्बट्रॉस	0.500	0.445	0.527
albino	पांढऱ्या रंगाचा	0.500	0.240	0.358
album	अल्बम	0.635	0.349	0.453
alchemy	अल्केमी	0.541	0.583	0.693
alcohol	अल्कोहोल	0.323	0.667	0.377
alcoholic	मद्यपी	0.153	0.688	0.361
alcoholism	मद्यविकार	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	अलमारमन	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	सतर्क	0.479	0.820	0.648
alertness	सावधानता	0.375	0.875	0.750
alerts	अॅलर्ट	0.337	0.804	0.673
alfalfa	जनावरांना चारा म्हणून दिली जाणारी हिरवी वनस्पती	0.546	0.250	0.311
algebra	बीजगणित	0.440	0.340	0.565
algebraic	बीजगणित	0.531	0.412	0.441
algorithm	अल्गोरिदम	0.448	0.394	0.559
alias	उपनाव	0.541	0.353	0.333
alibi	अलबी	0.396	0.528	0.556
alien	परदेशी	0.410	0.615	0.491
alienate	दुरावणे	0.247	0.500	0.523
alienated	दुरावणे	0.410	0.423	0.559
alienation	परकीयपणा	0.378	0.530	0.462
alight	उतरावे	0.667	0.657	0.605
align	संरेखन	0.656	0.364	0.627
aligned	एका सरळ रेषेत	0.583	0.275	0.553
alignment	संरेखन	0.643	0.412	0.683
alike	सारखा	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	पोटगी	0.612	0.477	0.464
aliquot	विभाजक	0.440	0.310	0.404
alive	जिवंत	0.816	0.637	0.731
alkali	अल्कली	0.490	0.350	0.408
alkaloids	अल्कलॉइड	0.433	0.562	0.402
allay	रद्द करा	0.417	0.406	0.398
allegation	आरोप	0.578	0.578	0.608
allege	आरोप करतात की	0.418	0.482	0.587
alleged	आरोप आहे	0.365	0.522	0.520
allegiance	निष्ठा	0.917	0.398	0.750
allegorical	रुपकात्मक	0.517	0.558	0.598
allegory	रूपक	0.615	0.580	0.509
allegro	द्रुतगतीने	0.635	0.627	0.453
allergic	एलर्जीक	0.135	0.549	0.273
allergy	ऍलर्जी	0.296	0.606	0.389
alleviate	उपशमन करणे	0.869	0.270	0.528
alleviation	शमन	0.735	0.200	0.491
alley	गल्ली	0.347	0.500	0.355
alleyway	गल्ली	0.357	0.471	0.382
alliance	युती	0.696	0.473	0.769
allied	मित्र	0.714	0.245	0.642
alligator	मगरमच्छ	0.354	0.704	0.645
allocate	वाटप	0.673	0.462	0.672
allocation	वाटप	0.604	0.388	0.679
allot	वाटप	0.622	0.481	0.616
allotment	वाटप	0.600	0.390	0.640
allow	परवानगी द्या	0.698	0.429	0.538
allowable	स्वीकार्य	0.698	0.500	0.561
allowance	भत्ता	0.673	0.382	0.591
allowed	परवानगी	0.730	0.360	0.655
alloy	धातूंचे मिश्रण	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	आकर्षण	0.804	0.585	0.686
alluring	मोहक	0.837	0.745	0.843
allusion	आकलन	0.440	0.308	0.462
alluvial	गाळाची गादी	0.323	0.490	0.491
ally	सहयोगी	0.792	0.320	0.688
almanac	पंचांग	0.688	0.190	0.412
almighty	सर्वशक्तिमान	0.938	0.874	0.958
almond	बदाम	0.698	0.183	0.314
aloft	वर	0.771	0.373	0.700
aloha	अलोहा	0.698	0.440	0.441
alone	एकटा	0.333	0.167	0.216
alongside	हळूच	0.458	0.333	0.347
aloof	अलिप्त	0.189	0.423	0.302
aloud	मोठ्याने	0.458	0.713	0.750
alpha	अल्फा	0.708	0.340	0.755
alphabet	वर्णमाला	0.562	0.204	0.672
alphabetical	वर्णानुक्रमाने	0.537	0.296	0.535
alpine	अल्पाइन	0.594	0.337	0.474
alreadyyyyy	आधीपासूनच	0.592	0.717	0.351
altar	वेदी	0.724	0.387	0.635
altar boy	वेदी मुलगा	0.434	0.206	0.350
alter	बदल	0.333	0.694	0.654
alteration	फेरफार	0.167	0.798	0.609
altercation	भांडण	0.170	0.806	0.500
altered	बदलले	0.255	0.765	0.500
alternate	वैकल्पिक	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	पर्यायी	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	समुद्रसपाटीपासूनची उंची	0.708	0.482	0.736
alto	अल्टो	0.656	0.404	0.730
altogether	पूर्णपणे	0.833	0.324	0.644
aluminum	अॅल्युमिनियम	0.449	0.280	0.434
alumnus	पूर्व छात्र	0.633	0.368	0.422
alveolar	वायूविद्य	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	मिश्रण	0.438	0.333	0.510
amalgamation	एकत्रीकरण	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	जमा करणे	0.552	0.465	0.465
amateur	हौशी	0.469	0.500	0.409
amaze	आश्चर्यचकित	0.896	0.843	0.783
amazed	आश्चर्यचकित	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	आश्चर्य	0.750	0.800	0.639
amazing	आश्चर्यकारक	0.906	0.837	0.849
amazingly	आश्चर्यकारकपणे	0.918	0.765	0.920
ambassador	राजदूत	0.651	0.529	0.917
amber	एम्बर	0.635	0.308	0.369
ambience	वातावरण	0.735	0.356	0.426
ambient	सभोवतालची	0.625	0.360	0.582
ambiguity	अस्पष्टता	0.164	0.460	0.370
ambiguous	संदिग्ध	0.265	0.462	0.358
ambit	कक्षा	0.479	0.380	0.386
ambition	महत्वाकांक्षा	0.510	0.804	0.661
ambitious	महत्त्वाकांक्षी	0.484	0.821	0.717
ambivalent	दुश्मन	0.510	0.404	0.482
ambrosia	अमृत	0.571	0.452	0.480
ambulance	रुग्णवाहिका	0.500	0.750	0.609
ambush	गुप्तपणे	0.281	0.830	0.500
ameliorate	सुधारणे	0.770	0.548	0.747
