Word	Haitian Creole-ht	Valence	Arousal	Dominance
adjourn	ajoune	0.385	0.456	0.475
adjournment	ajounman	0.438	0.510	0.370
adjudicate	Adjwen	0.559	0.520	0.683
adjudication	Adjwen	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	ajiste	0.647	0.327	0.638
adjuster	ajisteman	0.510	0.540	0.760
adjustment	ajisteman	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administre	0.635	0.425	0.860
administration	administrasyon an	0.625	0.404	0.786
administrative	administratif	0.542	0.415	0.579
administrator	administratè	0.538	0.480	0.902
admirable	admirab	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralite	0.594	0.547	0.733
admiration	admirasyon	0.969	0.583	0.726
admire	admire	0.867	0.692	0.704
admired	admire	0.917	0.560	0.815
admirer	admiratè	0.796	0.720	0.650
admiring	admirasyon	0.867	0.578	0.629
admissibility	admisibilite	0.802	0.580	0.602
admissible	admisib	0.780	0.528	0.642
admission	admisyon	0.802	0.415	0.732
admit	admèt	0.538	0.423	0.667
admittance	Admisyon	0.690	0.451	0.598
admitted	admèt	0.720	0.490	0.767
admitting	admèt	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	avètisman	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	adolesans	0.487	0.694	0.444
adolescent	adolesan	0.781	0.680	0.509
adopt	adopte	0.694	0.612	0.701
adoption	adopsyon	0.625	0.566	0.589
adoptive	adopsyon	0.531	0.469	0.520
adorable	adorabl	0.969	0.519	0.457
adoration	Adoration	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adore	0.885	0.620	0.717
adorn	dekore	0.910	0.424	0.482
adornment	dekorasyon	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	Adjwen	0.398	0.486	0.230
adult	adilt	0.815	0.491	0.787
adulterated	adiltè	0.188	0.865	0.370
adulterer	adiltè	0.229	0.814	0.407
adultery	adiltè	0.120	0.922	0.510
adulthood	adilt	0.541	0.454	0.652
advance	avanse	0.673	0.472	0.858
advanced	avanse	0.844	0.623	0.797
advancement	avansman	0.776	0.650	0.839
advancing	avanse	0.929	0.608	0.812
advantage	avantaj	0.917	0.548	0.859
advantageous	avantaje	0.837	0.640	0.789
advent	avènement	0.665	0.560	0.627
adventure	avanti	0.917	0.857	0.710
adventurer	avanturyé	0.781	0.839	0.868
adventures	avantur	0.812	0.764	0.749
adventurous	avantur	0.969	0.898	0.722
adversary	advèsè	0.349	0.777	0.457
adverse	negatif	0.323	0.610	0.385
adversity	advèsite	0.276	0.760	0.538
advertise	fè piblisite	0.500	0.529	0.580
advertisement	reklam	0.600	0.566	0.539
advertising	piblisite	0.622	0.608	0.632
adverts	anons	0.551	0.500	0.595
advice	konsèy	0.698	0.408	0.688
advisable	konseye	0.867	0.480	0.510
advise	konseye	0.760	0.393	0.705
advised	konseye	0.823	0.330	0.509
advisement	konsèy	0.698	0.235	0.655
adviser	konseye	0.745	0.362	0.705
advisor	konseye	0.646	0.350	0.689
advisory	konsèy	0.656	0.429	0.633
advocacy	defann dwa moun	0.500	0.646	0.731
advocate	avoka	0.551	0.530	0.818
aegis	nan	0.490	0.439	0.462
aeration	Aérasyon	0.550	0.500	0.433
aerial	ayeryen	0.615	0.461	0.463
aerobics	Ayewobiks	0.708	0.771	0.627
aerodrome	ayewopò	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	Aerodynamik	0.590	0.663	0.722
aeronautics	Aewonotik	0.551	0.633	0.688
aeroplane	avyon	0.714	0.642	0.644
aerospace	Ayewopò	0.643	0.520	0.779
aesthetic	ayestetik	0.708	0.442	0.526
aesthetics	estetik	0.847	0.327	0.549
aetiology	etyoloji	0.480	0.398	0.615
afar	byen lwen	0.396	0.373	0.358
affable	afab	0.704	0.380	0.452
affair	zafè	0.520	0.459	0.657
affect	afekte	0.458	0.569	0.578
affecting	afekte	0.350	0.574	0.394
affection	afeksyon	0.898	0.559	0.696
affectionate	afeksyon	0.949	0.422	0.550
affections	afeksyon	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	afidavi	0.469	0.584	0.526
affiliated	afilye	0.673	0.519	0.535
affiliation	afilyasyon	0.615	0.594	0.500
affinity	afinite	0.800	0.500	0.537
affirm	afime	0.745	0.509	0.731
affirmation	afimasyon	0.750	0.500	0.689
affirmative	afimatif	0.854	0.589	0.816
affirmatively	afimativman	0.908	0.500	0.811
affix	afich	0.438	0.335	0.411
afflict	aflije	0.302	0.555	0.293
afflicted	aflije	0.271	0.500	0.167
affliction	afliksyon	0.294	0.635	0.392
affluence	pwosperans	0.663	0.618	0.722
affluent	Fortine	0.756	0.388	0.477
afford	peye	0.571	0.580	0.575
affordable	abòdab	0.840	0.398	0.493
affront	afwonte	0.327	0.740	0.547
affronted	afwonte	0.385	0.750	0.527
afield	ale	0.594	0.370	0.373
afire	yon dife	0.367	0.904	0.675
afloat	ap flote	0.602	0.427	0.444
afore	anvan	0.500	0.337	0.382
aforementioned	Prevansyon	0.490	0.316	0.408
aforesaid	yo	0.531	0.358	0.478
afraid	pè	0.010	0.775	0.245
afresh	ankò	0.643	0.521	0.480
african	Afriken	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	dla	0.571	0.567	0.568
aftermath	konsekans	0.312	0.449	0.444
afternoon	apremidi	0.533	0.388	0.339
aftershave	apre	0.406	0.384	0.415
aftertaste	gou	0.354	0.362	0.455
afterthought	apre yo fin	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	laj	0.561	0.226	0.498
aged	ki gen laj	0.135	0.365	0.236
agency	ajans	0.460	0.296	0.583
agenda	ajanda	0.531	0.296	0.553
agent	ajan	0.480	0.439	0.755
agglomeration	aglomerasyon	0.450	0.765	0.509
aggravate	agrave	0.224	0.770	0.464
aggravated	agrave	0.079	0.760	0.430
aggravates	agrave	0.108	0.778	0.357
aggravating	agravasyon	0.257	0.794	0.640
aggravation	vin pi grav	0.071	0.784	0.613
aggregate	total	0.730	0.378	0.556
aggregation	agrégation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresyon	0.094	0.929	0.533
aggressive	agresif	0.125	0.949	0.648
aggressively	agresif	0.250	0.926	0.688
aggressiveness	agresif	0.077	0.913	0.648
aggressor	agresè	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ajil	0.800	0.657	0.775
agility	ladrès	0.720	0.702	0.815
aging	aje	0.214	0.255	0.284
agitate	ajite	0.300	0.796	0.593
agitated	ajite	0.444	0.882	0.491
agitation	ajitasyon	0.240	0.931	0.447
aglow	Aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	de sa	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agoni	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	dakò	0.906	0.260	0.545
agreeable	agreyab	0.906	0.500	0.696
agreed	te dakò	0.797	0.449	0.574
agreeing	dakò	0.854	0.480	0.557
agreement	akò	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrikòl	0.686	0.321	0.473
agriculture	agrikilti	0.640	0.357	0.465
aground	yon tè	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	devan yo	0.708	0.520	0.673
ahhh	Ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	zèb	0.500	0.497	0.380
aid	èd	0.796	0.491	0.541
aide	asistan	0.724	0.342	0.434
aiding	ede	0.643	0.533	0.569
aids	èd	0.561	0.480	0.500
ail	Ail	0.375	0.434	0.385
ailing	malad	0.094	0.518	0.153
ailment	maladi	0.146	0.734	0.277
aim	vize	0.481	0.569	0.567
aimless	vole	0.150	0.267	0.183
air	lè	0.708	0.163	0.427
airbag	èrbag	0.510	0.402	0.433
airborne	ayeryèn	0.542	0.519	0.385
aircraft	avyon	0.646	0.644	0.691
aircraft carrier	avyon konpayi asirans lan	0.490	0.740	0.727
airfield	avyon	0.601	0.650	0.645
airhead	Air	0.271	0.481	0.276
airlift	avyon	0.573	0.622	0.642
airline	avyon	0.650	0.482	0.688
airliner	avyon	0.667	0.777	0.647
airlock	Airlock	0.398	0.520	0.447
airman	avyon	0.587	0.716	0.721
airplane	avyon	0.719	0.702	0.708
airport	ayewopò	0.729	0.684	0.682
airs	lè	0.583	0.196	0.370
airship	dirijabl	0.542	0.472	0.529
airspace	Airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	Airstrip	0.550	0.690	0.649
airtight	lou	0.479	0.381	0.570
airway	Airway	0.638	0.585	0.482
aisle	ale	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	analogue	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alam	0.241	0.882	0.698
alarm clock	revèy alam	0.542	0.727	0.642
alarmed	pè	0.188	0.822	0.492
alarming	alarmant	0.204	0.890	0.585
alas	Ay	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchimi	0.541	0.583	0.693
alcohol	alkòl	0.323	0.667	0.377
alcoholic	alkòl	0.153	0.688	0.361
alcoholism	alkòl	0.061	0.779	0.407
alcove	alyen	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alèt	0.479	0.820	0.648
alertness	vijilans	0.375	0.875	0.750
alerts	alèt	0.337	0.804	0.673
alfalfa	Alfalfa	0.546	0.250	0.311
algebra	aljèb	0.440	0.340	0.565
algebraic	aljèb	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alyas	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	etranje	0.410	0.615	0.491
alienate	alyenate	0.247	0.500	0.523
alienated	alyenasyon	0.410	0.423	0.559
alienation	izolman	0.378	0.530	0.462
alight	ale	0.667	0.657	0.605
align	aliman	0.656	0.364	0.627
aligned	aliyen	0.583	0.275	0.553
alignment	aliyman	0.643	0.412	0.683
alike	sanble	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimoni	0.612	0.477	0.464
aliquot	alikot	0.440	0.310	0.404
alive	vivan	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloid	0.433	0.562	0.402
allay	alye	0.417	0.406	0.398
allegation	akizasyon	0.578	0.578	0.608
allege	alye	0.418	0.482	0.587
alleged	swadizan	0.365	0.522	0.520
allegiance	alejans	0.917	0.398	0.750
allegorical	alegorik	0.517	0.558	0.598
allegory	alegorism	0.615	0.580	0.509
allegro	alegro	0.635	0.627	0.453
allergic	alèji	0.135	0.549	0.273
allergy	alèji	0.296	0.606	0.389
alleviate	soulaje	0.869	0.270	0.528
alleviation	soulaje	0.735	0.200	0.491
alley	ale	0.347	0.500	0.355
alleyway	ale	0.357	0.471	0.382
alliance	alyans	0.696	0.473	0.769
allied	alye	0.714	0.245	0.642
alligator	Kayiman	0.354	0.704	0.645
allocate	asiyen	0.673	0.462	0.672
allocation	alokasyon	0.604	0.388	0.679
allot	Allot	0.622	0.481	0.616
allotment	Allotment	0.600	0.390	0.640
allow	pèmèt	0.698	0.429	0.538
allowable	admisib	0.698	0.500	0.561
allowance	alokasyon	0.673	0.382	0.591
allowed	pèmèt	0.730	0.360	0.655
alloy	alyaj	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	atire	0.804	0.585	0.686
alluring	alyans	0.837	0.745	0.843
allusion	alizyon	0.440	0.308	0.462
alluvial	alyuvial	0.323	0.490	0.491
ally	alye	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	ki gen tout pouvwa	0.938	0.874	0.958
almond	zanmann	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	premyèman	0.698	0.440	0.441
alone	pou kont li	0.333	0.167	0.216
alongside	ansanm	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	byen fò	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabè	0.562	0.204	0.672
alphabetical	alfabèt	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	deja	0.592	0.717	0.351
altar	lotèl la	0.724	0.387	0.635
altar boy	lotèl ti gason	0.434	0.206	0.350
alter	chanje	0.333	0.694	0.654
alteration	chanjman	0.167	0.798	0.609
altercation	diskisyon	0.170	0.806	0.500
altered	chanje	0.255	0.765	0.500
alternate	altène	0.625	0.363	0.589
alternating	altène	0.480	0.494	0.542
alternative	altènatif	0.628	0.373	0.631
altimeter	altimèt	0.615	0.510	0.580
altitude	altitid	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tout ansanm	0.833	0.324	0.644
aluminum	aliminyòm	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamasyon	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	ranmase	0.552	0.465	0.465
amateur	amatè	0.469	0.500	0.409
amaze	etone	0.896	0.843	0.783
amazed	sezi	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	sezi	0.750	0.800	0.639
amazing	etonan	0.906	0.837	0.849
amazingly	étonant	0.918	0.765	0.920
ambassador	anbasadè	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	anbyans	0.735	0.356	0.426
ambient	anbyen	0.625	0.360	0.582
ambiguity	anbigwite	0.164	0.460	0.370
ambiguous	Limit	0.265	0.462	0.358
ambit	anbisyon	0.479	0.380	0.386
ambition	Anbisyon	0.510	0.804	0.661
ambitious	anbisye	0.484	0.821	0.717
ambivalent	anbyans	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	anbilans	0.500	0.750	0.609
ambush	anbiskad	0.281	0.830	0.500
ameliorate	amelyore	0.770	0.548	0.747
amen	amèn	0.781	0.182	0.542
amenable	prèv	0.448	0.410	0.406
amend	amande	0.688	0.406	0.658
amendment	amannman	0.531	0.459	0.606
amends	amande	0.640	0.366	0.517
amenity	amenajman	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	amikal	0.847	0.290	0.483
amicable	amikal	0.875	0.330	0.507
amid	nan milye	0.510	0.340	0.256
amidst	nan mitan	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	minisyon	0.323	0.765	0.621
ammonia	amonyak	0.292	0.587	0.409
ammonium	amonyòm	0.354	0.396	0.368
ammunition	minisyon	0.338	0.635	0.667
amnesia	amnésie	0.296	0.330	0.308
amnesty	amnisti	0.551	0.451	0.814
amorous	amoure	0.844	0.670	0.636
amorphous	amorphe	0.327	0.402	0.349
amortization	amortissement	0.592	0.491	0.522
amount	kantite lajan	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamin	0.133	0.667	0.526
amphibian	anfibyen	0.427	0.357	0.474
amphibious	anfibi	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	ase	0.744	0.349	0.719
amplification	anplifikasyon	0.690	0.677	0.810
amplify	anplifye	0.677	0.735	0.827
amplitude	anplitid	0.694	0.439	0.692
amply	anpil	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	anpitasyon	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amilèt	0.781	0.260	0.630
amuse	amize	0.812	0.684	0.664
amused	s'amuse	0.942	0.847	0.596
amusement	amizman	0.929	0.837	0.803
amusing	amizan	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestezi	0.350	0.217	0.473
anaesthetic	anestezi	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	nan dèyè	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	analòg	0.531	0.270	0.500
analogue	analogique	0.570	0.320	0.446
analogy	analoji	0.510	0.367	0.509
analysis	analiz	0.729	0.448	0.705
analyst	analis	0.604	0.415	0.755
analytic	analitik	0.665	0.521	0.634
analytical	analyse	0.625	0.324	0.800
analyze	analize	0.667	0.462	0.710
analyzer	analyser	0.625	0.556	0.854
anaphylactic	anaphylaktik	0.378	0.588	0.500
anarchism	anarchism	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
anarchy	anachi	0.146	0.755	0.620
anastomosis	anastomoz	0.375	0.470	0.490
anathema	Anatèm	0.286	0.490	0.519
anatomic	anatomik	0.562	0.442	0.546
anatomy	anatomi	0.562	0.390	0.571
ancestor	zansèt	0.592	0.388	0.594
ancestral	zansèt	0.640	0.481	0.750
ancestry	zansèt	0.708	0.519	0.717
anchor	jete lank	0.520	0.284	0.564
anchorage	anchorage	0.500	0.325	0.639
ancient	ansyen	0.420	0.217	0.439
ancillary	oksilyè	0.449	0.442	0.278
androgen	androgen	0.255	0.523	0.527
android	android	0.663	0.436	0.500
anecdote	anekdot	0.583	0.529	0.500
