Word	Japanese-ja	Valence	Arousal	Dominance
accident	事故	0.125	0.908	0.336
accidental	偶然	0.319	0.784	0.307
accidentally	誤って	0.333	0.741	0.333
acclaim	称賛	0.562	0.809	0.718
accolade	称賛	0.688	0.591	0.775
accommodate	収容する	0.844	0.375	0.566
accommodation	宿泊施設	0.817	0.415	0.587
accompaniment	伴奏	0.740	0.479	0.695
accompany	付随する	0.833	0.406	0.585
accompanying	付随の	0.787	0.460	0.582
accomplice	共犯者	0.408	0.580	0.510
accomplish	達成する	0.929	0.673	0.816
accomplished	達成された	0.870	0.520	0.798
accomplishment	達成	0.917	0.694	0.888
accord	アコード	0.898	0.264	0.382
accordance	従う	0.659	0.349	0.600
accordion	アコーディオン	0.604	0.490	0.361
account	アカウント	0.531	0.347	0.472
accountability	説明責任	0.755	0.537	0.833
accountable	説明責任	0.709	0.282	0.777
accountant	会計士	0.625	0.450	0.639
accounting	会計	0.552	0.390	0.677
accounts	アカウント	0.592	0.340	0.471
accredited	認定された	0.669	0.479	0.768
accretion	付加	0.448	0.519	0.672
accrue	発生する	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	累積する	0.573	0.536	0.607
accumulation	累積	0.479	0.527	0.600
accuracy	正確さ	0.604	0.481	0.802
accurate	正確	0.743	0.360	0.737
accursed	呪われた	0.135	0.745	0.345
accusation	告発	0.073	0.718	0.564
accusative	反論的	0.198	0.755	0.482
accuse	非難する	0.133	0.752	0.500
accused	告発された	0.130	0.670	0.420
accuser	告発者	0.122	0.779	0.615
accusing	非難する	0.156	0.745	0.324
accustomed	慣れた	0.542	0.365	0.441
ace	エース	0.643	0.481	0.546
acetic	酢酸	0.333	0.420	0.519
acetylene	アセチレン	0.306	0.469	0.509
ache	痛み	0.146	0.760	0.312
achieve	達成する	0.816	0.545	0.843
achieved	達成された	0.896	0.519	0.775
achievement	成果	0.896	0.808	0.759
aching	痛む	0.053	0.880	0.348
achy	痛い	0.167	0.840	0.373
acid	酸	0.265	0.642	0.566
acidity	酸度	0.156	0.663	0.360
acknowledge	認める	0.786	0.370	0.661
acknowledged	認められた	0.714	0.443	0.765
acknowledgement	了承	0.819	0.539	0.830
acknowledgment	了承	0.796	0.528	0.777
acme	アクメ	0.408	0.435	0.375
acne	にきび	0.167	0.474	0.308
acorn	ドングリ	0.448	0.198	0.192
acoustic	音響	0.542	0.462	0.536
acoustics	音響	0.611	0.330	0.509
acquaint	知り合い	0.646	0.491	0.639
acquaintance	知り合い	0.656	0.290	0.670
acquainted	知り合い	0.906	0.358	0.632
acquiescence	黙想	0.542	0.480	0.554
acquire	獲得する	0.833	0.468	0.700
acquiring	取得する	0.735	0.510	0.817
acquisition	取得	0.698	0.509	0.736
acquisitions	買収	0.773	0.660	0.790
acquit	無罪	0.583	0.571	0.611
acquittal	免罪	0.760	0.497	0.700
acre	エーカー	0.583	0.387	0.423
acreage	面積	0.741	0.450	0.528
acres	エーカー	0.510	0.363	0.500
acrobat	アクロバット	0.708	0.828	0.602
acrylic	アクリル	0.582	0.279	0.420
act	行為	0.656	0.704	0.735
acting	演技	0.698	0.643	0.500
action	アクション	0.760	0.898	0.802
action figure	アクションフィギュア	0.615	0.774	0.611
actionable	実行可能な	0.673	0.702	0.613
activate	活性化する	0.764	0.650	0.806
activation	活性化	0.781	0.800	0.754
active	アクティブ	0.847	0.730	0.731
activist	活動家	0.531	0.653	0.877
activity	アクティビティ	0.701	0.660	0.807
actor	俳優	0.653	0.561	0.629
actress	女優	0.633	0.556	0.596
actual	実際の	0.729	0.400	0.716
actuality	現実	0.750	0.464	0.600
actuary	保険証	0.510	0.404	0.491
acuity	視力	0.469	0.378	0.741
acumen	洞察力	0.564	0.660	0.679
acupuncture	鍼	0.531	0.324	0.549
acute	急性	0.427	0.652	0.534
acutely	鋭く	0.417	0.543	0.491
ad	広告	0.521	0.705	0.558
adage	敬意	0.517	0.415	0.566
adamant	固執する	0.344	0.529	0.575
adapt	適応する	0.740	0.355	0.551
adaptable	適応性のある	0.735	0.423	0.641
adaptation	適応	0.663	0.365	0.609
add	追加する	0.728	0.490	0.554
added	追加された	0.562	0.405	0.509
addendum	補遺	0.392	0.370	0.418
adder	加算器	0.388	0.461	0.588
addict	中毒	0.075	0.696	0.327
addicted	中毒	0.156	0.712	0.483
addiction	中毒	0.180	0.806	0.420
addictive	中毒性の	0.302	0.683	0.472
addition	添加	0.562	0.373	0.471
additional	追加	0.673	0.462	0.526
additive	添加剤	0.561	0.633	0.691
address	住所	0.650	0.327	0.567
addressee	宛名	0.622	0.382	0.538
addresses	アドレス	0.510	0.354	0.450
adept	熟達した	0.594	0.539	0.789
adequacy	妥当性	0.615	0.435	0.702
adequate	十分な	0.854	0.264	0.705
adhere	付着する	0.633	0.339	0.554
adherence	遵守	0.760	0.307	0.630
adherent	付着した	0.561	0.385	0.555
adhering	付着する	0.612	0.561	0.537
adhesion	接着力	0.521	0.445	0.586
adhesive	接着剤	0.604	0.350	0.413
adieu	アジュー	0.250	0.471	0.342
adipose	脂肪	0.333	0.350	0.391
adjacency	隣接	0.365	0.417	0.375
adjacent	隣接	0.645	0.276	0.536
adjective	形容詞	0.570	0.316	0.569
adjoining	隣接する	0.520	0.400	0.393
adjourn	延期する	0.385	0.456	0.475
adjournment	延期	0.438	0.510	0.370
adjudicate	裁定する	0.559	0.520	0.683
adjudication	判決	0.551	0.462	0.691
adjunct	補助	0.459	0.440	0.426
adjust	調整する	0.647	0.327	0.638
adjuster	アジャスター	0.510	0.540	0.760
adjustment	調整	0.590	0.520	0.661
adjuvant	アジュバント	0.510	0.500	0.456
admin	管理者	0.688	0.420	0.854
administer	管理する	0.635	0.425	0.860
administration	投与	0.625	0.404	0.786
administrative	行政	0.542	0.415	0.579
administrator	管理者	0.538	0.480	0.902
admirable	素晴らしい	0.929	0.600	0.870
admiral	提督	0.844	0.490	0.847
admiralty	アドミラル	0.594	0.547	0.733
admiration	感嘆	0.969	0.583	0.726
admire	賞賛する	0.867	0.692	0.704
admired	賞賛された	0.917	0.560	0.815
admirer	賛美者	0.796	0.720	0.650
admiring	憧れている	0.867	0.578	0.629
admissibility	許容性	0.802	0.580	0.602
admissible	容認できる	0.780	0.528	0.642
admission	入場料	0.802	0.415	0.732
admit	認める	0.538	0.423	0.667
admittance	アドミタンス	0.690	0.451	0.598
admitted	認められた	0.720	0.490	0.767
admitting	認めている	0.620	0.500	0.546
admixture	混和	0.450	0.375	0.438
admonition	訓戒	0.357	0.606	0.455
ado	痛み	0.520	0.423	0.385
adobe	アドビ	0.500	0.319	0.328
adolescence	思春期	0.487	0.694	0.444
adolescent	思春期の	0.781	0.680	0.509
adopt	採用	0.694	0.612	0.701
adoption	採択	0.625	0.566	0.589
adoptive	養子	0.531	0.469	0.520
adorable	愛らしい	0.969	0.519	0.457
adoration	礼拝	0.885	0.699	0.708
adore	崇拝します	0.854	0.438	0.657
adoring	崇拝する	0.885	0.620	0.717
adorn	飾る	0.910	0.424	0.482
adornment	装飾	0.918	0.373	0.377
adrenalin	アドレナリン	0.865	0.920	0.786
adrenaline	アドレナリン	0.765	0.965	0.825
adrift	漂流する	0.398	0.486	0.230
adult	大人	0.815	0.491	0.787
adulterated	混入した	0.188	0.865	0.370
adulterer	凶悪犯	0.229	0.814	0.407
adultery	姦通	0.120	0.922	0.510
adulthood	成人期	0.541	0.454	0.652
advance	前進	0.673	0.472	0.858
advanced	高度な	0.844	0.623	0.797
advancement	アドバンス	0.776	0.650	0.839
advancing	前進	0.929	0.608	0.812
advantage	利点	0.917	0.548	0.859
advantageous	有利	0.837	0.640	0.789
advent	出現	0.665	0.560	0.627
adventure	冒険	0.917	0.857	0.710
adventurer	冒険家	0.781	0.839	0.868
adventures	冒険	0.812	0.764	0.749
adventurous	冒険的な	0.969	0.898	0.722
adversary	敵	0.349	0.777	0.457
adverse	有害な	0.323	0.610	0.385
adversity	逆境	0.276	0.760	0.538
advertise	広告する	0.500	0.529	0.580
advertisement	広告	0.600	0.566	0.539
advertising	広告	0.622	0.608	0.632
adverts	広告	0.551	0.500	0.595
advice	助言	0.698	0.408	0.688
advisable	お勧め	0.867	0.480	0.510
advise	アドバイス	0.760	0.393	0.705
advised	アドバイス	0.823	0.330	0.509
advisement	勧告	0.698	0.235	0.655
adviser	顧問	0.745	0.362	0.705
advisor	顧問	0.646	0.350	0.689
advisory	勧告	0.656	0.429	0.633
advocacy	アドボカシー	0.500	0.646	0.731
advocate	主張する	0.551	0.530	0.818
aegis	イージス	0.490	0.439	0.462
aeration	通気	0.550	0.500	0.433
aerial	空中	0.615	0.461	0.463
aerobics	エアロビクス	0.708	0.771	0.627
aerodrome	飛行場	0.541	0.740	0.678
aerodynamic	空力	0.561	0.724	0.728
aerodynamics	空力	0.590	0.663	0.722
aeronautics	航空学	0.551	0.633	0.688
aeroplane	飛行機	0.714	0.642	0.644
aerospace	航空宇宙	0.643	0.520	0.779
aesthetic	美的	0.708	0.442	0.526
aesthetics	美学	0.847	0.327	0.549
aetiology	病因論	0.480	0.398	0.615
afar	遠く	0.396	0.373	0.358
affable	親切な	0.704	0.380	0.452
affair	事件	0.520	0.459	0.657
affect	影響を与える	0.458	0.569	0.578
affecting	影響	0.350	0.574	0.394
affection	愛情	0.898	0.559	0.696
affectionate	愛情のある	0.949	0.422	0.550
affections	愛情	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	宣誓供述書	0.469	0.584	0.526
affiliated	提携	0.673	0.519	0.535
affiliation	所属	0.615	0.594	0.500
affinity	親和性	0.800	0.500	0.537
affirm	肯定する	0.745	0.509	0.731
affirmation	肯定	0.750	0.500	0.689
affirmative	肯定的な	0.854	0.589	0.816
affirmatively	肯定的に	0.908	0.500	0.811
affix	接辞	0.438	0.335	0.411
afflict	苦しめる	0.302	0.555	0.293
afflicted	悩んでいる	0.271	0.500	0.167
affliction	苦しみ	0.294	0.635	0.392
affluence	豊かな	0.663	0.618	0.722
affluent	豊かな	0.756	0.388	0.477
afford	余裕	0.571	0.580	0.575
affordable	手頃な価格	0.840	0.398	0.493
affront	侮辱	0.327	0.740	0.547
affronted	謝られた	0.385	0.750	0.527
afield	アフィールド	0.594	0.370	0.373
afire	火災	0.367	0.904	0.675
afloat	浮く	0.602	0.427	0.444
afore	前の	0.500	0.337	0.382
aforementioned	前述の	0.490	0.316	0.408
aforesaid	前述の	0.531	0.358	0.478
afraid	恐れ	0.010	0.775	0.245
afresh	新たに	0.643	0.521	0.480
african	アフリカ人	0.490	0.423	0.555
aft	後部	0.480	0.417	0.518
afterlife	後世	0.571	0.567	0.568
aftermath	余波	0.312	0.449	0.444
afternoon	午後	0.533	0.388	0.339
aftershave	アフターシェーブ	0.406	0.384	0.415
aftertaste	後味	0.354	0.362	0.455
afterthought	結果論	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	アガペ	0.612	0.529	0.464
agate	瑪瑙	0.540	0.377	0.483
age	年齢	0.561	0.226	0.498
aged	老人	0.135	0.365	0.236
agency	代理店	0.460	0.296	0.583
agenda	議題	0.531	0.296	0.553
agent	エージェント	0.480	0.439	0.755
agglomeration	凝集	0.450	0.765	0.509
aggravate	悪化させる	0.224	0.770	0.464
aggravated	悪化した	0.079	0.760	0.430
aggravates	悪化する	0.108	0.778	0.357
aggravating	悪化する	0.257	0.794	0.640
aggravation	悪化	0.071	0.784	0.613
aggregate	集計	0.730	0.378	0.556
aggregation	凝集	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	侵略	0.094	0.929	0.533
aggressive	積極的な	0.125	0.949	0.648
aggressively	積極的に	0.250	0.926	0.688
aggressiveness	積極性	0.077	0.913	0.648
aggressor	侵略者	0.146	0.948	0.823
agh	ああ	0.260	0.500	0.400
aghast	ああ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	アジャイル	0.800	0.657	0.775
agility	敏捷性	0.720	0.702	0.815
aging	エージング	0.214	0.255	0.284
agitate	興奮させる	0.300	0.796	0.593
agitated	かき混ぜた	0.444	0.882	0.491
agitation	攪拌	0.240	0.931	0.447
aglow	アグロウ	0.780	0.510	0.797
agnostic	不可知論者	0.306	0.396	0.574
ago	前	0.317	0.280	0.404
agonizing	苦しむ	0.083	0.800	0.340
agony	苦しみ	0.083	0.775	0.393
agoraphobia	広場恐怖症	0.127	0.712	0.438
agree	同意する	0.906	0.260	0.545
agreeable	楽しい	0.906	0.500	0.696
agreed	同意した	0.797	0.449	0.574
agreeing	同意する	0.854	0.480	0.557
agreement	契約	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	農業	0.686	0.321	0.473
agriculture	農業	0.640	0.357	0.465
aground	荒れ地	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	前方に	0.708	0.520	0.673
ahhh	ああ	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	アホイ	0.500	0.497	0.380
aid	援助	0.796	0.491	0.541
aide	助手	0.724	0.342	0.434
aiding	助ける	0.643	0.533	0.569
aids	エイズ	0.561	0.480	0.500
ail	アイル	0.375	0.434	0.385
ailing	病気の	0.094	0.518	0.153
ailment	病気	0.146	0.734	0.277
aim	目的	0.481	0.569	0.567
aimless	無意味な	0.150	0.267	0.183
air	空気	0.708	0.163	0.427
airbag	エアバッグ	0.510	0.402	0.433
airborne	空中	0.542	0.519	0.385
aircraft	航空機	0.646	0.644	0.691
aircraft carrier	空母	0.490	0.740	0.727
airfield	飛行場	0.601	0.650	0.645
airhead	空中	0.271	0.481	0.276
airlift	空輸	0.573	0.622	0.642
airline	航空会社	0.650	0.482	0.688
airliner	旅客機	0.667	0.777	0.647
airlock	エアロック	0.398	0.520	0.447
airman	エアマン	0.587	0.716	0.721
airplane	飛行機	0.719	0.702	0.708
airport	空港	0.729	0.684	0.682
airs	空気	0.583	0.196	0.370
airship	飛行船	0.542	0.472	0.529
airspace	空域	0.562	0.510	0.640
airspeed	対気速度	0.583	0.780	0.544
airstrip	滑走路	0.550	0.690	0.649
airtight	気密	0.479	0.381	0.570
airway	気道	0.638	0.585	0.482
aisle	通路	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	別名	0.459	0.358	0.351
akin	同族の	0.639	0.343	0.523
alabaster	アラバスター	0.542	0.404	0.445
alarm	警報	0.241	0.882	0.698
alarm clock	目覚まし時計	0.542	0.727	0.642
alarmed	警戒した	0.188	0.822	0.492
alarming	警戒する	0.204	0.890	0.585
alas	悲しい	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	アルバトロス	0.500	0.445	0.527
albino	アルビノ	0.500	0.240	0.358
album	アルバム	0.635	0.349	0.453
alchemy	錬金術	0.541	0.583	0.693
alcohol	アルコール	0.323	0.667	0.377
alcoholic	アルコール性	0.153	0.688	0.361
alcoholism	アルコール依存症	0.061	0.779	0.407
alcove	アルコーブ	0.490	0.340	0.356
alderman	アルダーマン	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	アラート	0.479	0.820	0.648
alertness	警戒	0.375	0.875	0.750
alerts	アラート	0.337	0.804	0.673
alfalfa	アルファルファ	0.546	0.250	0.311
algebra	代数	0.440	0.340	0.565
algebraic	代数	0.531	0.412	0.441
algorithm	アルゴリズム	0.448	0.394	0.559
alias	エイリアス	0.541	0.353	0.333
alibi	アリバイ	0.396	0.528	0.556
alien	エイリアン	0.410	0.615	0.491
alienate	疎外	0.247	0.500	0.523
alienated	疎外された	0.410	0.423	0.559
alienation	疎外	0.378	0.530	0.462
alight	降りる	0.667	0.657	0.605
align	整列する	0.656	0.364	0.627
aligned	整列した	0.583	0.275	0.553
alignment	アライメント	0.643	0.412	0.683
alike	似ている	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	代謝	0.612	0.477	0.464
aliquot	アリコート	0.440	0.310	0.404
alive	生きている	0.816	0.637	0.731
alkali	アルカリ	0.490	0.350	0.408
alkaloids	アルカロイド	0.433	0.562	0.402
allay	和らげる	0.417	0.406	0.398
allegation	申し立て	0.578	0.578	0.608
allege	主張する	0.418	0.482	0.587
alleged	主張された	0.365	0.522	0.520
allegiance	忠誠	0.917	0.398	0.750
allegorical	寓意的な	0.517	0.558	0.598
allegory	アレゴリー	0.615	0.580	0.509
allegro	アレグロ	0.635	0.627	0.453
allergic	アレルギー性の	0.135	0.549	0.273
allergy	アレルギー	0.296	0.606	0.389
alleviate	緩和する	0.869	0.270	0.528
alleviation	軽減	0.735	0.200	0.491
alley	路地	0.347	0.500	0.355
alleyway	路地	0.357	0.471	0.382
alliance	アライアンス	0.696	0.473	0.769
allied	同盟	0.714	0.245	0.642
alligator	アリゲーター	0.354	0.704	0.645
allocate	割り当て	0.673	0.462	0.672
allocation	割り当て	0.604	0.388	0.679
allot	割り当てる	0.622	0.481	0.616
allotment	割当	0.600	0.390	0.640
allow	許す	0.698	0.429	0.538
allowable	許容できる	0.698	0.500	0.561
allowance	余裕	0.673	0.382	0.591
allowed	許可された	0.730	0.360	0.655
alloy	合金	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	魅力	0.804	0.585	0.686
alluring	魅力的な	0.837	0.745	0.843
allusion	アリュージョン	0.440	0.308	0.462
alluvial	沖積	0.323	0.490	0.491
ally	アリー	0.792	0.320	0.688
almanac	アルマナック	0.688	0.190	0.412
almighty	全能	0.938	0.874	0.958
almond	アーモンド	0.698	0.183	0.314
aloft	アロフト	0.771	0.373	0.700
aloha	アロハ	0.698	0.440	0.441
alone	単独で	0.333	0.167	0.216
alongside	一緒に	0.458	0.333	0.347
aloof	全員	0.189	0.423	0.302
aloud	大声で	0.458	0.713	0.750
alpha	アルファ	0.708	0.340	0.755
alphabet	アルファベット	0.562	0.204	0.672
alphabetical	アルファベット順	0.537	0.296	0.535
alpine	高山	0.594	0.337	0.474
alreadyyyyy	すでにyyyyy	0.592	0.717	0.351
altar	祭壇	0.724	0.387	0.635
altar boy	祭壇の少年	0.434	0.206	0.350
alter	変更する	0.333	0.694	0.654
alteration	変更	0.167	0.798	0.609
altercation	言論	0.170	0.806	0.500
altered	変更されました	0.255	0.765	0.500
alternate	代わりの	0.625	0.363	0.589
alternating	交互の	0.480	0.494	0.542
alternative	代替	0.628	0.373	0.631
altimeter	高度計	0.615	0.510	0.580
altitude	高度	0.708	0.482	0.736
alto	アルト	0.656	0.404	0.730
altogether	全部	0.833	0.324	0.644
aluminum	アルミニウム	0.449	0.280	0.434
alumnus	卒業生	0.633	0.368	0.422
alveolar	歯槽	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	アマルガム	0.438	0.333	0.510
amalgamation	合併	0.406	0.470	0.531
amaretto	アマレット	0.543	0.551	0.375
amass	大量の	0.552	0.465	0.465
amateur	アマチュア	0.469	0.500	0.409
amaze	驚く	0.896	0.843	0.783
amazed	驚く	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	驚き	0.750	0.800	0.639
amazing	素晴らしい	0.906	0.837	0.849
amazingly	驚くほど	0.918	0.765	0.920
ambassador	大使	0.651	0.529	0.917
amber	アンバー	0.635	0.308	0.369
ambience	雰囲気	0.735	0.356	0.426
ambient	周囲	0.625	0.360	0.582
ambiguity	あいまいさ	0.164	0.460	0.370
ambiguous	あいまいな	0.265	0.462	0.358
ambit	アンビット	0.479	0.380	0.386
ambition	野心	0.510	0.804	0.661
ambitious	意欲的な	0.484	0.821	0.717
ambivalent	相反する	0.510	0.404	0.482
ambrosia	アンブロシア	0.571	0.452	0.480
ambulance	救急車	0.500	0.750	0.609
ambush	待ち伏せ	0.281	0.830	0.500
ameliorate	改善する	0.770	0.548	0.747
amen	アーメン	0.781	0.182	0.542
amenable	従順な	0.448	0.410	0.406
amend	修正する	0.688	0.406	0.658
amendment	改正	0.531	0.459	0.606
amends	補償	0.640	0.366	0.517
amenity	アメニティ	0.750	0.327	0.574
amethyst	アメジスト	0.622	0.406	0.517
amiable	愉快な	0.847	0.290	0.483
amicable	親切な	0.875	0.330	0.507
amid	中に	0.510	0.340	0.256
amidst	真っ只中	0.480	0.330	0.316
amino	アミノ	0.551	0.402	0.433
ammo	弾薬	0.323	0.765	0.621
ammonia	アンモニア	0.292	0.587	0.409
ammonium	アンモニウム	0.354	0.396	0.368
ammunition	弾薬	0.338	0.635	0.667
amnesia	健忘症	0.296	0.330	0.308
amnesty	恩赦	0.551	0.451	0.814
amorous	愛する	0.844	0.670	0.636
amorphous	アモルファス	0.327	0.402	0.349
amortization	償却	0.592	0.491	0.522
amount	量	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	アンプ	0.439	0.393	0.375
ampersand	アンパサンド	0.480	0.448	0.483
amphetamines	アンフェタミン	0.133	0.667	0.526
amphibian	両生類	0.427	0.357	0.474
amphibious	水陸両用の	0.479	0.346	0.445
amphitheater	円形劇場	0.653	0.480	0.545
ample	十分	0.744	0.349	0.719
amplification	増幅	0.690	0.677	0.810
amplify	増幅する	0.677	0.735	0.827
amplitude	振幅	0.694	0.439	0.692
amply	十分な	0.781	0.431	0.766
amputate	切断する	0.092	0.660	0.509
amputation	切断	0.100	0.755	0.483
amuck	アマン	0.385	0.602	0.321
amulet	お守り	0.781	0.260	0.630
amuse	楽しむ	0.812	0.684	0.664
amused	面白い	0.942	0.847	0.596
amusement	アミューズメント	0.929	0.837	0.803
amusing	面白い	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	アナコンダ	0.146	0.830	0.540
anaesthesia	麻酔	0.350	0.217	0.473
anaesthetic	麻酔薬	0.449	0.268	0.509
anagram	アナグラム	0.552	0.327	0.449
anal	肛門	0.333	0.798	0.334
analgesic	鎮痛剤	0.417	0.321	0.441
analogous	類似	0.531	0.270	0.500
analogue	アナログ	0.570	0.320	0.446
analogy	類推	0.510	0.367	0.509
analysis	分析	0.729	0.448	0.705
analyst	アナリスト	0.604	0.415	0.755
analytic	分析的	0.665	0.521	0.634
analytical	分析的な	0.625	0.324	0.800
analyze	分析する	0.667	0.462	0.710
analyzer	アナライザ	0.625	0.556	0.854
anaphylactic	アナフィラキシー	0.378	0.588	0.500
anarchism	アナキズム	0.125	0.804	0.623
anarchist	アナキスト	0.204	0.700	0.759
anarchy	アナーキー	0.146	0.755	0.620
anastomosis	吻合	0.375	0.470	0.490
anathema	嫌悪	0.286	0.490	0.519
anatomic	解剖学的	0.562	0.442	0.546
anatomy	解剖学	0.562	0.390	0.571
ancestor	祖先	0.592	0.388	0.594
ancestral	祖先	0.640	0.481	0.750
ancestry	祖先	0.708	0.519	0.717
anchor	アンカー	0.520	0.284	0.564
anchorage	足場	0.500	0.325	0.639
ancient	古代	0.420	0.217	0.439
ancillary	補助的な	0.449	0.442	0.278
androgen	アンドロゲン	0.255	0.523	0.527
android	アンドロイド	0.663	0.436	0.500
anecdote	逸話	0.583	0.529	0.500
anemia	貧血	0.188	0.327	0.310
anemic	貧血	0.167	0.279	0.155
anemone	アネモネ	0.552	0.538	0.327
anesthesia	麻酔	0.365	0.216	0.394
