Word	Hawaiian-haw	Valence	Arousal	Dominance
additional	hoʻonui hou aku	0.673	0.462	0.526
additive	hoʻopau	0.561	0.633	0.691
address	wahi helu	0.650	0.327	0.567
addressee	pākuʻi	0.622	0.382	0.538
addresses	nā pane	0.510	0.354	0.450
adept	maikaʻi	0.594	0.539	0.789
adequacy	kūpono	0.615	0.435	0.702
adequate	lawa	0.854	0.264	0.705
adhere	hoʻopili	0.633	0.339	0.554
adherence	kūlou	0.760	0.307	0.630
adherent	kūlou	0.561	0.385	0.555
adhering	hoʻopili	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	hoʻopili	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	ke kūlana	0.333	0.350	0.391
adjacency	ke kūkākūkā	0.365	0.417	0.375
adjacent	e pili ana	0.645	0.276	0.536
adjective	mahalo	0.570	0.316	0.569
adjoining	e pili ana	0.520	0.400	0.393
adjourn	hoʻopaneʻe	0.385	0.456	0.475
adjournment	hoʻopaneʻe	0.438	0.510	0.370
adjudicate	hoʻoponopono	0.559	0.520	0.683
adjudication	hoʻoponoponoʻana	0.551	0.462	0.691
adjunct	hoʻopunct	0.459	0.440	0.426
adjust	hoʻololi	0.647	0.327	0.638
adjuster	hoʻoponopono	0.510	0.540	0.760
adjustment	hoʻololi	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	Luna	0.688	0.420	0.854
administer	e lawelawe	0.635	0.425	0.860
administration	ka administration	0.625	0.404	0.786
administrative	ka hoʻolālā	0.542	0.415	0.579
administrator	luna hoʻomalu	0.538	0.480	0.902
admirable	maikaʻi	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	mahalo	0.969	0.583	0.726
admire	mahalo	0.867	0.692	0.704
admired	mahaloʻia	0.917	0.560	0.815
admirer	mahalo	0.796	0.720	0.650
admiring	mahalo	0.867	0.578	0.629
admissibility	kaʻaeʻana	0.802	0.580	0.602
admissible	hiki keʻae	0.780	0.528	0.642
admission	komo	0.802	0.415	0.732
admit	eʻae	0.538	0.423	0.667
admittance	ke komoʻana	0.690	0.451	0.598
admitted	eʻae	0.720	0.490	0.767
admitting	eʻaeʻia	0.620	0.500	0.546
admixture	nā mea pāʻani	0.450	0.375	0.438
admonition	aʻo aʻo	0.357	0.606	0.455
ado	hilahila	0.520	0.423	0.385
adobe	ke keiki	0.500	0.319	0.328
adolescence	'ōpiopio	0.487	0.694	0.444
adolescent	'ōpio	0.781	0.680	0.509
adopt	eʻae	0.694	0.612	0.701
adoption	'ōlelo hoʻohui	0.625	0.566	0.589
adoptive	ke adoptive	0.531	0.469	0.520
adorable	maikaʻi	0.969	0.519	0.457
adoration	mahalo	0.885	0.699	0.708
adore	aloha	0.854	0.438	0.657
adoring	hoʻomana	0.885	0.620	0.717
adorn	hoʻonani	0.910	0.424	0.482
adornment	nā mea hoʻonani	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	hoʻopiʻi	0.398	0.486	0.230
adult	makua	0.815	0.491	0.787
adulterated	ua moekolohe	0.188	0.865	0.370
adulterer	ka moekolohe	0.229	0.814	0.407
adultery	moekolohe	0.120	0.922	0.510
adulthood	ke kāne makua	0.541	0.454	0.652
advance	hele mua	0.673	0.472	0.858
advanced	kūlana kiʻekiʻe	0.844	0.623	0.797
advancement	holomua	0.776	0.650	0.839
advancing	hele	0.929	0.608	0.812
advantage	maikaʻi	0.917	0.548	0.859
advantageous	maikaʻi	0.837	0.640	0.789
advent	hele mai	0.665	0.560	0.627
adventure	kūlana	0.917	0.857	0.710
adventurer	ka mea kūʻai	0.781	0.839	0.868
adventures	nā hanana	0.812	0.764	0.749
adventurous	nā meaʻeleʻele	0.969	0.898	0.722
adversary	ke kū'ē	0.349	0.777	0.457
adverse	ke kū'ē	0.323	0.610	0.385
adversity	pilikia	0.276	0.760	0.538
advertise	hoʻolaha	0.500	0.529	0.580
advertisement	pāʻani	0.600	0.566	0.539
advertising	hoʻolaha hoʻolaha	0.622	0.608	0.632
adverts	hoʻolaha	0.551	0.500	0.595
advice	'ōlelo aʻo	0.698	0.408	0.688
advisable	kūpono	0.867	0.480	0.510
advise	'ōlelo aʻo	0.760	0.393	0.705
advised	'ōlelo aʻo	0.823	0.330	0.509
advisement	kūkā	0.698	0.235	0.655
adviser	mea kuhikuhi	0.745	0.362	0.705
advisor	kūkā	0.646	0.350	0.689
advisory	ke kuhikuhi	0.656	0.429	0.633
advocacy	kūkā	0.500	0.646	0.731
advocate	ke kākā'ōlelo	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	ke aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	nāʻaeʻa	0.708	0.771	0.627
aerodrome	ka holo kaʻa	0.541	0.740	0.678
aerodynamic	ke ea honua	0.561	0.724	0.728
aerodynamics	ke ea honua	0.590	0.663	0.722
aeronautics	nā mea āpau	0.551	0.633	0.688
aeroplane	mokulele	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	maikaʻi	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	mamao	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	ka hihia	0.520	0.459	0.657
affect	pili	0.458	0.569	0.578
affecting	e pili ana	0.350	0.574	0.394
affection	aloha	0.898	0.559	0.696
affectionate	aloha	0.949	0.422	0.550
affections	aloha	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ka affidavit	0.469	0.584	0.526
affiliated	pili pū	0.673	0.519	0.535
affiliation	pili	0.615	0.594	0.500
affinity	aloha	0.800	0.500	0.537
affirm	hōʻike	0.745	0.509	0.731
affirmation	hōʻike	0.750	0.500	0.689
affirmative	ʻoiaʻiʻo	0.854	0.589	0.816
affirmatively	ʻoiaʻiʻo	0.908	0.500	0.811
affix	pākuʻi	0.438	0.335	0.411
afflict	e pilikia ana	0.302	0.555	0.293
afflicted	pilikia	0.271	0.500	0.167
affliction	pilikia	0.294	0.635	0.392
affluence	ka waiwai	0.663	0.618	0.722
affluent	huawai	0.756	0.388	0.477
afford	uku	0.571	0.580	0.575
affordable	kūpono	0.840	0.398	0.493
affront	ka paʻi	0.327	0.740	0.547
affronted	ua kū'ē	0.385	0.750	0.527
afield	e pili ana	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	pā	0.602	0.427	0.444
afore	mamua	0.500	0.337	0.382
aforementioned	i'ōlelo muaʻia	0.490	0.316	0.408
aforesaid	i olelo mua ia	0.531	0.358	0.478
afraid	makaʻu	0.010	0.775	0.245
afresh	hou	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	mamua	0.480	0.417	0.518
afterlife	mahope olaila	0.571	0.567	0.568
aftermath	mahope	0.312	0.449	0.444
afternoon	awakea	0.533	0.388	0.339
aftershave	i hope	0.406	0.384	0.415
aftertaste	mahope	0.354	0.362	0.455
afterthought	mahope	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	makahiki	0.561	0.226	0.498
aged	kaʻelemakule	0.135	0.365	0.236
agency	hui	0.460	0.296	0.583
agenda	ka papahana	0.531	0.296	0.553
agent	luna	0.480	0.439	0.755
agglomeration	keʻaʻa	0.450	0.765	0.509
aggravate	ua hoʻonāukiukiʻia	0.224	0.770	0.464
aggravated	ua hoʻonāukiukiʻia	0.079	0.760	0.430
aggravates	nā hōʻehaʻeha	0.108	0.778	0.357
aggravating	hoʻopilikia	0.257	0.794	0.640
aggravation	ʻo ka hoʻonāukiuki	0.071	0.784	0.613
aggregate	hōʻuluʻulu	0.730	0.378	0.556
aggregation	huihuʻi	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	huhū	0.094	0.929	0.533
aggressive	kūpaʻa	0.125	0.949	0.648
aggressively	me ka huhū	0.250	0.926	0.688
aggressiveness	ke kūpaʻa	0.077	0.913	0.648
aggressor	kauā	0.146	0.948	0.823
agh	a	0.260	0.500	0.400
aghast	ke kaua	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	ʻoluʻolu	0.720	0.702	0.815
aging	keʻelemakule	0.214	0.255	0.284
agitate	e hoʻonāukiuki	0.300	0.796	0.593
agitated	ua nui ka huhū	0.444	0.882	0.491
agitation	ka hoʻonāukiuki	0.240	0.931	0.447
aglow	pākī	0.780	0.510	0.797
agnostic	'agnostic	0.306	0.396	0.574
ago	hala aku nei	0.317	0.280	0.404
agonizing	eʻona	0.083	0.800	0.340
agony	eha	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	eʻae	0.906	0.260	0.545
agreeable	ʻoluʻolu	0.906	0.500	0.696
agreed	ʻaeʻia	0.797	0.449	0.574
agreeing	'āpono	0.854	0.480	0.557
agreement	ʻaelike	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	mahiʻai	0.686	0.321	0.473
agriculture	ka mahiʻai	0.640	0.357	0.465
aground	hoʻopiliʻia	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	mamua	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	kōkua	0.796	0.491	0.541
aide	kōkua	0.724	0.342	0.434
aiding	kōkua	0.643	0.533	0.569
aids	nā mea kōkua	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	maʻi	0.094	0.518	0.153
ailment	maʻi	0.146	0.734	0.277
aim	manaʻo	0.481	0.569	0.567
aimless	keʻole	0.150	0.267	0.183
air	ea	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	ke ea	0.542	0.519	0.385
aircraft	mokulele	0.646	0.644	0.691
aircraft carrier	ka mea ea	0.490	0.740	0.727
airfield	ea	0.601	0.650	0.645
airhead	ke ea	0.271	0.481	0.276
airlift	ke ea	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	ea	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	mokulele	0.719	0.702	0.708
airport	airport	0.729	0.684	0.682
airs	ea	0.583	0.196	0.370
airship	ke ea	0.542	0.472	0.529
airspace	mokumoku	0.562	0.510	0.640
airspeed	mokumoku	0.583	0.780	0.544
airstrip	makapō	0.550	0.690	0.649
airtight	ke ea	0.479	0.381	0.570
airway	ke ea	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	ka uaki alarm	0.542	0.727	0.642
alarmed	haʻalulu	0.188	0.822	0.492
alarming	haʻalulu	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	kele	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	ke aliʻi	0.541	0.583	0.693
alcohol	ka waiʻona	0.323	0.667	0.377
alcoholic	ka waiʻona	0.153	0.688	0.361
alcoholism	ka waiʻona	0.061	0.779	0.407
alcove	ka hoʻohako	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ʻike	0.479	0.820	0.648
alertness	ʻike	0.375	0.875	0.750
alerts	nā leka	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebra	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	inoa inoa	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	malihini	0.410	0.615	0.491
alienate	ke kū'ē	0.247	0.500	0.523
alienated	malihini	0.410	0.423	0.559
alienation	ke kūkā	0.378	0.530	0.462
alight	ke ala	0.667	0.657	0.605
align	ke kaulike	0.656	0.364	0.627
aligned	hoʻopiliʻia	0.583	0.275	0.553
alignment	ke kaulike	0.643	0.412	0.683
alike	like	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	ola	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	kūmau	0.417	0.406	0.398
allegation	palapala hōʻaia	0.578	0.578	0.608
allege	olelo aku	0.418	0.482	0.587
alleged	ua'ōleloʻia	0.365	0.522	0.520
allegiance	ke kūkā	0.917	0.398	0.750
allegorical	ke kūlike	0.517	0.558	0.598
allegory	keʻano	0.615	0.580	0.509
allegro	kalo	0.635	0.627	0.453
allergic	maʻi maʻi	0.135	0.549	0.273
allergy	maʻi pāʻani	0.296	0.606	0.389
alleviate	hoʻohaʻahaʻa	0.869	0.270	0.528
alleviation	hoʻoponopono	0.735	0.200	0.491
alley	ala	0.347	0.500	0.355
alleyway	ala ala	0.357	0.471	0.382
alliance	hoʻohui	0.696	0.473	0.769
allied	hui pūʻia	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	hoʻokaʻawale	0.673	0.462	0.672
allocation	hoʻokaʻawale	0.604	0.388	0.679
allot	alahele	0.622	0.481	0.616
allotment	wahi'āpana	0.600	0.390	0.640
allow	ʻae	0.698	0.429	0.538
allowable	allowable	0.698	0.500	0.561
allowance	haʻawina	0.673	0.382	0.591
allowed	ʻaeʻia	0.730	0.360	0.655
alloy	paupili	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	hoʻopau	0.804	0.585	0.686
alluring	mālama	0.837	0.745	0.843
allusion	makemake	0.440	0.308	0.462
alluvial	paukū	0.323	0.490	0.491
ally	hoa	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	mana loa	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	hoʻokahi wale nō	0.333	0.167	0.216
alongside	ma kahi kokoke	0.458	0.333	0.347
aloof	aloa	0.189	0.423	0.302
aloud	nui	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	huapalapala	0.562	0.204	0.672
alphabetical	huapalapala	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	aiaiaiaiaiaiaia	0.592	0.717	0.351
altar	kuahu	0.724	0.387	0.635
altar boy	keiki kāne kuahu	0.434	0.206	0.350
alter	e hoʻololi	0.333	0.694	0.654
alteration	ke hoʻololi	0.167	0.798	0.609
altercation	ke hoʻololi	0.170	0.806	0.500
altered	ua hoʻololiʻia	0.255	0.765	0.500
alternate	Eia kekahi	0.625	0.363	0.589
alternating	keʻano	0.480	0.494	0.542
alternative	ʻokoʻa	0.628	0.373	0.631
altimeter	ke kiʻekiʻe	0.615	0.510	0.580
altitude	ke kiʻekiʻe	0.708	0.482	0.736
alto	Pau	0.656	0.404	0.730
altogether	pau loa	0.833	0.324	0.644
aluminum	aluminika	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	hui pū	0.406	0.470	0.531
amaretto	nā papa kuhikuhi	0.543	0.551	0.375
amass	hoʻonui	0.552	0.465	0.465
amateur	makemake	0.469	0.500	0.409
amaze	ʻike	0.896	0.843	0.783
amazed	kūhāhā	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ʻikea	0.750	0.800	0.639
amazing	mea kupaianaha	0.906	0.837	0.849
amazingly	hanana	0.918	0.765	0.920
ambassador	kaʻelele	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	hiʻona	0.735	0.356	0.426
ambient	ana	0.625	0.360	0.582
ambiguity	hiʻi	0.164	0.460	0.370
ambiguous	hiʻona	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	makemake	0.510	0.804	0.661
ambitious	makemake	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	hale kaʻa	0.500	0.750	0.609
ambush	hilinaʻi	0.281	0.830	0.500
ameliorate	ke hoʻonuiʻia	0.770	0.548	0.747
amen	amene	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	hoʻoponopono	0.688	0.406	0.658
amendment	hoololi	0.531	0.459	0.606
amends	hoʻoponopono	0.640	0.366	0.517
amenity	maikaʻi	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	mahalo	0.847	0.290	0.483
amicable	maikaʻi	0.875	0.330	0.507
amid	ma waena	0.510	0.340	0.256
amidst	ma waenakonu	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	amonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	nā mea kaua	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	hoʻomalu	0.551	0.451	0.814
amorous	maikaʻi	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	nui	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
