Word	Corsican-co	Valence	Arousal	Dominance
adjective	aggittivu	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	aghjurnà	0.385	0.456	0.475
adjournment	aghjurnamentu	0.438	0.510	0.370
adjudicate	adjudicate	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	aghjuntu	0.459	0.440	0.426
adjust	aghjusta	0.647	0.327	0.638
adjuster	fiatu	0.510	0.540	0.760
adjustment	aghjurnamentu	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	amministrari	0.635	0.425	0.860
administration	amministrazione	0.625	0.404	0.786
administrative	amministrativi	0.542	0.415	0.579
administrator	amministratore	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	Ammiragghiu	0.844	0.490	0.847
admiralty	ammiratore	0.594	0.547	0.733
admiration	admirazione	0.969	0.583	0.726
admire	ammirazione	0.867	0.692	0.704
admired	ammirazioni	0.917	0.560	0.815
admirer	ammirazione	0.796	0.720	0.650
admiring	ammirazione	0.867	0.578	0.629
admissibility	ammissibilità	0.802	0.580	0.602
admissible	ammissibili	0.780	0.528	0.642
admission	admission	0.802	0.415	0.732
admit	ricunniscenza	0.538	0.423	0.667
admittance	admittance	0.690	0.451	0.598
admitted	admittìu	0.720	0.490	0.767
admitting	admittendu	0.620	0.500	0.546
admixture	aghjunghje	0.450	0.375	0.438
admonition	n'ammunizioni	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescenza	0.487	0.694	0.444
adolescent	adulescente	0.781	0.680	0.509
adopt	adopranu	0.694	0.612	0.701
adoption	adopzione	0.625	0.566	0.589
adoptive	adoptive	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	Adorazione	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adurendu	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	adornamentu	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	di vapeur	0.398	0.486	0.230
adult	adultu	0.815	0.491	0.787
adulterated	adulterati	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	adulteri	0.120	0.922	0.510
adulthood	n'adultu	0.541	0.454	0.652
advance	avanzata	0.673	0.472	0.858
advanced	avanzatu	0.844	0.623	0.797
advancement	avanzamentu	0.776	0.650	0.839
advancing	avanti	0.929	0.608	0.812
advantage	benefiziu	0.917	0.548	0.859
advantageous	vantaghje	0.837	0.640	0.789
advent	avventu	0.665	0.560	0.627
adventure	avventura	0.917	0.857	0.710
adventurer	adventureru	0.781	0.839	0.868
adventures	avventu	0.812	0.764	0.749
adventurous	avventurosa	0.969	0.898	0.722
adversary	adversariu	0.349	0.777	0.457
adverse	avversu	0.323	0.610	0.385
adversity	a cuntrarietà	0.276	0.760	0.538
advertise	publicità	0.500	0.529	0.580
advertisement	publicità	0.600	0.566	0.539
advertising	publicità	0.622	0.608	0.632
adverts	pubblichi	0.551	0.500	0.595
advice	cunsigliu	0.698	0.408	0.688
advisable	advisable	0.867	0.480	0.510
advise	avè cunsigliatu	0.760	0.393	0.705
advised	cunsigliatu	0.823	0.330	0.509
advisement	cunsigliu	0.698	0.235	0.655
adviser	cunsiggheri	0.745	0.362	0.705
advisor	cunsigliu	0.646	0.350	0.689
advisory	cunsigliu	0.656	0.429	0.633
advocacy	advocacy	0.500	0.646	0.731
advocate	avvucatu	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aereo	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodinamica	0.561	0.724	0.728
aerodynamics	aerodinamiche	0.590	0.663	0.722
aeronautics	aeronautichi	0.551	0.633	0.688
aeroplane	avianu	0.714	0.642	0.644
aerospace	aeroespagne	0.643	0.520	0.779
aesthetic	estetiche	0.708	0.442	0.526
aesthetics	estetichi	0.847	0.327	0.549
aetiology	etichetta	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	affare	0.520	0.459	0.657
affect	affettu	0.458	0.569	0.578
affecting	avè puliticu	0.350	0.574	0.394
affection	affettu	0.898	0.559	0.696
affectionate	affettuosu	0.949	0.422	0.550
affections	affetti	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidàvit	0.469	0.584	0.526
affiliated	affilatu	0.673	0.519	0.535
affiliation	affilata	0.615	0.594	0.500
affinity	affinità	0.800	0.500	0.537
affirm	affirmate	0.745	0.509	0.731
affirmation	affirmazioni	0.750	0.500	0.689
affirmative	affirmativu	0.854	0.589	0.816
affirmatively	affirmativamenti	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	afflict	0.302	0.555	0.293
afflicted	afflittu	0.271	0.500	0.167
affliction	affliction	0.294	0.635	0.392
affluence	affluenza	0.663	0.618	0.722
affluent	riccu	0.756	0.388	0.477
afford	aduprà	0.571	0.580	0.575
affordable	bi prezzu	0.840	0.398	0.493
affront	affruntu	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	afar	0.594	0.370	0.373
afire	incantu	0.367	0.904	0.675
afloat	a galla	0.602	0.427	0.444
afore	annunziu	0.500	0.337	0.382
aforementioned	annunziata	0.490	0.316	0.408
aforesaid	cited above	0.531	0.358	0.478
afraid	teme	0.010	0.775	0.245
afresh	novu	0.643	0.521	0.480
african	african	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	l 'oltritomba	0.571	0.567	0.568
aftermath	dopu	0.312	0.449	0.444
afternoon	dopu meziornu	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	pensamentu	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	età	0.561	0.226	0.498
aged	vechju	0.135	0.365	0.236
agency	agenzia	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agenti	0.480	0.439	0.755
agglomeration	agglomerazioni	0.450	0.765	0.509
aggravate	aggravate	0.224	0.770	0.464
aggravated	aggravatu	0.079	0.760	0.430
aggravates	aggrava	0.108	0.778	0.357
aggravating	aggravava	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	agraria	0.730	0.378	0.556
aggregation	aghjurnamentu	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agressione	0.094	0.929	0.533
aggressive	aggressivu	0.125	0.949	0.648
aggressively	aggressivu	0.250	0.926	0.688
aggressiveness	aggressivu	0.077	0.913	0.648
aggressor	aggressore	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	anzianu	0.214	0.255	0.284
agitate	agitate	0.300	0.796	0.593
agitated	agitava	0.444	0.882	0.491
agitation	agitazioni	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnosticu	0.306	0.396	0.574
ago	fà	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agunia	0.083	0.775	0.393
agoraphobia	agorafobia	0.127	0.712	0.438
agree	accunsentiscenu	0.906	0.260	0.545
agreeable	piacevule	0.906	0.500	0.696
agreed	accunsentì	0.797	0.449	0.574
agreeing	accurdà	0.854	0.480	0.557
agreement	accordu	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agricultura	0.686	0.321	0.473
agriculture	agricultura	0.640	0.357	0.465
aground	aground	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	avanti	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	aiutu	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	aiutà	0.643	0.533	0.569
aids	aiuti	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	malati	0.094	0.518	0.153
ailment	maladizione	0.146	0.734	0.277
aim	scopu	0.481	0.569	0.567
aimless	aimless	0.150	0.267	0.183
air	aria	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	arboriciu	0.542	0.519	0.385
aircraft	n'avutru	0.646	0.644	0.691
aircraft carrier	traspurtadore	0.490	0.740	0.727
airfield	campu aviazione	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	aerolinea	0.650	0.482	0.688
airliner	avviò	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	aviatore	0.587	0.716	0.721
airplane	avianu	0.719	0.702	0.708
airport	'aviazione	0.729	0.684	0.682
airs	aria	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	arspace	0.562	0.510	0.640
airspeed	midianti	0.583	0.780	0.544
airstrip	aria	0.550	0.690	0.649
airtight	stanca	0.479	0.381	0.570
airway	viulenza	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabastru	0.542	0.404	0.445
alarm	alarme	0.241	0.882	0.698
alarm clock	siggillu	0.542	0.727	0.642
alarmed	alarmed	0.188	0.822	0.492
alarming	alarmanti	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albinu	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchimia	0.541	0.583	0.693
alcohol	alcohol	0.323	0.667	0.377
alcoholic	alcoòlica	0.153	0.688	0.361
alcoholism	alcoholismu	0.061	0.779	0.407
alcove	alcova	0.490	0.340	0.356
alderman	cunziggheri	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerta	0.479	0.820	0.648
alertness	viulenza	0.375	0.875	0.750
alerts	alerta	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraica	0.531	0.412	0.441
algorithm	algoritmo	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	stranieri	0.410	0.615	0.491
alienate	alluntanatu	0.247	0.500	0.523
alienated	alienate	0.410	0.423	0.559
alienation	alienazione	0.378	0.530	0.462
alight	incantu	0.667	0.657	0.605
align	alineate	0.656	0.364	0.627
aligned	alliniati	0.583	0.275	0.553
alignment	allinjamentu	0.643	0.412	0.683
alike	in ligna	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimenti	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	viva	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alcaloci	0.433	0.562	0.402
allay	allave	0.417	0.406	0.398
allegation	accusa	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	allegru	0.365	0.522	0.520
allegiance	fidiltà	0.917	0.398	0.750
allegorical	alegoriu	0.517	0.558	0.598
allegory	allegra	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergii	0.135	0.549	0.273
allergy	allergie	0.296	0.606	0.389
alleviate	allughjà	0.869	0.270	0.528
alleviation	allughjassi	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alliance	0.696	0.473	0.769
allied	alliatu	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	attribuisce	0.673	0.462	0.672
allocation	assignazione	0.604	0.388	0.679
allot	mette	0.622	0.481	0.616
allotment	'accordu	0.600	0.390	0.640
allow	permettenu	0.698	0.429	0.538
allowable	permissibule	0.698	0.500	0.561
allowance	allowance	0.673	0.382	0.591
allowed	permessa	0.730	0.360	0.655
alloy	liga	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	alluring	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	alliatu	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	omnipotente	0.938	0.874	0.958
almond	amandula	0.698	0.183	0.314
aloft	allu	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	solu	0.333	0.167	0.216
alongside	accumpagna	0.458	0.333	0.347
aloof	aspra	0.189	0.423	0.302
aloud	in alta	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabbetu	0.562	0.204	0.672
alphabetical	alfabeticu	0.537	0.296	0.535
alpine	alpina	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altare	0.724	0.387	0.635
altar boy	altare picciottu	0.434	0.206	0.350
alter	alter	0.333	0.694	0.654
alteration	alterazione	0.167	0.798	0.609
altercation	altercazione	0.170	0.806	0.500
altered	cambiatu	0.255	0.765	0.500
alternate	altirnati	0.625	0.363	0.589
alternating	alterna	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	altimètre	0.615	0.510	0.580
altitude	altitudina	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	altru	0.833	0.324	0.644
aluminum	aluminiu	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgama	0.438	0.333	0.510
amalgamation	amalgamazione	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	dilettante	0.469	0.500	0.409
amaze	maravigliate	0.896	0.843	0.783
amazed	amazed	0.796	0.779	0.533
amazedness	in l 'amazedness	0.827	0.872	0.510
amazement	amazement	0.750	0.800	0.639
amazing	stupiti	0.906	0.837	0.849
amazingly	maravigliosu	0.918	0.765	0.920
ambassador	imbasciadore	0.651	0.529	0.917
amber	ambrata	0.635	0.308	0.369
ambience	ambianza	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambiguità	0.164	0.460	0.370
ambiguous	ambiguu	0.265	0.462	0.358
ambit	ambitu	0.479	0.380	0.386
ambition	ambizioni	0.510	0.804	0.661
ambitious	ambiziosu	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulanza	0.500	0.750	0.609
ambush	ambush	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	amma	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	cambià	0.688	0.406	0.658
amendment	rimbursà	0.531	0.459	0.606
amends	amends	0.640	0.366	0.517
amenity	cummunità	0.750	0.327	0.574
amethyst	amatista	0.622	0.406	0.517
amiable	amabiliatibbili	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	in mezzu	0.510	0.340	0.256
amidst	mezu à u centru	0.480	0.330	0.316
amino	amminu	0.551	0.402	0.433
ammo	municu	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	munizioni	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnistia	0.551	0.451	0.814
amorous	amoru	0.844	0.670	0.636
amorphous	amorfu	0.327	0.402	0.349
amortization	amortizzazione	0.592	0.491	0.522
amount	quantità	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	anfetammi	0.133	0.667	0.526
amphibian	anfibianu	0.427	0.357	0.474
amphibious	anfibiosu	0.479	0.346	0.445
amphitheater	amphitheatre	0.653	0.480	0.545
ample	ample	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	amplify	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amuleto	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amused	0.942	0.847	0.596
amusement	divertimentu	0.929	0.837	0.803
amusing	amusing	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anesteticu	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anale	0.333	0.798	0.334
analgesic	analgésicu	0.417	0.321	0.441
analogous	analogous	0.531	0.270	0.500
analogue	analogica	0.570	0.320	0.446
analogy	analogia	0.510	0.367	0.509
analysis	analisi	0.729	0.448	0.705
analyst	analista	0.604	0.415	0.755
analytic	analiticu	0.665	0.521	0.634
analytical	analitiche	0.625	0.324	0.800
analyze	analizà	0.667	0.462	0.710
analyzer	analitze	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarchismu	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
anarchy	anarchia	0.146	0.755	0.620
anastomosis	anastomosi	0.375	0.470	0.490
anathema	anathema	0.286	0.490	0.519
anatomic	anatomicu	0.562	0.442	0.546
anatomy	anatumia	0.562	0.390	0.571
ancestor	antenatu	0.592	0.388	0.594
ancestral	ancestrali	0.640	0.481	0.750
ancestry	ancestrali	0.708	0.519	0.717
anchor	ancu	0.520	0.284	0.564
