Word	Telugu-te	Valence	Arousal	Dominance
acute	తీవ్రమైన	0.427	0.652	0.534
acutely	తీవ్రంగా	0.417	0.543	0.491
ad	ప్రకటన	0.521	0.705	0.558
adage	సామెత	0.517	0.415	0.566
adamant	మొండిగా	0.344	0.529	0.575
adapt	స్వీకరించే	0.740	0.355	0.551
adaptable	యోగ్యతను	0.735	0.423	0.641
adaptation	అనుసరణ	0.663	0.365	0.609
add	జోడించడానికి	0.728	0.490	0.554
added	జోడించారు	0.562	0.405	0.509
addendum	సంబంధిత సమాచారం	0.392	0.370	0.418
adder	కట్లపాము	0.388	0.461	0.588
addict	బానిస	0.075	0.696	0.327
addicted	బానిస	0.156	0.712	0.483
addiction	వ్యసనం	0.180	0.806	0.420
addictive	వ్యసనపరుడైన	0.302	0.683	0.472
addition	అదనంగా	0.562	0.373	0.471
additional	అదనపు	0.673	0.462	0.526
additive	సంకలిత	0.561	0.633	0.691
address	చిరునామా	0.650	0.327	0.567
addressee	చిరునామాదారుడు	0.622	0.382	0.538
addresses	చిరునామాలు	0.510	0.354	0.450
adept	ప్రవీణుడు	0.594	0.539	0.789
adequacy	సంపూర్ణత	0.615	0.435	0.702
adequate	తగిన	0.854	0.264	0.705
adhere	కట్టుబడి	0.633	0.339	0.554
adherence	కట్టుబడి	0.760	0.307	0.630
adherent	అనుయాయి	0.561	0.385	0.555
adhering	కట్టుబడిన	0.612	0.561	0.537
adhesion	సంశ్లేషణ	0.521	0.445	0.586
adhesive	అంటుకునే	0.604	0.350	0.413
adieu	దండం	0.250	0.471	0.342
adipose	కొవ్వు	0.333	0.350	0.391
adjacency	సామీప్య	0.365	0.417	0.375
adjacent	ప్రక్కనే	0.645	0.276	0.536
adjective	విశేషణంగా	0.570	0.316	0.569
adjoining	పక్కనున్న	0.520	0.400	0.393
adjourn	వాయిదా	0.385	0.456	0.475
adjournment	వాయిదా	0.438	0.510	0.370
adjudicate	న్యాయనిర్ణయం	0.559	0.520	0.683
adjudication	న్యాయనిర్ణయం	0.551	0.462	0.691
adjunct	సమ్మిళితంగా	0.459	0.440	0.426
adjust	సర్దుబాటు	0.647	0.327	0.638
adjuster	సర్దు	0.510	0.540	0.760
adjustment	సర్దుబాటు	0.590	0.520	0.661
adjuvant	ఔషధ సహాయ	0.510	0.500	0.456
admin	అడ్మిన్	0.688	0.420	0.854
administer	నిర్వహించే	0.635	0.425	0.860
administration	పరిపాలన	0.625	0.404	0.786
administrative	పరిపాలనా	0.542	0.415	0.579
administrator	నిర్వాహకుడు	0.538	0.480	0.902
admirable	ప్రశంసనీయం	0.929	0.600	0.870
admiral	అడ్మిరల్	0.844	0.490	0.847
admiralty	ఒక దళాధిపతి	0.594	0.547	0.733
admiration	ప్రశంస	0.969	0.583	0.726
admire	ఆరాధిస్తాను	0.867	0.692	0.704
admired	అభిమానించ	0.917	0.560	0.815
admirer	ఆరాధకుడు	0.796	0.720	0.650
admiring	మెచ్చుకోవడం	0.867	0.578	0.629
admissibility	అనుమతించదగు	0.802	0.580	0.602
admissible	అనుమతించదగిన	0.780	0.528	0.642
admission	ప్రవేశ	0.802	0.415	0.732
admit	ఒప్పుకుంటే	0.538	0.423	0.667
admittance	అడుగుపెట్టేందుకు	0.690	0.451	0.598
admitted	ఒప్పుకున్నాడు	0.720	0.490	0.767
admitting	అంగీకరిస్తూ	0.620	0.500	0.546
admixture	ఈ మిశ్రమానికి	0.450	0.375	0.438
admonition	హితబోధ	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	అడోబ్	0.500	0.319	0.328
adolescence	కౌమారదశలో	0.487	0.694	0.444
adolescent	శిశు	0.781	0.680	0.509
adopt	దత్తత	0.694	0.612	0.701
adoption	స్వీకరణ	0.625	0.566	0.589
adoptive	పెంపుడు	0.531	0.469	0.520
adorable	పూజ్యమైన	0.969	0.519	0.457
adoration	ఆరాధన	0.885	0.699	0.708
adore	ఆరాధించు	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	అలంకరించడానికి	0.910	0.424	0.482
adornment	అలంకారం	0.918	0.373	0.377
adrenalin	అడ్రినాలిన్	0.865	0.920	0.786
adrenaline	అడ్రినాలిన్	0.765	0.965	0.825
adrift	తేలిపోవు	0.398	0.486	0.230
adult	వయోజన	0.815	0.491	0.787
adulterated	కల్తీ	0.188	0.865	0.370
adulterer	వ్యభిచారి	0.229	0.814	0.407
adultery	వ్యభిచారం	0.120	0.922	0.510
adulthood	యుక్తవయస్సు	0.541	0.454	0.652
advance	ముందుకు	0.673	0.472	0.858
advanced	ఆధునిక	0.844	0.623	0.797
advancement	అభివృద్ది	0.776	0.650	0.839
advancing	చేరుకుంటున్న	0.929	0.608	0.812
advantage	ప్రయోజనం	0.917	0.548	0.859
advantageous	ప్రయోజనకరంగా	0.837	0.640	0.789
advent	రావడంతో	0.665	0.560	0.627
adventure	సాహస	0.917	0.857	0.710
adventurer	సాహసికుడు	0.781	0.839	0.868
adventures	అడ్వెంచర్స్	0.812	0.764	0.749
adventurous	సాహసోపేత	0.969	0.898	0.722
adversary	విరోధి	0.349	0.777	0.457
adverse	ప్రతికూల	0.323	0.610	0.385
adversity	కష్టాలలో	0.276	0.760	0.538
advertise	ప్రకటన	0.500	0.529	0.580
advertisement	ప్రకటన	0.600	0.566	0.539
advertising	ప్రకటనలు	0.622	0.608	0.632
adverts	ప్రకటనల్లో	0.551	0.500	0.595
advice	సలహా	0.698	0.408	0.688
advisable	మంచిది	0.867	0.480	0.510
advise	సలహా	0.760	0.393	0.705
advised	సలహా	0.823	0.330	0.509
advisement	పూర్వకమైనది	0.698	0.235	0.655
adviser	సలహాదారుగా	0.745	0.362	0.705
advisor	సలహాదారు	0.646	0.350	0.689
advisory	సలహా	0.656	0.429	0.633
advocacy	న్యాయవాద	0.500	0.646	0.731
advocate	న్యాయవాది	0.551	0.530	0.818
aegis	రక్షణ కవచంపై	0.490	0.439	0.462
aeration	గాలిని నింపడం	0.550	0.500	0.433
aerial	ఆకాశయాన	0.615	0.461	0.463
aerobics	ఏరోబిక్స్	0.708	0.771	0.627
aerodrome	విమానాశ్రయంలో	0.541	0.740	0.678
aerodynamic	ఏరోడైనమిక్	0.561	0.724	0.728
aerodynamics	ఏరోడైనమిక్స్	0.590	0.663	0.722
aeronautics	ఏరోనాటిక్స్	0.551	0.633	0.688
aeroplane	విమానం	0.714	0.642	0.644
aerospace	ఏరోస్పేస్	0.643	0.520	0.779
aesthetic	సౌందర్య	0.708	0.442	0.526
aesthetics	సౌందర్యానికి	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	దూరము	0.396	0.373	0.358
affable	స్నేహపూర్వక	0.704	0.380	0.452
affair	వ్యవహారంలో	0.520	0.459	0.657
affect	ప్రభావితం	0.458	0.569	0.578
affecting	ప్రభావితం	0.350	0.574	0.394
affection	ఆప్యాయత	0.898	0.559	0.696
affectionate	అభిమానంతో	0.949	0.422	0.550
affections	ప్రేమ	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	అఫిడవిట్	0.469	0.584	0.526
affiliated	అనుబంధంగా	0.673	0.519	0.535
affiliation	అనుబంధం	0.615	0.594	0.500
affinity	సామ్యాన్ని	0.800	0.500	0.537
affirm	పునరుద్ఘాటించాలి	0.745	0.509	0.731
affirmation	అంగీకార	0.750	0.500	0.689
affirmative	నిశ్చయాత్మక	0.854	0.589	0.816
affirmatively	నిశ్చయార్థకంగా	0.908	0.500	0.811
affix	వ్రాతపూర్వకంగా చేర్చు	0.438	0.335	0.411
afflict	కర్తం	0.302	0.555	0.293
afflicted	బాధపెట్టే	0.271	0.500	0.167
affliction	శ్రమను	0.294	0.635	0.392
affluence	సంపద	0.663	0.618	0.722
affluent	ధనిక	0.756	0.388	0.477
afford	స్థోమత	0.571	0.580	0.575
affordable	సరసమైన	0.840	0.398	0.493
affront	అమర్యాద	0.327	0.740	0.547
affronted	అసహ్యం పొందిన	0.385	0.750	0.527
afield	దూరప్రాంతం	0.594	0.370	0.373
afire	ఒక మంట	0.367	0.904	0.675
afloat	తేలుతూ	0.602	0.427	0.444
afore	ఇంతకు మునుపు	0.500	0.337	0.382
aforementioned	పైన పేర్కొన్న	0.490	0.316	0.408
aforesaid	చెప్పిన	0.531	0.358	0.478
afraid	భయపడటం	0.010	0.775	0.245
afresh	మళ్ళీ	0.643	0.521	0.480
african	ఆఫ్రికన్	0.490	0.423	0.555
aft	వెనుక	0.480	0.417	0.518
afterlife	మరణానంతర	0.571	0.567	0.568
aftermath	పరిణామాల	0.312	0.449	0.444
afternoon	మధ్యాహ్నం	0.533	0.388	0.339
aftershave	గడ్డం గీసిన తరువాత	0.406	0.384	0.415
aftertaste	వెనుకటిరుచి	0.354	0.362	0.455
afterthought	పరాలోచన	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	తెరచిన	0.612	0.529	0.464
agate	మలచబడిన	0.540	0.377	0.483
age	వయస్సు	0.561	0.226	0.498
aged	పెద్దవారికి	0.135	0.365	0.236
agency	ఏజెన్సీ	0.460	0.296	0.583
agenda	ఎజెండా	0.531	0.296	0.553
agent	ఏజెంట్	0.480	0.439	0.755
agglomeration	సముదాయము	0.450	0.765	0.509
aggravate	వేగవంతం	0.224	0.770	0.464
aggravated	అధికం	0.079	0.760	0.430
aggravates	తీవ్రమవుతుంది	0.108	0.778	0.357
aggravating	ప్రేరేపించేవి	0.257	0.794	0.640
aggravation	మరింత ఉధృతం	0.071	0.784	0.613
aggregate	కంకర	0.730	0.378	0.556
aggregation	అగ్రిగేషన్	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	దూకుడు	0.094	0.929	0.533
aggressive	దూకుడు	0.125	0.949	0.648
aggressively	దూకుడుగా	0.250	0.926	0.688
aggressiveness	దుడుకు	0.077	0.913	0.648
aggressor	దూకుడు	0.146	0.948	0.823
agh	Agh	0.260	0.500	0.400
aghast	ఆశ్చర్యమైన	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	చురుకైన	0.800	0.657	0.775
agility	చురుకుతనం	0.720	0.702	0.815
aging	వృద్ధాప్యం	0.214	0.255	0.284
agitate	ఆందోళన	0.300	0.796	0.593
agitated	ఆందోళనగా	0.444	0.882	0.491
agitation	ఆందోళన	0.240	0.931	0.447
aglow	వెలుగుతున్న	0.780	0.510	0.797
agnostic	అజ్ఞేయ	0.306	0.396	0.574
ago	క్రితం	0.317	0.280	0.404
agonizing	భరించలేని	0.083	0.800	0.340
agony	వేదన	0.083	0.775	0.393
agoraphobia	అగోరా	0.127	0.712	0.438
agree	అంగీకరిస్తున్నారు	0.906	0.260	0.545
agreeable	అంగీకారమైన	0.906	0.500	0.696
agreed	అంగీకరించింది	0.797	0.449	0.574
agreeing	కుదుర్చుకోవడం	0.854	0.480	0.557
agreement	ఒప్పందం	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	వ్యవసాయ	0.686	0.321	0.473
agriculture	వ్యవసాయ	0.640	0.357	0.465
aground	మాయమయింది	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ముందుకు	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ఆహోయ్	0.500	0.497	0.380
aid	చికిత్స	0.796	0.491	0.541
aide	సహాయకుడు	0.724	0.342	0.434
aiding	సాయపడతాయి	0.643	0.533	0.569
aids	ఎయిడ్స్	0.561	0.480	0.500
ail	బాధపడు	0.375	0.434	0.385
ailing	అస్వస్థతతో	0.094	0.518	0.153
ailment	వ్యాధి	0.146	0.734	0.277
aim	లక్ష్యం	0.481	0.569	0.567
aimless	లక్ష్యంలేని	0.150	0.267	0.183
air	ఎయిర్	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	గాలిలో	0.542	0.519	0.385
aircraft	విమానాల	0.646	0.644	0.691
aircraft carrier	విమాన వాహక నౌక	0.490	0.740	0.727
airfield	ఎయిర్ఫీల్డ్	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	వైమానిక	0.573	0.622	0.642
airline	సంస్థ	0.650	0.482	0.688
airliner	విమానము	0.667	0.777	0.647
airlock	ఎయిర్లాక్	0.398	0.520	0.447
airman	వాయుసేనికుడు	0.587	0.716	0.721
airplane	విమానం	0.719	0.702	0.708
airport	విమానాశ్రయం	0.729	0.684	0.682
airs	ఎయిర్స్	0.583	0.196	0.370
airship	విమానం	0.542	0.472	0.529
airspace	వాయు	0.562	0.510	0.640
airspeed	గాలివేగ	0.583	0.780	0.544
airstrip	దిగటానికి	0.550	0.690	0.649
airtight	గాలి చొరబడని	0.479	0.381	0.570
airway	ఎయిర్వే	0.638	0.585	0.482
aisle	నడవ	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ఆక	0.459	0.358	0.351
akin	పోలియున్న	0.639	0.343	0.523
alabaster	పాలరాయి	0.542	0.404	0.445
alarm	అలారం	0.241	0.882	0.698
alarm clock	అలారం గడియారం	0.542	0.727	0.642
alarmed	అప్రమత్తమైన	0.188	0.822	0.492
alarming	ఆందోళనకరమైన	0.204	0.890	0.585
alas	అయ్యో	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	ఆల్బట్రాస్	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	ఆల్బమ్	0.635	0.349	0.453
alchemy	రసవాదం	0.541	0.583	0.693
alcohol	మద్యం	0.323	0.667	0.377
alcoholic	మద్య	0.153	0.688	0.361
alcoholism	మద్య	0.061	0.779	0.407
alcove	వసారా	0.490	0.340	0.356
alderman	శెట్టి	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	హెచ్చరిక	0.479	0.820	0.648
alertness	చురుకుదనం	0.375	0.875	0.750
alerts	హెచ్చరికలు	0.337	0.804	0.673
alfalfa	అల్ఫాల్ఫా	0.546	0.250	0.311
algebra	బీజగణితం	0.440	0.340	0.565
algebraic	బీజగణిత	0.531	0.412	0.441
algorithm	అల్గోరిథం	0.448	0.394	0.559
alias	అలియాస్	0.541	0.353	0.333
alibi	సకార్యం	0.396	0.528	0.556
alien	గ్రహాంతర	0.410	0.615	0.491
alienate	మరొకరికి	0.247	0.500	0.523
alienated	పరాధీనం	0.410	0.423	0.559
alienation	పరాయీకరణ	0.378	0.530	0.462
alight	దిగు	0.667	0.657	0.605
align	align	0.656	0.364	0.627
aligned	సమలేఖనం	0.583	0.275	0.553
alignment	అమరిక	0.643	0.412	0.683
alike	ఇలానే	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	భరణం	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	సజీవంగా	0.816	0.637	0.731
alkali	క్షార	0.490	0.350	0.408
alkaloids	ఆల్కలాయిడ్స్	0.433	0.562	0.402
allay	భయాందోళనలను	0.417	0.406	0.398
allegation	ఆరోపణలను	0.578	0.578	0.608
allege	లేవనెత్తారు	0.418	0.482	0.587
alleged	ఆరోపణలపై	0.365	0.522	0.520
allegiance	విధేయతలు	0.917	0.398	0.750
allegorical	అన్యార్థ	0.517	0.558	0.598
allegory	అన్యార్థ రచనగా	0.615	0.580	0.509
allegro	దరువు	0.635	0.627	0.453
allergic	అలెర్జీ	0.135	0.549	0.273
allergy	అలెర్జీ	0.296	0.606	0.389
alleviate	ఉపశమనం	0.869	0.270	0.528
alleviation	నిర్మూలనలో	0.735	0.200	0.491
alley	అల్లే	0.347	0.500	0.355
alleyway	సందు	0.357	0.471	0.382
alliance	కూటమి	0.696	0.473	0.769
allied	మిత్రరాజ్యాల	0.714	0.245	0.642
alligator	ఎలిగేటర్	0.354	0.704	0.645
allocate	కేటాయించే	0.673	0.462	0.672
allocation	కేటాయింపులు	0.604	0.388	0.679
allot	కేటాయించేందుకు	0.622	0.481	0.616
allotment	కేటాయింపు	0.600	0.390	0.640
allow	అనుమతిస్తాయి	0.698	0.429	0.538
allowable	అనుమతించిన	0.698	0.500	0.561
allowance	భత్యం	0.673	0.382	0.591
allowed	అనుమతి	0.730	0.360	0.655
alloy	మిశ్రమం	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	ఆకర్షణ	0.804	0.585	0.686
alluring	ఆకట్టుకునే	0.837	0.745	0.843
allusion	పరోక్ష	0.440	0.308	0.462
alluvial	ఒండ్రు	0.323	0.490	0.491
ally	మిత్ర	0.792	0.320	0.688
almanac	పంచాంగము	0.688	0.190	0.412
almighty	దేవుడు	0.938	0.874	0.958
almond	బాదం	0.698	0.183	0.314
aloft	ఎత్తుగా	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	ఒంటరిగా	0.333	0.167	0.216
alongside	కలిసి	0.458	0.333	0.347
aloof	దీనికి దూరంగా	0.189	0.423	0.302
aloud	గట్టిగా	0.458	0.713	0.750
alpha	ఆల్ఫా	0.708	0.340	0.755
alphabet	అక్షరం	0.562	0.204	0.672
alphabetical	అక్షరక్రమంలో	0.537	0.296	0.535
alpine	ఆల్పైన్	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	ఆల్టర్	0.724	0.387	0.635
altar boy	బలిపీఠం బాలుడు	0.434	0.206	0.350
alter	మార్చే	0.333	0.694	0.654
alteration	సవరణలో	0.167	0.798	0.609
altercation	వాగ్యుద్ధం	0.170	0.806	0.500
altered	మార్పు	0.255	0.765	0.500
alternate	ప్రత్యామ్నాయ	0.625	0.363	0.589
alternating	వికల్పంగా	0.480	0.494	0.542
alternative	ప్రత్యామ్నాయ	0.628	0.373	0.631
altimeter	ఉన్నతి	0.615	0.510	0.580
altitude	ఎత్తులో	0.708	0.482	0.736
alto	ఆల్టో	0.656	0.404	0.730
