Word	Afrikaans-af	Valence	Arousal	Dominance
adhesive	gom	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	aangrensende	0.645	0.276	0.536
adjective	adjektief	0.570	0.316	0.569
adjoining	aangrensende	0.520	0.400	0.393
adjourn	verdaag	0.385	0.456	0.475
adjournment	verdaging	0.438	0.510	0.370
adjudicate	beslis	0.559	0.520	0.683
adjudication	beoordeling	0.551	0.462	0.691
adjunct	toevoegsel	0.459	0.440	0.426
adjust	pas	0.647	0.327	0.638
adjuster	bediening	0.510	0.540	0.760
adjustment	aanpassing	0.590	0.520	0.661
adjuvant	bevorderingsmiddel	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administreer	0.635	0.425	0.860
administration	administrasie	0.625	0.404	0.786
administrative	administratiewe	0.542	0.415	0.579
administrator	administrateur	0.538	0.480	0.902
admirable	bewonderenswaardig	0.929	0.600	0.870
admiral	admiraal	0.844	0.490	0.847
admiralty	Admiralty	0.594	0.547	0.733
admiration	bewondering	0.969	0.583	0.726
admire	bewonder	0.867	0.692	0.704
admired	bewonder	0.917	0.560	0.815
admirer	bewonderaar	0.796	0.720	0.650
admiring	bewonder	0.867	0.578	0.629
admissibility	toelaatbaarheid	0.802	0.580	0.602
admissible	toelaatbaar	0.780	0.528	0.642
admission	toegang	0.802	0.415	0.732
admit	erken	0.538	0.423	0.667
admittance	toelating	0.690	0.451	0.598
admitted	toegelaat	0.720	0.490	0.767
admitting	erken	0.620	0.500	0.546
admixture	vermenging	0.450	0.375	0.438
admonition	vermaning	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolessensie	0.487	0.694	0.444
adolescent	adolessent	0.781	0.680	0.509
adopt	neem	0.694	0.612	0.701
adoption	aanneming	0.625	0.566	0.589
adoptive	aangenome	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	aanbidding	0.885	0.699	0.708
adore	aanbid	0.854	0.438	0.657
adoring	Aanbidding	0.885	0.620	0.717
adorn	versier	0.910	0.424	0.482
adornment	versiering	0.918	0.373	0.377
adrenalin	adrenalien	0.865	0.920	0.786
adrenaline	adrenalien	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	volwasse	0.815	0.491	0.787
adulterated	vervalste	0.188	0.865	0.370
adulterer	egbreker	0.229	0.814	0.407
adultery	egbreuk	0.120	0.922	0.510
adulthood	volwassenheid	0.541	0.454	0.652
advance	bevorder	0.673	0.472	0.858
advanced	gevorderde	0.844	0.623	0.797
advancement	bevordering	0.776	0.650	0.839
advancing	bevordering	0.929	0.608	0.812
advantage	voordeel	0.917	0.548	0.859
advantageous	voordelig	0.837	0.640	0.789
advent	koms	0.665	0.560	0.627
adventure	avontuur	0.917	0.857	0.710
adventurer	avonturier	0.781	0.839	0.868
adventures	avonture	0.812	0.764	0.749
adventurous	avontuurlike	0.969	0.898	0.722
adversary	teenstander	0.349	0.777	0.457
adverse	ongunstige	0.323	0.610	0.385
adversity	teenspoed	0.276	0.760	0.538
advertise	adverteer	0.500	0.529	0.580
advertisement	advertensie	0.600	0.566	0.539
advertising	advertensies	0.622	0.608	0.632
adverts	advertensies	0.551	0.500	0.595
advice	advies	0.698	0.408	0.688
advisable	raadsaam	0.867	0.480	0.510
advise	adviseer	0.760	0.393	0.705
advised	aangeraai	0.823	0.330	0.509
advisement	Advisering	0.698	0.235	0.655
adviser	adviseur	0.745	0.362	0.705
advisor	adviseur	0.646	0.350	0.689
advisory	adviserende	0.656	0.429	0.633
advocacy	voorspraak	0.500	0.646	0.731
advocate	advokaat	0.551	0.530	0.818
aegis	beskerming	0.490	0.439	0.462
aeration	deurlugting	0.550	0.500	0.433
aerial	lug	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	vliegveld	0.541	0.740	0.678
aerodynamic	aerodinamiese	0.561	0.724	0.728
aerodynamics	lugdinamika	0.590	0.663	0.722
aeronautics	lugvaartkunde	0.551	0.633	0.688
aeroplane	vliegtuig	0.714	0.642	0.644
aerospace	Ruimte	0.643	0.520	0.779
aesthetic	estetiese	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologie	0.480	0.398	0.615
afar	ver	0.396	0.373	0.358
affable	gemoedelike	0.704	0.380	0.452
affair	verhouding	0.520	0.459	0.657
affect	invloed	0.458	0.569	0.578
affecting	wat	0.350	0.574	0.394
affection	liefde	0.898	0.559	0.696
affectionate	liefdevolle	0.949	0.422	0.550
affections	hartstogte	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	beëdigde verklaring	0.469	0.584	0.526
affiliated	geaffilieerde	0.673	0.519	0.535
affiliation	affiliasie	0.615	0.594	0.500
affinity	affiniteit	0.800	0.500	0.537
affirm	bevestig	0.745	0.509	0.731
affirmation	bevestiging	0.750	0.500	0.689
affirmative	regstellende	0.854	0.589	0.816
affirmatively	bevestigend	0.908	0.500	0.811
affix	aanbring	0.438	0.335	0.411
afflict	bedroewe	0.302	0.555	0.293
afflicted	verdruk	0.271	0.500	0.167
affliction	ellende	0.294	0.635	0.392
affluence	welvaart	0.663	0.618	0.722
affluent	gegoede	0.756	0.388	0.477
afford	bekostig	0.571	0.580	0.575
affordable	bekostigbare	0.840	0.398	0.493
affront	belediging	0.327	0.740	0.547
affronted	aanstoot	0.385	0.750	0.527
afield	weg	0.594	0.370	0.373
afire	n vuur	0.367	0.904	0.675
afloat	kop bo water	0.602	0.427	0.444
afore	voorafgaande	0.500	0.337	0.382
aforementioned	voorgenoemde	0.490	0.316	0.408
aforesaid	voorgenoemde	0.531	0.358	0.478
afraid	bang	0.010	0.775	0.245
afresh	opnuut	0.643	0.521	0.480
african	Afrikaanse	0.490	0.423	0.555
aft	AFT	0.480	0.417	0.518
afterlife	hiernamaals	0.571	0.567	0.568
aftermath	nadraai	0.312	0.449	0.444
afternoon	middag	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	nasmaak	0.354	0.362	0.455
afterthought	nagedagte	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agaat	0.540	0.377	0.483
age	ouderdom	0.561	0.226	0.498
aged	bejaardes	0.135	0.365	0.236
agency	agentskap	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	agglomerasie	0.450	0.765	0.509
aggravate	vererger	0.224	0.770	0.464
aggravated	vererger	0.079	0.760	0.430
aggravates	vererger	0.108	0.778	0.357
aggravating	verswarende	0.257	0.794	0.640
aggravation	struikelblok	0.071	0.784	0.613
aggregate	totaal	0.730	0.378	0.556
aggregation	samevoeging	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggressie	0.094	0.929	0.533
aggressive	aggressiewe	0.125	0.949	0.648
aggressively	aggressief	0.250	0.926	0.688
aggressiveness	aggressie	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	ontsteld	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ratse	0.800	0.657	0.775
agility	behendigheid	0.720	0.702	0.815
aging	veroudering	0.214	0.255	0.284
agitate	roer	0.300	0.796	0.593
agitated	geroer	0.444	0.882	0.491
agitation	geroer	0.240	0.931	0.447
aglow	gloei	0.780	0.510	0.797
agnostic	agnostikus	0.306	0.396	0.574
ago	gelede	0.317	0.280	0.404
agonizing	folterende	0.083	0.800	0.340
agony	foltering	0.083	0.775	0.393
agoraphobia	agorafobie	0.127	0.712	0.438
agree	stem	0.906	0.260	0.545
agreeable	aangenaam	0.906	0.500	0.696
agreed	ooreengekom	0.797	0.449	0.574
agreeing	stem	0.854	0.480	0.557
agreement	ooreenkoms	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	landbou	0.686	0.321	0.473
agriculture	landbou	0.640	0.357	0.465
aground	gestrand	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	voor	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoy	0.500	0.497	0.380
aid	hulp	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	ondersteuning	0.643	0.533	0.569
aids	hulpmiddels	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	sukkelende	0.094	0.518	0.153
ailment	kwaal	0.146	0.734	0.277
aim	doel	0.481	0.569	0.567
aimless	doellose	0.150	0.267	0.183
air	lug	0.708	0.163	0.427
airbag	lugsak	0.510	0.402	0.433
airborne	lug	0.542	0.519	0.385
aircraft	vliegtuig	0.646	0.644	0.691
aircraft carrier	vliegtuig draer	0.490	0.740	0.727
airfield	vliegveld	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	lugbrug	0.573	0.622	0.642
airline	lugredery	0.650	0.482	0.688
airliner	vliegtuig	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	vliegenier	0.587	0.716	0.721
airplane	vliegtuig	0.719	0.702	0.708
airport	lughawe	0.729	0.684	0.682
airs	die eerste keer uitgestuur	0.583	0.196	0.370
airship	lugskip	0.542	0.472	0.529
airspace	lugruim	0.562	0.510	0.640
airspeed	lugspoed	0.583	0.780	0.544
airstrip	landingstrook	0.550	0.690	0.649
airtight	lugdigte	0.479	0.381	0.570
airway	lugweg	0.638	0.585	0.482
aisle	paadjie	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	soortgelyk	0.639	0.343	0.523
alabaster	albaste	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	wekker	0.542	0.727	0.642
alarmed	bekommerd	0.188	0.822	0.492
alarming	onrusbarende	0.204	0.890	0.585
alas	helaas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemie	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholiese	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	nis	0.490	0.340	0.356
alderman	Raadsheer	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	waarskuwing	0.479	0.820	0.648
alertness	gereedheid	0.375	0.875	0.750
alerts	waarskuwings	0.337	0.804	0.673
alfalfa	lusern	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraïese	0.531	0.412	0.441
algorithm	algoritme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	uitheemse	0.410	0.615	0.491
alienate	vervreem	0.247	0.500	0.523
alienated	vervreemd	0.410	0.423	0.559
alienation	vervreemding	0.378	0.530	0.462
alight	aan die brand gesteek	0.667	0.657	0.605
align	in lyn te bring	0.656	0.364	0.627
aligned	gebonde	0.583	0.275	0.553
alignment	belyning	0.643	0.412	0.683
alike	gelyk	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	onderhoud	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	lewendig	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloïede	0.433	0.562	0.402
allay	besweer	0.417	0.406	0.398
allegation	bewering	0.578	0.578	0.608
allege	beweer	0.418	0.482	0.587
alleged	beweerde	0.365	0.522	0.520
allegiance	trou	0.917	0.398	0.750
allegorical	allegoriese	0.517	0.558	0.598
allegory	allegorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergiese	0.135	0.549	0.273
allergy	allergie	0.296	0.606	0.389
alleviate	verlig	0.869	0.270	0.528
alleviation	verligting	0.735	0.200	0.491
alley	stegie	0.347	0.500	0.355
alleyway	straatje	0.357	0.471	0.382
alliance	alliansie	0.696	0.473	0.769
allied	geallieerde	0.714	0.245	0.642
alligator	krokodil	0.354	0.704	0.645
allocate	toeken	0.673	0.462	0.672
allocation	toekenning	0.604	0.388	0.679
allot	toeken	0.622	0.481	0.616
allotment	toekenning	0.600	0.390	0.640
allow	toelaat	0.698	0.429	0.538
allowable	toelaatbare	0.698	0.500	0.561
allowance	toelae	0.673	0.382	0.591
allowed	toegelaat	0.730	0.360	0.655
alloy	allooi	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	skoonheid	0.804	0.585	0.686
alluring	aanloklike	0.837	0.745	0.843
allusion	verwysing	0.440	0.308	0.462
alluvial	alluviale	0.323	0.490	0.491
ally	bondgenoot	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	almagtige	0.938	0.874	0.958
almond	amandel	0.698	0.183	0.314
aloft	omhoog	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	alleen	0.333	0.167	0.216
alongside	saam	0.458	0.333	0.347
aloof	afsydig	0.189	0.423	0.302
aloud	hardop	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabeties	0.537	0.296	0.535
alpine	berg	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altaar	0.724	0.387	0.635
altar boy	altaar seun	0.434	0.206	0.350
alter	verander	0.333	0.694	0.654
alteration	verandering	0.167	0.798	0.609
altercation	onderonsie	0.170	0.806	0.500
altered	verander	0.255	0.765	0.500
alternate	alternatiewe	0.625	0.363	0.589
alternating	afwisselend	0.480	0.494	0.542
alternative	alternatiewe	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	hoogte	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	geheel en al	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolêre	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgaam	0.438	0.333	0.510
amalgamation	samesmelting	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	stig	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	verbaas	0.896	0.843	0.783
amazed	verbaas	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	verbasing	0.750	0.800	0.639
amazing	ongelooflike	0.906	0.837	0.849
amazingly	ongelooflik	0.918	0.765	0.920
ambassador	ambassadeur	0.651	0.529	0.917
amber	Amber	0.635	0.308	0.369
ambience	atmosfeer	0.735	0.356	0.426
ambient	omringende	0.625	0.360	0.582
ambiguity	dubbelsinnigheid	0.164	0.460	0.370
ambiguous	dubbelsinnige	0.265	0.462	0.358
ambit	bestek	0.479	0.380	0.386
ambition	ambisie	0.510	0.804	0.661
ambitious	ambisieuse	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	hinderlaag	0.281	0.830	0.500
ameliorate	versag	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	vatbaar	0.448	0.410	0.406
amend	wysig	0.688	0.406	0.658
amendment	wysiging	0.531	0.459	0.606
amends	vergoed	0.640	0.366	0.517
amenity	gerief	0.750	0.327	0.574
amethyst	ametis	0.622	0.406	0.517
amiable	vriendelik	0.847	0.290	0.483
amicable	vriendskaplike	0.875	0.330	0.507
amid	te midde van	0.510	0.340	0.256
amidst	te midde van	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammunisie	0.323	0.765	0.621
ammonia	ammoniak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunisie	0.338	0.635	0.667
amnesia	geheueverlies	0.296	0.330	0.308
amnesty	amnestie	0.551	0.451	0.814
amorous	verliefde	0.844	0.670	0.636
amorphous	amorfe	0.327	0.402	0.349
amortization	amortisasie	0.592	0.491	0.522
amount	bedrag	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamines	0.133	0.667	0.526
amphibian	amfibiese	0.427	0.357	0.474
amphibious	amfibiese	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	genoeg	0.744	0.349	0.719
amplification	versterking	0.690	0.677	0.810
amplify	versterk	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	ruim	0.781	0.431	0.766
amputate	amputeer	0.092	0.660	0.509
amputation	amputasie	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuseer	0.812	0.684	0.664
amused	geamuseerd	0.942	0.847	0.596
amusement	vermaak	0.929	0.837	0.803
amusing	amusante	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	narkose	0.350	0.217	0.473
anaesthetic	narkose	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anale	0.333	0.798	0.334
analgesic	pynstillende	0.417	0.321	0.441
analogous	analoog	0.531	0.270	0.500
analogue	analoog	0.570	0.320	0.446
analogy	analogie	0.510	0.367	0.509
analysis	analise	0.729	0.448	0.705
analyst	ontleder	0.604	0.415	0.755
analytic	analitiese	0.665	0.521	0.634
analytical	analitiese	0.625	0.324	0.800
analyze	analiseer	0.667	0.462	0.710
analyzer	ontleder	0.625	0.556	0.854
anaphylactic	anafilaktiese	0.378	0.588	0.500
anarchism	anargisme	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
