Word	Frisian-fy	Valence	Arousal	Dominance
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	oansluting	0.365	0.417	0.375
adjacent	neistlizzend	0.645	0.276	0.536
adjective	eigenskipswurd	0.570	0.316	0.569
adjoining	oanjoech	0.520	0.400	0.393
adjourn	ferpleatse	0.385	0.456	0.475
adjournment	ferplichtingen	0.438	0.510	0.370
adjudicate	beslute	0.559	0.520	0.683
adjudication	oardering	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	oanpasse	0.647	0.327	0.638
adjuster	oanpassing	0.510	0.540	0.760
adjustment	oanpassing	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	administraasje	0.635	0.425	0.860
administration	bestjoer	0.625	0.404	0.786
administrative	bestjoerlik	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	admiraal	0.844	0.490	0.847
admiralty	admiraliteit	0.594	0.547	0.733
admiration	bewûndering	0.969	0.583	0.726
admire	bewûnderje	0.867	0.692	0.704
admired	bewûndere	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	bewûnderje	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	admissible	0.780	0.528	0.642
admission	admission	0.802	0.415	0.732
admit	tajaan	0.538	0.423	0.667
admittance	admission	0.690	0.451	0.598
admitted	admitted	0.720	0.490	0.767
admitting	admitend	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	admonysje	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolesinsje	0.487	0.694	0.444
adolescent	adolesinte	0.781	0.680	0.509
adopt	oannimme	0.694	0.612	0.701
adoption	oannimme	0.625	0.566	0.589
adoptive	oanfiterjend	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorn	0.910	0.424	0.482
adornment	fersiering	0.918	0.373	0.377
adrenalin	adrenaline	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	folwoeksen	0.815	0.491	0.787
adulterated	ferwûne	0.188	0.865	0.370
adulterer	adulterer	0.229	0.814	0.407
adultery	bloed	0.120	0.922	0.510
adulthood	folwoeksen	0.541	0.454	0.652
advance	foarôfgeand	0.673	0.472	0.858
advanced	Avansearre	0.844	0.623	0.797
advancement	foardieling	0.776	0.650	0.839
advancing	foarkommen	0.929	0.608	0.812
advantage	foardiel	0.917	0.548	0.859
advantageous	foardielich	0.837	0.640	0.789
advent	begjin	0.665	0.560	0.627
adventure	aventoer	0.917	0.857	0.710
adventurer	aventoeren	0.781	0.839	0.868
adventures	aventoeren	0.812	0.764	0.749
adventurous	avanturous	0.969	0.898	0.722
adversary	tsjinstanner	0.349	0.777	0.457
adverse	negatyf	0.323	0.610	0.385
adversity	ûngelok	0.276	0.760	0.538
advertise	advertearje	0.500	0.529	0.580
advertisement	advertinsje	0.600	0.566	0.539
advertising	reklame	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	rie	0.698	0.408	0.688
advisable	rjochtfeardich	0.867	0.480	0.510
advise	advisearje	0.760	0.393	0.705
advised	advisearje	0.823	0.330	0.509
advisement	advisearje	0.698	0.235	0.655
adviser	adviseur	0.745	0.362	0.705
advisor	advisor	0.646	0.350	0.689
advisory	advisearje	0.656	0.429	0.633
advocacy	advocacy	0.500	0.646	0.731
advocate	bepleitsje	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamisch	0.561	0.724	0.728
aerodynamics	aerodynamika	0.590	0.663	0.722
aeronautics	aeronautyk	0.551	0.633	0.688
aeroplane	fleantúch	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	aesthetic	0.708	0.442	0.526
aesthetics	eesthetik	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	aardich	0.704	0.380	0.452
affair	affêre	0.520	0.459	0.657
affect	ynfloed	0.458	0.569	0.578
affecting	ynfloed	0.350	0.574	0.394
affection	leuk	0.898	0.559	0.696
affectionate	hertlik	0.949	0.422	0.550
affections	fernijen	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	ferbûn	0.673	0.519	0.535
affiliation	oansluting	0.615	0.594	0.500
affinity	affiniteit	0.800	0.500	0.537
affirm	Befêstigje	0.745	0.509	0.731
affirmation	befestiging	0.750	0.500	0.689
affirmative	befêstigjend	0.854	0.589	0.816
affirmatively	befestigjend	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	fertrouwe	0.302	0.555	0.293
afflicted	ferwûne	0.271	0.500	0.167
affliction	ellinde	0.294	0.635	0.392
affluence	geweldigens	0.663	0.618	0.722
affluent	baas	0.756	0.388	0.477
afford	leverje	0.571	0.580	0.575
affordable	betelber	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	ferwûne	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	in brân	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	nei foaren	0.500	0.337	0.382
aforementioned	earder neamd	0.490	0.316	0.408
aforesaid	ferovere	0.531	0.358	0.478
afraid	bang	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	Afrikaanske	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	nei it libben	0.571	0.567	0.568
aftermath	nei ôfrin	0.312	0.449	0.444
afternoon	middei	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	nachtaste	0.354	0.362	0.455
afterthought	nei nacht	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	leeftyd	0.561	0.226	0.498
aged	âld	0.135	0.365	0.236
agency	agintskip	0.460	0.296	0.583
agenda	wurklist	0.531	0.296	0.553
agent	agint	0.480	0.439	0.755
agglomeration	agglomeraasje	0.450	0.765	0.509
aggravate	fergrieme	0.224	0.770	0.464
aggravated	aggravearre	0.079	0.760	0.430
aggravates	fergruttet	0.108	0.778	0.357
aggravating	fergriemd	0.257	0.794	0.640
aggravation	fergriemen	0.071	0.784	0.613
aggregate	aggregaat	0.730	0.378	0.556
aggregation	aggregaasje	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresje	0.094	0.929	0.533
aggressive	agressyf	0.125	0.949	0.648
aggressively	agressyf	0.250	0.926	0.688
aggressiveness	agressiviteit	0.077	0.913	0.648
aggressor	agressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agility	0.720	0.702	0.815
aging	aging	0.214	0.255	0.284
agitate	agitearje	0.300	0.796	0.593
agitated	agitearre	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostysk	0.306	0.396	0.574
ago	lyn	0.317	0.280	0.404
agonizing	agonizing	0.083	0.800	0.340
agony	agony	0.083	0.775	0.393
agoraphobia	agorafobia	0.127	0.712	0.438
agree	oerienkomme	0.906	0.260	0.545
agreeable	gaadlik	0.906	0.500	0.696
agreed	ôfpraat	0.797	0.449	0.574
agreeing	oannimme	0.854	0.480	0.557
agreement	oerienkomst	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	lânbou	0.686	0.321	0.473
agriculture	lânbou	0.640	0.357	0.465
aground	Wetter - Agrarwetter	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	foarút	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	helpmiddel	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	aiding	0.643	0.533	0.569
aids	helpen	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ailing	0.094	0.518	0.153
ailment	eilân	0.146	0.734	0.277
aim	doel	0.481	0.569	0.567
aimless	doel	0.150	0.267	0.183
air	loft	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	loftfeart	0.542	0.519	0.385
aircraft	fleantúch	0.646	0.644	0.691
aircraft carrier	fleandekskip	0.490	0.740	0.727
airfield	loftfeart	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	fleantúch	0.719	0.702	0.708
airport	fleanfjild	0.729	0.684	0.682
airs	loften	0.583	0.196	0.370
airship	loftfeart	0.542	0.472	0.529
airspace	loftpas	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	earmacht	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	aisle	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	besibbe	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	wekker	0.542	0.727	0.642
alarmed	alarmearre	0.188	0.822	0.492
alarming	alarmearjend	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholist	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	alkaar	0.490	0.340	0.356
alderman	wethâlder	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alarmearje	0.479	0.820	0.648
alertness	alertness	0.375	0.875	0.750
alerts	alerts	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraisch	0.531	0.412	0.441
algorithm	algoritme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	alienearre	0.410	0.423	0.559
alienation	feriening	0.378	0.530	0.462
alight	Wetter - Agrarwetter	0.667	0.657	0.605
align	rjochtsje	0.656	0.364	0.627
aligned	aligned	0.583	0.275	0.553
alignment	rjochting	0.643	0.412	0.683
alike	lykas	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	libben	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloïden	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	beleanning	0.578	0.578	0.608
allege	allegear	0.418	0.482	0.587
alleged	allegeduerigen	0.365	0.522	0.520
allegiance	beleanning	0.917	0.398	0.750
allegorical	allegorik	0.517	0.558	0.598
allegory	allegory	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergysk	0.135	0.549	0.273
allergy	allergy	0.296	0.606	0.389
alleviate	liede	0.869	0.270	0.528
alleviation	ferlies	0.735	0.200	0.491
alley	goeie	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alliânsje	0.696	0.473	0.769
allied	allied	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	fertsjinje	0.673	0.462	0.672
allocation	oantsjutting	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	allotment	0.600	0.390	0.640
allow	talitte	0.698	0.429	0.538
allowable	tastien	0.698	0.500	0.561
allowance	fergoeding	0.673	0.382	0.591
allowed	tastien	0.730	0.360	0.655
alloy	legearing	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	allure	0.804	0.585	0.686
alluring	geweldig	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	ally	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	almachtich	0.938	0.874	0.958
almond	Mandel	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	earder	0.698	0.440	0.441
alone	allinne	0.333	0.167	0.216
alongside	njonken	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	lûdop	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetysk	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	alter	0.724	0.387	0.635
altar boy	altar boy	0.434	0.206	0.350
alter	feroarje	0.333	0.694	0.654
alteration	feroaring	0.167	0.798	0.609
altercation	oertsjûging	0.170	0.806	0.500
altered	feroare	0.255	0.765	0.500
alternate	alternatyf	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	alternatyf	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	hichte	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	hielendal	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamaasje	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	amaze	0.896	0.843	0.783
amazed	ferrast	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	amazement	0.750	0.800	0.639
amazing	ferbazend	0.906	0.837	0.849
amazingly	geweldig	0.918	0.765	0.920
ambassador	ambassadeur	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambysje	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	ûnbidich	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambysje	0.510	0.804	0.661
ambitious	ambisjeus	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulânse	0.500	0.750	0.609
ambush	ambút	0.281	0.830	0.500
ameliorate	ameliorate	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	amend	0.688	0.406	0.658
amendment	amendemint	0.531	0.459	0.606
amends	amend	0.640	0.366	0.517
amenity	yntensiteit	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	earm	0.847	0.290	0.483
amicable	amicable	0.875	0.330	0.507
amid	amid	0.510	0.340	0.256
amidst	amidst	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammoniak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunysje	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnesty	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorph	0.327	0.402	0.349
amortization	amortisaasje	0.592	0.491	0.522
amount	tal	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amfibyen	0.427	0.357	0.474
amphibious	amfiby	0.479	0.346	0.445
amphitheater	amphitheater	0.653	0.480	0.545
ample	ryklik	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	fersteane	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amply	0.781	0.431	0.766
amputate	amputate	0.092	0.660	0.509
amputation	amtifikaasje	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	amuse	0.812	0.684	0.664
amused	amusearre	0.942	0.847	0.596
amusement	amusement	0.929	0.837	0.803
amusing	amüsing	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anesthetic	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgetysk	0.417	0.321	0.441
analogous	analogous	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	analogy	0.510	0.367	0.509
analysis	analyze	0.729	0.448	0.705
analyst	analyst	0.604	0.415	0.755
analytic	analytysk	0.665	0.521	0.634
analytical	analytysk	0.625	0.324	0.800
analyze	analysearje	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylaktysk	0.378	0.588	0.500
anarchism	anarchisme	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
anarchy	anargy	0.146	0.755	0.620
anastomosis	anastomose	0.375	0.470	0.490
anathema	Anathema	0.286	0.490	0.519
