Word	Vietnamese-vi	Valence	Arousal	Dominance
address	địa chỉ nhà	0.650	0.327	0.567
addressee	người nhận	0.622	0.382	0.538
addresses	địa chỉ	0.510	0.354	0.450
adept	giỏi	0.594	0.539	0.789
adequacy	đầy đủ	0.615	0.435	0.702
adequate	đầy đủ	0.854	0.264	0.705
adhere	tuân thủ	0.633	0.339	0.554
adherence	tuân thủ	0.760	0.307	0.630
adherent	tuân thủ	0.561	0.385	0.555
adhering	tôn trọng	0.612	0.561	0.537
adhesion	độ bám dính	0.521	0.445	0.586
adhesive	dính	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	mỡ	0.333	0.350	0.391
adjacency	sự kề nhau	0.365	0.417	0.375
adjacent	liền kề	0.645	0.276	0.536
adjective	tính từ	0.570	0.316	0.569
adjoining	tiếp giáp	0.520	0.400	0.393
adjourn	hoãn lại	0.385	0.456	0.475
adjournment	hoãn lại	0.438	0.510	0.370
adjudicate	phân xử	0.559	0.520	0.683
adjudication	sự xét xử	0.551	0.462	0.691
adjunct	phụ trợ	0.459	0.440	0.426
adjust	điều chỉnh	0.647	0.327	0.638
adjuster	người điều chỉnh	0.510	0.540	0.760
adjustment	sự điều chỉnh	0.590	0.520	0.661
adjuvant	tá dược	0.510	0.500	0.456
admin	quản trị viên	0.688	0.420	0.854
administer	quản lý	0.635	0.425	0.860
administration	quản trị	0.625	0.404	0.786
administrative	hành chính	0.542	0.415	0.579
administrator	người quản lý	0.538	0.480	0.902
admirable	đáng ngưỡng mộ	0.929	0.600	0.870
admiral	đô đốc	0.844	0.490	0.847
admiralty	đô đốc	0.594	0.547	0.733
admiration	sự khâm phục	0.969	0.583	0.726
admire	ngưỡng mộ	0.867	0.692	0.704
admired	ngưỡng mộ	0.917	0.560	0.815
admirer	người hâm mộ	0.796	0.720	0.650
admiring	ngưỡng mộ	0.867	0.578	0.629
admissibility	sự chấp nhận	0.802	0.580	0.602
admissible	chấp nhận được	0.780	0.528	0.642
admission	nhận vào	0.802	0.415	0.732
admit	thừa nhận	0.538	0.423	0.667
admittance	sự đi vào	0.690	0.451	0.598
admitted	thừa nhận	0.720	0.490	0.767
admitting	thừa nhận	0.620	0.500	0.546
admixture	phụ gia	0.450	0.375	0.438
admonition	lời khuyên dạy	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	tuổi vị thành niên	0.487	0.694	0.444
adolescent	thanh niên	0.781	0.680	0.509
adopt	chấp nhận	0.694	0.612	0.701
adoption	nhận con nuôi	0.625	0.566	0.589
adoptive	nuôi con nuôi	0.531	0.469	0.520
adorable	đáng yêu	0.969	0.519	0.457
adoration	sự tôn kính	0.885	0.699	0.708
adore	yêu thích	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	tô điểm	0.910	0.424	0.482
adornment	trang sức	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	trôi dạt	0.398	0.486	0.230
adult	người lớn	0.815	0.491	0.787
adulterated	bị tạp nhiễm	0.188	0.865	0.370
adulterer	người ngoại tình	0.229	0.814	0.407
adultery	ngoại tình	0.120	0.922	0.510
adulthood	trưởng thành	0.541	0.454	0.652
advance	nâng cao	0.673	0.472	0.858
advanced	nâng cao	0.844	0.623	0.797
advancement	sự tiến bộ	0.776	0.650	0.839
advancing	tiến lên	0.929	0.608	0.812
advantage	lợi thế	0.917	0.548	0.859
advantageous	thuận lợi	0.837	0.640	0.789
advent	sự ra đời	0.665	0.560	0.627
adventure	cuộc phiêu lưu	0.917	0.857	0.710
adventurer	nhà thám hiểm	0.781	0.839	0.868
adventures	cuộc phiêu lưu	0.812	0.764	0.749
adventurous	phiêu lưu	0.969	0.898	0.722
adversary	kẻ thù	0.349	0.777	0.457
adverse	bất lợi	0.323	0.610	0.385
adversity	nghịch cảnh	0.276	0.760	0.538
advertise	Quảng cáo	0.500	0.529	0.580
advertisement	Quảng cáo	0.600	0.566	0.539
advertising	quảng cáo	0.622	0.608	0.632
adverts	quảng cáo	0.551	0.500	0.595
advice	khuyên bảo	0.698	0.408	0.688
advisable	được khuyến khích	0.867	0.480	0.510
advise	khuyên nhủ	0.760	0.393	0.705
advised	khuyên	0.823	0.330	0.509
advisement	lời khuyên	0.698	0.235	0.655
adviser	cố vấn	0.745	0.362	0.705
advisor	người cố vấn	0.646	0.350	0.689
advisory	tham mưu	0.656	0.429	0.633
advocacy	vận động	0.500	0.646	0.731
advocate	biện hộ	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	sự thông khí	0.550	0.500	0.433
aerial	trên không	0.615	0.461	0.463
aerobics	thể dục nhịp điệu	0.708	0.771	0.627
aerodrome	sân bay	0.541	0.740	0.678
aerodynamic	khí động học	0.561	0.724	0.728
aerodynamics	khí động học	0.590	0.663	0.722
aeronautics	hàng không	0.551	0.633	0.688
aeroplane	Máy bay	0.714	0.642	0.644
aerospace	hàng không vũ trụ	0.643	0.520	0.779
aesthetic	thẩm mỹ	0.708	0.442	0.526
aesthetics	tính thẩm mỹ	0.847	0.327	0.549
aetiology	nguyên nhân	0.480	0.398	0.615
afar	xa	0.396	0.373	0.358
affable	đáng tin cậy	0.704	0.380	0.452
affair	chuyện tình	0.520	0.459	0.657
affect	có ảnh hưởng đến	0.458	0.569	0.578
affecting	ảnh hưởng đến	0.350	0.574	0.394
affection	tình cảm	0.898	0.559	0.696
affectionate	tình cảm	0.949	0.422	0.550
affections	tình cảm	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	tuyên thệ	0.469	0.584	0.526
affiliated	liên kết	0.673	0.519	0.535
affiliation	liên kết	0.615	0.594	0.500
affinity	ái lực	0.800	0.500	0.537
affirm	khẳng định	0.745	0.509	0.731
affirmation	sự xác nhận	0.750	0.500	0.689
affirmative	khẳng định	0.854	0.589	0.816
affirmatively	khẳng định	0.908	0.500	0.811
affix	đóng dấu	0.438	0.335	0.411
afflict	đau khổ	0.302	0.555	0.293
afflicted	bị ảnh hưởng	0.271	0.500	0.167
affliction	phiền não	0.294	0.635	0.392
affluence	sự sung túc	0.663	0.618	0.722
affluent	giàu có	0.756	0.388	0.477
afford	mua được	0.571	0.580	0.575
affordable	giá cả phải chăng	0.840	0.398	0.493
affront	phản đối	0.327	0.740	0.547
affronted	bị phản đối	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	Một đám cháy	0.367	0.904	0.675
afloat	afloat	0.602	0.427	0.444
afore	afore	0.500	0.337	0.382
aforementioned	đã nói ở trên	0.490	0.316	0.408
aforesaid	đã nói ở trên	0.531	0.358	0.478
afraid	sợ	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	người châu phi	0.490	0.423	0.555
aft	phía sau	0.480	0.417	0.518
afterlife	thế giới bên kia	0.571	0.567	0.568
aftermath	hậu quả	0.312	0.449	0.444
afternoon	buổi chiều	0.533	0.388	0.339
aftershave	cạo râu	0.406	0.384	0.415
aftertaste	dư vị	0.354	0.362	0.455
afterthought	suy nghĩ	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	tuổi tác	0.561	0.226	0.498
aged	tuổi	0.135	0.365	0.236
agency	đại lý	0.460	0.296	0.583
agenda	chương trình làm việc	0.531	0.296	0.553
agent	đặc vụ	0.480	0.439	0.755
agglomeration	sự kết tụ	0.450	0.765	0.509
aggravate	làm trầm trọng thêm	0.224	0.770	0.464
aggravated	trầm trọng hơn	0.079	0.760	0.430
aggravates	làm trầm trọng thêm	0.108	0.778	0.357
aggravating	tình tiết tăng nặng	0.257	0.794	0.640
aggravation	tình tiết tăng nặng	0.071	0.784	0.613
aggregate	tổng hợp	0.730	0.378	0.556
aggregation	tập hợp	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	Hiếu chiến	0.094	0.929	0.533
aggressive	xâm lược	0.125	0.949	0.648
aggressively	tích cực	0.250	0.926	0.688
aggressiveness	hung hăng	0.077	0.913	0.648
aggressor	kẻ xâm lăng	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	kinh ngạc	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	nhanh nhẹn	0.800	0.657	0.775
agility	sự nhanh nhẹn	0.720	0.702	0.815
aging	lão hóa	0.214	0.255	0.284
agitate	khuấy động	0.300	0.796	0.593
agitated	kích động	0.444	0.882	0.491
agitation	kích động	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	bất khả tri	0.306	0.396	0.574
ago	trước đây	0.317	0.280	0.404
agonizing	khổ sở	0.083	0.800	0.340
agony	đau đớn	0.083	0.775	0.393
agoraphobia	sự sợ hãi	0.127	0.712	0.438
agree	đồng ý	0.906	0.260	0.545
agreeable	dễ chịu	0.906	0.500	0.696
agreed	đã đồng ý	0.797	0.449	0.574
agreeing	đồng ý	0.854	0.480	0.557
agreement	thỏa thuận	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	nông nghiệp	0.686	0.321	0.473
agriculture	nông nghiệp	0.640	0.357	0.465
aground	mắc cạn	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	phía trước	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	viện trợ	0.796	0.491	0.541
aide	phụ tá	0.724	0.342	0.434
aiding	trợ giúp	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	đau	0.375	0.434	0.385
ailing	ốm yếu	0.094	0.518	0.153
ailment	bệnh tật	0.146	0.734	0.277
aim	mục đích	0.481	0.569	0.567
aimless	không có mục đích	0.150	0.267	0.183
air	không khí	0.708	0.163	0.427
airbag	túi khí	0.510	0.402	0.433
airborne	trên không	0.542	0.519	0.385
aircraft	phi cơ	0.646	0.644	0.691
aircraft carrier	tàu sân bay	0.490	0.740	0.727
airfield	sân bay	0.601	0.650	0.645
airhead	đầu máy bay	0.271	0.481	0.276
airlift	phi cơ	0.573	0.622	0.642
airline	hãng hàng không	0.650	0.482	0.688
airliner	máy bay	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	phi công	0.587	0.716	0.721
airplane	Máy bay	0.719	0.702	0.708
airport	sân bay	0.729	0.684	0.682
airs	phát sóng	0.583	0.196	0.370
airship	khí cầu	0.542	0.472	0.529
airspace	không phận	0.562	0.510	0.640
airspeed	máy bay	0.583	0.780	0.544
airstrip	đường băng	0.550	0.690	0.649
airtight	kín	0.479	0.381	0.570
airway	đường hàng không	0.638	0.585	0.482
aisle	lối đi	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	hay còn gọi là	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	báo thức	0.241	0.882	0.698
alarm clock	đồng hồ báo thức	0.542	0.727	0.642
alarmed	đáng báo động	0.188	0.822	0.492
alarming	đáng báo động	0.204	0.890	0.585
alas	than ôi	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	hải âu	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	giả kim thuật	0.541	0.583	0.693
alcohol	rượu	0.323	0.667	0.377
alcoholic	có cồn	0.153	0.688	0.361
alcoholism	nghiện rượu	0.061	0.779	0.407
alcove	hốc tường	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	cảnh báo	0.479	0.820	0.648
alertness	sự tỉnh táo	0.375	0.875	0.750
alerts	cảnh báo	0.337	0.804	0.673
alfalfa	cỏ linh lăng	0.546	0.250	0.311
algebra	đại số học	0.440	0.340	0.565
algebraic	đại số	0.531	0.412	0.441
algorithm	thuật toán	0.448	0.394	0.559
alias	bí danh	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	người ngoài hành tinh	0.410	0.615	0.491
alienate	xa lánh	0.247	0.500	0.523
alienated	xa lánh	0.410	0.423	0.559
alienation	sự xa lánh	0.378	0.530	0.462
alight	xuống xe	0.667	0.657	0.605
align	căn chỉnh	0.656	0.364	0.627
aligned	căn chỉnh	0.583	0.275	0.553
alignment	căn chỉnh	0.643	0.412	0.683
alike	như nhau	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	sống sót	0.816	0.637	0.731
alkali	kiềm	0.490	0.350	0.408
alkaloids	ancaloit	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	cáo buộc	0.578	0.578	0.608
allege	cáo buộc	0.418	0.482	0.587
alleged	bị cáo buộc	0.365	0.522	0.520
allegiance	lòng trung thành	0.917	0.398	0.750
allegorical	ngụ ngôn	0.517	0.558	0.598
allegory	câu chuyện ngụ ngôn	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	dị ứng	0.135	0.549	0.273
allergy	dị ứng	0.296	0.606	0.389
alleviate	làm giảm bớt	0.869	0.270	0.528
alleviation	giảm bớt	0.735	0.200	0.491
alley	con hẻm	0.347	0.500	0.355
alleyway	con hẻm	0.357	0.471	0.382
alliance	liên minh	0.696	0.473	0.769
allied	đồng minh	0.714	0.245	0.642
alligator	cá sấu	0.354	0.704	0.645
allocate	chỉ định	0.673	0.462	0.672
allocation	phân bổ	0.604	0.388	0.679
allot	tất cả	0.622	0.481	0.616
allotment	phân bổ	0.600	0.390	0.640
allow	cho phép	0.698	0.429	0.538
allowable	cho phép	0.698	0.500	0.561
allowance	phụ cấp	0.673	0.382	0.591
allowed	được phép	0.730	0.360	0.655
alloy	hợp kim	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	quyến rũ	0.804	0.585	0.686
alluring	quyến rũ	0.837	0.745	0.843
allusion	ám chỉ	0.440	0.308	0.462
alluvial	phù sa	0.323	0.490	0.491
ally	đồng minh	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	toàn năng	0.938	0.874	0.958
almond	hạnh nhân	0.698	0.183	0.314
aloft	trên cao	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	một mình	0.333	0.167	0.216
alongside	bên cạnh	0.458	0.333	0.347
aloof	đứng cách xa	0.189	0.423	0.302
aloud	to tiếng	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	bảng chữ cái	0.562	0.204	0.672
alphabetical	chữ cái	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	hadyyyy	0.592	0.717	0.351
altar	bàn thờ	0.724	0.387	0.635
altar boy	cậu bé bàn thờ	0.434	0.206	0.350
alter	thay đổi	0.333	0.694	0.654
alteration	sự thay đổi	0.167	0.798	0.609
altercation	sự thay đổi	0.170	0.806	0.500
altered	thay đổi	0.255	0.765	0.500
alternate	Luân phiên	0.625	0.363	0.589
alternating	xen kẽ	0.480	0.494	0.542
alternative	thay thế	0.628	0.373	0.631
altimeter	đo độ cao	0.615	0.510	0.580
altitude	độ cao	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	hoàn toàn	0.833	0.324	0.644
aluminum	nhôm	0.449	0.280	0.434
alumnus	sinh viên	0.633	0.368	0.422
alveolar	phế nang	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	sự hợp nhất	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	tích lũy	0.552	0.465	0.465
amateur	nghiệp dư	0.469	0.500	0.409
amaze	ngạc nhiên	0.896	0.843	0.783
amazed	ngạc nhiên	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	sự kinh ngạc	0.750	0.800	0.639
amazing	kinh ngạc	0.906	0.837	0.849
amazingly	kinh ngạc	0.918	0.765	0.920
ambassador	đại sứ	0.651	0.529	0.917
amber	hổ phách	0.635	0.308	0.369
ambience	không khí	0.735	0.356	0.426
ambient	môi trường xung quanh	0.625	0.360	0.582
ambiguity	sự mơ hồ	0.164	0.460	0.370
ambiguous	mơ hồ	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	tham vọng	0.510	0.804	0.661
ambitious	đầy tham vọng	0.484	0.821	0.717
ambivalent	mâu thuẫn	0.510	0.404	0.482
ambrosia	phấn hoa	0.571	0.452	0.480
ambulance	xe cứu thương	0.500	0.750	0.609
ambush	phục kích	0.281	0.830	0.500
ameliorate	cải thiện	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	chịu trách nhiệm	0.448	0.410	0.406
amend	sửa đổi	0.688	0.406	0.658
amendment	sửa đổi	0.531	0.459	0.606
amends	sửa đổi	0.640	0.366	0.517
amenity	lể nghi	0.750	0.327	0.574
amethyst	thạch anh tím	0.622	0.406	0.517
amiable	đáng yêu	0.847	0.290	0.483
amicable	thân thiện	0.875	0.330	0.507
amid	giữa lúc	0.510	0.340	0.256
amidst	giữa	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	đạn	0.323	0.765	0.621
ammonia	amoniac	0.292	0.587	0.409
ammonium	amoni	0.354	0.396	0.368
ammunition	đạn dược	0.338	0.635	0.667
amnesia	mất trí nhớ	0.296	0.330	0.308
amnesty	ân xá	0.551	0.451	0.814
amorous	ham mê	0.844	0.670	0.636
amorphous	vô định hình	0.327	0.402	0.349
amortization	khấu hao	0.592	0.491	0.522
amount	số tiền	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	dấu và	0.480	0.448	0.483
