Word	Kazakh-kk	Valence	Arousal	Dominance
adhere	ұстаңыз	0.633	0.339	0.554
adherence	адалдық	0.760	0.307	0.630
adherent	ұстамды	0.561	0.385	0.555
adhering	ұстану	0.612	0.561	0.537
adhesion	адгезиясы	0.521	0.445	0.586
adhesive	жабысқақ	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	май	0.333	0.350	0.391
adjacency	көрші	0.365	0.417	0.375
adjacent	көрші	0.645	0.276	0.536
adjective	сын есім	0.570	0.316	0.569
adjoining	жақын	0.520	0.400	0.393
adjourn	кейінге қалдыру	0.385	0.456	0.475
adjournment	кешіктіру	0.438	0.510	0.370
adjudicate	сот шешімі	0.559	0.520	0.683
adjudication	сот шешімі	0.551	0.462	0.691
adjunct	қосалқы	0.459	0.440	0.426
adjust	реттеу	0.647	0.327	0.638
adjuster	реттегіш	0.510	0.540	0.760
adjustment	реттеу	0.590	0.520	0.661
adjuvant	адъювант	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	әкімшілік ету	0.635	0.425	0.860
administration	әкімшілік	0.625	0.404	0.786
administrative	әкімшілік	0.542	0.415	0.579
administrator	әкімші	0.538	0.480	0.902
admirable	таңғажайып	0.929	0.600	0.870
admiral	адмирал	0.844	0.490	0.847
admiralty	әуе көлігі	0.594	0.547	0.733
admiration	таңырқау	0.969	0.583	0.726
admire	таң	0.867	0.692	0.704
admired	таң қалдырды	0.917	0.560	0.815
admirer	жанкүйер	0.796	0.720	0.650
admiring	таң	0.867	0.578	0.629
admissibility	қолайлылық	0.802	0.580	0.602
admissible	рұқсат етілген	0.780	0.528	0.642
admission	қабылдау	0.802	0.415	0.732
admit	мойындау	0.538	0.423	0.667
admittance	кіру рұқсаты	0.690	0.451	0.598
admitted	мойындады	0.720	0.490	0.767
admitting	мойындау	0.620	0.500	0.546
admixture	қоспасы	0.450	0.375	0.438
admonition	ескерту	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	әдемі	0.500	0.319	0.328
adolescence	жасөспірімдер	0.487	0.694	0.444
adolescent	жасөспірім	0.781	0.680	0.509
adopt	қабылдау	0.694	0.612	0.701
adoption	асырап алу	0.625	0.566	0.589
adoptive	асырап алушы	0.531	0.469	0.520
adorable	көрікті	0.969	0.519	0.457
adoration	адалдық	0.885	0.699	0.708
adore	сүйетін	0.854	0.438	0.657
adoring	адалдық	0.885	0.620	0.717
adorn	әшекейленген	0.910	0.424	0.482
adornment	әшекейлер	0.918	0.373	0.377
adrenalin	адреналин	0.865	0.920	0.786
adrenaline	адреналин	0.765	0.965	0.825
adrift	қолайсыздық	0.398	0.486	0.230
adult	ересек адам	0.815	0.491	0.787
adulterated	қателескен	0.188	0.865	0.370
adulterer	неке адалдығын бұзушы	0.229	0.814	0.407
adultery	неке адалдығын бұзу	0.120	0.922	0.510
adulthood	ересек адам	0.541	0.454	0.652
advance	аванс	0.673	0.472	0.858
advanced	озат	0.844	0.623	0.797
advancement	прогресс	0.776	0.650	0.839
advancing	ілгерілеу	0.929	0.608	0.812
advantage	артықшылығы	0.917	0.548	0.859
advantageous	тиімді	0.837	0.640	0.789
advent	келу	0.665	0.560	0.627
adventure	приключение	0.917	0.857	0.710
adventurer	авантюрист	0.781	0.839	0.868
adventures	приключения	0.812	0.764	0.749
adventurous	авантюралық	0.969	0.898	0.722
adversary	қарсылас	0.349	0.777	0.457
adverse	жағымсыз	0.323	0.610	0.385
adversity	қиындықтар	0.276	0.760	0.538
advertise	жарнамалаңыз	0.500	0.529	0.580
advertisement	жарнама	0.600	0.566	0.539
advertising	жарнама	0.622	0.608	0.632
adverts	жарнама	0.551	0.500	0.595
advice	кеңес беру	0.698	0.408	0.688
advisable	ұсынылады	0.867	0.480	0.510
advise	кеңес беріңіз	0.760	0.393	0.705
advised	кеңес берді	0.823	0.330	0.509
advisement	кеңес беру	0.698	0.235	0.655
adviser	кеңесші	0.745	0.362	0.705
advisor	кеңесші	0.646	0.350	0.689
advisory	кеңес беру	0.656	0.429	0.633
advocacy	адвокаттық қызмет	0.500	0.646	0.731
advocate	адвокат	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	аэрация	0.550	0.500	0.433
aerial	антенна	0.615	0.461	0.463
aerobics	аэробика	0.708	0.771	0.627
aerodrome	аэродром	0.541	0.740	0.678
aerodynamic	аэродинамикалық	0.561	0.724	0.728
aerodynamics	аэродинамика	0.590	0.663	0.722
aeronautics	аэронавтика	0.551	0.633	0.688
aeroplane	ұшақ	0.714	0.642	0.644
aerospace	аэроғарыштық	0.643	0.520	0.779
aesthetic	эстетикалық	0.708	0.442	0.526
aesthetics	эстетика	0.847	0.327	0.549
aetiology	этиологиясы	0.480	0.398	0.615
afar	алыстан	0.396	0.373	0.358
affable	мейірімді	0.704	0.380	0.452
affair	қатынас	0.520	0.459	0.657
affect	әсер етуі мүмкін	0.458	0.569	0.578
affecting	әсер етуі мүмкін	0.350	0.574	0.394
affection	махаббат	0.898	0.559	0.696
affectionate	сүйкімді	0.949	0.422	0.550
affections	әсерлері	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	аффидавит	0.469	0.584	0.526
affiliated	аффилиирленген	0.673	0.519	0.535
affiliation	аффилиирлену	0.615	0.594	0.500
affinity	жақындығы	0.800	0.500	0.537
affirm	растайды	0.745	0.509	0.731
affirmation	растау	0.750	0.500	0.689
affirmative	жағымды	0.854	0.589	0.816
affirmatively	оң жағынан	0.908	0.500	0.811
affix	аффикс	0.438	0.335	0.411
afflict	апат	0.302	0.555	0.293
afflicted	зардап шеккен	0.271	0.500	0.167
affliction	апат	0.294	0.635	0.392
affluence	молшылық	0.663	0.618	0.722
affluent	бай	0.756	0.388	0.477
afford	өзіне мүмкіндік береді	0.571	0.580	0.575
affordable	қол жетімді	0.840	0.398	0.493
affront	қорлау	0.327	0.740	0.547
affronted	таң қалдырды	0.385	0.750	0.527
afield	алаңы	0.594	0.370	0.373
afire	аулау	0.367	0.904	0.675
afloat	суда	0.602	0.427	0.444
afore	Бұған дейін	0.500	0.337	0.382
aforementioned	жоғарыда аталған	0.490	0.316	0.408
aforesaid	жоғарыда айтылған	0.531	0.358	0.478
afraid	қорқады	0.010	0.775	0.245
afresh	жаңадан	0.643	0.521	0.480
african	Африкандық	0.490	0.423	0.555
aft	ауытқу	0.480	0.417	0.518
afterlife	кейінгі өмір	0.571	0.567	0.568
aftermath	кейінірек	0.312	0.449	0.444
afternoon	түстен кейін	0.533	0.388	0.339
aftershave	кейінірек	0.406	0.384	0.415
aftertaste	кейінгі дәмі	0.354	0.362	0.455
afterthought	кейінірек	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	аджап	0.612	0.529	0.464
agate	агат	0.540	0.377	0.483
age	жасы	0.561	0.226	0.498
aged	қартайған	0.135	0.365	0.236
agency	агенттік	0.460	0.296	0.583
agenda	күн тәртібі	0.531	0.296	0.553
agent	агент	0.480	0.439	0.755
agglomeration	агломерация	0.450	0.765	0.509
aggravate	ауырлатады	0.224	0.770	0.464
aggravated	ауырлатылды	0.079	0.760	0.430
aggravates	ауырлатады	0.108	0.778	0.357
aggravating	ауырлататын	0.257	0.794	0.640
aggravation	шиеленісуі	0.071	0.784	0.613
aggregate	жиынтығы	0.730	0.378	0.556
aggregation	біріктіру	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	агрессия	0.094	0.929	0.533
aggressive	агрессивті	0.125	0.949	0.648
aggressively	агрессивті түрде	0.250	0.926	0.688
aggressiveness	агрессиялық	0.077	0.913	0.648
aggressor	агрессорды	0.146	0.948	0.823
agh	аға	0.260	0.500	0.400
aghast	қасірет	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	шапшаң	0.800	0.657	0.775
agility	ептілік	0.720	0.702	0.815
aging	қартаю	0.214	0.255	0.284
agitate	агритациялау	0.300	0.796	0.593
agitated	араласқан	0.444	0.882	0.491
agitation	үгіт	0.240	0.931	0.447
aglow	жалынды	0.780	0.510	0.797
agnostic	агностикалық	0.306	0.396	0.574
ago	бұрын	0.317	0.280	0.404
agonizing	тітіркендіргіш	0.083	0.800	0.340
agony	қасірет	0.083	0.775	0.393
agoraphobia	агорафобия	0.127	0.712	0.438
agree	келісемін	0.906	0.260	0.545
agreeable	қолайлы	0.906	0.500	0.696
agreed	келісілді	0.797	0.449	0.574
agreeing	келіседі	0.854	0.480	0.557
agreement	келісім	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	ауыл шаруашылығы	0.686	0.321	0.473
agriculture	ауыл шаруашылығы	0.640	0.357	0.465
aground	құрғақ	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	алда	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	көмек	0.796	0.491	0.541
aide	көмекшісі	0.724	0.342	0.434
aiding	көмек	0.643	0.533	0.569
aids	көмекші құралдар	0.561	0.480	0.500
ail	от	0.375	0.434	0.385
ailing	ауру	0.094	0.518	0.153
ailment	ауру	0.146	0.734	0.277
aim	мақсаты	0.481	0.569	0.567
aimless	мақсатсыз	0.150	0.267	0.183
air	ауа	0.708	0.163	0.427
airbag	қауіпсіздік жастығы	0.510	0.402	0.433
airborne	әуедегі	0.542	0.519	0.385
aircraft	ұшақ	0.646	0.644	0.691
aircraft carrier	әуе кемесінің тасымалдаушысы	0.490	0.740	0.727
airfield	аэродром	0.601	0.650	0.645
airhead	әуе ұшағы	0.271	0.481	0.276
airlift	әуе кемесі	0.573	0.622	0.642
airline	әуе компаниясы	0.650	0.482	0.688
airliner	ұшақ	0.667	0.777	0.647
airlock	ауа ұштығы	0.398	0.520	0.447
airman	ұшқыш	0.587	0.716	0.721
airplane	ұшақ	0.719	0.702	0.708
airport	әуежай	0.729	0.684	0.682
airs	әуе	0.583	0.196	0.370
airship	дирижабль	0.542	0.472	0.529
airspace	әуе кеңістігі	0.562	0.510	0.640
airspeed	әуе жылдамдығы	0.583	0.780	0.544
airstrip	ұшу аппараты	0.550	0.690	0.649
airtight	ауа өткізбейтін	0.479	0.381	0.570
airway	әуе жолы	0.638	0.585	0.482
aisle	қатар	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	туыстас	0.639	0.343	0.523
alabaster	алебастер	0.542	0.404	0.445
alarm	дабыл	0.241	0.882	0.698
alarm clock	оятқыш	0.542	0.727	0.642
alarmed	алаңдаушылық	0.188	0.822	0.492
alarming	алаңдаушылық туғызады	0.204	0.890	0.585
alas	өкінішке орай	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	альбатрос	0.500	0.445	0.527
albino	альбино	0.500	0.240	0.358
album	альбом	0.635	0.349	0.453
alchemy	алхимия	0.541	0.583	0.693
alcohol	алкоголь	0.323	0.667	0.377
alcoholic	алкоголь	0.153	0.688	0.361
alcoholism	алкоголизм	0.061	0.779	0.407
alcove	алкевар	0.490	0.340	0.356
alderman	алдарман	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ескерту	0.479	0.820	0.648
alertness	ұқыптылық	0.375	0.875	0.750
alerts	ескертулер	0.337	0.804	0.673
alfalfa	жоңышқа	0.546	0.250	0.311
algebra	алгебра	0.440	0.340	0.565
algebraic	алгебралық	0.531	0.412	0.441
algorithm	алгоритм	0.448	0.394	0.559
alias	бүркеншік аты	0.541	0.353	0.333
alibi	Алиби	0.396	0.528	0.556
alien	шетелдіктер	0.410	0.615	0.491
alienate	иеліктен шығару	0.247	0.500	0.523
alienated	иеліктен шығарылды	0.410	0.423	0.559
alienation	иеліктен шығару	0.378	0.530	0.462
alight	ағады	0.667	0.657	0.605
align	туралау	0.656	0.364	0.627
aligned	теңшелген	0.583	0.275	0.553
alignment	теңестіру	0.643	0.412	0.683
alike	бірдей	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	алимент	0.612	0.477	0.464
aliquot	аликвот	0.440	0.310	0.404
alive	тірі	0.816	0.637	0.731
alkali	сілтілі	0.490	0.350	0.408
alkaloids	алкалоидтер	0.433	0.562	0.402
allay	әрине	0.417	0.406	0.398
allegation	айыптау	0.578	0.578	0.608
allege	айыптау	0.418	0.482	0.587
alleged	болжамды	0.365	0.522	0.520
allegiance	адалдық	0.917	0.398	0.750
allegorical	аллегориялық	0.517	0.558	0.598
allegory	аллегория	0.615	0.580	0.509
allegro	аллегро	0.635	0.627	0.453
allergic	аллергиялық	0.135	0.549	0.273
allergy	аллергия	0.296	0.606	0.389
alleviate	жеңілдету	0.869	0.270	0.528
alleviation	жеңілдету	0.735	0.200	0.491
alley	аллея	0.347	0.500	0.355
alleyway	аллеясы	0.357	0.471	0.382
alliance	альянс	0.696	0.473	0.769
allied	одақтас	0.714	0.245	0.642
alligator	аллигатор	0.354	0.704	0.645
allocate	бөлу	0.673	0.462	0.672
allocation	бөлу	0.604	0.388	0.679
allot	бөлу	0.622	0.481	0.616
allotment	бөлу	0.600	0.390	0.640
allow	рұқсат етіңіз	0.698	0.429	0.538
allowable	рұқсат етілген	0.698	0.500	0.561
allowance	жәрдемақы	0.673	0.382	0.591
allowed	рұқсат	0.730	0.360	0.655
alloy	қорытпа	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	күлкі	0.804	0.585	0.686
alluring	алдамшы	0.837	0.745	0.843
allusion	сілтеме	0.440	0.308	0.462
alluvial	аллювиалды	0.323	0.490	0.491
ally	одақтас	0.792	0.320	0.688
almanac	альманах	0.688	0.190	0.412
almighty	құдіретті	0.938	0.874	0.958
almond	Бадам	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	алоха	0.698	0.440	0.441
alone	жалғыз	0.333	0.167	0.216
alongside	бірге	0.458	0.333	0.347
aloof	әлсіз	0.189	0.423	0.302
aloud	дауыстап	0.458	0.713	0.750
alpha	альфа	0.708	0.340	0.755
alphabet	әліпби	0.562	0.204	0.672
alphabetical	алфавиттік	0.537	0.296	0.535
alpine	альпі	0.594	0.337	0.474
alreadyyyyy	қазірдің өзінде	0.592	0.717	0.351
altar	алтарь	0.724	0.387	0.635
altar boy	алтарь ұлы	0.434	0.206	0.350
alter	өзгертеді	0.333	0.694	0.654
alteration	өзгерту	0.167	0.798	0.609
altercation	алаяқтық	0.170	0.806	0.500
altered	өзгерді	0.255	0.765	0.500
alternate	баламалы	0.625	0.363	0.589
alternating	айнымалы	0.480	0.494	0.542
alternative	балама	0.628	0.373	0.631
altimeter	альтиметр	0.615	0.510	0.580
altitude	биіктік	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	мүлдем	0.833	0.324	0.644
aluminum	алюминий	0.449	0.280	0.434
alumnus	түлек	0.633	0.368	0.422
alveolar	альвеолярлы	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	амальгам	0.438	0.333	0.510
amalgamation	біріктіру	0.406	0.470	0.531
amaretto	амаретто	0.543	0.551	0.375
amass	жиналады	0.552	0.465	0.465
amateur	әуесқой	0.469	0.500	0.409
amaze	таң қалдырады	0.896	0.843	0.783
amazed	таңқалды	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	таң қалдырды	0.750	0.800	0.639
amazing	ғажайып	0.906	0.837	0.849
amazingly	таңқаларлықтай	0.918	0.765	0.920
ambassador	елші	0.651	0.529	0.917
amber	кәріптас	0.635	0.308	0.369
ambience	қоршаған орта	0.735	0.356	0.426
ambient	қоршаған орта	0.625	0.360	0.582
ambiguity	белгісіздік	0.164	0.460	0.370
ambiguous	бірдей емес	0.265	0.462	0.358
ambit	амбит	0.479	0.380	0.386
ambition	амбиция	0.510	0.804	0.661
ambitious	амбициозлы	0.484	0.821	0.717
ambivalent	амбривалент	0.510	0.404	0.482
ambrosia	амброзия	0.571	0.452	0.480
ambulance	жедел жәрдем	0.500	0.750	0.609
ambush	бүркіт	0.281	0.830	0.500
ameliorate	жақсарту	0.770	0.548	0.747
amen	Аумин	0.781	0.182	0.542
amenable	жауапты	0.448	0.410	0.406
amend	түзету	0.688	0.406	0.658
amendment	түзету	0.531	0.459	0.606
amends	түзетеді	0.640	0.366	0.517
amenity	ыңғайлы	0.750	0.327	0.574
amethyst	аметист	0.622	0.406	0.517
amiable	сүйкімді	0.847	0.290	0.483
amicable	достық	0.875	0.330	0.507
amid	ортасында	0.510	0.340	0.256
amidst	арасында	0.480	0.330	0.316
amino	амин	0.551	0.402	0.433
ammo	қару	0.323	0.765	0.621
ammonia	аммиак	0.292	0.587	0.409
ammonium	аммоний	0.354	0.396	0.368
ammunition	оқ-дәрілер	0.338	0.635	0.667
amnesia	амнезия	0.296	0.330	0.308
amnesty	амнистия	0.551	0.451	0.814
amorous	көңілді	0.844	0.670	0.636
amorphous	аморфты	0.327	0.402	0.349
amortization	амортизация	0.592	0.491	0.522
amount	сомасы	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	амп	0.439	0.393	0.375
ampersand	амперсанд	0.480	0.448	0.483
amphetamines	амфетаминдер	0.133	0.667	0.526
amphibian	амфибия	0.427	0.357	0.474
amphibious	амфибия	0.479	0.346	0.445
amphitheater	амфитеатр	0.653	0.480	0.545
ample	жеткілікті	0.744	0.349	0.719
amplification	күшейту	0.690	0.677	0.810
amplify	күшейтеді	0.677	0.735	0.827
amplitude	амплитудасы	0.694	0.439	0.692
amply	қатаң	0.781	0.431	0.766
amputate	ампутациялық	0.092	0.660	0.509
amputation	ампутация	0.100	0.755	0.483
amuck	амак	0.385	0.602	0.321
amulet	амулет	0.781	0.260	0.630
amuse	көңіл көтеру	0.812	0.684	0.664
