Word	Cebuano-ceb	Valence	Arousal	Dominance
adjacency	adjacency	0.365	0.417	0.375
adjacent	adjacent	0.645	0.276	0.536
adjective	adhetibo	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	adjourn	0.385	0.456	0.475
adjournment	adjournment	0.438	0.510	0.370
adjudicate	paghusay	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	adjunct	0.459	0.440	0.426
adjust	pag-adjust	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	pagpasibo	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	pagpangalagad	0.635	0.425	0.860
administration	administrasyon	0.625	0.404	0.786
administrative	pagdumala	0.542	0.415	0.579
administrator	administrador	0.538	0.480	0.902
admirable	dalaygon	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralty	0.594	0.547	0.733
admiration	pagdayeg	0.969	0.583	0.726
admire	Pagdayeg	0.867	0.692	0.704
admired	nakadayeg	0.917	0.560	0.815
admirer	admirer	0.796	0.720	0.650
admiring	pagdayeg	0.867	0.578	0.629
admissibility	admissibility	0.802	0.580	0.602
admissible	madawat	0.780	0.528	0.642
admission	admission	0.802	0.415	0.732
admit	angkona	0.538	0.423	0.667
admittance	pagdawat	0.690	0.451	0.598
admitted	miangkon	0.720	0.490	0.767
admitting	miangkon	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	tambag	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	pagkatin-edyer	0.487	0.694	0.444
adolescent	tin-edyer	0.781	0.680	0.509
adopt	pagsagop	0.694	0.612	0.701
adoption	pagsagop	0.625	0.566	0.589
adoptive	pagsagop	0.531	0.469	0.520
adorable	madanihon	0.969	0.519	0.457
adoration	pagsimba	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adorno	0.910	0.424	0.482
adornment	dayandayan	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	hinay-hinay	0.398	0.486	0.230
adult	hamtong	0.815	0.491	0.787
adulterated	gisimbolohan	0.188	0.865	0.370
adulterer	pagpanapaw	0.229	0.814	0.407
adultery	pagpanapaw	0.120	0.922	0.510
adulthood	pagkahamtong	0.541	0.454	0.652
advance	abante	0.673	0.472	0.858
advanced	abante	0.844	0.623	0.797
advancement	pag-uswag	0.776	0.650	0.839
advancing	pag-uswag	0.929	0.608	0.812
advantage	bentaha	0.917	0.548	0.859
advantageous	makabenepisyo	0.837	0.640	0.789
advent	pag-anhi	0.665	0.560	0.627
adventure	sa pagpanimpalad	0.917	0.857	0.710
adventurer	tigpangita	0.781	0.839	0.868
adventures	mga panimpalad	0.812	0.764	0.749
adventurous	mapuslanon	0.969	0.898	0.722
adversary	kaaway	0.349	0.777	0.457
adverse	dili maayo	0.323	0.610	0.385
adversity	kalisdanan	0.276	0.760	0.538
advertise	imantala	0.500	0.529	0.580
advertisement	advertisement	0.600	0.566	0.539
advertising	advertising	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	tambag	0.698	0.408	0.688
advisable	maayo	0.867	0.480	0.510
advise	tambag	0.760	0.393	0.705
advised	gitambagan	0.823	0.330	0.509
advisement	tambag	0.698	0.235	0.655
adviser	adviser	0.745	0.362	0.705
advisor	advisor	0.646	0.350	0.689
advisory	advisory	0.656	0.429	0.633
advocacy	adbokasiya	0.500	0.646	0.731
advocate	tigpasiugda	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	aerial	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	eroplano	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	aesthetic	0.708	0.442	0.526
aesthetics	aesthetics	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	halayo	0.396	0.373	0.358
affable	mabination	0.704	0.380	0.452
affair	panghitabo	0.520	0.459	0.657
affect	makaapekto	0.458	0.569	0.578
affecting	makaapekto	0.350	0.574	0.394
affection	pagbati	0.898	0.559	0.696
affectionate	mabinationg	0.949	0.422	0.550
affections	gugma	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	Kauban	0.673	0.519	0.535
affiliation	koneksyon	0.615	0.594	0.500
affinity	relasyon	0.800	0.500	0.537
affirm	gipamatud-an sa	0.745	0.509	0.731
affirmation	pamatuod	0.750	0.500	0.689
affirmative	mapamatud-an	0.854	0.589	0.816
affirmatively	positibo	0.908	0.500	0.811
affix	gilayon	0.438	0.335	0.411
afflict	pagsakit	0.302	0.555	0.293
afflicted	gisakit	0.271	0.500	0.167
affliction	kasakitan	0.294	0.635	0.392
affluence	kadako	0.663	0.618	0.722
affluent	adunahan	0.756	0.388	0.477
afford	makapalit	0.571	0.580	0.575
affordable	barato	0.840	0.398	0.493
affront	pagsakit	0.327	0.740	0.547
affronted	gihasol	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	gisunog	0.367	0.904	0.675
afloat	naglutaw	0.602	0.427	0.444
afore	antes	0.500	0.337	0.382
aforementioned	aforementioned	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	nahadlok	0.010	0.775	0.245
afresh	sa wala pa	0.643	0.521	0.480
african	Africa	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	sunod nga kinabuhi	0.571	0.567	0.568
aftermath	pagkahuman	0.312	0.449	0.444
afternoon	hapon	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	pagkahuman sa panihapon	0.354	0.362	0.455
afterthought	nahunahunaan	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	edad	0.561	0.226	0.498
aged	tigulang	0.135	0.365	0.236
agency	ahensya	0.460	0.296	0.583
agenda	agenda	0.531	0.296	0.553
agent	ahente	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	aggravate	0.224	0.770	0.464
aggravated	napasamot	0.079	0.760	0.430
aggravates	nagpalala	0.108	0.778	0.357
aggravating	naglisud	0.257	0.794	0.640
aggravation	pagsamot	0.071	0.784	0.613
aggregate	aggregate	0.730	0.378	0.556
aggregation	aggregation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresyon	0.094	0.929	0.533
aggressive	agresibo	0.125	0.949	0.648
aggressively	agresibo	0.250	0.926	0.688
aggressiveness	agresibo	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	nahadlok	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	kaliksi	0.720	0.702	0.815
aging	tigulang	0.214	0.255	0.284
agitate	pag-agulo	0.300	0.796	0.593
agitated	nabalisa	0.444	0.882	0.491
agitation	kasamok	0.240	0.931	0.447
aglow	mainiton	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	kanhi	0.317	0.280	0.404
agonizing	nag-agulo	0.083	0.800	0.340
agony	kasakit	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	mouyon	0.906	0.260	0.545
agreeable	kahimut-an	0.906	0.500	0.696
agreed	miuyon	0.797	0.449	0.574
agreeing	pag-uyon	0.854	0.480	0.557
agreement	kasabutan	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agrikultura	0.686	0.321	0.473
agriculture	agrikultura	0.640	0.357	0.465
aground	agulo	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	sa unahan	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	tabang	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	pagtabang	0.643	0.533	0.569
aids	makatabang	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	masakiton	0.094	0.518	0.153
ailment	sakit	0.146	0.734	0.277
aim	tumong	0.481	0.569	0.567
aimless	walay tumong	0.150	0.267	0.183
air	hangin	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	sa hangin	0.542	0.519	0.385
aircraft	eroplano	0.646	0.644	0.691
aircraft carrier	aircraft carrier	0.490	0.740	0.727
airfield	airfield	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	airline	0.650	0.482	0.688
airliner	airliner	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	eroplano	0.719	0.702	0.708
airport	airport	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	airspace	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	airstrip	0.550	0.690	0.649
airtight	hangin	0.479	0.381	0.570
airway	airway	0.638	0.585	0.482
aisle	pasilyo	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	susama	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarma	0.241	0.882	0.698
alarm clock	alarm clock	0.542	0.727	0.642
alarmed	nahadlok	0.188	0.822	0.492
alarming	makapakurat	0.204	0.890	0.585
alas	sayop	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholiko	0.153	0.688	0.361
alcoholism	alkoholismo	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alisto	0.479	0.820	0.648
alertness	pagkaalerto	0.375	0.875	0.750
alerts	mga pasidaan	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraic	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	langyaw	0.410	0.615	0.491
alienate	alienate	0.247	0.500	0.523
alienated	nahimulag	0.410	0.423	0.559
alienation	pagbalhin	0.378	0.530	0.462
alight	Gipaubos	0.667	0.657	0.605
align	ipahiuyon	0.656	0.364	0.627
aligned	ilaray	0.583	0.275	0.553
alignment	paglinya	0.643	0.412	0.683
alike	managsama	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimony	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	buhi	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	alayon	0.417	0.406	0.398
allegation	alegasyon	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	giingong	0.365	0.522	0.520
allegiance	pagkamaunongon	0.917	0.398	0.750
allegorical	alegoriko	0.517	0.558	0.598
allegory	alegorya	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alerdyik	0.135	0.549	0.273
allergy	alerdyi	0.296	0.606	0.389
alleviate	paghupay	0.869	0.270	0.528
alleviation	paghupay	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	alyansa	0.696	0.473	0.769
allied	alyado	0.714	0.245	0.642
alligator	buaya	0.354	0.704	0.645
allocate	mogahin	0.673	0.462	0.672
allocation	alokasyon	0.604	0.388	0.679
allot	allot	0.622	0.481	0.616
allotment	paghatag	0.600	0.390	0.640
allow	tugoti	0.698	0.429	0.538
allowable	tugotan	0.698	0.500	0.561
allowance	allowance	0.673	0.382	0.591
allowed	gitugotan	0.730	0.360	0.655
alloy	alis	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	makadayeg	0.804	0.585	0.686
alluring	makadani	0.837	0.745	0.843
allusion	pagpasabot	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	alyado	0.792	0.320	0.688
almanac	almanac	0.688	0.190	0.412
almighty	labing gamhanan	0.938	0.874	0.958
almond	almendras	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	nag-inusara	0.333	0.167	0.216
alongside	ubay	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	kusog	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alpabeto	0.562	0.204	0.672
alphabetical	alpabetikal	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	altar nga lalaki	0.434	0.206	0.350
alter	usba	0.333	0.694	0.654
alteration	pag-usab	0.167	0.798	0.609
altercation	pagsupak	0.170	0.806	0.500
altered	giusab	0.255	0.765	0.500
alternate	alternatibo	0.625	0.363	0.589
alternating	alternating	0.480	0.494	0.542
alternative	alternatibo	0.628	0.373	0.631
altimeter	altimeter	0.615	0.510	0.580
altitude	gihabogon	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tanan	0.833	0.324	0.644
aluminum	aluminum	0.449	0.280	0.434
alumnus	alumnus	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	amalgamation	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	kahibulong	0.896	0.843	0.783
amazed	nahibulong	0.796	0.779	0.533
amazedness	kahibulong	0.827	0.872	0.510
amazement	kahibulong	0.750	0.800	0.639
amazing	kahibulongan	0.906	0.837	0.849
amazingly	katingalahan	0.918	0.765	0.920
ambassador	ambasador	0.651	0.529	0.917
amber	amber	0.635	0.308	0.369
ambience	ambience	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	ambiguity	0.164	0.460	0.370
ambiguous	ambiguous	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambisyon	0.510	0.804	0.661
ambitious	ambisyoso	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulansya	0.500	0.750	0.609
ambush	ambush	0.281	0.830	0.500
ameliorate	pagpaayo	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	amenable	0.448	0.410	0.406
amend	usba	0.688	0.406	0.658
amendment	pag-amendar	0.531	0.459	0.606
amends	miusab	0.640	0.366	0.517
amenity	amenity	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	amiable	0.847	0.290	0.483
amicable	malipayon	0.875	0.330	0.507
amid	taliwala sa	0.510	0.340	0.256
amidst	taliwala sa	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunition	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	amnestiya	0.551	0.451	0.814
amorous	amorous	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	kantidad	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	Amphitheatre	0.653	0.480	0.545
ample	igo	0.744	0.349	0.719
amplification	paglapad	0.690	0.677	0.810
amplify	paglig-on	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	sa kinatibuk-an	0.781	0.431	0.766
amputate	putlon	0.092	0.660	0.509
amputation	pagputol	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	paglingaw	0.812	0.684	0.664
amused	nalingaw	0.942	0.847	0.596
amusement	kalipay	0.929	0.837	0.803
amusing	makalingaw	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthesia	0.350	0.217	0.473
anaesthetic	anesthetic	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgesic	0.417	0.321	0.441
analogous	susama	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	pagkasama	0.510	0.367	0.509
analysis	pagtuki	0.729	0.448	0.705
analyst	analista	0.604	0.415	0.755
analytic	analytic	0.665	0.521	0.634
analytical	analytical	0.625	0.324	0.800
analyze	analisahon	0.667	0.462	0.710
analyzer	analyzer	0.625	0.556	0.854
anaphylactic	anaphylactic	0.378	0.588	0.500
anarchism	anarchism	0.125	0.804	0.623
anarchist	anarchist	0.204	0.700	0.759
anarchy	anarkiya	0.146	0.755	0.620
anastomosis	anastomosis	0.375	0.470	0.490
