Word	Slovak-sk	Valence	Arousal	Dominance
adherent	stúpenec	0.561	0.385	0.555
adhering	dodržiavaním	0.612	0.561	0.537
adhesion	priľnavosť	0.521	0.445	0.586
adhesive	lepidlo	0.604	0.350	0.413
adieu	zbohom	0.250	0.471	0.342
adipose	tuková	0.333	0.350	0.391
adjacency	susedov	0.365	0.417	0.375
adjacent	priľahlý	0.645	0.276	0.536
adjective	prídavné meno	0.570	0.316	0.569
adjoining	susediace	0.520	0.400	0.393
adjourn	odložiť	0.385	0.456	0.475
adjournment	odročenie	0.438	0.510	0.370
adjudicate	rozhodnúť	0.559	0.520	0.683
adjudication	rozsudok	0.551	0.462	0.691
adjunct	prídavok	0.459	0.440	0.426
adjust	nastaviť	0.647	0.327	0.638
adjuster	nastavovač	0.510	0.540	0.760
adjustment	nastavenie	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	spravovať	0.635	0.425	0.860
administration	podávanie	0.625	0.404	0.786
administrative	administratívne	0.542	0.415	0.579
administrator	správca	0.538	0.480	0.902
admirable	obdivuhodný	0.929	0.600	0.870
admiral	admirál	0.844	0.490	0.847
admiralty	Admirality	0.594	0.547	0.733
admiration	obdiv	0.969	0.583	0.726
admire	obdivovať	0.867	0.692	0.704
admired	obdivovanou	0.917	0.560	0.815
admirer	obdivovateľ	0.796	0.720	0.650
admiring	obdivovanie	0.867	0.578	0.629
admissibility	prípustnosti	0.802	0.580	0.602
admissible	prípustná	0.780	0.528	0.642
admission	vstupné	0.802	0.415	0.732
admit	pripustiť	0.538	0.423	0.667
admittance	vstup	0.690	0.451	0.598
admitted	prijatý	0.720	0.490	0.767
admitting	prijímanie	0.620	0.500	0.546
admixture	prísada	0.450	0.375	0.438
admonition	napomenutie	0.357	0.606	0.455
ado	povyku	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	dospievania	0.487	0.694	0.444
adolescent	dospievajúci	0.781	0.680	0.509
adopt	prijať	0.694	0.612	0.701
adoption	prijatie	0.625	0.566	0.589
adoptive	adoptívna	0.531	0.469	0.520
adorable	rozkošný	0.969	0.519	0.457
adoration	zbožňovanie	0.885	0.699	0.708
adore	uctievať	0.854	0.438	0.657
adoring	zamilovaný	0.885	0.620	0.717
adorn	ozdobiť	0.910	0.424	0.482
adornment	ozdoba	0.918	0.373	0.377
adrenalin	adrenalín	0.865	0.920	0.786
adrenaline	adrenalín	0.765	0.965	0.825
adrift	nezakotvený	0.398	0.486	0.230
adult	dospelý	0.815	0.491	0.787
adulterated	sfalšoval	0.188	0.865	0.370
adulterer	cudzoložník	0.229	0.814	0.407
adultery	cudzoložstvo	0.120	0.922	0.510
adulthood	dospelosť	0.541	0.454	0.652
advance	záloha	0.673	0.472	0.858
advanced	pokročilý	0.844	0.623	0.797
advancement	pokrok	0.776	0.650	0.839
advancing	postupujúci	0.929	0.608	0.812
advantage	výhoda	0.917	0.548	0.859
advantageous	výhodný	0.837	0.640	0.789
advent	príchod	0.665	0.560	0.627
adventure	dobrodružstvo	0.917	0.857	0.710
adventurer	dobrodruh	0.781	0.839	0.868
adventures	dobrodružstvo	0.812	0.764	0.749
adventurous	dobrodružný	0.969	0.898	0.722
adversary	protivník	0.349	0.777	0.457
adverse	nepriaznivý	0.323	0.610	0.385
adversity	nepriazeň osudu	0.276	0.760	0.538
advertise	inzerovať	0.500	0.529	0.580
advertisement	reklama	0.600	0.566	0.539
advertising	reklama	0.622	0.608	0.632
adverts	inzeráty	0.551	0.500	0.595
advice	rada	0.698	0.408	0.688
advisable	vhodný	0.867	0.480	0.510
advise	radiť	0.760	0.393	0.705
advised	Vezmite na vedomie,	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	poradcu	0.745	0.362	0.705
advisor	poradcu	0.646	0.350	0.689
advisory	poradný	0.656	0.429	0.633
advocacy	obhajoba	0.500	0.646	0.731
advocate	zástanca	0.551	0.530	0.818
aegis	záštita	0.490	0.439	0.462
aeration	prevzdušňovanie	0.550	0.500	0.433
aerial	letecký	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	letisko	0.541	0.740	0.678
aerodynamic	aerodynamický	0.561	0.724	0.728
aerodynamics	aerodynamika	0.590	0.663	0.722
aeronautics	aeronautika	0.551	0.633	0.688
aeroplane	lietadlo	0.714	0.642	0.644
aerospace	letecký	0.643	0.520	0.779
aesthetic	estetický	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiológie	0.480	0.398	0.615
afar	v diaľke	0.396	0.373	0.358
affable	prívetivý	0.704	0.380	0.452
affair	záležitosť	0.520	0.459	0.657
affect	ovplyvniť	0.458	0.569	0.578
affecting	ovplyvňujúce	0.350	0.574	0.394
affection	náklonnosť	0.898	0.559	0.696
affectionate	prítulný	0.949	0.422	0.550
affections	postihnutie	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	prísažné vyhlásenie	0.469	0.584	0.526
affiliated	pridružený	0.673	0.519	0.535
affiliation	pričlenenie	0.615	0.594	0.500
affinity	afinita	0.800	0.500	0.537
affirm	vyhlásiť	0.745	0.509	0.731
affirmation	vyhlásenie	0.750	0.500	0.689
affirmative	kladný	0.854	0.589	0.816
affirmatively	súhlasne	0.908	0.500	0.811
affix	pripevniť	0.438	0.335	0.411
afflict	postihnúť	0.302	0.555	0.293
afflicted	postihnutý	0.271	0.500	0.167
affliction	utrpenie	0.294	0.635	0.392
affluence	hojnosť	0.663	0.618	0.722
affluent	prítok	0.756	0.388	0.477
afford	dovoliť si	0.571	0.580	0.575
affordable	cenovo dostupné	0.840	0.398	0.493
affront	urážka	0.327	0.740	0.547
affronted	urazil	0.385	0.750	0.527
afield	do cudziny	0.594	0.370	0.373
afire	požiar	0.367	0.904	0.675
afloat	na vode	0.602	0.427	0.444
afore	vyššie	0.500	0.337	0.382
aforementioned	zhora	0.490	0.316	0.408
aforesaid	vyššie uvedený	0.531	0.358	0.478
afraid	báť	0.010	0.775	0.245
afresh	nanovo	0.643	0.521	0.480
african	africký	0.490	0.423	0.555
aft	na zadku	0.480	0.417	0.518
afterlife	posmrtný život	0.571	0.567	0.568
aftermath	následky	0.312	0.449	0.444
afternoon	popoludnie	0.533	0.388	0.339
aftershave	voda po holení	0.406	0.384	0.415
aftertaste	pachuť	0.354	0.362	0.455
afterthought	spomienka	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	s ústami dokorán	0.612	0.529	0.464
agate	achát	0.540	0.377	0.483
age	Vek	0.561	0.226	0.498
aged	dlhoročný	0.135	0.365	0.236
agency	kancelária	0.460	0.296	0.583
agenda	program	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomerácie	0.450	0.765	0.509
aggravate	zhoršiť	0.224	0.770	0.464
aggravated	zhoršiť	0.079	0.760	0.430
aggravates	zhoršuje	0.108	0.778	0.357
aggravating	priťažujúce	0.257	0.794	0.640
aggravation	zhoršenie	0.071	0.784	0.613
aggregate	agregát	0.730	0.378	0.556
aggregation	agregácie	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresie	0.094	0.929	0.533
aggressive	útočný	0.125	0.949	0.648
aggressively	agresívne	0.250	0.926	0.688
aggressiveness	agresivita	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	zdesený	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agilné	0.800	0.657	0.775
agility	obratnosť	0.720	0.702	0.815
aging	starnutie	0.214	0.255	0.284
agitate	agitovať	0.300	0.796	0.593
agitated	rozrušený	0.444	0.882	0.491
agitation	miešanie	0.240	0.931	0.447
aglow	horiace	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	pred	0.317	0.280	0.404
agonizing	mučivý	0.083	0.800	0.340
agony	muky	0.083	0.775	0.393
agoraphobia	agorafóbia	0.127	0.712	0.438
agree	súhlasiť	0.906	0.260	0.545
agreeable	príjemný	0.906	0.500	0.696
agreed	dohodnuté	0.797	0.449	0.574
agreeing	súhlasiť	0.854	0.480	0.557
agreement	dohoda	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	poľnohospodársky	0.686	0.321	0.473
agriculture	poľnohospodárstvo	0.640	0.357	0.465
aground	na plytčine	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	vpred	0.708	0.520	0.673
ahhh	ach	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoj	0.500	0.497	0.380
aid	pomoc	0.796	0.491	0.541
aide	pomocník	0.724	0.342	0.434
aiding	napomáhanie	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	bolieť	0.375	0.434	0.385
ailing	chorý	0.094	0.518	0.153
ailment	indispozície	0.146	0.734	0.277
aim	cieľ	0.481	0.569	0.567
aimless	bezcieľny	0.150	0.267	0.183
air	ovzdušia	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	vo vzduchu	0.542	0.519	0.385
aircraft	lietadlo	0.646	0.644	0.691
aircraft carrier	lietadlového dopravcu	0.490	0.740	0.727
airfield	letisko	0.601	0.650	0.645
airhead	blbec	0.271	0.481	0.276
airlift	vzdušný most	0.573	0.622	0.642
airline	letecká linka	0.650	0.482	0.688
airliner	dopravné lietadlo linkový	0.667	0.777	0.647
airlock	prechodová komora	0.398	0.520	0.447
airman	letec	0.587	0.716	0.721
airplane	lietadlo	0.719	0.702	0.708
airport	LETISKO	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	vzducholoď	0.542	0.472	0.529
airspace	vzdušný priestor	0.562	0.510	0.640
airspeed	rýchlomer	0.583	0.780	0.544
airstrip	štartovacie a pristávacia dráha	0.550	0.690	0.649
airtight	vzduchotesný	0.479	0.381	0.570
airway	dýchacích ciest	0.638	0.585	0.482
aisle	ulička	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	príbuzný	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	poplach	0.241	0.882	0.698
alarm clock	budík	0.542	0.727	0.642
alarmed	zdesený	0.188	0.822	0.492
alarming	znepokojujúce	0.204	0.890	0.585
alas	beda	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albín	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchýmia	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholik	0.153	0.688	0.361
alcoholism	alkoholizmus	0.061	0.779	0.407
alcove	výklenok	0.490	0.340	0.356
alderman	radkyňa	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	bdelý	0.479	0.820	0.648
alertness	ostražitosť	0.375	0.875	0.750
alerts	výstrahy	0.337	0.804	0.673
alfalfa	lucerna	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraický	0.531	0.412	0.441
algorithm	algoritmus	0.448	0.394	0.559
alias	prezývka	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	cudzinec	0.410	0.615	0.491
alienate	odcudziť	0.247	0.500	0.523
alienated	odcudzení	0.410	0.423	0.559
alienation	odcudzenie	0.378	0.530	0.462
alight	vystúpiť	0.667	0.657	0.605
align	zoradiť	0.656	0.364	0.627
aligned	zarovnané	0.583	0.275	0.553
alignment	zarovnanie	0.643	0.412	0.683
alike	rovnako	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	výživné	0.612	0.477	0.464
aliquot	alikvotnej	0.440	0.310	0.404
alive	nažive	0.816	0.637	0.731
alkali	alkálie	0.490	0.350	0.408
alkaloids	alkaloidy	0.433	0.562	0.402
allay	zmierniť	0.417	0.406	0.398
allegation	tvrdenie	0.578	0.578	0.608
allege	tvrdiť	0.418	0.482	0.587
alleged	údajný	0.365	0.522	0.520
allegiance	vernosť	0.917	0.398	0.750
allegorical	alegorický	0.517	0.558	0.598
allegory	alegória	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergický	0.135	0.549	0.273
allergy	alergie	0.296	0.606	0.389
alleviate	zmierniť	0.869	0.270	0.528
alleviation	zmiernenie	0.735	0.200	0.491
alley	alej	0.347	0.500	0.355
alleyway	ulička	0.357	0.471	0.382
alliance	spojenectvo	0.696	0.473	0.769
allied	spriaznený	0.714	0.245	0.642
alligator	aligátor	0.354	0.704	0.645
allocate	prideliť	0.673	0.462	0.672
allocation	pridelenie	0.604	0.388	0.679
allot	prideľovať	0.622	0.481	0.616
allotment	prideľovanie	0.600	0.390	0.640
allow	dovoliť	0.698	0.429	0.538
allowable	prípustný	0.698	0.500	0.561
allowance	prídavok	0.673	0.382	0.591
allowed	povolený	0.730	0.360	0.655
alloy	zliatina	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	lákať	0.804	0.585	0.686
alluring	zvodný	0.837	0.745	0.843
allusion	narážka	0.440	0.308	0.462
alluvial	plávajúci	0.323	0.490	0.491
ally	spojenec	0.792	0.320	0.688
almanac	kalendár	0.688	0.190	0.412
almighty	všemocný	0.938	0.874	0.958
almond	mandle	0.698	0.183	0.314
aloft	hore	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sám	0.333	0.167	0.216
alongside	vedľa	0.458	0.333	0.347
aloof	rezervovaný	0.189	0.423	0.302
aloud	nahlas	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abeceda	0.562	0.204	0.672
alphabetical	abecedný	0.537	0.296	0.535
alpine	vysokohorský	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	oltár	0.724	0.387	0.635
altar boy	oltárny chlapec	0.434	0.206	0.350
alter	pozmeniť	0.333	0.694	0.654
alteration	zmena	0.167	0.798	0.609
altercation	hádka	0.170	0.806	0.500
altered	zmenený	0.255	0.765	0.500
alternate	striedavý	0.625	0.363	0.589
alternating	striedavý	0.480	0.494	0.542
alternative	alternatívne	0.628	0.373	0.631
altimeter	výškomer	0.615	0.510	0.580
altitude	nadmorská výška	0.708	0.482	0.736
alto	alt	0.656	0.404	0.730
altogether	dohromady	0.833	0.324	0.644
aluminum	hliník	0.449	0.280	0.434
alumnus	absolvent	0.633	0.368	0.422
alveolar	alveolárna	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgám	0.438	0.333	0.510
amalgamation	zlúčenie	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	hromadiť	0.552	0.465	0.465
amateur	amatér	0.469	0.500	0.409
amaze	ohromiť	0.896	0.843	0.783
amazed	úžas	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	ohromenie	0.750	0.800	0.639
amazing	úžasný	0.906	0.837	0.849
amazingly	úžasne	0.918	0.765	0.920
ambassador	veľvyslanec	0.651	0.529	0.917
amber	jantár	0.635	0.308	0.369
ambience	prostredie	0.735	0.356	0.426
ambient	okolité	0.625	0.360	0.582
ambiguity	nejasnosť	0.164	0.460	0.370
ambiguous	dvojznačný	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ctižiadosť	0.510	0.804	0.661
ambitious	ctižiadostivý	0.484	0.821	0.717
ambivalent	ambivalentný	0.510	0.404	0.482
ambrosia	ambrózie	0.571	0.452	0.480
ambulance	ambulancie	0.500	0.750	0.609
ambush	nástraha	0.281	0.830	0.500
ameliorate	zlepšiť	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	prístupný	0.448	0.410	0.406
amend	pozmeniť	0.688	0.406	0.658
amendment	zmena	0.531	0.459	0.606
amends	odškodné	0.640	0.366	0.517
amenity	vybavenie	0.750	0.327	0.574
amethyst	ametyst	0.622	0.406	0.517
amiable	prívetivý	0.847	0.290	0.483
amicable	priateľský	0.875	0.330	0.507
amid	uprostred	0.510	0.340	0.256
amidst	medzi	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munície	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	amónneho	0.354	0.396	0.368
ammunition	strelivo	0.338	0.635	0.667
amnesia	amnézia	0.296	0.330	0.308
amnesty	amnestia	0.551	0.451	0.814
amorous	zamilovaný	0.844	0.670	0.636
amorphous	amorfný	0.327	0.402	0.349
amortization	amortizácia	0.592	0.491	0.522
amount	čiastka	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamíny	0.133	0.667	0.526
amphibian	obojživelník	0.427	0.357	0.474
amphibious	obojživelný	0.479	0.346	0.445
amphitheater	amfiteáter	0.653	0.480	0.545
ample	dostatočný	0.744	0.349	0.719
amplification	rozšírenie	0.690	0.677	0.810
amplify	zosilňovať	0.677	0.735	0.827
amplitude	amplitúda	0.694	0.439	0.692
amply	bohato	0.781	0.431	0.766
amputate	amputovať	0.092	0.660	0.509
amputation	amputácia	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	baviť	0.812	0.684	0.664
amused	pobavený	0.942	0.847	0.596
amusement	zábava	0.929	0.837	0.803
amusing	zábavný	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestézie	0.350	0.217	0.473
anaesthetic	anestetikum	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	análny	0.333	0.798	0.334
analgesic	analgetikum	0.417	0.321	0.441
analogous	analogický	0.531	0.270	0.500
analogue	analóg	0.570	0.320	0.446
