Word	German-de	Valence	Arousal	Dominance
adequacy	Angemessenheit	0.615	0.435	0.702
adequate	angemessene	0.854	0.264	0.705
adhere	haften	0.633	0.339	0.554
adherence	Adhärenz	0.760	0.307	0.630
adherent	Anhänger	0.561	0.385	0.555
adhering	haftend	0.612	0.561	0.537
adhesion	Adhäsion	0.521	0.445	0.586
adhesive	Klebstoff	0.604	0.350	0.413
adieu	Adieu	0.250	0.471	0.342
adipose	fettleibig	0.333	0.350	0.391
adjacency	Nachbarschaft	0.365	0.417	0.375
adjacent	benachbart	0.645	0.276	0.536
adjective	Adjektiv	0.570	0.316	0.569
adjoining	angrenzend	0.520	0.400	0.393
adjourn	vertagen	0.385	0.456	0.475
adjournment	Unterbrechung	0.438	0.510	0.370
adjudicate	entscheiden	0.559	0.520	0.683
adjudication	Entscheidung	0.551	0.462	0.691
adjunct	Zusatz	0.459	0.440	0.426
adjust	einstellen	0.647	0.327	0.638
adjuster	Einsteller	0.510	0.540	0.760
adjustment	Einstellung	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	Administrator	0.688	0.420	0.854
administer	verwalten	0.635	0.425	0.860
administration	Verwaltung	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	Administrator	0.538	0.480	0.902
admirable	bewundernswert	0.929	0.600	0.870
admiral	Admiral	0.844	0.490	0.847
admiralty	Admiralität	0.594	0.547	0.733
admiration	Bewunderung	0.969	0.583	0.726
admire	bewundern	0.867	0.692	0.704
admired	bewundert	0.917	0.560	0.815
admirer	Bewunderer	0.796	0.720	0.650
admiring	bewundern	0.867	0.578	0.629
admissibility	Zulässigkeit	0.802	0.580	0.602
admissible	zulässig	0.780	0.528	0.642
admission	Eintritt	0.802	0.415	0.732
admit	eingestehen	0.538	0.423	0.667
admittance	Zulassung	0.690	0.451	0.598
admitted	zugelassen	0.720	0.490	0.767
admitting	zugeben	0.620	0.500	0.546
admixture	Beimischung	0.450	0.375	0.438
admonition	Ermahnung	0.357	0.606	0.455
ado	Ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	Jugend	0.487	0.694	0.444
adolescent	Jugendliche	0.781	0.680	0.509
adopt	adoptieren	0.694	0.612	0.701
adoption	Annahme	0.625	0.566	0.589
adoptive	adoptiv	0.531	0.469	0.520
adorable	bezaubernd	0.969	0.519	0.457
adoration	Anbetung	0.885	0.699	0.708
adore	verehren	0.854	0.438	0.657
adoring	anbetend	0.885	0.620	0.717
adorn	schmücken	0.910	0.424	0.482
adornment	Schmuck	0.918	0.373	0.377
adrenalin	Adrenalin	0.865	0.920	0.786
adrenaline	Adrenalin	0.765	0.965	0.825
adrift	treibend	0.398	0.486	0.230
adult	Erwachsene	0.815	0.491	0.787
adulterated	verfälscht	0.188	0.865	0.370
adulterer	Ehebrecher	0.229	0.814	0.407
adultery	Ehebruch	0.120	0.922	0.510
adulthood	Erwachsensein	0.541	0.454	0.652
advance	voraus	0.673	0.472	0.858
advanced	fortgeschritten	0.844	0.623	0.797
advancement	Förderung	0.776	0.650	0.839
advancing	voranschreiten	0.929	0.608	0.812
advantage	Vorteil	0.917	0.548	0.859
advantageous	vorteilhaft	0.837	0.640	0.789
advent	Advent	0.665	0.560	0.627
adventure	Abenteuer	0.917	0.857	0.710
adventurer	Abenteurer	0.781	0.839	0.868
adventures	Abenteuer	0.812	0.764	0.749
adventurous	abenteuerlich	0.969	0.898	0.722
adversary	Gegner	0.349	0.777	0.457
adverse	ungünstig	0.323	0.610	0.385
adversity	Unglück	0.276	0.760	0.538
advertise	werben	0.500	0.529	0.580
advertisement	Werbung	0.600	0.566	0.539
advertising	Werbung	0.622	0.608	0.632
adverts	Werbung	0.551	0.500	0.595
advice	Rat	0.698	0.408	0.688
advisable	ratsam	0.867	0.480	0.510
advise	beraten	0.760	0.393	0.705
advised	empfohlen	0.823	0.330	0.509
advisement	Beratung	0.698	0.235	0.655
adviser	Berater	0.745	0.362	0.705
advisor	Berater	0.646	0.350	0.689
advisory	beratend	0.656	0.429	0.633
advocacy	Interessenvertretung	0.500	0.646	0.731
advocate	befürworten	0.551	0.530	0.818
aegis	Ägide	0.490	0.439	0.462
aeration	Belüftung	0.550	0.500	0.433
aerial	Antenne	0.615	0.461	0.463
aerobics	Aerobic	0.708	0.771	0.627
aerodrome	Flugplatz	0.541	0.740	0.678
aerodynamic	aerodynamisch	0.561	0.724	0.728
aerodynamics	Aerodynamik	0.590	0.663	0.722
aeronautics	Luftfahrt	0.551	0.633	0.688
aeroplane	Flugzeug	0.714	0.642	0.644
aerospace	Luft- und Raumfahrt	0.643	0.520	0.779
aesthetic	ästhetisch	0.708	0.442	0.526
aesthetics	Ästhetik	0.847	0.327	0.549
aetiology	Ätiologie	0.480	0.398	0.615
afar	weit entfernt	0.396	0.373	0.358
affable	freundlich	0.704	0.380	0.452
affair	Affäre	0.520	0.459	0.657
affect	beeinflussen	0.458	0.569	0.578
affecting	beeinflussen	0.350	0.574	0.394
affection	Zuneigung	0.898	0.559	0.696
affectionate	zärtlich	0.949	0.422	0.550
affections	Zuneigungen	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	eidesstattliche Erklärung	0.469	0.584	0.526
affiliated	angeschlossen	0.673	0.519	0.535
affiliation	Zugehörigkeit	0.615	0.594	0.500
affinity	Affinität	0.800	0.500	0.537
affirm	bestätigen	0.745	0.509	0.731
affirmation	Bejahung	0.750	0.500	0.689
affirmative	positiv	0.854	0.589	0.816
affirmatively	bejahend	0.908	0.500	0.811
affix	Affix	0.438	0.335	0.411
afflict	Plagen	0.302	0.555	0.293
afflicted	betroffen	0.271	0.500	0.167
affliction	Gebrechen	0.294	0.635	0.392
affluence	Wohlstand	0.663	0.618	0.722
affluent	wohlhabend	0.756	0.388	0.477
afford	sich leisten	0.571	0.580	0.575
affordable	erschwinglich	0.840	0.398	0.493
affront	Beleidigung	0.327	0.740	0.547
affronted	beleidigt	0.385	0.750	0.527
afield	weit weg	0.594	0.370	0.373
afire	ein Feuer	0.367	0.904	0.675
afloat	über Wasser	0.602	0.427	0.444
afore	vorher	0.500	0.337	0.382
aforementioned	vorgenannten	0.490	0.316	0.408
aforesaid	oben erwähnt	0.531	0.358	0.478
afraid	Angst	0.010	0.775	0.245
afresh	erneut	0.643	0.521	0.480
african	afrikanisch	0.490	0.423	0.555
aft	achtern	0.480	0.417	0.518
afterlife	Leben nach dem Tod	0.571	0.567	0.568
aftermath	Nachwirkungen	0.312	0.449	0.444
afternoon	Nachmittag	0.533	0.388	0.339
aftershave	Aftershave	0.406	0.384	0.415
aftertaste	Nachgeschmack	0.354	0.362	0.455
afterthought	nachträglicher Einfall	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	Achat	0.540	0.377	0.483
age	Alter	0.561	0.226	0.498
aged	alt	0.135	0.365	0.236
agency	Agentur	0.460	0.296	0.583
agenda	Agenda	0.531	0.296	0.553
agent	Agent	0.480	0.439	0.755
agglomeration	Agglomeration	0.450	0.765	0.509
aggravate	verschlimmern	0.224	0.770	0.464
aggravated	verschärft	0.079	0.760	0.430
aggravates	verschlimmert	0.108	0.778	0.357
aggravating	erschwerend	0.257	0.794	0.640
aggravation	Verschlimmerung	0.071	0.784	0.613
aggregate	Aggregat	0.730	0.378	0.556
aggregation	Anhäufung	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	Aggression	0.094	0.929	0.533
aggressive	aggressiv	0.125	0.949	0.648
aggressively	aggressiv	0.250	0.926	0.688
aggressiveness	Aggressivität	0.077	0.913	0.648
aggressor	Aggressor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	entsetzt	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agil	0.800	0.657	0.775
agility	Beweglichkeit	0.720	0.702	0.815
aging	Altern	0.214	0.255	0.284
agitate	agitieren	0.300	0.796	0.593
agitated	aufgeregt	0.444	0.882	0.491
agitation	Agitation	0.240	0.931	0.447
aglow	leuchtend	0.780	0.510	0.797
agnostic	agnostisch	0.306	0.396	0.574
ago	vor	0.317	0.280	0.404
agonizing	quälend	0.083	0.800	0.340
agony	Qual	0.083	0.775	0.393
agoraphobia	Agoraphobie	0.127	0.712	0.438
agree	zustimmen	0.906	0.260	0.545
agreeable	angenehm	0.906	0.500	0.696
agreed	einverstanden	0.797	0.449	0.574
agreeing	zustimmen	0.854	0.480	0.557
agreement	Zustimmung	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	landwirtschaftlich	0.686	0.321	0.473
agriculture	Landwirtschaft	0.640	0.357	0.465
aground	gestrandet	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	voraus	0.708	0.520	0.673
ahhh	ähhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	Ahoi	0.500	0.497	0.380
aid	Hilfe	0.796	0.491	0.541
aide	Berater	0.724	0.342	0.434
aiding	Hilfe	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	kränkend	0.094	0.518	0.153
ailment	Leiden	0.146	0.734	0.277
aim	Ziel	0.481	0.569	0.567
aimless	ziellos	0.150	0.267	0.183
air	Luft	0.708	0.163	0.427
airbag	Airbag	0.510	0.402	0.433
airborne	in der Luft	0.542	0.519	0.385
aircraft	Flugzeug	0.646	0.644	0.691
aircraft carrier	Flugzeugträger	0.490	0.740	0.727
airfield	Flugplatz	0.601	0.650	0.645
airhead	Luftkopf	0.271	0.481	0.276
airlift	Luftbrücke	0.573	0.622	0.642
airline	Fluggesellschaft	0.650	0.482	0.688
airliner	Verkehrsflugzeug	0.667	0.777	0.647
airlock	Luftschleuse	0.398	0.520	0.447
airman	Flieger	0.587	0.716	0.721
airplane	Flugzeug	0.719	0.702	0.708
airport	Flughafen	0.729	0.684	0.682
airs	Lüfte	0.583	0.196	0.370
airship	Luftschiff	0.542	0.472	0.529
airspace	Luftraum	0.562	0.510	0.640
airspeed	Fluggeschwindigkeit	0.583	0.780	0.544
airstrip	Landebahn	0.550	0.690	0.649
airtight	luftdicht	0.479	0.381	0.570
airway	Luftweg	0.638	0.585	0.482
aisle	Gang	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	ähnlich	0.639	0.343	0.523
alabaster	Alabaster	0.542	0.404	0.445
alarm	Alarm	0.241	0.882	0.698
alarm clock	Wecker	0.542	0.727	0.642
alarmed	alarmiert	0.188	0.822	0.492
alarming	alarmierend	0.204	0.890	0.585
alas	Ach	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatros	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	Album	0.635	0.349	0.453
alchemy	Alchimie	0.541	0.583	0.693
alcohol	Alkohol	0.323	0.667	0.377
alcoholic	alkoholisch	0.153	0.688	0.361
alcoholism	Alkoholismus	0.061	0.779	0.407
alcove	Alkoven	0.490	0.340	0.356
alderman	Alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	aufmerksam	0.479	0.820	0.648
alertness	Wachsamkeit	0.375	0.875	0.750
alerts	Warnungen	0.337	0.804	0.673
alfalfa	Alfalfa	0.546	0.250	0.311
algebra	Algebra	0.440	0.340	0.565
algebraic	algebraisch	0.531	0.412	0.441
algorithm	Algorithmus	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	Alibi	0.396	0.528	0.556
alien	Ausländer	0.410	0.615	0.491
alienate	entfremden	0.247	0.500	0.523
alienated	entfremdet	0.410	0.423	0.559
alienation	Entfremdung	0.378	0.530	0.462
alight	angehen	0.667	0.657	0.605
align	ausrichten	0.656	0.364	0.627
aligned	ausgerichtet	0.583	0.275	0.553
alignment	Ausrichtung	0.643	0.412	0.683
alike	wie	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	Alimente	0.612	0.477	0.464
aliquot	Aliquot	0.440	0.310	0.404
alive	am Leben	0.816	0.637	0.731
alkali	Alkali	0.490	0.350	0.408
alkaloids	Alkaloide	0.433	0.562	0.402
allay	zerstreuen	0.417	0.406	0.398
allegation	Behauptung	0.578	0.578	0.608
allege	behaupten	0.418	0.482	0.587
alleged	angeblich	0.365	0.522	0.520
allegiance	Treue	0.917	0.398	0.750
allegorical	allegorisch	0.517	0.558	0.598
allegory	Allegorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergisch	0.135	0.549	0.273
allergy	Allergie	0.296	0.606	0.389
alleviate	lindern	0.869	0.270	0.528
alleviation	Linderung	0.735	0.200	0.491
alley	Gasse	0.347	0.500	0.355
alleyway	Gasse	0.357	0.471	0.382
alliance	Allianz	0.696	0.473	0.769
allied	verbündet	0.714	0.245	0.642
alligator	Alligator	0.354	0.704	0.645
allocate	zuordnen	0.673	0.462	0.672
allocation	Zuweisung	0.604	0.388	0.679
allot	zuzuweisen	0.622	0.481	0.616
allotment	Zuteilung	0.600	0.390	0.640
allow	ermöglichen	0.698	0.429	0.538
allowable	zulässig	0.698	0.500	0.561
allowance	Beihilfe	0.673	0.382	0.591
allowed	dürfen	0.730	0.360	0.655
alloy	Legierung	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	locken	0.804	0.585	0.686
alluring	verlockend	0.837	0.745	0.843
allusion	Anspielung	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	Verbündete	0.792	0.320	0.688
almanac	Almanach	0.688	0.190	0.412
almighty	allmächtig	0.938	0.874	0.958
almond	Mandel	0.698	0.183	0.314
aloft	oben	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	allein	0.333	0.167	0.216
alongside	neben	0.458	0.333	0.347
aloof	distanziert	0.189	0.423	0.302
aloud	laut	0.458	0.713	0.750
alpha	Alpha	0.708	0.340	0.755
alphabet	Alphabet	0.562	0.204	0.672
alphabetical	alphabetisch	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	jajajaja	0.592	0.717	0.351
altar	Altar	0.724	0.387	0.635
altar boy	Messdiener	0.434	0.206	0.350
alter	ändern	0.333	0.694	0.654
alteration	Änderung	0.167	0.798	0.609
altercation	Auseinandersetzung	0.170	0.806	0.500
altered	verändert	0.255	0.765	0.500
alternate	wechseln	0.625	0.363	0.589
alternating	abwechselnd	0.480	0.494	0.542
alternative	Alternative	0.628	0.373	0.631
altimeter	Höhenmesser	0.615	0.510	0.580
altitude	Höhe	0.708	0.482	0.736
alto	Alt	0.656	0.404	0.730
altogether	insgesamt	0.833	0.324	0.644
aluminum	Aluminium	0.449	0.280	0.434
alumnus	Absolvent	0.633	0.368	0.422
alveolar	alveolär	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	Amalgam	0.438	0.333	0.510
amalgamation	Verschmelzung	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	sammel	0.552	0.465	0.465
amateur	Amateur	0.469	0.500	0.409
amaze	überraschen	0.896	0.843	0.783
amazed	erstaunt	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	Staunen	0.750	0.800	0.639
amazing	tolle	0.906	0.837	0.849
amazingly	erstaunlich	0.918	0.765	0.920
ambassador	Botschafter	0.651	0.529	0.917
amber	Bernstein	0.635	0.308	0.369
ambience	Ambiente	0.735	0.356	0.426
ambient	Umgebungs	0.625	0.360	0.582
ambiguity	Mehrdeutigkeit	0.164	0.460	0.370
ambiguous	mehrdeutig	0.265	0.462	0.358
ambit	Bereich	0.479	0.380	0.386
ambition	Ambition	0.510	0.804	0.661
ambitious	ehrgeizig	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	Ambrosia	0.571	0.452	0.480
ambulance	Krankenwagen	0.500	0.750	0.609
ambush	Hinterhalt	0.281	0.830	0.500
ameliorate	verbessern	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	zugänglich	0.448	0.410	0.406
amend	ändern	0.688	0.406	0.658
amendment	Änderung	0.531	0.459	0.606
amends	ergänzt	0.640	0.366	0.517
amenity	Annehmlichkeit	0.750	0.327	0.574
amethyst	Amethyst	0.622	0.406	0.517
amiable	liebenswürdig	0.847	0.290	0.483
amicable	freundschaftlich	0.875	0.330	0.507
amid	inmitten	0.510	0.340	0.256
amidst	inmitten	0.480	0.330	0.316
amino	Amino	0.551	0.402	0.433
ammo	Munition	0.323	0.765	0.621
ammonia	Ammoniak	0.292	0.587	0.409
ammonium	Ammonium	0.354	0.396	0.368
ammunition	Munition	0.338	0.635	0.667
amnesia	Amnesie	0.296	0.330	0.308
amnesty	Amnestie	0.551	0.451	0.814
amorous	verliebt	0.844	0.670	0.636
amorphous	amorph	0.327	0.402	0.349
amortization	Amortisierung	0.592	0.491	0.522
amount	Menge	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	Ampere	0.439	0.393	0.375
ampersand	Et-Zeichen	0.480	0.448	0.483
amphetamines	Amphetamine	0.133	0.667	0.526
amphibian	Amphibie	0.427	0.357	0.474
amphibious	amphibisch	0.479	0.346	0.445
amphitheater	Amphitheater	0.653	0.480	0.545
ample	reichlich	0.744	0.349	0.719
amplification	Verstärkung	0.690	0.677	0.810
amplify	verstärken	0.677	0.735	0.827
amplitude	Amplitude	0.694	0.439	0.692
amply	reichlich	0.781	0.431	0.766
amputate	amputieren	0.092	0.660	0.509
amputation	Amputation	0.100	0.755	0.483
amuck	Amok	0.385	0.602	0.321
amulet	Amulett	0.781	0.260	0.630
amuse	amüsieren	0.812	0.684	0.664
amused	amüsiert	0.942	0.847	0.596
