Word	Slovenian-sl	Valence	Arousal	Dominance
adhesive	lepilo	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	maščobo	0.333	0.350	0.391
adjacency	sosedstvo	0.365	0.417	0.375
adjacent	bližnji	0.645	0.276	0.536
adjective	pridevnik	0.570	0.316	0.569
adjoining	sosednje	0.520	0.400	0.393
adjourn	prekinitev	0.385	0.456	0.475
adjournment	odlog	0.438	0.510	0.370
adjudicate	odločanje	0.559	0.520	0.683
adjudication	presojanje	0.551	0.462	0.691
adjunct	dodatek	0.459	0.440	0.426
adjust	prilagodite	0.647	0.327	0.638
adjuster	nastavljiv	0.510	0.540	0.760
adjustment	prilagoditev	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	dajanje	0.635	0.425	0.860
administration	uprava	0.625	0.404	0.786
administrative	upravni	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	občudujoče	0.929	0.600	0.870
admiral	Admiral	0.844	0.490	0.847
admiralty	Admiraliteta	0.594	0.547	0.733
admiration	občudovanje	0.969	0.583	0.726
admire	občuduj	0.867	0.692	0.704
admired	občudoval	0.917	0.560	0.815
admirer	občudovalec	0.796	0.720	0.650
admiring	občudujem	0.867	0.578	0.629
admissibility	dopustnost	0.802	0.580	0.602
admissible	dopusten	0.780	0.528	0.642
admission	sprejem	0.802	0.415	0.732
admit	priznati	0.538	0.423	0.667
admittance	sprejem	0.690	0.451	0.598
admitted	priznal	0.720	0.490	0.767
admitting	priznava	0.620	0.500	0.546
admixture	dodatek	0.450	0.375	0.438
admonition	opomin	0.357	0.606	0.455
ado	Ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescence	0.487	0.694	0.444
adolescent	mladostnik	0.781	0.680	0.509
adopt	sprejme	0.694	0.612	0.701
adoption	posvojitev	0.625	0.566	0.589
adoptive	posvojitelj	0.531	0.469	0.520
adorable	čudovito	0.969	0.519	0.457
adoration	oboževanje	0.885	0.699	0.708
adore	obožujem	0.854	0.438	0.657
adoring	oboževati	0.885	0.620	0.717
adorn	krasijo	0.910	0.424	0.482
adornment	okras	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	vzpenjati	0.398	0.486	0.230
adult	odrasla oseba	0.815	0.491	0.787
adulterated	preobremenjen	0.188	0.865	0.370
adulterer	prešuštnik	0.229	0.814	0.407
adultery	prešuštvo	0.120	0.922	0.510
adulthood	odrasla doba	0.541	0.454	0.652
advance	napreduje	0.673	0.472	0.858
advanced	napredno	0.844	0.623	0.797
advancement	napredovanje	0.776	0.650	0.839
advancing	napreduje	0.929	0.608	0.812
advantage	prednost	0.917	0.548	0.859
advantageous	ugodno	0.837	0.640	0.789
advent	prihod	0.665	0.560	0.627
adventure	avantura	0.917	0.857	0.710
adventurer	pustolovec	0.781	0.839	0.868
adventures	avanture	0.812	0.764	0.749
adventurous	pustolovski	0.969	0.898	0.722
adversary	nasprotnik	0.349	0.777	0.457
adverse	neugodno	0.323	0.610	0.385
adversity	nesreča	0.276	0.760	0.538
advertise	oglašujte	0.500	0.529	0.580
advertisement	oglas	0.600	0.566	0.539
advertising	oglaševanje	0.622	0.608	0.632
adverts	oglasov	0.551	0.500	0.595
advice	nasvet	0.698	0.408	0.688
advisable	priporočljivo	0.867	0.480	0.510
advise	svetuje	0.760	0.393	0.705
advised	svetuje	0.823	0.330	0.509
advisement	svetovanje	0.698	0.235	0.655
adviser	svetovalec	0.745	0.362	0.705
advisor	svetovalec	0.646	0.350	0.689
advisory	svetovanje	0.656	0.429	0.633
advocacy	zagovorništvo	0.500	0.646	0.731
advocate	zagovarjati	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	prezračevanje	0.550	0.500	0.433
aerial	antena	0.615	0.461	0.463
aerobics	aerobika	0.708	0.771	0.627
aerodrome	letališče	0.541	0.740	0.678
aerodynamic	aerodinamični	0.561	0.724	0.728
aerodynamics	aerodinamika	0.590	0.663	0.722
aeronautics	aeronavtika	0.551	0.633	0.688
aeroplane	letalo	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	estetsko	0.708	0.442	0.526
aesthetics	estetika	0.847	0.327	0.549
aetiology	etiologija	0.480	0.398	0.615
afar	daleč	0.396	0.373	0.358
affable	prijazno	0.704	0.380	0.452
affair	afera	0.520	0.459	0.657
affect	vplivati	0.458	0.569	0.578
affecting	vplivajo	0.350	0.574	0.394
affection	naklonjenost	0.898	0.559	0.696
affectionate	ljubezniv	0.949	0.422	0.550
affections	naklonjenosti	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	pisna izjava	0.469	0.584	0.526
affiliated	povezano	0.673	0.519	0.535
affiliation	pripadnost	0.615	0.594	0.500
affinity	afiniteto	0.800	0.500	0.537
affirm	potrdi	0.745	0.509	0.731
affirmation	potrditev	0.750	0.500	0.689
affirmative	pritrdilno	0.854	0.589	0.816
affirmatively	pritrdilno	0.908	0.500	0.811
affix	pritrdite	0.438	0.335	0.411
afflict	grozijo	0.302	0.555	0.293
afflicted	prizadeta	0.271	0.500	0.167
affliction	trpljenje	0.294	0.635	0.392
affluence	bogastvo	0.663	0.618	0.722
affluent	bogat	0.756	0.388	0.477
afford	privoščiti	0.571	0.580	0.575
affordable	cenovno dostopne	0.840	0.398	0.493
affront	napasti	0.327	0.740	0.547
affronted	oškodovani	0.385	0.750	0.527
afield	polno	0.594	0.370	0.373
afire	Požar	0.367	0.904	0.675
afloat	na zemljevidu	0.602	0.427	0.444
afore	prej	0.500	0.337	0.382
aforementioned	zgoraj omenjeno	0.490	0.316	0.408
aforesaid	omenjeno	0.531	0.358	0.478
afraid	strah	0.010	0.775	0.245
afresh	ponovno	0.643	0.521	0.480
african	afriški	0.490	0.423	0.555
aft	zadaj	0.480	0.417	0.518
afterlife	posmrtno življenje	0.571	0.567	0.568
aftermath	posledice	0.312	0.449	0.444
afternoon	popoldne	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	pookus	0.354	0.362	0.455
afterthought	pozneje	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	starost	0.561	0.226	0.498
aged	starost	0.135	0.365	0.236
agency	agencija	0.460	0.296	0.583
agenda	dnevni red	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	aglomeracija	0.450	0.765	0.509
aggravate	poslabša	0.224	0.770	0.464
aggravated	poslabšanje	0.079	0.760	0.430
aggravates	poslabša	0.108	0.778	0.357
aggravating	otežuje	0.257	0.794	0.640
aggravation	poslabšanje	0.071	0.784	0.613
aggregate	agregat	0.730	0.378	0.556
aggregation	združevanje	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agresija	0.094	0.929	0.533
aggressive	agresivno	0.125	0.949	0.648
aggressively	agresivno	0.250	0.926	0.688
aggressiveness	agresivnost	0.077	0.913	0.648
aggressor	agresor	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agilno	0.800	0.657	0.775
agility	okretnost	0.720	0.702	0.815
aging	staranje	0.214	0.255	0.284
agitate	agitirati	0.300	0.796	0.593
agitated	vznemirjen	0.444	0.882	0.491
agitation	vznemirjenost	0.240	0.931	0.447
aglow	aglow	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	nazaj	0.317	0.280	0.404
agonizing	agonizira	0.083	0.800	0.340
agony	agonija	0.083	0.775	0.393
agoraphobia	agorafobija	0.127	0.712	0.438
agree	se strinjam	0.906	0.260	0.545
agreeable	prijetno	0.906	0.500	0.696
agreed	dogovorili	0.797	0.449	0.574
agreeing	strinjam se	0.854	0.480	0.557
agreement	sporazum	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	kmetijski	0.686	0.321	0.473
agriculture	kmetijstvo	0.640	0.357	0.465
aground	zmeraj	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	naprej	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	pomoč	0.796	0.491	0.541
aide	pomočnik	0.724	0.342	0.434
aiding	pomoč	0.643	0.533	0.569
aids	pomoč	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	bolan	0.094	0.518	0.153
ailment	bolezen	0.146	0.734	0.277
aim	meriti	0.481	0.569	0.567
aimless	brez cilja	0.150	0.267	0.183
air	zrak	0.708	0.163	0.427
airbag	zračna blazina	0.510	0.402	0.433
airborne	v zraku	0.542	0.519	0.385
aircraft	letala	0.646	0.644	0.691
aircraft carrier	letalonosilka	0.490	0.740	0.727
airfield	letališče	0.601	0.650	0.645
airhead	zračna glava	0.271	0.481	0.276
airlift	zračni promet	0.573	0.622	0.642
airline	letalska družba	0.650	0.482	0.688
airliner	letalski prevoznik	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	letalec	0.587	0.716	0.721
airplane	letalo	0.719	0.702	0.708
airport	letališče	0.729	0.684	0.682
airs	zrak	0.583	0.196	0.370
airship	zrakoplov	0.542	0.472	0.529
airspace	zračni prostor	0.562	0.510	0.640
airspeed	hitrosti	0.583	0.780	0.544
airstrip	pištola	0.550	0.690	0.649
airtight	nepredušno	0.479	0.381	0.570
airway	dihalna pot	0.638	0.585	0.482
aisle	prehod	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	budilka	0.542	0.727	0.642
alarmed	vznemirjen	0.188	0.822	0.492
alarming	zaskrbljujoče	0.204	0.890	0.585
alas	Žal mi je	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkemija	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholno	0.153	0.688	0.361
alcoholism	alkoholizem	0.061	0.779	0.407
alcove	Alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	opozorilo	0.479	0.820	0.648
alertness	budnost	0.375	0.875	0.750
alerts	opozorila	0.337	0.804	0.673
alfalfa	lucerka	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebrski	0.531	0.412	0.441
algorithm	algoritem	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	tujec	0.410	0.615	0.491
alienate	odtuji	0.247	0.500	0.523
alienated	odtujen	0.410	0.423	0.559
alienation	odtujenost	0.378	0.530	0.462
alight	zmeraj	0.667	0.657	0.605
align	poravnaj	0.656	0.364	0.627
aligned	poravnano	0.583	0.275	0.553
alignment	poravnava	0.643	0.412	0.683
alike	podobno	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	alimentacija	0.612	0.477	0.464
aliquot	alikvot	0.440	0.310	0.404
alive	živ	0.816	0.637	0.731
alkali	alkalije	0.490	0.350	0.408
alkaloids	alkaloidi	0.433	0.562	0.402
allay	zmanjšati	0.417	0.406	0.398
allegation	trditev	0.578	0.578	0.608
allege	allege	0.418	0.482	0.587
alleged	domnevno	0.365	0.522	0.520
allegiance	lojalnost	0.917	0.398	0.750
allegorical	alegorično	0.517	0.558	0.598
allegory	alegorija	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alergičen	0.135	0.549	0.273
allergy	alergija	0.296	0.606	0.389
alleviate	ublažiti	0.869	0.270	0.528
alleviation	olajšanje	0.735	0.200	0.491
alley	alley	0.347	0.500	0.355
alleyway	ulica	0.357	0.471	0.382
alliance	zavezništvo	0.696	0.473	0.769
allied	zavezništva	0.714	0.245	0.642
alligator	aligator	0.354	0.704	0.645
allocate	dodelite	0.673	0.462	0.672
allocation	dodelitev	0.604	0.388	0.679
allot	dodelitev	0.622	0.481	0.616
allotment	dodelitev	0.600	0.390	0.640
allow	dovolite	0.698	0.429	0.538
allowable	dovoljeno	0.698	0.500	0.561
allowance	dodatek	0.673	0.382	0.591
allowed	dovoljeno	0.730	0.360	0.655
alloy	zlitine	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	privlačnost	0.804	0.585	0.686
alluring	privlačen	0.837	0.745	0.843
allusion	aluzija	0.440	0.308	0.462
alluvial	aluvialno	0.323	0.490	0.491
ally	zaveznik	0.792	0.320	0.688
almanac	almanah	0.688	0.190	0.412
almighty	vsemogočni	0.938	0.874	0.958
almond	mandelj	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	sam	0.333	0.167	0.216
alongside	skupaj	0.458	0.333	0.347
aloof	aloof	0.189	0.423	0.302
aloud	naglas	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	abeceda	0.562	0.204	0.672
alphabetical	abecedno	0.537	0.296	0.535
alpine	alpski	0.594	0.337	0.474
alreadyyyyy	že že	0.592	0.717	0.351
altar	oltar	0.724	0.387	0.635
altar boy	oltarček	0.434	0.206	0.350
alter	spreminjati	0.333	0.694	0.654
alteration	sprememba	0.167	0.798	0.609
altercation	razburjenje	0.170	0.806	0.500
altered	spremenjen	0.255	0.765	0.500
alternate	nadomestni	0.625	0.363	0.589
alternating	izmenično	0.480	0.494	0.542
alternative	alternativa	0.628	0.373	0.631
altimeter	višinomer	0.615	0.510	0.580
altitude	nadmorske višine	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	skupaj	0.833	0.324	0.644
aluminum	aluminij	0.449	0.280	0.434
alumnus	vzgojitelj	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	združevanje	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	amass	0.552	0.465	0.465
amateur	ljubitelj	0.469	0.500	0.409
amaze	presenetiti	0.896	0.843	0.783
amazed	presenečen	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	presenečenje	0.750	0.800	0.639
amazing	neverjetno	0.906	0.837	0.849
amazingly	neverjetno	0.918	0.765	0.920
ambassador	veleposlanik	0.651	0.529	0.917
amber	oranžna	0.635	0.308	0.369
ambience	ambient	0.735	0.356	0.426
ambient	ambient	0.625	0.360	0.582
ambiguity	dvoumnost	0.164	0.460	0.370
ambiguous	dvoumno	0.265	0.462	0.358
ambit	ambit	0.479	0.380	0.386
ambition	ambicije	0.510	0.804	0.661
ambitious	ambiciozen	0.484	0.821	0.717
ambivalent	ambivalentno	0.510	0.404	0.482
ambrosia	ambrozija	0.571	0.452	0.480
ambulance	rešilca	0.500	0.750	0.609
ambush	zaseda	0.281	0.830	0.500
ameliorate	izboljšati	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	podlage	0.448	0.410	0.406
amend	spremeniti	0.688	0.406	0.658
amendment	sprememba	0.531	0.459	0.606
amends	spremeni	0.640	0.366	0.517
amenity	udobje	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	prijazno	0.847	0.290	0.483
amicable	prijateljski	0.875	0.330	0.507
amid	sredi	0.510	0.340	0.256
amidst	sredi	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	strelivo	0.323	0.765	0.621
ammonia	amoniak	0.292	0.587	0.409
ammonium	amonij	0.354	0.396	0.368
ammunition	strelivo	0.338	0.635	0.667
amnesia	amnezija	0.296	0.330	0.308
amnesty	amnestija	0.551	0.451	0.814
amorous	ljubezen	0.844	0.670	0.636
amorphous	amorfen	0.327	0.402	0.349
amortization	amortizacija	0.592	0.491	0.522
amount	znesek	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	ampersand	0.480	0.448	0.483
amphetamines	amfetamini	0.133	0.667	0.526
amphibian	dvoživka	0.427	0.357	0.474
amphibious	amfibijsko	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	dovolj	0.744	0.349	0.719
amplification	ojačanje	0.690	0.677	0.810
amplify	razširiti	0.677	0.735	0.827
amplitude	amplituda	0.694	0.439	0.692
amply	dobro	0.781	0.431	0.766
amputate	amputirati	0.092	0.660	0.509
amputation	amputacija	0.100	0.755	0.483
amuck	Amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	zabavaj	0.812	0.684	0.664
amused	zabavno	0.942	0.847	0.596
amusement	zabava	0.929	0.837	0.803
amusing	zabavno	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestezija	0.350	0.217	0.473
anaesthetic	anestezija	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgetik	0.417	0.321	0.441
analogous	analogno	0.531	0.270	0.500
analogue	analogni	0.570	0.320	0.446
analogy	analogija	0.510	0.367	0.509
analysis	analiza	0.729	0.448	0.705
analyst	analitik	0.604	0.415	0.755
analytic	analitično	0.665	0.521	0.634
analytical	analitično	0.625	0.324	0.800
analyze	analizirati	0.667	0.462	0.710
analyzer	analizator	0.625	0.556	0.854
anaphylactic	anafilaktična	0.378	0.588	0.500
anarchism	anarhizem	0.125	0.804	0.623
anarchist	anarhist	0.204	0.700	0.759
