Word	Turkish-tr	Valence	Arousal	Dominance
adhering	kalarak	0.612	0.561	0.537
adhesion	yapışma	0.521	0.445	0.586
adhesive	yapıştırıcı	0.604	0.350	0.413
adieu	elveda	0.250	0.471	0.342
adipose	yağ	0.333	0.350	0.391
adjacency	yakınlık	0.365	0.417	0.375
adjacent	bitişik	0.645	0.276	0.536
adjective	sıfat	0.570	0.316	0.569
adjoining	bitişik	0.520	0.400	0.393
adjourn	ertelemek	0.385	0.456	0.475
adjournment	erteleme	0.438	0.510	0.370
adjudicate	ihale etmek	0.559	0.520	0.683
adjudication	hüküm	0.551	0.462	0.691
adjunct	ilave	0.459	0.440	0.426
adjust	ayarlamak	0.647	0.327	0.638
adjuster	ayarlayıcı	0.510	0.540	0.760
adjustment	ayarlama	0.590	0.520	0.661
adjuvant	adjuvan	0.510	0.500	0.456
admin	yönetim	0.688	0.420	0.854
administer	yönetmek	0.635	0.425	0.860
administration	yönetim	0.625	0.404	0.786
administrative	idari	0.542	0.415	0.579
administrator	yönetici	0.538	0.480	0.902
admirable	takdire değer	0.929	0.600	0.870
admiral	amiral	0.844	0.490	0.847
admiralty	amiraller	0.594	0.547	0.733
admiration	hayranlık	0.969	0.583	0.726
admire	beğenmek	0.867	0.692	0.704
admired	hayran	0.917	0.560	0.815
admirer	hayran	0.796	0.720	0.650
admiring	hayran	0.867	0.578	0.629
admissibility	kabul edilebilirlik	0.802	0.580	0.602
admissible	kabul edilebilir	0.780	0.528	0.642
admission	kabul	0.802	0.415	0.732
admit	Kabul et	0.538	0.423	0.667
admittance	giriş	0.690	0.451	0.598
admitted	kabul edilmiş	0.720	0.490	0.767
admitting	itiraf	0.620	0.500	0.546
admixture	karışım	0.450	0.375	0.438
admonition	öğüt	0.357	0.606	0.455
ado	patırtı	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	Gençlik	0.487	0.694	0.444
adolescent	genç	0.781	0.680	0.509
adopt	benimsemek	0.694	0.612	0.701
adoption	Benimseme	0.625	0.566	0.589
adoptive	evlat edinen	0.531	0.469	0.520
adorable	tapılası	0.969	0.519	0.457
adoration	tapınma	0.885	0.699	0.708
adore	tapmak	0.854	0.438	0.657
adoring	sevgi dolu	0.885	0.620	0.717
adorn	süslemek	0.910	0.424	0.482
adornment	süsleme	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	başıboş	0.398	0.486	0.230
adult	yetişkin	0.815	0.491	0.787
adulterated	karışık	0.188	0.865	0.370
adulterer	aldatan erkek	0.229	0.814	0.407
adultery	zina	0.120	0.922	0.510
adulthood	yetişkinlik	0.541	0.454	0.652
advance	ilerlemek	0.673	0.472	0.858
advanced	ileri	0.844	0.623	0.797
advancement	ilerleme	0.776	0.650	0.839
advancing	ilerleyen	0.929	0.608	0.812
advantage	avantaj	0.917	0.548	0.859
advantageous	avantajlı	0.837	0.640	0.789
advent	gelişi	0.665	0.560	0.627
adventure	macera	0.917	0.857	0.710
adventurer	maceraperest	0.781	0.839	0.868
adventures	maceralar	0.812	0.764	0.749
adventurous	maceraperest	0.969	0.898	0.722
adversary	hasım	0.349	0.777	0.457
adverse	ters	0.323	0.610	0.385
adversity	sıkıntı	0.276	0.760	0.538
advertise	duyurmak	0.500	0.529	0.580
advertisement	reklâm	0.600	0.566	0.539
advertising	reklâm	0.622	0.608	0.632
adverts	reklamlar	0.551	0.500	0.595
advice	tavsiye	0.698	0.408	0.688
advisable	uygun	0.867	0.480	0.510
advise	öğüt vermek	0.760	0.393	0.705
advised	tavsiye	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	danışman	0.745	0.362	0.705
advisor	danışman	0.646	0.350	0.689
advisory	danışma	0.656	0.429	0.633
advocacy	savunma	0.500	0.646	0.731
advocate	savunucu	0.551	0.530	0.818
aegis	siper	0.490	0.439	0.462
aeration	havalandırma	0.550	0.500	0.433
aerial	hava	0.615	0.461	0.463
aerobics	aerobik	0.708	0.771	0.627
aerodrome	havaalanı	0.541	0.740	0.678
aerodynamic	aerodinamik	0.561	0.724	0.728
aerodynamics	aerodinamik	0.590	0.663	0.722
aeronautics	havacılık	0.551	0.633	0.688
aeroplane	uçak	0.714	0.642	0.644
aerospace	havacılık	0.643	0.520	0.779
aesthetic	estetik	0.708	0.442	0.526
aesthetics	estetik	0.847	0.327	0.549
aetiology	etiyolojisi	0.480	0.398	0.615
afar	uzaktan	0.396	0.373	0.358
affable	nazik	0.704	0.380	0.452
affair	mesele	0.520	0.459	0.657
affect	etkilemek	0.458	0.569	0.578
affecting	etkileyen	0.350	0.574	0.394
affection	sevgi	0.898	0.559	0.696
affectionate	sevecen	0.949	0.422	0.550
affections	sevgi	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	beyanname	0.469	0.584	0.526
affiliated	bağlı	0.673	0.519	0.535
affiliation	üyelik	0.615	0.594	0.500
affinity	ilgi	0.800	0.500	0.537
affirm	onaylamak	0.745	0.509	0.731
affirmation	doğrulama	0.750	0.500	0.689
affirmative	olumlu	0.854	0.589	0.816
affirmatively	onaylayarak	0.908	0.500	0.811
affix	iliştirmek	0.438	0.335	0.411
afflict	eziyet etmek	0.302	0.555	0.293
afflicted	tutulmuş	0.271	0.500	0.167
affliction	ızdırap	0.294	0.635	0.392
affluence	bolluk	0.663	0.618	0.722
affluent	varlıklı	0.756	0.388	0.477
afford	parası yetmek	0.571	0.580	0.575
affordable	satın alınabilir	0.840	0.398	0.493
affront	hakaret	0.327	0.740	0.547
affronted	affronted	0.385	0.750	0.527
afield	uzağa	0.594	0.370	0.373
afire	bir ateş	0.367	0.904	0.675
afloat	denizde	0.602	0.427	0.444
afore	yukarıda	0.500	0.337	0.382
aforementioned	bahsi geçen	0.490	0.316	0.408
aforesaid	adı geçen	0.531	0.358	0.478
afraid	korkmuş	0.010	0.775	0.245
afresh	yeniden	0.643	0.521	0.480
african	Afrika	0.490	0.423	0.555
aft	kıçta	0.480	0.417	0.518
afterlife	öbür dünya	0.571	0.567	0.568
aftermath	sonrasının	0.312	0.449	0.444
afternoon	öğleden sonra	0.533	0.388	0.339
aftershave	tıraş kremi	0.406	0.384	0.415
aftertaste	ağızda kalan tat	0.354	0.362	0.455
afterthought	sonradan akla gelen düşünce	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	ağzı açık olarak	0.612	0.529	0.464
agate	akik	0.540	0.377	0.483
age	yaş	0.561	0.226	0.498
aged	yaşlı	0.135	0.365	0.236
agency	Ajans	0.460	0.296	0.583
agenda	Gündem	0.531	0.296	0.553
agent	ajan	0.480	0.439	0.755
agglomeration	toplanma	0.450	0.765	0.509
aggravate	ağırlaştırmak	0.224	0.770	0.464
aggravated	ağırlaştırılmış	0.079	0.760	0.430
aggravates	ağırlaştırmaktadır	0.108	0.778	0.357
aggravating	ağırlaştırıcı	0.257	0.794	0.640
aggravation	kızdırma	0.071	0.784	0.613
aggregate	toplam	0.730	0.378	0.556
aggregation	toplanma	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	saldırganlık	0.094	0.929	0.533
aggressive	agresif	0.125	0.949	0.648
aggressively	agresif	0.250	0.926	0.688
aggressiveness	saldırganlık	0.077	0.913	0.648
aggressor	saldırgan	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	donakalmış	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	çevik	0.800	0.657	0.775
agility	çeviklik	0.720	0.702	0.815
aging	yaşlanma	0.214	0.255	0.284
agitate	kışkırtmak	0.300	0.796	0.593
agitated	tedirgin	0.444	0.882	0.491
agitation	çalkalama	0.240	0.931	0.447
aglow	kıpkırmızı	0.780	0.510	0.797
agnostic	agnostik	0.306	0.396	0.574
ago	önce	0.317	0.280	0.404
agonizing	acı veren	0.083	0.800	0.340
agony	ızdırap	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	anlaşmak	0.906	0.260	0.545
agreeable	hoş	0.906	0.500	0.696
agreed	kabul	0.797	0.449	0.574
agreeing	kabul	0.854	0.480	0.557
agreement	anlaşma	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	tarım	0.686	0.321	0.473
agriculture	tarım	0.640	0.357	0.465
aground	karaya oturmuş	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	önde	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	yahu	0.500	0.497	0.380
aid	yardım	0.796	0.491	0.541
aide	yardımcı	0.724	0.342	0.434
aiding	yardım	0.643	0.533	0.569
aids	AIDS	0.561	0.480	0.500
ail	rahatsız	0.375	0.434	0.385
ailing	hasta	0.094	0.518	0.153
ailment	hastalık	0.146	0.734	0.277
aim	amaç	0.481	0.569	0.567
aimless	amaçsız	0.150	0.267	0.183
air	hava	0.708	0.163	0.427
airbag	hava yastığı	0.510	0.402	0.433
airborne	hava indirme	0.542	0.519	0.385
aircraft	uçak	0.646	0.644	0.691
aircraft carrier	uçak gemisi	0.490	0.740	0.727
airfield	havaalanı	0.601	0.650	0.645
airhead	boş kafalı	0.271	0.481	0.276
airlift	hava köprüsü	0.573	0.622	0.642
airline	havayolu	0.650	0.482	0.688
airliner	dev uçak	0.667	0.777	0.647
airlock	hava kilidi	0.398	0.520	0.447
airman	havacı	0.587	0.716	0.721
airplane	uçak	0.719	0.702	0.708
airport	havalimanı	0.729	0.684	0.682
airs	fiyaka	0.583	0.196	0.370
airship	zeplin	0.542	0.472	0.529
airspace	hava boşluğu	0.562	0.510	0.640
airspeed	hava hızı	0.583	0.780	0.544
airstrip	uçak pisti	0.550	0.690	0.649
airtight	hava geçirmez	0.479	0.381	0.570
airway	havayolu	0.638	0.585	0.482
aisle	koridor	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	diğer adıyla	0.459	0.358	0.351
akin	benzeyen	0.639	0.343	0.523
alabaster	kaymaktaşı	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	alarm saati	0.542	0.727	0.642
alarmed	panik	0.188	0.822	0.492
alarming	korkutucu	0.204	0.890	0.585
alas	yazık	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	albüm	0.635	0.349	0.453
alchemy	simya	0.541	0.583	0.693
alcohol	alkol	0.323	0.667	0.377
alcoholic	alkollü	0.153	0.688	0.361
alcoholism	alkolizm	0.061	0.779	0.407
alcove	kameriye	0.490	0.340	0.356
alderman	belediye meclisi üyesi	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	Alarm	0.479	0.820	0.648
alertness	uyanıklık	0.375	0.875	0.750
alerts	uyarılar	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	cebir	0.440	0.340	0.565
algebraic	cebirsel	0.531	0.412	0.441
algorithm	algoritma	0.448	0.394	0.559
alias	takma ad	0.541	0.353	0.333
alibi	mazeret	0.396	0.528	0.556
alien	yabancı	0.410	0.615	0.491
alienate	yabancılaştırmak	0.247	0.500	0.523
alienated	yabancılaşmış	0.410	0.423	0.559
alienation	yabancılaştırma	0.378	0.530	0.462
alight	inmek	0.667	0.657	0.605
align	hizalamak	0.656	0.364	0.627
aligned	hizalı	0.583	0.275	0.553
alignment	hizalanma	0.643	0.412	0.683
alike	benzer	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	nafaka	0.612	0.477	0.464
aliquot	tümbölen	0.440	0.310	0.404
alive	canlı	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloidler	0.433	0.562	0.402
allay	yatıştırmak	0.417	0.406	0.398
allegation	iddia	0.578	0.578	0.608
allege	ileri sürmek	0.418	0.482	0.587
alleged	iddia edilen	0.365	0.522	0.520
allegiance	bağlılık	0.917	0.398	0.750
allegorical	alegorik	0.517	0.558	0.598
allegory	alegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	alerjik	0.135	0.549	0.273
allergy	alerji	0.296	0.606	0.389
alleviate	hafifletmek	0.869	0.270	0.528
alleviation	hafifleme	0.735	0.200	0.491
alley	geçit	0.347	0.500	0.355
alleyway	geçit	0.357	0.471	0.382
alliance	ittifak	0.696	0.473	0.769
allied	müttefik	0.714	0.245	0.642
alligator	timsah	0.354	0.704	0.645
allocate	ayırmak	0.673	0.462	0.672
allocation	tahsis	0.604	0.388	0.679
allot	tahsis	0.622	0.481	0.616
allotment	tahsis	0.600	0.390	0.640
allow	izin vermek	0.698	0.429	0.538
allowable	izin verilebilir	0.698	0.500	0.561
allowance	ödenek	0.673	0.382	0.591
allowed	izin	0.730	0.360	0.655
alloy	alaşım	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	cazibe	0.804	0.585	0.686
alluring	çekici	0.837	0.745	0.843
allusion	kinaye	0.440	0.308	0.462
alluvial	alüvyonlu	0.323	0.490	0.491
ally	müttefik	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	yüce	0.938	0.874	0.958
almond	badem	0.698	0.183	0.314
aloft	havada	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	yalnız	0.333	0.167	0.216
alongside	yanında	0.458	0.333	0.347
aloof	uzak	0.189	0.423	0.302
aloud	yüksek sesle	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabe	0.562	0.204	0.672
alphabetical	alfabetik	0.537	0.296	0.535
alpine	alp	0.594	0.337	0.474
alreadyyyyy	alreadyyyyy	0.592	0.717	0.351
altar	altar	0.724	0.387	0.635
altar boy	sunak çocuğu	0.434	0.206	0.350
alter	değiştirmek	0.333	0.694	0.654
alteration	değişiklik	0.167	0.798	0.609
altercation	tartışma	0.170	0.806	0.500
altered	değişmiş	0.255	0.765	0.500
alternate	alternatif	0.625	0.363	0.589
alternating	alternatif	0.480	0.494	0.542
alternative	alternatif	0.628	0.373	0.631
altimeter	altimetre	0.615	0.510	0.580
altitude	rakım	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tamamen	0.833	0.324	0.644
aluminum	alüminyum	0.449	0.280	0.434
alumnus	mezun erkek	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	malgama	0.438	0.333	0.510
amalgamation	şirketlerin birleşmesi	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	biriktirmek	0.552	0.465	0.465
amateur	amatör	0.469	0.500	0.409
amaze	şaşırtmak	0.896	0.843	0.783
amazed	şaşırmış	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	şaşkınlık	0.750	0.800	0.639
amazing	şaşırtıcı	0.906	0.837	0.849
amazingly	inanılmaz	0.918	0.765	0.920
ambassador	büyükelçi	0.651	0.529	0.917
amber	kehribar	0.635	0.308	0.369
ambience	ortam	0.735	0.356	0.426
ambient	ortam	0.625	0.360	0.582
ambiguity	belirsizlik	0.164	0.460	0.370
ambiguous	belirsiz	0.265	0.462	0.358
ambit	muhit	0.479	0.380	0.386
ambition	hırs	0.510	0.804	0.661
ambitious	hırslı	0.484	0.821	0.717
ambivalent	kararsız	0.510	0.404	0.482
ambrosia	çok lezzetli yemek	0.571	0.452	0.480
ambulance	ambulans	0.500	0.750	0.609
ambush	pusu	0.281	0.830	0.500
ameliorate	düzeltmek	0.770	0.548	0.747
amen	amin	0.781	0.182	0.542
amenable	uysal	0.448	0.410	0.406
amend	değiştirmek	0.688	0.406	0.658
amendment	düzeltme	0.531	0.459	0.606
amends	özür	0.640	0.366	0.517
amenity	tatlılık	0.750	0.327	0.574
amethyst	ametist	0.622	0.406	0.517
amiable	sevimli	0.847	0.290	0.483
amicable	dostane	0.875	0.330	0.507
amid	ortasında	0.510	0.340	0.256
amidst	ortasında	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	cephane	0.323	0.765	0.621
ammonia	amonyak	0.292	0.587	0.409
ammonium	amonyum	0.354	0.396	0.368
ammunition	cephane	0.338	0.635	0.667
amnesia	amnezi	0.296	0.330	0.308
amnesty	af	0.551	0.451	0.814
amorous	aşık	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortisman	0.592	0.491	0.522
amount	Miktar	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amper	0.439	0.393	0.375
ampersand	işareti '&'	0.480	0.448	0.483
amphetamines	amfetaminler	0.133	0.667	0.526
amphibian	amfibi	0.427	0.357	0.474
amphibious	amfibi	0.479	0.346	0.445
amphitheater	amfitiyatro	0.653	0.480	0.545
ample	bol	0.744	0.349	0.719
amplification	amplifikasyon	0.690	0.677	0.810
amplify	yükseltmek	0.677	0.735	0.827
amplitude	genlik	0.694	0.439	0.692
amply	fazlasıyla	0.781	0.431	0.766
amputate	kesmek	0.092	0.660	0.509
amputation	uzvun kesilmesi	0.100	0.755	0.483
amuck	bunalım sonucu öldürme arzusu	0.385	0.602	0.321
amulet	muska	0.781	0.260	0.630
amuse	eğlendirmek	0.812	0.684	0.664
amused	eğlenerek	0.942	0.847	0.596
amusement	eğlence	0.929	0.837	0.803
amusing	eğlenceli	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anakonda	0.146	0.830	0.540
anaesthesia	anestezi	0.350	0.217	0.473
anaesthetic	anestetik	0.449	0.268	0.509
anagram	evirmece	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analjezik	0.417	0.321	0.441
analogous	benzer	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analoji	0.510	0.367	0.509
