"label","text","googleScore","VADER"
"Neutral","Everytime i bun 1, its this tune dat gets repeated! Peepz listen 2 what both are saying...",-0.5,0
"Positive","CHocoolate! :D",0.6,0.556
"Negative","oh my god . i was there & i just about died when he did that .",0,-0.361
"Neutral","i eman 1st best 1 the 3rd 1, 2nd best is the 1st 1, 3rd best is the last 1.",0.2,0.927
"Positive","jimmy carr mkes me happy, ill go and watch that now... u failed",-0.1,-0.34
"Neutral","i was able to get airpwn working. you really need three wirless card to be efficitve",0.1,0
"Neutral","lol",0.3,0.519
"Positive","omg how old is the youngest one?shes really good at guitar :Dgreat job :D",0.6,0.757
"Neutral","@thetruthis9 then he fired jimmy johnson!",-0.1,-0.598
"Positive","fantastic quality thanks so much",0.8,0.758
"Neutral","Beautiful BBw women for dating naneedj.info",0.7,0.599
"Neutral","not specifically for gentiles Quran's message is for all human being, we should avoid using this jewish term gentile. Wasalam",-0.1,-0.296
"Neutral","A little gain,.",0.2,0.478
"Positive","This is really cool, I hope you publish the book, I'd love to read it. If you don't mind, could you tell me what the name of the very first song is. Please and thank-you.5 stars btw",0.3,0.905
"Negative","Listen, fuck off. Just because you have something that is ""yorkshire"" does not mean you have to put t' in front of random fucking words in your desription. Yes we do it but not as fucking much as that. Do you do the subtitles for coronation street? Because apparently lancastrians do it all the time aswell",-0.4,-0.103
"Negative","@bullawaya I never said anything about a one time experience or calvin or spurgeon.",0,0
"Negative","sucked so bad",-0.6,-0.778
"Positive","hella dope!",0.6,0
"Neutral","Yes be an American Scholar.. lol!!!",0.4,0.786
"Positive","Even in 8 bit this music rocks.",0.5,0
"Neutral","It's not that hard.",0,0.076
"Negative","That would be the same scientists who falssified and withheld evidence that contradicted their global warming theory, yes? ",-0.2,0.25
"Negative","watever kid u dont know wat the fuk ur talking about ur stupid y would u say that if ur username is Osiris ",-0.6,-0.527
"Neutral","@Albeider Well, this was made a while back, so rules might have been different.",0.3,0.273
"Positive","NOW THAT'S AN OPENING TO A VIDEO.",0.1,0
"Positive","MY FAVORITE MYRTHA DOES IT AGAIN.",0.5,0.459
"Positive","superba ....",0.1,0
"Positive","Love this scene. F&F are the best couple.",0.6,0.856
"Neutral","............",0.1,0
"Positive","Instant Classic. Boon where are you playing all your synths from?",0.2,0.202
"Positive","Tears in my eyes! I wish they would've talked at least a little about Secretariat's relationship with Eddie Sweat- his indespensible groom! I seriously cannot wait for the movie to come out this fall!!",0.2,0.311
"Negative","REPITITION: CHANGE CHANGE CHANGE CHANGE ""YES WE CAN"" YES WE CAN YES WE CAN LMBO. They're all the same and yes THAT IS TRUE but I have to say the end is near I've never seen as many people mind controlled as with who the NWO just put in power SMART MOVE ON THEIR PART STUPID PEOPLE TO THINK HE IS DIFF. THEN BUSH THEY WORK FOR THE SAME PPL.",-0.3,0.773
"Negative","you would get raped by cross fire.",-0.4,-0.791
"Negative","lmfao 9PRELUDE.",0.2,0.542
"Neutral","1:41 I KNOW THAT GUY WHO'S POINTING! O-e",0,0
"Neutral","you ave been to bradford and to westbury so when are u gonna do trowbridge lol",0.4,0.519
"Neutral","if you wanna help go to thedenanproject.",0.2,0.402
"Neutral","I cant believe anyone would thumbs up Hernje on anything.",0.6,0
"Positive","I know right!!Workout music!!! I <3 Kandi!!",0.5,0.621
"Positive","so do you think black holes definately don't exist or do you think they may or may not exist?",-0.7,0
"Positive","If you like this, check out Quantic.",0.2,0.361
"Neutral","haha no bigge and hmm im on a mac so just try to expian it the best you can k",0.4,0.718
"Neutral","1st to veiw",0.1,0
"Positive","PEACE !",0.2,0.585
"Positive","Thanks. :)",0.6,0.71
"Positive","love the tennis match ,, great video ty",0.8,0.898
"Positive","This is a song that was a signature song for Average White Band that hit the souls of my youths growing up in the city during the 70's. I know, because that's what it did for me and my friends.",0.3,0.586
"Positive","haha they're hilarious together! thank you for subbing =)",0.8,0.893
"Neutral","Hey I just got the same heli! Can you help me? I broke a part on it and need to find a place where to buy spare parts but can't find any online :(",0,-0.636
"Neutral","nice vid",0.5,0.421
"Positive","he's so sweet! i <3 himmmm!",0.4,0.793
"Positive","You looked very nice.",0.2,0.475
"Positive","One of my favorite's by Joanna. She's simply an amazing Musician.",0.4,0.586
"Positive","She's so beautiful!",0.7,0.669
"Neutral","Dude, Its a video, but Im kinda thinking that is a poplar, not a red oak...",-0.4,0
"Neutral","What the hell is that thumb print on the screen thing? Must get one of these, lol! ZX has never been bettered or more up to date than this piece of globalist piece of scanning equipment. Stick to the speccy and dump these mobile phones.",0,-0.63
"Neutral","The joys of alcohol!",0.3,0.541
"Neutral","Yeah, I especially got that vibe with the interconnected Dwarven origins.But Jowan is an idiot, *especially* after you get to know him in the Mage origin.NOOO, we spawned from the base.... BWAHAHAHAHA!",-0.1,-0.338
"Positive","simply incredible.",0.4,0
"Negative","@BritishWarLord >.> ur a fag",-0.8,-0.477
"Neutral","why is the next one your last one",-0.1,0
"Positive","compliment: you have beautiful eyes!! and pretty long lashes too! :)",0.7,0.933
"Positive","Nice job! :)",0.8,0.726
"Positive","ITS CALLED TECHNO! The words make this song important, ""The whole wide world is a very narrow bridge, but the important thing is not to worry.""",0.3,0.719
"Neutral","The guy in the crowd at 1:07 reminds me of David Archuleta...?",0,0
"Negative","fucking cunts.",-0.8,-0.636
"Positive","Will is so talented! He is also my cousin lol",0.6,0.804
"Negative","Only when we remember our ""inalienable rights"" were granted to us by God and not man will we be immune from the brainwashing this documentary uncovered. Those ""crazy"" psychiatrists proved that the inmates are often running the asylum. The Bible could not be more accurate in describing the human heart as ""wicked & deceitful"". We are selfish, play ""mind games"" and try to dominate each other in our families & also internationally. Our only hope resides in our humility and love of God.",0,0.273
"Negative","Tommo is a cockflap. There's shit-all chance of 6 Music being cancelled.",-0.2,0
"Neutral","NPNS - No Plug, No Sale!",-0.6,0.291
"Negative","It's all that damn clown's fault,!!!!TWO FUCKING DOLLARS MAN!!!!",-0.9,-0.595
"Neutral","kwl",0.3,0
"Neutral","@robokill387 That's not what he's trying to get across. Wolves don't make their teeth. He's saying if we were in the wild, With just ourselves, Just like the animal kingdom is, We would be extremely low on the food chain.",-0.3,0.028
"Neutral","@ianxofour yeh and it was easy, like always :D",0.8,0.827
"Positive","a+++ jolly good show",0.6,0.735
"Positive","@itsDezz101 so do i. :o",0.2,-0.169
"Positive","@0rima1 Thanks for commenting and watching!",0.7,0.493
"Positive","this video is really cool",0.6,0.38
"Neutral","@cmayberry86 Jesus also said not to judge",-0.2,0
"Neutral","@abel2fresh4u actually your wrong the tmobile g2 for the us has stock android no sense",-0.8,-0.649
"Positive","Lol... Onion is great...",0.4,0.815
"Neutral","Mhmm... The scene where Danny pushes Lindsay down keeps bothering me... It looks as if it wasn't lindsay... Her hair is black and long...xDAnnoying... I should sleep more...;)",0,-0.382
"Positive","where is the clap!!! that is my favorite part!!!!besides the build at 4:27. the release at 4:45 gives me goosebumps....",0.6,0.633
"Negative","Thats not Texas for you Thats 100% Shamrock right there..... I lived in that town for 3 years and it was a hell hole",0,-0.681
"Neutral","yes i did answer this question a long time ago, but thanks for telling me anyway, i was planning to go from Amman to L.A direct then take another airline to S.F! so i travel with R.J I'll just go to JFK then take a plane from Delta or AA and go to S.F,, P.S Royal Jordanian is a good airliner",0.5,0.87
"Neutral","These ads are becoming parodies of themselves now.",-0.2,0
"Neutral","needs the money, naa he's loaded man",-0.2,0
"Positive","thanks for posting all of these Bernstein Mahler 3 movements. This is not only beautiful music interpretation, but also extremely fine filming. What a find for me here. Thank you.",0.4,0.697
"Neutral","you can get this on anime-online.c()m for ?1 if you want, its good.",0.5,0.494
"Positive","i agree, the last minute and a half is musical perfection. I listen to all genres and I've never heard anything as beautiful as it sounds. It's what I imagine being played in heaven. no joke. It really shows their evolution as a band.",0.3,0.931
"Neutral","where are other episodes.",0,0
"Positive","Hearns all the way. I love Sweetpea, but Hearns was not only a big hitter, he could outbox the hell outta guys as proven by the fact that his only loss by decision was at the age of 35. Hearn's may not of had the best chin but the guys who KO'ed him were big punchers, something Pernell was not IMO.Hearns by UD.",0.2,-0.238
"Positive","I Love you man. Keep up the great work. '?Let your food be your medicine, and your medicine be your food ?"" - Hippocrates...OG gangster.PS: Read Eat,Pray, Love",0.4,0.931
"Negative","U r a weird spaz",-0.4,-0.178
"Positive","tht was a great movie i am excited to meat emily and katharine thunmbs up the werewolf rlly surprised me i had no clue it was a werewolf movie i thought it would be kind of like carrie bc theyw where so outcasted it makes sense jst think about it",0.1,0.813
"Neutral","Okay - I guess your referring to Other video 0-140mph Class 395",-0.2,0.226
"Negative","datwaz rubbish never seen something so rubbish balddyyy",-0.7,0
"Neutral","i'm studying mental health nursing and we are made well aware of the fact that most people who have a mental health problem become fully well. what you say is not borne out in the literature...",0.2,0.201
"Positive","Child, you are such a talent. Love your work and your soulful vibe.Kathryn Keats",0.5,0.791
"Positive","thank you very much!",0.7,0.42
"Neutral","How come there are only guys? Strange...something is being hinted here...",-0.2,0
"Neutral","gonna take you for a ride!",0.1,0
"Positive","I don't have Fibromyalgia but I I do suffer from depression and insomnia. For my depression I take the generic of Prozac which is Fluoxetin. I take 50mg of that. For my insomnia I take the generic of Ambien which is Zolpidem (10-30mg). Usually I'm asleep within 30 minutes of taking the Zolpidem. It is extremely helpful. I hope I was able to help you in any way.",0.2,-0.601
"Negative","For starters it WAS NOT HITLER'S EMBLEM. It was originally the Buddhist Symbol for good luck. That probably explains why Hitler stole it.",-0.3,0.71
"Positive","I love synthesizers! this song is so uplifting and beautiful = )",0.9,0.864
"Positive","that switch back tail vince did near the end was fucken sick!!!!!!!!hopefully he gets turned pro after the chocolate vid drops",-0.3,0
"Positive","That was masterfully done by Kurt Angle! That's why he is one of the best in the wrestling business today! Stone Cold thought he had angle beat and so did Booker T but out of nowhere and within a blink of an eye he turned the tables on them and became the WCW Champion! Well done Kurt Angle!",0.4,0.915
"Neutral","OMG ONLY 47 VIEWS!",0.5,0
"Positive","he is a perfect presentation full package",0.8,0.572
"Neutral","wow i always thought VBIED stood for Very Big IED... lol although i guess it is rathr large...",0.1,0.813
"Positive","I'd do his drummer",0.1,0
"Positive","ba ba booyah! go SPOUSE!",0.1,0
"Positive","Are you kidding!! He made fast ppl look slow. I mean he out ran Darrell green in one game. Who is considered by many ppl the fastest player ever.",0,0.246
"Positive","One of the greatest displays of the human spirit in the history of mankind. The world will now look to Chile for inspiration. They did the impossible, all the trapped miners and rescue workers showed the world what unity is all about.",0.5,0.848
"Neutral","she had a nice butt 30 years ago-?",0,0.421
"Negative","I have the NS7 and all I can say is can't numark just back up one product make that the flagship product and market the hell out of it. Why does numark always do the same thing over and over again? The v7 looks cool but honestly it's just a way to sucker us out of more money.",-0.5,-0.372
"Negative","I've already done so, several times in fact, and all you do is keep citing the same discredited studies, links, and 'authorities'. And you've now expanded your bloviating to include 'every science academy on the planet'...Superlatives such as THAT are concessions on your part...as everyone can see.",0,-0.44
"Positive","This movie is better than what critics have said. The ending is far fetch, but thats hollywood baby.",0.3,0.09
"Neutral","intro \m/",0.1,0
"Positive","AHH im the first to comment aswell!love it roddie",0.6,0
"Negative","Maybe for PtoP, but for multipoint and interop their Codian MCU has to transcode everything! It takes ALOT more than 30ms to transcode 720p, try 300ms.",-0.3,0
"Neutral","hey i seen that tractor just last week =) i got a gold key tour there. wach our 9430 be built",0.3,0.494
"Neutral","toi muon tim lai cac anh qua su lien he cua anh toi Co trung uy nguyen ngoc Rang 81 bcd chuyen sang Loi-Ho , don vi nhay toan cuoi cung KonTum",0,0
"Neutral","i havent watched this show in like months and im glad that they stopped flagging videos",-0.5,0.557
"Neutral","...but an Ideal Standard (1980s batch) handle :-)",0.2,0.82
"Neutral","After watching so many tutorials, i still cant land the plane using ILS. i'm missing few basic things out but dont no exactly what.",-0.3,0.186
"Neutral","Any stock pics this week?",0,0
"Negative","@BudPeters44 Are YOU fucking stupid? You SERIOUSLY believe in a worldwide flood? Like, 2 by 2 the millions of different species of animals skipped onto an ark? Didn't kill eachother, had enough food for their specialized diets for 40 days and were appropr",-0.2,-0.176
"Positive","That's amazing! Now babies and young children can swim by themselves.",0.5,0.624
"Positive","Even though I didn't know it at the time, living in Silver Lake in my early 20s was one of the best experiences of my life. I was going through some hard times back then, and if I hadn't been in such a tolerant, laid back community, my troubles would have metastasized. I will be forever grateful to the community of Silver Lake for giving me the space I needed to become the productive member of society I am today.",0.3,0.807
"Positive","I keep coming back to your performance of this magnificent piece, surely one of the noblest in the organ repertoire. It combines youthful exuberance with a remarkably mature msical insight. A fine organ, too - but I would love to hear you repeat this on a real Cavaill?-Coll - St Sulpice or St Ouen, for example.",0.8,0.923
"Neutral","ya sure you do!??",-0.2,0.45
"Positive","@thecomicbots Nice!!!",0.8,0.568
"Positive","A Tribe is the effen best",0.7,0.637
"Neutral","hes voice sounds so different geez not like the other vestion of game of death the lost fotage",-0.4,-0.808
"Neutral","yea I hope she's alright",0.3,0.599
"Positive","She is absolutely awesome for a 3 year old. It is amazing that she was able to memorize that whole routine at her age. However, I must agree with a lot of the posts. Her poor neck and spine take a lot of impact when she lands on her head like that. I bet a doctor would cringe if? they saw her do that over and over again. Hopefully she won't have any neck or back pain later in life from this. That being said, you are awesome little lady!!!",0.1,0.938
"Positive","Wow the blonde girl is super yummy",0.7,0.902
"Neutral","does that mean he sleep with the queen ?",-0.1,0
"Neutral","I know some of the people in this video! LOL",0.2,0.657
"Neutral","bj is gonna walk right through this guy",0.4,0
"Neutral","@PlasmaSilver11 It sure is.",0.1,0.318
"Positive","i love this song!!! This video is great!",0.8,0.888
"Positive","Genn is made of magic",0.3,0
"Positive","No problem! :]",0.4,-0.168
"Positive","so good! wonder what nick is going to say?",0.7,0.54
"Positive","No way! I played against T Rey at SD Team Tourney years ago (98 ish). And Ahart? Love the shorts and moustache combo! Diggin these old skool vids!!",0.2,0.763
"Neutral","what was up with the abandoned midgets at the end?",-0.3,-0.459
"Neutral","I use this with my 11.5. The recoil reduction is noticeable, but not so much as a good comp like the fsc556.TEST, TEST, TEST this with your duty ammo if you in LE!! It works with Hornady 75 grain TAP, and with the 75 grain practice ammo that I've tried. I've seen it used with 55 grain TAP and 55 grain practice ammo without any trouble, but we didn't use much 55 grain TAP.",0.3,0.89
"Positive","OMG SSSOOOO CUTE :) he looks like my baby yorkie when i got him :) hes a year old now my babi :P",0.3,0.922
"Neutral","You talk to her we translate mworld5.info",0.1,0
"Neutral","ayyy pero no me gusta por que no salen los de mas de los amigos..como mi micky,carlitos,justa,norma.. marina,marquitos, los papas de isa y los de mas...ellos completaban el show :( espero que recrezen al show",0,-0.743
"Negative","you try cooking while giving a presentation, u dick",-0.3,-0.226
"Neutral","Who can watch this?",-0.3,0
"Neutral","panthers on the railway nice",0.6,0.421
"Negative","To me, the bailout was a necessary evil to prevent economic Armageddon. HOWEVER, the bailout should immediately have been followed with the kind of legislation being proposed here by Bernie, in that we force the Treasury to identify those banks that are dangerous to our country and to break them up -- Teddy Roosevelt-style. By taking the bailout, those banks showed that they don't deserve to stay intact.",-0.2,-0.791
"Negative","for earth day, i celebrated by . . going to my local deli, purchasing as many sandwiches as possible, throwing them all in the trash, then taking those styrofoam boxes and digging them deep in the earth in various ity parks. it was awesome. i felt good afterward because i knew i had done my part that day!! also took all the non-biodegradable trash from my garbage and strewn it around as many school gardens as i could find.it truly was a WONDERFUL earth day!! yay!!!!",0.2,0.974
"Positive","Glad you enjoyed it and thanks so much for the kind words!",0.8,0.917
"Neutral","Try warpin Rodney Mullen and his tech skate style",0.5,0
"Positive","Love it! Is the kid Chris' son, maybe?",0.3,0.67
"Positive","I love this show.",0.7,0.637
"Positive","Dude, this is really good. Indeed, the theme music raped my ears, but this was exactly the kind of thing that needs to get posted more often. Bravo.",0.4,-0.179
"Positive","WONDERFUL",0.7,0.572
"Positive","Lol. I can't believe she said "" I am the only white person in the village!""",0,0.564
"Positive","OMG, I had no idea...I'm soooo loving this, Wes! I've been into Grass since I was 15 (preferring BG festivals to rock concerts) and loved The Birchmere back home.",0.8,0.855
"Positive","Good Job.",0.7,0.44
"Negative","i didnt ask u to watch it or comment it so shut up it aint my fault u thought it was porno or something well srry 2 dissapoint ya perv",-0.6,0.52
"Negative","you're horrible lol, fucking clicker go die",-0.5,-0.65
"Positive","2:27 jojo! :D",0.5,0.556
"Neutral","People just cant believe how great this team was and i mean TEAM.",0.8,-0.51
"Negative","Bad audio :(",-0.6,-0.751
"Negative","@5796 I really don't like Ten Chances because players waste the rest of their chances on the 2nd prize.",-0.5,-0.155
"Positive","Niceee",0.9,0
"Positive","OMG That Trey is so fucking sexy",0.7,0.609
"Neutral","it should b 0000 if u havent changed it",-0.2,0
"Negative","how did iran get the S-300!!! please!!",0,0.537
"Positive","great video",0.4,0.625
"Negative","give me the live cow right over the table ill carve off what i want and ride the rest home dum dadadumdadadum",-0.5,-0.361
"Neutral","R.I.P J-ROC",-0.4,0
"Neutral","Haha nojgxbjgegiyfhi",0.3,0.459
"Neutral","HARDCORE",0.1,0
"Positive","Awesome! Thanks. I will drown trying!!! I hope to get it, hopefully tomorrow.",0.4,0.877
"Neutral","i prefer kevins new hair style the old 1 looked like a broken mop.",-0.6,-0.153
"Neutral","yea this is all fine and dandy but it dosnt have any good games yet, so this dosnt even matter.",-0.6,0.66
"Neutral","That made me laugh! Now where are those panties?",0.1,0.598
"Neutral","sometimes i wish my hair was short and styled like that, im sure my alter-ego does her hair like that though :]",0.1,0.904
"Positive","Kim K. recommending Kim S. was sufficient enough for me to get interested. I have been using a modified Snider Investment Method for the last 3 years very successfully. I am very impressed with her both as a system builder, and a financial advisor. Thanks goes to both Kims.Glen",0.7,0.91
"Positive","Like you wouldn't believe. That man makes me want to buy out a BB&B store.",0.2,0.421
"Neutral","um......",0.1,0
"Positive","he is awesome and i now enjoy the cod 4 game play wayyy more now....",0.7,0.866
"Positive","Hey that is really cool. Great background music.I also learned that I need set the camera down instead of holding it. Thanks for teaching this old dog some net tricks.Regards,Gary""Eronstuc""",0.7,0.871
"Negative","@Guaranch pufffffff ... blah blah blah.. girl is your dad,jerk!",-0.5,-0.359
"Positive","AWESUUUMMM!!! first comment! ",0,0
"Negative","fml",-0.2,0
"Negative","It's raining asbestos on them",0.2,0
"Neutral","haha the thing on his helmet",0.4,0.459
"Positive","@celest143 me too :) will watch a few mins :D",0.5,0.743
"Positive","oho, nice ;-)",0.6,0.586
"Neutral","The Library (Michel).",0.3,0
"Positive","cool",0.4,0.318
"Positive","This is a cool video.",0.6,0.318
"Negative","@sethisawesome Playstation and Philips were both paid by Nintendo to make the CD addon. When Nintendo decided ""CDs are not the future of gaming"" (Yeah, nintendo. Ahead of their time, though always leaving their foresight at home) they dumped both and thus",-0.1,-0.128
"Positive","I love watching your videos. No BS plus you have a very nice speaking voice...have you tried out for the Food Channel? Thanks...",0.4,0.84
"Positive","wow was that a tv in there??? weird!",-0.3,0.604
"Neutral","first",0.1,0
"Neutral","Cool David~",0.7,0.318
"Negative","@777Shekel777 , I dont believe in bible codes. I am certain the heavenly father would have said"" I leave you with my living word for your benefit and as a blessing to those who listen to these words... ... but oyu will need a doctorate in history and math",0.5,0.723
"Positive","Some great info! I'm very excited to see more talks from this year get posted!",0.5,0.811
"Neutral","how old do they cast the role?",-0.1,0
"Neutral","inspiring",0.3,0.421
"Positive","awesome!",0.6,0.659
"Neutral","ya know lukes friends at the battle of hoth that flew around with him who he was talking to over the walky talkys in the fighters it was them watch it again and youll see it was episodes 4 and 5",0.3,0.077
"Neutral","NEW , LOL",0.4,0.519
"Positive","I WAS THERE I MET THE AFTER THE CONCERT!!!! hehe THEY'RE AMAZING!!!",0.9,0.772
"Neutral","@HappyWithLife33 no. go dl Fear. way b4 psych and way better I'm sure : )",0,-0.052
"Neutral","That last ""Tun tun tun tun tun tun!"" Cracks me up xD",0.2,0.618
"Positive","I think we all know that the trumpet player was excellent but man on man, the orchestra backing him up was superb. Very musical and followed all the dynamics....true professionals.",0.6,0.846
"Positive","artistic... talented man",0.6,0.511
"Positive","of course that's fake, they have tons of interviews together where they absolutely love each other. Even extras on the dvd where they're all goofing around",0.2,0.338
"Neutral","lol",0.3,0.519
"Positive","4:15, pretty cool moment.",0.7,0.67
"Positive","i just love this song , very goog song :D",0.9,0.83
"Positive","so wonderful job!",0.8,0.647
"Positive","My favorite part was the ending with Jack saying ""Did you miss me?"" Nice!",0.4,0.67
"Neutral","sacredclan/oakclan/iceclan/forestclan/emberclan/ anyother clans ( CLAN VIDEO)",0.5,0
"Negative","A knob wow How old are u kid like 12 what would your mom say if she knew u were using that kinda language .go get a life",-0.1,0.743
"Neutral","I din eat the cookie god... I din eat the cookie!!!",0,0.454
"Positive","Beautiful!",0.7,0.636
"Neutral","yeah they would be able to engage",0.3,0.557
"Negative","raven needs 2 c'm back eric young sucks i wanna c him leave tna g2 shitty wwe",-0.7,-0.743
"Neutral","oh and also how much room is on the delta hang ledge",0.1,0
"Neutral","Great style. Really smooth and clean.",0.8,0.794
"Neutral","OMG. That's so horrible. ",-0.3,-0.585
"Neutral","its a CHICKEN!!! and yep. 50 bucks. :)",0.4,0.725
"Neutral",":D yugioh references lol",0.5,0.768
"Negative","The Republican Party is DEAD!!! LMAO",0.1,0.407
"Positive","awesome",0.6,0.625
"Neutral","with all due respect ithink you need to catagories the contents to make it more fluid in use. just a thought. i dig the bag though",0.2,0.477
"Neutral","As did I",0.1,0
"Negative","Make that 4 people. I hated that guy! We were glad to get rid of him",0,-0.359
"Neutral","i can do that shit...lol :p",0.1,0.25
"Neutral","I am unsure of the grammar here. What would kill himself? How much he states humans?Calm down, re-read and then post. It will be okay. Though I do think he has any allegiance save to knowledge.",0.1,-0.452
"Neutral","@ParkourAmour Actually, it is easier for me to do on bar because my hands DON'T move around freely. On rings, it takes extra effort to maintain your false grip. By the way, I am the guy in the video and on bar I have done this same workout in 20 seconds l",-0.1,0.526
"Neutral","Does anyone know the best winter lure",0.7,0.637
"Neutral","Sick Video!!! 2010 World Cup At Windham Mountain!!",0.3,-0.667
"Neutral","@Drewstorm, not quite correct. Old School was ahead overall in SUB-TOTAL of BOTH the Quarter-Finals AND the Semi-Finals until the Finals, but Storm Front outscored them in both the Semis and the Finals. It's just that the amount by which Storm Front outsc",0,0
"Positive","My favourite ballet. The second act is the best bit, (if there is one!) Thanks for sharing.",0.7,0.88
"Neutral","Tylko po co? wasze ego, chcecie byc wyjatkowi? Otwieracie sie na sily demoniczne, kt?re wykorzystaly sataniste Monroe aby opracowac metode, zwiesc ludzi i odwr?cic od Boga w tym uzalezniajacym procesie z kt?rego ciezko sie wyrwac, a slad na psychice, grzech i duszy pozostaje. Demon juz zawsze bedzie dzialal w waszym zyciu czy tego chcecie czy nie niszczac wasza psychike i zycie. Niekt?rzy przypisza to smiercia i pieklem! Wiecej o zagrozeniach cykl dokumentalny ""Jarmark cud?w"".Nic nie zyskujecie!",0,-0.731
"Neutral","Fairytales can't be changed? Oh, that's not true. We've been changing them since forever!",-0.2,-0.387
"Positive","When Carlos was on LSD playing his guitar, he actualy thought that the neck of his guitar was turning into a snake, so he had to fight that fear and play amazingly at the same time, fucking amazing :D",0.8,0.725
"Positive","that was great fun rick. you are are a fun host too - cracked me up. also great questions and all that. !!!",0.8,0.949
"Neutral","@TerenB1 I also saw it!",0.2,0
"Positive","You are most definitely an open channel! Your videos just keep getting better and better. Your sense of color and balance is amazing.",0.2,0.917
"Positive","Robin Hood is my favourite one!:-) HAHAHA",0.4,0.683
"Positive","dara is not only cute or sexy 2ne1 is not the same like others group they are the best because they are not just cute ,pretty ,sexy unlike the other using that effect but 2ne1 they have everything sexy ,cute, pretty ,hot ,cool and talented !!! go go go dara park and 2ne1",0.9,0.976
"Neutral","Hey Nutnfancy What Blade are you using at 18:00-18:03?",-0.3,0
