English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Turkish Word
abstention	0	0	0	0	0	0	0	0	0	0	çekimser kalma
abstinence	0	0	0	0	0	0	0	0	0	0	yoksunluk
abstract	0	0	0	0	0	0	0	0	0	0	Öz
abstraction	0	0	0	0	0	0	0	0	0	0	soyutlama
absurd	0	0	0	0	0	1	0	0	0	0	absürt
absurdity	0	0	0	0	0	1	0	0	0	0	saçmalık
abundance	0	1	1	0	1	1	1	0	0	1	bolluk
abundant	0	0	0	0	1	0	1	0	0	0	bolluk
abuse	1	0	1	1	0	1	0	1	0	0	taciz
abutment	0	0	0	0	0	0	0	0	0	0	dayanak
aby	0	0	0	0	0	0	0	0	0	0	uçurum
abysmal	0	0	0	0	0	1	0	1	0	0	dipsiz
abyss	0	0	0	1	0	1	0	1	0	0	Uçurum
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	katılmak
accelerate	0	1	0	0	0	0	0	0	0	0	hızlanmak
acceleration	0	0	0	0	0	0	0	0	0	0	hızlanma
accent	0	0	0	0	0	0	0	0	0	0	Aksan
accentuate	0	0	0	0	0	0	0	0	0	0	vurgulamak
accept	0	0	0	0	0	0	0	0	0	0	kabul
acceptable	0	0	0	0	0	0	1	0	0	0	kabul edilebilir
acceptance	0	0	0	0	0	0	1	0	0	0	kabul
access	0	0	0	0	0	0	0	0	0	0	erişim
accessible	0	0	0	0	0	0	1	0	0	0	erişilebilir
accession	0	0	0	0	0	0	0	0	0	0	katılım
accessory	0	0	0	0	0	0	0	0	0	0	aksesuar
accident	0	0	0	1	0	1	0	1	1	0	kaza
accidental	0	0	0	1	0	1	0	0	1	0	tesadüfi
accidentally	0	0	0	0	0	0	0	0	1	0	kazara
accolade	0	1	0	0	1	0	1	0	1	1	övgü
accommodate	0	0	0	0	0	0	0	0	0	0	Karşılamak
accommodation	0	0	0	0	0	0	1	0	0	0	konaklama
accompaniment	0	1	0	0	1	0	1	0	0	1	eşlik
accompany	0	0	0	0	0	0	0	0	0	0	eşlik etmek
accompanying	0	0	0	0	0	0	0	0	0	0	Eşlik eden
accomplice	0	0	0	0	0	0	0	0	0	0	suç ortağı
accomplish	0	0	0	0	1	0	1	0	0	0	sonuçlandırmak
accomplished	0	0	0	0	1	0	1	0	0	0	başarılmış
accomplishment	0	0	0	0	0	0	1	0	0	0	başarı
accord	0	0	0	0	0	0	1	0	0	1	anlaşma
accordance	0	0	0	0	0	0	0	0	0	0	uyum
accordion	0	0	0	0	0	0	0	0	0	0	akordeon
account	0	0	0	0	0	0	0	0	0	1	hesap
accountability	0	0	0	0	0	0	1	0	0	1	Hesap verebilirlik
accountable	0	0	0	0	0	0	1	0	0	1	sorumlu
accountant	0	0	0	0	0	0	0	0	0	1	Muhasebeci
accounting	0	0	0	0	0	0	0	0	0	0	muhasebe
accounts	0	0	0	0	0	0	0	0	0	1	hesaplar
accredited	0	0	0	0	0	0	1	0	0	1	akredite
accretion	0	0	0	0	0	0	0	0	0	0	yığılma
accrue	0	0	0	0	0	0	0	0	0	0	tahakkuk etmek
accueil	0	0	0	0	0	0	1	0	0	0	acele etmek
accumulate	0	0	0	0	0	0	0	0	0	0	biriktirmek
accumulation	0	0	0	0	0	0	0	0	0	0	birikim
accuracy	0	0	0	0	0	0	0	0	0	0	kesinlik
accurate	0	0	0	0	0	0	1	0	0	1	kesin
accursed	1	0	0	1	0	1	0	1	0	0	lanetli
accusation	1	0	1	0	0	1	0	0	0	0	suçlama
accusative	0	0	0	0	0	1	0	0	0	0	suçlayıcı
accused	1	0	0	1	0	1	0	0	0	0	sanık
accuser	1	0	0	1	0	1	0	0	0	0	suçlayıcı
accusing	1	0	0	1	0	1	0	0	0	0	suçlamak
accustomed	0	0	0	0	0	0	0	0	0	0	alışmış
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	asetik
ache	0	0	0	0	0	1	0	1	0	0	ağrı
achieve	0	0	0	0	1	0	1	0	0	1	başarmak
achievement	0	1	0	0	1	0	1	0	0	1	başarı
aching	0	0	0	0	0	1	0	1	0	0	ağrıyan
acid	0	0	0	0	0	1	0	0	0	0	asit
acidity	0	0	0	0	0	0	0	0	0	0	asitlik
acknowledge	0	0	0	0	0	0	0	0	0	0	kabullenmek
acknowledged	0	0	0	0	0	0	0	0	0	0	kabul edildi
acknowledgment	0	0	0	0	0	0	1	0	0	0	teşekkür
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	tanışmak
acquaintance	0	0	0	0	0	0	0	0	0	0	tanıdık
acquainted	0	0	0	0	0	0	0	0	0	0	haberdar olma
acquiescence	0	0	0	0	0	0	0	0	0	0	rıza
acquire	0	0	0	0	0	0	1	0	0	0	elde etmek
acquiring	0	1	0	0	0	0	1	0	0	0	edinme
acquisition	0	0	0	0	0	0	0	0	0	0	kazanma
acquisitions	0	0	0	0	0	0	0	0	0	0	satın almalar
acreage	0	0	0	0	0	0	0	0	0	0	dönüm
acres	0	0	0	0	0	0	0	0	0	0	dönüm
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	davranmak
acting	0	0	0	0	0	0	0	0	0	0	oyunculuk
action	0	0	0	0	0	0	1	0	0	0	eylem
actionable	1	0	1	0	0	1	0	0	0	0	harekete geçirilebilir
active	0	0	0	0	0	0	0	0	0	0	aktif
activity	0	0	0	0	0	0	0	0	0	0	aktivite
actor	0	0	0	0	0	0	0	0	0	0	aktör
actual	0	0	0	0	0	0	1	0	0	0	gerçek
actuality	0	0	0	0	0	0	0	0	0	0	gerçeklik
actuary	0	0	0	0	0	0	0	0	0	0	aktüer
acuity	0	0	0	0	0	0	1	0	0	0	keskinlik
acumen	0	0	0	0	0	0	1	0	0	0	zeka
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akut olarak
adage	0	0	0	0	0	0	0	0	0	0	atasözü
adamant	0	0	0	0	0	0	0	0	0	0	kararlı
adapt	0	0	0	0	0	0	1	0	0	0	adapte olmak
adaptable	0	0	0	0	0	0	1	0	0	0	uyarlanabilir
add	0	0	0	0	0	0	0	0	0	0	Ekle
added	0	0	0	0	0	0	0	0	0	0	katma
addendum	0	0	0	0	0	0	0	0	0	0	zeyilname
adder	1	0	1	1	0	1	0	1	0	0	toplayıcı
addiction	0	0	0	0	0	1	0	0	0	0	bağımlılık
addition	0	0	0	0	0	0	0	0	0	0	ilave
additional	0	0	0	0	0	0	0	0	0	0	ek olarak
additive	0	0	0	0	0	0	0	0	0	0	katkı
address	0	0	0	0	0	0	0	0	0	0	adres
addressee	0	0	0	0	0	0	0	0	0	0	muhatap
addresses	0	1	0	0	0	0	1	0	0	0	adresler
adept	0	0	0	0	0	0	1	0	0	0	usta
adequacy	0	0	0	0	0	0	1	0	0	0	yeterlilik
adequate	0	0	0	0	0	0	0	0	0	0	yeterli
adhere	0	0	0	0	0	0	0	0	0	0	bağlı kalmak
adherence	0	0	0	0	0	0	0	0	0	0	bağlılık
adherent	0	0	0	0	0	0	0	0	0	0	bağlı
adhering	0	0	0	0	0	0	0	0	0	1	bağlı kalmak
adhesion	0	0	0	0	0	0	0	0	0	0	yapışma
adhesive	0	0	0	0	0	0	0	0	0	0	yapıştırıcı
adieu	0	0	0	0	0	0	0	0	0	0	elveda
adipose	0	0	0	0	0	1	0	0	0	0	yağ
adjacency	0	0	0	0	0	0	0	0	0	0	komşuluk
adjacent	0	0	0	0	0	0	0	0	0	0	bitişik
adjective	0	0	0	0	0	0	0	0	0	0	sıfat
adjoining	0	0	0	0	0	0	0	0	0	0	bitişik
adjourn	0	0	0	0	0	0	0	0	0	0	ertelemek
adjournment	0	0	0	0	0	0	0	0	0	0	erteleme
adjudicate	0	0	0	1	0	1	0	0	0	0	hüküm vermek
adjudication	0	0	0	0	0	0	0	0	0	0	hüküm
adjunct	0	0	0	0	0	0	1	0	0	0	ek
adjust	0	0	0	0	0	0	0	0	0	0	ayarlamak
adjustment	0	0	0	0	0	0	0	0	0	0	ayar
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvan
administer	0	0	0	0	0	0	0	0	0	0	yönetmek
administration	0	0	0	0	0	0	0	0	0	0	yönetim
administrative	0	0	0	0	0	0	0	0	0	1	Yönetim
admirable	0	0	0	0	1	0	1	0	0	1	takdire şayan
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	amirallik
admiration	0	0	0	0	1	0	1	0	0	1	hayranlık
admire	0	0	0	0	0	0	1	0	0	1	beğenmek
admirer	0	0	0	0	0	0	1	0	0	0	hayran
admissibility	0	0	0	0	0	0	0	0	0	0	kabul edilebilirlik
admissible	0	0	0	0	0	0	1	0	0	1	kabul edilebilir
admission	0	0	0	0	0	0	0	0	0	0	kabul
admit	0	0	0	0	0	0	0	0	0	0	Kabul et
admittance	0	0	0	0	0	0	0	0	0	0	kabul
admitted	0	0	0	0	0	0	0	0	0	0	kabul edilmiş
admitting	0	0	0	0	0	0	0	0	0	0	kabul etmek
admixture	0	0	0	0	0	0	0	0	0	0	katkı
admonition	0	0	0	1	0	1	0	0	0	0	öğüt
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	Gençlik
adolescent	0	0	0	0	0	0	0	0	0	0	ergen
adopt	0	0	0	0	0	0	0	0	0	0	evlat edinmek
adoption	0	0	0	0	0	0	0	0	0	0	Benimseme
adorable	0	0	0	0	1	0	1	0	0	0	sevimli
adoration	0	0	0	0	1	0	1	0	0	1	hayranlık
adore	0	1	0	0	1	0	1	0	0	1	hayranlık duymak
adorn	0	0	0	0	0	0	0	0	0	0	süslemek
adornment	0	0	0	0	0	0	0	0	0	0	süsleme
adrift	0	1	0	1	0	1	0	1	0	0	sürüklenmek
adult	0	0	0	0	0	0	0	0	0	0	yetişkin
adulterated	0	0	0	0	0	1	0	0	0	0	tahrif edilmiş
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	ilerlemek
advanced	0	0	0	0	0	0	1	0	0	0	ileri
advancement	0	0	0	0	0	0	1	0	0	0	ilerleme
advancing	0	0	0	0	0	0	0	0	0	0	ilerleyen
advantage	0	0	0	0	0	0	1	0	0	0	avantaj
advantageous	0	0	0	0	0	0	1	0	0	0	avantajlı
advent	0	1	0	0	1	0	1	0	0	1	gelişi
adventure	0	1	0	0	0	0	1	0	0	0	macera
adventurer	0	0	0	0	0	0	0	0	0	0	maceracı
adventurous	0	0	0	0	0	0	1	0	0	0	maceracı
adversary	1	0	0	0	0	1	0	0	0	0	düşman
adverse	1	0	1	1	0	1	0	1	0	0	olumsuz
adversity	1	0	0	1	0	1	0	1	0	0	sıkıntı
advertise	0	0	0	0	0	0	0	0	0	0	reklam yapmak
advertisement	0	0	0	0	0	0	0	0	0	0	reklamcılık
advice	0	0	0	0	0	0	0	0	0	1	tavsiye
advisable	0	0	0	0	0	0	1	0	0	1	uygun
advise	0	0	0	0	0	0	1	0	0	1	öğüt vermek
advised	0	0	0	0	0	0	0	0	0	1	tavsiye
advisement	0	0	0	0	0	0	0	0	0	0	tavsiye
adviser	0	0	0	0	0	0	1	0	0	1	danışman
advocacy	1	1	0	0	1	0	1	0	0	1	savunuculuk
advocate	0	0	0	0	0	0	0	0	0	1	savunucu
aegis	0	0	0	0	0	0	0	0	0	0	kalkan
aeration	0	0	0	0	0	0	0	0	0	0	havalandırma
aerial	0	0	0	0	0	0	0	0	0	0	havadan
aerodrome	0	0	0	0	0	0	0	0	0	0	havaalanı
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamik
aeronautics	0	0	0	0	0	0	0	0	0	0	havacılık
aeroplane	0	0	0	0	0	0	0	0	0	0	uçak
aesthetic	0	0	0	0	0	0	1	0	0	0	estetik
aesthetics	0	0	0	0	1	0	1	0	0	0	estetik
aetiology	0	0	0	0	0	0	0	0	0	0	etiyoloji
afar	0	0	0	0	0	0	0	0	0	0	uzaktan
affable	0	0	0	0	0	0	1	0	0	0	nazik
affair	0	0	0	0	0	0	0	0	0	0	mesele
affecting	0	0	0	0	0	0	0	0	0	0	etkileyen
affection	0	0	0	0	1	0	1	0	0	1	alaka
affections	0	0	0	0	0	0	0	0	0	0	sevgiler
affiche	0	0	0	0	0	0	0	0	0	0	Afiş
affidavit	0	0	0	0	0	0	0	0	0	0	beyanname
affiliated	0	0	0	0	0	0	1	0	0	0	bağlı
affiliation	0	0	0	0	0	0	0	0	0	0	üyelik
affinity	0	0	0	0	0	0	0	0	0	0	yakınlık
affirm	0	0	0	0	0	0	1	0	0	1	onaylamak
affirmation	0	0	0	0	0	0	1	0	0	0	onaylama
affirmative	0	0	0	0	0	0	1	0	0	0	olumlu
affirmatively	0	0	0	0	0	0	1	0	0	1	olumlu olarak
affix	0	0	0	0	0	0	0	0	0	0	takmak
afflict	0	0	0	1	0	1	0	1	0	0	ıstırap çekmek
afflicted	0	0	0	0	0	1	0	0	0	0	tutulmuş
affliction	0	0	1	1	0	1	0	1	0	0	ızdırap
affluence	0	0	0	0	1	0	1	0	0	0	zenginlik
affluent	0	0	0	0	0	0	1	0	0	0	zengin
afford	0	0	0	0	0	0	1	0	0	0	parası yetmek
affront	1	0	1	1	0	1	0	1	1	0	hakaret
afield	0	0	0	0	0	0	0	0	0	0	uzakta
afore	0	0	0	0	0	0	0	0	0	0	önce
aforementioned	0	0	0	0	0	0	0	0	0	0	bahsi geçen
aforesaid	0	0	0	0	0	0	0	0	0	0	yukarıda bahsedilen
afraid	0	0	0	1	0	1	0	0	0	0	korkmuş
afresh	0	0	0	0	0	0	0	0	0	0	yeniden
aft	0	0	0	0	0	0	0	0	0	0	kıç
aftermath	1	0	1	1	0	1	0	1	0	0	sonrası
afternoon	0	0	0	0	0	0	0	0	0	0	öğleden sonra
aftertaste	0	0	0	0	0	1	0	0	0	0	ağızda kalan tat
afterthought	0	0	0	0	0	0	0	0	0	0	sonradan düşünülmüş
aga	0	0	0	1	0	0	1	0	0	1	ağa
agate	0	0	0	0	0	0	0	0	0	0	akik
age	0	0	0	0	0	0	0	0	0	0	yaş
aged	0	0	0	0	0	0	0	0	0	0	yaşlı
agency	0	0	0	0	0	0	0	0	0	0	Ajans
agent	0	0	0	0	0	0	0	0	0	0	ajan
agglomeration	0	0	0	0	0	0	0	0	0	0	yığılma
aggravated	1	0	0	0	0	1	0	0	0	0	ağırlaştırılmış
aggravating	1	0	0	0	0	1	0	1	0	0	ağırlaştırıcı
aggravation	1	0	1	0	0	1	0	0	0	0	ağırlaştırma
aggregate	0	0	0	0	0	0	0	0	0	0	agrega
aggregation	0	0	0	0	0	0	0	0	0	0	toplama
aggression	1	0	0	1	0	1	0	0	0	0	saldırganlık
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	saldırgan
aghast	0	0	1	1	0	1	0	0	1	0	dehşete düşmek
agile	0	0	0	0	0	0	1	0	0	0	atik
agility	0	0	0	0	0	0	1	0	0	0	çeviklik
agitated	1	0	0	0	0	1	0	0	0	0	tedirgin
agitation	1	0	0	0	0	1	0	0	0	0	çalkalama
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	evvel
agonizing	0	0	0	1	0	1	0	0	0	0	acı verici
agony	1	0	0	1	0	1	0	1	0	0	ızdırap
agree	0	0	0	0	0	0	1	0	0	0	Katılıyorum
agreeable	0	0	0	0	0	0	1	0	0	1	hoş
agreed	0	0	0	0	0	0	1	0	0	1	kabul
agreeing	0	0	0	0	0	0	1	0	0	1	anlaşmak
agreement	0	0	0	0	0	0	1	0	0	1	anlaşma
agricultural	0	0	0	0	0	0	0	0	0	0	tarımsal
agriculture	0	0	0	0	0	0	1	0	0	0	tarım
aground	0	0	0	0	0	1	0	0	0	0	karaya oturmak
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ilerde
aid	0	0	0	0	0	0	1	0	0	0	yardım
aiding	0	0	0	0	0	0	1	0	0	0	yardım
ail	0	0	0	0	0	1	0	1	0	0	her şey
ailing	0	0	0	1	0	1	0	1	0	0	hasta
ailment	0	0	0	0	0	0	0	0	0	0	rahatsızlık
aim	0	0	0	0	0	0	0	0	0	0	amaç
aimless	0	0	0	0	0	1	0	0	0	0	amaçsız
air	0	0	0	0	0	0	0	0	0	0	hava
airbag	0	0	0	0	0	0	0	0	0	0	hava yastığı
airlift	0	0	0	0	0	0	0	0	0	0	hava ikmali
airline	0	0	0	0	0	0	0	0	0	0	havayolu
airman	0	0	0	0	0	0	0	0	0	0	havacı
airplane	0	0	0	0	0	0	0	0	0	0	uçak
airport	0	1	0	0	0	0	0	0	0	0	havalimanı
airs	0	0	1	0	0	1	0	0	0	0	fiyaka
airship	0	0	0	0	0	0	0	0	0	0	zeplin
aisle	0	0	0	0	0	0	0	0	0	0	koridor
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	aralık
akin	0	0	0	0	0	0	0	0	0	1	benzer
alabaster	0	0	0	0	0	0	1	0	0	0	kaymaktaşı
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	endişe verici
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albüm
alchemy	0	0	0	0	0	0	0	0	0	0	simya
alcohol	0	0	0	0	0	0	0	0	0	0	alkol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkolizm
alcove	0	0	0	0	0	0	0	0	0	0	oyuk
alert	0	0	0	0	0	0	0	0	0	0	Alarm
alertness	0	1	0	1	0	0	1	0	1	0	uyanıklık
alerts	0	1	0	1	0	0	0	0	1	0	uyarılar
alfalfa	0	0	0	0	0	0	0	0	0	0	yonca
algebra	0	0	0	0	0	0	0	0	0	0	cebir
algebraic	0	0	0	0	0	0	0	0	0	0	cebirsel
algorithm	0	0	0	0	0	0	0	0	0	0	algoritma
alibi	0	0	0	0	0	0	0	0	0	0	mazeret
alien	0	0	1	1	0	1	0	0	0	0	yabancı
alienate	1	0	1	0	0	1	0	0	0	0	yabancılaştırmak
alienated	0	0	0	0	0	1	0	1	0	0	yabancılaşmış
alienation	1	0	1	1	0	1	0	1	0	0	yabancılaşma
alight	0	0	0	0	0	0	0	0	0	0	inmek
aligned	0	0	0	0	0	0	0	0	0	0	hizalı
alignment	0	0	0	0	0	0	0	0	0	0	hizalama
alike	0	0	0	0	0	0	0	0	0	0	benzer
alimentation	0	0	0	0	0	0	1	0	0	0	beslenme
alimony	0	0	0	0	0	1	0	0	0	0	nafaka
aliquot	0	0	0	0	0	0	0	0	0	0	alikot
alive	0	1	0	0	1	0	1	0	0	1	canlı
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkoloidler
allay	0	0	0	0	0	0	1	0	0	0	yatıştırmak
allegation	1	0	0	0	0	1	0	0	0	0	iddia
allege	0	0	0	0	0	1	0	0	0	0	iddia etmek
alleged	0	0	0	0	0	0	0	0	0	0	iddia edilen
allegiance	0	0	0	0	0	0	1	0	0	1	bağlılık
allegorical	0	0	0	0	0	0	0	0	0	0	alegorik
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	hafifletmek
alleviation	0	0	0	0	0	0	1	0	0	0	hafifletme
alley	0	0	0	0	0	0	0	0	0	0	sokak
alliance	0	0	0	0	0	0	0	0	0	1	ittifak
allied	0	0	0	0	0	0	1	0	0	1	müttefik
alligator	0	0	0	0	0	0	0	0	0	0	timsah
allocate	0	0	0	0	0	0	0	0	0	0	tahsis etmek
allocation	0	0	0	0	0	0	0	0	0	0	tahsis
allot	0	0	0	0	0	0	0	0	0	0	tahsis etmek
allotment	0	0	0	0	0	0	0	0	0	0	tahsis
allowable	0	0	0	0	0	0	1	0	0	0	izin verilebilir
allowance	0	0	0	0	0	0	0	0	0	0	ödenek
allowed	0	0	0	0	0	0	0	0	0	0	izin verilmiş
alloy	0	0	0	0	0	0	0	0	0	0	alaşım
allure	0	1	0	0	1	0	1	0	1	0	cazibe
alluring	0	0	0	0	0	0	1	0	0	0	çekici
allusion	0	0	0	0	0	0	0	0	0	0	ima
alluvial	0	0	0	0	0	0	0	0	0	0	alüvyon
ally	0	0	0	0	0	0	1	0	0	1	müttefik
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	her şeye kadir
aloft	0	0	0	0	0	0	0	0	0	0	havada
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	yanında
aloof	0	0	0	0	0	1	0	0	0	0	uzak
aloud	0	0	0	0	0	0	0	0	0	0	yüksek sesle
alphabet	0	0	0	0	0	0	0	0	0	0	alfabe
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetik
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	değiştirmek
alteration	0	0	0	0	0	0	0	0	0	0	değişiklik
altercation	1	0	0	0	0	1	0	0	0	0	tartışma
altered	0	0	0	0	0	0	0	0	0	0	değiştirilmiş
alternate	0	0	0	0	0	0	0	0	0	0	alternatif
alternative	0	0	0	0	0	0	0	0	0	0	alternatif
altitude	0	0	0	0	0	0	0	0	0	0	yükseklik
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tamamen
alumnus	0	0	0	0	0	0	0	0	0	0	mezun
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	birleşme
amass	0	0	0	0	0	0	0	0	0	0	yığmak
amateur	0	0	0	0	0	0	0	0	0	0	amatör
amaze	0	0	0	0	0	0	0	0	1	0	şaşırtmak
amazement	0	0	0	0	0	0	0	0	0	0	şaşkınlık
amazingly	0	0	0	0	1	0	1	0	1	0	inanılmaz
ambassador	0	0	0	0	0	0	1	0	0	1	büyükelçi
amber	0	0	0	0	0	0	0	0	0	0	kehribar
ambient	0	0	0	0	0	0	0	0	0	0	ortam
ambiguity	0	0	0	0	0	0	0	0	0	0	belirsizlik
ambiguous	0	0	0	0	0	1	0	0	0	0	belirsiz
ambit	0	0	0	0	0	0	0	0	0	0	ambiyans
ambition	0	1	0	0	1	0	1	0	0	1	hırs
ambitious	0	0	0	0	0	0	0	0	0	0	hırslı
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	pusu
ameliorate	0	0	0	0	0	0	1	0	0	0	düzeltmek
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	uygun
amend	0	0	0	0	0	0	1	0	0	0	değiştirmek
amendment	0	0	0	0	0	0	0	0	0	0	değişiklik
amends	0	0	0	0	0	0	1	0	0	0	düzeltir
amenity	0	0	0	0	0	0	1	0	0	0	kolaylık
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	sevimli
amicable	0	0	0	0	1	0	1	0	0	0	dostane
amid	0	0	0	0	0	0	0	0	0	0	ortasında
amidst	0	0	0	0	0	0	0	0	0	0	ortasında
ammonia	0	0	1	0	0	0	0	0	0	0	amonyak
ammunition	0	0	0	0	0	0	0	0	0	0	mühimmat
amnesia	0	0	0	0	0	1	0	0	0	0	amnezi
amnesty	0	0	0	0	1	0	1	0	0	0	af
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisman
amount	0	0	0	0	0	0	0	0	0	0	tutar
amour	0	1	0	0	1	0	1	0	0	1	aşk
ampersand	0	0	0	0	0	0	0	0	0	0	ve işareti
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminler
