English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Welsh Word
absorbent	0	0	0	0	0	0	0	0	0	0	amsugnol
absorbing	0	0	0	0	0	0	0	0	0	0	amsugno
absorption	0	0	0	0	0	0	0	0	0	0	amsugno
abstain	0	0	0	0	0	0	0	0	0	0	ymatal
abstention	0	0	0	0	0	0	0	0	0	0	ymatal
abstinence	0	0	0	0	0	0	0	0	0	0	ymatal
abstract	0	0	0	0	0	0	0	0	0	0	haniaethol
abstraction	0	0	0	0	0	0	0	0	0	0	tynnu
absurd	0	0	0	0	0	1	0	0	0	0	hurt
absurdity	0	0	0	0	0	1	0	0	0	0	hurtrwydd
abundance	0	1	1	0	1	1	1	0	0	1	helaethrwydd
abundant	0	0	0	0	1	0	1	0	0	0	helaeth
abuse	1	0	1	1	0	1	0	1	0	0	cam-drin
abutment	0	0	0	0	0	0	0	0	0	0	ategwaith
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	affwysol
abyss	0	0	0	1	0	1	0	1	0	0	affwys
academic	0	0	0	0	0	0	1	0	0	1	academaidd
academy	0	0	0	0	0	0	1	0	0	0	academi
accede	0	0	0	0	0	0	0	0	0	0	addef
accelerate	0	1	0	0	0	0	0	0	0	0	cyflymu
acceleration	0	0	0	0	0	0	0	0	0	0	cyflymiad
accent	0	0	0	0	0	0	0	0	0	0	acen
accentuate	0	0	0	0	0	0	0	0	0	0	acenu
accept	0	0	0	0	0	0	0	0	0	0	derbyn
acceptable	0	0	0	0	0	0	1	0	0	0	derbyniol
acceptance	0	0	0	0	0	0	1	0	0	0	derbyniad
access	0	0	0	0	0	0	0	0	0	0	mynediad
accessible	0	0	0	0	0	0	1	0	0	0	hygyrch
accession	0	0	0	0	0	0	0	0	0	0	esgyniad
accessory	0	0	0	0	0	0	0	0	0	0	affeithiwr
accident	0	0	0	1	0	1	0	1	1	0	damwain
accidental	0	0	0	1	0	1	0	0	1	0	damweiniol
accidentally	0	0	0	0	0	0	0	0	1	0	ddamweiniol
accolade	0	1	0	0	1	0	1	0	1	1	clod
accommodate	0	0	0	0	0	0	0	0	0	0	lletya
accommodation	0	0	0	0	0	0	1	0	0	0	llety
accompaniment	0	1	0	0	1	0	1	0	0	1	cyfeiliant
accompany	0	0	0	0	0	0	0	0	0	0	cyfeilio
accompanying	0	0	0	0	0	0	0	0	0	0	yn cyfeilio
accomplice	0	0	0	0	0	0	0	0	0	0	cydweithiwr
accomplish	0	0	0	0	1	0	1	0	0	0	cyflawni
accomplished	0	0	0	0	1	0	1	0	0	0	cyflawni
accomplishment	0	0	0	0	0	0	1	0	0	0	cyflawniad
accord	0	0	0	0	0	0	1	0	0	1	cytuno
accordance	0	0	0	0	0	0	0	0	0	0	unol
accordion	0	0	0	0	0	0	0	0	0	0	acordion
account	0	0	0	0	0	0	0	0	0	1	cyfrif
accountability	0	0	0	0	0	0	1	0	0	1	atebolrwydd
accountable	0	0	0	0	0	0	1	0	0	1	atebol
accountant	0	0	0	0	0	0	0	0	0	1	cyfrifydd
accounting	0	0	0	0	0	0	0	0	0	0	cyfrifeg
accounts	0	0	0	0	0	0	0	0	0	1	cyfrifon
accredited	0	0	0	0	0	0	1	0	0	1	achrededig
accretion	0	0	0	0	0	0	0	0	0	0	croniant
accrue	0	0	0	0	0	0	0	0	0	0	cronni
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	cronni
accumulation	0	0	0	0	0	0	0	0	0	0	croniad
accuracy	0	0	0	0	0	0	0	0	0	0	cywirdeb
accurate	0	0	0	0	0	0	1	0	0	1	gywir
accursed	1	0	0	1	0	1	0	1	0	0	cyfeiliornus
accusation	1	0	1	0	0	1	0	0	0	0	cyhuddiad
accusative	0	0	0	0	0	1	0	0	0	0	cyhuddgar
accused	1	0	0	1	0	1	0	0	0	0	cyhuddedig
accuser	1	0	0	1	0	1	0	0	0	0	cyhuddwr
accusing	1	0	0	1	0	1	0	0	0	0	cyhuddo
accustomed	0	0	0	0	0	0	0	0	0	0	arfer
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	asetig
ache	0	0	0	0	0	1	0	1	0	0	poen
achieve	0	0	0	0	1	0	1	0	0	1	cyflawni
achievement	0	1	0	0	1	0	1	0	0	1	cyflawniad
aching	0	0	0	0	0	1	0	1	0	0	poenus
acid	0	0	0	0	0	1	0	0	0	0	asid
acidity	0	0	0	0	0	0	0	0	0	0	asidedd
acknowledge	0	0	0	0	0	0	0	0	0	0	cydnabod
acknowledged	0	0	0	0	0	0	0	0	0	0	cydnabod
acknowledgment	0	0	0	0	0	0	1	0	0	0	cydnabyddiaeth
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acwstig
acoustics	0	0	0	0	0	0	0	0	0	0	acwsteg
acquaint	0	0	0	0	0	0	0	0	0	0	adnabod
acquaintance	0	0	0	0	0	0	0	0	0	0	cydnabod
acquainted	0	0	0	0	0	0	0	0	0	0	gyfarwydd
acquiescence	0	0	0	0	0	0	0	0	0	0	cydymdeimlad
acquire	0	0	0	0	0	0	1	0	0	0	caffael
acquiring	0	1	0	0	0	0	1	0	0	0	caffael
acquisition	0	0	0	0	0	0	0	0	0	0	caffaeliad
acquisitions	0	0	0	0	0	0	0	0	0	0	caffaeliadau
acreage	0	0	0	0	0	0	0	0	0	0	erwau
acres	0	0	0	0	0	0	0	0	0	0	erwau
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	act
acting	0	0	0	0	0	0	0	0	0	0	actio
action	0	0	0	0	0	0	1	0	0	0	gweithred
actionable	1	0	1	0	0	1	0	0	0	0	gweithredadwy
active	0	0	0	0	0	0	0	0	0	0	gweithgar
activity	0	0	0	0	0	0	0	0	0	0	gweithgaredd
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	gwirioneddol
actuality	0	0	0	0	0	0	0	0	0	0	gwirionedd
actuary	0	0	0	0	0	0	0	0	0	0	actwari
acuity	0	0	0	0	0	0	1	0	0	0	craffter
acumen	0	0	0	0	0	0	1	0	0	0	craffter
acupuncture	0	0	0	0	0	0	0	0	0	0	aciwbigo
acutely	0	0	0	0	0	0	0	0	0	0	acíwt
adage	0	0	0	0	0	0	0	0	0	0	dywediad
adamant	0	0	0	0	0	0	0	0	0	0	pendant
adapt	0	0	0	0	0	0	1	0	0	0	addasu
adaptable	0	0	0	0	0	0	1	0	0	0	addasadwy
add	0	0	0	0	0	0	0	0	0	0	ychwanegu
added	0	0	0	0	0	0	0	0	0	0	wedi adio
addendum	0	0	0	0	0	0	0	0	0	0	atodiad
adder	1	0	1	1	0	1	0	1	0	0	gwiber
addiction	0	0	0	0	0	1	0	0	0	0	caethiwed
addition	0	0	0	0	0	0	0	0	0	0	adio
additional	0	0	0	0	0	0	0	0	0	0	ychwanegol
additive	0	0	0	0	0	0	0	0	0	0	ychwanegyn
address	0	0	0	0	0	0	0	0	0	0	cyfeiriad
addressee	0	0	0	0	0	0	0	0	0	0	derbyniwr
addresses	0	1	0	0	0	0	1	0	0	0	Cyfeiriadau
adept	0	0	0	0	0	0	1	0	0	0	medrus
adequacy	0	0	0	0	0	0	1	0	0	0	digonolrwydd
adequate	0	0	0	0	0	0	0	0	0	0	digonol
adhere	0	0	0	0	0	0	0	0	0	0	ymlynu
adherence	0	0	0	0	0	0	0	0	0	0	ymlyniad
adherent	0	0	0	0	0	0	0	0	0	0	ymlynwr
adhering	0	0	0	0	0	0	0	0	0	1	glynu
adhesion	0	0	0	0	0	0	0	0	0	0	adlyniad
adhesive	0	0	0	0	0	0	0	0	0	0	adlyn
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	cyfagosrwydd
adjacent	0	0	0	0	0	0	0	0	0	0	cyfagos
adjective	0	0	0	0	0	0	0	0	0	0	ansoddair
adjoining	0	0	0	0	0	0	0	0	0	0	cyffiniol
adjourn	0	0	0	0	0	0	0	0	0	0	gohirio
adjournment	0	0	0	0	0	0	0	0	0	0	gohiriad
adjudicate	0	0	0	1	0	1	0	0	0	0	beirniad
adjudication	0	0	0	0	0	0	0	0	0	0	dyfarniad
adjunct	0	0	0	0	0	0	1	0	0	0	ateg
adjust	0	0	0	0	0	0	0	0	0	0	addasu
adjustment	0	0	0	0	0	0	0	0	0	0	addasiad
adjuvant	0	0	0	0	0	0	0	0	0	0	cynorthwyol
administer	0	0	0	0	0	0	0	0	0	0	gweinyddu
administration	0	0	0	0	0	0	0	0	0	0	gweinyddu
administrative	0	0	0	0	0	0	0	0	0	1	gweinyddol
admirable	0	0	0	0	1	0	1	0	0	1	clodwiw
admiral	0	0	0	0	0	0	1	0	0	1	llyngesydd
admiralty	0	0	0	0	0	0	0	0	0	0	morlys
admiration	0	0	0	0	1	0	1	0	0	1	edmygedd
admire	0	0	0	0	0	0	1	0	0	1	edmygu
admirer	0	0	0	0	0	0	1	0	0	0	edmygydd
admissibility	0	0	0	0	0	0	0	0	0	0	derbynioldeb
admissible	0	0	0	0	0	0	1	0	0	1	derbyniol
admission	0	0	0	0	0	0	0	0	0	0	derbyniad
admit	0	0	0	0	0	0	0	0	0	0	cyfaddef
admittance	0	0	0	0	0	0	0	0	0	0	mynediad
admitted	0	0	0	0	0	0	0	0	0	0	cyfaddef
admitting	0	0	0	0	0	0	0	0	0	0	cyfaddef
admixture	0	0	0	0	0	0	0	0	0	0	cymysgedd
admonition	0	0	0	1	0	1	0	0	0	0	cerydd
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	llencyndod
adolescent	0	0	0	0	0	0	0	0	0	0	glasoed
adopt	0	0	0	0	0	0	0	0	0	0	mabwysiadu
adoption	0	0	0	0	0	0	0	0	0	0	mabwysiad
adorable	0	0	0	0	1	0	1	0	0	0	annwyl
adoration	0	0	0	0	1	0	1	0	0	1	addoliad
adore	0	1	0	0	1	0	1	0	0	1	addoli
adorn	0	0	0	0	0	0	0	0	0	0	addurno
adornment	0	0	0	0	0	0	0	0	0	0	addurn
adrift	0	1	0	1	0	1	0	1	0	0	aderyn
adult	0	0	0	0	0	0	0	0	0	0	oedolyn
adulterated	0	0	0	0	0	1	0	0	0	0	godinebus
adultery	0	0	1	0	0	1	0	1	0	0	godineb
advance	0	1	0	1	1	0	1	0	1	0	ymlaen llaw
advanced	0	0	0	0	0	0	1	0	0	0	uwch
advancement	0	0	0	0	0	0	1	0	0	0	dyrchafiad
advancing	0	0	0	0	0	0	0	0	0	0	yn symud ymlaen
advantage	0	0	0	0	0	0	1	0	0	0	Mantais
advantageous	0	0	0	0	0	0	1	0	0	0	manteisiol
advent	0	1	0	0	1	0	1	0	0	1	adfent
adventure	0	1	0	0	0	0	1	0	0	0	antur
adventurer	0	0	0	0	0	0	0	0	0	0	anturiaethwr
adventurous	0	0	0	0	0	0	1	0	0	0	anturus
adversary	1	0	0	0	0	1	0	0	0	0	gwrthwynebwr
adverse	1	0	1	1	0	1	0	1	0	0	anffafriol
adversity	1	0	0	1	0	1	0	1	0	0	adfyd
advertise	0	0	0	0	0	0	0	0	0	0	hysbysebu
advertisement	0	0	0	0	0	0	0	0	0	0	hysbyseb
advice	0	0	0	0	0	0	0	0	0	1	cyngor
advisable	0	0	0	0	0	0	1	0	0	1	doeth
advise	0	0	0	0	0	0	1	0	0	1	cynghori
advised	0	0	0	0	0	0	0	0	0	1	cynghori
advisement	0	0	0	0	0	0	0	0	0	0	cynghor
adviser	0	0	0	0	0	0	1	0	0	1	cynghorwr
advocacy	1	1	0	0	1	0	1	0	0	1	eiriolaeth
advocate	0	0	0	0	0	0	0	0	0	1	eiriolwr
aegis	0	0	0	0	0	0	0	0	0	0	aeg
aeration	0	0	0	0	0	0	0	0	0	0	awyru
aerial	0	0	0	0	0	0	0	0	0	0	awyrol
aerodrome	0	0	0	0	0	0	0	0	0	0	maes awyr
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynameg
aeronautics	0	0	0	0	0	0	0	0	0	0	awyrenneg
aeroplane	0	0	0	0	0	0	0	0	0	0	awyren
aesthetic	0	0	0	0	0	0	1	0	0	0	esthetig
aesthetics	0	0	0	0	1	0	1	0	0	0	estheteg
aetiology	0	0	0	0	0	0	0	0	0	0	achoseg
afar	0	0	0	0	0	0	0	0	0	0	bell
affable	0	0	0	0	0	0	1	0	0	0	hynaws
affair	0	0	0	0	0	0	0	0	0	0	carwriaeth
affecting	0	0	0	0	0	0	0	0	0	0	yn effeithio
affection	0	0	0	0	1	0	1	0	0	1	serchogrwydd
affections	0	0	0	0	0	0	0	0	0	0	serchiadau
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidafid
affiliated	0	0	0	0	0	0	1	0	0	0	cysylltiedig
affiliation	0	0	0	0	0	0	0	0	0	0	ymlyniad
affinity	0	0	0	0	0	0	0	0	0	0	affinedd
affirm	0	0	0	0	0	0	1	0	0	1	cadarnhau
affirmation	0	0	0	0	0	0	1	0	0	0	cadarnhad
affirmative	0	0	0	0	0	0	1	0	0	0	cadarnhaol
affirmatively	0	0	0	0	0	0	1	0	0	1	yn gadarnhaol
affix	0	0	0	0	0	0	0	0	0	0	gosod
afflict	0	0	0	1	0	1	0	1	0	0	cystudd
afflicted	0	0	0	0	0	1	0	0	0	0	cystuddiedig
affliction	0	0	1	1	0	1	0	1	0	0	cystudd
affluence	0	0	0	0	1	0	1	0	0	0	cyfoeth
affluent	0	0	0	0	0	0	1	0	0	0	cefnog
afford	0	0	0	0	0	0	1	0	0	0	fforddio
affront	1	0	1	1	0	1	0	1	1	0	sarhau
afield	0	0	0	0	0	0	0	0	0	0	i ffwrdd
afore	0	0	0	0	0	0	0	0	0	0	o'r blaen
aforementioned	0	0	0	0	0	0	0	0	0	0	crybwylledig
aforesaid	0	0	0	0	0	0	0	0	0	0	uchod
afraid	0	0	0	1	0	1	0	0	0	0	ofn
afresh	0	0	0	0	0	0	0	0	0	0	o'r newydd
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	canlyn
afternoon	0	0	0	0	0	0	0	0	0	0	prynhawn
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	ôl-ystyriaeth
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	oed
aged	0	0	0	0	0	0	0	0	0	0	oed
agency	0	0	0	0	0	0	0	0	0	0	asiantaeth
agent	0	0	0	0	0	0	0	0	0	0	asiant
agglomeration	0	0	0	0	0	0	0	0	0	0	crynhoad
aggravated	1	0	0	0	0	1	0	0	0	0	gwaethygol
aggravating	1	0	0	0	0	1	0	1	0	0	gwaethygu
aggravation	1	0	1	0	0	1	0	0	0	0	gwaethygiad
aggregate	0	0	0	0	0	0	0	0	0	0	agreg
aggregation	0	0	0	0	0	0	0	0	0	0	cydgasgliad
aggression	1	0	0	1	0	1	0	0	0	0	ymosodol
aggressive	1	0	0	1	0	1	0	0	0	0	ymosodol
aggressor	1	0	0	1	0	1	0	0	0	0	ymosodwr
aghast	0	0	1	1	0	1	0	0	1	0	arswyd
agile	0	0	0	0	0	0	1	0	0	0	ystwyth
agility	0	0	0	0	0	0	1	0	0	0	ystwythder
agitated	1	0	0	0	0	1	0	0	0	0	cynhyrfus
agitation	1	0	0	0	0	1	0	0	0	0	cynnwrf
agnostic	0	0	0	0	0	0	0	0	0	0	agnostig
ago	0	0	0	0	0	0	0	0	0	0	yn ôl
agonizing	0	0	0	1	0	1	0	0	0	0	poenus
agony	1	0	0	1	0	1	0	1	0	0	poenau
agree	0	0	0	0	0	0	1	0	0	0	cytuno
agreeable	0	0	0	0	0	0	1	0	0	1	yn gytun
agreed	0	0	0	0	0	0	1	0	0	1	cytuno
agreeing	0	0	0	0	0	0	1	0	0	1	cytuno
agreement	0	0	0	0	0	0	1	0	0	1	cytundeb
agricultural	0	0	0	0	0	0	0	0	0	0	amaethyddol
agriculture	0	0	0	0	0	0	1	0	0	0	amaethyddiaeth
aground	0	0	0	0	0	1	0	0	0	0	ar lawr
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	blaen
aid	0	0	0	0	0	0	1	0	0	0	cymorth
aiding	0	0	0	0	0	0	1	0	0	0	cynorthwyo
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	yn sâl
ailment	0	0	0	0	0	0	0	0	0	0	anhwylder
aim	0	0	0	0	0	0	0	0	0	0	nod
aimless	0	0	0	0	0	1	0	0	0	0	di-nod
air	0	0	0	0	0	0	0	0	0	0	awyr
airbag	0	0	0	0	0	0	0	0	0	0	bag aer
airlift	0	0	0	0	0	0	0	0	0	0	awyrgludiad
airline	0	0	0	0	0	0	0	0	0	0	cwmni hedfan
airman	0	0	0	0	0	0	0	0	0	0	awyrwr
airplane	0	0	0	0	0	0	0	0	0	0	awyren
airport	0	1	0	0	0	0	0	0	0	0	maes Awyr
airs	0	0	1	0	0	1	0	0	0	0	aeron
airship	0	0	0	0	0	0	0	0	0	0	awyrlong
aisle	0	0	0	0	0	0	0	0	0	0	eil
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	yn debyg
alabaster	0	0	0	0	0	0	1	0	0	0	alabastr
alarm	0	0	0	1	0	1	0	0	1	0	larwm
alarming	0	0	0	1	0	1	0	0	1	0	brawychus
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albwm
alchemy	0	0	0	0	0	0	0	0	0	0	alcemi
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholiaeth
alcove	0	0	0	0	0	0	0	0	0	0	cilfach
alert	0	0	0	0	0	0	0	0	0	0	effro
alertness	0	1	0	1	0	0	1	0	1	0	effro
alerts	0	1	0	1	0	0	0	0	1	0	rhybuddion
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraidd
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	estron
alienate	1	0	1	0	0	1	0	0	0	0	dieithrwch
alienated	0	0	0	0	0	1	0	1	0	0	dieithrio
alienation	1	0	1	1	0	1	0	1	0	0	dieithrwch
alight	0	0	0	0	0	0	0	0	0	0	ar dân
aligned	0	0	0	0	0	0	0	0	0	0	alinio
alignment	0	0	0	0	0	0	0	0	0	0	aliniad
alike	0	0	0	0	0	0	0	0	0	0	fel ei gilydd
alimentation	0	0	0	0	0	0	1	0	0	0	ymborth
alimony	0	0	0	0	0	1	0	0	0	0	alimoni
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	yn fyw
alkali	0	0	0	0	0	0	0	0	0	0	alcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloidau
allay	0	0	0	0	0	0	1	0	0	0	ali
allegation	1	0	0	0	0	1	0	0	0	0	honiad
allege	0	0	0	0	0	1	0	0	0	0	honn
alleged	0	0	0	0	0	0	0	0	0	0	honedig
allegiance	0	0	0	0	0	0	1	0	0	1	teyrngarwch
allegorical	0	0	0	0	0	0	0	0	0	0	alegorïaidd
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lliniaru
alleviation	0	0	0	0	0	0	1	0	0	0	lliniaru
alley	0	0	0	0	0	0	0	0	0	0	ali
alliance	0	0	0	0	0	0	0	0	0	1	cynghrair
allied	0	0	0	0	0	0	1	0	0	1	cynghreiriol
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	dyrannu
allocation	0	0	0	0	0	0	0	0	0	0	dyraniad
allot	0	0	0	0	0	0	0	0	0	0	allot
allotment	0	0	0	0	0	0	0	0	0	0	rhandir
allowable	0	0	0	0	0	0	1	0	0	0	caniataol
allowance	0	0	0	0	0	0	0	0	0	0	lwfans
allowed	0	0	0	0	0	0	0	0	0	0	a ganiateir
alloy	0	0	0	0	0	0	0	0	0	0	aloi
allure	0	1	0	0	1	0	1	0	1	0	hudoliaeth
alluring	0	0	0	0	0	0	1	0	0	0	hudolus
allusion	0	0	0	0	0	0	0	0	0	0	cyfeiriant
alluvial	0	0	0	0	0	0	0	0	0	0	llifwaddodol
ally	0	0	0	0	0	0	1	0	0	1	cynghreiriad
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	hollalluog
aloft	0	0	0	0	0	0	0	0	0	0	uchel
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ochr yn ochr
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	yn uchel
alphabet	0	0	0	0	0	0	0	0	0	0	wyddor
alphabetical	0	0	0	0	0	0	0	0	0	0	yn nhrefn yr wyddor
altar	0	0	0	0	0	0	0	0	0	0	allor
alter	0	0	0	0	0	0	0	0	0	0	newid
alteration	0	0	0	0	0	0	0	0	0	0	newidiad
altercation	1	0	0	0	0	1	0	0	0	0	altercation
altered	0	0	0	0	0	0	0	0	0	0	newid
alternate	0	0	0	0	0	0	0	0	0	0	bob yn ail
alternative	0	0	0	0	0	0	0	0	0	0	amgen
altitude	0	0	0	0	0	0	0	0	0	0	uchder
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	yn gyfan gwbl
alumnus	0	0	0	0	0	0	0	0	0	0	cyn-fyfyriwr
alveolar	0	0	0	0	0	0	0	0	0	0	alfeolaidd
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	uno
amass	0	0	0	0	0	0	0	0	0	0	crynhoad
amateur	0	0	0	0	0	0	0	0	0	0	amatur
amaze	0	0	0	0	0	0	0	0	1	0	rhyfeddu
amazement	0	0	0	0	0	0	0	0	0	0	syndod
amazingly	0	0	0	0	1	0	1	0	1	0	yn rhyfeddol
ambassador	0	0	0	0	0	0	1	0	0	1	llysgennad
amber	0	0	0	0	0	0	0	0	0	0	ambr
ambient	0	0	0	0	0	0	0	0	0	0	amgylchiadol
ambiguity	0	0	0	0	0	0	0	0	0	0	amwysedd
ambiguous	0	0	0	0	0	1	0	0	0	0	amwys
ambit	0	0	0	0	0	0	0	0	0	0	cwmpas
ambition	0	1	0	0	1	0	1	0	0	1	uchelgais
ambitious	0	0	0	0	0	0	0	0	0	0	uchelgeisiol
ambulance	0	0	0	1	0	0	0	0	0	1	ambiwlans
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	gwella
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	hylaw
amend	0	0	0	0	0	0	1	0	0	0	diwygio
amendment	0	0	0	0	0	0	0	0	0	0	diwygiad
amends	0	0	0	0	0	0	1	0	0	0	yn diwygio
amenity	0	0	0	0	0	0	1	0	0	0	mwynder
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	hawddgar
amicable	0	0	0	0	1	0	1	0	0	0	cyfeillgar
amid	0	0	0	0	0	0	0	0	0	0	ynghanol
amidst	0	0	0	0	0	0	0	0	0	0	ynghanol
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	bwledi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnest
amorphous	0	0	0	0	0	0	0	0	0	0	amorffaidd
amortization	0	0	0	0	0	0	0	0	0	1	amorteiddiad
amount	0	0	0	0	0	0	0	0	0	0	swm
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
