English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	French Word
accompaniment	0	1	0	0	1	0	1	0	0	1	accompagnement
accompany	0	0	0	0	0	0	0	0	0	0	accompagner
accompanying	0	0	0	0	0	0	0	0	0	0	accompagnement
accomplice	0	0	0	0	0	0	0	0	0	0	complice
accomplish	0	0	0	0	1	0	1	0	0	0	accomplir
accomplished	0	0	0	0	1	0	1	0	0	0	réalisé
accomplishment	0	0	0	0	0	0	1	0	0	0	accomplissement
accord	0	0	0	0	0	0	1	0	0	1	accord
accordance	0	0	0	0	0	0	0	0	0	0	conformité
accordion	0	0	0	0	0	0	0	0	0	0	accordéon
account	0	0	0	0	0	0	0	0	0	1	Compte
accountability	0	0	0	0	0	0	1	0	0	1	responsabilité
accountable	0	0	0	0	0	0	1	0	0	1	redevable
accountant	0	0	0	0	0	0	0	0	0	1	comptable
accounting	0	0	0	0	0	0	0	0	0	0	comptabilité
accounts	0	0	0	0	0	0	0	0	0	1	comptes
accredited	0	0	0	0	0	0	1	0	0	1	accrédité
accretion	0	0	0	0	0	0	0	0	0	0	accumulation
accrue	0	0	0	0	0	0	0	0	0	0	s'accumuler
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	accumuler
accumulation	0	0	0	0	0	0	0	0	0	0	accumulation
accuracy	0	0	0	0	0	0	0	0	0	0	précision
accurate	0	0	0	0	0	0	1	0	0	1	exact
accursed	1	0	0	1	0	1	0	1	0	0	maudit
accusation	1	0	1	0	0	1	0	0	0	0	accusation
accusative	0	0	0	0	0	1	0	0	0	0	accusatif
accused	1	0	0	1	0	1	0	0	0	0	accusé
accuser	1	0	0	1	0	1	0	0	0	0	accusateur
accusing	1	0	0	1	0	1	0	0	0	0	accuser
accustomed	0	0	0	0	0	0	0	0	0	0	habitué
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acétique
ache	0	0	0	0	0	1	0	1	0	0	mal
achieve	0	0	0	0	1	0	1	0	0	1	atteindre
achievement	0	1	0	0	1	0	1	0	0	1	réalisation
aching	0	0	0	0	0	1	0	1	0	0	douloureux
acid	0	0	0	0	0	1	0	0	0	0	acide
acidity	0	0	0	0	0	0	0	0	0	0	acidité
acknowledge	0	0	0	0	0	0	0	0	0	0	reconnaître
acknowledged	0	0	0	0	0	0	0	0	0	0	reconnu
acknowledgment	0	0	0	0	0	0	1	0	0	0	reconnaissance
acme	0	0	0	0	0	0	0	0	0	0	acmé
acoustic	0	0	0	0	0	0	0	0	0	0	acoustique
acoustics	0	0	0	0	0	0	0	0	0	0	acoustique
acquaint	0	0	0	0	0	0	0	0	0	0	informer
acquaintance	0	0	0	0	0	0	0	0	0	0	connaissance
acquainted	0	0	0	0	0	0	0	0	0	0	connaissance
acquiescence	0	0	0	0	0	0	0	0	0	0	consentement
acquire	0	0	0	0	0	0	1	0	0	0	acquérir
acquiring	0	1	0	0	0	0	1	0	0	0	acquérir
acquisition	0	0	0	0	0	0	0	0	0	0	acquisition
acquisitions	0	0	0	0	0	0	0	0	0	0	acquisitions
acreage	0	0	0	0	0	0	0	0	0	0	superficie
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	acrobate
act	0	0	0	0	0	0	0	0	0	0	loi
acting	0	0	0	0	0	0	0	0	0	0	agissant
action	0	0	0	0	0	0	1	0	0	0	action
actionable	1	0	1	0	0	1	0	0	0	0	exploitable
active	0	0	0	0	0	0	0	0	0	0	actif
activity	0	0	0	0	0	0	0	0	0	0	activité
actor	0	0	0	0	0	0	0	0	0	0	acteur de cinéma
actual	0	0	0	0	0	0	1	0	0	0	réel
actuality	0	0	0	0	0	0	0	0	0	0	actualité
actuary	0	0	0	0	0	0	0	0	0	0	actuaire
acuity	0	0	0	0	0	0	1	0	0	0	acuité
acumen	0	0	0	0	0	0	1	0	0	0	perspicacité
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	intensément
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	catégorique
adapt	0	0	0	0	0	0	1	0	0	0	adapter
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	ajouter
added	0	0	0	0	0	0	0	0	0	0	ajoutée
addendum	0	0	0	0	0	0	0	0	0	0	Addenda
adder	1	0	1	1	0	1	0	1	0	0	additionneur
addiction	0	0	0	0	0	1	0	0	0	0	dépendance
addition	0	0	0	0	0	0	0	0	0	0	ajout
additional	0	0	0	0	0	0	0	0	0	0	Additionnel
additive	0	0	0	0	0	0	0	0	0	0	additif
address	0	0	0	0	0	0	0	0	0	0	adresse
addressee	0	0	0	0	0	0	0	0	0	0	destinataire
addresses	0	1	0	0	0	0	1	0	0	0	adresses
adept	0	0	0	0	0	0	1	0	0	0	expert
adequacy	0	0	0	0	0	0	1	0	0	0	adéquation
adequate	0	0	0	0	0	0	0	0	0	0	adéquat
adhere	0	0	0	0	0	0	0	0	0	0	adhérer
adherence	0	0	0	0	0	0	0	0	0	0	adhérence
adherent	0	0	0	0	0	0	0	0	0	0	adhérent
adhering	0	0	0	0	0	0	0	0	0	1	adhérer
adhesion	0	0	0	0	0	0	0	0	0	0	adhésion
adhesive	0	0	0	0	0	0	0	0	0	0	adhésif
adieu	0	0	0	0	0	0	0	0	0	0	Adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipeux
adjacency	0	0	0	0	0	0	0	0	0	0	proximité
adjacent	0	0	0	0	0	0	0	0	0	0	adjacent
adjective	0	0	0	0	0	0	0	0	0	0	adjectif
adjoining	0	0	0	0	0	0	0	0	0	0	attenant
adjourn	0	0	0	0	0	0	0	0	0	0	ajourner
adjournment	0	0	0	0	0	0	0	0	0	0	ajournement
adjudicate	0	0	0	1	0	1	0	0	0	0	juger
adjudication	0	0	0	0	0	0	0	0	0	0	arbitrage
adjunct	0	0	0	0	0	0	1	0	0	0	auxiliaire
adjust	0	0	0	0	0	0	0	0	0	0	régler
adjustment	0	0	0	0	0	0	0	0	0	0	ajustement
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administrer
administration	0	0	0	0	0	0	0	0	0	0	administration
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	amirauté
admiration	0	0	0	0	1	0	1	0	0	1	admiration
admire	0	0	0	0	0	0	1	0	0	1	admirer
admirer	0	0	0	0	0	0	1	0	0	0	admirateur
admissibility	0	0	0	0	0	0	0	0	0	0	recevabilité
admissible	0	0	0	0	0	0	1	0	0	1	admissible
admission	0	0	0	0	0	0	0	0	0	0	admission
admit	0	0	0	0	0	0	0	0	0	0	admettre
admittance	0	0	0	0	0	0	0	0	0	0	admission
admitted	0	0	0	0	0	0	0	0	0	0	admis
admitting	0	0	0	0	0	0	0	0	0	0	admettant
admixture	0	0	0	0	0	0	0	0	0	0	mélange
admonition	0	0	0	1	0	1	0	0	0	0	admonition
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescence
adolescent	0	0	0	0	0	0	0	0	0	0	adolescente
adopt	0	0	0	0	0	0	0	0	0	0	adopter
adoption	0	0	0	0	0	0	0	0	0	0	adoption
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adoration
adore	0	1	0	0	1	0	1	0	0	1	adorer
adorn	0	0	0	0	0	0	0	0	0	0	orner
adornment	0	0	0	0	0	0	0	0	0	0	ornement
adrift	0	1	0	1	0	1	0	1	0	0	à la dérive
adult	0	0	0	0	0	0	0	0	0	0	adulte
adulterated	0	0	0	0	0	1	0	0	0	0	frelaté
adultery	0	0	1	0	0	1	0	1	0	0	adultère
advance	0	1	0	1	1	0	1	0	1	0	avance
advanced	0	0	0	0	0	0	1	0	0	0	Avancée
advancement	0	0	0	0	0	0	1	0	0	0	avancement
advancing	0	0	0	0	0	0	0	0	0	0	avancer
advantage	0	0	0	0	0	0	1	0	0	0	avantage
advantageous	0	0	0	0	0	0	1	0	0	0	avantageux
advent	0	1	0	0	1	0	1	0	0	1	avènement
adventure	0	1	0	0	0	0	1	0	0	0	aventure
adventurer	0	0	0	0	0	0	0	0	0	0	aventurier
adventurous	0	0	0	0	0	0	1	0	0	0	aventureux
adversary	1	0	0	0	0	1	0	0	0	0	adversaire
adverse	1	0	1	1	0	1	0	1	0	0	négatif
adversity	1	0	0	1	0	1	0	1	0	0	adversité
advertise	0	0	0	0	0	0	0	0	0	0	afficher
advertisement	0	0	0	0	0	0	0	0	0	0	publicité
advice	0	0	0	0	0	0	0	0	0	1	conseils
advisable	0	0	0	0	0	0	1	0	0	1	conseillé
advise	0	0	0	0	0	0	1	0	0	1	conseiller
advised	0	0	0	0	0	0	0	0	0	1	informé
advisement	0	0	0	0	0	0	0	0	0	0	avis
adviser	0	0	0	0	0	0	1	0	0	1	conseiller
advocacy	1	1	0	0	1	0	1	0	0	1	plaidoyer
advocate	0	0	0	0	0	0	0	0	0	1	avocat
aegis	0	0	0	0	0	0	0	0	0	0	égide
aeration	0	0	0	0	0	0	0	0	0	0	aération
aerial	0	0	0	0	0	0	0	0	0	0	aérien
aerodrome	0	0	0	0	0	0	0	0	0	0	aérodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aérodynamique
aeronautics	0	0	0	0	0	0	0	0	0	0	aéronautiques
aeroplane	0	0	0	0	0	0	0	0	0	0	avion
aesthetic	0	0	0	0	0	0	1	0	0	0	esthétique
aesthetics	0	0	0	0	1	0	1	0	0	0	esthétique
aetiology	0	0	0	0	0	0	0	0	0	0	étiologie
afar	0	0	0	0	0	0	0	0	0	0	au loin
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	aventure
affecting	0	0	0	0	0	0	0	0	0	0	affectant
affection	0	0	0	0	1	0	1	0	0	1	affection
affections	0	0	0	0	0	0	0	0	0	0	affections
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	déclaration sous serment
affiliated	0	0	0	0	0	0	1	0	0	0	affilié
affiliation	0	0	0	0	0	0	0	0	0	0	affiliation
affinity	0	0	0	0	0	0	0	0	0	0	affinité
affirm	0	0	0	0	0	0	1	0	0	1	affirmer
affirmation	0	0	0	0	0	0	1	0	0	0	affirmation
affirmative	0	0	0	0	0	0	1	0	0	0	affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmativement
affix	0	0	0	0	0	0	0	0	0	0	affixe
afflict	0	0	0	1	0	1	0	1	0	0	affliger
afflicted	0	0	0	0	0	1	0	0	0	0	affligé
affliction	0	0	1	1	0	1	0	1	0	0	affliction
affluence	0	0	0	0	1	0	1	0	0	0	richesse
affluent	0	0	0	0	0	0	1	0	0	0	affluent
afford	0	0	0	0	0	0	1	0	0	0	s'offrir
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	un champ
afore	0	0	0	0	0	0	0	0	0	0	avant
aforementioned	0	0	0	0	0	0	0	0	0	0	susmentionné
aforesaid	0	0	0	0	0	0	0	0	0	0	précité
afraid	0	0	0	1	0	1	0	0	0	0	peur
afresh	0	0	0	0	0	0	0	0	0	0	de nouveau
aft	0	0	0	0	0	0	0	0	0	0	à l'arrière
aftermath	1	0	1	1	0	1	0	1	0	0	conséquences
afternoon	0	0	0	0	0	0	0	0	0	0	après midi
aftertaste	0	0	0	0	0	1	0	0	0	0	arrière-goût
afterthought	0	0	0	0	0	0	0	0	0	0	après coup
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	âge
aged	0	0	0	0	0	0	0	0	0	0	vieilli
agency	0	0	0	0	0	0	0	0	0	0	agence
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	une agglomération
aggravated	1	0	0	0	0	1	0	0	0	0	aggravé
aggravating	1	0	0	0	0	1	0	1	0	0	aggravant
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	agrégat
aggregation	0	0	0	0	0	0	0	0	0	0	agrégation
aggression	1	0	0	1	0	1	0	0	0	0	agression
aggressive	1	0	0	1	0	1	0	0	0	0	agressif
aggressor	1	0	0	1	0	1	0	0	0	0	agresseur
aghast	0	0	1	1	0	1	0	0	1	0	atterré
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agilité
agitated	1	0	0	0	0	1	0	0	0	0	agité
agitation	1	0	0	0	0	1	0	0	0	0	agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostique
ago	0	0	0	0	0	0	0	0	0	0	depuis
agonizing	0	0	0	1	0	1	0	0	0	0	angoissant
agony	1	0	0	1	0	1	0	1	0	0	agonie
agree	0	0	0	0	0	0	1	0	0	0	Je suis d'accord
agreeable	0	0	0	0	0	0	1	0	0	1	agréable
agreed	0	0	0	0	0	0	1	0	0	1	convenu
agreeing	0	0	0	0	0	0	1	0	0	1	être d'accord
agreement	0	0	0	0	0	0	1	0	0	1	accord
agricultural	0	0	0	0	0	0	0	0	0	0	agricole
agriculture	0	0	0	0	0	0	1	0	0	0	agriculture
aground	0	0	0	0	0	1	0	0	0	0	échoué
agua	0	0	0	0	0	0	0	0	0	0	eau
ahead	0	0	0	0	0	0	1	0	0	0	en avant
aid	0	0	0	0	0	0	1	0	0	0	aide
aiding	0	0	0	0	0	0	1	0	0	0	aider
ail	0	0	0	0	0	1	0	1	0	0	tout
ailing	0	0	0	1	0	1	0	1	0	0	malade
ailment	0	0	0	0	0	0	0	0	0	0	maladie
aim	0	0	0	0	0	0	0	0	0	0	objectif
aimless	0	0	0	0	0	1	0	0	0	0	sans but
air	0	0	0	0	0	0	0	0	0	0	air
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	pont aérien
airline	0	0	0	0	0	0	0	0	0	0	Compagnie aérienne
airman	0	0	0	0	0	0	0	0	0	0	aviateur
airplane	0	0	0	0	0	0	0	0	0	0	avion
airport	0	1	0	0	0	0	0	0	0	0	aéroport
airs	0	0	1	0	0	1	0	0	0	0	des airs
airship	0	0	0	0	0	0	0	0	0	0	dirigeable
aisle	0	0	0	0	0	0	0	0	0	0	allée
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	entrouvert
akin	0	0	0	0	0	0	0	0	0	1	proche
alabaster	0	0	0	0	0	0	1	0	0	0	albâtre
alarm	0	0	0	1	0	1	0	0	1	0	alarme
alarming	0	0	0	1	0	1	0	0	1	0	alarmant
alb	0	0	0	0	0	0	0	0	0	1	aube
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimie
alcohol	0	0	0	0	0	0	0	0	0	0	de l'alcool
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoolisme
alcove	0	0	0	0	0	0	0	0	0	0	alcôve
alert	0	0	0	0	0	0	0	0	0	0	alerte
alertness	0	1	0	1	0	0	1	0	1	0	vigilance
alerts	0	1	0	1	0	0	0	0	1	0	alertes
alfalfa	0	0	0	0	0	0	0	0	0	0	luzerne
algebra	0	0	0	0	0	0	0	0	0	0	algèbre
algebraic	0	0	0	0	0	0	0	0	0	0	algébrique
algorithm	0	0	0	0	0	0	0	0	0	0	algorithme
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	extraterrestre
alienate	1	0	1	0	0	1	0	0	0	0	aliéner
alienated	0	0	0	0	0	1	0	1	0	0	aliéné
alienation	1	0	1	1	0	1	0	1	0	0	aliénation
alight	0	0	0	0	0	0	0	0	0	0	une lumière
aligned	0	0	0	0	0	0	0	0	0	0	aligné
alignment	0	0	0	0	0	0	0	0	0	0	alignement
alike	0	0	0	0	0	0	0	0	0	0	ressemblent
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	pension
aliquot	0	0	0	0	0	0	0	0	0	0	aliquote
alive	0	1	0	0	1	0	1	0	0	1	vivant
alkali	0	0	0	0	0	0	0	0	0	0	alcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloïdes
allay	0	0	0	0	0	0	1	0	0	0	apaiser
allegation	1	0	0	0	0	1	0	0	0	0	allégation
allege	0	0	0	0	0	1	0	0	0	0	alléguer
alleged	0	0	0	0	0	0	0	0	0	0	allégué
allegiance	0	0	0	0	0	0	1	0	0	1	allégeance
allegorical	0	0	0	0	0	0	0	0	0	0	allégorique
allegory	0	0	0	0	0	0	0	0	0	0	allégorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	soulager
alleviation	0	0	0	0	0	0	1	0	0	0	allégement
alley	0	0	0	0	0	0	0	0	0	0	ruelle
alliance	0	0	0	0	0	0	0	0	0	1	Alliance
allied	0	0	0	0	0	0	1	0	0	1	allié
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	allouer
allocation	0	0	0	0	0	0	0	0	0	0	allocation
allot	0	0	0	0	0	0	0	0	0	0	attribuer
allotment	0	0	0	0	0	0	0	0	0	0	attribution
allowable	0	0	0	0	0	0	1	0	0	0	admissible
allowance	0	0	0	0	0	0	0	0	0	0	allocation
allowed	0	0	0	0	0	0	0	0	0	0	autorisé
alloy	0	0	0	0	0	0	0	0	0	0	alliage
allure	0	1	0	0	1	0	1	0	1	0	séduire
alluring	0	0	0	0	0	0	1	0	0	0	séduisant
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	allié
almanac	0	0	0	0	0	0	0	0	0	0	almanach
almighty	0	0	0	0	0	0	1	0	0	0	tout-puissant
aloft	0	0	0	0	0	0	0	0	0	0	en haut
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	aux côtés de
aloof	0	0	0	0	0	1	0	0	0	0	distant
aloud	0	0	0	0	0	0	0	0	0	0	à haute voix
alphabet	0	0	0	0	0	0	0	0	0	0	alphabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alphabétique
altar	0	0	0	0	0	0	0	0	0	0	autel
alter	0	0	0	0	0	0	0	0	0	0	modifier
alteration	0	0	0	0	0	0	0	0	0	0	altération
altercation	1	0	0	0	0	1	0	0	0	0	altercation
altered	0	0	0	0	0	0	0	0	0	0	altéré
alternate	0	0	0	0	0	0	0	0	0	0	alterner
alternative	0	0	0	0	0	0	0	0	0	0	alternative
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tout à fait
alumnus	0	0	0	0	0	0	0	0	0	0	ancien élève
alveolar	0	0	0	0	0	0	0	0	0	0	alvéolaire
amalgam	0	0	0	0	0	0	0	0	0	0	amalgame
amalgamation	0	0	0	0	0	0	0	0	0	0	fusion
amass	0	0	0	0	0	0	0	0	0	0	amasser
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	étonner
amazement	0	0	0	0	0	0	0	0	0	0	stupéfaction
amazingly	0	0	0	0	1	0	1	0	1	0	étonnamment
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadeur
amber	0	0	0	0	0	0	0	0	0	0	ambre
ambient	0	0	0	0	0	0	0	0	0	0	ambiant
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguïté
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguë
ambit	0	0	0	0	0	0	0	0	0	0	portée
ambition	0	1	0	0	1	0	1	0	0	1	ambition
ambitious	0	0	0	0	0	0	0	0	0	0	ambitieux
ambulance	0	0	0	1	0	0	0	0	0	1	ambulance
ambush	1	0	0	1	0	1	0	0	1	0	embuscade
ameliorate	0	0	0	0	0	0	1	0	0	0	améliorer
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	docile
amend	0	0	0	0	0	0	1	0	0	0	modifier
amendment	0	0	0	0	0	0	0	0	0	0	amendement
amends	0	0	0	0	0	0	1	0	0	0	amende
amenity	0	0	0	0	0	0	1	0	0	0	aménité
amethyst	0	0	0	0	0	0	0	0	0	0	améthyste
amiable	0	0	0	0	0	0	1	0	0	0	aimable
amicable	0	0	0	0	1	0	1	0	0	0	amical
amid	0	0	0	0	0	0	0	0	0	0	parmi
amidst	0	0	0	0	0	0	0	0	0	0	au milieu de
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniac
ammunition	0	0	0	0	0	0	0	0	0	0	munition
amnesia	0	0	0	0	0	1	0	0	0	0	amnésie
amnesty	0	0	0	0	1	0	1	0	0	0	amnistie
amorphous	0	0	0	0	0	0	0	0	0	0	amorphe
amortization	0	0	0	0	0	0	0	0	0	1	amortissement
amount	0	0	0	0	0	0	0	0	0	0	montant
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	esperluette
amphetamines	0	0	1	0	0	1	0	0	0	0	amphétamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibie
amphibious	0	0	0	0	0	0	0	0	0	0	amphibie
amphitheater	0	0	0	0	0	0	0	0	0	0	amphithéâtre
amplification	0	0	0	0	0	0	0	0	0	0	amplification
amplify	0	0	0	0	0	0	0	0	0	0	amplifier
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
amply	0	0	0	0	0	0	0	0	0	0	amplement
amputation	0	0	0	0	0	0	0	0	0	0	amputation
amulet	0	0	0	0	0	0	0	0	0	0	amulette
amuse	0	0	0	0	1	0	1	0	0	0	amuser
amused	0	0	0	0	1	0	1	0	0	0	amusé
amusement	0	0	0	0	1	0	1	0	0	0	amusement
amusing	0	0	0	0	1	0	1	0	0	0	amusant
ana	0	0	0	0	0	0	0	0	0	0	Ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
anaesthesia	0	0	0	0	0	0	0	0	0	0	anesthésie
anaesthetic	0	0	0	0	0	0	0	0	0	0	anesthésique
