English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Marathi Word
abstract	0	0	0	0	0	0	0	0	0	0	गोषवारा
abstraction	0	0	0	0	0	0	0	0	0	0	अमूर्तता
absurd	0	0	0	0	0	1	0	0	0	0	मूर्ख
absurdity	0	0	0	0	0	1	0	0	0	0	मूर्खपणा
abundance	0	1	1	0	1	1	1	0	0	1	विपुलता
abundant	0	0	0	0	1	0	1	0	0	0	मुबलक
abuse	1	0	1	1	0	1	0	1	0	0	गैरवर्तन
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	अत्यंत
abyss	0	0	0	1	0	1	0	1	0	0	अथांग
academic	0	0	0	0	0	0	1	0	0	1	शैक्षणिक
academy	0	0	0	0	0	0	1	0	0	0	अकादमी
accede	0	0	0	0	0	0	0	0	0	0	प्रवेश
accelerate	0	1	0	0	0	0	0	0	0	0	गती वाढवणे
acceleration	0	0	0	0	0	0	0	0	0	0	प्रवेग
accent	0	0	0	0	0	0	0	0	0	0	उच्चारण
accentuate	0	0	0	0	0	0	0	0	0	0	जोर देणे
accept	0	0	0	0	0	0	0	0	0	0	स्वीकारा
acceptable	0	0	0	0	0	0	1	0	0	0	स्वीकार्य
acceptance	0	0	0	0	0	0	1	0	0	0	स्वीकृती
access	0	0	0	0	0	0	0	0	0	0	प्रवेश
accessible	0	0	0	0	0	0	1	0	0	0	प्रवेश करण्यायोग्य
accession	0	0	0	0	0	0	0	0	0	0	प्रवेश
accessory	0	0	0	0	0	0	0	0	0	0	ऍक्सेसरी
accident	0	0	0	1	0	1	0	1	1	0	अपघात
accidental	0	0	0	1	0	1	0	0	1	0	अपघाती
accidentally	0	0	0	0	0	0	0	0	1	0	चुकून
accolade	0	1	0	0	1	0	1	0	1	1	प्रशंसा
accommodate	0	0	0	0	0	0	0	0	0	0	सामावून घेणे
accommodation	0	0	0	0	0	0	1	0	0	0	निवास
accompaniment	0	1	0	0	1	0	1	0	0	1	सोबत
accompany	0	0	0	0	0	0	0	0	0	0	सोबत
accompanying	0	0	0	0	0	0	0	0	0	0	सोबत
accomplice	0	0	0	0	0	0	0	0	0	0	साथीदार
accomplish	0	0	0	0	1	0	1	0	0	0	पूर्ण करणे
accomplished	0	0	0	0	1	0	1	0	0	0	पूर्ण केले
accomplishment	0	0	0	0	0	0	1	0	0	0	सिद्धी
accord	0	0	0	0	0	0	1	0	0	1	एकमत
accordance	0	0	0	0	0	0	0	0	0	0	त्यानुसार
accordion	0	0	0	0	0	0	0	0	0	0	एकॉर्डियन
account	0	0	0	0	0	0	0	0	0	1	खाते
accountability	0	0	0	0	0	0	1	0	0	1	जबाबदारी
accountable	0	0	0	0	0	0	1	0	0	1	जबाबदार
accountant	0	0	0	0	0	0	0	0	0	1	लेखापाल
accounting	0	0	0	0	0	0	0	0	0	0	लेखा
accounts	0	0	0	0	0	0	0	0	0	1	खाती
accredited	0	0	0	0	0	0	1	0	0	1	मान्यताप्राप्त
accretion	0	0	0	0	0	0	0	0	0	0	वाढ
accrue	0	0	0	0	0	0	0	0	0	0	जमा करणे
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	जमा करणे
accumulation	0	0	0	0	0	0	0	0	0	0	जमा
accuracy	0	0	0	0	0	0	0	0	0	0	अचूकता
accurate	0	0	0	0	0	0	1	0	0	1	अचूक
accursed	1	0	0	1	0	1	0	1	0	0	शापित
accusation	1	0	1	0	0	1	0	0	0	0	आरोप
accusative	0	0	0	0	0	1	0	0	0	0	आरोपात्मक
accused	1	0	0	1	0	1	0	0	0	0	आरोपी
accuser	1	0	0	1	0	1	0	0	0	0	आरोप करणारा
accusing	1	0	0	1	0	1	0	0	0	0	आरोप करणे
accustomed	0	0	0	0	0	0	0	0	0	0	नित्याचा
ace	0	0	0	0	0	0	1	0	0	0	निपुण
acetic	0	0	0	0	0	0	0	0	0	0	एसिटिक
ache	0	0	0	0	0	1	0	1	0	0	वेदना
achieve	0	0	0	0	1	0	1	0	0	1	साध्य करणे
achievement	0	1	0	0	1	0	1	0	0	1	उपलब्धी
aching	0	0	0	0	0	1	0	1	0	0	दुखणे
acid	0	0	0	0	0	1	0	0	0	0	आम्ल
acidity	0	0	0	0	0	0	0	0	0	0	आंबटपणा
acknowledge	0	0	0	0	0	0	0	0	0	0	कबूल करणे
acknowledged	0	0	0	0	0	0	0	0	0	0	मान्य केले
acknowledgment	0	0	0	0	0	0	1	0	0	0	पोचपावती
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ध्वनिक
acoustics	0	0	0	0	0	0	0	0	0	0	ध्वनीशास्त्र
acquaint	0	0	0	0	0	0	0	0	0	0	परिचित
acquaintance	0	0	0	0	0	0	0	0	0	0	ओळख
acquainted	0	0	0	0	0	0	0	0	0	0	परिचित
acquiescence	0	0	0	0	0	0	0	0	0	0	मान्यता
acquire	0	0	0	0	0	0	1	0	0	0	घेणे
acquiring	0	1	0	0	0	0	1	0	0	0	प्राप्त करणे
acquisition	0	0	0	0	0	0	0	0	0	0	संपादन
acquisitions	0	0	0	0	0	0	0	0	0	0	संपादन
acreage	0	0	0	0	0	0	0	0	0	0	एकर
acres	0	0	0	0	0	0	0	0	0	0	एकर
acrobat	0	0	0	1	1	0	1	0	0	1	एक्रोबॅट
act	0	0	0	0	0	0	0	0	0	0	कृती
acting	0	0	0	0	0	0	0	0	0	0	अभिनय
action	0	0	0	0	0	0	1	0	0	0	क्रिया
actionable	1	0	1	0	0	1	0	0	0	0	कारवाई करण्यायोग्य
active	0	0	0	0	0	0	0	0	0	0	सक्रिय
activity	0	0	0	0	0	0	0	0	0	0	क्रियाकलाप
actor	0	0	0	0	0	0	0	0	0	0	अभिनेता
actual	0	0	0	0	0	0	1	0	0	0	वास्तविक
actuality	0	0	0	0	0	0	0	0	0	0	वास्तविकता
actuary	0	0	0	0	0	0	0	0	0	0	वास्तविक
acuity	0	0	0	0	0	0	1	0	0	0	तीक्ष्णता
acumen	0	0	0	0	0	0	1	0	0	0	कुशाग्र बुद्धिमत्ता
acupuncture	0	0	0	0	0	0	0	0	0	0	एक्यूपंक्चर
acutely	0	0	0	0	0	0	0	0	0	0	तीव्रतेने
adage	0	0	0	0	0	0	0	0	0	0	म्हण
adamant	0	0	0	0	0	0	0	0	0	0	अविचल
adapt	0	0	0	0	0	0	1	0	0	0	जुळवून घेणे
adaptable	0	0	0	0	0	0	1	0	0	0	जुळवून घेण्यायोग्य
add	0	0	0	0	0	0	0	0	0	0	जोडा
added	0	0	0	0	0	0	0	0	0	0	जोडले
addendum	0	0	0	0	0	0	0	0	0	0	परिशिष्ट
adder	1	0	1	1	0	1	0	1	0	0	जोडणारा
addiction	0	0	0	0	0	1	0	0	0	0	व्यसन
addition	0	0	0	0	0	0	0	0	0	0	या व्यतिरिक्त
additional	0	0	0	0	0	0	0	0	0	0	अतिरिक्त
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	पत्ता
addressee	0	0	0	0	0	0	0	0	0	0	पत्ता
addresses	0	1	0	0	0	0	1	0	0	0	पत्ते
adept	0	0	0	0	0	0	1	0	0	0	योग्य
adequacy	0	0	0	0	0	0	1	0	0	0	पर्याप्तता
adequate	0	0	0	0	0	0	0	0	0	0	पुरेसे
adhere	0	0	0	0	0	0	0	0	0	0	पालन
adherence	0	0	0	0	0	0	0	0	0	0	पालन
adherent	0	0	0	0	0	0	0	0	0	0	अनुयायी
adhering	0	0	0	0	0	0	0	0	0	1	पालन
adhesion	0	0	0	0	0	0	0	0	0	0	आसंजन
adhesive	0	0	0	0	0	0	0	0	0	0	चिकट
adieu	0	0	0	0	0	0	0	0	0	0	निरोप
adipose	0	0	0	0	0	1	0	0	0	0	वसा
adjacency	0	0	0	0	0	0	0	0	0	0	संलग्नता
adjacent	0	0	0	0	0	0	0	0	0	0	समीप
adjective	0	0	0	0	0	0	0	0	0	0	विशेषण
adjoining	0	0	0	0	0	0	0	0	0	0	शेजारील
adjourn	0	0	0	0	0	0	0	0	0	0	स्थगित करणे
adjournment	0	0	0	0	0	0	0	0	0	0	स्थगिती
adjudicate	0	0	0	1	0	1	0	0	0	0	निर्णय घेणे
adjudication	0	0	0	0	0	0	0	0	0	0	निर्णय
adjunct	0	0	0	0	0	0	1	0	0	0	सहायक
adjust	0	0	0	0	0	0	0	0	0	0	समायोजित करा
adjustment	0	0	0	0	0	0	0	0	0	0	समायोजन
adjuvant	0	0	0	0	0	0	0	0	0	0	सहायक
administer	0	0	0	0	0	0	0	0	0	0	प्रशासन
administration	0	0	0	0	0	0	0	0	0	0	प्रशासन
administrative	0	0	0	0	0	0	0	0	0	1	प्रशासकीय
admirable	0	0	0	0	1	0	1	0	0	1	प्रशंसनीय
admiral	0	0	0	0	0	0	1	0	0	1	अॅडमिरल
admiralty	0	0	0	0	0	0	0	0	0	0	नौकानयन
admiration	0	0	0	0	1	0	1	0	0	1	प्रशंसा
admire	0	0	0	0	0	0	1	0	0	1	प्रशंसा
admirer	0	0	0	0	0	0	1	0	0	0	प्रशंसक
admissibility	0	0	0	0	0	0	0	0	0	0	स्वीकार्यता
admissible	0	0	0	0	0	0	1	0	0	1	स्वीकार्य
admission	0	0	0	0	0	0	0	0	0	0	प्रवेश
admit	0	0	0	0	0	0	0	0	0	0	कबूल करा
admittance	0	0	0	0	0	0	0	0	0	0	प्रवेश
admitted	0	0	0	0	0	0	0	0	0	0	दाखल
admitting	0	0	0	0	0	0	0	0	0	0	कबूल करणे
admixture	0	0	0	0	0	0	0	0	0	0	मिश्रण
admonition	0	0	0	1	0	1	0	0	0	0	सूचना
ado	0	0	0	0	0	0	0	0	0	0	अडचण
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	पौगंडावस्थेतील
adolescent	0	0	0	0	0	0	0	0	0	0	पौगंडावस्थेतील
adopt	0	0	0	0	0	0	0	0	0	0	दत्तक घेणे
adoption	0	0	0	0	0	0	0	0	0	0	दत्तक
adorable	0	0	0	0	1	0	1	0	0	0	मोहक
adoration	0	0	0	0	1	0	1	0	0	1	आराधना
adore	0	1	0	0	1	0	1	0	0	1	पूजा करणे
adorn	0	0	0	0	0	0	0	0	0	0	सुशोभित करणे
adornment	0	0	0	0	0	0	0	0	0	0	अलंकार
adrift	0	1	0	1	0	1	0	1	0	0	वाहून जाणे
adult	0	0	0	0	0	0	0	0	0	0	प्रौढ
adulterated	0	0	0	0	0	1	0	0	0	0	भेसळयुक्त
adultery	0	0	1	0	0	1	0	1	0	0	व्यभिचार
advance	0	1	0	1	1	0	1	0	1	0	प्रगती
advanced	0	0	0	0	0	0	1	0	0	0	प्रगत
advancement	0	0	0	0	0	0	1	0	0	0	प्रगती
advancing	0	0	0	0	0	0	0	0	0	0	पुढे जात आहे
advantage	0	0	0	0	0	0	1	0	0	0	फायदा
advantageous	0	0	0	0	0	0	1	0	0	0	फायदेशीर
advent	0	1	0	0	1	0	1	0	0	1	आगमन
adventure	0	1	0	0	0	0	1	0	0	0	साहस
adventurer	0	0	0	0	0	0	0	0	0	0	साहसी
adventurous	0	0	0	0	0	0	1	0	0	0	साहसी
adversary	1	0	0	0	0	1	0	0	0	0	शत्रू
adverse	1	0	1	1	0	1	0	1	0	0	प्रतिकूल
adversity	1	0	0	1	0	1	0	1	0	0	प्रतिकूलता
advertise	0	0	0	0	0	0	0	0	0	0	जाहिरात करा
advertisement	0	0	0	0	0	0	0	0	0	0	जाहिरात
advice	0	0	0	0	0	0	0	0	0	1	सल्ला
advisable	0	0	0	0	0	0	1	0	0	1	सल्ला दिला जातो
advise	0	0	0	0	0	0	1	0	0	1	सल्ला
advised	0	0	0	0	0	0	0	0	0	1	सल्ला दिला
advisement	0	0	0	0	0	0	0	0	0	0	सल्ला
adviser	0	0	0	0	0	0	1	0	0	1	सल्लागार
advocacy	1	1	0	0	1	0	1	0	0	1	वकिली
advocate	0	0	0	0	0	0	0	0	0	1	वकील
aegis	0	0	0	0	0	0	0	0	0	0	एजिस
aeration	0	0	0	0	0	0	0	0	0	0	वायुवीजन
aerial	0	0	0	0	0	0	0	0	0	0	हवाई
aerodrome	0	0	0	0	0	0	0	0	0	0	एरोड्रोम
aerodynamics	0	0	0	0	0	0	0	0	0	0	वायुगतिकी
aeronautics	0	0	0	0	0	0	0	0	0	0	वैमानिक
aeroplane	0	0	0	0	0	0	0	0	0	0	विमान
aesthetic	0	0	0	0	0	0	1	0	0	0	सौंदर्याचा
aesthetics	0	0	0	0	1	0	1	0	0	0	सौंदर्यशास्त्र
aetiology	0	0	0	0	0	0	0	0	0	0	एटिओलॉजी
afar	0	0	0	0	0	0	0	0	0	0	दूर
affable	0	0	0	0	0	0	1	0	0	0	प्रेमळ
affair	0	0	0	0	0	0	0	0	0	0	प्रकरण
affecting	0	0	0	0	0	0	0	0	0	0	प्रभावित करत आहे
affection	0	0	0	0	1	0	1	0	0	1	आपुलकी
affections	0	0	0	0	0	0	0	0	0	0	आपुलकी
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	प्रतिज्ञापत्र
affiliated	0	0	0	0	0	0	1	0	0	0	संलग्न
affiliation	0	0	0	0	0	0	0	0	0	0	संलग्नता
affinity	0	0	0	0	0	0	0	0	0	0	आत्मीयता
affirm	0	0	0	0	0	0	1	0	0	1	पुष्टी
affirmation	0	0	0	0	0	0	1	0	0	0	पुष्टीकरण
affirmative	0	0	0	0	0	0	1	0	0	0	होकारार्थी
affirmatively	0	0	0	0	0	0	1	0	0	1	होकारार्थी
affix	0	0	0	0	0	0	0	0	0	0	चिकटवणे
afflict	0	0	0	1	0	1	0	1	0	0	त्रास देणे
afflicted	0	0	0	0	0	1	0	0	0	0	पीडित
affliction	0	0	1	1	0	1	0	1	0	0	दु:ख
affluence	0	0	0	0	1	0	1	0	0	0	संपन्नता
affluent	0	0	0	0	0	0	1	0	0	0	श्रीमंत
afford	0	0	0	0	0	0	1	0	0	0	परवडणे
affront	1	0	1	1	0	1	0	1	1	0	अपमान
afield	0	0	0	0	0	0	0	0	0	0	दूर
afore	0	0	0	0	0	0	0	0	0	0	आधी
aforementioned	0	0	0	0	0	0	0	0	0	0	वर नमूद केलेले
aforesaid	0	0	0	0	0	0	0	0	0	0	वर सांगितले
afraid	0	0	0	1	0	1	0	0	0	0	भीती
afresh	0	0	0	0	0	0	0	0	0	0	नव्याने
aft	0	0	0	0	0	0	0	0	0	0	मागे
aftermath	1	0	1	1	0	1	0	1	0	0	परिणाम
afternoon	0	0	0	0	0	0	0	0	0	0	दुपारी
aftertaste	0	0	0	0	0	1	0	0	0	0	नंतरची चव
afterthought	0	0	0	0	0	0	0	0	0	0	नंतरचा विचार
aga	0	0	0	1	0	0	1	0	0	1	अगा
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	वय
aged	0	0	0	0	0	0	0	0	0	0	वृद्ध
agency	0	0	0	0	0	0	0	0	0	0	एजन्सी
agent	0	0	0	0	0	0	0	0	0	0	एजंट
agglomeration	0	0	0	0	0	0	0	0	0	0	जमाव
aggravated	1	0	0	0	0	1	0	0	0	0	उत्तेजित
aggravating	1	0	0	0	0	1	0	1	0	0	त्रासदायक
aggravation	1	0	1	0	0	1	0	0	0	0	उत्तेजित होणे
aggregate	0	0	0	0	0	0	0	0	0	0	एकूण
aggregation	0	0	0	0	0	0	0	0	0	0	एकत्रीकरण
aggression	1	0	0	1	0	1	0	0	0	0	आगळीक
aggressive	1	0	0	1	0	1	0	0	0	0	आक्रमक
aggressor	1	0	0	1	0	1	0	0	0	0	आक्रमक
aghast	0	0	1	1	0	1	0	0	1	0	हैराण
agile	0	0	0	0	0	0	1	0	0	0	चपळ
agility	0	0	0	0	0	0	1	0	0	0	चपळता
agitated	1	0	0	0	0	1	0	0	0	0	उत्तेजित
agitation	1	0	0	0	0	1	0	0	0	0	आंदोलन
agnostic	0	0	0	0	0	0	0	0	0	0	अज्ञेयवादी
ago	0	0	0	0	0	0	0	0	0	0	पूर्वी
agonizing	0	0	0	1	0	1	0	0	0	0	वेदनादायक
agony	1	0	0	1	0	1	0	1	0	0	वेदना
agree	0	0	0	0	0	0	1	0	0	0	सहमत
agreeable	0	0	0	0	0	0	1	0	0	1	सहमत
agreed	0	0	0	0	0	0	1	0	0	1	सहमत
agreeing	0	0	0	0	0	0	1	0	0	1	सहमत आहे
agreement	0	0	0	0	0	0	1	0	0	1	करार
agricultural	0	0	0	0	0	0	0	0	0	0	कृषी
agriculture	0	0	0	0	0	0	1	0	0	0	शेती
aground	0	0	0	0	0	1	0	0	0	0	जमिनीवर
agua	0	0	0	0	0	0	0	0	0	0	आग
ahead	0	0	0	0	0	0	1	0	0	0	पुढे
aid	0	0	0	0	0	0	1	0	0	0	मदत
aiding	0	0	0	0	0	0	1	0	0	0	मदत करणे
ail	0	0	0	0	0	1	0	1	0	0	आजार
ailing	0	0	0	1	0	1	0	1	0	0	आजारी
ailment	0	0	0	0	0	0	0	0	0	0	आजार
aim	0	0	0	0	0	0	0	0	0	0	लक्ष्य
aimless	0	0	0	0	0	1	0	0	0	0	ध्येयहीन
air	0	0	0	0	0	0	0	0	0	0	हवा
airbag	0	0	0	0	0	0	0	0	0	0	हवेची पिशवी
airlift	0	0	0	0	0	0	0	0	0	0	एअरलिफ्ट
airline	0	0	0	0	0	0	0	0	0	0	विमान सेवा
airman	0	0	0	0	0	0	0	0	0	0	एअरमन
airplane	0	0	0	0	0	0	0	0	0	0	विमान
airport	0	1	0	0	0	0	0	0	0	0	विमानतळ
airs	0	0	1	0	0	1	0	0	0	0	प्रसारित
airship	0	0	0	0	0	0	0	0	0	0	हवाई जहाज
aisle	0	0	0	0	0	0	0	0	0	0	मार्ग
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	अजार
akin	0	0	0	0	0	0	0	0	0	1	समान
alabaster	0	0	0	0	0	0	1	0	0	0	अलाबास्टर
alarm	0	0	0	1	0	1	0	0	1	0	गजर
alarming	0	0	0	1	0	1	0	0	1	0	चिंताजनक
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	अल्बम
alchemy	0	0	0	0	0	0	0	0	0	0	किमया
alcohol	0	0	0	0	0	0	0	0	0	0	दारू
alcoholism	1	0	1	1	0	1	0	1	0	0	मद्यपान
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	इशारा
alertness	0	1	0	1	0	0	1	0	1	0	सतर्कता
alerts	0	1	0	1	0	0	0	0	1	0	सूचना
alfalfa	0	0	0	0	0	0	0	0	0	0	अल्फल्फा
algebra	0	0	0	0	0	0	0	0	0	0	बीजगणित
algebraic	0	0	0	0	0	0	0	0	0	0	बीजगणित
algorithm	0	0	0	0	0	0	0	0	0	0	अल्गोरिदम
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	उपरा
alienate	1	0	1	0	0	1	0	0	0	0	दुरावणे
alienated	0	0	0	0	0	1	0	1	0	0	परके
alienation	1	0	1	1	0	1	0	1	0	0	परकेपणा
alight	0	0	0	0	0	0	0	0	0	0	उतरणे
aligned	0	0	0	0	0	0	0	0	0	0	संरेखित
alignment	0	0	0	0	0	0	0	0	0	0	संरेखन
alike	0	0	0	0	0	0	0	0	0	0	एकसारखे
alimentation	0	0	0	0	0	0	1	0	0	0	आहार
alimony	0	0	0	0	0	1	0	0	0	0	पोटगी
aliquot	0	0	0	0	0	0	0	0	0	0	अलिकट
alive	0	1	0	0	1	0	1	0	0	1	जिवंत
alkali	0	0	0	0	0	0	0	0	0	0	अल्कली
alkaloids	0	0	0	0	0	0	0	0	0	0	अल्कलॉइड
allay	0	0	0	0	0	0	1	0	0	0	दूर करणे
allegation	1	0	0	0	0	1	0	0	0	0	आरोप
allege	0	0	0	0	0	1	0	0	0	0	आरोप
alleged	0	0	0	0	0	0	0	0	0	0	आरोप
allegiance	0	0	0	0	0	0	1	0	0	1	निष्ठा
allegorical	0	0	0	0	0	0	0	0	0	0	रूपकात्मक
allegory	0	0	0	0	0	0	0	0	0	0	रूपक
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	कमी करणे
alleviation	0	0	0	0	0	0	1	0	0	0	उपशमन
alley	0	0	0	0	0	0	0	0	0	0	गल्ली
alliance	0	0	0	0	0	0	0	0	0	1	युती
allied	0	0	0	0	0	0	1	0	0	1	सहयोगी
alligator	0	0	0	0	0	0	0	0	0	0	मगर
allocate	0	0	0	0	0	0	0	0	0	0	वाटप
allocation	0	0	0	0	0	0	0	0	0	0	वाटप
allot	0	0	0	0	0	0	0	0	0	0	वाटप
allotment	0	0	0	0	0	0	0	0	0	0	वाटप
allowable	0	0	0	0	0	0	1	0	0	0	परवानगीयोग्य
allowance	0	0	0	0	0	0	0	0	0	0	भत्ता
allowed	0	0	0	0	0	0	0	0	0	0	परवानगी
alloy	0	0	0	0	0	0	0	0	0	0	मिश्रधातू
allure	0	1	0	0	1	0	1	0	1	0	आकर्षण
alluring	0	0	0	0	0	0	1	0	0	0	मोहक
allusion	0	0	0	0	0	0	0	0	0	0	संकेत
alluvial	0	0	0	0	0	0	0	0	0	0	जलोळ
ally	0	0	0	0	0	0	1	0	0	1	सहयोगी
almanac	0	0	0	0	0	0	0	0	0	0	पंचांग
almighty	0	0	0	0	0	0	1	0	0	0	सर्वशक्तिमान
aloft	0	0	0	0	0	0	0	0	0	0	वर
aloha	0	1	0	0	1	0	1	0	0	0	अलोहा
alongside	0	0	0	0	0	0	0	0	0	0	बाजूने
aloof	0	0	0	0	0	1	0	0	0	0	अलिप्त
aloud	0	0	0	0	0	0	0	0	0	0	मोठ्याने
alphabet	0	0	0	0	0	0	0	0	0	0	वर्णमाला
alphabetical	0	0	0	0	0	0	0	0	0	0	वर्णक्रमानुसार
altar	0	0	0	0	0	0	0	0	0	0	वेदी
alter	0	0	0	0	0	0	0	0	0	0	बदल
alteration	0	0	0	0	0	0	0	0	0	0	बदल
altercation	1	0	0	0	0	1	0	0	0	0	भांडण
altered	0	0	0	0	0	0	0	0	0	0	बदलले
alternate	0	0	0	0	0	0	0	0	0	0	पर्यायी
alternative	0	0	0	0	0	0	0	0	0	0	पर्यायी
altitude	0	0	0	0	0	0	0	0	0	0	समुद्रसपाटीपासूनची उंची
alto	0	0	0	0	0	0	0	0	0	0	अल्टो
altogether	0	0	0	0	0	0	0	0	0	0	एकंदरीत
alumnus	0	0	0	0	0	0	0	0	0	0	माजी विद्यार्थी
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	एकत्रीकरण
amalgamation	0	0	0	0	0	0	0	0	0	0	एकत्रीकरण
amass	0	0	0	0	0	0	0	0	0	0	एकत्र करणे
amateur	0	0	0	0	0	0	0	0	0	0	हौशी
amaze	0	0	0	0	0	0	0	0	1	0	आश्चर्यचकित करणे
amazement	0	0	0	0	0	0	0	0	0	0	आश्चर्य
amazingly	0	0	0	0	1	0	1	0	1	0	आश्चर्यकारकपणे
ambassador	0	0	0	0	0	0	1	0	0	1	राजदूत
amber	0	0	0	0	0	0	0	0	0	0	अंबर
ambient	0	0	0	0	0	0	0	0	0	0	वातावरण
ambiguity	0	0	0	0	0	0	0	0	0	0	अस्पष्टता
ambiguous	0	0	0	0	0	1	0	0	0	0	संदिग्ध
ambit	0	0	0	0	0	0	0	0	0	0	परिक्षेत्र
ambition	0	1	0	0	1	0	1	0	0	1	महत्वाकांक्षा
ambitious	0	0	0	0	0	0	0	0	0	0	महत्वाकांक्षी
ambulance	0	0	0	1	0	0	0	0	0	1	रुग्णवाहिका
ambush	1	0	0	1	0	1	0	0	1	0	हल्ला
ameliorate	0	0	0	0	0	0	1	0	0	0	सुधारणे
