English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sindhi Word
absolute	0	0	0	0	0	0	1	0	0	0	مطلق
absolution	0	0	0	0	1	0	1	0	0	1	معافي
absorbed	0	0	0	0	0	0	1	0	0	0	جذب ٿيل
absorbent	0	0	0	0	0	0	0	0	0	0	جذب ڪندڙ
absorbing	0	0	0	0	0	0	0	0	0	0	جذب ڪرڻ
absorption	0	0	0	0	0	0	0	0	0	0	جذب ڪرڻ
abstain	0	0	0	0	0	0	0	0	0	0	پرهيز ڪرڻ
abstention	0	0	0	0	0	0	0	0	0	0	اجتناب
abstinence	0	0	0	0	0	0	0	0	0	0	پرهيز
abstract	0	0	0	0	0	0	0	0	0	0	خلاصو
abstraction	0	0	0	0	0	0	0	0	0	0	خلاصو
absurd	0	0	0	0	0	1	0	0	0	0	بيوقوف
absurdity	0	0	0	0	0	1	0	0	0	0	بيوقوفي
abundance	0	1	1	0	1	1	1	0	0	1	گهڻائي
abundant	0	0	0	0	1	0	1	0	0	0	گهڻائي
abuse	1	0	1	1	0	1	0	1	0	0	بدسلوڪي
abutment	0	0	0	0	0	0	0	0	0	0	ختم ڪرڻ
aby	0	0	0	0	0	0	0	0	0	0	ابي
abysmal	0	0	0	0	0	1	0	1	0	0	انتهائي
abyss	0	0	0	1	0	1	0	1	0	0	پاتال
academic	0	0	0	0	0	0	1	0	0	1	تعليمي
academy	0	0	0	0	0	0	1	0	0	0	اڪيڊمي
accede	0	0	0	0	0	0	0	0	0	0	قبول ڪرڻ
accelerate	0	1	0	0	0	0	0	0	0	0	تيز ڪرڻ
acceleration	0	0	0	0	0	0	0	0	0	0	تيزي
accent	0	0	0	0	0	0	0	0	0	0	تلفظ
accentuate	0	0	0	0	0	0	0	0	0	0	زور ڏيڻ
accept	0	0	0	0	0	0	0	0	0	0	قبول ڪرڻ
acceptable	0	0	0	0	0	0	1	0	0	0	قابل قبول
acceptance	0	0	0	0	0	0	1	0	0	0	قبوليت
access	0	0	0	0	0	0	0	0	0	0	پهچ
accessible	0	0	0	0	0	0	1	0	0	0	رسائي لائق
accession	0	0	0	0	0	0	0	0	0	0	الحاق
accessory	0	0	0	0	0	0	0	0	0	0	لوازمات
accident	0	0	0	1	0	1	0	1	1	0	حادثو
accidental	0	0	0	1	0	1	0	0	1	0	حادثاتي
accidentally	0	0	0	0	0	0	0	0	1	0	اتفاقي طور
accolade	0	1	0	0	1	0	1	0	1	1	اعزاز
accommodate	0	0	0	0	0	0	0	0	0	0	جاءِ ڏيڻ
accommodation	0	0	0	0	0	0	1	0	0	0	رهائش
accompaniment	0	1	0	0	1	0	1	0	0	1	سنگت
accompany	0	0	0	0	0	0	0	0	0	0	گڏ ڪرڻ
accompanying	0	0	0	0	0	0	0	0	0	0	گڏ ڪرڻ
accomplice	0	0	0	0	0	0	0	0	0	0	ساٿي
accomplish	0	0	0	0	1	0	1	0	0	0	پورو ڪرڻ
accomplished	0	0	0	0	1	0	1	0	0	0	مڪمل
accomplishment	0	0	0	0	0	0	1	0	0	0	ڪاميابي
accord	0	0	0	0	0	0	1	0	0	1	اتفاق
accordance	0	0	0	0	0	0	0	0	0	0	مطابق
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	اڪائونٽ
accountability	0	0	0	0	0	0	1	0	0	1	احتساب
accountable	0	0	0	0	0	0	1	0	0	1	احتسابي
accountant	0	0	0	0	0	0	0	0	0	1	اڪائونٽنٽ
accounting	0	0	0	0	0	0	0	0	0	0	اڪائونٽنگ
accounts	0	0	0	0	0	0	0	0	0	1	اڪائونٽس
accredited	0	0	0	0	0	0	1	0	0	1	تصديق ٿيل
accretion	0	0	0	0	0	0	0	0	0	0	واڌارو
accrue	0	0	0	0	0	0	0	0	0	0	جمع ڪرڻ
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	جمع ڪرڻ
accumulation	0	0	0	0	0	0	0	0	0	0	جمع ڪرڻ
accuracy	0	0	0	0	0	0	0	0	0	0	درستگي
accurate	0	0	0	0	0	0	1	0	0	1	درست
accursed	1	0	0	1	0	1	0	1	0	0	ملعون
accusation	1	0	1	0	0	1	0	0	0	0	الزام
accusative	0	0	0	0	0	1	0	0	0	0	الزام لڳائڻ وارو
accused	1	0	0	1	0	1	0	0	0	0	الزام
accuser	1	0	0	1	0	1	0	0	0	0	الزام لڳائيندڙ
accusing	1	0	0	1	0	1	0	0	0	0	الزام لڳائڻ
accustomed	0	0	0	0	0	0	0	0	0	0	عادي
ace	0	0	0	0	0	0	1	0	0	0	ايڪو
acetic	0	0	0	0	0	0	0	0	0	0	ايڪٽڪ
ache	0	0	0	0	0	1	0	1	0	0	درد
achieve	0	0	0	0	1	0	1	0	0	1	حاصل ڪرڻ
achievement	0	1	0	0	1	0	1	0	0	1	ڪاميابي
aching	0	0	0	0	0	1	0	1	0	0	تڪليف ڏيڻ
acid	0	0	0	0	0	1	0	0	0	0	تيزاب
acidity	0	0	0	0	0	0	0	0	0	0	تيزابيت
acknowledge	0	0	0	0	0	0	0	0	0	0	مڃڻ
acknowledged	0	0	0	0	0	0	0	0	0	0	تسليم ڪيو
acknowledgment	0	0	0	0	0	0	1	0	0	0	اعتراف
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	صوتي
acoustics	0	0	0	0	0	0	0	0	0	0	صوتيات
acquaint	0	0	0	0	0	0	0	0	0	0	واقف ڪرڻ
acquaintance	0	0	0	0	0	0	0	0	0	0	واقفيت
acquainted	0	0	0	0	0	0	0	0	0	0	واقف
acquiescence	0	0	0	0	0	0	0	0	0	0	قبوليت
acquire	0	0	0	0	0	0	1	0	0	0	حاصل ڪرڻ
acquiring	0	1	0	0	0	0	1	0	0	0	حاصل ڪرڻ
acquisition	0	0	0	0	0	0	0	0	0	0	حصول
acquisitions	0	0	0	0	0	0	0	0	0	0	حاصلات
acreage	0	0	0	0	0	0	0	0	0	0	ايڪڙ
acres	0	0	0	0	0	0	0	0	0	0	ايڪڙ
acrobat	0	0	0	1	1	0	1	0	0	1	اکروبيٽ
act	0	0	0	0	0	0	0	0	0	0	عمل
acting	0	0	0	0	0	0	0	0	0	0	اداڪاري
action	0	0	0	0	0	0	1	0	0	0	عمل
actionable	1	0	1	0	0	1	0	0	0	0	قابل عمل
active	0	0	0	0	0	0	0	0	0	0	سرگرم
activity	0	0	0	0	0	0	0	0	0	0	سرگرمي
actor	0	0	0	0	0	0	0	0	0	0	اداڪار
actual	0	0	0	0	0	0	1	0	0	0	حقيقي
actuality	0	0	0	0	0	0	0	0	0	0	حقيقت
actuary	0	0	0	0	0	0	0	0	0	0	عملدار
acuity	0	0	0	0	0	0	1	0	0	0	تڪڙ
acumen	0	0	0	0	0	0	1	0	0	0	هوشيار
acupuncture	0	0	0	0	0	0	0	0	0	0	ايڪوپنڪچر
acutely	0	0	0	0	0	0	0	0	0	0	تيزيءَ سان
adage	0	0	0	0	0	0	0	0	0	0	چوڻي
adamant	0	0	0	0	0	0	0	0	0	0	ثابت قدم
adapt	0	0	0	0	0	0	1	0	0	0	موافقت ڪرڻ
adaptable	0	0	0	0	0	0	1	0	0	0	موافقت لائق
add	0	0	0	0	0	0	0	0	0	0	شامل ڪريو
added	0	0	0	0	0	0	0	0	0	0	شامل ڪيو ويو
addendum	0	0	0	0	0	0	0	0	0	0	اضافو
adder	1	0	1	1	0	1	0	1	0	0	شامل ڪندڙ
addiction	0	0	0	0	0	1	0	0	0	0	لت
addition	0	0	0	0	0	0	0	0	0	0	اضافو
additional	0	0	0	0	0	0	0	0	0	0	اضافي
additive	0	0	0	0	0	0	0	0	0	0	اضافو
address	0	0	0	0	0	0	0	0	0	0	پتو
addressee	0	0	0	0	0	0	0	0	0	0	پتو ڏيڻ وارو
addresses	0	1	0	0	0	0	1	0	0	0	ايڊريس
adept	0	0	0	0	0	0	1	0	0	0	ماهر
adequacy	0	0	0	0	0	0	1	0	0	0	ڪافيت
adequate	0	0	0	0	0	0	0	0	0	0	ڪافي
adhere	0	0	0	0	0	0	0	0	0	0	پيروي ڪرڻ
adherence	0	0	0	0	0	0	0	0	0	0	تابعداري
adherent	0	0	0	0	0	0	0	0	0	0	تابعدار
adhering	0	0	0	0	0	0	0	0	0	1	پيروي ڪرڻ
adhesion	0	0	0	0	0	0	0	0	0	0	آسن
adhesive	0	0	0	0	0	0	0	0	0	0	چپڪندڙ
adieu	0	0	0	0	0	0	0	0	0	0	الوداع
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ڀرسان
adjacent	0	0	0	0	0	0	0	0	0	0	ڀرسان
adjective	0	0	0	0	0	0	0	0	0	0	صفت
adjoining	0	0	0	0	0	0	0	0	0	0	ڀرسان
adjourn	0	0	0	0	0	0	0	0	0	0	ملتوي ڪرڻ
adjournment	0	0	0	0	0	0	0	0	0	0	ملتوي
adjudicate	0	0	0	1	0	1	0	0	0	0	فيصلو ڪرڻ
adjudication	0	0	0	0	0	0	0	0	0	0	فيصلو
adjunct	0	0	0	0	0	0	1	0	0	0	ملندڙ
adjust	0	0	0	0	0	0	0	0	0	0	ترتيب ڏيڻ
adjustment	0	0	0	0	0	0	0	0	0	0	ترتيب ڏيڻ
adjuvant	0	0	0	0	0	0	0	0	0	0	مددگار
administer	0	0	0	0	0	0	0	0	0	0	انتظام ڪرڻ
administration	0	0	0	0	0	0	0	0	0	0	انتظاميه
administrative	0	0	0	0	0	0	0	0	0	1	انتظامي
admirable	0	0	0	0	1	0	1	0	0	1	قابل تعريف
admiral	0	0	0	0	0	0	1	0	0	1	ايڊمرل
admiralty	0	0	0	0	0	0	0	0	0	0	ايڊمرلٽي
admiration	0	0	0	0	1	0	1	0	0	1	تعريف
admire	0	0	0	0	0	0	1	0	0	1	تعريف ڪرڻ
admirer	0	0	0	0	0	0	1	0	0	0	مداح
admissibility	0	0	0	0	0	0	0	0	0	0	قبوليت
admissible	0	0	0	0	0	0	1	0	0	1	قابل قبول
admission	0	0	0	0	0	0	0	0	0	0	داخلا
admit	0	0	0	0	0	0	0	0	0	0	تسليم ڪرڻ
admittance	0	0	0	0	0	0	0	0	0	0	داخلا
admitted	0	0	0	0	0	0	0	0	0	0	تسليم ڪيو
admitting	0	0	0	0	0	0	0	0	0	0	تسليم ڪرڻ
admixture	0	0	0	0	0	0	0	0	0	0	ملاوٽ
admonition	0	0	0	1	0	1	0	0	0	0	نصيحت
ado	0	0	0	0	0	0	0	0	0	0	ادو
adobe	0	0	0	0	0	0	0	0	0	0	ايڊوب
adolescence	0	0	0	0	0	0	0	0	0	0	جوانيءَ
adolescent	0	0	0	0	0	0	0	0	0	0	نوجوان
adopt	0	0	0	0	0	0	0	0	0	0	اپنائڻ
adoption	0	0	0	0	0	0	0	0	0	0	اپنائڻ
adorable	0	0	0	0	1	0	1	0	0	0	پيارو
adoration	0	0	0	0	1	0	1	0	0	1	عبادت
adore	0	1	0	0	1	0	1	0	0	1	پيار ڪرڻ
adorn	0	0	0	0	0	0	0	0	0	0	سينگار
adornment	0	0	0	0	0	0	0	0	0	0	زينت
adrift	0	1	0	1	0	1	0	1	0	0	اڳتي وڌڻ
adult	0	0	0	0	0	0	0	0	0	0	بالغ
adulterated	0	0	0	0	0	1	0	0	0	0	ملاوٽ ٿيل
adultery	0	0	1	0	0	1	0	1	0	0	زنا
advance	0	1	0	1	1	0	1	0	1	0	اڳواٽ
advanced	0	0	0	0	0	0	1	0	0	0	ترقي يافته
advancement	0	0	0	0	0	0	1	0	0	0	ترقي
advancing	0	0	0	0	0	0	0	0	0	0	اڳتي وڌڻ
advantage	0	0	0	0	0	0	1	0	0	0	فائدو
advantageous	0	0	0	0	0	0	1	0	0	0	فائدي وارو
advent	0	1	0	0	1	0	1	0	0	1	آمد
adventure	0	1	0	0	0	0	1	0	0	0	ايڊونچر
adventurer	0	0	0	0	0	0	0	0	0	0	سياح
adventurous	0	0	0	0	0	0	1	0	0	0	بہادر
adversary	1	0	0	0	0	1	0	0	0	0	مخالف
adverse	1	0	1	1	0	1	0	1	0	0	ناڪاري
adversity	1	0	0	1	0	1	0	1	0	0	مشڪلات
advertise	0	0	0	0	0	0	0	0	0	0	اشتهار ڏيڻ
advertisement	0	0	0	0	0	0	0	0	0	0	اشتهار
advice	0	0	0	0	0	0	0	0	0	1	صلاح
advisable	0	0	0	0	0	0	1	0	0	1	صلاح ڏيڻ وارو
advise	0	0	0	0	0	0	1	0	0	1	صلاح ڏيڻ
advised	0	0	0	0	0	0	0	0	0	1	صلاح ڏني
advisement	0	0	0	0	0	0	0	0	0	0	صلاح
adviser	0	0	0	0	0	0	1	0	0	1	صلاحڪار
advocacy	1	1	0	0	1	0	1	0	0	1	وکالت
advocate	0	0	0	0	0	0	0	0	0	1	وڪيل
aegis	0	0	0	0	0	0	0	0	0	0	ايجاد
aeration	0	0	0	0	0	0	0	0	0	0	هوا
aerial	0	0	0	0	0	0	0	0	0	0	هوائي
aerodrome	0	0	0	0	0	0	0	0	0	0	هوائي اڏي
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	هوائي جهاز
aeroplane	0	0	0	0	0	0	0	0	0	0	هوائي جهاز
aesthetic	0	0	0	0	0	0	1	0	0	0	جمالياتي
aesthetics	0	0	0	0	1	0	1	0	0	0	جمالياتي
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	پري
affable	0	0	0	0	0	0	1	0	0	0	ملندڙ
affair	0	0	0	0	0	0	0	0	0	0	معاملو
affecting	0	0	0	0	0	0	0	0	0	0	متاثر ڪرڻ
affection	0	0	0	0	1	0	1	0	0	1	پيار
affections	0	0	0	0	0	0	0	0	0	0	پيار
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	حلف نامو
affiliated	0	0	0	0	0	0	1	0	0	0	لاڳاپيل
affiliation	0	0	0	0	0	0	0	0	0	0	وابستگي
affinity	0	0	0	0	0	0	0	0	0	0	لاڳاپو
affirm	0	0	0	0	0	0	1	0	0	1	تصديق ڪرڻ
affirmation	0	0	0	0	0	0	1	0	0	0	تصديق
affirmative	0	0	0	0	0	0	1	0	0	0	هاڪاري
affirmatively	0	0	0	0	0	0	1	0	0	1	مثبت طور تي
affix	0	0	0	0	0	0	0	0	0	0	لڳائڻ
afflict	0	0	0	1	0	1	0	1	0	0	تڪليف ڏيڻ
afflicted	0	0	0	0	0	1	0	0	0	0	ڏکايل
affliction	0	0	1	1	0	1	0	1	0	0	مصيبت
affluence	0	0	0	0	1	0	1	0	0	0	دولتمندي
affluent	0	0	0	0	0	0	1	0	0	0	دولتمند
afford	0	0	0	0	0	0	1	0	0	0	برداشت ڪرڻ
affront	1	0	1	1	0	1	0	1	1	0	مخالفت
afield	0	0	0	0	0	0	0	0	0	0	پري
afore	0	0	0	0	0	0	0	0	0	0	اڳ
aforementioned	0	0	0	0	0	0	0	0	0	0	مٿي ذڪر ڪيل
aforesaid	0	0	0	0	0	0	0	0	0	0	مٿي بيان ڪيل
afraid	0	0	0	1	0	1	0	0	0	0	ڊڄڻ
afresh	0	0	0	0	0	0	0	0	0	0	نئون
aft	0	0	0	0	0	0	0	0	0	0	پوئتي
aftermath	1	0	1	1	0	1	0	1	0	0	بعد ۾
afternoon	0	0	0	0	0	0	0	0	0	0	منجهند
aftertaste	0	0	0	0	0	1	0	0	0	0	بعد جو ذائقو
afterthought	0	0	0	0	0	0	0	0	0	0	بعد ۾ سوچڻ
aga	0	0	0	1	0	0	1	0	0	1	آغا
agate	0	0	0	0	0	0	0	0	0	0	عقيق
age	0	0	0	0	0	0	0	0	0	0	عمر
aged	0	0	0	0	0	0	0	0	0	0	پوڙهو
agency	0	0	0	0	0	0	0	0	0	0	ايجنسي
agent	0	0	0	0	0	0	0	0	0	0	ايجنٽ
agglomeration	0	0	0	0	0	0	0	0	0	0	جمع
aggravated	1	0	0	0	0	1	0	0	0	0	وڌيل
aggravating	1	0	0	0	0	1	0	1	0	0	بگاڙيندڙ
aggravation	1	0	1	0	0	1	0	0	0	0	بگاڙ
aggregate	0	0	0	0	0	0	0	0	0	0	مجموعي
aggregation	0	0	0	0	0	0	0	0	0	0	گڏ ڪرڻ
aggression	1	0	0	1	0	1	0	0	0	0	جارحيت
aggressive	1	0	0	1	0	1	0	0	0	0	جارحاڻي
aggressor	1	0	0	1	0	1	0	0	0	0	حملو ڪندڙ
aghast	0	0	1	1	0	1	0	0	1	0	حيران
agile	0	0	0	0	0	0	1	0	0	0	چست
agility	0	0	0	0	0	0	1	0	0	0	چست
agitated	1	0	0	0	0	1	0	0	0	0	مشتعل
agitation	1	0	0	0	0	1	0	0	0	0	تحريڪ
agnostic	0	0	0	0	0	0	0	0	0	0	اڻڄاڻ
ago	0	0	0	0	0	0	0	0	0	0	اڳ
agonizing	0	0	0	1	0	1	0	0	0	0	ڏکوئيندڙ
agony	1	0	0	1	0	1	0	1	0	0	اذيت
agree	0	0	0	0	0	0	1	0	0	0	متفق
agreeable	0	0	0	0	0	0	1	0	0	1	قابل قبول
agreed	0	0	0	0	0	0	1	0	0	1	اتفاق ڪيو
agreeing	0	0	0	0	0	0	1	0	0	1	اتفاق ڪرڻ
agreement	0	0	0	0	0	0	1	0	0	1	معاهدو
agricultural	0	0	0	0	0	0	0	0	0	0	زرعي
agriculture	0	0	0	0	0	0	1	0	0	0	زراعت
aground	0	0	0	0	0	1	0	0	0	0	زمين تي
agua	0	0	0	0	0	0	0	0	0	0	اگوا
ahead	0	0	0	0	0	0	1	0	0	0	اڳيان
aid	0	0	0	0	0	0	1	0	0	0	امداد
aiding	0	0	0	0	0	0	1	0	0	0	مدد ڪرڻ
ail	0	0	0	0	0	1	0	1	0	0	بيمار
ailing	0	0	0	1	0	1	0	1	0	0	بيمار
ailment	0	0	0	0	0	0	0	0	0	0	بيماري
aim	0	0	0	0	0	0	0	0	0	0	مقصد
aimless	0	0	0	0	0	1	0	0	0	0	بي مقصد
air	0	0	0	0	0	0	0	0	0	0	هوا
airbag	0	0	0	0	0	0	0	0	0	0	ايئر بيگ
airlift	0	0	0	0	0	0	0	0	0	0	هوائي اڏي
airline	0	0	0	0	0	0	0	0	0	0	ايئر لائن
airman	0	0	0	0	0	0	0	0	0	0	هوائي جهاز
airplane	0	0	0	0	0	0	0	0	0	0	هوائي جهاز
airport	0	1	0	0	0	0	0	0	0	0	ايئرپورٽ
airs	0	0	1	0	0	1	0	0	0	0	هوا
airship	0	0	0	0	0	0	0	0	0	0	هوائي جهاز
aisle	0	0	0	0	0	0	0	0	0	0	aisle
ait	0	0	0	0	0	0	0	0	0	0	ايٽ
ajar	0	0	0	0	0	0	0	0	0	0	اجايو
akin	0	0	0	0	0	0	0	0	0	1	هڪ جهڙو
alabaster	0	0	0	0	0	0	1	0	0	0	الابسٽر
alarm	0	0	0	1	0	1	0	0	1	0	الارم
alarming	0	0	0	1	0	1	0	0	1	0	خطرناڪ
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	البم
alchemy	0	0	0	0	0	0	0	0	0	0	ڪيميا
alcohol	0	0	0	0	0	0	0	0	0	0	شراب
alcoholism	1	0	1	1	0	1	0	1	0	0	شراب نوشي
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	خبردار
alertness	0	1	0	1	0	0	1	0	1	0	خبرداري
alerts	0	1	0	1	0	0	0	0	1	0	خبرداري
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	الجبرا
algebraic	0	0	0	0	0	0	0	0	0	0	الجبري
algorithm	0	0	0	0	0	0	0	0	0	0	الگورتھم
alibi	0	0	0	0	0	0	0	0	0	0	عليبي
alien	0	0	1	1	0	1	0	0	0	0	اجنبي
alienate	1	0	1	0	0	1	0	0	0	0	ڌار ڪرڻ
alienated	0	0	0	0	0	1	0	1	0	0	ڌار ٿيل
alienation	1	0	1	1	0	1	0	1	0	0	اجنبي
alight	0	0	0	0	0	0	0	0	0	0	اُٿڻ
aligned	0	0	0	0	0	0	0	0	0	0	ترتيب ڏنل
alignment	0	0	0	0	0	0	0	0	0	0	ترتيب ڏيڻ
alike	0	0	0	0	0	0	0	0	0	0	هڪجهڙو
alimentation	0	0	0	0	0	0	1	0	0	0	غذائيت
alimony	0	0	0	0	0	1	0	0	0	0	ڀاڳ
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	زنده
alkali	0	0	0	0	0	0	0	0	0	0	الڪلي
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	الائي
allegation	1	0	0	0	0	1	0	0	0	0	الزام
allege	0	0	0	0	0	1	0	0	0	0	الزام لڳائڻ
alleged	0	0	0	0	0	0	0	0	0	0	الزام
allegiance	0	0	0	0	0	0	1	0	0	1	وفاداري
allegorical	0	0	0	0	0	0	0	0	0	0	تمثيل وارو
allegory	0	0	0	0	0	0	0	0	0	0	تمثيل
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	گھٽائڻ
alleviation	0	0	0	0	0	0	1	0	0	0	خاتمو
alley	0	0	0	0	0	0	0	0	0	0	گهٽي
alliance	0	0	0	0	0	0	0	0	0	1	اتحاد
allied	0	0	0	0	0	0	1	0	0	1	اتحادي
alligator	0	0	0	0	0	0	0	0	0	0	مڇر
allocate	0	0	0	0	0	0	0	0	0	0	مختص ڪرڻ
allocation	0	0	0	0	0	0	0	0	0	0	مختص ڪرڻ
allot	0	0	0	0	0	0	0	0	0	0	الاٽ
allotment	0	0	0	0	0	0	0	0	0	0	مختص ڪرڻ
allowable	0	0	0	0	0	0	1	0	0	0	قابل اجازت
allowance	0	0	0	0	0	0	0	0	0	0	الائونس
allowed	0	0	0	0	0	0	0	0	0	0	اجازت
alloy	0	0	0	0	0	0	0	0	0	0	مصرع
allure	0	1	0	0	1	0	1	0	1	0	رغبت
alluring	0	0	0	0	0	0	1	0	0	0	دلڪش
allusion	0	0	0	0	0	0	0	0	0	0	اشارو
alluvial	0	0	0	0	0	0	0	0	0	0	جلندڙ
ally	0	0	0	0	0	0	1	0	0	1	اتحادي
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	قادر مطلق
aloft	0	0	0	0	0	0	0	0	0	0	مٿي
aloha	0	1	0	0	1	0	1	0	0	0	الاهو
alongside	0	0	0	0	0	0	0	0	0	0	گڏو گڏ
aloof	0	0	0	0	0	1	0	0	0	0	پري
aloud	0	0	0	0	0	0	0	0	0	0	زور سان
alphabet	0	0	0	0	0	0	0	0	0	0	الفابيٽ
alphabetical	0	0	0	0	0	0	0	0	0	0	الفابيٽيڪل
altar	0	0	0	0	0	0	0	0	0	0	قربان گاهه
alter	0	0	0	0	0	0	0	0	0	0	تبديل ڪرڻ
alteration	0	0	0	0	0	0	0	0	0	0	تبديلي
altercation	1	0	0	0	0	1	0	0	0	0	تڪرار
altered	0	0	0	0	0	0	0	0	0	0	تبديل ٿيل
alternate	0	0	0	0	0	0	0	0	0	0	متبادل
alternative	0	0	0	0	0	0	0	0	0	0	متبادل
altitude	0	0	0	0	0	0	0	0	0	0	اونچائي
alto	0	0	0	0	0	0	0	0	0	0	آلٽو
altogether	0	0	0	0	0	0	0	0	0	0	مجموعي طور تي
alumnus	0	0	0	0	0	0	0	0	0	0	اڳوڻو شاگرد
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	ضم
amalgamation	0	0	0	0	0	0	0	0	0	0	ضم ٿيڻ
amass	0	0	0	0	0	0	0	0	0	0	گڏ ڪرڻ
amateur	0	0	0	0	0	0	0	0	0	0	شوقين
amaze	0	0	0	0	0	0	0	0	1	0	حيران ڪرڻ
amazement	0	0	0	0	0	0	0	0	0	0	حيرت
amazingly	0	0	0	0	1	0	1	0	1	0	حيرت انگيز طور
ambassador	0	0	0	0	0	0	1	0	0	1	سفير
amber	0	0	0	0	0	0	0	0	0	0	امبر
ambient	0	0	0	0	0	0	0	0	0	0	ماحول
ambiguity	0	0	0	0	0	0	0	0	0	0	ابهام
ambiguous	0	0	0	0	0	1	0	0	0	0	ابهام وارو
ambit	0	0	0	0	0	0	0	0	0	0	دائرو
ambition	0	1	0	0	1	0	1	0	0	1	آرزو
