English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hebrew Word
accordion	0	0	0	0	0	0	0	0	0	0	אַקוֹרדִיוֹן
account	0	0	0	0	0	0	0	0	0	1	חֶשְׁבּוֹן
accountability	0	0	0	0	0	0	1	0	0	1	אחריות
accountable	0	0	0	0	0	0	1	0	0	1	אַחֲרַאִי
accountant	0	0	0	0	0	0	0	0	0	1	רואת חשבון
accounting	0	0	0	0	0	0	0	0	0	0	ראיית חשבון
accounts	0	0	0	0	0	0	0	0	0	1	חשבונות
accredited	0	0	0	0	0	0	1	0	0	1	מוסמכת
accretion	0	0	0	0	0	0	0	0	0	0	הִצטַבְּרוּת
accrue	0	0	0	0	0	0	0	0	0	0	לצבור
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	לִצְבּוֹר
accumulation	0	0	0	0	0	0	0	0	0	0	הצטברות
accuracy	0	0	0	0	0	0	0	0	0	0	דיוק
accurate	0	0	0	0	0	0	1	0	0	1	מְדוּיָק
accursed	1	0	0	1	0	1	0	1	0	0	אָרוּר
accusation	1	0	1	0	0	1	0	0	0	0	הַאֲשָׁמָה
accusative	0	0	0	0	0	1	0	0	0	0	מאשים
accused	1	0	0	1	0	1	0	0	0	0	מואשם
accuser	1	0	0	1	0	1	0	0	0	0	מַאֲשִׁים
accusing	1	0	0	1	0	1	0	0	0	0	מאשים
accustomed	0	0	0	0	0	0	0	0	0	0	רָגִיל
ace	0	0	0	0	0	0	1	0	0	0	אֵס
acetic	0	0	0	0	0	0	0	0	0	0	אצטית
ache	0	0	0	0	0	1	0	1	0	0	כְּאֵב
achieve	0	0	0	0	1	0	1	0	0	1	לְהַשִׂיג
achievement	0	1	0	0	1	0	1	0	0	1	הֶשֵׂג
aching	0	0	0	0	0	1	0	1	0	0	כּוֹאֵב
acid	0	0	0	0	0	1	0	0	0	0	חוּמצָה
acidity	0	0	0	0	0	0	0	0	0	0	חוּמצִיוּת
acknowledge	0	0	0	0	0	0	0	0	0	0	לְהוֹדוֹת
acknowledged	0	0	0	0	0	0	0	0	0	0	הודה
acknowledgment	0	0	0	0	0	0	1	0	0	0	הכרה
acme	0	0	0	0	0	0	0	0	0	0	שִׂיא
acoustic	0	0	0	0	0	0	0	0	0	0	אֲקוּסְטִי
acoustics	0	0	0	0	0	0	0	0	0	0	אֲקוּסְטִיקָה
acquaint	0	0	0	0	0	0	0	0	0	0	להכיר
acquaintance	0	0	0	0	0	0	0	0	0	0	הֶכֵּרוּת
acquainted	0	0	0	0	0	0	0	0	0	0	להכיר
acquiescence	0	0	0	0	0	0	0	0	0	0	הסכמה
acquire	0	0	0	0	0	0	1	0	0	0	לִרְכּוֹשׁ
acquiring	0	1	0	0	0	0	1	0	0	0	רוכש
acquisition	0	0	0	0	0	0	0	0	0	0	רְכִישָׁה
acquisitions	0	0	0	0	0	0	0	0	0	0	רכישות
acreage	0	0	0	0	0	0	0	0	0	0	שטח
acres	0	0	0	0	0	0	0	0	0	0	דונם
acrobat	0	0	0	1	1	0	1	0	0	1	אַקרוֹבָּט
act	0	0	0	0	0	0	0	0	0	0	פעולה
acting	0	0	0	0	0	0	0	0	0	0	משחק
action	0	0	0	0	0	0	1	0	0	0	פעולה
actionable	1	0	1	0	0	1	0	0	0	0	ניתן לפעולה
active	0	0	0	0	0	0	0	0	0	0	פָּעִיל
activity	0	0	0	0	0	0	0	0	0	0	פעילות
actor	0	0	0	0	0	0	0	0	0	0	שַׂחְקָן
actual	0	0	0	0	0	0	1	0	0	0	מַמָשִׁי
actuality	0	0	0	0	0	0	0	0	0	0	מְצִיאוּת
actuary	0	0	0	0	0	0	0	0	0	0	אַקטוּאָר
acuity	0	0	0	0	0	0	1	0	0	0	חדות
acumen	0	0	0	0	0	0	1	0	0	0	חוכמה
acupuncture	0	0	0	0	0	0	0	0	0	0	אַקוּפּוּנקטוּרָה
acutely	0	0	0	0	0	0	0	0	0	0	למעשה
adage	0	0	0	0	0	0	0	0	0	0	פִּתגָם
adamant	0	0	0	0	0	0	0	0	0	0	נחוש
adapt	0	0	0	0	0	0	1	0	0	0	לְהִסְתָגֵל
adaptable	0	0	0	0	0	0	1	0	0	0	סָגִיל
add	0	0	0	0	0	0	0	0	0	0	לְהוֹסִיף
added	0	0	0	0	0	0	0	0	0	0	הוסיף
addendum	0	0	0	0	0	0	0	0	0	0	תוֹסֶפֶת
adder	1	0	1	1	0	1	0	1	0	0	פֶּתֶן
addiction	0	0	0	0	0	1	0	0	0	0	הִתמַכְּרוּת
addition	0	0	0	0	0	0	0	0	0	0	חיבור
additional	0	0	0	0	0	0	0	0	0	0	נוֹסָף
additive	0	0	0	0	0	0	0	0	0	0	תוסף
address	0	0	0	0	0	0	0	0	0	0	כתובת
addressee	0	0	0	0	0	0	0	0	0	0	נִמעָן
addresses	0	1	0	0	0	0	1	0	0	0	כתובות
adept	0	0	0	0	0	0	1	0	0	0	מְיוּמָן
adequacy	0	0	0	0	0	0	1	0	0	0	הלימות
adequate	0	0	0	0	0	0	0	0	0	0	נאות
adhere	0	0	0	0	0	0	0	0	0	0	לִדבּוֹק
adherence	0	0	0	0	0	0	0	0	0	0	דְבֵקוּת
adherent	0	0	0	0	0	0	0	0	0	0	חָסִיד
adhering	0	0	0	0	0	0	0	0	0	1	דבקות
adhesion	0	0	0	0	0	0	0	0	0	0	הַדבָּקָה
adhesive	0	0	0	0	0	0	0	0	0	0	דבק
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	שומני
adjacency	0	0	0	0	0	0	0	0	0	0	סמיכות
adjacent	0	0	0	0	0	0	0	0	0	0	סמוך
adjective	0	0	0	0	0	0	0	0	0	0	תוֹאַר
adjoining	0	0	0	0	0	0	0	0	0	0	צמודים
adjourn	0	0	0	0	0	0	0	0	0	0	לִדחוֹת
adjournment	0	0	0	0	0	0	0	0	0	0	דְחִיָה
adjudicate	0	0	0	1	0	1	0	0	0	0	לִפְסוֹק
adjudication	0	0	0	0	0	0	0	0	0	0	שְׁפִיטָה
adjunct	0	0	0	0	0	0	1	0	0	0	תוספת
adjust	0	0	0	0	0	0	0	0	0	0	לְהַתְאִים
adjustment	0	0	0	0	0	0	0	0	0	0	התאמה
adjuvant	0	0	0	0	0	0	0	0	0	0	אדג'ובנט
administer	0	0	0	0	0	0	0	0	0	0	לְנַהֵל
administration	0	0	0	0	0	0	0	0	0	0	מִנהָל
administrative	0	0	0	0	0	0	0	0	0	1	מנהלי
admirable	0	0	0	0	1	0	1	0	0	1	ראוי להערצה
admiral	0	0	0	0	0	0	1	0	0	1	אַדמִירָל
admiralty	0	0	0	0	0	0	0	0	0	0	אדמירליות
admiration	0	0	0	0	1	0	1	0	0	1	הערצה
admire	0	0	0	0	0	0	1	0	0	1	לְהִתְפַּעֵל
admirer	0	0	0	0	0	0	1	0	0	0	מַעֲרִיץ
admissibility	0	0	0	0	0	0	0	0	0	0	קבילות
admissible	0	0	0	0	0	0	1	0	0	1	קָבִיל
admission	0	0	0	0	0	0	0	0	0	0	הוֹדָאָה
admit	0	0	0	0	0	0	0	0	0	0	להתוודות
admittance	0	0	0	0	0	0	0	0	0	0	קבלה
admitted	0	0	0	0	0	0	0	0	0	0	הודה
admitting	0	0	0	0	0	0	0	0	0	0	מודה
admixture	0	0	0	0	0	0	0	0	0	0	תַעֲרוֹבֶת
admonition	0	0	0	1	0	1	0	0	0	0	תוֹכֵחָה
ado	0	0	0	0	0	0	0	0	0	0	מְהוּמָה
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	גיל ההתבגרות
adolescent	0	0	0	0	0	0	0	0	0	0	מִתבַּגֵר
adopt	0	0	0	0	0	0	0	0	0	0	לְאַמֵץ
adoption	0	0	0	0	0	0	0	0	0	0	אימוץ
adorable	0	0	0	0	1	0	1	0	0	0	מקסים
adoration	0	0	0	0	1	0	1	0	0	1	הַעֲרָצָה
adore	0	1	0	0	1	0	1	0	0	1	לְהַעֲרִיץ
adorn	0	0	0	0	0	0	0	0	0	0	לְקַשֵׁט
adornment	0	0	0	0	0	0	0	0	0	0	תַכשִׁיט
adrift	0	1	0	1	0	1	0	1	0	0	נִסחָף
adult	0	0	0	0	0	0	0	0	0	0	מְבוּגָר
adulterated	0	0	0	0	0	1	0	0	0	0	מָהוּל
adultery	0	0	1	0	0	1	0	1	0	0	ניאוף
advance	0	1	0	1	1	0	1	0	1	0	לְקַדֵם
advanced	0	0	0	0	0	0	1	0	0	0	מִתקַדֵם
advancement	0	0	0	0	0	0	1	0	0	0	הִתקַדְמוּת
advancing	0	0	0	0	0	0	0	0	0	0	מתקדמים
advantage	0	0	0	0	0	0	1	0	0	0	יתרון
advantageous	0	0	0	0	0	0	1	0	0	0	מוֹעִיל
advent	0	1	0	0	1	0	1	0	0	1	הִתגַלוּת
adventure	0	1	0	0	0	0	1	0	0	0	הַרפַּתקָה
adventurer	0	0	0	0	0	0	0	0	0	0	הַרפַּתקָן
adventurous	0	0	0	0	0	0	1	0	0	0	הרפתקני
adversary	1	0	0	0	0	1	0	0	0	0	יָרִיב
adverse	1	0	1	1	0	1	0	1	0	0	שְׁלִילִי
adversity	1	0	0	1	0	1	0	1	0	0	מְצוּקָה
advertise	0	0	0	0	0	0	0	0	0	0	לְפַרְסֵם
advertisement	0	0	0	0	0	0	0	0	0	0	פרסומת
advice	0	0	0	0	0	0	0	0	0	1	עֵצָה
advisable	0	0	0	0	0	0	1	0	0	1	רצוי
advise	0	0	0	0	0	0	1	0	0	1	לייעץ עצה
advised	0	0	0	0	0	0	0	0	0	1	יעץ
advisement	0	0	0	0	0	0	0	0	0	0	ייעוץ
adviser	0	0	0	0	0	0	1	0	0	1	יוֹעֵץ
advocacy	1	1	0	0	1	0	1	0	0	1	פְּרַקְלִיטוּת
advocate	0	0	0	0	0	0	0	0	0	1	עוֹרֵך דִין
aegis	0	0	0	0	0	0	0	0	0	0	אגיס
aeration	0	0	0	0	0	0	0	0	0	0	אִוְרוּר
aerial	0	0	0	0	0	0	0	0	0	0	אַנטֶנָה
aerodrome	0	0	0	0	0	0	0	0	0	0	שְׂדֵה תְעוּפָה
aerodynamics	0	0	0	0	0	0	0	0	0	0	אֲוִירוֹדִינָמִיקָה
aeronautics	0	0	0	0	0	0	0	0	0	0	תוֹרַת הַתְעוּפָה
aeroplane	0	0	0	0	0	0	0	0	0	0	מטוס
aesthetic	0	0	0	0	0	0	1	0	0	0	אֶסתֵטִי
aesthetics	0	0	0	0	1	0	1	0	0	0	אֶסתֵטִיקָה
aetiology	0	0	0	0	0	0	0	0	0	0	אטיולוגיה
afar	0	0	0	0	0	0	0	0	0	0	רחוק
affable	0	0	0	0	0	0	1	0	0	0	מַסבִּיר פָּנִים
affair	0	0	0	0	0	0	0	0	0	0	פָּרָשָׁה
affecting	0	0	0	0	0	0	0	0	0	0	משפיע
affection	0	0	0	0	1	0	1	0	0	1	אַהֲבָה
affections	0	0	0	0	0	0	0	0	0	0	חיבה
affiche	0	0	0	0	0	0	0	0	0	0	תצהיר
affidavit	0	0	0	0	0	0	0	0	0	0	תצהיר
affiliated	0	0	0	0	0	0	1	0	0	0	מְסוּנָף
affiliation	0	0	0	0	0	0	0	0	0	0	השתייכות
affinity	0	0	0	0	0	0	0	0	0	0	זִיקָה
affirm	0	0	0	0	0	0	1	0	0	1	לְאַשֵׁר
affirmation	0	0	0	0	0	0	1	0	0	0	חִיוּב
affirmative	0	0	0	0	0	0	1	0	0	0	חִיוּבִי
affirmatively	0	0	0	0	0	0	1	0	0	1	בחיוב
affix	0	0	0	0	0	0	0	0	0	0	לְהַדבִּיק
afflict	0	0	0	1	0	1	0	1	0	0	לְיַסֵר
afflicted	0	0	0	0	0	1	0	0	0	0	מְעוּנֶה
affliction	0	0	1	1	0	1	0	1	0	0	מֶמֶר
affluence	0	0	0	0	1	0	1	0	0	0	שֶׁפַע
affluent	0	0	0	0	0	0	1	0	0	0	אָמִיד
afford	0	0	0	0	0	0	1	0	0	0	לְהַרְשׁוֹת לְעַצמוֹ
affront	1	0	1	1	0	1	0	1	1	0	עֶלבּוֹן
afield	0	0	0	0	0	0	0	0	0	0	רחוק
afore	0	0	0	0	0	0	0	0	0	0	לפני כן
aforementioned	0	0	0	0	0	0	0	0	0	0	שהוזכר לעיל
aforesaid	0	0	0	0	0	0	0	0	0	0	לְעֵיל
afraid	0	0	0	1	0	1	0	0	0	0	חוֹשֵׁשׁ
afresh	0	0	0	0	0	0	0	0	0	0	מִחָדָשׁ
aft	0	0	0	0	0	0	0	0	0	0	אחורי
aftermath	1	0	1	1	0	1	0	1	0	0	תוצאות
afternoon	0	0	0	0	0	0	0	0	0	0	אחרי הצהריים
aftertaste	0	0	0	0	0	1	0	0	0	0	טעם לוואי
afterthought	0	0	0	0	0	0	0	0	0	0	מחשבה שלאחר מכן
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	בַּרֶקֶת
age	0	0	0	0	0	0	0	0	0	0	גיל
aged	0	0	0	0	0	0	0	0	0	0	זָקֵן
agency	0	0	0	0	0	0	0	0	0	0	סוֹכְנוּת
agent	0	0	0	0	0	0	0	0	0	0	סוֹכֵן
agglomeration	0	0	0	0	0	0	0	0	0	0	הִצטַבְּרוּת
aggravated	1	0	0	0	0	1	0	0	0	0	מחמיר
aggravating	1	0	0	0	0	1	0	1	0	0	מַרגִיז
aggravation	1	0	1	0	0	1	0	0	0	0	הַחמָרָה
aggregate	0	0	0	0	0	0	0	0	0	0	לְקַבֵּץ
aggregation	0	0	0	0	0	0	0	0	0	0	צבירה
aggression	1	0	0	1	0	1	0	0	0	0	תוֹקפָּנוּת
aggressive	1	0	0	1	0	1	0	0	0	0	תוֹקפָּנִי
aggressor	1	0	0	1	0	1	0	0	0	0	תוֹקפָּן
aghast	0	0	1	1	0	1	0	0	1	0	מזועזעת
agile	0	0	0	0	0	0	1	0	0	0	זָרִיז
agility	0	0	0	0	0	0	1	0	0	0	זְרִיזוּת
agitated	1	0	0	0	0	1	0	0	0	0	נִסעָר
agitation	1	0	0	0	0	1	0	0	0	0	תסיסה
agnostic	0	0	0	0	0	0	0	0	0	0	כּוֹפֵר
ago	0	0	0	0	0	0	0	0	0	0	לִפנֵי
agonizing	0	0	0	1	0	1	0	0	0	0	מייסר
agony	1	0	0	1	0	1	0	1	0	0	יסורים
agree	0	0	0	0	0	0	1	0	0	0	לְהַסכִּים
agreeable	0	0	0	0	0	0	1	0	0	1	נָעִים
agreed	0	0	0	0	0	0	1	0	0	1	מוסכם
agreeing	0	0	0	0	0	0	1	0	0	1	מסכים
agreement	0	0	0	0	0	0	1	0	0	1	הֶסכֵּם
agricultural	0	0	0	0	0	0	0	0	0	0	חַקלָאִי
agriculture	0	0	0	0	0	0	1	0	0	0	חַקלָאוּת
aground	0	0	0	0	0	1	0	0	0	0	עַל שִׂרטוֹן
agua	0	0	0	0	0	0	0	0	0	0	אגואה
ahead	0	0	0	0	0	0	1	0	0	0	קָדִימָה
aid	0	0	0	0	0	0	1	0	0	0	סיוע
aiding	0	0	0	0	0	0	1	0	0	0	סיוע
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	חוֹלָנִי
ailment	0	0	0	0	0	0	0	0	0	0	חוֹלִי
aim	0	0	0	0	0	0	0	0	0	0	מַטָרָה
aimless	0	0	0	0	0	1	0	0	0	0	חֲסַר תַכְלִית
air	0	0	0	0	0	0	0	0	0	0	אוויר
airbag	0	0	0	0	0	0	0	0	0	0	כרית אוויר
airlift	0	0	0	0	0	0	0	0	0	0	רַכֶּבֶת אֲוִירִית
airline	0	0	0	0	0	0	0	0	0	0	חֶברַת תְעוּפָה
airman	0	0	0	0	0	0	0	0	0	0	איש אוויר
airplane	0	0	0	0	0	0	0	0	0	0	מטוס
airport	0	1	0	0	0	0	0	0	0	0	שדה תעופה
airs	0	0	1	0	0	1	0	0	0	0	עולה לאוויר
airship	0	0	0	0	0	0	0	0	0	0	ספינת אוויר
aisle	0	0	0	0	0	0	0	0	0	0	מַעֲבָר
ait	0	0	0	0	0	0	0	0	0	0	אייט
ajar	0	0	0	0	0	0	0	0	0	0	פָּתוּחַ בְּמִקצָת
akin	0	0	0	0	0	0	0	0	0	1	דומה
alabaster	0	0	0	0	0	0	1	0	0	0	בַּהַט
alarm	0	0	0	1	0	1	0	0	1	0	אזעקה
alarming	0	0	0	1	0	1	0	0	1	0	מדאיג
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	אַלבּוֹם
alchemy	0	0	0	0	0	0	0	0	0	0	אַלכִּימְיָה
alcohol	0	0	0	0	0	0	0	0	0	0	כּוֹהֶל
alcoholism	1	0	1	1	0	1	0	1	0	0	כָּהֳלִיוּת
alcove	0	0	0	0	0	0	0	0	0	0	גוּמחָה
alert	0	0	0	0	0	0	0	0	0	0	עֵרָנִי
alertness	0	1	0	1	0	0	1	0	1	0	עֵרָנוּת
alerts	0	1	0	1	0	0	0	0	1	0	התראות
alfalfa	0	0	0	0	0	0	0	0	0	0	אַספֶּסֶת
algebra	0	0	0	0	0	0	0	0	0	0	אַלגֶבּרָה
algebraic	0	0	0	0	0	0	0	0	0	0	אַלגֶבּרִי
algorithm	0	0	0	0	0	0	0	0	0	0	אַלגוֹרִיתְם
alibi	0	0	0	0	0	0	0	0	0	0	אַלִיבִּי
alien	0	0	1	1	0	1	0	0	0	0	חייזר
alienate	1	0	1	0	0	1	0	0	0	0	לְהַרְחִיק
alienated	0	0	0	0	0	1	0	1	0	0	מנוכר
alienation	1	0	1	1	0	1	0	1	0	0	הִתנַכְּרוּת
alight	0	0	0	0	0	0	0	0	0	0	מוּאָר
aligned	0	0	0	0	0	0	0	0	0	0	מיושר
alignment	0	0	0	0	0	0	0	0	0	0	יישור
alike	0	0	0	0	0	0	0	0	0	0	דוֹמֶה
alimentation	0	0	0	0	0	0	1	0	0	0	מזון
alimony	0	0	0	0	0	1	0	0	0	0	מְזוֹנוֹת
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	בחיים
alkali	0	0	0	0	0	0	0	0	0	0	אַלקָלִי
alkaloids	0	0	0	0	0	0	0	0	0	0	אלקלואידים
allay	0	0	0	0	0	0	1	0	0	0	לְהַרְגִיעַ
allegation	1	0	0	0	0	1	0	0	0	0	האשמה
allege	0	0	0	0	0	1	0	0	0	0	לטעון
alleged	0	0	0	0	0	0	0	0	0	0	כִּביָכוֹל
allegiance	0	0	0	0	0	0	1	0	0	1	אֱמוּנִים
allegorical	0	0	0	0	0	0	0	0	0	0	אַלֵגוֹרִי
allegory	0	0	0	0	0	0	0	0	0	0	אַלֵגוֹרִיָה
allegro	0	0	0	0	0	0	1	0	0	0	אלגרו
alleviate	0	0	0	0	0	0	1	0	0	0	להקל
alleviation	0	0	0	0	0	0	1	0	0	0	הֲקָלָה
alley	0	0	0	0	0	0	0	0	0	0	סִמטָה
alliance	0	0	0	0	0	0	0	0	0	1	בְּרִית
allied	0	0	0	0	0	0	1	0	0	1	בעלות ברית
alligator	0	0	0	0	0	0	0	0	0	0	תַנִין
allocate	0	0	0	0	0	0	0	0	0	0	לְהַקְצוֹת
allocation	0	0	0	0	0	0	0	0	0	0	הַקצָאָה
allot	0	0	0	0	0	0	0	0	0	0	להקצות
allotment	0	0	0	0	0	0	0	0	0	0	הַקצָאָה
allowable	0	0	0	0	0	0	1	0	0	0	מותר
allowance	0	0	0	0	0	0	0	0	0	0	קצבה
allowed	0	0	0	0	0	0	0	0	0	0	מוּתָר
alloy	0	0	0	0	0	0	0	0	0	0	סַגסוֹגֶת
allure	0	1	0	0	1	0	1	0	1	0	קֶסֶם
alluring	0	0	0	0	0	0	1	0	0	0	מפתה
allusion	0	0	0	0	0	0	0	0	0	0	רֶמֶז
alluvial	0	0	0	0	0	0	0	0	0	0	סחף
ally	0	0	0	0	0	0	1	0	0	1	ברית
almanac	0	0	0	0	0	0	0	0	0	0	אַלְמָנָך
almighty	0	0	0	0	0	0	1	0	0	0	כל יכול
aloft	0	0	0	0	0	0	0	0	0	0	באוויר
aloha	0	1	0	0	1	0	1	0	0	0	שלום
alongside	0	0	0	0	0	0	0	0	0	0	בַּצַד
aloof	0	0	0	0	0	1	0	0	0	0	מרוחק
aloud	0	0	0	0	0	0	0	0	0	0	בְּקוֹל רָם
alphabet	0	0	0	0	0	0	0	0	0	0	אלף בית
alphabetical	0	0	0	0	0	0	0	0	0	0	אָלֶף בֵּיתִי
altar	0	0	0	0	0	0	0	0	0	0	מִזבֵּחַ
alter	0	0	0	0	0	0	0	0	0	0	לשנות
alteration	0	0	0	0	0	0	0	0	0	0	שינוי
altercation	1	0	0	0	0	1	0	0	0	0	קְטָטָה
altered	0	0	0	0	0	0	0	0	0	0	השתנה
alternate	0	0	0	0	0	0	0	0	0	0	לְהַחלִיף
alternative	0	0	0	0	0	0	0	0	0	0	חֲלוּפָה
altitude	0	0	0	0	0	0	0	0	0	0	גוֹבַה
alto	0	0	0	0	0	0	0	0	0	0	אַלט
altogether	0	0	0	0	0	0	0	0	0	0	לְגַמרֵי
