English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kyrgyz Word
aboriginal	0	0	0	0	0	0	0	0	0	0	абориген
abort	0	0	0	0	0	1	0	0	0	0	токтотуу
abortion	0	0	1	1	0	1	0	1	0	0	аборт
abortive	0	0	0	0	0	1	0	1	0	0	аборт
abound	0	0	0	0	0	0	0	0	0	0	мол
abovementioned	0	0	0	0	0	0	1	0	0	0	жогоруда айтылган
abrasion	0	0	0	0	0	1	0	0	0	0	абразия
abroad	0	0	0	0	0	0	0	0	0	0	чет өлкөдө
abrogate	0	0	0	0	0	1	0	0	0	0	жокко чыгаруу
abrupt	0	0	0	0	0	0	0	0	1	0	кескин
abruptly	0	0	0	0	0	0	0	0	0	0	капыстан
abscess	0	0	0	0	0	1	0	1	0	0	абсцесс
absence	0	0	0	1	0	1	0	1	0	0	жоктугу
absent	0	0	0	0	0	1	0	1	0	0	жок
absentee	0	0	0	0	0	1	0	1	0	0	жок
absenteeism	0	0	0	0	0	1	0	0	0	0	жумушка келбей калуу
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	абсолюттук
absolution	0	0	0	0	1	0	1	0	0	1	абсолюттук
absorbed	0	0	0	0	0	0	1	0	0	0	сиңирилген
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	сиңирүү
absorption	0	0	0	0	0	0	0	0	0	0	жутуу
abstain	0	0	0	0	0	0	0	0	0	0	кармануу
abstention	0	0	0	0	0	0	0	0	0	0	калыс
abstinence	0	0	0	0	0	0	0	0	0	0	абстиненция
abstract	0	0	0	0	0	0	0	0	0	0	абстракттуу
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурддук
abundance	0	1	1	0	1	1	1	0	0	1	молчулук
abundant	0	0	0	0	1	0	1	0	0	0	мол
abuse	1	0	1	1	0	1	0	1	0	0	кыянаттык
abutment	0	0	0	0	0	0	0	0	0	0	таяныч
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	туңгуюк
abyss	0	0	0	1	0	1	0	1	0	0	туңгуюк
academic	0	0	0	0	0	0	1	0	0	1	академик
academy	0	0	0	0	0	0	1	0	0	0	академия
accede	0	0	0	0	0	0	0	0	0	0	кошулуу
accelerate	0	1	0	0	0	0	0	0	0	0	тездетүү
acceleration	0	0	0	0	0	0	0	0	0	0	ылдамдатуу
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	басым жасоо
accept	0	0	0	0	0	0	0	0	0	0	кабыл алуу
acceptable	0	0	0	0	0	0	1	0	0	0	алгылыктуу
acceptance	0	0	0	0	0	0	1	0	0	0	кабыл алуу
access	0	0	0	0	0	0	0	0	0	0	мүмкүндүк алуу
accessible	0	0	0	0	0	0	1	0	0	0	жеткиликтүү
accession	0	0	0	0	0	0	0	0	0	0	кошулуу
accessory	0	0	0	0	0	0	0	0	0	0	аксессуар
accident	0	0	0	1	0	1	0	1	1	0	кырсык
accidental	0	0	0	1	0	1	0	0	1	0	кокусунан
accidentally	0	0	0	0	0	0	0	0	1	0	кокусунан
accolade	0	1	0	0	1	0	1	0	1	1	мактоо
accommodate	0	0	0	0	0	0	0	0	0	0	жайгаштыруу
accommodation	0	0	0	0	0	0	1	0	0	0	жатакана
accompaniment	0	1	0	0	1	0	1	0	0	1	коштоо
accompany	0	0	0	0	0	0	0	0	0	0	коштоп жүрүү
accompanying	0	0	0	0	0	0	0	0	0	0	коштоп жүрүүчү
accomplice	0	0	0	0	0	0	0	0	0	0	шериктеш
accomplish	0	0	0	0	1	0	1	0	0	0	аткаруу
accomplished	0	0	0	0	1	0	1	0	0	0	аткарылган
accomplishment	0	0	0	0	0	0	1	0	0	0	жетишкендик
accord	0	0	0	0	0	0	1	0	0	1	макулдашуу
accordance	0	0	0	0	0	0	0	0	0	0	ылайык
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон
account	0	0	0	0	0	0	0	0	0	1	эсеп
accountability	0	0	0	0	0	0	1	0	0	1	жоопкерчилик
accountable	0	0	0	0	0	0	1	0	0	1	жоопкерчиликтүү
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтер
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтердик эсеп
accounts	0	0	0	0	0	0	0	0	0	1	эсептер
accredited	0	0	0	0	0	0	1	0	0	1	аккредиттелген
accretion	0	0	0	0	0	0	0	0	0	0	топтоо
accrue	0	0	0	0	0	0	0	0	0	0	топтоо
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	топтоо
accumulation	0	0	0	0	0	0	0	0	0	0	топтоо
accuracy	0	0	0	0	0	0	0	0	0	0	тактык
accurate	0	0	0	0	0	0	1	0	0	1	так
accursed	1	0	0	1	0	1	0	1	0	0	каргыш тийген
accusation	1	0	1	0	0	1	0	0	0	0	айыптоо
accusative	0	0	0	0	0	1	0	0	0	0	айыптоочу
accused	1	0	0	1	0	1	0	0	0	0	айыпталган
accuser	1	0	0	1	0	1	0	0	0	0	айыптоочу
accusing	1	0	0	1	0	1	0	0	0	0	айыптоо
accustomed	0	0	0	0	0	0	0	0	0	0	көнүп калган
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	уксус
ache	0	0	0	0	0	1	0	1	0	0	оору
achieve	0	0	0	0	1	0	1	0	0	1	жетишүү
achievement	0	1	0	0	1	0	1	0	0	1	жетишкендик
aching	0	0	0	0	0	1	0	1	0	0	оорутуу
acid	0	0	0	0	0	1	0	0	0	0	кислота
acidity	0	0	0	0	0	0	0	0	0	0	кислоталык
acknowledge	0	0	0	0	0	0	0	0	0	0	моюнга алуу
acknowledged	0	0	0	0	0	0	0	0	0	0	таанылган
acknowledgment	0	0	0	0	0	0	1	0	0	0	таануу
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	акустикалык
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	таанышуу
acquaintance	0	0	0	0	0	0	0	0	0	0	таанышуу
acquainted	0	0	0	0	0	0	0	0	0	0	таанышкан
acquiescence	0	0	0	0	0	0	0	0	0	0	макул болуу
acquire	0	0	0	0	0	0	1	0	0	0	алуу
acquiring	0	1	0	0	0	0	1	0	0	0	алуу
acquisition	0	0	0	0	0	0	0	0	0	0	алуу
acquisitions	0	0	0	0	0	0	0	0	0	0	сатып алуулар
acreage	0	0	0	0	0	0	0	0	0	0	гектар
acres	0	0	0	0	0	0	0	0	0	0	гектар
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	акт
acting	0	0	0	0	0	0	0	0	0	0	актёрдук кылуу
action	0	0	0	0	0	0	1	0	0	0	иш-аракет
actionable	1	0	1	0	0	1	0	0	0	0	аракетке жарамдуу
active	0	0	0	0	0	0	0	0	0	0	активдүү
activity	0	0	0	0	0	0	0	0	0	0	активдүүлүк
actor	0	0	0	0	0	0	0	0	0	0	актер
actual	0	0	0	0	0	0	1	0	0	0	актуалдуу
actuality	0	0	0	0	0	0	0	0	0	0	актуалдуулук
actuary	0	0	0	0	0	0	0	0	0	0	актуарий
acuity	0	0	0	0	0	0	1	0	0	0	курчтук
acumen	0	0	0	0	0	0	1	0	0	0	кыраакылык
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	курч
adage	0	0	0	0	0	0	0	0	0	0	макал
adamant	0	0	0	0	0	0	0	0	0	0	бекем
adapt	0	0	0	0	0	0	1	0	0	0	ылайыкташтыруу
adaptable	0	0	0	0	0	0	1	0	0	0	ийкемдүү
add	0	0	0	0	0	0	0	0	0	0	кошуу
added	0	0	0	0	0	0	0	0	0	0	кошулду
addendum	0	0	0	0	0	0	0	0	0	0	кошумча
adder	1	0	1	1	0	1	0	1	0	0	толуктоочу
addiction	0	0	0	0	0	1	0	0	0	0	көз карандылык
addition	0	0	0	0	0	0	0	0	0	0	кошумча
additional	0	0	0	0	0	0	0	0	0	0	кошумча
additive	0	0	0	0	0	0	0	0	0	0	кошумча
address	0	0	0	0	0	0	0	0	0	0	дареги
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	даректер
adept	0	0	0	0	0	0	1	0	0	0	чебер
adequacy	0	0	0	0	0	0	1	0	0	0	адекваттуулугу
adequate	0	0	0	0	0	0	0	0	0	0	адекваттуу
adhere	0	0	0	0	0	0	0	0	0	0	кармануу
adherence	0	0	0	0	0	0	0	0	0	0	кармануу
adherent	0	0	0	0	0	0	0	0	0	0	кармануучу
adhering	0	0	0	0	0	0	0	0	0	1	кармануу
adhesion	0	0	0	0	0	0	0	0	0	0	адгезия
adhesive	0	0	0	0	0	0	0	0	0	0	клей
adieu	0	0	0	0	0	0	0	0	0	0	кош
adipose	0	0	0	0	0	1	0	0	0	0	Майлуу
adjacency	0	0	0	0	0	0	0	0	0	0	жанаша болуу
adjacent	0	0	0	0	0	0	0	0	0	0	жанаша
adjective	0	0	0	0	0	0	0	0	0	0	сын атооч
adjoining	0	0	0	0	0	0	0	0	0	0	жанаша
adjourn	0	0	0	0	0	0	0	0	0	0	тыныгуу
adjournment	0	0	0	0	0	0	0	0	0	0	тыныгуу
adjudicate	0	0	0	1	0	1	0	0	0	0	өкүм чыгаруу
adjudication	0	0	0	0	0	0	0	0	0	0	өкүм чыгаруу
adjunct	0	0	0	0	0	0	1	0	0	0	кошумча
adjust	0	0	0	0	0	0	0	0	0	0	тууралоо
adjustment	0	0	0	0	0	0	0	0	0	0	тууралоо
adjuvant	0	0	0	0	0	0	0	0	0	0	адъювант
administer	0	0	0	0	0	0	0	0	0	0	башкаруу
administration	0	0	0	0	0	0	0	0	0	0	администрация
administrative	0	0	0	0	0	0	0	0	0	1	административдик
admirable	0	0	0	0	1	0	1	0	0	1	суктанарлык
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралт
admiration	0	0	0	0	1	0	1	0	0	1	суктануу
admire	0	0	0	0	0	0	1	0	0	1	суктануу
admirer	0	0	0	0	0	0	1	0	0	0	сүйүүчү
admissibility	0	0	0	0	0	0	0	0	0	0	жол берилиши
admissible	0	0	0	0	0	0	1	0	0	1	жол берилген
admission	0	0	0	0	0	0	0	0	0	0	кабыл алуу
admit	0	0	0	0	0	0	0	0	0	0	моюнга алуу
admittance	0	0	0	0	0	0	0	0	0	0	кабыл алуу
admitted	0	0	0	0	0	0	0	0	0	0	мойнуна алды
admitting	0	0	0	0	0	0	0	0	0	0	моюнга алуу
admixture	0	0	0	0	0	0	0	0	0	0	аралашма
admonition	0	0	0	1	0	1	0	0	0	0	насаат
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	өспүрүм курак
adolescent	0	0	0	0	0	0	0	0	0	0	өспүрүм
adopt	0	0	0	0	0	0	0	0	0	0	кабыл алуу
adoption	0	0	0	0	0	0	0	0	0	0	асырап алуу
adorable	0	0	0	0	1	0	1	0	0	0	сүйкүмдүү
adoration	0	0	0	0	1	0	1	0	0	1	сыйынуу
adore	0	1	0	0	1	0	1	0	0	1	сүйөм
adorn	0	0	0	0	0	0	0	0	0	0	кооздоо
adornment	0	0	0	0	0	0	0	0	0	0	жасалгалоо
adrift	0	1	0	1	0	1	0	1	0	0	тентек
adult	0	0	0	0	0	0	0	0	0	0	бойго жеткен
adulterated	0	0	0	0	0	1	0	0	0	0	бурмаланган
adultery	0	0	1	0	0	1	0	1	0	0	ойноштук
advance	0	1	0	1	1	0	1	0	1	0	алдын ала
advanced	0	0	0	0	0	0	1	0	0	0	өнүккөн
advancement	0	0	0	0	0	0	1	0	0	0	прогресс
advancing	0	0	0	0	0	0	0	0	0	0	алдыга
advantage	0	0	0	0	0	0	1	0	0	0	артыкчылыгы
advantageous	0	0	0	0	0	0	1	0	0	0	пайдалуу
advent	0	1	0	0	1	0	1	0	0	1	келиши
adventure	0	1	0	0	0	0	1	0	0	0	приключение
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	авантюрист
adversary	1	0	0	0	0	1	0	0	0	0	душман
adverse	1	0	1	1	0	1	0	1	0	0	терс
adversity	1	0	0	1	0	1	0	1	0	0	кыйынчылык
advertise	0	0	0	0	0	0	0	0	0	0	жарнамалоо
advertisement	0	0	0	0	0	0	0	0	0	0	жарнама
advice	0	0	0	0	0	0	0	0	0	1	кеңеш
advisable	0	0	0	0	0	0	1	0	0	1	максатка ылайыктуу
advise	0	0	0	0	0	0	1	0	0	1	кеңеш берүү
advised	0	0	0	0	0	0	0	0	0	1	кеңеш берди
advisement	0	0	0	0	0	0	0	0	0	0	кеңеш
adviser	0	0	0	0	0	0	1	0	0	1	кеңешчи
advocacy	1	1	0	0	1	0	1	0	0	1	жактоо
advocate	0	0	0	0	0	0	0	0	0	1	жактоочу
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	аэрация
aerial	0	0	0	0	0	0	0	0	0	0	аба
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аэронавтика
aeroplane	0	0	0	0	0	0	0	0	0	0	учак
aesthetic	0	0	0	0	0	0	1	0	0	0	эстетикалык
aesthetics	0	0	0	0	1	0	1	0	0	0	эстетика
aetiology	0	0	0	0	0	0	0	0	0	0	этиологиясы
afar	0	0	0	0	0	0	0	0	0	0	алыс
affable	0	0	0	0	0	0	1	0	0	0	боорукер
affair	0	0	0	0	0	0	0	0	0	0	иш
affecting	0	0	0	0	0	0	0	0	0	0	таасир этүүчү
affection	0	0	0	0	1	0	1	0	0	1	сүйүү
affections	0	0	0	0	0	0	0	0	0	0	сезимдер
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	тастыктама
affiliated	0	0	0	0	0	0	1	0	0	0	туунду
affiliation	0	0	0	0	0	0	0	0	0	0	тиешелүүлүгү
affinity	0	0	0	0	0	0	0	0	0	0	жакындык
affirm	0	0	0	0	0	0	1	0	0	1	ырастоо
affirmation	0	0	0	0	0	0	1	0	0	0	ырастоо
affirmative	0	0	0	0	0	0	1	0	0	0	ырастоочу
affirmatively	0	0	0	0	0	0	1	0	0	1	ырастап
affix	0	0	0	0	0	0	0	0	0	0	аффикс
afflict	0	0	0	1	0	1	0	1	0	0	кыйналуу
afflicted	0	0	0	0	0	1	0	0	0	0	жапа чеккен
affliction	0	0	1	1	0	1	0	1	0	0	азап
affluence	0	0	0	0	1	0	1	0	0	0	байлык
affluent	0	0	0	0	0	0	1	0	0	0	бай
afford	0	0	0	0	0	0	1	0	0	0	берем
affront	1	0	1	1	0	1	0	1	1	0	кордоо
afield	0	0	0	0	0	0	0	0	0	0	алыс
afore	0	0	0	0	0	0	0	0	0	0	мурда
aforementioned	0	0	0	0	0	0	0	0	0	0	жогоруда айтылган
aforesaid	0	0	0	0	0	0	0	0	0	0	жогоруда айтылган
afraid	0	0	0	1	0	1	0	0	0	0	коркуп
afresh	0	0	0	0	0	0	0	0	0	0	кайра
aft	0	0	0	0	0	0	0	0	0	0	арткы
aftermath	1	0	1	1	0	1	0	1	0	0	кийин
afternoon	0	0	0	0	0	0	0	0	0	0	түштөн кийин
aftertaste	0	0	0	0	0	1	0	0	0	0	даамдан кийин
afterthought	0	0	0	0	0	0	0	0	0	0	кийин ойлогон
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	жашы
aged	0	0	0	0	0	0	0	0	0	0	жаштагы
agency	0	0	0	0	0	0	0	0	0	0	агентство
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация
aggravated	1	0	0	0	0	1	0	0	0	0	күчөгөн
aggravating	1	0	0	0	0	1	0	1	0	0	оорлотуучу
aggravation	1	0	1	0	0	1	0	0	0	0	курчутуу
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	топтоо
aggression	1	0	0	1	0	1	0	0	0	0	агрессия
aggressive	1	0	0	1	0	1	0	0	0	0	агрессивдүү
aggressor	1	0	0	1	0	1	0	0	0	0	агрессор
aghast	0	0	1	1	0	1	0	0	1	0	үрөй учурарлык
agile	0	0	0	0	0	0	1	0	0	0	шамдагай
agility	0	0	0	0	0	0	1	0	0	0	шамдагайлык
agitated	1	0	0	0	0	1	0	0	0	0	козголду
agitation	1	0	0	0	0	1	0	0	0	0	агитация
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	мурун
agonizing	0	0	0	1	0	1	0	0	0	0	азаптуу
agony	1	0	0	1	0	1	0	1	0	0	азап
agree	0	0	0	0	0	0	1	0	0	0	макул
agreeable	0	0	0	0	0	0	1	0	0	1	макул
agreed	0	0	0	0	0	0	1	0	0	1	макулдашты
agreeing	0	0	0	0	0	0	1	0	0	1	макул болуу
agreement	0	0	0	0	0	0	1	0	0	1	макулдашуу
agricultural	0	0	0	0	0	0	0	0	0	0	айыл чарба
agriculture	0	0	0	0	0	0	1	0	0	0	айыл чарбасы
aground	0	0	0	0	0	1	0	0	0	0	жерде калуу
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	алдыда
aid	0	0	0	0	0	0	1	0	0	0	жардам
aiding	0	0	0	0	0	0	1	0	0	0	жардам берүү
ail	0	0	0	0	0	1	0	1	0	0	айыл
ailing	0	0	0	1	0	1	0	1	0	0	оорулуу
ailment	0	0	0	0	0	0	0	0	0	0	оору
aim	0	0	0	0	0	0	0	0	0	0	максат
aimless	0	0	0	0	0	1	0	0	0	0	максатсыз
air	0	0	0	0	0	0	0	0	0	0	аба
airbag	0	0	0	0	0	0	0	0	0	0	аба жаздыкчасы
airlift	0	0	0	0	0	0	0	0	0	0	аба жүктөө
airline	0	0	0	0	0	0	0	0	0	0	авиакомпания
airman	0	0	0	0	0	0	0	0	0	0	абачы
airplane	0	0	0	0	0	0	0	0	0	0	учак
airport	0	1	0	0	0	0	0	0	0	0	аэропорт
airs	0	0	1	0	0	1	0	0	0	0	аба
airship	0	0	0	0	0	0	0	0	0	0	дирижабль
aisle	0	0	0	0	0	0	0	0	0	0	өтмөк
ait	0	0	0	0	0	0	0	0	0	0	айт
ajar	0	0	0	0	0	0	0	0	0	0	жар
akin	0	0	0	0	0	0	0	0	0	1	акин
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	сигнализация
alarming	0	0	0	1	0	1	0	0	1	0	коркунучтуу
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	спирт
alcoholism	1	0	1	1	0	1	0	1	0	0	аракечтик
alcove	0	0	0	0	0	0	0	0	0	0	оюк
alert	0	0	0	0	0	0	0	0	0	0	эскертүү
alertness	0	1	0	1	0	0	1	0	1	0	сергектик
alerts	0	1	0	1	0	0	0	0	1	0	эскертүүлөр
alfalfa	0	0	0	0	0	0	0	0	0	0	беде
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебралык
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	келгин
alienate	1	0	1	0	0	1	0	0	0	0	ажыратуу
alienated	0	0	0	0	0	1	0	1	0	0	ажыратылган
alienation	1	0	1	1	0	1	0	1	0	0	ээликтен ажыратуу
alight	0	0	0	0	0	0	0	0	0	0	күйүү
aligned	0	0	0	0	0	0	0	0	0	0	тегизделген
alignment	0	0	0	0	0	0	0	0	0	0	тегиздөө
alike	0	0	0	0	0	0	0	0	0	0	окшош
alimentation	0	0	0	0	0	0	1	0	0	0	тамактануу
alimony	0	0	0	0	0	1	0	0	0	0	алимент
aliquot	0	0	0	0	0	0	0	0	0	0	аликот
alive	0	1	0	0	1	0	1	0	0	1	тирүү
alkali	0	0	0	0	0	0	0	0	0	0	щелоч
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиддер
allay	0	0	0	0	0	0	1	0	0	0	тынчтандыруу
allegation	1	0	0	0	0	1	0	0	0	0	айыптоо
allege	0	0	0	0	0	1	0	0	0	0	далилдөө
alleged	0	0	0	0	0	0	0	0	0	0	болжолдонгон
allegiance	0	0	0	0	0	0	1	0	0	1	берилгендик
allegorical	0	0	0	0	0	0	0	0	0	0	аллегориялык
allegory	0	0	0	0	0	0	0	0	0	0	аллегория
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	жеңилдетүү
alleviation	0	0	0	0	0	0	1	0	0	0	жеңилдетүү
alley	0	0	0	0	0	0	0	0	0	0	аллея
alliance	0	0	0	0	0	0	0	0	0	1	союз
allied	0	0	0	0	0	0	1	0	0	1	союздаш
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор
allocate	0	0	0	0	0	0	0	0	0	0	бөлүү
allocation	0	0	0	0	0	0	0	0	0	0	бөлүштүрүү
allot	0	0	0	0	0	0	0	0	0	0	бөлүү
allotment	0	0	0	0	0	0	0	0	0	0	бөлүштүрүү
allowable	0	0	0	0	0	0	1	0	0	0	уруксат берилген
allowance	0	0	0	0	0	0	0	0	0	0	пособие
allowed	0	0	0	0	0	0	0	0	0	0	уруксат
alloy	0	0	0	0	0	0	0	0	0	0	эритме
allure	0	1	0	0	1	0	1	0	1	0	тартуу
alluring	0	0	0	0	0	0	1	0	0	0	жагымдуу
allusion	0	0	0	0	0	0	0	0	0	0	ишарат
alluvial	0	0	0	0	0	0	0	0	0	0	аллювий
ally	0	0	0	0	0	0	1	0	0	1	союздаш
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	кудуреттүү
aloft	0	0	0	0	0	0	0	0	0	0	бийикте
aloha	0	1	0	0	1	0	1	0	0	0	аллох
alongside	0	0	0	0	0	0	0	0	0	0	жанында
aloof	0	0	0	0	0	1	0	0	0	0	алыс
aloud	0	0	0	0	0	0	0	0	0	0	үн чыгарып
alphabet	0	0	0	0	0	0	0	0	0	0	алфавит
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавиттик
altar	0	0	0	0	0	0	0	0	0	0	курмандык чалынуучу жай
alter	0	0	0	0	0	0	0	0	0	0	өзгөртүү
alteration	0	0	0	0	0	0	0	0	0	0	өзгөртүү
altercation	1	0	0	0	0	1	0	0	0	0	уруш
altered	0	0	0	0	0	0	0	0	0	0	өзгөртүлгөн
alternate	0	0	0	0	0	0	0	0	0	0	кезектешип
alternative	0	0	0	0	0	0	0	0	0	0	альтернатива
altitude	0	0	0	0	0	0	0	0	0	0	бийиктик
alto	0	0	0	0	0	0	0	0	0	0	альто
altogether	0	0	0	0	0	0	0	0	0	0	толугу менен
alumnus	0	0	0	0	0	0	0	0	0	0	бүтүрүүчү
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолярдык
amalgam	0	0	0	0	0	0	0	0	0	0	амальгам
amalgamation	0	0	0	0	0	0	0	0	0	0	бириктирүү
amass	0	0	0	0	0	0	0	0	0	0	топтоо
amateur	0	0	0	0	0	0	0	0	0	0	ышкыбоз
amaze	0	0	0	0	0	0	0	0	1	0	таң калтыруу
amazement	0	0	0	0	0	0	0	0	0	0	таң калуу
amazingly	0	0	0	0	1	0	1	0	1	0	укмуштуудай
ambassador	0	0	0	0	0	0	1	0	0	1	элчи
amber	0	0	0	0	0	0	0	0	0	0	янтарь
ambient	0	0	0	0	0	0	0	0	0	0	чөйрө
ambiguity	0	0	0	0	0	0	0	0	0	0	түшүнүксүздүк
ambiguous	0	0	0	0	0	1	0	0	0	0	түшүнүксүз
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	амбиция
ambitious	0	0	0	0	0	0	0	0	0	0	амбициялуу
ambulance	0	0	0	1	0	0	0	0	0	1	тез жардам
ambush	1	0	0	1	0	1	0	0	1	0	буктурма
ameliorate	0	0	0	0	0	0	1	0	0	0	жакшыртуу
amen	0	0	0	0	1	0	1	0	0	1	омин
amenable	0	0	0	0	0	0	1	0	0	0	ылайыктуу
amend	0	0	0	0	0	0	1	0	0	0	түзөтүү
amendment	0	0	0	0	0	0	0	0	0	0	түзөтүү
amends	0	0	0	0	0	0	1	0	0	0	түзөтөт
amenity	0	0	0	0	0	0	1	0	0	0	ыңгайлуулук
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	мээримдүү
amicable	0	0	0	0	1	0	1	0	0	0	ынтымактуу
amid	0	0	0	0	0	0	0	0	0	0	ортосунда
amidst	0	0	0	0	0	0	0	0	0	0	арасында
ammonia	0	0	1	0	0	0	0	0	0	0	аммиак
ammunition	0	0	0	0	0	0	0	0	0	0	ок-дары
amnesia	0	0	0	0	0	1	0	0	0	0	амнезия
amnesty	0	0	0	0	1	0	1	0	0	0	амнистия
