English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sundanese Word
abortion	0	0	1	1	0	1	0	1	0	0	aborsi
abortive	0	0	0	0	0	1	0	1	0	0	abortif
abound	0	0	0	0	0	0	0	0	0	0	ngalobaan
abovementioned	0	0	0	0	0	0	1	0	0	0	disebutkeun di luhur
abrasion	0	0	0	0	0	1	0	0	0	0	abrasion
abroad	0	0	0	0	0	0	0	0	0	0	mancanagara
abrogate	0	0	0	0	0	1	0	0	0	0	ngabatalkeun
abrupt	0	0	0	0	0	0	0	0	1	0	ngadadak
abruptly	0	0	0	0	0	0	0	0	0	0	ngadadak
abscess	0	0	0	0	0	1	0	1	0	0	bisul
absence	0	0	0	1	0	1	0	1	0	0	henteuna
absent	0	0	0	0	0	1	0	1	0	0	bolos
absentee	0	0	0	0	0	1	0	1	0	0	absen
absenteeism	0	0	0	0	0	1	0	0	0	0	absén
absinthe	0	0	0	0	0	0	0	0	0	0	absinté
absolute	0	0	0	0	0	0	1	0	0	0	mutlak
absolution	0	0	0	0	1	0	1	0	0	1	pangampura
absorbed	0	0	0	0	0	0	1	0	0	0	diserep
absorbent	0	0	0	0	0	0	0	0	0	0	nyerep
absorbing	0	0	0	0	0	0	0	0	0	0	nyerep
absorption	0	0	0	0	0	0	0	0	0	0	nyerep
abstain	0	0	0	0	0	0	0	0	0	0	ngajauhan
abstention	0	0	0	0	0	0	0	0	0	0	absen
abstinence	0	0	0	0	0	0	0	0	0	0	pantang-pantang
abstract	0	0	0	0	0	0	0	0	0	0	abstrak
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksi
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditas
abundance	0	1	1	0	1	1	1	0	0	1	kaayaanana
abundant	0	0	0	0	1	0	1	0	0	0	loba pisan
abuse	1	0	1	1	0	1	0	1	0	0	nyiksa
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	jurang
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	ngaku
accelerate	0	1	0	0	0	0	0	0	0	0	ngagancangkeun
acceleration	0	0	0	0	0	0	0	0	0	0	gagancangan
accent	0	0	0	0	0	0	0	0	0	0	aksen
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	narima
acceptable	0	0	0	0	0	0	1	0	0	0	bisa ditarima
acceptance	0	0	0	0	0	0	1	0	0	0	panarimaan
access	0	0	0	0	0	0	0	0	0	0	aksés
accessible	0	0	0	0	0	0	1	0	0	0	diaksés
accession	0	0	0	0	0	0	0	0	0	0	digentos
accessory	0	0	0	0	0	0	0	0	0	0	aksésori
accident	0	0	0	1	0	1	0	1	1	0	kacilakaan
accidental	0	0	0	1	0	1	0	0	1	0	teu kahaja
accidentally	0	0	0	0	0	0	0	0	1	0	ngahaja
accolade	0	1	0	0	1	0	1	0	1	1	panghargaan
accommodate	0	0	0	0	0	0	0	0	0	0	nampung
accommodation	0	0	0	0	0	0	1	0	0	0	panginepan
accompaniment	0	1	0	0	1	0	1	0	0	1	iringan
accompany	0	0	0	0	0	0	0	0	0	0	ngiringan
accompanying	0	0	0	0	0	0	0	0	0	0	ngaréncangan
accomplice	0	0	0	0	0	0	0	0	0	0	antek
accomplish	0	0	0	0	1	0	1	0	0	0	ngalengkepan
accomplished	0	0	0	0	1	0	1	0	0	0	dilaksanakeun
accomplishment	0	0	0	0	0	0	1	0	0	0	prestasi
accord	0	0	0	0	0	0	1	0	0	1	akur
accordance	0	0	0	0	0	0	0	0	0	0	saluyu
accordion	0	0	0	0	0	0	0	0	0	0	akordion
account	0	0	0	0	0	0	0	0	0	1	akun
accountability	0	0	0	0	0	0	1	0	0	1	tanggung jawab
accountable	0	0	0	0	0	0	1	0	0	1	tanggung jawab
accountant	0	0	0	0	0	0	0	0	0	1	akuntan
accounting	0	0	0	0	0	0	0	0	0	0	akuntansi
accounts	0	0	0	0	0	0	0	0	0	1	rekening
accredited	0	0	0	0	0	0	1	0	0	1	akreditasi
accretion	0	0	0	0	0	0	0	0	0	0	akresi
accrue	0	0	0	0	0	0	0	0	0	0	nambahan
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ngumpulkeun
accumulation	0	0	0	0	0	0	0	0	0	0	akumulasi
accuracy	0	0	0	0	0	0	0	0	0	0	akurasi
accurate	0	0	0	0	0	0	1	0	0	1	akurat
accursed	1	0	0	1	0	1	0	1	0	0	dikutuk
accusation	1	0	1	0	0	1	0	0	0	0	tuduh
accusative	0	0	0	0	0	1	0	0	0	0	akusatif
accused	1	0	0	1	0	1	0	0	0	0	dituduh
accuser	1	0	0	1	0	1	0	0	0	0	panuduh
accusing	1	0	0	1	0	1	0	0	0	0	nuduh
accustomed	0	0	0	0	0	0	0	0	0	0	biasa
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	asétat
ache	0	0	0	0	0	1	0	1	0	0	nyeri
achieve	0	0	0	0	1	0	1	0	0	1	ngahontal
achievement	0	1	0	0	1	0	1	0	0	1	prestasi
aching	0	0	0	0	0	1	0	1	0	0	nyeri
acid	0	0	0	0	0	1	0	0	0	0	asam
acidity	0	0	0	0	0	0	0	0	0	0	kaasaman
acknowledge	0	0	0	0	0	0	0	0	0	0	ngaku
acknowledged	0	0	0	0	0	0	0	0	0	0	ngaku
acknowledgment	0	0	0	0	0	0	1	0	0	0	pangakuan
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	wawuh
acquaintance	0	0	0	0	0	0	0	0	0	0	kenalan
acquainted	0	0	0	0	0	0	0	0	0	0	wawuh
acquiescence	0	0	0	0	0	0	0	0	0	0	akur
acquire	0	0	0	0	0	0	1	0	0	0	acquire
acquiring	0	1	0	0	0	0	1	0	0	0	meunangkeun
acquisition	0	0	0	0	0	0	0	0	0	0	akuisisi
acquisitions	0	0	0	0	0	0	0	0	0	0	akuisisi
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	hektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	kalakuan
acting	0	0	0	0	0	0	0	0	0	0	akting
action	0	0	0	0	0	0	1	0	0	0	tindakan
actionable	1	0	1	0	0	1	0	0	0	0	actionable
active	0	0	0	0	0	0	0	0	0	0	aktip
activity	0	0	0	0	0	0	0	0	0	0	kagiatan
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	sabenerna
actuality	0	0	0	0	0	0	0	0	0	0	aktualitas
actuary	0	0	0	0	0	0	0	0	0	0	aktuaris
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	kapinteran
acupuncture	0	0	0	0	0	0	0	0	0	0	akupungtur
acutely	0	0	0	0	0	0	0	0	0	0	sacara akut
adage	0	0	0	0	0	0	0	0	0	0	paribasa
adamant	0	0	0	0	0	0	0	0	0	0	panceg
adapt	0	0	0	0	0	0	1	0	0	0	adaptasi
adaptable	0	0	0	0	0	0	1	0	0	0	bisa adaptasi
add	0	0	0	0	0	0	0	0	0	0	nambahan
added	0	0	0	0	0	0	0	0	0	0	ditambahkeun
addendum	0	0	0	0	0	0	0	0	0	0	tambihan
adder	1	0	1	1	0	1	0	1	0	0	panambih
addiction	0	0	0	0	0	1	0	0	0	0	kacanduan
addition	0	0	0	0	0	0	0	0	0	0	tambihan
additional	0	0	0	0	0	0	0	0	0	0	tambahan
additive	0	0	0	0	0	0	0	0	0	0	aditif
address	0	0	0	0	0	0	0	0	0	0	alamat
addressee	0	0	0	0	0	0	0	0	0	0	alamatna
addresses	0	1	0	0	0	0	1	0	0	0	alamat
adept	0	0	0	0	0	0	1	0	0	0	mahér
adequacy	0	0	0	0	0	0	1	0	0	0	kacukupan
adequate	0	0	0	0	0	0	0	0	0	0	nyukupan
adhere	0	0	0	0	0	0	0	0	0	0	taat
adherence	0	0	0	0	0	0	0	0	0	0	kataatan
adherent	0	0	0	0	0	0	0	0	0	0	patuh
adhering	0	0	0	0	0	0	0	0	0	1	adhering
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	napel
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adiposa
adjacency	0	0	0	0	0	0	0	0	0	0	padeukeut
adjacent	0	0	0	0	0	0	0	0	0	0	padeukeut
adjective	0	0	0	0	0	0	0	0	0	0	kecap sipat
adjoining	0	0	0	0	0	0	0	0	0	0	padeukeut
adjourn	0	0	0	0	0	0	0	0	0	0	nunda
adjournment	0	0	0	0	0	0	0	0	0	0	panundaan
adjudicate	0	0	0	1	0	1	0	0	0	0	ngahukum
adjudication	0	0	0	0	0	0	0	0	0	0	adjudikasi
adjunct	0	0	0	0	0	0	1	0	0	0	panambah
adjust	0	0	0	0	0	0	0	0	0	0	nyaluyukeun
adjustment	0	0	0	0	0	0	0	0	0	0	pangaluyuan
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	nguruskeun
administration	0	0	0	0	0	0	0	0	0	0	administrasi
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	endah pisan
admiral	0	0	0	0	0	0	1	0	0	1	laksamana
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	reueus
admire	0	0	0	0	0	0	1	0	0	1	muji
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	bisa ditarima
admissible	0	0	0	0	0	0	1	0	0	1	bisa ditarima
admission	0	0	0	0	0	0	0	0	0	0	pangakuan
admit	0	0	0	0	0	0	0	0	0	0	ngaku
admittance	0	0	0	0	0	0	0	0	0	0	pangakuan
admitted	0	0	0	0	0	0	0	0	0	0	ngaku
admitting	0	0	0	0	0	0	0	0	0	0	ngaku
admixture	0	0	0	0	0	0	0	0	0	0	campuran
admonition	0	0	0	1	0	1	0	0	0	0	pépéling
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	rumaja
adolescent	0	0	0	0	0	0	0	0	0	0	rumaja
adopt	0	0	0	0	0	0	0	0	0	0	ngadopsi
adoption	0	0	0	0	0	0	0	0	0	0	nyoko
adorable	0	0	0	0	1	0	1	0	0	0	pikaresepeun
adoration	0	0	0	0	1	0	1	0	0	1	pamujaan
adore	0	1	0	0	1	0	1	0	0	1	muja
adorn	0	0	0	0	0	0	0	0	0	0	ngahias
adornment	0	0	0	0	0	0	0	0	0	0	hiasan
adrift	0	1	0	1	0	1	0	1	0	0	ngapung
adult	0	0	0	0	0	0	0	0	0	0	sawawa
adulterated	0	0	0	0	0	1	0	0	0	0	dipalsukan
adultery	0	0	1	0	0	1	0	1	0	0	zinah
advance	0	1	0	1	1	0	1	0	1	0	sateuacanna
advanced	0	0	0	0	0	0	1	0	0	0	maju
advancement	0	0	0	0	0	0	1	0	0	0	kamajuan
advancing	0	0	0	0	0	0	0	0	0	0	maju
advantage	0	0	0	0	0	0	1	0	0	0	Kauntungannana
advantageous	0	0	0	0	0	0	1	0	0	0	nguntungkeun
advent	0	1	0	0	1	0	1	0	0	1	kadatangan
adventure	0	1	0	0	0	0	1	0	0	0	pangumbaraan
adventurer	0	0	0	0	0	0	0	0	0	0	petualang
adventurous	0	0	0	0	0	0	1	0	0	0	petualang
adversary	1	0	0	0	0	1	0	0	0	0	musuh
adverse	1	0	1	1	0	1	0	1	0	0	ngarugikeun
adversity	1	0	0	1	0	1	0	1	0	0	kasangsaraan
advertise	0	0	0	0	0	0	0	0	0	0	ngareklameukeun
advertisement	0	0	0	0	0	0	0	0	0	0	iklan
advice	0	0	0	0	0	0	0	0	0	1	naséhat
advisable	0	0	0	0	0	0	1	0	0	1	sasaena
advise	0	0	0	0	0	0	1	0	0	1	mamatahan
advised	0	0	0	0	0	0	0	0	0	1	dipepelingan
advisement	0	0	0	0	0	0	0	0	0	0	piwuruk
adviser	0	0	0	0	0	0	1	0	0	1	panaséhat
advocacy	1	1	0	0	1	0	1	0	0	1	advokasi
advocate	0	0	0	0	0	0	0	0	0	1	ngajengkeun
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aerasi
aerial	0	0	0	0	0	0	0	0	0	0	hawa
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aérodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	kapal terbang
aesthetic	0	0	0	0	0	0	1	0	0	0	kaendahan
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	étiologi
afar	0	0	0	0	0	0	0	0	0	0	jauh
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	salingkuh
affecting	0	0	0	0	0	0	0	0	0	0	mangaruhan
affection	0	0	0	0	1	0	1	0	0	1	kaasih
affections	0	0	0	0	0	0	0	0	0	0	kaasih
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	surat pernyataan
affiliated	0	0	0	0	0	0	1	0	0	0	pakait
affiliation	0	0	0	0	0	0	0	0	0	0	karaketan
affinity	0	0	0	0	0	0	0	0	0	0	pangirut
affirm	0	0	0	0	0	0	1	0	0	1	negeskeun
affirmation	0	0	0	0	0	0	1	0	0	0	negeskeun
affirmative	0	0	0	0	0	0	1	0	0	0	negeskeun
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmatively
affix	0	0	0	0	0	0	0	0	0	0	afiks
afflict	0	0	0	1	0	1	0	1	0	0	sangsara
afflicted	0	0	0	0	0	1	0	0	0	0	sangsara
affliction	0	0	1	1	0	1	0	1	0	0	kasangsaraan
affluence	0	0	0	0	1	0	1	0	0	0	kamakmuran
affluent	0	0	0	0	0	0	1	0	0	0	makmur
afford	0	0	0	0	0	0	1	0	0	0	mampuh
affront	1	0	1	1	0	1	0	1	1	0	ngahina
afield	0	0	0	0	0	0	0	0	0	0	kajauhan
afore	0	0	0	0	0	0	0	0	0	0	sateuacanna
aforementioned	0	0	0	0	0	0	0	0	0	0	disebut tadi
aforesaid	0	0	0	0	0	0	0	0	0	0	disebut tadi
afraid	0	0	0	1	0	1	0	0	0	0	sieun
afresh	0	0	0	0	0	0	0	0	0	0	deui
aft	0	0	0	0	0	0	0	0	0	0	tukangeun
aftermath	1	0	1	1	0	1	0	1	0	0	saatosna
afternoon	0	0	0	0	0	0	0	0	0	0	soré
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	saurna
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	batu akik
age	0	0	0	0	0	0	0	0	0	0	umur
aged	0	0	0	0	0	0	0	0	0	0	sepuh
agency	0	0	0	0	0	0	0	0	0	0	agénsi
agent	0	0	0	0	0	0	0	0	0	0	agén
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerasi
aggravated	1	0	0	0	0	1	0	0	0	0	diperparah
aggravating	1	0	0	0	0	1	0	1	0	0	ngaheureuykeun
aggravation	1	0	1	0	0	1	0	0	0	0	kakeuheul
aggregate	0	0	0	0	0	0	0	0	0	0	agrégat
aggregation	0	0	0	0	0	0	0	0	0	0	aggregation
aggression	1	0	0	1	0	1	0	0	0	0	agresi
aggressive	1	0	0	1	0	1	0	0	0	0	agrésif
aggressor	1	0	0	1	0	1	0	0	0	0	panyerang
aghast	0	0	1	1	0	1	0	0	1	0	reuwas
agile	0	0	0	0	0	0	1	0	0	0	lincah
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	guligah
agitation	1	0	0	0	0	1	0	0	0	0	guligah
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	baheula
agonizing	0	0	0	1	0	1	0	0	0	0	kanyeri
agony	1	0	0	1	0	1	0	1	0	0	kanyeri
agree	0	0	0	0	0	0	1	0	0	0	satuju
agreeable	0	0	0	0	0	0	1	0	0	1	satuju
agreed	0	0	0	0	0	0	1	0	0	1	sapuk
agreeing	0	0	0	0	0	0	1	0	0	1	satuju
agreement	0	0	0	0	0	0	1	0	0	1	perjangjian
agricultural	0	0	0	0	0	0	0	0	0	0	tatanén
agriculture	0	0	0	0	0	0	1	0	0	0	tatanén
aground	0	0	0	0	0	1	0	0	0	0	kandaraan
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	payuneun
aid	0	0	0	0	0	0	1	0	0	0	bantuan
aiding	0	0	0	0	0	0	1	0	0	0	nulungan
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	gering
ailment	0	0	0	0	0	0	0	0	0	0	panyakit
aim	0	0	0	0	0	0	0	0	0	0	tujuan
aimless	0	0	0	0	0	1	0	0	0	0	teu boga tujuan
air	0	0	0	0	0	0	0	0	0	0	hawa
airbag	0	0	0	0	0	0	0	0	0	0	kantong hawa
airlift	0	0	0	0	0	0	0	0	0	0	angkutan udara
airline	0	0	0	0	0	0	0	0	0	0	maskapai
airman	0	0	0	0	0	0	0	0	0	0	juru udara
airplane	0	0	0	0	0	0	0	0	0	0	kapal terbang
airport	0	1	0	0	0	0	0	0	0	0	bandara
airs	0	0	1	0	0	1	0	0	0	0	hawana
airship	0	0	0	0	0	0	0	0	0	0	kapal udara
aisle	0	0	0	0	0	0	0	0	0	0	lorong
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	sami
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarem
alarming	0	0	0	1	0	1	0	0	1	0	pikahariwangeun
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albeum
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismeu
alcove	0	0	0	0	0	0	0	0	0	0	lolongkrang
alert	0	0	0	0	0	0	0	0	0	0	waspada
alertness	0	1	0	1	0	0	1	0	1	0	kaparigelan
alerts	0	1	0	1	0	0	0	0	1	0	panggeuing
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljabar
algebraic	0	0	0	0	0	0	0	0	0	0	aljabar
algorithm	0	0	0	0	0	0	0	0	0	0	algoritma
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	alien
alienate	1	0	1	0	0	1	0	0	0	0	ngasingkeun
alienated	0	0	0	0	0	1	0	1	0	0	terasing
alienation	1	0	1	1	0	1	0	1	0	0	ngasingkeun
alight	0	0	0	0	0	0	0	0	0	0	turun
aligned	0	0	0	0	0	0	0	0	0	0	dijajarkeun
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	sarua
alimentation	0	0	0	0	0	0	1	0	0	0	dahareun
alimony	0	0	0	0	0	1	0	0	0	0	nafkah
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	hirup
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloid
allay	0	0	0	0	0	0	1	0	0	0	nyangsang
allegation	1	0	0	0	0	1	0	0	0	0	sangkaan
allege	0	0	0	0	0	1	0	0	0	0	ngaduga
alleged	0	0	0	0	0	0	0	0	0	0	disangka
allegiance	0	0	0	0	0	0	1	0	0	1	kasatiaan
allegorical	0	0	0	0	0	0	0	0	0	0	alegoris
allegory	0	0	0	0	0	0	0	0	0	0	alégori
allegro	0	0	0	0	0	0	1	0	0	0	alégro
alleviate	0	0	0	0	0	0	1	0	0	0	ngurangan
alleviation	0	0	0	0	0	0	1	0	0	0	ngurangan
alley	0	0	0	0	0	0	0	0	0	0	gang
alliance	0	0	0	0	0	0	0	0	0	1	aliansi
allied	0	0	0	0	0	0	1	0	0	1	sekutu
alligator	0	0	0	0	0	0	0	0	0	0	buaya
allocate	0	0	0	0	0	0	0	0	0	0	alokasi
allocation	0	0	0	0	0	0	0	0	0	0	alokasi
allot	0	0	0	0	0	0	0	0	0	0	ngabagikeun
allotment	0	0	0	0	0	0	0	0	0	0	jatah
allowable	0	0	0	0	0	0	1	0	0	0	diwenangkeun
allowance	0	0	0	0	0	0	0	0	0	0	sangu
allowed	0	0	0	0	0	0	0	0	0	0	diwenangkeun
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	pikabitaeun
alluring	0	0	0	0	0	0	1	0	0	0	pikabitaeun
allusion	0	0	0	0	0	0	0	0	0	0	sindiran
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	babaturan deukeut
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	maha kawasa
aloft	0	0	0	0	0	0	0	0	0	0	luhur-luhur
aloha	0	1	0	0	1	0	1	0	0	0	heueuh
alongside	0	0	0	0	0	0	0	0	0	0	barengan
aloof	0	0	0	0	0	1	0	0	0	0	ngajauhan
aloud	0	0	0	0	0	0	0	0	0	0	nyaring
alphabet	0	0	0	0	0	0	0	0	0	0	alfabét
alphabetical	0	0	0	0	0	0	0	0	0	0	abjad
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	ngarobah
alteration	0	0	0	0	0	0	0	0	0	0	parobahan
altercation	1	0	0	0	0	1	0	0	0	0	pertengkaran
altered	0	0	0	0	0	0	0	0	0	0	dirobah
alternate	0	0	0	0	0	0	0	0	0	0	silih ganti
alternative	0	0	0	0	0	0	0	0	0	0	alternatif
altitude	0	0	0	0	0	0	0	0	0	0	luhurna
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	sakabehna
alumnus	0	0	0	0	0	0	0	0	0	0	alumni
alveolar	0	0	0	0	0	0	0	0	0	0	alvéolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamasi
amass	0	0	0	0	0	0	0	0	0	0	ngumpulkeun
amateur	0	0	0	0	0	0	0	0	0	0	amatir
amaze	0	0	0	0	0	0	0	0	1	0	pikaheraneun
amazement	0	0	0	0	0	0	0	0	0	0	kaheranan
amazingly	0	0	0	0	1	0	1	0	1	0	luar biasa
ambassador	0	0	0	0	0	0	1	0	0	1	duta
amber	0	0	0	0	0	0	0	0	0	0	ambar
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguitas
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigu
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambisi
ambitious	0	0	0	0	0	0	0	0	0	0	ambisius
ambulance	0	0	0	1	0	0	0	0	0	1	ambulan
ambush	1	0	0	1	0	1	0	0	1	0	tewak
ameliorate	0	0	0	0	0	0	1	0	0	0	ningkatkeun
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	amenable
amend	0	0	0	0	0	0	1	0	0	0	ngarobah
amendment	0	0	0	0	0	0	0	0	0	0	amandemen
amends	0	0	0	0	0	0	1	0	0	0	amends
amenity	0	0	0	0	0	0	1	0	0	0	kasenangan
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	marahmay
amicable	0	0	0	0	1	0	1	0	0	0	silaturahmi
amid	0	0	0	0	0	0	0	0	0	0	ditengah
amidst	0	0	0	0	0	0	0	0	0	0	ditengah
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	amunisi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	pangampunan
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisasi
amount	0	0	0	0	0	0	0	0	0	0	jumlah
amour	0	1	0	0	1	0	1	0	0	1	asmara
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibi
amphibious	0	0	0	0	0	0	0	0	0	0	amfibi
amphitheater	0	0	0	0	0	0	0	0	0	0	amfitéater
amplification	0	0	0	0	0	0	0	0	0	0	amplifikasi
