English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Luxembourgish Word
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	Sucht
addition	0	0	0	0	0	0	0	0	0	0	Zousätzlech
additional	0	0	0	0	0	0	0	0	0	0	zousätzlech
additive	0	0	0	0	0	0	0	0	0	0	additiv
address	0	0	0	0	0	0	0	0	0	0	Adress
addressee	0	0	0	0	0	0	0	0	0	0	adresséiert
addresses	0	1	0	0	0	0	1	0	0	0	Adressen
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	Adequatitéit
adequate	0	0	0	0	0	0	0	0	0	0	adäquate
adhere	0	0	0	0	0	0	0	0	0	0	hänken
adherence	0	0	0	0	0	0	0	0	0	0	Anhale
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	anhalen
adhesion	0	0	0	0	0	0	0	0	0	0	Haftung
adhesive	0	0	0	0	0	0	0	0	0	0	Klebstoff
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	adjacency
adjacent	0	0	0	0	0	0	0	0	0	0	ugrenzend
adjective	0	0	0	0	0	0	0	0	0	0	Adjektiv
adjoining	0	0	0	0	0	0	0	0	0	0	ugrenzend
adjourn	0	0	0	0	0	0	0	0	0	0	ajouréieren
adjournment	0	0	0	0	0	0	0	0	0	0	ajournement
adjudicate	0	0	0	1	0	1	0	0	0	0	beurteelen
adjudication	0	0	0	0	0	0	0	0	0	0	Uerteel
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	ajustéieren
adjustment	0	0	0	0	0	0	0	0	0	0	Upassung
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	verwalten
administration	0	0	0	0	0	0	0	0	0	0	Verwaltung
administrative	0	0	0	0	0	0	0	0	0	1	administrativ
admirable	0	0	0	0	1	0	1	0	0	1	bewonneren
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitéit
admiration	0	0	0	0	1	0	1	0	0	1	Bewonnerung
admire	0	0	0	0	0	0	1	0	0	1	bewonneren
admirer	0	0	0	0	0	0	1	0	0	0	bewonneren
admissibility	0	0	0	0	0	0	0	0	0	0	zougänglech
admissible	0	0	0	0	0	0	1	0	0	1	zulässlech
admission	0	0	0	0	0	0	0	0	0	0	Entrée
admit	0	0	0	0	0	0	0	0	0	0	zouginn
admittance	0	0	0	0	0	0	0	0	0	0	Entrée
admitted	0	0	0	0	0	0	0	0	0	0	zouginn
admitting	0	0	0	0	0	0	0	0	0	0	zouginn
admixture	0	0	0	0	0	0	0	0	0	0	Zousatz
admonition	0	0	0	1	0	1	0	0	0	0	Vermanung
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	Jugendlecher
adolescent	0	0	0	0	0	0	0	0	0	0	adolescent
adopt	0	0	0	0	0	0	0	0	0	0	adoptéieren
adoption	0	0	0	0	0	0	0	0	0	0	Adoptioun
adorable	0	0	0	0	1	0	1	0	0	0	séiss
adoration	0	0	0	0	1	0	1	0	0	1	adoration
adore	0	1	0	0	1	0	1	0	0	1	bewonneren
adorn	0	0	0	0	0	0	0	0	0	0	verschéineren
adornment	0	0	0	0	0	0	0	0	0	0	Dekoratioun
adrift	0	1	0	1	0	1	0	1	0	0	oflafen
adult	0	0	0	0	0	0	0	0	0	0	erwuessener
adulterated	0	0	0	0	0	1	0	0	0	0	erwuessene
adultery	0	0	1	0	0	1	0	1	0	0	Erhuelung
advance	0	1	0	1	1	0	1	0	1	0	viraus
advanced	0	0	0	0	0	0	1	0	0	0	fortgeschratt
advancement	0	0	0	0	0	0	1	0	0	0	Fortschrëtt
advancing	0	0	0	0	0	0	0	0	0	0	virugoen
advantage	0	0	0	0	0	0	1	0	0	0	Virdeel
advantageous	0	0	0	0	0	0	1	0	0	0	avantagéis
advent	0	1	0	0	1	0	1	0	0	1	Advent
adventure	0	1	0	0	0	0	1	0	0	0	Erliefnes
adventurer	0	0	0	0	0	0	0	0	0	0	Abenteuer
adventurous	0	0	0	0	0	0	1	0	0	0	abenteuerlech
adversary	1	0	0	0	0	1	0	0	0	0	Géigner
adverse	1	0	1	1	0	1	0	1	0	0	negativ
adversity	1	0	0	1	0	1	0	1	0	0	Néierlag
advertise	0	0	0	0	0	0	0	0	0	0	annoncéieren
advertisement	0	0	0	0	0	0	0	0	0	0	Annonce
advice	0	0	0	0	0	0	0	0	0	1	Rotschléi
advisable	0	0	0	0	0	0	1	0	0	1	beroden
advise	0	0	0	0	0	0	1	0	0	1	beroden
advised	0	0	0	0	0	0	0	0	0	1	beroden
advisement	0	0	0	0	0	0	0	0	0	0	beroden
adviser	0	0	0	0	0	0	1	0	0	1	Beroder
advocacy	1	1	0	0	1	0	1	0	0	1	Plädoyer
advocate	0	0	0	0	0	0	0	0	0	1	Affekot
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	Belëftung
aerial	0	0	0	0	0	0	0	0	0	0	Loftopklärung
aerodrome	0	0	0	0	0	0	0	0	0	0	Fluchhafen
aerodynamics	0	0	0	0	0	0	0	0	0	0	Aerodynamik
aeronautics	0	0	0	0	0	0	0	0	0	0	Loftfaart
aeroplane	0	0	0	0	0	0	0	0	0	0	Fliger
aesthetic	0	0	0	0	0	0	1	0	0	0	ästhetesch
aesthetics	0	0	0	0	1	0	1	0	0	0	Ästhetik
aetiology	0	0	0	0	0	0	0	0	0	0	ätiologie
afar	0	0	0	0	0	0	0	0	0	0	wäit ewech
affable	0	0	0	0	0	0	1	0	0	0	affektabel
affair	0	0	0	0	0	0	0	0	0	0	Affär
affecting	0	0	0	0	0	0	0	0	0	0	beaflosst
affection	0	0	0	0	1	0	1	0	0	1	Häerzen verbonnen
affections	0	0	0	0	0	0	0	0	0	0	Häerzen verbonnen
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	verbonnen
affiliation	0	0	0	0	0	0	0	0	0	0	Associatioun
affinity	0	0	0	0	0	0	0	0	0	0	Affinitéit
affirm	0	0	0	0	0	0	1	0	0	1	affirméieren
affirmation	0	0	0	0	0	0	1	0	0	0	affirmatioun
affirmative	0	0	0	0	0	0	1	0	0	0	affirméieren
affirmatively	0	0	0	0	0	0	1	0	0	1	affirméierend
affix	0	0	0	0	0	0	0	0	0	0	affixen
afflict	0	0	0	1	0	1	0	1	0	0	affektéieren
afflicted	0	0	0	0	0	1	0	0	0	0	betraff
affliction	0	0	1	1	0	1	0	1	0	0	Leed
affluence	0	0	0	0	1	0	1	0	0	0	Räichtum
affluent	0	0	0	0	0	0	1	0	0	0	räich
afford	0	0	0	0	0	0	1	0	0	0	leeschten
affront	1	0	1	1	0	1	0	1	1	0	Affront
afield	0	0	0	0	0	0	0	0	0	0	ewech
afore	0	0	0	0	0	0	0	0	0	0	virun
aforementioned	0	0	0	0	0	0	0	0	0	0	virdrun ernimmt
aforesaid	0	0	0	0	0	0	0	0	0	0	virdru gesot
afraid	0	0	0	1	0	1	0	0	0	0	Angscht
afresh	0	0	0	0	0	0	0	0	0	0	nei
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	no
afternoon	0	0	0	0	0	0	0	0	0	0	Mëtteg
aftertaste	0	0	0	0	0	1	0	0	0	0	Nogeschmaach
afterthought	0	0	0	0	0	0	0	0	0	0	nodenken
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	Alter
aged	0	0	0	0	0	0	0	0	0	0	alen
agency	0	0	0	0	0	0	0	0	0	0	Agence
agent	0	0	0	0	0	0	0	0	0	0	Agent
agglomeration	0	0	0	0	0	0	0	0	0	0	Agglomeratioun
aggravated	1	0	0	0	0	1	0	0	0	0	verschäerft
aggravating	1	0	0	0	0	1	0	1	0	0	verschlechtert
aggravation	1	0	1	0	0	1	0	0	0	0	Verschlechterung
aggregate	0	0	0	0	0	0	0	0	0	0	aggregéiert
aggregation	0	0	0	0	0	0	0	0	0	0	Aggregatioun
aggression	1	0	0	1	0	1	0	0	0	0	Agressioun
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	entsat
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	Beweeglechkeet
agitated	1	0	0	0	0	1	0	0	0	0	agitéiert
agitation	1	0	0	0	0	1	0	0	0	0	agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiker
ago	0	0	0	0	0	0	0	0	0	0	ago
agonizing	0	0	0	1	0	1	0	0	0	0	agonéierend
agony	1	0	0	1	0	1	0	1	0	0	agoy
agree	0	0	0	0	0	0	1	0	0	0	averstanen
agreeable	0	0	0	0	0	0	1	0	0	1	agreabel
agreed	0	0	0	0	0	0	1	0	0	1	ausgemaach
agreeing	0	0	0	0	0	0	1	0	0	1	averstanen
agreement	0	0	0	0	0	0	1	0	0	1	Accord
agricultural	0	0	0	0	0	0	0	0	0	0	landwirtschaftlech
agriculture	0	0	0	0	0	0	1	0	0	0	Landwirtschaft
aground	0	0	0	0	0	1	0	0	0	0	agrond
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	viraus
aid	0	0	0	0	0	0	1	0	0	0	Hëllef
aiding	0	0	0	0	0	0	1	0	0	0	hëllefen
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	krank
ailment	0	0	0	0	0	0	0	0	0	0	Krankheet
aim	0	0	0	0	0	0	0	0	0	0	zielen
aimless	0	0	0	0	0	1	0	0	0	0	Zillos
air	0	0	0	0	0	0	0	0	0	0	loft
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	Loftlift
airline	0	0	0	0	0	0	0	0	0	0	Fluchgesellschaft
airman	0	0	0	0	0	0	0	0	0	0	Fliger
airplane	0	0	0	0	0	0	0	0	0	0	Fliger
airport	0	1	0	0	0	0	0	0	0	0	Flughafen
airs	0	0	1	0	0	1	0	0	0	0	loft
airship	0	0	0	0	0	0	0	0	0	0	Loftschëff
aisle	0	0	0	0	0	0	0	0	0	0	gang
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	ähnlech
alabaster	0	0	0	0	0	0	1	0	0	0	albaster
alarm	0	0	0	1	0	1	0	0	1	0	Alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarméierend
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	Album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimie
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	Alkoholismus
alcove	0	0	0	0	0	0	0	0	0	0	alkove
alert	0	0	0	0	0	0	0	0	0	0	alert
alertness	0	1	0	1	0	0	1	0	1	0	alertheet
alerts	0	1	0	1	0	0	0	0	1	0	Alarmer
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraesch
algorithm	0	0	0	0	0	0	0	0	0	0	Algorithmus
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	auslännesch
alienate	1	0	1	0	0	1	0	0	0	0	alienéieren
alienated	0	0	0	0	0	1	0	1	0	0	alien
alienation	1	0	1	1	0	1	0	1	0	0	Auslännerung
alight	0	0	0	0	0	0	0	0	0	0	opgoen
aligned	0	0	0	0	0	0	0	0	0	0	ausgeriicht
alignment	0	0	0	0	0	0	0	0	0	0	Ausrichtung
alike	0	0	0	0	0	0	0	0	0	0	gläich
alimentation	0	0	0	0	0	0	1	0	0	0	alimentatioun
alimony	0	0	0	0	0	1	0	0	0	0	Ënnerhaltgeld
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	lieweg
alkali	0	0	0	0	0	0	0	0	0	0	alkalesch
alkaloids	0	0	0	0	0	0	0	0	0	0	Alkaloiden
allay	0	0	0	0	0	0	1	0	0	0	alley
allegation	1	0	0	0	0	1	0	0	0	0	Uklo
allege	0	0	0	0	0	1	0	0	0	0	behaapten
alleged	0	0	0	0	0	0	0	0	0	0	behaapt
allegiance	0	0	0	0	0	0	1	0	0	1	trei
allegorical	0	0	0	0	0	0	0	0	0	0	allegoresch
allegory	0	0	0	0	0	0	0	0	0	0	allegorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	erliichteren
alleviation	0	0	0	0	0	0	1	0	0	0	Erliichterung
alley	0	0	0	0	0	0	0	0	0	0	Gaass
alliance	0	0	0	0	0	0	0	0	0	1	Allianz
allied	0	0	0	0	0	0	1	0	0	1	alliéierten
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	verdeelen
allocation	0	0	0	0	0	0	0	0	0	0	Allocatioun
allot	0	0	0	0	0	0	0	0	0	0	zouginn
allotment	0	0	0	0	0	0	0	0	0	0	Allotment
allowable	0	0	0	0	0	0	1	0	0	0	erlaabt
allowance	0	0	0	0	0	0	0	0	0	0	Zoulag
allowed	0	0	0	0	0	0	0	0	0	0	erlaabt
alloy	0	0	0	0	0	0	0	0	0	0	Legierung
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	verlockend
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	Alliéierten
almanac	0	0	0	0	0	0	0	0	0	0	almanach
almighty	0	0	0	0	0	0	1	0	0	0	allmächteg
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	niewent
aloof	0	0	0	0	0	1	0	0	0	0	ofgesinn
aloud	0	0	0	0	0	0	0	0	0	0	haart
alphabet	0	0	0	0	0	0	0	0	0	0	Alphabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alphabetesch
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	änneren
alteration	0	0	0	0	0	0	0	0	0	0	Ännerung
altercation	1	0	0	0	0	1	0	0	0	0	streiden
altered	0	0	0	0	0	0	0	0	0	0	geännert
alternate	0	0	0	0	0	0	0	0	0	0	ofwiesselnd
alternative	0	0	0	0	0	0	0	0	0	0	alternativ
altitude	0	0	0	0	0	0	0	0	0	0	Héicht
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	ganz
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	Amalgamatioun
amass	0	0	0	0	0	0	0	0	0	0	sammelen
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	erstaunen
amazement	0	0	0	0	0	0	0	0	0	0	Erstaunung
amazingly	0	0	0	0	1	0	1	0	1	0	erstaunlecherweis
ambassador	0	0	0	0	0	0	1	0	0	1	Ambassadeur
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	Ambiguitéit
ambiguous	0	0	0	0	0	1	0	0	0	0	zweedeiteg
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	Ambitioun
ambitious	0	0	0	0	0	0	0	0	0	0	ambitiéis
ambulance	0	0	0	1	0	0	0	0	0	1	Ambulanz
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	verbesseren
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	aménagéierten
amend	0	0	0	0	0	0	1	0	0	0	änneren
amendment	0	0	0	0	0	0	0	0	0	0	Ännerung
amends	0	0	0	0	0	0	1	0	0	0	amendéiert
amenity	0	0	0	0	0	0	1	0	0	0	Komfort
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	frëndlech
amicable	0	0	0	0	1	0	1	0	0	0	frëndlech
amid	0	0	0	0	0	0	0	0	0	0	an der Mëtt
amidst	0	0	0	0	0	0	0	0	0	0	an der Mëtt
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	Munitioun
amnesia	0	0	0	0	0	1	0	0	0	0	Amnesie
amnesty	0	0	0	0	1	0	1	0	0	0	Amnestie
amorphous	0	0	0	0	0	0	0	0	0	0	amorph
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	Betrag
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
