English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Corsican Word
accumulation	0	0	0	0	0	0	0	0	0	0	accumulation
accuracy	0	0	0	0	0	0	0	0	0	0	precisione
accurate	0	0	0	0	0	0	1	0	0	1	precisu
accursed	1	0	0	1	0	1	0	1	0	0	maledetti
accusation	1	0	1	0	0	1	0	0	0	0	accusa
accusative	0	0	0	0	0	1	0	0	0	0	accusativu
accused	1	0	0	1	0	1	0	0	0	0	accusatu
accuser	1	0	0	1	0	1	0	0	0	0	accusatore
accusing	1	0	0	1	0	1	0	0	0	0	accusendu
accustomed	0	0	0	0	0	0	0	0	0	0	abituatu
ace	0	0	0	0	0	0	1	0	0	0	asso
acetic	0	0	0	0	0	0	0	0	0	0	aceticu
ache	0	0	0	0	0	1	0	1	0	0	dolore
achieve	0	0	0	0	1	0	1	0	0	1	ghjunghje
achievement	0	1	0	0	1	0	1	0	0	1	successu
aching	0	0	0	0	0	1	0	1	0	0	dolente
acid	0	0	0	0	0	1	0	0	0	0	acidu
acidity	0	0	0	0	0	0	0	0	0	0	acidità
acknowledge	0	0	0	0	0	0	0	0	0	0	ricunnosce
acknowledged	0	0	0	0	0	0	0	0	0	0	ricunnisciutu
acknowledgment	0	0	0	0	0	0	1	0	0	0	ricunniscenza
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acustica
acoustics	0	0	0	0	0	0	0	0	0	0	acustica
acquaint	0	0	0	0	0	0	0	0	0	0	cunnosce
acquaintance	0	0	0	0	0	0	0	0	0	0	cunniscenza
acquainted	0	0	0	0	0	0	0	0	0	0	cunnisciutu
acquiescence	0	0	0	0	0	0	0	0	0	0	acquiescenza
acquire	0	0	0	0	0	0	1	0	0	0	acquistà
acquiring	0	1	0	0	0	0	1	0	0	0	acquistendu
acquisition	0	0	0	0	0	0	0	0	0	0	acquistu
acquisitions	0	0	0	0	0	0	0	0	0	0	acquisti
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	ettari
acrobat	0	0	0	1	1	0	1	0	0	1	acrobata
act	0	0	0	0	0	0	0	0	0	0	attu
acting	0	0	0	0	0	0	0	0	0	0	agisce
action	0	0	0	0	0	0	1	0	0	0	azzione
actionable	1	0	1	0	0	1	0	0	0	0	azzione
active	0	0	0	0	0	0	0	0	0	0	attivu
activity	0	0	0	0	0	0	0	0	0	0	attività
actor	0	0	0	0	0	0	0	0	0	0	attore
actual	0	0	0	0	0	0	1	0	0	0	attuale
actuality	0	0	0	0	0	0	0	0	0	0	attualità
actuary	0	0	0	0	0	0	0	0	0	0	attuariu
acuity	0	0	0	0	0	0	1	0	0	0	acutezza
acumen	0	0	0	0	0	0	1	0	0	0	acutu
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	acutamente
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	fermu
adapt	0	0	0	0	0	0	1	0	0	0	adattà
adaptable	0	0	0	0	0	0	1	0	0	0	adattabile
add	0	0	0	0	0	0	0	0	0	0	aghjunghje
added	0	0	0	0	0	0	0	0	0	0	aghjustatu
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	sommatore
addiction	0	0	0	0	0	1	0	0	0	0	addiction
addition	0	0	0	0	0	0	0	0	0	0	in più
additional	0	0	0	0	0	0	0	0	0	0	supplementu
additive	0	0	0	0	0	0	0	0	0	0	additivu
address	0	0	0	0	0	0	0	0	0	0	indirizzu
addressee	0	0	0	0	0	0	0	0	0	0	destinatariu
addresses	0	1	0	0	0	0	1	0	0	0	indirizzi
adept	0	0	0	0	0	0	1	0	0	0	adeptu
adequacy	0	0	0	0	0	0	1	0	0	0	l'adeguatezza
adequate	0	0	0	0	0	0	0	0	0	0	adattatu
adhere	0	0	0	0	0	0	0	0	0	0	aderisce
adherence	0	0	0	0	0	0	0	0	0	0	aderenza
adherent	0	0	0	0	0	0	0	0	0	0	aderente
adhering	0	0	0	0	0	0	0	0	0	1	aderendu
adhesion	0	0	0	0	0	0	0	0	0	0	aderenza
adhesive	0	0	0	0	0	0	0	0	0	0	adesivu
adieu	0	0	0	0	0	0	0	0	0	0	addiu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	adiacenza
adjacent	0	0	0	0	0	0	0	0	0	0	adiacente
adjective	0	0	0	0	0	0	0	0	0	0	aggettivu
adjoining	0	0	0	0	0	0	0	0	0	0	accantu
adjourn	0	0	0	0	0	0	0	0	0	0	aghjurnà
adjournment	0	0	0	0	0	0	0	0	0	0	aggiornamentu
adjudicate	0	0	0	1	0	1	0	0	0	0	ghjudicà
adjudication	0	0	0	0	0	0	0	0	0	0	ghjudicazione
adjunct	0	0	0	0	0	0	1	0	0	0	aggiunta
adjust	0	0	0	0	0	0	0	0	0	0	aghjustà
adjustment	0	0	0	0	0	0	0	0	0	0	aghjustamentu
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	amministrà
administration	0	0	0	0	0	0	0	0	0	0	amministrazione
administrative	0	0	0	0	0	0	0	0	0	1	amministrativu
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	ammiragliu
admiralty	0	0	0	0	0	0	0	0	0	0	ammiragliata
admiration	0	0	0	0	1	0	1	0	0	1	ammirazione
admire	0	0	0	0	0	0	1	0	0	1	ammirate
admirer	0	0	0	0	0	0	1	0	0	0	ammiratore
admissibility	0	0	0	0	0	0	0	0	0	0	ammissibilità
admissible	0	0	0	0	0	0	1	0	0	1	ammissibile
admission	0	0	0	0	0	0	0	0	0	0	ammissione
admit	0	0	0	0	0	0	0	0	0	0	ammette
admittance	0	0	0	0	0	0	0	0	0	0	ingressu
admitted	0	0	0	0	0	0	0	0	0	0	ammessi
admitting	0	0	0	0	0	0	0	0	0	0	ammettendu
admixture	0	0	0	0	0	0	0	0	0	0	mischju
admonition	0	0	0	1	0	1	0	0	0	0	ammonimentu
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescenza
adolescent	0	0	0	0	0	0	0	0	0	0	adulescente
adopt	0	0	0	0	0	0	0	0	0	0	aduttà
adoption	0	0	0	0	0	0	0	0	0	0	adopzione
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adorazione
adore	0	1	0	0	1	0	1	0	0	1	adore
adorn	0	0	0	0	0	0	0	0	0	0	adornà
adornment	0	0	0	0	0	0	0	0	0	0	adornu
adrift	0	1	0	1	0	1	0	1	0	0	a deriva
adult	0	0	0	0	0	0	0	0	0	0	adultu
adulterated	0	0	0	0	0	1	0	0	0	0	adulterata
adultery	0	0	1	0	0	1	0	1	0	0	adulteriu
advance	0	1	0	1	1	0	1	0	1	0	avanzu
advanced	0	0	0	0	0	0	1	0	0	0	avanzatu
advancement	0	0	0	0	0	0	1	0	0	0	avanzamentu
advancing	0	0	0	0	0	0	0	0	0	0	avanzendu
advantage	0	0	0	0	0	0	1	0	0	0	vantaghju
advantageous	0	0	0	0	0	0	1	0	0	0	avantagiu
advent	0	1	0	0	1	0	1	0	0	1	avventu
adventure	0	1	0	0	0	0	1	0	0	0	avventura
adventurer	0	0	0	0	0	0	0	0	0	0	avventuriero
adventurous	0	0	0	0	0	0	1	0	0	0	avventurosa
adversary	1	0	0	0	0	1	0	0	0	0	avversariu
adverse	1	0	1	1	0	1	0	1	0	0	avversu
adversity	1	0	0	1	0	1	0	1	0	0	avversità
advertise	0	0	0	0	0	0	0	0	0	0	publicità
advertisement	0	0	0	0	0	0	0	0	0	0	publicità
advice	0	0	0	0	0	0	0	0	0	1	cunsigliu
advisable	0	0	0	0	0	0	1	0	0	1	cunsigliatu
advise	0	0	0	0	0	0	1	0	0	1	cunsigliu
advised	0	0	0	0	0	0	0	0	0	1	cunsigliatu
advisement	0	0	0	0	0	0	0	0	0	0	cunsigliu
adviser	0	0	0	0	0	0	1	0	0	1	cunsiglieru
advocacy	1	1	0	0	1	0	1	0	0	1	advocacy
advocate	0	0	0	0	0	0	0	0	0	1	avvucatu
aegis	0	0	0	0	0	0	0	0	0	0	egida
aeration	0	0	0	0	0	0	0	0	0	0	aerazione
aerial	0	0	0	0	0	0	0	0	0	0	aereo
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodromu
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautica
aeroplane	0	0	0	0	0	0	0	0	0	0	aviò
aesthetic	0	0	0	0	0	0	1	0	0	0	esteticu
aesthetics	0	0	0	0	1	0	1	0	0	0	estetica
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	luntanu
affable	0	0	0	0	0	0	1	0	0	0	affabile
affair	0	0	0	0	0	0	0	0	0	0	affare
affecting	0	0	0	0	0	0	0	0	0	0	affettendu
affection	0	0	0	0	1	0	1	0	0	1	affettu
affections	0	0	0	0	0	0	0	0	0	0	affetti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	affiliate
affiliation	0	0	0	0	0	0	0	0	0	0	affiliazione
affinity	0	0	0	0	0	0	0	0	0	0	affinità
affirm	0	0	0	0	0	0	1	0	0	1	affirmà
affirmation	0	0	0	0	0	0	1	0	0	0	affirmazioni
affirmative	0	0	0	0	0	0	1	0	0	0	affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmativamente
affix	0	0	0	0	0	0	0	0	0	0	affissu
afflict	0	0	0	1	0	1	0	1	0	0	afflittu
afflicted	0	0	0	0	0	1	0	0	0	0	afflittu
affliction	0	0	1	1	0	1	0	1	0	0	afflizzioni
affluence	0	0	0	0	1	0	1	0	0	0	affluenza
affluent	0	0	0	0	0	0	1	0	0	0	affluent
afford	0	0	0	0	0	0	1	0	0	0	permette
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	luntanu
afore	0	0	0	0	0	0	0	0	0	0	prima
aforementioned	0	0	0	0	0	0	0	0	0	0	sopra citatu
aforesaid	0	0	0	0	0	0	0	0	0	0	sopra dittu
afraid	0	0	0	1	0	1	0	0	0	0	a paura
afresh	0	0	0	0	0	0	0	0	0	0	novu
aft	0	0	0	0	0	0	0	0	0	0	poppa
aftermath	1	0	1	1	0	1	0	1	0	0	dopu
afternoon	0	0	0	0	0	0	0	0	0	0	dopu meziornu
aftertaste	0	0	0	0	0	1	0	0	0	0	retrogustu
afterthought	0	0	0	0	0	0	0	0	0	0	dopu à pensà
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	età
aged	0	0	0	0	0	0	0	0	0	0	età
agency	0	0	0	0	0	0	0	0	0	0	agenzia
agent	0	0	0	0	0	0	0	0	0	0	agente
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomerazione
aggravated	1	0	0	0	0	1	0	0	0	0	aggravatu
aggravating	1	0	0	0	0	1	0	1	0	0	aggravante
aggravation	1	0	1	0	0	1	0	0	0	0	aggravazione
aggregate	0	0	0	0	0	0	0	0	0	0	aggregatu
aggregation	0	0	0	0	0	0	0	0	0	0	aggregazione
aggression	1	0	0	1	0	1	0	0	0	0	aggressione
aggressive	1	0	0	1	0	1	0	0	0	0	aggressivu
aggressor	1	0	0	1	0	1	0	0	0	0	aggressore
aghast	0	0	1	1	0	1	0	0	1	0	spaventatu
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agilità
agitated	1	0	0	0	0	1	0	0	0	0	agitatu
agitation	1	0	0	0	0	1	0	0	0	0	agitazione
agnostic	0	0	0	0	0	0	0	0	0	0	agnosticu
ago	0	0	0	0	0	0	0	0	0	0	fà
agonizing	0	0	0	1	0	1	0	0	0	0	agonizzante
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	d'accordu
agreeable	0	0	0	0	0	0	1	0	0	1	piacevule
agreed	0	0	0	0	0	0	1	0	0	1	accunsentutu
agreeing	0	0	0	0	0	0	1	0	0	1	accunsentendu
agreement	0	0	0	0	0	0	1	0	0	1	accordu
agricultural	0	0	0	0	0	0	0	0	0	0	agriculu
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	in terra
agua	0	0	0	0	0	0	0	0	0	0	acqua
ahead	0	0	0	0	0	0	1	0	0	0	avanti
aid	0	0	0	0	0	0	1	0	0	0	aiutu
aiding	0	0	0	0	0	0	1	0	0	0	aiutu
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	malatu
ailment	0	0	0	0	0	0	0	0	0	0	malatie
aim	0	0	0	0	0	0	0	0	0	0	scopu
aimless	0	0	0	0	0	1	0	0	0	0	senza scopu
air	0	0	0	0	0	0	0	0	0	0	aria
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	trasportu aereo
airline	0	0	0	0	0	0	0	0	0	0	compagnia aerea
airman	0	0	0	0	0	0	0	0	0	0	aviatore
airplane	0	0	0	0	0	0	0	0	0	0	aviò
airport	0	1	0	0	0	0	0	0	0	0	aeroportu
airs	0	0	1	0	0	1	0	0	0	0	aria
airship	0	0	0	0	0	0	0	0	0	0	dirigibile
aisle	0	0	0	0	0	0	0	0	0	0	corridoiu
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	socchiu
akin	0	0	0	0	0	0	0	0	0	1	simile
alabaster	0	0	0	0	0	0	1	0	0	0	alabastru
alarm	0	0	0	1	0	1	0	0	1	0	alarme
alarming	0	0	0	1	0	1	0	0	1	0	allarmante
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimia
alcohol	0	0	0	0	0	0	0	0	0	0	alcolu
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholismu
alcove	0	0	0	0	0	0	0	0	0	0	alcova
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	vigilanza
alerts	0	1	0	1	0	0	0	0	1	0	avvisi
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebricu
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmu
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	alien
alienate	1	0	1	0	0	1	0	0	0	0	alienà
alienated	0	0	0	0	0	1	0	1	0	0	alienatu
alienation	1	0	1	1	0	1	0	1	0	0	alienazione
alight	0	0	0	0	0	0	0	0	0	0	scendi
aligned	0	0	0	0	0	0	0	0	0	0	allineatu
alignment	0	0	0	0	0	0	0	0	0	0	allineamentu
alike	0	0	0	0	0	0	0	0	0	0	simili
alimentation	0	0	0	0	0	0	1	0	0	0	alimentazione
alimony	0	0	0	0	0	1	0	0	0	0	alimentazione
aliquot	0	0	0	0	0	0	0	0	0	0	aliquota
alive	0	1	0	0	1	0	1	0	0	1	vivu
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloidi
allay	0	0	0	0	0	0	1	0	0	0	alluntanà
allegation	1	0	0	0	0	1	0	0	0	0	allegazione
allege	0	0	0	0	0	1	0	0	0	0	accusà
alleged	0	0	0	0	0	0	0	0	0	0	presunta
allegiance	0	0	0	0	0	0	1	0	0	1	lealtà
allegorical	0	0	0	0	0	0	0	0	0	0	allegorica
allegory	0	0	0	0	0	0	0	0	0	0	allegoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	alleviare
alleviation	0	0	0	0	0	0	1	0	0	0	alleviamentu
alley	0	0	0	0	0	0	0	0	0	0	carrughju
alliance	0	0	0	0	0	0	0	0	0	1	allianza
allied	0	0	0	0	0	0	1	0	0	1	alleati
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	attribuisce
allocation	0	0	0	0	0	0	0	0	0	0	allocazione
allot	0	0	0	0	0	0	0	0	0	0	attribuisce
allotment	0	0	0	0	0	0	0	0	0	0	ripartizione
allowable	0	0	0	0	0	0	1	0	0	0	ammissibile
allowance	0	0	0	0	0	0	0	0	0	0	indennità
allowed	0	0	0	0	0	0	0	0	0	0	permessu
alloy	0	0	0	0	0	0	0	0	0	0	lega
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	seducente
allusion	0	0	0	0	0	0	0	0	0	0	allusione
alluvial	0	0	0	0	0	0	0	0	0	0	alluviale
ally	0	0	0	0	0	0	1	0	0	1	alleatu
almanac	0	0	0	0	0	0	0	0	0	0	almanaccu
almighty	0	0	0	0	0	0	1	0	0	0	onnipotente
aloft	0	0	0	0	0	0	0	0	0	0	in alto
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	accantu
aloof	0	0	0	0	0	1	0	0	0	0	distanti
aloud	0	0	0	0	0	0	0	0	0	0	à voce alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabbetu
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabeticu
altar	0	0	0	0	0	0	0	0	0	0	altare
alter	0	0	0	0	0	0	0	0	0	0	altera
alteration	0	0	0	0	0	0	0	0	0	0	alterazione
altercation	1	0	0	0	0	1	0	0	0	0	altercazione
altered	0	0	0	0	0	0	0	0	0	0	alteratu
alternate	0	0	0	0	0	0	0	0	0	0	alternu
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	altitudine
alto	0	0	0	0	0	0	0	0	0	0	altu
altogether	0	0	0	0	0	0	0	0	0	0	in tuttu
alumnus	0	0	0	0	0	0	0	0	0	0	alunnu
alveolar	0	0	0	0	0	0	0	0	0	0	alveolare
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamazione
amass	0	0	0	0	0	0	0	0	0	0	ammuccià
amateur	0	0	0	0	0	0	0	0	0	0	dilettante
amaze	0	0	0	0	0	0	0	0	1	0	maravigliate
amazement	0	0	0	0	0	0	0	0	0	0	maravigghiusu
amazingly	0	0	0	0	1	0	1	0	1	0	maravigghiusu
ambassador	0	0	0	0	0	0	1	0	0	1	ambasciatore
amber	0	0	0	0	0	0	0	0	0	0	ambra
ambient	0	0	0	0	0	0	0	0	0	0	ambiente
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguità
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguu
ambit	0	0	0	0	0	0	0	0	0	0	ambitu
ambition	0	1	0	0	1	0	1	0	0	1	ambizione
ambitious	0	0	0	0	0	0	0	0	0	0	ambiziosa
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanza
ambush	1	0	0	1	0	1	0	0	1	0	imboscata
ameliorate	0	0	0	0	0	0	1	0	0	0	migliurà
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	suscettibile
amend	0	0	0	0	0	0	1	0	0	0	mudificà
amendment	0	0	0	0	0	0	0	0	0	0	mudificazione
amends	0	0	0	0	0	0	1	0	0	0	ammenda
amenity	0	0	0	0	0	0	1	0	0	0	amenità
amethyst	0	0	0	0	0	0	0	0	0	0	ametista
amiable	0	0	0	0	0	0	1	0	0	0	amabile
amicable	0	0	0	0	1	0	1	0	0	0	amichevule
amid	0	0	0	0	0	0	0	0	0	0	à mezu
amidst	0	0	0	0	0	0	0	0	0	0	à mezu à
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	munizioni
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistia
amorphous	0	0	0	0	0	0	0	0	0	0	amorfu
amortization	0	0	0	0	0	0	0	0	0	1	ammortizzazioni
amount	0	0	0	0	0	0	0	0	0	0	quantità
amour	0	1	0	0	1	0	1	0	0	1	amore
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetamine
amphibian	0	0	0	0	0	0	0	0	0	0	anfibiu
amphibious	0	0	0	0	0	0	0	0	0	0	anfibiu
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteatru
amplification	0	0	0	0	0	0	0	0	0	0	amplificazione
amplify	0	0	0	0	0	0	0	0	0	0	amplificà
amplitude	0	0	0	0	0	0	0	0	0	0	ampiezza
amply	0	0	0	0	0	0	0	0	0	0	ampiamente
amputation	0	0	0	0	0	0	0	0	0	0	amputazione
