English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Thai Word
accurate	0	0	0	0	0	0	1	0	0	1	แม่นยำ
accursed	1	0	0	1	0	1	0	1	0	0	ถูกสาป
accusation	1	0	1	0	0	1	0	0	0	0	ข้อกล่าวหา
accusative	0	0	0	0	0	1	0	0	0	0	กล่าวหา
accused	1	0	0	1	0	1	0	0	0	0	ผู้ถูกกล่าวหา
accuser	1	0	0	1	0	1	0	0	0	0	โจทก์
accusing	1	0	0	1	0	1	0	0	0	0	กล่าวหา
accustomed	0	0	0	0	0	0	0	0	0	0	คุ้นเคย
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	อะซิติก
ache	0	0	0	0	0	1	0	1	0	0	ปวด
achieve	0	0	0	0	1	0	1	0	0	1	บรรลุ
achievement	0	1	0	0	1	0	1	0	0	1	ความสำเร็จ
aching	0	0	0	0	0	1	0	1	0	0	น่าปวดหัว
acid	0	0	0	0	0	1	0	0	0	0	กรด
acidity	0	0	0	0	0	0	0	0	0	0	ความเป็นกรด
acknowledge	0	0	0	0	0	0	0	0	0	0	รับทราบ
acknowledged	0	0	0	0	0	0	0	0	0	0	รับทราบ
acknowledgment	0	0	0	0	0	0	1	0	0	0	การรับทราบ
acme	0	0	0	0	0	0	0	0	0	0	แอคมี
acoustic	0	0	0	0	0	0	0	0	0	0	อะคูสติก
acoustics	0	0	0	0	0	0	0	0	0	0	อะคูสติก
acquaint	0	0	0	0	0	0	0	0	0	0	รู้จัก
acquaintance	0	0	0	0	0	0	0	0	0	0	คนรู้จัก
acquainted	0	0	0	0	0	0	0	0	0	0	คุ้นเคย
acquiescence	0	0	0	0	0	0	0	0	0	0	ความยินยอม
acquire	0	0	0	0	0	0	1	0	0	0	ได้รับ
acquiring	0	1	0	0	0	0	1	0	0	0	การรับ
acquisition	0	0	0	0	0	0	0	0	0	0	การเข้าซื้อกิจการ
acquisitions	0	0	0	0	0	0	0	0	0	0	การเข้าซื้อกิจการ
acreage	0	0	0	0	0	0	0	0	0	0	เอเคอร์
acres	0	0	0	0	0	0	0	0	0	0	เอเคอร์
acrobat	0	0	0	1	1	0	1	0	0	1	นักกายกรรม
act	0	0	0	0	0	0	0	0	0	0	กระทำ
acting	0	0	0	0	0	0	0	0	0	0	การแสดง
action	0	0	0	0	0	0	1	0	0	0	การกระทำ
actionable	1	0	1	0	0	1	0	0	0	0	ดำเนินการได้
active	0	0	0	0	0	0	0	0	0	0	คล่องแคล่ว
activity	0	0	0	0	0	0	0	0	0	0	กิจกรรม
actor	0	0	0	0	0	0	0	0	0	0	นักแสดงชาย
actual	0	0	0	0	0	0	1	0	0	0	แท้จริง
actuality	0	0	0	0	0	0	0	0	0	0	ความเป็นจริง
actuary	0	0	0	0	0	0	0	0	0	0	นักคณิตศาสตร์ประกันภัย
acuity	0	0	0	0	0	0	1	0	0	0	ความรุนแรง
acumen	0	0	0	0	0	0	1	0	0	0	ความเฉียบแหลม
acupuncture	0	0	0	0	0	0	0	0	0	0	การฝังเข็ม
acutely	0	0	0	0	0	0	0	0	0	0	อย่างเฉียบขาด
adage	0	0	0	0	0	0	0	0	0	0	สุภาษิต
adamant	0	0	0	0	0	0	0	0	0	0	ยืนกราน
adapt	0	0	0	0	0	0	1	0	0	0	ปรับ
adaptable	0	0	0	0	0	0	1	0	0	0	ปรับตัวได้
add	0	0	0	0	0	0	0	0	0	0	เพิ่ม
added	0	0	0	0	0	0	0	0	0	0	เพิ่ม
addendum	0	0	0	0	0	0	0	0	0	0	ภาคผนวก
adder	1	0	1	1	0	1	0	1	0	0	แอดเดอร์
addiction	0	0	0	0	0	1	0	0	0	0	ติดยาเสพติด
addition	0	0	0	0	0	0	0	0	0	0	ส่วนที่เพิ่มเข้าไป
additional	0	0	0	0	0	0	0	0	0	0	เพิ่มเติม
additive	0	0	0	0	0	0	0	0	0	0	สารเติมแต่ง
address	0	0	0	0	0	0	0	0	0	0	ที่อยู่
addressee	0	0	0	0	0	0	0	0	0	0	ผู้รับ
addresses	0	1	0	0	0	0	1	0	0	0	ที่อยู่
adept	0	0	0	0	0	0	1	0	0	0	เก่ง
adequacy	0	0	0	0	0	0	1	0	0	0	ความเพียงพอ
adequate	0	0	0	0	0	0	0	0	0	0	เพียงพอ
adhere	0	0	0	0	0	0	0	0	0	0	ยึดมั่น
adherence	0	0	0	0	0	0	0	0	0	0	ยึดมั่น
adherent	0	0	0	0	0	0	0	0	0	0	สมัครพรรคพวก
adhering	0	0	0	0	0	0	0	0	0	1	ยึดมั่น
adhesion	0	0	0	0	0	0	0	0	0	0	การยึดเกาะ
adhesive	0	0	0	0	0	0	0	0	0	0	กาว
adieu	0	0	0	0	0	0	0	0	0	0	ลาก่อน
adipose	0	0	0	0	0	1	0	0	0	0	ไขมัน
adjacency	0	0	0	0	0	0	0	0	0	0	ที่อยู่ติดกัน
adjacent	0	0	0	0	0	0	0	0	0	0	ที่อยู่ติดกัน
adjective	0	0	0	0	0	0	0	0	0	0	คุณศัพท์
adjoining	0	0	0	0	0	0	0	0	0	0	ติดกัน
adjourn	0	0	0	0	0	0	0	0	0	0	เลื่อน
adjournment	0	0	0	0	0	0	0	0	0	0	เลื่อน
adjudicate	0	0	0	1	0	1	0	0	0	0	ตัดสิน
adjudication	0	0	0	0	0	0	0	0	0	0	คำพิพากษา
adjunct	0	0	0	0	0	0	1	0	0	0	ผู้ช่วย
adjust	0	0	0	0	0	0	0	0	0	0	ปรับ
adjustment	0	0	0	0	0	0	0	0	0	0	การปรับตัว
adjuvant	0	0	0	0	0	0	0	0	0	0	เสริม
administer	0	0	0	0	0	0	0	0	0	0	ดูแล
administration	0	0	0	0	0	0	0	0	0	0	การบริหาร
administrative	0	0	0	0	0	0	0	0	0	1	ธุรการ
admirable	0	0	0	0	1	0	1	0	0	1	น่าชื่นชม
admiral	0	0	0	0	0	0	1	0	0	1	พลเรือเอก
admiralty	0	0	0	0	0	0	0	0	0	0	กองทัพเรือ
admiration	0	0	0	0	1	0	1	0	0	1	ชื่นชม
admire	0	0	0	0	0	0	1	0	0	1	ชื่นชม
admirer	0	0	0	0	0	0	1	0	0	0	ผู้ชื่นชม
admissibility	0	0	0	0	0	0	0	0	0	0	การอนุญาติ
admissible	0	0	0	0	0	0	1	0	0	1	ยอมรับได้
admission	0	0	0	0	0	0	0	0	0	0	การรับเข้าเรียน
admit	0	0	0	0	0	0	0	0	0	0	ยอมรับ
admittance	0	0	0	0	0	0	0	0	0	0	การรับเข้า
admitted	0	0	0	0	0	0	0	0	0	0	ที่ยอมรับ
admitting	0	0	0	0	0	0	0	0	0	0	ยอมรับ
admixture	0	0	0	0	0	0	0	0	0	0	ส่วนผสม
admonition	0	0	0	1	0	1	0	0	0	0	ตักเตือน
ado	0	0	0	0	0	0	0	0	0	0	เบื่อหน่าย
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	วัยรุ่น
adolescent	0	0	0	0	0	0	0	0	0	0	วัยรุ่น
adopt	0	0	0	0	0	0	0	0	0	0	รับเลี้ยง
adoption	0	0	0	0	0	0	0	0	0	0	การรับเป็นบุตรบุญธรรม
adorable	0	0	0	0	1	0	1	0	0	0	น่ารัก
adoration	0	0	0	0	1	0	1	0	0	1	ความรัก
adore	0	1	0	0	1	0	1	0	0	1	รัก
adorn	0	0	0	0	0	0	0	0	0	0	ประดับ
adornment	0	0	0	0	0	0	0	0	0	0	เครื่องประดับ
adrift	0	1	0	1	0	1	0	1	0	0	ล่องลอย
adult	0	0	0	0	0	0	0	0	0	0	ผู้ใหญ่
adulterated	0	0	0	0	0	1	0	0	0	0	ปลอมปน
adultery	0	0	1	0	0	1	0	1	0	0	การล่วงประเวณี
advance	0	1	0	1	1	0	1	0	1	0	ก้าวหน้า
advanced	0	0	0	0	0	0	1	0	0	0	ขั้นสูง
advancement	0	0	0	0	0	0	1	0	0	0	ความก้าวหน้า
advancing	0	0	0	0	0	0	0	0	0	0	ก้าวหน้า
advantage	0	0	0	0	0	0	1	0	0	0	ความได้เปรียบ
advantageous	0	0	0	0	0	0	1	0	0	0	ได้เปรียบ
advent	0	1	0	0	1	0	1	0	0	1	จุติ
adventure	0	1	0	0	0	0	1	0	0	0	การผจญภัย
adventurer	0	0	0	0	0	0	0	0	0	0	นักผจญภัย
adventurous	0	0	0	0	0	0	1	0	0	0	ชอบผจญภัย
adversary	1	0	0	0	0	1	0	0	0	0	ปฏิปักษ์
adverse	1	0	1	1	0	1	0	1	0	0	เป็นผลร้าย
adversity	1	0	0	1	0	1	0	1	0	0	ความทุกข์ยาก
advertise	0	0	0	0	0	0	0	0	0	0	โฆษณา
advertisement	0	0	0	0	0	0	0	0	0	0	โฆษณา
advice	0	0	0	0	0	0	0	0	0	1	คำแนะนำ
advisable	0	0	0	0	0	0	1	0	0	1	แนะนำ
advise	0	0	0	0	0	0	1	0	0	1	ให้คำแนะนำ
advised	0	0	0	0	0	0	0	0	0	1	แนะนำ
advisement	0	0	0	0	0	0	0	0	0	0	คำแนะนำ
adviser	0	0	0	0	0	0	1	0	0	1	ที่ปรึกษา
advocacy	1	1	0	0	1	0	1	0	0	1	การสนับสนุน
advocate	0	0	0	0	0	0	0	0	0	1	สนับสนุน
aegis	0	0	0	0	0	0	0	0	0	0	อุปถัมภ์
aeration	0	0	0	0	0	0	0	0	0	0	การเติมอากาศ
aerial	0	0	0	0	0	0	0	0	0	0	ทางอากาศ
aerodrome	0	0	0	0	0	0	0	0	0	0	สนามบิน
aerodynamics	0	0	0	0	0	0	0	0	0	0	อากาศพลศาสตร์
aeronautics	0	0	0	0	0	0	0	0	0	0	วิชาการบิน
aeroplane	0	0	0	0	0	0	0	0	0	0	เครื่องบิน
aesthetic	0	0	0	0	0	0	1	0	0	0	เกี่ยวกับความงาม
aesthetics	0	0	0	0	1	0	1	0	0	0	สุนทรียศาสตร์
aetiology	0	0	0	0	0	0	0	0	0	0	สาเหตุ
afar	0	0	0	0	0	0	0	0	0	0	ไกล
affable	0	0	0	0	0	0	1	0	0	0	น่ารัก
affair	0	0	0	0	0	0	0	0	0	0	เรื่อง
affecting	0	0	0	0	0	0	0	0	0	0	ส่งผลกระทบต่อ
affection	0	0	0	0	1	0	1	0	0	1	ความเสน่หา
affections	0	0	0	0	0	0	0	0	0	0	ความรัก
affiche	0	0	0	0	0	0	0	0	0	0	แอฟฟิเช่
affidavit	0	0	0	0	0	0	0	0	0	0	หนังสือรับรอง
affiliated	0	0	0	0	0	0	1	0	0	0	สังกัด
affiliation	0	0	0	0	0	0	0	0	0	0	สังกัด
affinity	0	0	0	0	0	0	0	0	0	0	ความสัมพันธ์กัน
affirm	0	0	0	0	0	0	1	0	0	1	ยืนยัน
affirmation	0	0	0	0	0	0	1	0	0	0	คำยืนยัน
affirmative	0	0	0	0	0	0	1	0	0	0	ยืนยัน
affirmatively	0	0	0	0	0	0	1	0	0	1	แน่วแน่
affix	0	0	0	0	0	0	0	0	0	0	ติด
afflict	0	0	0	1	0	1	0	1	0	0	ทุกข์
afflicted	0	0	0	0	0	1	0	0	0	0	ทุกข์
affliction	0	0	1	1	0	1	0	1	0	0	ความทุกข์ยาก
affluence	0	0	0	0	1	0	1	0	0	0	ความมั่งคั่ง
affluent	0	0	0	0	0	0	1	0	0	0	ร่ำรวย
afford	0	0	0	0	0	0	1	0	0	0	จ่ายได้
affront	1	0	1	1	0	1	0	1	1	0	ดูหมิ่น
afield	0	0	0	0	0	0	0	0	0	0	ไกล
afore	0	0	0	0	0	0	0	0	0	0	มาก่อน
aforementioned	0	0	0	0	0	0	0	0	0	0	ดังกล่าวข้างต้น
aforesaid	0	0	0	0	0	0	0	0	0	0	ดังกล่าว
afraid	0	0	0	1	0	1	0	0	0	0	กลัว
afresh	0	0	0	0	0	0	0	0	0	0	อีกครั้ง
aft	0	0	0	0	0	0	0	0	0	0	หลัง
aftermath	1	0	1	1	0	1	0	1	0	0	ควันหลง
afternoon	0	0	0	0	0	0	0	0	0	0	ตอนบ่าย
aftertaste	0	0	0	0	0	1	0	0	0	0	รสที่ค้างอยู่ในคอ
afterthought	0	0	0	0	0	0	0	0	0	0	ภายหลัง
aga	0	0	0	1	0	0	1	0	0	1	อีกครั้ง
agate	0	0	0	0	0	0	0	0	0	0	อาเกต
age	0	0	0	0	0	0	0	0	0	0	อายุ
aged	0	0	0	0	0	0	0	0	0	0	อายุ
agency	0	0	0	0	0	0	0	0	0	0	หน่วยงาน
agent	0	0	0	0	0	0	0	0	0	0	ตัวแทน
agglomeration	0	0	0	0	0	0	0	0	0	0	การรวมตัว
aggravated	1	0	0	0	0	1	0	0	0	0	กำเริบ
aggravating	1	0	0	0	0	1	0	1	0	0	ทำให้รุนแรงขึ้น
aggravation	1	0	1	0	0	1	0	0	0	0	การทำให้รุนแรงขึ้น
aggregate	0	0	0	0	0	0	0	0	0	0	รวม
aggregation	0	0	0	0	0	0	0	0	0	0	การรวมตัว
aggression	1	0	0	1	0	1	0	0	0	0	ความก้าวร้าว
aggressive	1	0	0	1	0	1	0	0	0	0	ก้าวร้าว
aggressor	1	0	0	1	0	1	0	0	0	0	ผู้รุกราน
aghast	0	0	1	1	0	1	0	0	1	0	ตกตะลึง
agile	0	0	0	0	0	0	1	0	0	0	เปรียว
agility	0	0	0	0	0	0	1	0	0	0	ความคล่องตัว
agitated	1	0	0	0	0	1	0	0	0	0	กระสับกระส่าย
agitation	1	0	0	0	0	1	0	0	0	0	ความปั่นป่วน
agnostic	0	0	0	0	0	0	0	0	0	0	ผู้ไม่เชื่อเรื่องพระเจ้า
ago	0	0	0	0	0	0	0	0	0	0	ที่ผ่านมา
agonizing	0	0	0	1	0	1	0	0	0	0	ทนทุกข์ทรมาน
agony	1	0	0	1	0	1	0	1	0	0	ความเจ็บปวด
agree	0	0	0	0	0	0	1	0	0	0	เห็นด้วย
agreeable	0	0	0	0	0	0	1	0	0	1	น่าพอใจ
agreed	0	0	0	0	0	0	1	0	0	1	ตกลง
agreeing	0	0	0	0	0	0	1	0	0	1	ตกลง
agreement	0	0	0	0	0	0	1	0	0	1	ข้อตกลง
agricultural	0	0	0	0	0	0	0	0	0	0	เกษตรกรรม
agriculture	0	0	0	0	0	0	1	0	0	0	เกษตรกรรม
aground	0	0	0	0	0	1	0	0	0	0	บนพื้นดิน
agua	0	0	0	0	0	0	0	0	0	0	อากัว
ahead	0	0	0	0	0	0	1	0	0	0	ข้างหน้า
aid	0	0	0	0	0	0	1	0	0	0	ช่วยเหลือ
aiding	0	0	0	0	0	0	1	0	0	0	ช่วยเหลือ
ail	0	0	0	0	0	1	0	1	0	0	ป่วย
ailing	0	0	0	1	0	1	0	1	0	0	ไม่สบาย
ailment	0	0	0	0	0	0	0	0	0	0	โรค
aim	0	0	0	0	0	0	0	0	0	0	จุดมุ่งหมาย
aimless	0	0	0	0	0	1	0	0	0	0	ไร้จุดหมาย
air	0	0	0	0	0	0	0	0	0	0	อากาศ
airbag	0	0	0	0	0	0	0	0	0	0	ถุงลมนิรภัย
airlift	0	0	0	0	0	0	0	0	0	0	ลิฟต์โดยสาร
airline	0	0	0	0	0	0	0	0	0	0	สายการบิน
airman	0	0	0	0	0	0	0	0	0	0	นักบิน
airplane	0	0	0	0	0	0	0	0	0	0	เครื่องบิน
airport	0	1	0	0	0	0	0	0	0	0	สนามบิน
airs	0	0	1	0	0	1	0	0	0	0	ออกอากาศ
airship	0	0	0	0	0	0	0	0	0	0	เรือเหาะ
aisle	0	0	0	0	0	0	0	0	0	0	ทางเดิน
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	แง้ม
akin	0	0	0	0	0	0	0	0	0	1	คล้าย
alabaster	0	0	0	0	0	0	1	0	0	0	เศวตศิลา
alarm	0	0	0	1	0	1	0	0	1	0	เตือน
alarming	0	0	0	1	0	1	0	0	1	0	น่าตกใจ
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	อัลบั้ม
alchemy	0	0	0	0	0	0	0	0	0	0	การเล่นแร่แปรธาตุ
alcohol	0	0	0	0	0	0	0	0	0	0	แอลกอฮอล์
alcoholism	1	0	1	1	0	1	0	1	0	0	พิษสุราเรื้อรัง
alcove	0	0	0	0	0	0	0	0	0	0	ซุ้มประตู
alert	0	0	0	0	0	0	0	0	0	0	เตือน
alertness	0	1	0	1	0	0	1	0	1	0	ความตื่นตัว
alerts	0	1	0	1	0	0	0	0	1	0	alerts
alfalfa	0	0	0	0	0	0	0	0	0	0	หญ้าชนิตหนึ่ง
algebra	0	0	0	0	0	0	0	0	0	0	พีชคณิต
algebraic	0	0	0	0	0	0	0	0	0	0	พีชคณิต
algorithm	0	0	0	0	0	0	0	0	0	0	อัลกอริทึม
alibi	0	0	0	0	0	0	0	0	0	0	ข้อแก้ตัว
alien	0	0	1	1	0	1	0	0	0	0	มนุษย์ต่างดาว
alienate	1	0	1	0	0	1	0	0	0	0	โอน
alienated	0	0	0	0	0	1	0	1	0	0	แปลก
alienation	1	0	1	1	0	1	0	1	0	0	ความแปลกแยก
alight	0	0	0	0	0	0	0	0	0	0	ลง
aligned	0	0	0	0	0	0	0	0	0	0	ชิด
alignment	0	0	0	0	0	0	0	0	0	0	การจัดตำแหน่ง
alike	0	0	0	0	0	0	0	0	0	0	เหมือนกัน
alimentation	0	0	0	0	0	0	1	0	0	0	การกินอาหาร
alimony	0	0	0	0	0	1	0	0	0	0	ค่าเลี้ยงดู
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	มีชีวิตอยู่
alkali	0	0	0	0	0	0	0	0	0	0	ด่าง
alkaloids	0	0	0	0	0	0	0	0	0	0	ลคาลอยด์
allay	0	0	0	0	0	0	1	0	0	0	ระงับ
allegation	1	0	0	0	0	1	0	0	0	0	ข้อกล่าวหา
allege	0	0	0	0	0	1	0	0	0	0	กล่าวหา
alleged	0	0	0	0	0	0	0	0	0	0	ถูกกล่าวหา
allegiance	0	0	0	0	0	0	1	0	0	1	ความจงรักภักดี
allegorical	0	0	0	0	0	0	0	0	0	0	เชิงเปรียบเทียบ
allegory	0	0	0	0	0	0	0	0	0	0	ชาดก
allegro	0	0	0	0	0	0	1	0	0	0	อัลเลโกร
alleviate	0	0	0	0	0	0	1	0	0	0	บรรเทา
alleviation	0	0	0	0	0	0	1	0	0	0	การบรรเทาทุกข์
alley	0	0	0	0	0	0	0	0	0	0	ซอย
alliance	0	0	0	0	0	0	0	0	0	1	พันธมิตร
allied	0	0	0	0	0	0	1	0	0	1	พันธมิตร
alligator	0	0	0	0	0	0	0	0	0	0	จระเข้
allocate	0	0	0	0	0	0	0	0	0	0	จัดสรร
allocation	0	0	0	0	0	0	0	0	0	0	การจัดสรร
allot	0	0	0	0	0	0	0	0	0	0	จัดสรร
allotment	0	0	0	0	0	0	0	0	0	0	การจัดสรร
allowable	0	0	0	0	0	0	1	0	0	0	อนุญาต
allowance	0	0	0	0	0	0	0	0	0	0	เบี้ยเลี้ยง
allowed	0	0	0	0	0	0	0	0	0	0	อนุญาต
alloy	0	0	0	0	0	0	0	0	0	0	โลหะผสม
allure	0	1	0	0	1	0	1	0	1	0	จูงใจ
alluring	0	0	0	0	0	0	1	0	0	0	มีเสน่ห์
allusion	0	0	0	0	0	0	0	0	0	0	พาดพิง
alluvial	0	0	0	0	0	0	0	0	0	0	ลุ่มน้ำ
ally	0	0	0	0	0	0	1	0	0	1	พันธมิตร
almanac	0	0	0	0	0	0	0	0	0	0	ปูม
almighty	0	0	0	0	0	0	1	0	0	0	ผู้ทรงอำนาจ
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	อะโลฮ่า
alongside	0	0	0	0	0	0	0	0	0	0	ข้างๆ
aloof	0	0	0	0	0	1	0	0	0	0	ห่าง
aloud	0	0	0	0	0	0	0	0	0	0	เสียงดัง
alphabet	0	0	0	0	0	0	0	0	0	0	ตัวอักษร
alphabetical	0	0	0	0	0	0	0	0	0	0	ตามตัวอักษร
altar	0	0	0	0	0	0	0	0	0	0	แท่นบูชา
alter	0	0	0	0	0	0	0	0	0	0	alter
alteration	0	0	0	0	0	0	0	0	0	0	การเปลี่ยนแปลง
