English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Lithuanian Word
accept	0	0	0	0	0	0	0	0	0	0	priimti
acceptable	0	0	0	0	0	0	1	0	0	0	priimtina
acceptance	0	0	0	0	0	0	1	0	0	0	priėmimas
access	0	0	0	0	0	0	0	0	0	0	prieiga
accessible	0	0	0	0	0	0	1	0	0	0	prieinama
accession	0	0	0	0	0	0	0	0	0	0	prisijungimas
accessory	0	0	0	0	0	0	0	0	0	0	priedas
accident	0	0	0	1	0	1	0	1	1	0	avarija
accidental	0	0	0	1	0	1	0	0	1	0	atsitiktinis
accidentally	0	0	0	0	0	0	0	0	1	0	netyčia
accolade	0	1	0	0	1	0	1	0	1	1	pagyrimas
accommodate	0	0	0	0	0	0	0	0	0	0	apgyvendinti
accommodation	0	0	0	0	0	0	1	0	0	0	apgyvendinimas
accompaniment	0	1	0	0	1	0	1	0	0	1	akompanimentas
accompany	0	0	0	0	0	0	0	0	0	0	lydėti
accompanying	0	0	0	0	0	0	0	0	0	0	palyda
accomplice	0	0	0	0	0	0	0	0	0	0	bendrininkas
accomplish	0	0	0	0	1	0	1	0	0	0	įvykdyti
accomplished	0	0	0	0	1	0	1	0	0	0	įvykdytas
accomplishment	0	0	0	0	0	0	1	0	0	0	pasiekimas
accord	0	0	0	0	0	0	1	0	0	1	susitarimas
accordance	0	0	0	0	0	0	0	0	0	0	atitikimą
accordion	0	0	0	0	0	0	0	0	0	0	akordeonas
account	0	0	0	0	0	0	0	0	0	1	sąskaitą
accountability	0	0	0	0	0	0	1	0	0	1	atskaitomybė
accountable	0	0	0	0	0	0	1	0	0	1	atskaitingas
accountant	0	0	0	0	0	0	0	0	0	1	buhalteris
accounting	0	0	0	0	0	0	0	0	0	0	buhalterinė apskaita
accounts	0	0	0	0	0	0	0	0	0	1	sąskaitas
accredited	0	0	0	0	0	0	1	0	0	1	akredituota
accretion	0	0	0	0	0	0	0	0	0	0	priaugimas
accrue	0	0	0	0	0	0	0	0	0	0	kaupti
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	kaupti
accumulation	0	0	0	0	0	0	0	0	0	0	kaupimas
accuracy	0	0	0	0	0	0	0	0	0	0	tikslumu
accurate	0	0	0	0	0	0	1	0	0	1	tikslūs
accursed	1	0	0	1	0	1	0	1	0	0	prakeiktas
accusation	1	0	1	0	0	1	0	0	0	0	kaltinimas
accusative	0	0	0	0	0	1	0	0	0	0	kaltinamasis
accused	1	0	0	1	0	1	0	0	0	0	apkaltintas
accuser	1	0	0	1	0	1	0	0	0	0	kaltintojo
accusing	1	0	0	1	0	1	0	0	0	0	kaltinantis
accustomed	0	0	0	0	0	0	0	0	0	0	pripratę
ace	0	0	0	0	0	0	1	0	0	0	tūzas
acetic	0	0	0	0	0	0	0	0	0	0	acto
ache	0	0	0	0	0	1	0	1	0	0	skaudėti
achieve	0	0	0	0	1	0	1	0	0	1	pasiekti
achievement	0	1	0	0	1	0	1	0	0	1	pasiekimas
aching	0	0	0	0	0	1	0	1	0	0	skauda
acid	0	0	0	0	0	1	0	0	0	0	rūgšties
acidity	0	0	0	0	0	0	0	0	0	0	rūgštingumas
acknowledge	0	0	0	0	0	0	0	0	0	0	pripažinti
acknowledged	0	0	0	0	0	0	0	0	0	0	pripažino
acknowledgment	0	0	0	0	0	0	1	0	0	0	pripažinimas
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustinis
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	supažindinti
acquaintance	0	0	0	0	0	0	0	0	0	0	pažintis
acquainted	0	0	0	0	0	0	0	0	0	0	susipažinęs
acquiescence	0	0	0	0	0	0	0	0	0	0	sutikimas
acquire	0	0	0	0	0	0	1	0	0	0	įgyti
acquiring	0	1	0	0	0	0	1	0	0	0	įsigyjant
acquisition	0	0	0	0	0	0	0	0	0	0	įsigijimas
acquisitions	0	0	0	0	0	0	0	0	0	0	įsigijimų
acreage	0	0	0	0	0	0	0	0	0	0	plotas
acres	0	0	0	0	0	0	0	0	0	0	akrų
acrobat	0	0	0	1	1	0	1	0	0	1	akrobatas
act	0	0	0	0	0	0	0	0	0	0	veikti
acting	0	0	0	0	0	0	0	0	0	0	vaidyba
action	0	0	0	0	0	0	1	0	0	0	veiksmas
actionable	1	0	1	0	0	1	0	0	0	0	veiksmingi
active	0	0	0	0	0	0	0	0	0	0	aktyvus
activity	0	0	0	0	0	0	0	0	0	0	veikla
actor	0	0	0	0	0	0	0	0	0	0	aktorius
actual	0	0	0	0	0	0	1	0	0	0	faktinis
actuality	0	0	0	0	0	0	0	0	0	0	aktualumas
actuary	0	0	0	0	0	0	0	0	0	0	aktuaras
acuity	0	0	0	0	0	0	1	0	0	0	aštrumas
acumen	0	0	0	0	0	0	1	0	0	0	sumanumas
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktūra
acutely	0	0	0	0	0	0	0	0	0	0	ūmiai
adage	0	0	0	0	0	0	0	0	0	0	posakis
adamant	0	0	0	0	0	0	0	0	0	0	tvirtas
adapt	0	0	0	0	0	0	1	0	0	0	prisitaikyti
adaptable	0	0	0	0	0	0	1	0	0	0	pritaikomas
add	0	0	0	0	0	0	0	0	0	0	papildyti
added	0	0	0	0	0	0	0	0	0	0	pridėta
addendum	0	0	0	0	0	0	0	0	0	0	priedas
adder	1	0	1	1	0	1	0	1	0	0	sumatorius
addiction	0	0	0	0	0	1	0	0	0	0	priklausomybė
addition	0	0	0	0	0	0	0	0	0	0	papildymas
additional	0	0	0	0	0	0	0	0	0	0	papildomas
additive	0	0	0	0	0	0	0	0	0	0	priedas
address	0	0	0	0	0	0	0	0	0	0	adresu
addressee	0	0	0	0	0	0	0	0	0	0	adresatas
addresses	0	1	0	0	0	0	1	0	0	0	adresus
adept	0	0	0	0	0	0	1	0	0	0	įgudęs
adequacy	0	0	0	0	0	0	1	0	0	0	adekvatumas
adequate	0	0	0	0	0	0	0	0	0	0	adekvatus
adhere	0	0	0	0	0	0	0	0	0	0	laikytis
adherence	0	0	0	0	0	0	0	0	0	0	laikymasis
adherent	0	0	0	0	0	0	0	0	0	0	prisirišęs
adhering	0	0	0	0	0	0	0	0	0	1	besilaikantis
adhesion	0	0	0	0	0	0	0	0	0	0	Sukibimas
adhesive	0	0	0	0	0	0	0	0	0	0	klijai
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	riebalinis
adjacency	0	0	0	0	0	0	0	0	0	0	gretimumas
adjacent	0	0	0	0	0	0	0	0	0	0	gretimas
adjective	0	0	0	0	0	0	0	0	0	0	būdvardis
adjoining	0	0	0	0	0	0	0	0	0	0	gretimas
adjourn	0	0	0	0	0	0	0	0	0	0	atidėti
adjournment	0	0	0	0	0	0	0	0	0	0	atidėjimas
adjudicate	0	0	0	1	0	1	0	0	0	0	spręsti
adjudication	0	0	0	0	0	0	0	0	0	0	sprendimo priėmimas
adjunct	0	0	0	0	0	0	1	0	0	0	priedas
adjust	0	0	0	0	0	0	0	0	0	0	sureguliuoti
adjustment	0	0	0	0	0	0	0	0	0	0	koregavimas
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvantas
administer	0	0	0	0	0	0	0	0	0	0	administruoti
administration	0	0	0	0	0	0	0	0	0	0	administracija
administrative	0	0	0	0	0	0	0	0	0	1	administracinis
admirable	0	0	0	0	1	0	1	0	0	1	žavintis
admiral	0	0	0	0	0	0	1	0	0	1	admirolas
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitetas
admiration	0	0	0	0	1	0	1	0	0	1	susižavėjimas
admire	0	0	0	0	0	0	1	0	0	1	grožėtis
admirer	0	0	0	0	0	0	1	0	0	0	gerbėjas
admissibility	0	0	0	0	0	0	0	0	0	0	priimtinumas
admissible	0	0	0	0	0	0	1	0	0	1	priimtinas
admission	0	0	0	0	0	0	0	0	0	0	priėmimas
admit	0	0	0	0	0	0	0	0	0	0	pripažinti
admittance	0	0	0	0	0	0	0	0	0	0	priėmimas
admitted	0	0	0	0	0	0	0	0	0	0	pripažino
admitting	0	0	0	0	0	0	0	0	0	0	prisipažįstant
admixture	0	0	0	0	0	0	0	0	0	0	priemaiša
admonition	0	0	0	1	0	1	0	0	0	0	įspėjimas
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	paauglystė
adolescent	0	0	0	0	0	0	0	0	0	0	paauglys
adopt	0	0	0	0	0	0	0	0	0	0	priimti
adoption	0	0	0	0	0	0	0	0	0	0	įvaikinimas
adorable	0	0	0	0	1	0	1	0	0	0	žavinga
adoration	0	0	0	0	1	0	1	0	0	1	garbinimas
adore	0	1	0	0	1	0	1	0	0	1	dievinu
adorn	0	0	0	0	0	0	0	0	0	0	puošti
adornment	0	0	0	0	0	0	0	0	0	0	puošmena
adrift	0	1	0	1	0	1	0	1	0	0	dreifuoja
adult	0	0	0	0	0	0	0	0	0	0	suaugęs
adulterated	0	0	0	0	0	1	0	0	0	0	suklastotas
adultery	0	0	1	0	0	1	0	1	0	0	svetimavimas
advance	0	1	0	1	1	0	1	0	1	0	avansu
advanced	0	0	0	0	0	0	1	0	0	0	pažengęs
advancement	0	0	0	0	0	0	1	0	0	0	pažanga
advancing	0	0	0	0	0	0	0	0	0	0	žengiant į priekį
advantage	0	0	0	0	0	0	1	0	0	0	pranašumas
advantageous	0	0	0	0	0	0	1	0	0	0	pranašesnis
advent	0	1	0	0	1	0	1	0	0	1	adventas
adventure	0	1	0	0	0	0	1	0	0	0	nuotykis
adventurer	0	0	0	0	0	0	0	0	0	0	nuotykių ieškotojas
adventurous	0	0	0	0	0	0	1	0	0	0	nuotykių kupinas
adversary	1	0	0	0	0	1	0	0	0	0	priešininkas
adverse	1	0	1	1	0	1	0	1	0	0	nepalankios
adversity	1	0	0	1	0	1	0	1	0	0	nelaimės
advertise	0	0	0	0	0	0	0	0	0	0	reklamuoti
advertisement	0	0	0	0	0	0	0	0	0	0	skelbimas
advice	0	0	0	0	0	0	0	0	0	1	patarimas
advisable	0	0	0	0	0	0	1	0	0	1	patartinas
advise	0	0	0	0	0	0	1	0	0	1	patarti
advised	0	0	0	0	0	0	0	0	0	1	patarė
advisement	0	0	0	0	0	0	0	0	0	0	patarimas
adviser	0	0	0	0	0	0	1	0	0	1	patarėjas
advocacy	1	1	0	0	1	0	1	0	0	1	advokacija
advocate	0	0	0	0	0	0	0	0	0	1	advokatas
aegis	0	0	0	0	0	0	0	0	0	0	egis
aeration	0	0	0	0	0	0	0	0	0	0	aeracija
aerial	0	0	0	0	0	0	0	0	0	0	antenos
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodromas
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	lėktuvas
aesthetic	0	0	0	0	0	0	1	0	0	0	estetinė
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologija
afar	0	0	0	0	0	0	0	0	0	0	toli
affable	0	0	0	0	0	0	1	0	0	0	malonus
affair	0	0	0	0	0	0	0	0	0	0	reikalas
affecting	0	0	0	0	0	0	0	0	0	0	paveikiantis
affection	0	0	0	0	1	0	1	0	0	1	meilė
affections	0	0	0	0	0	0	0	0	0	0	meilės
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	priesaika
affiliated	0	0	0	0	0	0	1	0	0	0	susijusi
affiliation	0	0	0	0	0	0	0	0	0	0	priklausomybė
affinity	0	0	0	0	0	0	0	0	0	0	giminingumas
affirm	0	0	0	0	0	0	1	0	0	1	patvirtinti
affirmation	0	0	0	0	0	0	1	0	0	0	patvirtinimas
affirmative	0	0	0	0	0	0	1	0	0	0	teigiamai
affirmatively	0	0	0	0	0	0	1	0	0	1	teigiamai
affix	0	0	0	0	0	0	0	0	0	0	pritvirtinti
afflict	0	0	0	1	0	1	0	1	0	0	kamuoti
afflicted	0	0	0	0	0	1	0	0	0	0	kamuojamas
affliction	0	0	1	1	0	1	0	1	0	0	vargas
affluence	0	0	0	0	1	0	1	0	0	0	turtus
affluent	0	0	0	0	0	0	1	0	0	0	pasiturintys
afford	0	0	0	0	0	0	1	0	0	0	sau leisti
affront	1	0	1	1	0	1	0	1	1	0	įžeidimas
afield	0	0	0	0	0	0	0	0	0	0	lauke
afore	0	0	0	0	0	0	0	0	0	0	anksčiau
aforementioned	0	0	0	0	0	0	0	0	0	0	minėtas
aforesaid	0	0	0	0	0	0	0	0	0	0	anksčiau minėta
afraid	0	0	0	1	0	1	0	0	0	0	išsigandęs
afresh	0	0	0	0	0	0	0	0	0	0	iš naujo
aft	0	0	0	0	0	0	0	0	0	0	užpakalinis
aftermath	1	0	1	1	0	1	0	1	0	0	pasekmės
afternoon	0	0	0	0	0	0	0	0	0	0	popietę
aftertaste	0	0	0	0	0	1	0	0	0	0	poskonis
afterthought	0	0	0	0	0	0	0	0	0	0	paskubomis
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agatas
age	0	0	0	0	0	0	0	0	0	0	amžiaus
aged	0	0	0	0	0	0	0	0	0	0	amžiaus
agency	0	0	0	0	0	0	0	0	0	0	Agentūra
agent	0	0	0	0	0	0	0	0	0	0	agentas
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeracija
aggravated	1	0	0	0	0	1	0	0	0	0	apsunkintas
aggravating	1	0	0	0	0	1	0	1	0	0	sunkinantis
aggravation	1	0	1	0	0	1	0	0	0	0	pasunkėjimas
aggregate	0	0	0	0	0	0	0	0	0	0	agregatas
aggregation	0	0	0	0	0	0	0	0	0	0	agregacija
aggression	1	0	0	1	0	1	0	0	0	0	agresija
aggressive	1	0	0	1	0	1	0	0	0	0	agresyvus
aggressor	1	0	0	1	0	1	0	0	0	0	agresorius
aghast	0	0	1	1	0	1	0	0	1	0	pasibaisėjęs
agile	0	0	0	0	0	0	1	0	0	0	judrus
agility	0	0	0	0	0	0	1	0	0	0	judrumas
agitated	1	0	0	0	0	1	0	0	0	0	susijaudinęs
agitation	1	0	0	0	0	1	0	0	0	0	agitacija
agnostic	0	0	0	0	0	0	0	0	0	0	agnostikas
ago	0	0	0	0	0	0	0	0	0	0	prieš
agonizing	0	0	0	1	0	1	0	0	0	0	kankinantis
agony	1	0	0	1	0	1	0	1	0	0	agonija
agree	0	0	0	0	0	0	1	0	0	0	sutinku
agreeable	0	0	0	0	0	0	1	0	0	1	priimtinas
agreed	0	0	0	0	0	0	1	0	0	1	sutiko
agreeing	0	0	0	0	0	0	1	0	0	1	sutikdamas
agreement	0	0	0	0	0	0	1	0	0	1	susitarimą
agricultural	0	0	0	0	0	0	0	0	0	0	žemės ūkio
agriculture	0	0	0	0	0	0	1	0	0	0	Žemdirbystė
aground	0	0	0	0	0	1	0	0	0	0	ant seklumos
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	priekyje
aid	0	0	0	0	0	0	1	0	0	0	pagalba
aiding	0	0	0	0	0	0	1	0	0	0	pagalba
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	sergantis
ailment	0	0	0	0	0	0	0	0	0	0	negalavimas
aim	0	0	0	0	0	0	0	0	0	0	tikslas
aimless	0	0	0	0	0	1	0	0	0	0	betikslis
air	0	0	0	0	0	0	0	0	0	0	oro
airbag	0	0	0	0	0	0	0	0	0	0	oro pagalvė
airlift	0	0	0	0	0	0	0	0	0	0	oro transportu
airline	0	0	0	0	0	0	0	0	0	0	aviakompanija
airman	0	0	0	0	0	0	0	0	0	0	oreivis
airplane	0	0	0	0	0	0	0	0	0	0	lėktuvas
airport	0	1	0	0	0	0	0	0	0	0	oro uostas
airs	0	0	1	0	0	1	0	0	0	0	eteryje
airship	0	0	0	0	0	0	0	0	0	0	dirižablis
aisle	0	0	0	0	0	0	0	0	0	0	praėjimas
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	praviras
akin	0	0	0	0	0	0	0	0	0	1	artimas
alabaster	0	0	0	0	0	0	1	0	0	0	alebastras
alarm	0	0	0	1	0	1	0	0	1	0	signalizacija
alarming	0	0	0	1	0	1	0	0	1	0	nerimą keliantis
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albumas
alchemy	0	0	0	0	0	0	0	0	0	0	alchemija
alcohol	0	0	0	0	0	0	0	0	0	0	alkoholio
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizmas
alcove	0	0	0	0	0	0	0	0	0	0	nišas
alert	0	0	0	0	0	0	0	0	0	0	budrus
alertness	0	1	0	1	0	0	1	0	1	0	budrumas
alerts	0	1	0	1	0	0	0	0	1	0	įspėjimai
alfalfa	0	0	0	0	0	0	0	0	0	0	liucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebrinė
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmas
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	ateivis
alienate	1	0	1	0	0	1	0	0	0	0	atstumti
alienated	0	0	0	0	0	1	0	1	0	0	susvetimėjęs
alienation	1	0	1	1	0	1	0	1	0	0	susvetimėjimas
alight	0	0	0	0	0	0	0	0	0	0	užsidegti
aligned	0	0	0	0	0	0	0	0	0	0	sulygiuota
alignment	0	0	0	0	0	0	0	0	0	0	lygiavimas
alike	0	0	0	0	0	0	0	0	0	0	panašiai
alimentation	0	0	0	0	0	0	1	0	0	0	maitinimas
alimony	0	0	0	0	0	1	0	0	0	0	alimentai
aliquot	0	0	0	0	0	0	0	0	0	0	alikvotinė dalis
alive	0	1	0	0	1	0	1	0	0	1	gyvas
alkali	0	0	0	0	0	0	0	0	0	0	šarmas
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidai
allay	0	0	0	0	0	0	1	0	0	0	numalšinti
allegation	1	0	0	0	0	1	0	0	0	0	kaltinimas
allege	0	0	0	0	0	1	0	0	0	0	kaltinti
alleged	0	0	0	0	0	0	0	0	0	0	tariamas
allegiance	0	0	0	0	0	0	1	0	0	1	ištikimybė
allegorical	0	0	0	0	0	0	0	0	0	0	alegorinis
allegory	0	0	0	0	0	0	0	0	0	0	alegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	palengvinti
alleviation	0	0	0	0	0	0	1	0	0	0	palengvinimas
alley	0	0	0	0	0	0	0	0	0	0	alėja
alliance	0	0	0	0	0	0	0	0	0	1	aljansą
allied	0	0	0	0	0	0	1	0	0	1	sąjungininkas
alligator	0	0	0	0	0	0	0	0	0	0	aligatorius
allocate	0	0	0	0	0	0	0	0	0	0	paskirstyti
allocation	0	0	0	0	0	0	0	0	0	0	paskirstymas
allot	0	0	0	0	0	0	0	0	0	0	paskirstyti
allotment	0	0	0	0	0	0	0	0	0	0	paskirstymas
allowable	0	0	0	0	0	0	1	0	0	0	leistina
allowance	0	0	0	0	0	0	0	0	0	0	pašalpa
allowed	0	0	0	0	0	0	0	0	0	0	leidžiama
alloy	0	0	0	0	0	0	0	0	0	0	lydinio
allure	0	1	0	0	1	0	1	0	1	0	viliojimas
alluring	0	0	0	0	0	0	1	0	0	0	viliojantis
allusion	0	0	0	0	0	0	0	0	0	0	aliuzija
alluvial	0	0	0	0	0	0	0	0	0	0	aliuvinis
ally	0	0	0	0	0	0	1	0	0	1	sąjungininkas
almanac	0	0	0	0	0	0	0	0	0	0	almanachas
almighty	0	0	0	0	0	0	1	0	0	0	visagalis
aloft	0	0	0	0	0	0	0	0	0	0	aukštai
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	greta
aloof	0	0	0	0	0	1	0	0	0	0	nuošaliai
aloud	0	0	0	0	0	0	0	0	0	0	garsiai
alphabet	0	0	0	0	0	0	0	0	0	0	abėcėlė
alphabetical	0	0	0	0	0	0	0	0	0	0	abėcėlinis
altar	0	0	0	0	0	0	0	0	0	0	altorius
alter	0	0	0	0	0	0	0	0	0	0	pakeisti
alteration	0	0	0	0	0	0	0	0	0	0	pakeitimas
altercation	1	0	0	0	0	1	0	0	0	0	ginčas
altered	0	0	0	0	0	0	0	0	0	0	pakeistas
alternate	0	0	0	0	0	0	0	0	0	0	Alternatyva
alternative	0	0	0	0	0	0	0	0	0	0	alternatyva
altitude	0	0	0	0	0	0	0	0	0	0	aukštis virš jūros lygio
alto	0	0	0	0	0	0	0	0	0	0	altas
altogether	0	0	0	0	0	0	0	0	0	0	iš viso
alumnus	0	0	0	0	0	0	0	0	0	0	alumnas
alveolar	0	0	0	0	0	0	0	0	0	0	alveolinis
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	susijungimas
amass	0	0	0	0	0	0	0	0	0	0	kaupti
amateur	0	0	0	0	0	0	0	0	0	0	mėgėjas
amaze	0	0	0	0	0	0	0	0	1	0	nustebinti
amazement	0	0	0	0	0	0	0	0	0	0	nuostaba
amazingly	0	0	0	0	1	0	1	0	1	0	nuostabiai
ambassador	0	0	0	0	0	0	1	0	0	1	ambasadorius
amber	0	0	0	0	0	0	0	0	0	0	gintaras
ambient	0	0	0	0	0	0	0	0	0	0	aplinkos
ambiguity	0	0	0	0	0	0	0	0	0	0	dviprasmiškumas
ambiguous	0	0	0	0	0	1	0	0	0	0	dviprasmiškas
ambit	0	0	0	0	0	0	0	0	0	0	ambicija
ambition	0	1	0	0	1	0	1	0	0	1	ambicijos
ambitious	0	0	0	0	0	0	0	0	0	0	ambicinga
ambulance	0	0	0	1	0	0	0	0	0	1	greitoji pagalba
ambush	1	0	0	1	0	1	0	0	1	0	pasalą
ameliorate	0	0	0	0	0	0	1	0	0	0	pagerinti
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	priimtinas
amend	0	0	0	0	0	0	1	0	0	0	pataisyti
amendment	0	0	0	0	0	0	0	0	0	0	pakeitimas
amends	0	0	0	0	0	0	1	0	0	0	pakeičia
amenity	0	0	0	0	0	0	1	0	0	0	patogumas
amethyst	0	0	0	0	0	0	0	0	0	0	ametistas
amiable	0	0	0	0	0	0	1	0	0	0	malonus
amicable	0	0	0	0	1	0	1	0	0	0	draugiškas
amid	0	0	0	0	0	0	0	0	0	0	vidury
amidst	0	0	0	0	0	0	0	0	0	0	tarp
ammonia	0	0	1	0	0	0	0	0	0	0	amoniako
ammunition	0	0	0	0	0	0	0	0	0	0	amunicija
amnesia	0	0	0	0	0	1	0	0	0	0	amnezija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestija
amorphous	0	0	0	0	0	0	0	0	0	0	amorfinis
amortization	0	0	0	0	0	0	0	0	0	1	amortizacija
