English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Igbo Word
abstention	0	0	0	0	0	0	0	0	0	0	abhapụ
abstinence	0	0	0	0	0	0	0	0	0	0	abstinence
abstract	0	0	0	0	0	0	0	0	0	0	abtract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	ihe nzuzu
absurdity	0	0	0	0	0	1	0	0	0	0	absurdity
abundance	0	1	1	0	1	1	1	0	0	1	ụbara
abundant	0	0	0	0	1	0	1	0	0	0	ukwuu
abuse	1	0	1	1	0	1	0	1	0	0	mmegbu
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	ebe
abysmal	0	0	0	0	0	1	0	1	0	0	ihe jọgburu onwe ya
abyss	0	0	0	1	0	1	0	1	0	0	abis
academic	0	0	0	0	0	0	1	0	0	1	agụmakwụkwọ
academy	0	0	0	0	0	0	1	0	0	0	ulo akwukwo
accede	0	0	0	0	0	0	0	0	0	0	nweta
accelerate	0	1	0	0	0	0	0	0	0	0	mee ngwa ngwa
acceleration	0	0	0	0	0	0	0	0	0	0	osooso
accent	0	0	0	0	0	0	0	0	0	0	ụda olu
accentuate	0	0	0	0	0	0	0	0	0	0	mesie ike
accept	0	0	0	0	0	0	0	0	0	0	nabata
acceptable	0	0	0	0	0	0	1	0	0	0	dị mma
acceptance	0	0	0	0	0	0	1	0	0	0	nnabata
access	0	0	0	0	0	0	0	0	0	0	ohere
accessible	0	0	0	0	0	0	1	0	0	0	enwere ike inweta
accession	0	0	0	0	0	0	0	0	0	0	ntinye
accessory	0	0	0	0	0	0	0	0	0	0	ngwa
accident	0	0	0	1	0	1	0	1	1	0	ihe mberede
accidental	0	0	0	1	0	1	0	0	1	0	mberede
accidentally	0	0	0	0	0	0	0	0	1	0	na mberede
accolade	0	1	0	0	1	0	1	0	1	1	otuto
accommodate	0	0	0	0	0	0	0	0	0	0	nabata
accommodation	0	0	0	0	0	0	1	0	0	0	ulo
accompaniment	0	1	0	0	1	0	1	0	0	1	nsoro
accompany	0	0	0	0	0	0	0	0	0	0	soro
accompanying	0	0	0	0	0	0	0	0	0	0	so
accomplice	0	0	0	0	0	0	0	0	0	0	onye so
accomplish	0	0	0	0	1	0	1	0	0	0	mezuo
accomplished	0	0	0	0	1	0	1	0	0	0	mezuru
accomplishment	0	0	0	0	0	0	1	0	0	0	mmezu
accord	0	0	0	0	0	0	1	0	0	1	kwadoro
accordance	0	0	0	0	0	0	0	0	0	0	dabere
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	akaụntụ
accountability	0	0	0	0	0	0	1	0	0	1	aza ajụjụ
accountable	0	0	0	0	0	0	1	0	0	1	aza ajụjụ
accountant	0	0	0	0	0	0	0	0	0	1	onye nkwuputa ego
accounting	0	0	0	0	0	0	0	0	0	0	aza ajụjụ
accounts	0	0	0	0	0	0	0	0	0	1	akaụntụ
accredited	0	0	0	0	0	0	1	0	0	1	kwadoro
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	nweta
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ikpokọta
accumulation	0	0	0	0	0	0	0	0	0	0	mkpokọta
accuracy	0	0	0	0	0	0	0	0	0	0	izi ezi
accurate	0	0	0	0	0	0	1	0	0	1	ziri ezi
accursed	1	0	0	1	0	1	0	1	0	0	bụrụ ọnụ
accusation	1	0	1	0	0	1	0	0	0	0	ebubo
accusative	0	0	0	0	0	1	0	0	0	0	ebubo
accused	1	0	0	1	0	1	0	0	0	0	ebubo
accuser	1	0	0	1	0	1	0	0	0	0	onye nkwubo
accusing	1	0	0	1	0	1	0	0	0	0	na-ebo ebubo
accustomed	0	0	0	0	0	0	0	0	0	0	agba nkịtị
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	mgbu
achieve	0	0	0	0	1	0	1	0	0	1	nweta
achievement	0	1	0	0	1	0	1	0	0	1	mmezu
aching	0	0	0	0	0	1	0	1	0	0	na-egbu mgbu
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	kweta
acknowledged	0	0	0	0	0	0	0	0	0	0	kwetara
acknowledgment	0	0	0	0	0	0	1	0	0	0	nkwenye
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	egwu
acoustics	0	0	0	0	0	0	0	0	0	0	egwu egwu
acquaint	0	0	0	0	0	0	0	0	0	0	imata
acquaintance	0	0	0	0	0	0	0	0	0	0	imata
acquainted	0	0	0	0	0	0	0	0	0	0	maara
acquiescence	0	0	0	0	0	0	0	0	0	0	nnabata
acquire	0	0	0	0	0	0	1	0	0	0	nweta
acquiring	0	1	0	0	0	0	1	0	0	0	inweta
acquisition	0	0	0	0	0	0	0	0	0	0	nnweta
acquisitions	0	0	0	0	0	0	0	0	0	0	nnweta
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	ime ihe
acting	0	0	0	0	0	0	0	0	0	0	eme ihe
action	0	0	0	0	0	0	1	0	0	0	ime ihe
actionable	1	0	1	0	0	1	0	0	0	0	eme ihe
active	0	0	0	0	0	0	0	0	0	0	arụ ọrụ
activity	0	0	0	0	0	0	0	0	0	0	ọrụ
actor	0	0	0	0	0	0	0	0	0	0	omee
actual	0	0	0	0	0	0	1	0	0	0	n'ezie
actuality	0	0	0	0	0	0	0	0	0	0	eziokwu
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	ikike
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	nke ọma
adage	0	0	0	0	0	0	0	0	0	0	okwu
adamant	0	0	0	0	0	0	0	0	0	0	ekwe ekwe
adapt	0	0	0	0	0	0	1	0	0	0	imeghari
adaptable	0	0	0	0	0	0	1	0	0	0	emeghari
add	0	0	0	0	0	0	0	0	0	0	tinye
added	0	0	0	0	0	0	0	0	0	0	agbakwunyere
addendum	0	0	0	0	0	0	0	0	0	0	mgbakwunye
adder	1	0	1	1	0	1	0	1	0	0	mgbakwunye
addiction	0	0	0	0	0	1	0	0	0	0	riri ahụ
addition	0	0	0	0	0	0	0	0	0	0	mgbakwunye
additional	0	0	0	0	0	0	0	0	0	0	mgbakwunye
additive	0	0	0	0	0	0	0	0	0	0	mgbakwunye
address	0	0	0	0	0	0	0	0	0	0	adreesị
addressee	0	0	0	0	0	0	0	0	0	0	adreesị
addresses	0	1	0	0	0	0	1	0	0	0	adreesị
adept	0	0	0	0	0	0	1	0	0	0	mara mma
adequacy	0	0	0	0	0	0	1	0	0	0	ezuru oke
adequate	0	0	0	0	0	0	0	0	0	0	zuru oke
adhere	0	0	0	0	0	0	0	0	0	0	jidesie ike
adherence	0	0	0	0	0	0	0	0	0	0	nrubeisi
adherent	0	0	0	0	0	0	0	0	0	0	na-akwado
adhering	0	0	0	0	0	0	0	0	0	1	na-erube isi
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	nrapado
adieu	0	0	0	0	0	0	0	0	0	0	adiyu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	nsoro
adjacent	0	0	0	0	0	0	0	0	0	0	n'akụkụ
adjective	0	0	0	0	0	0	0	0	0	0	adjective
adjoining	0	0	0	0	0	0	0	0	0	0	n'akụkụ
adjourn	0	0	0	0	0	0	0	0	0	0	kwụsịchaa
adjournment	0	0	0	0	0	0	0	0	0	0	nkwughachi
adjudicate	0	0	0	1	0	1	0	0	0	0	kpee ikpe
adjudication	0	0	0	0	0	0	0	0	0	0	ikpe
adjunct	0	0	0	0	0	0	1	0	0	0	mgbakwunye
adjust	0	0	0	0	0	0	0	0	0	0	dozie
adjustment	0	0	0	0	0	0	0	0	0	0	mmezi
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	inye
administration	0	0	0	0	0	0	0	0	0	0	nchịkwa
administrative	0	0	0	0	0	0	0	0	0	1	nhazi
admirable	0	0	0	0	1	0	1	0	0	1	kemmasi
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	mmasi
admire	0	0	0	0	0	0	1	0	0	1	nwee mmasị
admirer	0	0	0	0	0	0	1	0	0	0	mmasị
admissibility	0	0	0	0	0	0	0	0	0	0	nnabata
admissible	0	0	0	0	0	0	1	0	0	1	nnabata
admission	0	0	0	0	0	0	0	0	0	0	nnabata
admit	0	0	0	0	0	0	0	0	0	0	kweta
admittance	0	0	0	0	0	0	0	0	0	0	nnabata
admitted	0	0	0	0	0	0	0	0	0	0	kwetara
admitting	0	0	0	0	0	0	0	0	0	0	na-ekweta
admixture	0	0	0	0	0	0	0	0	0	0	admixture
admonition	0	0	0	1	0	1	0	0	0	0	ndụmọdụ
ado	0	0	0	0	0	0	0	0	0	0	ido
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	oge uto
adolescent	0	0	0	0	0	0	0	0	0	0	ntorobia
adopt	0	0	0	0	0	0	0	0	0	0	ịmụta
adoption	0	0	0	0	0	0	0	0	0	0	nkuchi
adorable	0	0	0	0	1	0	1	0	0	0	mara mma
adoration	0	0	0	0	1	0	1	0	0	1	ofufe
adore	0	1	0	0	1	0	1	0	0	1	hụrụ n'anya
adorn	0	0	0	0	0	0	0	0	0	0	chọọ mma
adornment	0	0	0	0	0	0	0	0	0	0	ịchọ mma
adrift	0	1	0	1	0	1	0	1	0	0	iduhie
adult	0	0	0	0	0	0	0	0	0	0	okenye
adulterated	0	0	0	0	0	1	0	0	0	0	kwara iko
adultery	0	0	1	0	0	1	0	1	0	0	ịkwa iko
advance	0	1	0	1	1	0	1	0	1	0	n'ihu
advanced	0	0	0	0	0	0	1	0	0	0	elu
advancement	0	0	0	0	0	0	1	0	0	0	ọganihu
advancing	0	0	0	0	0	0	0	0	0	0	na-aga n'ihu
advantage	0	0	0	0	0	0	1	0	0	0	uru
advantageous	0	0	0	0	0	0	1	0	0	0	bara uru
advent	0	1	0	0	1	0	1	0	0	1	biakwa obibia
adventure	0	1	0	0	0	0	1	0	0	0	njem njem
adventurer	0	0	0	0	0	0	0	0	0	0	onye njem
adventurous	0	0	0	0	0	0	1	0	0	0	adventurous
adversary	1	0	0	0	0	1	0	0	0	0	onye mmegide
adverse	1	0	1	1	0	1	0	1	0	0	ọjọọ
adversity	1	0	0	1	0	1	0	1	0	0	ahụhụ
advertise	0	0	0	0	0	0	0	0	0	0	kpọsaanụ
advertisement	0	0	0	0	0	0	0	0	0	0	mgbasa ozi
advice	0	0	0	0	0	0	0	0	0	1	ndụmọdụ
advisable	0	0	0	0	0	0	1	0	0	1	dị mma
advise	0	0	0	0	0	0	1	0	0	1	ndụmọdụ
advised	0	0	0	0	0	0	0	0	0	1	dụrụ ọdụ
advisement	0	0	0	0	0	0	0	0	0	0	ndụmọdụ
adviser	0	0	0	0	0	0	1	0	0	1	onye ndụmọdụ
advocacy	1	1	0	0	1	0	1	0	0	1	nkwado
advocate	0	0	0	0	0	0	0	0	0	1	na-akwado
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	ikuku
aerial	0	0	0	0	0	0	0	0	0	0	ikuku
aerodrome	0	0	0	0	0	0	0	0	0	0	ikuku ikuku
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	ụgbọ elu
aesthetic	0	0	0	0	0	0	1	0	0	0	aesthetic
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	anya
affable	0	0	0	0	0	0	1	0	0	0	ike
affair	0	0	0	0	0	0	0	0	0	0	okwu
affecting	0	0	0	0	0	0	0	0	0	0	na-emetụta
affection	0	0	0	0	1	0	1	0	0	1	ịhụnanya
affections	0	0	0	0	0	0	0	0	0	0	mmetụta ịhụnanya
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	nkwupụta
affiliated	0	0	0	0	0	0	1	0	0	0	mmekọ
affiliation	0	0	0	0	0	0	0	0	0	0	mmekọ
affinity	0	0	0	0	0	0	0	0	0	0	mmekọ
affirm	0	0	0	0	0	0	1	0	0	1	kwuputa
affirmation	0	0	0	0	0	0	1	0	0	0	nkwenye
affirmative	0	0	0	0	0	0	1	0	0	0	kwenye
affirmatively	0	0	0	0	0	0	1	0	0	1	n'ezie
affix	0	0	0	0	0	0	0	0	0	0	tinye
afflict	0	0	0	1	0	1	0	1	0	0	mmekpa ahụ
afflicted	0	0	0	0	0	1	0	0	0	0	na-akpagbu
affliction	0	0	1	1	0	1	0	1	0	0	nhụsianya
affluence	0	0	0	0	1	0	1	0	0	0	ịba ọgaranya
affluent	0	0	0	0	0	0	1	0	0	0	ọgaranya
afford	0	0	0	0	0	0	1	0	0	0	nwee ike
affront	1	0	1	1	0	1	0	1	1	0	mkparị
afield	0	0	0	0	0	0	0	0	0	0	n'èzí
afore	0	0	0	0	0	0	0	0	0	0	mbụ
aforementioned	0	0	0	0	0	0	0	0	0	0	kwuru na mbụ
aforesaid	0	0	0	0	0	0	0	0	0	0	kwuru na mbụ
afraid	0	0	0	1	0	1	0	0	0	0	egwu
afresh	0	0	0	0	0	0	0	0	0	0	ohuru
aft	0	0	0	0	0	0	0	0	0	0	n'azụ
aftermath	1	0	1	1	0	1	0	1	0	0	n'esochi
afternoon	0	0	0	0	0	0	0	0	0	0	ehihie
aftertaste	0	0	0	0	0	1	0	0	0	0	uto mgbe emechara
afterthought	0	0	0	0	0	0	0	0	0	0	echiche emechaa
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	afọ
aged	0	0	0	0	0	0	0	0	0	0	mere agadi
agency	0	0	0	0	0	0	0	0	0	0	ụlọ ọrụ
agent	0	0	0	0	0	0	0	0	0	0	onye nnọchi anya
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	ka njọ
aggravating	1	0	0	0	0	1	0	1	0	0	na-akawanye njọ
aggravation	1	0	1	0	0	1	0	0	0	0	ihe ka njọ
aggregate	0	0	0	0	0	0	0	0	0	0	mkpokọta
aggregation	0	0	0	0	0	0	0	0	0	0	nchịkọta
aggression	1	0	0	1	0	1	0	0	0	0	ime ihe ike
aggressive	1	0	0	1	0	1	0	0	0	0	ike ike
aggressor	1	0	0	1	0	1	0	0	0	0	onye na-eme ihe ike
aghast	0	0	1	1	0	1	0	0	1	0	egwu
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	ike
agitated	1	0	0	0	0	1	0	0	0	0	iwe iwe
agitation	1	0	0	0	0	1	0	0	0	0	mkpasu iwe
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	gara aga
agonizing	0	0	0	1	0	1	0	0	0	0	na-ata ahụhụ
agony	1	0	0	1	0	1	0	1	0	0	ihe mgbu
agree	0	0	0	0	0	0	1	0	0	0	kwenye
agreeable	0	0	0	0	0	0	1	0	0	1	mma
agreed	0	0	0	0	0	0	1	0	0	1	kwetara
agreeing	0	0	0	0	0	0	1	0	0	1	ikweta
agreement	0	0	0	0	0	0	1	0	0	1	nkwekọrịta
agricultural	0	0	0	0	0	0	0	0	0	0	ugbo
agriculture	0	0	0	0	0	0	1	0	0	0	ugbo
aground	0	0	0	0	0	1	0	0	0	0	ala
agua	0	0	0	0	0	0	0	0	0	0	agu
ahead	0	0	0	0	0	0	1	0	0	0	n'ihu
aid	0	0	0	0	0	0	1	0	0	0	enyemaka
aiding	0	0	0	0	0	0	1	0	0	0	inye aka
ail	0	0	0	0	0	1	0	1	0	0	ike
ailing	0	0	0	1	0	1	0	1	0	0	na-arịa ọrịa
ailment	0	0	0	0	0	0	0	0	0	0	ọrịa
aim	0	0	0	0	0	0	0	0	0	0	ebumnuche
aimless	0	0	0	0	0	1	0	0	0	0	enweghị isi
air	0	0	0	0	0	0	0	0	0	0	ikuku
airbag	0	0	0	0	0	0	0	0	0	0	akpa ikuku
airlift	0	0	0	0	0	0	0	0	0	0	mbuli elu
airline	0	0	0	0	0	0	0	0	0	0	ụgbọ elu
airman	0	0	0	0	0	0	0	0	0	0	onye ugbo elu
airplane	0	0	0	0	0	0	0	0	0	0	ụgbọ elu
airport	0	1	0	0	0	0	0	0	0	0	ọdụ ụgbọ elu
airs	0	0	1	0	0	1	0	0	0	0	ikuku
airship	0	0	0	0	0	0	0	0	0	0	ụgbọ elu
aisle	0	0	0	0	0	0	0	0	0	0	wara wara
ait	0	0	0	0	0	0	0	0	0	0	ihe
ajar	0	0	0	0	0	0	0	0	0	0	agba
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	mkpu
alarming	0	0	0	1	0	1	0	0	1	0	na-atụ egwu
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	mmanya
alcoholism	1	0	1	1	0	1	0	1	0	0	mmanya na-egbu egbu
alcove	0	0	0	0	0	0	0	0	0	0	agbago
alert	0	0	0	0	0	0	0	0	0	0	njikere
alertness	0	1	0	1	0	0	1	0	1	0	njikere
alerts	0	1	0	1	0	0	0	0	1	0	ọkwa
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algọridim
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	ọbịa
alienate	1	0	1	0	0	1	0	0	0	0	kewapụ
alienated	0	0	0	0	0	1	0	1	0	0	kewapụrụ
alienation	1	0	1	1	0	1	0	1	0	0	nkewa
alight	0	0	0	0	0	0	0	0	0	0	ìhè
aligned	0	0	0	0	0	0	0	0	0	0	kwadoro
alignment	0	0	0	0	0	0	0	0	0	0	nhazi
alike	0	0	0	0	0	0	0	0	0	0	otu
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimoni
aliquot	0	0	0	0	0	0	0	0	0	0	ihe
alive	0	1	0	0	1	0	1	0	0	1	dị ndụ
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	ekwela
allegation	1	0	0	0	0	1	0	0	0	0	ebubo
allege	0	0	0	0	0	1	0	0	0	0	ebubo
alleged	0	0	0	0	0	0	0	0	0	0	ebubo
allegiance	0	0	0	0	0	0	1	0	0	1	nkwado
allegorical	0	0	0	0	0	0	0	0	0	0	ihe atụ
allegory	0	0	0	0	0	0	0	0	0	0	ilu
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ibelata
alleviation	0	0	0	0	0	0	1	0	0	0	ibelata
alley	0	0	0	0	0	0	0	0	0	0	uzo
alliance	0	0	0	0	0	0	0	0	0	1	njikọ aka
allied	0	0	0	0	0	0	1	0	0	1	jikọrọ aka
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	ekenye
allocation	0	0	0	0	0	0	0	0	0	0	oke
allot	0	0	0	0	0	0	0	0	0	0	oke
allotment	0	0	0	0	0	0	0	0	0	0	oke
allowable	0	0	0	0	0	0	1	0	0	0	ekwe
allowance	0	0	0	0	0	0	0	0	0	0	ohere
allowed	0	0	0	0	0	0	0	0	0	0	ekwe
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	mmata
alluring	0	0	0	0	0	0	1	0	0	0	na-adọrọ adọrọ
allusion	0	0	0	0	0	0	0	0	0	0	ntutu aka
alluvial	0	0	0	0	0	0	0	0	0	0	alluvil
ally	0	0	0	0	0	0	1	0	0	1	mmekorita
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	ime ihe nile
aloft	0	0	0	0	0	0	0	0	0	0	elu
aloha	0	1	0	0	1	0	1	0	0	0	udo
alongside	0	0	0	0	0	0	0	0	0	0	n'akụkụ
aloof	0	0	0	0	0	1	0	0	0	0	n'efu
aloud	0	0	0	0	0	0	0	0	0	0	n'olu dara ụda
alphabet	0	0	0	0	0	0	0	0	0	0	mkpụrụedemede
alphabetical	0	0	0	0	0	0	0	0	0	0	mkpụrụedemede
altar	0	0	0	0	0	0	0	0	0	0	ebe ịchụàjà
alter	0	0	0	0	0	0	0	0	0	0	gbanwee
alteration	0	0	0	0	0	0	0	0	0	0	mgbanwe
altercation	1	0	0	0	0	1	0	0	0	0	esemokwu
altered	0	0	0	0	0	0	0	0	0	0	gbanwere
alternate	0	0	0	0	0	0	0	0	0	0	ọzọ
alternative	0	0	0	0	0	0	0	0	0	0	ọzọ
altitude	0	0	0	0	0	0	0	0	0	0	elu
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	kpam kpam
alumnus	0	0	0	0	0	0	0	0	0	0	alumnu
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	ngwakọta
amalgamation	0	0	0	0	0	0	0	0	0	0	ngwakọta
amass	0	0	0	0	0	0	0	0	0	0	kpokọta
amateur	0	0	0	0	0	0	0	0	0	0	onye amu amu
amaze	0	0	0	0	0	0	0	0	1	0	ijuanya
amazement	0	0	0	0	0	0	0	0	0	0	ihe ijuanya
amazingly	0	0	0	0	1	0	1	0	1	0	dị ịtụnanya
ambassador	0	0	0	0	0	0	1	0	0	1	onye nnọchianya
amber	0	0	0	0	0	0	0	0	0	0	agba
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguity
ambiguous	0	0	0	0	0	1	0	0	0	0	ihe mgbagwoju anya
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	oké ọchịchọ
ambitious	0	0	0	0	0	0	0	0	0	0	oké ochicho
ambulance	0	0	0	1	0	0	0	0	0	1	ụgbọ ihe mberede
ambush	1	0	0	1	0	1	0	0	1	0	zoro ezo
ameliorate	0	0	0	0	0	0	1	0	0	0	emeziwanye
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	dị mma
amend	0	0	0	0	0	0	1	0	0	0	megharia
amendment	0	0	0	0	0	0	0	0	0	0	mmezi
amends	0	0	0	0	0	0	1	0	0	0	na-emezi
amenity	0	0	0	0	0	0	1	0	0	0	ihe oriri
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	dị mma
amicable	0	0	0	0	1	0	1	0	0	0	udo
amid	0	0	0	0	0	0	0	0	0	0	n'etiti
amidst	0	0	0	0	0	0	0	0	0	0	n'etiti
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	mgboagha
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	mgbaghara
