English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	German Word
abuse	1	0	1	1	0	1	0	1	0	0	Missbrauch
abutment	0	0	0	0	0	0	0	0	0	0	Widerlager
aby	0	0	0	0	0	0	0	0	0	0	ab
abysmal	0	0	0	0	0	1	0	1	0	0	miserabel
abyss	0	0	0	1	0	1	0	1	0	0	Abgrund
academic	0	0	0	0	0	0	1	0	0	1	akademisch
academy	0	0	0	0	0	0	1	0	0	0	Akademie
accede	0	0	0	0	0	0	0	0	0	0	beitreten
accelerate	0	1	0	0	0	0	0	0	0	0	beschleunigen
acceleration	0	0	0	0	0	0	0	0	0	0	Beschleunigung
accent	0	0	0	0	0	0	0	0	0	0	Akzent
accentuate	0	0	0	0	0	0	0	0	0	0	akzentuieren
accept	0	0	0	0	0	0	0	0	0	0	annehmen
acceptable	0	0	0	0	0	0	1	0	0	0	akzeptabel
acceptance	0	0	0	0	0	0	1	0	0	0	Annahme
access	0	0	0	0	0	0	0	0	0	0	Zugang
accessible	0	0	0	0	0	0	1	0	0	0	zugänglich
accession	0	0	0	0	0	0	0	0	0	0	Beitritt
accessory	0	0	0	0	0	0	0	0	0	0	Zubehörteil
accident	0	0	0	1	0	1	0	1	1	0	Unfall
accidental	0	0	0	1	0	1	0	0	1	0	zufällig
accidentally	0	0	0	0	0	0	0	0	1	0	versehentlich
accolade	0	1	0	0	1	0	1	0	1	1	Akkolade
accommodate	0	0	0	0	0	0	0	0	0	0	unterbringen
accommodation	0	0	0	0	0	0	1	0	0	0	Unterkunft
accompaniment	0	1	0	0	1	0	1	0	0	1	Begleitung
accompany	0	0	0	0	0	0	0	0	0	0	begleiten
accompanying	0	0	0	0	0	0	0	0	0	0	Begleitet
accomplice	0	0	0	0	0	0	0	0	0	0	der Mitschuldige
accomplish	0	0	0	0	1	0	1	0	0	0	erreichen
accomplished	0	0	0	0	1	0	1	0	0	0	vollendet
accomplishment	0	0	0	0	0	0	1	0	0	0	Leistung
accord	0	0	0	0	0	0	1	0	0	1	Übereinstimmung
accordance	0	0	0	0	0	0	0	0	0	0	Übereinstimmung
accordion	0	0	0	0	0	0	0	0	0	0	Akkordeon
account	0	0	0	0	0	0	0	0	0	1	Konto
accountability	0	0	0	0	0	0	1	0	0	1	Rechenschaftspflicht
accountable	0	0	0	0	0	0	1	0	0	1	verantwortlich
accountant	0	0	0	0	0	0	0	0	0	1	Buchhalter
accounting	0	0	0	0	0	0	0	0	0	0	Buchhaltung
accounts	0	0	0	0	0	0	0	0	0	1	Konten
accredited	0	0	0	0	0	0	1	0	0	1	akkreditiert
accretion	0	0	0	0	0	0	0	0	0	0	Akkretion
accrue	0	0	0	0	0	0	0	0	0	0	anfallen
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akkumulieren
accumulation	0	0	0	0	0	0	0	0	0	0	Akkumulation
accuracy	0	0	0	0	0	0	0	0	0	0	Richtigkeit
accurate	0	0	0	0	0	0	1	0	0	1	genau
accursed	1	0	0	1	0	1	0	1	0	0	verflucht
accusation	1	0	1	0	0	1	0	0	0	0	Anklage
accusative	0	0	0	0	0	1	0	0	0	0	Akkusativ
accused	1	0	0	1	0	1	0	0	0	0	beschuldigt
accuser	1	0	0	1	0	1	0	0	0	0	Ankläger
accusing	1	0	0	1	0	1	0	0	0	0	anklagend
accustomed	0	0	0	0	0	0	0	0	0	0	gewohnt
ace	0	0	0	0	0	0	1	0	0	0	As
acetic	0	0	0	0	0	0	0	0	0	0	Essig
ache	0	0	0	0	0	1	0	1	0	0	schmerzen
achieve	0	0	0	0	1	0	1	0	0	1	erreichen
achievement	0	1	0	0	1	0	1	0	0	1	Leistung
aching	0	0	0	0	0	1	0	1	0	0	Schmerz
acid	0	0	0	0	0	1	0	0	0	0	Säure
acidity	0	0	0	0	0	0	0	0	0	0	Säure
acknowledge	0	0	0	0	0	0	0	0	0	0	anerkennen
acknowledged	0	0	0	0	0	0	0	0	0	0	anerkannt
acknowledgment	0	0	0	0	0	0	1	0	0	0	Wissen
acme	0	0	0	0	0	0	0	0	0	0	Gipfel
acoustic	0	0	0	0	0	0	0	0	0	0	akustisch
acoustics	0	0	0	0	0	0	0	0	0	0	Akustik
acquaint	0	0	0	0	0	0	0	0	0	0	kennen
acquaintance	0	0	0	0	0	0	0	0	0	0	Bekanntschaft
acquainted	0	0	0	0	0	0	0	0	0	0	bekannt
acquiescence	0	0	0	0	0	0	0	0	0	0	Einwilligung
acquire	0	0	0	0	0	0	1	0	0	0	erwerben
acquiring	0	1	0	0	0	0	1	0	0	0	erwerben
acquisition	0	0	0	0	0	0	0	0	0	0	Erwerb
acquisitions	0	0	0	0	0	0	0	0	0	0	Akquisitionen
acreage	0	0	0	0	0	0	0	0	0	0	Anbaufläche
acres	0	0	0	0	0	0	0	0	0	0	Hektar
acrobat	0	0	0	1	1	0	1	0	0	1	Akrobat
act	0	0	0	0	0	0	0	0	0	0	Handlung
acting	0	0	0	0	0	0	0	0	0	0	Schauspielkunst
action	0	0	0	0	0	0	1	0	0	0	Aktion
actionable	1	0	1	0	0	1	0	0	0	0	umsetzbar
active	0	0	0	0	0	0	0	0	0	0	aktiv
activity	0	0	0	0	0	0	0	0	0	0	Aktivität
actor	0	0	0	0	0	0	0	0	0	0	Schauspieler
actual	0	0	0	0	0	0	1	0	0	0	tatsächlich
actuality	0	0	0	0	0	0	0	0	0	0	Wirklichkeit
actuary	0	0	0	0	0	0	0	0	0	0	Aktuar
acuity	0	0	0	0	0	0	1	0	0	0	Schärfe
acumen	0	0	0	0	0	0	1	0	0	0	Scharfsinn
acupuncture	0	0	0	0	0	0	0	0	0	0	Akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akut
adage	0	0	0	0	0	0	0	0	0	0	Sprichwort
adamant	0	0	0	0	0	0	0	0	0	0	unnachgiebig
adapt	0	0	0	0	0	0	1	0	0	0	sich anpassen
adaptable	0	0	0	0	0	0	1	0	0	0	anpassungsfähig
add	0	0	0	0	0	0	0	0	0	0	hinzufügen
added	0	0	0	0	0	0	0	0	0	0	hinzugefügt
addendum	0	0	0	0	0	0	0	0	0	0	Nachtrag
adder	1	0	1	1	0	1	0	1	0	0	Addierer
addiction	0	0	0	0	0	1	0	0	0	0	Sucht
addition	0	0	0	0	0	0	0	0	0	0	Zusatz
additional	0	0	0	0	0	0	0	0	0	0	zusätzlich
additive	0	0	0	0	0	0	0	0	0	0	Zusatzstoff
address	0	0	0	0	0	0	0	0	0	0	die Anschrift
addressee	0	0	0	0	0	0	0	0	0	0	Adressat
addresses	0	1	0	0	0	0	1	0	0	0	Adressen
adept	0	0	0	0	0	0	1	0	0	0	geschickt
adequacy	0	0	0	0	0	0	1	0	0	0	Angemessenheit
adequate	0	0	0	0	0	0	0	0	0	0	angemessen
adhere	0	0	0	0	0	0	0	0	0	0	haften
adherence	0	0	0	0	0	0	0	0	0	0	Adhärenz
adherent	0	0	0	0	0	0	0	0	0	0	Anhänger
adhering	0	0	0	0	0	0	0	0	0	1	haftend
adhesion	0	0	0	0	0	0	0	0	0	0	Adhäsion
adhesive	0	0	0	0	0	0	0	0	0	0	Klebstoff
adieu	0	0	0	0	0	0	0	0	0	0	Adieu
adipose	0	0	0	0	0	1	0	0	0	0	fett
adjacency	0	0	0	0	0	0	0	0	0	0	Nachbarschaft
adjacent	0	0	0	0	0	0	0	0	0	0	benachbart
adjective	0	0	0	0	0	0	0	0	0	0	Adjektiv
adjoining	0	0	0	0	0	0	0	0	0	0	angrenzend
adjourn	0	0	0	0	0	0	0	0	0	0	vertagen
adjournment	0	0	0	0	0	0	0	0	0	0	Unterbrechung
adjudicate	0	0	0	1	0	1	0	0	0	0	entscheiden
adjudication	0	0	0	0	0	0	0	0	0	0	Entscheidung
adjunct	0	0	0	0	0	0	1	0	0	0	Zusatz
adjust	0	0	0	0	0	0	0	0	0	0	anpassen
adjustment	0	0	0	0	0	0	0	0	0	0	Einstellung
adjuvant	0	0	0	0	0	0	0	0	0	0	Hilfsstoff
administer	0	0	0	0	0	0	0	0	0	0	verwalten
administration	0	0	0	0	0	0	0	0	0	0	Verwaltung
administrative	0	0	0	0	0	0	0	0	0	1	administrativ
admirable	0	0	0	0	1	0	1	0	0	1	bewundernswert
admiral	0	0	0	0	0	0	1	0	0	1	Admiral
admiralty	0	0	0	0	0	0	0	0	0	0	Admiralität
admiration	0	0	0	0	1	0	1	0	0	1	Bewunderung
admire	0	0	0	0	0	0	1	0	0	1	bewundern
admirer	0	0	0	0	0	0	1	0	0	0	Bewunderer
admissibility	0	0	0	0	0	0	0	0	0	0	Zulässigkeit
admissible	0	0	0	0	0	0	1	0	0	1	zulässig
admission	0	0	0	0	0	0	0	0	0	0	Eintritt
admit	0	0	0	0	0	0	0	0	0	0	zugeben
admittance	0	0	0	0	0	0	0	0	0	0	Zulassung
admitted	0	0	0	0	0	0	0	0	0	0	zugelassen
admitting	0	0	0	0	0	0	0	0	0	0	zugeben
admixture	0	0	0	0	0	0	0	0	0	0	Beimischung
admonition	0	0	0	1	0	1	0	0	0	0	Ermahnung
ado	0	0	0	0	0	0	0	0	0	0	umständlich
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	Jugend
adolescent	0	0	0	0	0	0	0	0	0	0	Jugendlicher
adopt	0	0	0	0	0	0	0	0	0	0	adoptieren
adoption	0	0	0	0	0	0	0	0	0	0	Annahme
adorable	0	0	0	0	1	0	1	0	0	0	bezaubernd
adoration	0	0	0	0	1	0	1	0	0	1	Anbetung
adore	0	1	0	0	1	0	1	0	0	1	verehren
adorn	0	0	0	0	0	0	0	0	0	0	schmücken
adornment	0	0	0	0	0	0	0	0	0	0	Schmuck
adrift	0	1	0	1	0	1	0	1	0	0	treiben
adult	0	0	0	0	0	0	0	0	0	0	Erwachsene
adulterated	0	0	0	0	0	1	0	0	0	0	verfälscht
adultery	0	0	1	0	0	1	0	1	0	0	Ehebruch
advance	0	1	0	1	1	0	1	0	1	0	Vorauszahlung
advanced	0	0	0	0	0	0	1	0	0	0	fortschrittlich
advancement	0	0	0	0	0	0	1	0	0	0	Förderung
advancing	0	0	0	0	0	0	0	0	0	0	fortschreitend
advantage	0	0	0	0	0	0	1	0	0	0	Vorteil
advantageous	0	0	0	0	0	0	1	0	0	0	vorteilhaft
advent	0	1	0	0	1	0	1	0	0	1	Advent
adventure	0	1	0	0	0	0	1	0	0	0	Abenteuer
adventurer	0	0	0	0	0	0	0	0	0	0	Abenteurer
adventurous	0	0	0	0	0	0	1	0	0	0	abenteuerlich
adversary	1	0	0	0	0	1	0	0	0	0	Gegner
adverse	1	0	1	1	0	1	0	1	0	0	nachteilig
adversity	1	0	0	1	0	1	0	1	0	0	Unglück
advertise	0	0	0	0	0	0	0	0	0	0	werben
advertisement	0	0	0	0	0	0	0	0	0	0	Anzeige
advice	0	0	0	0	0	0	0	0	0	1	Rat
advisable	0	0	0	0	0	0	1	0	0	1	ratsam
advise	0	0	0	0	0	0	1	0	0	1	beraten
advised	0	0	0	0	0	0	0	0	0	1	geraten
advisement	0	0	0	0	0	0	0	0	0	0	Beratung
adviser	0	0	0	0	0	0	1	0	0	1	Berater
advocacy	1	1	0	0	1	0	1	0	0	1	Interessenvertretung
advocate	0	0	0	0	0	0	0	0	0	1	Fürsprecher
aegis	0	0	0	0	0	0	0	0	0	0	Ägide
aeration	0	0	0	0	0	0	0	0	0	0	Belüftung
aerial	0	0	0	0	0	0	0	0	0	0	Antenne
aerodrome	0	0	0	0	0	0	0	0	0	0	Flugplatz
aerodynamics	0	0	0	0	0	0	0	0	0	0	Aerodynamik
aeronautics	0	0	0	0	0	0	0	0	0	0	Luftfahrt
aeroplane	0	0	0	0	0	0	0	0	0	0	Flugzeug
aesthetic	0	0	0	0	0	0	1	0	0	0	ästhetisch
aesthetics	0	0	0	0	1	0	1	0	0	0	Ästhetik
aetiology	0	0	0	0	0	0	0	0	0	0	Ätiologie
afar	0	0	0	0	0	0	0	0	0	0	weit
affable	0	0	0	0	0	0	1	0	0	0	freundlich
affair	0	0	0	0	0	0	0	0	0	0	Affäre
affecting	0	0	0	0	0	0	0	0	0	0	beeinflussen
affection	0	0	0	0	1	0	1	0	0	1	Zuneigung
affections	0	0	0	0	0	0	0	0	0	0	Neigungen
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	eidesstattliche Erklärung
affiliated	0	0	0	0	0	0	1	0	0	0	angeschlossen
affiliation	0	0	0	0	0	0	0	0	0	0	Zugehörigkeit
affinity	0	0	0	0	0	0	0	0	0	0	Affinität
affirm	0	0	0	0	0	0	1	0	0	1	bestätigen
affirmation	0	0	0	0	0	0	1	0	0	0	Bejahung
affirmative	0	0	0	0	0	0	1	0	0	0	positiv
affirmatively	0	0	0	0	0	0	1	0	0	1	bejahend
affix	0	0	0	0	0	0	0	0	0	0	Affix
afflict	0	0	0	1	0	1	0	1	0	0	quälen
afflicted	0	0	0	0	0	1	0	0	0	0	geplagt
affliction	0	0	1	1	0	1	0	1	0	0	Gebrechen
affluence	0	0	0	0	1	0	1	0	0	0	Wohlstand
affluent	0	0	0	0	0	0	1	0	0	0	wohlhabend
afford	0	0	0	0	0	0	1	0	0	0	sich leisten
affront	1	0	1	1	0	1	0	1	1	0	Beleidigung
afield	0	0	0	0	0	0	0	0	0	0	weg
afore	0	0	0	0	0	0	0	0	0	0	vorher
aforementioned	0	0	0	0	0	0	0	0	0	0	vorgenannten
aforesaid	0	0	0	0	0	0	0	0	0	0	oben gesagt
afraid	0	0	0	1	0	1	0	0	0	0	besorgt
afresh	0	0	0	0	0	0	0	0	0	0	erneut
aft	0	0	0	0	0	0	0	0	0	0	achtern
aftermath	1	0	1	1	0	1	0	1	0	0	Nachwirkungen
afternoon	0	0	0	0	0	0	0	0	0	0	Nachmittag
aftertaste	0	0	0	0	0	1	0	0	0	0	Nachgeschmack
afterthought	0	0	0	0	0	0	0	0	0	0	nachträglich
aga	0	0	0	1	0	0	1	0	0	1	Aga
agate	0	0	0	0	0	0	0	0	0	0	Achat
age	0	0	0	0	0	0	0	0	0	0	das Alter
aged	0	0	0	0	0	0	0	0	0	0	alt
agency	0	0	0	0	0	0	0	0	0	0	Agentur
agent	0	0	0	0	0	0	0	0	0	0	Agent
agglomeration	0	0	0	0	0	0	0	0	0	0	Agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	verschärft
aggravating	1	0	0	0	0	1	0	1	0	0	erschwerend
aggravation	1	0	1	0	0	1	0	0	0	0	Verschlimmerung
aggregate	0	0	0	0	0	0	0	0	0	0	Aggregat
aggregation	0	0	0	0	0	0	0	0	0	0	Anhäufung
aggression	1	0	0	1	0	1	0	0	0	0	Aggression
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	Aggressor
aghast	0	0	1	1	0	1	0	0	1	0	entsetzt
agile	0	0	0	0	0	0	1	0	0	0	agil
agility	0	0	0	0	0	0	1	0	0	0	Beweglichkeit
agitated	1	0	0	0	0	1	0	0	0	0	agitiert
agitation	1	0	0	0	0	1	0	0	0	0	Agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostisch
ago	0	0	0	0	0	0	0	0	0	0	vor
agonizing	0	0	0	1	0	1	0	0	0	0	quälend
agony	1	0	0	1	0	1	0	1	0	0	Agonie
agree	0	0	0	0	0	0	1	0	0	0	zustimmen
agreeable	0	0	0	0	0	0	1	0	0	1	angenehm
agreed	0	0	0	0	0	0	1	0	0	1	einverstanden
agreeing	0	0	0	0	0	0	1	0	0	1	einverstanden
agreement	0	0	0	0	0	0	1	0	0	1	Zustimmung
agricultural	0	0	0	0	0	0	0	0	0	0	landwirtschaftlich
agriculture	0	0	0	0	0	0	1	0	0	0	Landwirtschaft
aground	0	0	0	0	0	1	0	0	0	0	auf Grund
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	voraus
aid	0	0	0	0	0	0	1	0	0	0	Hilfe
aiding	0	0	0	0	0	0	1	0	0	0	helfen
ail	0	0	0	0	0	1	0	1	0	0	weh
ailing	0	0	0	1	0	1	0	1	0	0	krank
ailment	0	0	0	0	0	0	0	0	0	0	Leiden
aim	0	0	0	0	0	0	0	0	0	0	Ziel
aimless	0	0	0	0	0	1	0	0	0	0	ziellos
air	0	0	0	0	0	0	0	0	0	0	Luft
airbag	0	0	0	0	0	0	0	0	0	0	Airbag
airlift	0	0	0	0	0	0	0	0	0	0	Luftbrücke
airline	0	0	0	0	0	0	0	0	0	0	Fluggesellschaft
airman	0	0	0	0	0	0	0	0	0	0	Flieger
airplane	0	0	0	0	0	0	0	0	0	0	Flugzeug
airport	0	1	0	0	0	0	0	0	0	0	Flughafen
airs	0	0	1	0	0	1	0	0	0	0	Lüfte
airship	0	0	0	0	0	0	0	0	0	0	Luftschiff
aisle	0	0	0	0	0	0	0	0	0	0	Gang
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	angelehnt
akin	0	0	0	0	0	0	0	0	0	1	ähnlich
alabaster	0	0	0	0	0	0	1	0	0	0	Alabaster
alarm	0	0	0	1	0	1	0	0	1	0	Alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmierend
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	Album
alchemy	0	0	0	0	0	0	0	0	0	0	Alchimie
alcohol	0	0	0	0	0	0	0	0	0	0	Alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	Alkoholismus
alcove	0	0	0	0	0	0	0	0	0	0	Alkoven
alert	0	0	0	0	0	0	0	0	0	0	Alarm
alertness	0	1	0	1	0	0	1	0	1	0	Wachsamkeit
alerts	0	1	0	1	0	0	0	0	1	0	Warnungen
alfalfa	0	0	0	0	0	0	0	0	0	0	Alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	Algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraisch
algorithm	0	0	0	0	0	0	0	0	0	0	Algorithmus
alibi	0	0	0	0	0	0	0	0	0	0	Alibi
alien	0	0	1	1	0	1	0	0	0	0	Außerirdischer
alienate	1	0	1	0	0	1	0	0	0	0	entfremden
alienated	0	0	0	0	0	1	0	1	0	0	entfremdet
alienation	1	0	1	1	0	1	0	1	0	0	Entfremdung
alight	0	0	0	0	0	0	0	0	0	0	aussteigen
aligned	0	0	0	0	0	0	0	0	0	0	ausgerichtet
alignment	0	0	0	0	0	0	0	0	0	0	Ausrichtung
alike	0	0	0	0	0	0	0	0	0	0	wie
alimentation	0	0	0	0	0	0	1	0	0	0	Ernährung
alimony	0	0	0	0	0	1	0	0	0	0	Alimente
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	am Leben
alkali	0	0	0	0	0	0	0	0	0	0	Alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	Alkaloide
allay	0	0	0	0	0	0	1	0	0	0	zerstreuen
allegation	1	0	0	0	0	1	0	0	0	0	Behauptung
allege	0	0	0	0	0	1	0	0	0	0	behaupten
alleged	0	0	0	0	0	0	0	0	0	0	angeblich
allegiance	0	0	0	0	0	0	1	0	0	1	Treue
allegorical	0	0	0	0	0	0	0	0	0	0	allegorisch
allegory	0	0	0	0	0	0	0	0	0	0	Allegorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lindern
alleviation	0	0	0	0	0	0	1	0	0	0	Linderung
alley	0	0	0	0	0	0	0	0	0	0	Gasse
alliance	0	0	0	0	0	0	0	0	0	1	Allianz
allied	0	0	0	0	0	0	1	0	0	1	verbündet
alligator	0	0	0	0	0	0	0	0	0	0	Alligator
allocate	0	0	0	0	0	0	0	0	0	0	zuordnen
allocation	0	0	0	0	0	0	0	0	0	0	Zuweisung
allot	0	0	0	0	0	0	0	0	0	0	zuteilen
allotment	0	0	0	0	0	0	0	0	0	0	Zuteilung
allowable	0	0	0	0	0	0	1	0	0	0	zulässig
allowance	0	0	0	0	0	0	0	0	0	0	Beihilfe
allowed	0	0	0	0	0	0	0	0	0	0	erlaubt
alloy	0	0	0	0	0	0	0	0	0	0	Legierung
allure	0	1	0	0	1	0	1	0	1	0	locken
alluring	0	0	0	0	0	0	1	0	0	0	verlockend
allusion	0	0	0	0	0	0	0	0	0	0	Anspielung
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	Verbündete
almanac	0	0	0	0	0	0	0	0	0	0	Almanach
almighty	0	0	0	0	0	0	1	0	0	0	allmächtig
aloft	0	0	0	0	0	0	0	0	0	0	oben
aloha	0	1	0	0	1	0	1	0	0	0	Aha
alongside	0	0	0	0	0	0	0	0	0	0	neben
aloof	0	0	0	0	0	1	0	0	0	0	distanziert
aloud	0	0	0	0	0	0	0	0	0	0	laut
alphabet	0	0	0	0	0	0	0	0	0	0	Alphabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alphabetisch
altar	0	0	0	0	0	0	0	0	0	0	Altar
alter	0	0	0	0	0	0	0	0	0	0	ändern
alteration	0	0	0	0	0	0	0	0	0	0	Änderung
altercation	1	0	0	0	0	1	0	0	0	0	Auseinandersetzung
altered	0	0	0	0	0	0	0	0	0	0	verändert
alternate	0	0	0	0	0	0	0	0	0	0	wechseln
alternative	0	0	0	0	0	0	0	0	0	0	Alternative
altitude	0	0	0	0	0	0	0	0	0	0	Höhe
alto	0	0	0	0	0	0	0	0	0	0	Alt
altogether	0	0	0	0	0	0	0	0	0	0	insgesamt
alumnus	0	0	0	0	0	0	0	0	0	0	Absolvent
alveolar	0	0	0	0	0	0	0	0	0	0	Alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	Amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	Verschmelzung
amass	0	0	0	0	0	0	0	0	0	0	anhäufen
amateur	0	0	0	0	0	0	0	0	0	0	Amateur
amaze	0	0	0	0	0	0	0	0	1	0	erstaunen
amazement	0	0	0	0	0	0	0	0	0	0	Staunen
amazingly	0	0	0	0	1	0	1	0	1	0	erstaunlich
ambassador	0	0	0	0	0	0	1	0	0	1	Botschafter
amber	0	0	0	0	0	0	0	0	0	0	Bernstein
ambient	0	0	0	0	0	0	0	0	0	0	Umgebungs
ambiguity	0	0	0	0	0	0	0	0	0	0	Mehrdeutigkeit
ambiguous	0	0	0	0	0	1	0	0	0	0	zweideutig
ambit	0	0	0	0	0	0	0	0	0	0	Bereich
ambition	0	1	0	0	1	0	1	0	0	1	Ehrgeiz
ambitious	0	0	0	0	0	0	0	0	0	0	ehrgeizig
ambulance	0	0	0	1	0	0	0	0	0	1	Ambulanz
ambush	1	0	0	1	0	1	0	0	1	0	Hinterhalt
ameliorate	0	0	0	0	0	0	1	0	0	0	verbessern
amen	0	0	0	0	1	0	1	0	0	1	Amen
amenable	0	0	0	0	0	0	1	0	0	0	zugänglich
amend	0	0	0	0	0	0	1	0	0	0	ändern
amendment	0	0	0	0	0	0	0	0	0	0	Änderung
amends	0	0	0	0	0	0	1	0	0	0	ändert
amenity	0	0	0	0	0	0	1	0	0	0	Annehmlichkeit
amethyst	0	0	0	0	0	0	0	0	0	0	Amethyst
amiable	0	0	0	0	0	0	1	0	0	0	liebenswürdig
amicable	0	0	0	0	1	0	1	0	0	0	freundschaftlich
amid	0	0	0	0	0	0	0	0	0	0	inmitten
amidst	0	0	0	0	0	0	0	0	0	0	inmitten
ammonia	0	0	1	0	0	0	0	0	0	0	Ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	Munition
amnesia	0	0	0	0	0	1	0	0	0	0	Amnesie
amnesty	0	0	0	0	1	0	1	0	0	0	Amnestie
amorphous	0	0	0	0	0	0	0	0	0	0	amorph
