English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Icelandic Word
accuser	1	0	0	1	0	1	0	0	0	0	ákærandi
accusing	1	0	0	1	0	1	0	0	0	0	ásakandi
accustomed	0	0	0	0	0	0	0	0	0	0	vanir
ace	0	0	0	0	0	0	1	0	0	0	ás
acetic	0	0	0	0	0	0	0	0	0	0	edik
ache	0	0	0	0	0	1	0	1	0	0	verki
achieve	0	0	0	0	1	0	1	0	0	1	afreka
achievement	0	1	0	0	1	0	1	0	0	1	afrek
aching	0	0	0	0	0	1	0	1	0	0	verkir
acid	0	0	0	0	0	1	0	0	0	0	sýru
acidity	0	0	0	0	0	0	0	0	0	0	sýrustig
acknowledge	0	0	0	0	0	0	0	0	0	0	viðurkenna
acknowledged	0	0	0	0	0	0	0	0	0	0	viðurkennt
acknowledgment	0	0	0	0	0	0	1	0	0	0	viðurkenning
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	hljóðeinangrun
acoustics	0	0	0	0	0	0	0	0	0	0	hljóðvist
acquaint	0	0	0	0	0	0	0	0	0	0	kynnast
acquaintance	0	0	0	0	0	0	0	0	0	0	kunningi
acquainted	0	0	0	0	0	0	0	0	0	0	kynnast
acquiescence	0	0	0	0	0	0	0	0	0	0	sátt
acquire	0	0	0	0	0	0	1	0	0	0	eignast
acquiring	0	1	0	0	0	0	1	0	0	0	öðlast
acquisition	0	0	0	0	0	0	0	0	0	0	kaup
acquisitions	0	0	0	0	0	0	0	0	0	0	yfirtökur
acreage	0	0	0	0	0	0	0	0	0	0	svæði
acres	0	0	0	0	0	0	0	0	0	0	hektara
acrobat	0	0	0	1	1	0	1	0	0	1	loftfimleika
act	0	0	0	0	0	0	0	0	0	0	framkvæma
acting	0	0	0	0	0	0	0	0	0	0	leiklist
action	0	0	0	0	0	0	1	0	0	0	aðgerð
actionable	1	0	1	0	0	1	0	0	0	0	aðgerðarhæfar
active	0	0	0	0	0	0	0	0	0	0	virkur
activity	0	0	0	0	0	0	0	0	0	0	starfsemi
actor	0	0	0	0	0	0	0	0	0	0	leikari
actual	0	0	0	0	0	0	1	0	0	0	raunverulegt
actuality	0	0	0	0	0	0	0	0	0	0	raunveruleika
actuary	0	0	0	0	0	0	0	0	0	0	tryggingarfræðingur
acuity	0	0	0	0	0	0	1	0	0	0	skerpu
acumen	0	0	0	0	0	0	1	0	0	0	skynsemi
acupuncture	0	0	0	0	0	0	0	0	0	0	nálastungumeðferð
acutely	0	0	0	0	0	0	0	0	0	0	bráðlega
adage	0	0	0	0	0	0	0	0	0	0	orðatiltæki
adamant	0	0	0	0	0	0	0	0	0	0	staðfastur
adapt	0	0	0	0	0	0	1	0	0	0	aðlagast
adaptable	0	0	0	0	0	0	1	0	0	0	aðlögunarhæfur
add	0	0	0	0	0	0	0	0	0	0	Bæta við
added	0	0	0	0	0	0	0	0	0	0	bætt við
addendum	0	0	0	0	0	0	0	0	0	0	viðauka
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	fíkn
addition	0	0	0	0	0	0	0	0	0	0	viðbót
additional	0	0	0	0	0	0	0	0	0	0	til viðbótar
additive	0	0	0	0	0	0	0	0	0	0	aukefni
address	0	0	0	0	0	0	0	0	0	0	heimilisfang
addressee	0	0	0	0	0	0	0	0	0	0	viðtakanda
addresses	0	1	0	0	0	0	1	0	0	0	heimilisföng
adept	0	0	0	0	0	0	1	0	0	0	duglegur
adequacy	0	0	0	0	0	0	1	0	0	0	fullnægjandi
adequate	0	0	0	0	0	0	0	0	0	0	fullnægjandi
adhere	0	0	0	0	0	0	0	0	0	0	fylgja
adherence	0	0	0	0	0	0	0	0	0	0	fylgja
adherent	0	0	0	0	0	0	0	0	0	0	fylgjandi
adhering	0	0	0	0	0	0	0	0	0	1	viðloðandi
adhesion	0	0	0	0	0	0	0	0	0	0	viðloðun
adhesive	0	0	0	0	0	0	0	0	0	0	lím
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	fitu
adjacency	0	0	0	0	0	0	0	0	0	0	nálægð
adjacent	0	0	0	0	0	0	0	0	0	0	aðliggjandi
adjective	0	0	0	0	0	0	0	0	0	0	lýsingarorð
adjoining	0	0	0	0	0	0	0	0	0	0	samliggjandi
adjourn	0	0	0	0	0	0	0	0	0	0	fresta
adjournment	0	0	0	0	0	0	0	0	0	0	frestun
adjudicate	0	0	0	1	0	1	0	0	0	0	dæma
adjudication	0	0	0	0	0	0	0	0	0	0	dómur
adjunct	0	0	0	0	0	0	1	0	0	0	aðjúnkt
adjust	0	0	0	0	0	0	0	0	0	0	stilla
adjustment	0	0	0	0	0	0	0	0	0	0	aðlögun
adjuvant	0	0	0	0	0	0	0	0	0	0	hjálparefni
administer	0	0	0	0	0	0	0	0	0	0	stjórna
administration	0	0	0	0	0	0	0	0	0	0	stjórnsýslu
administrative	0	0	0	0	0	0	0	0	0	1	stjórnsýslu
admirable	0	0	0	0	1	0	1	0	0	1	aðdáunarvert
admiral	0	0	0	0	0	0	1	0	0	1	aðmíráls
admiralty	0	0	0	0	0	0	0	0	0	0	admirality
admiration	0	0	0	0	1	0	1	0	0	1	aðdáun
admire	0	0	0	0	0	0	1	0	0	1	dáist að
admirer	0	0	0	0	0	0	1	0	0	0	aðdáandi
admissibility	0	0	0	0	0	0	0	0	0	0	leyfisleysi
admissible	0	0	0	0	0	0	1	0	0	1	leyfilegt
admission	0	0	0	0	0	0	0	0	0	0	inngöngu
admit	0	0	0	0	0	0	0	0	0	0	viðurkenna
admittance	0	0	0	0	0	0	0	0	0	0	inngöngu
admitted	0	0	0	0	0	0	0	0	0	0	viðurkenndi
admitting	0	0	0	0	0	0	0	0	0	0	viðurkenna
admixture	0	0	0	0	0	0	0	0	0	0	íblöndun
admonition	0	0	0	1	0	1	0	0	0	0	áminning
ado	0	0	0	0	0	0	0	0	0	0	þras
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	unglingsárin
adolescent	0	0	0	0	0	0	0	0	0	0	unglingur
adopt	0	0	0	0	0	0	0	0	0	0	ættleiða
adoption	0	0	0	0	0	0	0	0	0	0	ættleiðing
adorable	0	0	0	0	1	0	1	0	0	0	yndisleg
adoration	0	0	0	0	1	0	1	0	0	1	tilbeiðslu
adore	0	1	0	0	1	0	1	0	0	1	dýrka
adorn	0	0	0	0	0	0	0	0	0	0	prýða
adornment	0	0	0	0	0	0	0	0	0	0	skraut
adrift	0	1	0	1	0	1	0	1	0	0	á reki
adult	0	0	0	0	0	0	0	0	0	0	fullorðinn
adulterated	0	0	0	0	0	1	0	0	0	0	falsað
adultery	0	0	1	0	0	1	0	1	0	0	framhjáhald
advance	0	1	0	1	1	0	1	0	1	0	fyrirfram
advanced	0	0	0	0	0	0	1	0	0	0	háþróaður
advancement	0	0	0	0	0	0	1	0	0	0	framfarir
advancing	0	0	0	0	0	0	0	0	0	0	sækja fram
advantage	0	0	0	0	0	0	1	0	0	0	kostur
advantageous	0	0	0	0	0	0	1	0	0	0	hagstæðar
advent	0	1	0	0	1	0	1	0	0	1	aðventu
adventure	0	1	0	0	0	0	1	0	0	0	ævintýri
adventurer	0	0	0	0	0	0	0	0	0	0	ævintýramaður
adventurous	0	0	0	0	0	0	1	0	0	0	ævintýralegur
adversary	1	0	0	0	0	1	0	0	0	0	andstæðingur
adverse	1	0	1	1	0	1	0	1	0	0	skaðleg
adversity	1	0	0	1	0	1	0	1	0	0	mótlæti
advertise	0	0	0	0	0	0	0	0	0	0	auglýsa
advertisement	0	0	0	0	0	0	0	0	0	0	auglýsingu
advice	0	0	0	0	0	0	0	0	0	1	ráðh
advisable	0	0	0	0	0	0	1	0	0	1	ráðlegt
advise	0	0	0	0	0	0	1	0	0	1	ráðleggja
advised	0	0	0	0	0	0	0	0	0	1	ráðh
advisement	0	0	0	0	0	0	0	0	0	0	ráðgjöf
adviser	0	0	0	0	0	0	1	0	0	1	ráðgjafi
advocacy	1	1	0	0	1	0	1	0	0	1	málsvörn
advocate	0	0	0	0	0	0	0	0	0	1	málsvari
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	loftun
aerial	0	0	0	0	0	0	0	0	0	0	loftnet
aerodrome	0	0	0	0	0	0	0	0	0	0	flugvöllur
aerodynamics	0	0	0	0	0	0	0	0	0	0	loftaflfræði
aeronautics	0	0	0	0	0	0	0	0	0	0	flugfræði
aeroplane	0	0	0	0	0	0	0	0	0	0	flugvél
aesthetic	0	0	0	0	0	0	1	0	0	0	fagurfræðilegu
aesthetics	0	0	0	0	1	0	1	0	0	0	fagurfræði
aetiology	0	0	0	0	0	0	0	0	0	0	orsök
afar	0	0	0	0	0	0	0	0	0	0	fjarri
affable	0	0	0	0	0	0	1	0	0	0	vingjarnlegur
affair	0	0	0	0	0	0	0	0	0	0	mál
affecting	0	0	0	0	0	0	0	0	0	0	hafa áhrif
affection	0	0	0	0	1	0	1	0	0	1	ástúð
affections	0	0	0	0	0	0	0	0	0	0	ástúð
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	yfirlýsingu
affiliated	0	0	0	0	0	0	1	0	0	0	tengd
affiliation	0	0	0	0	0	0	0	0	0	0	tengsl
affinity	0	0	0	0	0	0	0	0	0	0	skyldleika
affirm	0	0	0	0	0	0	1	0	0	1	staðfesta
affirmation	0	0	0	0	0	0	1	0	0	0	staðfestingu
affirmative	0	0	0	0	0	0	1	0	0	0	játandi
affirmatively	0	0	0	0	0	0	1	0	0	1	játandi
affix	0	0	0	0	0	0	0	0	0	0	festa
afflict	0	0	0	1	0	1	0	1	0	0	þjást
afflicted	0	0	0	0	0	1	0	0	0	0	þjakaður
affliction	0	0	1	1	0	1	0	1	0	0	þjáning
affluence	0	0	0	0	1	0	1	0	0	0	allsnægtir
affluent	0	0	0	0	0	0	1	0	0	0	auðugur
afford	0	0	0	0	0	0	1	0	0	0	efni á
affront	1	0	1	1	0	1	0	1	1	0	níðingur
afield	0	0	0	0	0	0	0	0	0	0	fjarri
afore	0	0	0	0	0	0	0	0	0	0	áðan
aforementioned	0	0	0	0	0	0	0	0	0	0	áðurnefndur
aforesaid	0	0	0	0	0	0	0	0	0	0	fyrrnefnd
afraid	0	0	0	1	0	1	0	0	0	0	hræddur
afresh	0	0	0	0	0	0	0	0	0	0	á ný
aft	0	0	0	0	0	0	0	0	0	0	aftan
aftermath	1	0	1	1	0	1	0	1	0	0	eftirmáli
afternoon	0	0	0	0	0	0	0	0	0	0	síðdegis
aftertaste	0	0	0	0	0	1	0	0	0	0	eftirbragð
afterthought	0	0	0	0	0	0	0	0	0	0	eftiráhugsun
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	Aldur
aged	0	0	0	0	0	0	0	0	0	0	aldraður
agency	0	0	0	0	0	0	0	0	0	0	stofnun
agent	0	0	0	0	0	0	0	0	0	0	umboðsmaður
agglomeration	0	0	0	0	0	0	0	0	0	0	þéttbýli
aggravated	1	0	0	0	0	1	0	0	0	0	versnað
aggravating	1	0	0	0	0	1	0	1	0	0	versnandi
aggravation	1	0	1	0	0	1	0	0	0	0	versnun
aggregate	0	0	0	0	0	0	0	0	0	0	samanlagt
aggregation	0	0	0	0	0	0	0	0	0	0	samansafn
aggression	1	0	0	1	0	1	0	0	0	0	árásargirni
aggressive	1	0	0	1	0	1	0	0	0	0	árásargjarn
aggressor	1	0	0	1	0	1	0	0	0	0	árásarmaður
aghast	0	0	1	1	0	1	0	0	1	0	agndofa
agile	0	0	0	0	0	0	1	0	0	0	lipur
agility	0	0	0	0	0	0	1	0	0	0	lipurð
agitated	1	0	0	0	0	1	0	0	0	0	æstur
agitation	1	0	0	0	0	1	0	0	0	0	æsingur
agnostic	0	0	0	0	0	0	0	0	0	0	agnostískur
ago	0	0	0	0	0	0	0	0	0	0	síðan
agonizing	0	0	0	1	0	1	0	0	0	0	kvalafullur
agony	1	0	0	1	0	1	0	1	0	0	kvöl
agree	0	0	0	0	0	0	1	0	0	0	sammála
agreeable	0	0	0	0	0	0	1	0	0	1	viðunandi
agreed	0	0	0	0	0	0	1	0	0	1	samþykkt
agreeing	0	0	0	0	0	0	1	0	0	1	sammála
agreement	0	0	0	0	0	0	1	0	0	1	samningur
agricultural	0	0	0	0	0	0	0	0	0	0	landbúnaðar
agriculture	0	0	0	0	0	0	1	0	0	0	landbúnaði
aground	0	0	0	0	0	1	0	0	0	0	strandaði
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	framundan
aid	0	0	0	0	0	0	1	0	0	0	aðstoð
aiding	0	0	0	0	0	0	1	0	0	0	aðstoða
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	veik
ailment	0	0	0	0	0	0	0	0	0	0	kvilla
aim	0	0	0	0	0	0	0	0	0	0	stefna
aimless	0	0	0	0	0	1	0	0	0	0	stefnulaus
air	0	0	0	0	0	0	0	0	0	0	lofti
airbag	0	0	0	0	0	0	0	0	0	0	loftpúða
airlift	0	0	0	0	0	0	0	0	0	0	loftbrú
airline	0	0	0	0	0	0	0	0	0	0	flugfélag
airman	0	0	0	0	0	0	0	0	0	0	flugmaður
airplane	0	0	0	0	0	0	0	0	0	0	flugvél
airport	0	1	0	0	0	0	0	0	0	0	flugvöllur
airs	0	0	1	0	0	1	0	0	0	0	fer í loftið
airship	0	0	0	0	0	0	0	0	0	0	loftskip
aisle	0	0	0	0	0	0	0	0	0	0	gangur
ait	0	0	0	0	0	0	0	0	0	0	aít
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	í ætt
alabaster	0	0	0	0	0	0	1	0	0	0	alabastur
alarm	0	0	0	1	0	1	0	0	1	0	viðvörun
alarming	0	0	0	1	0	1	0	0	1	0	ógnvekjandi
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albúm
alchemy	0	0	0	0	0	0	0	0	0	0	gullgerðarlist
alcohol	0	0	0	0	0	0	0	0	0	0	áfengi
alcoholism	1	0	1	1	0	1	0	1	0	0	alkóhólismi
alcove	0	0	0	0	0	0	0	0	0	0	alkófa
alert	0	0	0	0	0	0	0	0	0	0	viðvörun
alertness	0	1	0	1	0	0	1	0	1	0	árvekni
alerts	0	1	0	1	0	0	0	0	1	0	viðvaranir
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebru
algebraic	0	0	0	0	0	0	0	0	0	0	algebru
algorithm	0	0	0	0	0	0	0	0	0	0	reiknirit
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	geimvera
alienate	1	0	1	0	0	1	0	0	0	0	fjarlæga
alienated	0	0	0	0	0	1	0	1	0	0	firrtur
alienation	1	0	1	1	0	1	0	1	0	0	höfnun
alight	0	0	0	0	0	0	0	0	0	0	kveikt
aligned	0	0	0	0	0	0	0	0	0	0	samræmd
alignment	0	0	0	0	0	0	0	0	0	0	jöfnun
alike	0	0	0	0	0	0	0	0	0	0	eins
alimentation	0	0	0	0	0	0	1	0	0	0	næring
alimony	0	0	0	0	0	1	0	0	0	0	meðlag
aliquot	0	0	0	0	0	0	0	0	0	0	skammtur
alive	0	1	0	0	1	0	1	0	0	1	lifandi
alkali	0	0	0	0	0	0	0	0	0	0	basa
alkaloids	0	0	0	0	0	0	0	0	0	0	alkalóíða
allay	0	0	0	0	0	0	1	0	0	0	lægja
allegation	1	0	0	0	0	1	0	0	0	0	ásökun
allege	0	0	0	0	0	1	0	0	0	0	meina
alleged	0	0	0	0	0	0	0	0	0	0	meint
allegiance	0	0	0	0	0	0	1	0	0	1	tryggð
allegorical	0	0	0	0	0	0	0	0	0	0	allegórísk
allegory	0	0	0	0	0	0	0	0	0	0	allegóríu
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	létta
alleviation	0	0	0	0	0	0	1	0	0	0	léttir
alley	0	0	0	0	0	0	0	0	0	0	sundið
alliance	0	0	0	0	0	0	0	0	0	1	bandalag
allied	0	0	0	0	0	0	1	0	0	1	bandamanna
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	úthluta
allocation	0	0	0	0	0	0	0	0	0	0	úthlutun
allot	0	0	0	0	0	0	0	0	0	0	úthluta
allotment	0	0	0	0	0	0	0	0	0	0	úthlutun
allowable	0	0	0	0	0	0	1	0	0	0	leyfilegt
allowance	0	0	0	0	0	0	0	0	0	0	vasapeninga
allowed	0	0	0	0	0	0	0	0	0	0	leyfilegt
alloy	0	0	0	0	0	0	0	0	0	0	álfelgur
allure	0	1	0	0	1	0	1	0	1	0	aðdráttarafl
alluring	0	0	0	0	0	0	1	0	0	0	aðlaðandi
allusion	0	0	0	0	0	0	0	0	0	0	skírskotun
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	bandamann
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	almáttugur
aloft	0	0	0	0	0	0	0	0	0	0	á lofti
aloha	0	1	0	0	1	0	1	0	0	0	alóha
alongside	0	0	0	0	0	0	0	0	0	0	við hlið
aloof	0	0	0	0	0	1	0	0	0	0	fjarlægur
aloud	0	0	0	0	0	0	0	0	0	0	upphátt
alphabet	0	0	0	0	0	0	0	0	0	0	stafrófið
alphabetical	0	0	0	0	0	0	0	0	0	0	stafrófsröð
altar	0	0	0	0	0	0	0	0	0	0	altari
alter	0	0	0	0	0	0	0	0	0	0	breyta
alteration	0	0	0	0	0	0	0	0	0	0	breytingu
altercation	1	0	0	0	0	1	0	0	0	0	deilur
altered	0	0	0	0	0	0	0	0	0	0	breytt
alternate	0	0	0	0	0	0	0	0	0	0	varamaður
alternative	0	0	0	0	0	0	0	0	0	0	val
altitude	0	0	0	0	0	0	0	0	0	0	hæð
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	með öllu
alumnus	0	0	0	0	0	0	0	0	0	0	alumn
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	sameining
amass	0	0	0	0	0	0	0	0	0	0	safna saman
amateur	0	0	0	0	0	0	0	0	0	0	áhugamaður
amaze	0	0	0	0	0	0	0	0	1	0	undrast
amazement	0	0	0	0	0	0	0	0	0	0	undrun
amazingly	0	0	0	0	1	0	1	0	1	0	ótrúlega
ambassador	0	0	0	0	0	0	1	0	0	1	sendiherra
amber	0	0	0	0	0	0	0	0	0	0	gulbrún
ambient	0	0	0	0	0	0	0	0	0	0	umhverfis
ambiguity	0	0	0	0	0	0	0	0	0	0	tvíræðni
ambiguous	0	0	0	0	0	1	0	0	0	0	óljós
ambit	0	0	0	0	0	0	0	0	0	0	gildissvið
ambition	0	1	0	0	1	0	1	0	0	1	metnað
ambitious	0	0	0	0	0	0	0	0	0	0	metnaðarfullur
ambulance	0	0	0	1	0	0	0	0	0	1	sjúkrabíll
ambush	1	0	0	1	0	1	0	0	1	0	fyrirsát
ameliorate	0	0	0	0	0	0	1	0	0	0	bæta
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	viðunandi
amend	0	0	0	0	0	0	1	0	0	0	breyta
amendment	0	0	0	0	0	0	0	0	0	0	breytingartillögu
amends	0	0	0	0	0	0	1	0	0	0	bætir
amenity	0	0	0	0	0	0	1	0	0	0	þægindi
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	vingjarnlegur
amicable	0	0	0	0	1	0	1	0	0	0	vinsamleg
amid	0	0	0	0	0	0	0	0	0	0	innan um
amidst	0	0	0	0	0	0	0	0	0	0	innan um
ammonia	0	0	1	0	0	0	0	0	0	0	ammoníak
ammunition	0	0	0	0	0	0	0	0	0	0	skotfæri
amnesia	0	0	0	0	0	1	0	0	0	0	minnisleysi
amnesty	0	0	0	0	1	0	1	0	0	0	sakaruppgjöf
amorphous	0	0	0	0	0	0	0	0	0	0	formlaus
amortization	0	0	0	0	0	0	0	0	0	1	afskrift
amount	0	0	0	0	0	0	0	0	0	0	magn
amour	0	1	0	0	1	0	1	0	0	1	ást
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
