English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Macedonian Word
absinthe	0	0	0	0	0	0	0	0	0	0	абсинт
absolute	0	0	0	0	0	0	1	0	0	0	апсолутна
absolution	0	0	0	0	1	0	1	0	0	1	ослободување
absorbed	0	0	0	0	0	0	1	0	0	0	апсорбира
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбента
absorbing	0	0	0	0	0	0	0	0	0	0	впивајќи
absorption	0	0	0	0	0	0	0	0	0	0	апсорпција
abstain	0	0	0	0	0	0	0	0	0	0	воздржи се
abstention	0	0	0	0	0	0	0	0	0	0	апстиненција
abstinence	0	0	0	0	0	0	0	0	0	0	апстиненција
abstract	0	0	0	0	0	0	0	0	0	0	апстрактни
abstraction	0	0	0	0	0	0	0	0	0	0	апстракција
absurd	0	0	0	0	0	1	0	0	0	0	апсурдно
absurdity	0	0	0	0	0	1	0	0	0	0	апсурдност
abundance	0	1	1	0	1	1	1	0	0	1	изобилство
abundant	0	0	0	0	1	0	1	0	0	0	изобилство
abuse	1	0	1	1	0	1	0	1	0	0	злоупотреба
abutment	0	0	0	0	0	0	0	0	0	0	абатмент
aby	0	0	0	0	0	0	0	0	0	0	бездруго
abysmal	0	0	0	0	0	1	0	1	0	0	бездна
abyss	0	0	0	1	0	1	0	1	0	0	бездна
academic	0	0	0	0	0	0	1	0	0	1	академски
academy	0	0	0	0	0	0	1	0	0	0	академија
accede	0	0	0	0	0	0	0	0	0	0	пристапи
accelerate	0	1	0	0	0	0	0	0	0	0	забрзаат
acceleration	0	0	0	0	0	0	0	0	0	0	забрзување
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	акцентираат
accept	0	0	0	0	0	0	0	0	0	0	прифати
acceptable	0	0	0	0	0	0	1	0	0	0	прифатливо
acceptance	0	0	0	0	0	0	1	0	0	0	прифаќање
access	0	0	0	0	0	0	0	0	0	0	пристап
accessible	0	0	0	0	0	0	1	0	0	0	достапни
accession	0	0	0	0	0	0	0	0	0	0	пристапување
accessory	0	0	0	0	0	0	0	0	0	0	додаток
accident	0	0	0	1	0	1	0	1	1	0	несреќа
accidental	0	0	0	1	0	1	0	0	1	0	случајно
accidentally	0	0	0	0	0	0	0	0	1	0	случајно
accolade	0	1	0	0	1	0	1	0	1	1	признание
accommodate	0	0	0	0	0	0	0	0	0	0	сместат
accommodation	0	0	0	0	0	0	1	0	0	0	сместување
accompaniment	0	1	0	0	1	0	1	0	0	1	придружба
accompany	0	0	0	0	0	0	0	0	0	0	придружува
accompanying	0	0	0	0	0	0	0	0	0	0	придружува
accomplice	0	0	0	0	0	0	0	0	0	0	соучесник
accomplish	0	0	0	0	1	0	1	0	0	0	постигне
accomplished	0	0	0	0	1	0	1	0	0	0	остварен
accomplishment	0	0	0	0	0	0	1	0	0	0	достигнување
accord	0	0	0	0	0	0	1	0	0	1	согласност
accordance	0	0	0	0	0	0	0	0	0	0	согласност
accordion	0	0	0	0	0	0	0	0	0	0	хармоника
account	0	0	0	0	0	0	0	0	0	1	сметка
accountability	0	0	0	0	0	0	1	0	0	1	отчетност
accountable	0	0	0	0	0	0	1	0	0	1	одговорен
accountant	0	0	0	0	0	0	0	0	0	1	сметководител
accounting	0	0	0	0	0	0	0	0	0	0	сметководство
accounts	0	0	0	0	0	0	0	0	0	1	сметки
accredited	0	0	0	0	0	0	1	0	0	1	акредитирани
accretion	0	0	0	0	0	0	0	0	0	0	акреција
accrue	0	0	0	0	0	0	0	0	0	0	се акумулира
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	се акумулира
accumulation	0	0	0	0	0	0	0	0	0	0	акумулација
accuracy	0	0	0	0	0	0	0	0	0	0	точност
accurate	0	0	0	0	0	0	1	0	0	1	точен
accursed	1	0	0	1	0	1	0	1	0	0	проколнат
accusation	1	0	1	0	0	1	0	0	0	0	обвинение
accusative	0	0	0	0	0	1	0	0	0	0	акузатив
accused	1	0	0	1	0	1	0	0	0	0	обвинет
accuser	1	0	0	1	0	1	0	0	0	0	обвинувач
accusing	1	0	0	1	0	1	0	0	0	0	обвинувајќи
accustomed	0	0	0	0	0	0	0	0	0	0	навикнати
ace	0	0	0	0	0	0	1	0	0	0	кец на десетка
acetic	0	0	0	0	0	0	0	0	0	0	оцетна
ache	0	0	0	0	0	1	0	1	0	0	болка
achieve	0	0	0	0	1	0	1	0	0	1	постигне
achievement	0	1	0	0	1	0	1	0	0	1	достигнување
aching	0	0	0	0	0	1	0	1	0	0	болен
acid	0	0	0	0	0	1	0	0	0	0	киселина
acidity	0	0	0	0	0	0	0	0	0	0	киселост
acknowledge	0	0	0	0	0	0	0	0	0	0	признаваат
acknowledged	0	0	0	0	0	0	0	0	0	0	призна
acknowledgment	0	0	0	0	0	0	1	0	0	0	признание
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустична
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	запознавам
acquaintance	0	0	0	0	0	0	0	0	0	0	запознавање
acquainted	0	0	0	0	0	0	0	0	0	0	запознаени
acquiescence	0	0	0	0	0	0	0	0	0	0	прифаќање
acquire	0	0	0	0	0	0	1	0	0	0	стекнуваат
acquiring	0	1	0	0	0	0	1	0	0	0	стекнување
acquisition	0	0	0	0	0	0	0	0	0	0	стекнување
acquisitions	0	0	0	0	0	0	0	0	0	0	аквизиции
acreage	0	0	0	0	0	0	0	0	0	0	површина
acres	0	0	0	0	0	0	0	0	0	0	хектари
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	дејствуваат
acting	0	0	0	0	0	0	0	0	0	0	глума
action	0	0	0	0	0	0	1	0	0	0	акција
actionable	1	0	1	0	0	1	0	0	0	0	активна
active	0	0	0	0	0	0	0	0	0	0	активни
activity	0	0	0	0	0	0	0	0	0	0	активност
actor	0	0	0	0	0	0	0	0	0	0	актер
actual	0	0	0	0	0	0	1	0	0	0	вистински
actuality	0	0	0	0	0	0	0	0	0	0	актуелност
actuary	0	0	0	0	0	0	0	0	0	0	актуар
acuity	0	0	0	0	0	0	1	0	0	0	острина
acumen	0	0	0	0	0	0	1	0	0	0	остроумност
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	акутно
adage	0	0	0	0	0	0	0	0	0	0	поговорка
adamant	0	0	0	0	0	0	0	0	0	0	непопустлив
adapt	0	0	0	0	0	0	1	0	0	0	приспособат
adaptable	0	0	0	0	0	0	1	0	0	0	прилагодливи
add	0	0	0	0	0	0	0	0	0	0	додадете
added	0	0	0	0	0	0	0	0	0	0	додадена
addendum	0	0	0	0	0	0	0	0	0	0	додаток
adder	1	0	1	1	0	1	0	1	0	0	собирач
addiction	0	0	0	0	0	1	0	0	0	0	зависност
addition	0	0	0	0	0	0	0	0	0	0	додавање
additional	0	0	0	0	0	0	0	0	0	0	дополнителни
additive	0	0	0	0	0	0	0	0	0	0	адитив
address	0	0	0	0	0	0	0	0	0	0	адреса
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	адреси
adept	0	0	0	0	0	0	1	0	0	0	умешен
adequacy	0	0	0	0	0	0	1	0	0	0	адекватност
adequate	0	0	0	0	0	0	0	0	0	0	адекватен
adhere	0	0	0	0	0	0	0	0	0	0	се придржуваат
adherence	0	0	0	0	0	0	0	0	0	0	придржување
adherent	0	0	0	0	0	0	0	0	0	0	приврзаник
adhering	0	0	0	0	0	0	0	0	0	1	придржувајќи се
adhesion	0	0	0	0	0	0	0	0	0	0	адхезија
adhesive	0	0	0	0	0	0	0	0	0	0	лепило
adieu	0	0	0	0	0	0	0	0	0	0	здраво
adipose	0	0	0	0	0	1	0	0	0	0	масни
adjacency	0	0	0	0	0	0	0	0	0	0	соседството
adjacent	0	0	0	0	0	0	0	0	0	0	соседните
adjective	0	0	0	0	0	0	0	0	0	0	придавка
adjoining	0	0	0	0	0	0	0	0	0	0	соседните
adjourn	0	0	0	0	0	0	0	0	0	0	одложи
adjournment	0	0	0	0	0	0	0	0	0	0	одложување
adjudicate	0	0	0	1	0	1	0	0	0	0	пресудуваат
adjudication	0	0	0	0	0	0	0	0	0	0	пресудување
adjunct	0	0	0	0	0	0	1	0	0	0	додаток
adjust	0	0	0	0	0	0	0	0	0	0	прилагоди
adjustment	0	0	0	0	0	0	0	0	0	0	прилагодување
adjuvant	0	0	0	0	0	0	0	0	0	0	адјуванс
administer	0	0	0	0	0	0	0	0	0	0	администрираат
administration	0	0	0	0	0	0	0	0	0	0	администрација
administrative	0	0	0	0	0	0	0	0	0	1	административно
admirable	0	0	0	0	1	0	1	0	0	1	восхитувачки
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралитет
admiration	0	0	0	0	1	0	1	0	0	1	восхит
admire	0	0	0	0	0	0	1	0	0	1	се восхитуваат
admirer	0	0	0	0	0	0	1	0	0	0	обожавател
admissibility	0	0	0	0	0	0	0	0	0	0	прифатливост
admissible	0	0	0	0	0	0	1	0	0	1	допуштена
admission	0	0	0	0	0	0	0	0	0	0	прием
admit	0	0	0	0	0	0	0	0	0	0	признаат
admittance	0	0	0	0	0	0	0	0	0	0	прием
admitted	0	0	0	0	0	0	0	0	0	0	призна
admitting	0	0	0	0	0	0	0	0	0	0	признавајќи
admixture	0	0	0	0	0	0	0	0	0	0	примеси
admonition	0	0	0	1	0	1	0	0	0	0	опомена
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	кирпич
adolescence	0	0	0	0	0	0	0	0	0	0	адолесценција
adolescent	0	0	0	0	0	0	0	0	0	0	адолесцент
adopt	0	0	0	0	0	0	0	0	0	0	усвои
adoption	0	0	0	0	0	0	0	0	0	0	посвојување
adorable	0	0	0	0	1	0	1	0	0	0	симпатична
adoration	0	0	0	0	1	0	1	0	0	1	обожување
adore	0	1	0	0	1	0	1	0	0	1	обожаваат
adorn	0	0	0	0	0	0	0	0	0	0	украсуваат
adornment	0	0	0	0	0	0	0	0	0	0	украсување
adrift	0	1	0	1	0	1	0	1	0	0	летање
adult	0	0	0	0	0	0	0	0	0	0	возрасен
adulterated	0	0	0	0	0	1	0	0	0	0	фалсификувани
adultery	0	0	1	0	0	1	0	1	0	0	прељуба
advance	0	1	0	1	1	0	1	0	1	0	однапред
advanced	0	0	0	0	0	0	1	0	0	0	напредни
advancement	0	0	0	0	0	0	1	0	0	0	напредување
advancing	0	0	0	0	0	0	0	0	0	0	напредување
advantage	0	0	0	0	0	0	1	0	0	0	предност
advantageous	0	0	0	0	0	0	1	0	0	0	поволни
advent	0	1	0	0	1	0	1	0	0	1	доаѓањето
adventure	0	1	0	0	0	0	1	0	0	0	авантура
adventurer	0	0	0	0	0	0	0	0	0	0	авантурист
adventurous	0	0	0	0	0	0	1	0	0	0	авантуристички
adversary	1	0	0	0	0	1	0	0	0	0	противник
adverse	1	0	1	1	0	1	0	1	0	0	неповолни
adversity	1	0	0	1	0	1	0	1	0	0	неволја
advertise	0	0	0	0	0	0	0	0	0	0	рекламираат
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	совети
advisable	0	0	0	0	0	0	1	0	0	1	препорачливо
advise	0	0	0	0	0	0	1	0	0	1	советува
advised	0	0	0	0	0	0	0	0	0	1	советуваше
advisement	0	0	0	0	0	0	0	0	0	0	советување
adviser	0	0	0	0	0	0	1	0	0	1	советник
advocacy	1	1	0	0	1	0	1	0	0	1	застапување
advocate	0	0	0	0	0	0	0	0	0	1	застапник
aegis	0	0	0	0	0	0	0	0	0	0	егис
aeration	0	0	0	0	0	0	0	0	0	0	аерација
aerial	0	0	0	0	0	0	0	0	0	0	воздушни
aerodrome	0	0	0	0	0	0	0	0	0	0	аеродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аеродинамиката
aeronautics	0	0	0	0	0	0	0	0	0	0	аеронаутика
aeroplane	0	0	0	0	0	0	0	0	0	0	авион
aesthetic	0	0	0	0	0	0	1	0	0	0	естетски
aesthetics	0	0	0	0	1	0	1	0	0	0	естетика
aetiology	0	0	0	0	0	0	0	0	0	0	етиологија
afar	0	0	0	0	0	0	0	0	0	0	далеку
affable	0	0	0	0	0	0	1	0	0	0	приврзан
affair	0	0	0	0	0	0	0	0	0	0	афера
affecting	0	0	0	0	0	0	0	0	0	0	кои влијаат
affection	0	0	0	0	1	0	1	0	0	1	наклонетост
affections	0	0	0	0	0	0	0	0	0	0	наклонетоста
affiche	0	0	0	0	0	0	0	0	0	0	афише
affidavit	0	0	0	0	0	0	0	0	0	0	заклетва
affiliated	0	0	0	0	0	0	1	0	0	0	поврзани
affiliation	0	0	0	0	0	0	0	0	0	0	припадност
affinity	0	0	0	0	0	0	0	0	0	0	афинитет
affirm	0	0	0	0	0	0	1	0	0	1	потврди
affirmation	0	0	0	0	0	0	1	0	0	0	афирмација
affirmative	0	0	0	0	0	0	1	0	0	0	афирмативен
affirmatively	0	0	0	0	0	0	1	0	0	1	афирмативно
affix	0	0	0	0	0	0	0	0	0	0	прикачи
afflict	0	0	0	1	0	1	0	1	0	0	измачуваат
afflicted	0	0	0	0	0	1	0	0	0	0	заболени
affliction	0	0	1	1	0	1	0	1	0	0	мака
affluence	0	0	0	0	1	0	1	0	0	0	изобилство
affluent	0	0	0	0	0	0	1	0	0	0	богат
afford	0	0	0	0	0	0	1	0	0	0	да си дозволат
affront	1	0	1	1	0	1	0	1	1	0	навреда
afield	0	0	0	0	0	0	0	0	0	0	подалеку
afore	0	0	0	0	0	0	0	0	0	0	претходно
aforementioned	0	0	0	0	0	0	0	0	0	0	гореспоменатото
aforesaid	0	0	0	0	0	0	0	0	0	0	горенаведеното
afraid	0	0	0	1	0	1	0	0	0	0	се плаши
afresh	0	0	0	0	0	0	0	0	0	0	одново
aft	0	0	0	0	0	0	0	0	0	0	задната страна
aftermath	1	0	1	1	0	1	0	1	0	0	последователни последици
afternoon	0	0	0	0	0	0	0	0	0	0	попладне
aftertaste	0	0	0	0	0	1	0	0	0	0	послевкус
afterthought	0	0	0	0	0	0	0	0	0	0	последователно размислување
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	возраста
aged	0	0	0	0	0	0	0	0	0	0	старее
agency	0	0	0	0	0	0	0	0	0	0	агенција
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерација
aggravated	1	0	0	0	0	1	0	0	0	0	влошена
aggravating	1	0	0	0	0	1	0	1	0	0	отежнувачки
aggravation	1	0	1	0	0	1	0	0	0	0	влошување
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	агрегација
aggression	1	0	0	1	0	1	0	0	0	0	агресија
aggressive	1	0	0	1	0	1	0	0	0	0	агресивен
aggressor	1	0	0	1	0	1	0	0	0	0	агресор
aghast	0	0	1	1	0	1	0	0	1	0	вознемирен
agile	0	0	0	0	0	0	1	0	0	0	агилен
agility	0	0	0	0	0	0	1	0	0	0	агилност
agitated	1	0	0	0	0	1	0	0	0	0	вознемирени
agitation	1	0	0	0	0	1	0	0	0	0	агитација
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	пред
agonizing	0	0	0	1	0	1	0	0	0	0	мачно
agony	1	0	0	1	0	1	0	1	0	0	агонија
agree	0	0	0	0	0	0	1	0	0	0	се согласувам
agreeable	0	0	0	0	0	0	1	0	0	1	согласна
agreed	0	0	0	0	0	0	1	0	0	1	се согласи
agreeing	0	0	0	0	0	0	1	0	0	1	согласувајќи се
agreement	0	0	0	0	0	0	1	0	0	1	договор
agricultural	0	0	0	0	0	0	0	0	0	0	земјоделски
agriculture	0	0	0	0	0	0	1	0	0	0	земјоделството
aground	0	0	0	0	0	1	0	0	0	0	приземјен
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	напред
aid	0	0	0	0	0	0	1	0	0	0	помош
aiding	0	0	0	0	0	0	1	0	0	0	помагање
ail	0	0	0	0	0	1	0	1	0	0	болест
ailing	0	0	0	1	0	1	0	1	0	0	болен
ailment	0	0	0	0	0	0	0	0	0	0	болест
aim	0	0	0	0	0	0	0	0	0	0	цел
aimless	0	0	0	0	0	1	0	0	0	0	бесцелно
air	0	0	0	0	0	0	0	0	0	0	воздухот
airbag	0	0	0	0	0	0	0	0	0	0	воздушно перниче
airlift	0	0	0	0	0	0	0	0	0	0	воздушен лифт
airline	0	0	0	0	0	0	0	0	0	0	авиокомпанија
airman	0	0	0	0	0	0	0	0	0	0	воздухопловец
airplane	0	0	0	0	0	0	0	0	0	0	авион
airport	0	1	0	0	0	0	0	0	0	0	аеродром
airs	0	0	1	0	0	1	0	0	0	0	проветрува
airship	0	0	0	0	0	0	0	0	0	0	воздушен брод
aisle	0	0	0	0	0	0	0	0	0	0	патека
ait	0	0	0	0	0	0	0	0	0	0	аит
ajar	0	0	0	0	0	0	0	0	0	0	подотворена
akin	0	0	0	0	0	0	0	0	0	1	слично
alabaster	0	0	0	0	0	0	1	0	0	0	алабастер
alarm	0	0	0	1	0	1	0	0	1	0	аларм
alarming	0	0	0	1	0	1	0	0	1	0	алармантна
alb	0	0	0	0	0	0	0	0	0	1	алб
album	0	0	0	0	0	0	0	0	0	0	албум
alchemy	0	0	0	0	0	0	0	0	0	0	алхемија
alcohol	0	0	0	0	0	0	0	0	0	0	алкохол
alcoholism	1	0	1	1	0	1	0	1	0	0	алкохолизам
alcove	0	0	0	0	0	0	0	0	0	0	беседка
alert	0	0	0	0	0	0	0	0	0	0	алармирање
alertness	0	1	0	1	0	0	1	0	1	0	будност
alerts	0	1	0	1	0	0	0	0	1	0	предупредувања
alfalfa	0	0	0	0	0	0	0	0	0	0	луцерка
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебарски
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритам
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	вонземјанин
alienate	1	0	1	0	0	1	0	0	0	0	отуѓуваат
alienated	0	0	0	0	0	1	0	1	0	0	отуѓени
alienation	1	0	1	1	0	1	0	1	0	0	отуѓување
alight	0	0	0	0	0	0	0	0	0	0	запален
aligned	0	0	0	0	0	0	0	0	0	0	подредени
alignment	0	0	0	0	0	0	0	0	0	0	усогласување
alike	0	0	0	0	0	0	0	0	0	0	слично
alimentation	0	0	0	0	0	0	1	0	0	0	исхрана
alimony	0	0	0	0	0	1	0	0	0	0	алиментација
aliquot	0	0	0	0	0	0	0	0	0	0	аликвот
alive	0	1	0	0	1	0	1	0	0	1	жив
alkali	0	0	0	0	0	0	0	0	0	0	алкали
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиди
allay	0	0	0	0	0	0	1	0	0	0	смири
allegation	1	0	0	0	0	1	0	0	0	0	наводот
allege	0	0	0	0	0	1	0	0	0	0	обвинуваат
alleged	0	0	0	0	0	0	0	0	0	0	наводен
allegiance	0	0	0	0	0	0	1	0	0	1	верност
allegorical	0	0	0	0	0	0	0	0	0	0	алегориски
allegory	0	0	0	0	0	0	0	0	0	0	алегорија
allegro	0	0	0	0	0	0	1	0	0	0	алегро
alleviate	0	0	0	0	0	0	1	0	0	0	ублажуваат
alleviation	0	0	0	0	0	0	1	0	0	0	ублажување
alley	0	0	0	0	0	0	0	0	0	0	уличка
alliance	0	0	0	0	0	0	0	0	0	1	Алијанса
allied	0	0	0	0	0	0	1	0	0	1	сојузнички
alligator	0	0	0	0	0	0	0	0	0	0	алигатор
allocate	0	0	0	0	0	0	0	0	0	0	алоцираат
allocation	0	0	0	0	0	0	0	0	0	0	распределба
allot	0	0	0	0	0	0	0	0	0	0	додели
allotment	0	0	0	0	0	0	0	0	0	0	распределба
allowable	0	0	0	0	0	0	1	0	0	0	дозволено
allowance	0	0	0	0	0	0	0	0	0	0	додаток
allowed	0	0	0	0	0	0	0	0	0	0	дозволено
alloy	0	0	0	0	0	0	0	0	0	0	легура
allure	0	1	0	0	1	0	1	0	1	0	привлечност
alluring	0	0	0	0	0	0	1	0	0	0	примамлива
allusion	0	0	0	0	0	0	0	0	0	0	алузија
alluvial	0	0	0	0	0	0	0	0	0	0	алувијални
ally	0	0	0	0	0	0	1	0	0	1	сојузник
almanac	0	0	0	0	0	0	0	0	0	0	алманах
almighty	0	0	0	0	0	0	1	0	0	0	семоќен
aloft	0	0	0	0	0	0	0	0	0	0	горе
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	заедно со
aloof	0	0	0	0	0	1	0	0	0	0	настрана
aloud	0	0	0	0	0	0	0	0	0	0	гласно
alphabet	0	0	0	0	0	0	0	0	0	0	азбука
alphabetical	0	0	0	0	0	0	0	0	0	0	азбучен
altar	0	0	0	0	0	0	0	0	0	0	олтар
alter	0	0	0	0	0	0	0	0	0	0	менуваат
alteration	0	0	0	0	0	0	0	0	0	0	измена
altercation	1	0	0	0	0	1	0	0	0	0	расправија
altered	0	0	0	0	0	0	0	0	0	0	изменета
alternate	0	0	0	0	0	0	0	0	0	0	наизменично
alternative	0	0	0	0	0	0	0	0	0	0	алтернатива
altitude	0	0	0	0	0	0	0	0	0	0	надморска височина
alto	0	0	0	0	0	0	0	0	0	0	алт
altogether	0	0	0	0	0	0	0	0	0	0	во целост
alumnus	0	0	0	0	0	0	0	0	0	0	алумнус
alveolar	0	0	0	0	0	0	0	0	0	0	алвеоларна
amalgam	0	0	0	0	0	0	0	0	0	0	амалгам
amalgamation	0	0	0	0	0	0	0	0	0	0	соединување
amass	0	0	0	0	0	0	0	0	0	0	собираат
amateur	0	0	0	0	0	0	0	0	0	0	аматерски
amaze	0	0	0	0	0	0	0	0	1	0	зачудува
amazement	0	0	0	0	0	0	0	0	0	0	чудење
amazingly	0	0	0	0	1	0	1	0	1	0	неверојатно
ambassador	0	0	0	0	0	0	1	0	0	1	амбасадор
amber	0	0	0	0	0	0	0	0	0	0	килибар
ambient	0	0	0	0	0	0	0	0	0	0	амбиентален
ambiguity	0	0	0	0	0	0	0	0	0	0	двосмисленост
ambiguous	0	0	0	0	0	1	0	0	0	0	двосмислена
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	амбиција
ambitious	0	0	0	0	0	0	0	0	0	0	амбициозен
ambulance	0	0	0	1	0	0	0	0	0	1	брза помош
ambush	1	0	0	1	0	1	0	0	1	0	заседа
ameliorate	0	0	0	0	0	0	1	0	0	0	подобри
amen	0	0	0	0	1	0	1	0	0	1	амин
amenable	0	0	0	0	0	0	1	0	0	0	податлив
amend	0	0	0	0	0	0	1	0	0	0	измени
amendment	0	0	0	0	0	0	0	0	0	0	амандман
amends	0	0	0	0	0	0	1	0	0	0	изменува
amenity	0	0	0	0	0	0	1	0	0	0	удобност
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	љубезен
amicable	0	0	0	0	1	0	1	0	0	0	пријателски
amid	0	0	0	0	0	0	0	0	0	0	среде
amidst	0	0	0	0	0	0	0	0	0	0	среде
ammonia	0	0	1	0	0	0	0	0	0	0	амонијак
ammunition	0	0	0	0	0	0	0	0	0	0	муниција
amnesia	0	0	0	0	0	1	0	0	0	0	амнезија
amnesty	0	0	0	0	1	0	1	0	0	0	амнестија
amorphous	0	0	0	0	0	0	0	0	0	0	аморфни
amortization	0	0	0	0	0	0	0	0	0	1	амортизација
amount	0	0	0	0	0	0	0	0	0	0	износ
amour	0	1	0	0	1	0	1	0	0	1	љубов
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетамини
amphibian	0	0	0	0	0	0	0	0	0	0	водоземец
amphibious	0	0	0	0	0	0	0	0	0	0	амфибиски
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатар
amplification	0	0	0	0	0	0	0	0	0	0	засилување
amplify	0	0	0	0	0	0	0	0	0	0	засилуваат
amplitude	0	0	0	0	0	0	0	0	0	0	амплитуда
amply	0	0	0	0	0	0	0	0	0	0	обилно
amputation	0	0	0	0	0	0	0	0	0	0	ампутација
amulet	0	0	0	0	0	0	0	0	0	0	амајлија
amuse	0	0	0	0	1	0	1	0	0	0	се забавуваат
amused	0	0	0	0	1	0	1	0	0	0	се забавуваат
amusement	0	0	0	0	1	0	1	0	0	0	забава
amusing	0	0	0	0	1	0	1	0	0	0	забавен
ana	0	0	0	0	0	0	0	0	0	0	ана
