English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Zulu Word
accompaniment	0	1	0	0	1	0	1	0	0	1	ukuphelezela
accompany	0	0	0	0	0	0	0	0	0	0	phelezela
accompanying	0	0	0	0	0	0	0	0	0	0	ukuphelezela
accomplice	0	0	0	0	0	0	0	0	0	0	ukuhlanganyela
accomplish	0	0	0	0	1	0	1	0	0	0	fezekisa
accomplished	0	0	0	0	1	0	1	0	0	0	kufeziwe
accomplishment	0	0	0	0	0	0	1	0	0	0	impumelelo
accord	0	0	0	0	0	0	1	0	0	1	isivumelwano
accordance	0	0	0	0	0	0	0	0	0	0	ngokuvumelana
accordion	0	0	0	0	0	0	0	0	0	0	i-accordion
account	0	0	0	0	0	0	0	0	0	1	i-akhawunti
accountability	0	0	0	0	0	0	1	0	0	1	ukuziphendulela
accountable	0	0	0	0	0	0	1	0	0	1	onesibopho
accountant	0	0	0	0	0	0	0	0	0	1	umgcini mabhuku
accounting	0	0	0	0	0	0	0	0	0	0	ukubalwa kwezimali
accounts	0	0	0	0	0	0	0	0	0	1	ama-akhawunti
accredited	0	0	0	0	0	0	1	0	0	1	okugunyaziwe
accretion	0	0	0	0	0	0	0	0	0	0	ukwanda
accrue	0	0	0	0	0	0	0	0	0	0	qongelela
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	buthelela
accumulation	0	0	0	0	0	0	0	0	0	0	ukuqongelela
accuracy	0	0	0	0	0	0	0	0	0	0	ukunemba
accurate	0	0	0	0	0	0	1	0	0	1	olunembile
accursed	1	0	0	1	0	1	0	1	0	0	uqalekisiwe
accusation	1	0	1	0	0	1	0	0	0	0	icala
accusative	0	0	0	0	0	1	0	0	0	0	-solayo
accused	1	0	0	1	0	1	0	0	0	0	umsolwa
accuser	1	0	0	1	0	1	0	0	0	0	ummangaleli
accusing	1	0	0	1	0	1	0	0	0	0	ebeka icala
accustomed	0	0	0	0	0	0	0	0	0	0	ejwayele
ace	0	0	0	0	0	0	1	0	0	0	i-ace
acetic	0	0	0	0	0	0	0	0	0	0	i-acetic
ache	0	0	0	0	0	1	0	1	0	0	ubuhlungu
achieve	0	0	0	0	1	0	1	0	0	1	zuza
achievement	0	1	0	0	1	0	1	0	0	1	impumelelo
aching	0	0	0	0	0	1	0	1	0	0	ubuhlungu
acid	0	0	0	0	0	1	0	0	0	0	i-asidi
acidity	0	0	0	0	0	0	0	0	0	0	ubumuncu
acknowledge	0	0	0	0	0	0	0	0	0	0	vuma
acknowledged	0	0	0	0	0	0	0	0	0	0	kwavuma
acknowledgment	0	0	0	0	0	0	1	0	0	0	ukuvuma
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	i-acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	ama-acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	yazi
acquaintance	0	0	0	0	0	0	0	0	0	0	ukwazana
acquainted	0	0	0	0	0	0	0	0	0	0	ejwayelene
acquiescence	0	0	0	0	0	0	0	0	0	0	ukuvuma
acquire	0	0	0	0	0	0	1	0	0	0	zuza
acquiring	0	1	0	0	0	0	1	0	0	0	ukuzuza
acquisition	0	0	0	0	0	0	0	0	0	0	ukutholwa
acquisitions	0	0	0	0	0	0	0	0	0	0	ukutholwa
acreage	0	0	0	0	0	0	0	0	0	0	i-acreage
acres	0	0	0	0	0	0	0	0	0	0	amahektha
acrobat	0	0	0	1	1	0	1	0	0	1	i-acrobat
act	0	0	0	0	0	0	0	0	0	0	isenzo
acting	0	0	0	0	0	0	0	0	0	0	ukudlala
action	0	0	0	0	0	0	1	0	0	0	isenzo
actionable	1	0	1	0	0	1	0	0	0	0	kungenzeka
active	0	0	0	0	0	0	0	0	0	0	esebenzayo
activity	0	0	0	0	0	0	0	0	0	0	umsebenzi
actor	0	0	0	0	0	0	0	0	0	0	umlingisi
actual	0	0	0	0	0	0	1	0	0	0	okwangempela
actuality	0	0	0	0	0	0	0	0	0	0	iqiniso
actuary	0	0	0	0	0	0	0	0	0	0	i-actuary
acuity	0	0	0	0	0	0	1	0	0	0	ukukhalipha
acumen	0	0	0	0	0	0	1	0	0	0	ukukhalipha
acupuncture	0	0	0	0	0	0	0	0	0	0	ukutshopa
acutely	0	0	0	0	0	0	0	0	0	0	ngokushesha
adage	0	0	0	0	0	0	0	0	0	0	isisho
adamant	0	0	0	0	0	0	0	0	0	0	eqinile
adapt	0	0	0	0	0	0	1	0	0	0	vumelanisa
adaptable	0	0	0	0	0	0	1	0	0	0	vumelana nezimo
add	0	0	0	0	0	0	0	0	0	0	engeza
added	0	0	0	0	0	0	0	0	0	0	kwengezwe
addendum	0	0	0	0	0	0	0	0	0	0	isengezo
adder	1	0	1	1	0	1	0	1	0	0	i-adder
addiction	0	0	0	0	0	1	0	0	0	0	ukulutheka
addition	0	0	0	0	0	0	0	0	0	0	ukwengeza
additional	0	0	0	0	0	0	0	0	0	0	eyengeziwe
additive	0	0	0	0	0	0	0	0	0	0	okungeziwe
address	0	0	0	0	0	0	0	0	0	0	ikheli
addressee	0	0	0	0	0	0	0	0	0	0	ikheli
addresses	0	1	0	0	0	0	1	0	0	0	amakheli
adept	0	0	0	0	0	0	1	0	0	0	nekhono
adequacy	0	0	0	0	0	0	1	0	0	0	ukwanela
adequate	0	0	0	0	0	0	0	0	0	0	ezanele
adhere	0	0	0	0	0	0	0	0	0	0	bambelela
adherence	0	0	0	0	0	0	0	0	0	0	ukubambelela
adherent	0	0	0	0	0	0	0	0	0	0	okunamathelayo
adhering	0	0	0	0	0	0	0	0	0	1	ukunamathela
adhesion	0	0	0	0	0	0	0	0	0	0	ukunamathela
adhesive	0	0	0	0	0	0	0	0	0	0	okunamathelayo
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	i-adipose
adjacency	0	0	0	0	0	0	0	0	0	0	eduze
adjacent	0	0	0	0	0	0	0	0	0	0	eduze
adjective	0	0	0	0	0	0	0	0	0	0	isiphawulo
adjoining	0	0	0	0	0	0	0	0	0	0	ehlangene
adjourn	0	0	0	0	0	0	0	0	0	0	hlehlisa
adjournment	0	0	0	0	0	0	0	0	0	0	kuhlehliswa
adjudicate	0	0	0	1	0	1	0	0	0	0	ahlulele
adjudication	0	0	0	0	0	0	0	0	0	0	ukwahlulela
adjunct	0	0	0	0	0	0	1	0	0	0	ukuhlanganisa
adjust	0	0	0	0	0	0	0	0	0	0	lungisa
adjustment	0	0	0	0	0	0	0	0	0	0	ukulungisa
adjuvant	0	0	0	0	0	0	0	0	0	0	i-adjuvant
administer	0	0	0	0	0	0	0	0	0	0	phatha
administration	0	0	0	0	0	0	0	0	0	0	ukuphatha
administrative	0	0	0	0	0	0	0	0	0	1	ezokuphatha
admirable	0	0	0	0	1	0	1	0	0	1	encomekayo
admiral	0	0	0	0	0	0	1	0	0	1	umphathi-mkhosi
admiralty	0	0	0	0	0	0	0	0	0	0	i-admiralty
admiration	0	0	0	0	1	0	1	0	0	1	ukutuswa
admire	0	0	0	0	0	0	1	0	0	1	zibabaza
admirer	0	0	0	0	0	0	1	0	0	0	umthandi
admissibility	0	0	0	0	0	0	0	0	0	0	ukuvunyelwa
admissible	0	0	0	0	0	0	1	0	0	1	eyamukelekayo
admission	0	0	0	0	0	0	0	0	0	0	ukungena
admit	0	0	0	0	0	0	0	0	0	0	vuma
admittance	0	0	0	0	0	0	0	0	0	0	ukungena
admitted	0	0	0	0	0	0	0	0	0	0	kuvume
admitting	0	0	0	0	0	0	0	0	0	0	ukuvuma
admixture	0	0	0	0	0	0	0	0	0	0	inhlanganisela
admonition	0	0	0	1	0	1	0	0	0	0	isiyalo
ado	0	0	0	0	0	0	0	0	0	0	i-ado
adobe	0	0	0	0	0	0	0	0	0	0	i-adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ubusha
adolescent	0	0	0	0	0	0	0	0	0	0	osemusha
adopt	0	0	0	0	0	0	0	0	0	0	thatha
adoption	0	0	0	0	0	0	0	0	0	0	ukutholwa
adorable	0	0	0	0	1	0	1	0	0	0	iyathandeka
adoration	0	0	0	0	1	0	1	0	0	1	ukudunyiswa
adore	0	1	0	0	1	0	1	0	0	1	thanda
adorn	0	0	0	0	0	0	0	0	0	0	hlobisa
adornment	0	0	0	0	0	0	0	0	0	0	ukuhloba
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	omdala
adulterated	0	0	0	0	0	1	0	0	0	0	onikiwe
adultery	0	0	1	0	0	1	0	1	0	0	ukuphinga
advance	0	1	0	1	1	0	1	0	1	0	phambili
advanced	0	0	0	0	0	0	1	0	0	0	ethuthukisiwe
advancement	0	0	0	0	0	0	1	0	0	0	intuthuko
advancing	0	0	0	0	0	0	0	0	0	0	ethuthukayo
advantage	0	0	0	0	0	0	1	0	0	0	inzuzo
advantageous	0	0	0	0	0	0	1	0	0	0	kunenzuzo
advent	0	1	0	0	1	0	1	0	0	1	ukufika
adventure	0	1	0	0	0	0	1	0	0	0	uhambo
adventurer	0	0	0	0	0	0	0	0	0	0	isihambi
adventurous	0	0	0	0	0	0	1	0	0	0	amadala
adversary	1	0	0	0	0	1	0	0	0	0	isitha
adverse	1	0	1	1	0	1	0	1	0	0	embi
adversity	1	0	0	1	0	1	0	1	0	0	ubunzima
advertise	0	0	0	0	0	0	0	0	0	0	khangisa
advertisement	0	0	0	0	0	0	0	0	0	0	isikhangiso
advice	0	0	0	0	0	0	0	0	0	1	iseluleko
advisable	0	0	0	0	0	0	1	0	0	1	kuyafaneleka
advise	0	0	0	0	0	0	1	0	0	1	luleka
advised	0	0	0	0	0	0	0	0	0	1	weluleka
advisement	0	0	0	0	0	0	0	0	0	0	iseluleko
adviser	0	0	0	0	0	0	1	0	0	1	umeluleki
advocacy	1	1	0	0	1	0	1	0	0	1	ukumela
advocate	0	0	0	0	0	0	0	0	0	1	ummeli
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	ukungenisa umoya
aerial	0	0	0	0	0	0	0	0	0	0	emoyeni
aerodrome	0	0	0	0	0	0	0	0	0	0	indawo yezindiza
aerodynamics	0	0	0	0	0	0	0	0	0	0	i-aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	i-aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	indiza
aesthetic	0	0	0	0	0	0	1	0	0	0	ubuhle
aesthetics	0	0	0	0	1	0	1	0	0	0	ubuhle
aetiology	0	0	0	0	0	0	0	0	0	0	i-etiology
afar	0	0	0	0	0	0	0	0	0	0	kude
affable	0	0	0	0	0	0	1	0	0	0	evumelanayo
affair	0	0	0	0	0	0	0	0	0	0	indaba
affecting	0	0	0	0	0	0	0	0	0	0	ezithintayo
affection	0	0	0	0	1	0	1	0	0	1	uthando
affections	0	0	0	0	0	0	0	0	0	0	uthando
affiche	0	0	0	0	0	0	0	0	0	0	i-affiche
affidavit	0	0	0	0	0	0	0	0	0	0	incwadi efungelwe
affiliated	0	0	0	0	0	0	1	0	0	0	ehlangene
affiliation	0	0	0	0	0	0	0	0	0	0	ukuzihlanganisa
affinity	0	0	0	0	0	0	0	0	0	0	ubuhlobo
affirm	0	0	0	0	0	0	1	0	0	1	qinisa
affirmation	0	0	0	0	0	0	1	0	0	0	isiqiniseko
affirmative	0	0	0	0	0	0	1	0	0	0	evumayo
affirmatively	0	0	0	0	0	0	1	0	0	1	ngokuqinisekisa
affix	0	0	0	0	0	0	0	0	0	0	namathisela
afflict	0	0	0	1	0	1	0	1	0	0	hlupha
afflicted	0	0	0	0	0	1	0	0	0	0	ukuhlupheka
affliction	0	0	1	1	0	1	0	1	0	0	usizi
affluence	0	0	0	0	1	0	1	0	0	0	ukuceba
affluent	0	0	0	0	0	0	1	0	0	0	abacebile
afford	0	0	0	0	0	0	1	0	0	0	ukukhokhela
affront	1	0	1	1	0	1	0	1	1	0	ukweyisa
afield	0	0	0	0	0	0	0	0	0	0	kude
afore	0	0	0	0	0	0	0	0	0	0	ngaphambili
aforementioned	0	0	0	0	0	0	0	0	0	0	okukhulunywe ngakho ngenhla
aforesaid	0	0	0	0	0	0	0	0	0	0	kushiwo ngenhla
afraid	0	0	0	1	0	1	0	0	0	0	besaba
afresh	0	0	0	0	0	0	0	0	0	0	kabusha
aft	0	0	0	0	0	0	0	0	0	0	ngemva
aftermath	1	0	1	1	0	1	0	1	0	0	umphumela
afternoon	0	0	0	0	0	0	0	0	0	0	ntambama
aftertaste	0	0	0	0	0	1	0	0	0	0	ukunambitha
afterthought	0	0	0	0	0	0	0	0	0	0	ngemuva kokucabanga
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	i-agate
age	0	0	0	0	0	0	0	0	0	0	iminyaka yobudala
aged	0	0	0	0	0	0	0	0	0	0	mdala
agency	0	0	0	0	0	0	0	0	0	0	inhlangano
agent	0	0	0	0	0	0	0	0	0	0	umenzeli
agglomeration	0	0	0	0	0	0	0	0	0	0	i-agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	kubi
aggravating	1	0	0	0	0	1	0	1	0	0	okuhlukumezayo
aggravation	1	0	1	0	0	1	0	0	0	0	ukuhlukunyezwa
aggregate	0	0	0	0	0	0	0	0	0	0	ukuhlanganisa
aggregation	0	0	0	0	0	0	0	0	0	0	ukuhlanganisa
aggression	1	0	0	1	0	1	0	0	0	0	ulaka
aggressive	1	0	0	1	0	1	0	0	0	0	enolaka
aggressor	1	0	0	1	0	1	0	0	0	0	umhlaseli
aghast	0	0	1	1	0	1	0	0	1	0	ukwesaba
agile	0	0	0	0	0	0	1	0	0	0	ishesha
agility	0	0	0	0	0	0	1	0	0	0	ukushesha
agitated	1	0	0	0	0	1	0	0	0	0	eyaluza
agitation	1	0	0	0	0	1	0	0	0	0	ukuyaluza
agnostic	0	0	0	0	0	0	0	0	0	0	ongaziwa
ago	0	0	0	0	0	0	0	0	0	0	edlule
agonizing	0	0	0	1	0	1	0	0	0	0	ebuhlungu
agony	1	0	0	1	0	1	0	1	0	0	ubuhlungu
agree	0	0	0	0	0	0	1	0	0	0	vuma
agreeable	0	0	0	0	0	0	1	0	0	1	evumelanayo
agreed	0	0	0	0	0	0	1	0	0	1	wavuma
agreeing	0	0	0	0	0	0	1	0	0	1	bevuma
agreement	0	0	0	0	0	0	1	0	0	1	isivumelwano
agricultural	0	0	0	0	0	0	0	0	0	0	ezolimo
agriculture	0	0	0	0	0	0	1	0	0	0	ezolimo
aground	0	0	0	0	0	1	0	0	0	0	phansi
agua	0	0	0	0	0	0	0	0	0	0	i-agua
ahead	0	0	0	0	0	0	1	0	0	0	phambili
aid	0	0	0	0	0	0	1	0	0	0	usizo
aiding	0	0	0	0	0	0	1	0	0	0	esiza
ail	0	0	0	0	0	1	0	1	0	0	ukugula
ailing	0	0	0	1	0	1	0	1	0	0	egulayo
ailment	0	0	0	0	0	0	0	0	0	0	ukugula
aim	0	0	0	0	0	0	0	0	0	0	inhloso
aimless	0	0	0	0	0	1	0	0	0	0	engenanhloso
air	0	0	0	0	0	0	0	0	0	0	umoya
airbag	0	0	0	0	0	0	0	0	0	0	isikhwama somoya
airlift	0	0	0	0	0	0	0	0	0	0	hambisa ngendiza
airline	0	0	0	0	0	0	0	0	0	0	inkampani yezindiza
airman	0	0	0	0	0	0	0	0	0	0	umshayeli wendiza
airplane	0	0	0	0	0	0	0	0	0	0	indiza
airport	0	1	0	0	0	0	0	0	0	0	isikhumulo sezindiza
airs	0	0	1	0	0	1	0	0	0	0	emoyeni
airship	0	0	0	0	0	0	0	0	0	0	indiza
aisle	0	0	0	0	0	0	0	0	0	0	Indawo yezinto
ait	0	0	0	0	0	0	0	0	0	0	ayi
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	kanye
alabaster	0	0	0	0	0	0	1	0	0	0	ialabhasta
alarm	0	0	0	1	0	1	0	0	1	0	i-alamu
alarming	0	0	0	1	0	1	0	0	1	0	ethusayo
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	i-albhamu
alchemy	0	0	0	0	0	0	0	0	0	0	i-alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	utshwala
alcoholism	1	0	1	1	0	1	0	1	0	0	uphuzo oludakayo
alcove	0	0	0	0	0	0	0	0	0	0	i-alcove
alert	0	0	0	0	0	0	0	0	0	0	qwashisa
alertness	0	1	0	1	0	0	1	0	1	0	ukuqapha
alerts	0	1	0	1	0	0	0	0	1	0	izexwayiso
alfalfa	0	0	0	0	0	0	0	0	0	0	i-alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	i-algebra
algebraic	0	0	0	0	0	0	0	0	0	0	i-algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	i-algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	umfokazi
alienate	1	0	1	0	0	1	0	0	0	0	ahlukanise
alienated	0	0	0	0	0	1	0	1	0	0	ehlukanisiwe
alienation	1	0	1	1	0	1	0	1	0	0	ukuhlukaniswa
alight	0	0	0	0	0	0	0	0	0	0	liyavutha
aligned	0	0	0	0	0	0	0	0	0	0	kuqondaniswe
alignment	0	0	0	0	0	0	0	0	0	0	ukuqondanisa
alike	0	0	0	0	0	0	0	0	0	0	ngokufanayo
alimentation	0	0	0	0	0	0	1	0	0	0	ukudla
alimony	0	0	0	0	0	1	0	0	0	0	imali yesondlo
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ephila
alkali	0	0	0	0	0	0	0	0	0	0	i-alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	ama-alkaloids
allay	0	0	0	0	0	0	1	0	0	0	i-allay
allegation	1	0	0	0	0	1	0	0	0	0	izinsolo
allege	0	0	0	0	0	1	0	0	0	0	sola
alleged	0	0	0	0	0	0	0	0	0	0	kusolwa
allegiance	0	0	0	0	0	0	1	0	0	1	ukwethembeka
allegorical	0	0	0	0	0	0	0	0	0	0	okungokomfanekiso
allegory	0	0	0	0	0	0	0	0	0	0	umfanekiso
allegro	0	0	0	0	0	0	1	0	0	0	i-allegro
alleviate	0	0	0	0	0	0	1	0	0	0	nciphisa
alleviation	0	0	0	0	0	0	1	0	0	0	ukunciphisa
alley	0	0	0	0	0	0	0	0	0	0	umgwaqo
alliance	0	0	0	0	0	0	0	0	0	1	umfelandawonye
allied	0	0	0	0	0	0	1	0	0	1	abambisene
alligator	0	0	0	0	0	0	0	0	0	0	ingwenya
allocate	0	0	0	0	0	0	0	0	0	0	aba
allocation	0	0	0	0	0	0	0	0	0	0	isabelo
allot	0	0	0	0	0	0	0	0	0	0	isabelo
allotment	0	0	0	0	0	0	0	0	0	0	isabelo
allowable	0	0	0	0	0	0	1	0	0	0	kuvumelekile
allowance	0	0	0	0	0	0	0	0	0	0	imvume
allowed	0	0	0	0	0	0	0	0	0	0	kuvunyelwe
alloy	0	0	0	0	0	0	0	0	0	0	ingxubevange
allure	0	1	0	0	1	0	1	0	1	0	ukuyenga
alluring	0	0	0	0	0	0	1	0	0	0	ekhangayo
allusion	0	0	0	0	0	0	0	0	0	0	ukukhulumela
alluvial	0	0	0	0	0	0	0	0	0	0	i-alluvial
ally	0	0	0	0	0	0	1	0	0	1	umngane
almanac	0	0	0	0	0	0	0	0	0	0	i-almanac
almighty	0	0	0	0	0	0	1	0	0	0	somandla
aloft	0	0	0	0	0	0	0	0	0	0	phezulu
aloha	0	1	0	0	1	0	1	0	0	0	ulala
alongside	0	0	0	0	0	0	0	0	0	0	eceleni
aloof	0	0	0	0	0	1	0	0	0	0	kude
aloud	0	0	0	0	0	0	0	0	0	0	ngokuzwakalayo
alphabet	0	0	0	0	0	0	0	0	0	0	izinhlamvu zamagama
alphabetical	0	0	0	0	0	0	0	0	0	0	ngokwezinhlamvu
altar	0	0	0	0	0	0	0	0	0	0	i-altare
alter	0	0	0	0	0	0	0	0	0	0	guqula
alteration	0	0	0	0	0	0	0	0	0	0	ukuguqulwa
altercation	1	0	0	0	0	1	0	0	0	0	ukuxabana
altered	0	0	0	0	0	0	0	0	0	0	kushintshiwe
alternate	0	0	0	0	0	0	0	0	0	0	okunye
alternative	0	0	0	0	0	0	0	0	0	0	okunye
altitude	0	0	0	0	0	0	0	0	0	0	ukuphakama
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	ngokuphelele
alumnus	0	0	0	0	0	0	0	0	0	0	umfundi
alveolar	0	0	0	0	0	0	0	0	0	0	i-alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	ukuhlanganiswa
amass	0	0	0	0	0	0	0	0	0	0	qoqa
amateur	0	0	0	0	0	0	0	0	0	0	umfundamakhwela
amaze	0	0	0	0	0	0	0	0	1	0	mangala
amazement	0	0	0	0	0	0	0	0	0	0	ukumangala
amazingly	0	0	0	0	1	0	1	0	1	0	ngokumangalisayo
ambassador	0	0	0	0	0	0	1	0	0	1	inxusa
amber	0	0	0	0	0	0	0	0	0	0	inhlaka
ambient	0	0	0	0	0	0	0	0	0	0	endaweni
ambiguity	0	0	0	0	0	0	0	0	0	0	ukungaqondakali
ambiguous	0	0	0	0	0	1	0	0	0	0	engacacile
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	isifiso sokuvelela
ambitious	0	0	0	0	0	0	0	0	0	0	nesifiso sokuvelela
ambulance	0	0	0	1	0	0	0	0	0	1	i-ambulensi
ambush	1	0	0	1	0	1	0	0	1	0	baqamekele
ameliorate	0	0	0	0	0	0	1	0	0	0	thuthukisa
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	kuyamukeleka
amend	0	0	0	0	0	0	1	0	0	0	chibiyela
amendment	0	0	0	0	0	0	0	0	0	0	ukuchitshiyelwa
amends	0	0	0	0	0	0	1	0	0	0	chibiyela
amenity	0	0	0	0	0	0	1	0	0	0	usizo
amethyst	0	0	0	0	0	0	0	0	0	0	i-amethiste
