English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Indonesian Word
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	kemustahilan
abundance	0	1	1	0	1	1	1	0	0	1	kelimpahan
abundant	0	0	0	0	1	0	1	0	0	0	melimpah
abuse	1	0	1	1	0	1	0	1	0	0	melecehkan
abutment	0	0	0	0	0	0	0	0	0	0	penyangga
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bukan kepalang
abyss	0	0	0	1	0	1	0	1	0	0	neraka
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	menyetujui
accelerate	0	1	0	0	0	0	0	0	0	0	mempercepat
acceleration	0	0	0	0	0	0	0	0	0	0	percepatan
accent	0	0	0	0	0	0	0	0	0	0	aksen
accentuate	0	0	0	0	0	0	0	0	0	0	menonjolkan
accept	0	0	0	0	0	0	0	0	0	0	menerima
acceptable	0	0	0	0	0	0	1	0	0	0	dapat diterima
acceptance	0	0	0	0	0	0	1	0	0	0	penerimaan
access	0	0	0	0	0	0	0	0	0	0	mengakses
accessible	0	0	0	0	0	0	1	0	0	0	dapat diakses
accession	0	0	0	0	0	0	0	0	0	0	pencapaian
accessory	0	0	0	0	0	0	0	0	0	0	tambahan
accident	0	0	0	1	0	1	0	1	1	0	kecelakaan
accidental	0	0	0	1	0	1	0	0	1	0	kebetulan
accidentally	0	0	0	0	0	0	0	0	1	0	secara tidak sengaja
accolade	0	1	0	0	1	0	1	0	1	1	penghargaan
accommodate	0	0	0	0	0	0	0	0	0	0	menampung
accommodation	0	0	0	0	0	0	1	0	0	0	akomodasi
accompaniment	0	1	0	0	1	0	1	0	0	1	iringan
accompany	0	0	0	0	0	0	0	0	0	0	menemani
accompanying	0	0	0	0	0	0	0	0	0	0	menemani
accomplice	0	0	0	0	0	0	0	0	0	0	kaki tangan
accomplish	0	0	0	0	1	0	1	0	0	0	menyelesaikan
accomplished	0	0	0	0	1	0	1	0	0	0	ahli
accomplishment	0	0	0	0	0	0	1	0	0	0	prestasi
accord	0	0	0	0	0	0	1	0	0	1	sesuai
accordance	0	0	0	0	0	0	0	0	0	0	sesuai
accordion	0	0	0	0	0	0	0	0	0	0	akordeon
account	0	0	0	0	0	0	0	0	0	1	Akun
accountability	0	0	0	0	0	0	1	0	0	1	pertanggungjawaban
accountable	0	0	0	0	0	0	1	0	0	1	akuntabel
accountant	0	0	0	0	0	0	0	0	0	1	akuntan
accounting	0	0	0	0	0	0	0	0	0	0	akuntansi
accounts	0	0	0	0	0	0	0	0	0	1	akun
accredited	0	0	0	0	0	0	1	0	0	1	terakreditasi
accretion	0	0	0	0	0	0	0	0	0	0	pertambahan
accrue	0	0	0	0	0	0	0	0	0	0	bertambah
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	mengumpulkan
accumulation	0	0	0	0	0	0	0	0	0	0	akumulasi
accuracy	0	0	0	0	0	0	0	0	0	0	ketepatan
accurate	0	0	0	0	0	0	1	0	0	1	tepat
accursed	1	0	0	1	0	1	0	1	0	0	terkutuk
accusation	1	0	1	0	0	1	0	0	0	0	tuduhan
accusative	0	0	0	0	0	1	0	0	0	0	akusatif
accused	1	0	0	1	0	1	0	0	0	0	dituduh
accuser	1	0	0	1	0	1	0	0	0	0	penuduh
accusing	1	0	0	1	0	1	0	0	0	0	menuduh
accustomed	0	0	0	0	0	0	0	0	0	0	biasa
ace	0	0	0	0	0	0	1	0	0	0	kartu as
acetic	0	0	0	0	0	0	0	0	0	0	asetat
ache	0	0	0	0	0	1	0	1	0	0	sakit
achieve	0	0	0	0	1	0	1	0	0	1	meraih
achievement	0	1	0	0	1	0	1	0	0	1	pencapaian
aching	0	0	0	0	0	1	0	1	0	0	sakit
acid	0	0	0	0	0	1	0	0	0	0	asam
acidity	0	0	0	0	0	0	0	0	0	0	keasaman
acknowledge	0	0	0	0	0	0	0	0	0	0	mengakui
acknowledged	0	0	0	0	0	0	0	0	0	0	diakui
acknowledgment	0	0	0	0	0	0	1	0	0	0	pengakuan
acme	0	0	0	0	0	0	0	0	0	0	puncak
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	memperkenalkan
acquaintance	0	0	0	0	0	0	0	0	0	0	kenalan
acquainted	0	0	0	0	0	0	0	0	0	0	berkenalan
acquiescence	0	0	0	0	0	0	0	0	0	0	persetujuan
acquire	0	0	0	0	0	0	1	0	0	0	mendapatkan
acquiring	0	1	0	0	0	0	1	0	0	0	memperoleh
acquisition	0	0	0	0	0	0	0	0	0	0	Akuisisi
acquisitions	0	0	0	0	0	0	0	0	0	0	akuisisi
acreage	0	0	0	0	0	0	0	0	0	0	areal
acres	0	0	0	0	0	0	0	0	0	0	hektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	bertindak
acting	0	0	0	0	0	0	0	0	0	0	akting
action	0	0	0	0	0	0	1	0	0	0	tindakan
actionable	1	0	1	0	0	1	0	0	0	0	dapat ditindaklanjuti
active	0	0	0	0	0	0	0	0	0	0	aktif
activity	0	0	0	0	0	0	0	0	0	0	aktivitas
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	sebenarnya
actuality	0	0	0	0	0	0	0	0	0	0	aktualitas
actuary	0	0	0	0	0	0	0	0	0	0	aktuaris
acuity	0	0	0	0	0	0	1	0	0	0	ketajaman
acumen	0	0	0	0	0	0	1	0	0	0	ketajaman
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	secara akut
adage	0	0	0	0	0	0	0	0	0	0	pepatah
adamant	0	0	0	0	0	0	0	0	0	0	bersikeras
adapt	0	0	0	0	0	0	1	0	0	0	menyesuaikan
adaptable	0	0	0	0	0	0	1	0	0	0	mudah beradaptasi
add	0	0	0	0	0	0	0	0	0	0	menambahkan
added	0	0	0	0	0	0	0	0	0	0	ditambahkan
addendum	0	0	0	0	0	0	0	0	0	0	tambahan
adder	1	0	1	1	0	1	0	1	0	0	penambah
addiction	0	0	0	0	0	1	0	0	0	0	kecanduan
addition	0	0	0	0	0	0	0	0	0	0	tambahan
additional	0	0	0	0	0	0	0	0	0	0	tambahan
additive	0	0	0	0	0	0	0	0	0	0	aditif
address	0	0	0	0	0	0	0	0	0	0	alamat
addressee	0	0	0	0	0	0	0	0	0	0	penerima
addresses	0	1	0	0	0	0	1	0	0	0	alamat
adept	0	0	0	0	0	0	1	0	0	0	mahir
adequacy	0	0	0	0	0	0	1	0	0	0	kecukupan
adequate	0	0	0	0	0	0	0	0	0	0	memadai
adhere	0	0	0	0	0	0	0	0	0	0	mengikuti
adherence	0	0	0	0	0	0	0	0	0	0	ketaatan
adherent	0	0	0	0	0	0	0	0	0	0	penganut
adhering	0	0	0	0	0	0	0	0	0	1	mengikuti
adhesion	0	0	0	0	0	0	0	0	0	0	adhesi
adhesive	0	0	0	0	0	0	0	0	0	0	perekat
adieu	0	0	0	0	0	0	0	0	0	0	kata perpisahan
adipose	0	0	0	0	0	1	0	0	0	0	lemak
adjacency	0	0	0	0	0	0	0	0	0	0	kedekatan
adjacent	0	0	0	0	0	0	0	0	0	0	bersebelahan
adjective	0	0	0	0	0	0	0	0	0	0	kata sifat
adjoining	0	0	0	0	0	0	0	0	0	0	berdampingan
adjourn	0	0	0	0	0	0	0	0	0	0	menunda
adjournment	0	0	0	0	0	0	0	0	0	0	penundaan
adjudicate	0	0	0	1	0	1	0	0	0	0	mengadili
adjudication	0	0	0	0	0	0	0	0	0	0	pengadilan
adjunct	0	0	0	0	0	0	1	0	0	0	tambahan
adjust	0	0	0	0	0	0	0	0	0	0	menyesuaikan
adjustment	0	0	0	0	0	0	0	0	0	0	pengaturan
adjuvant	0	0	0	0	0	0	0	0	0	0	pembantu
administer	0	0	0	0	0	0	0	0	0	0	mengelola
administration	0	0	0	0	0	0	0	0	0	0	administrasi
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	terpuji
admiral	0	0	0	0	0	0	1	0	0	1	laksamana
admiralty	0	0	0	0	0	0	0	0	0	0	laksamana
admiration	0	0	0	0	1	0	1	0	0	1	kekaguman
admire	0	0	0	0	0	0	1	0	0	1	mengagumi
admirer	0	0	0	0	0	0	1	0	0	0	pengagum
admissibility	0	0	0	0	0	0	0	0	0	0	penerimaan
admissible	0	0	0	0	0	0	1	0	0	1	dapat diterima
admission	0	0	0	0	0	0	0	0	0	0	penerimaan
admit	0	0	0	0	0	0	0	0	0	0	mengakui
admittance	0	0	0	0	0	0	0	0	0	0	masuk
admitted	0	0	0	0	0	0	0	0	0	0	diterima
admitting	0	0	0	0	0	0	0	0	0	0	mengakui
admixture	0	0	0	0	0	0	0	0	0	0	campuran
admonition	0	0	0	1	0	1	0	0	0	0	peringatan
ado	0	0	0	0	0	0	0	0	0	0	ribut
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	masa remaja
adolescent	0	0	0	0	0	0	0	0	0	0	remaja
adopt	0	0	0	0	0	0	0	0	0	0	mengambil
adoption	0	0	0	0	0	0	0	0	0	0	adopsi
adorable	0	0	0	0	1	0	1	0	0	0	menggemaskan
adoration	0	0	0	0	1	0	1	0	0	1	pemujaan
adore	0	1	0	0	1	0	1	0	0	1	cinta
adorn	0	0	0	0	0	0	0	0	0	0	menghiasi
adornment	0	0	0	0	0	0	0	0	0	0	perhiasan
adrift	0	1	0	1	0	1	0	1	0	0	terpaut
adult	0	0	0	0	0	0	0	0	0	0	dewasa
adulterated	0	0	0	0	0	1	0	0	0	0	dipalsukan
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	maju
advanced	0	0	0	0	0	0	1	0	0	0	canggih
advancement	0	0	0	0	0	0	1	0	0	0	kemajuan
advancing	0	0	0	0	0	0	0	0	0	0	maju
advantage	0	0	0	0	0	0	1	0	0	0	keuntungan
advantageous	0	0	0	0	0	0	1	0	0	0	menguntungkan
advent	0	1	0	0	1	0	1	0	0	1	kedatangan
adventure	0	1	0	0	0	0	1	0	0	0	petualangan
adventurer	0	0	0	0	0	0	0	0	0	0	petualang
adventurous	0	0	0	0	0	0	1	0	0	0	petualang
adversary	1	0	0	0	0	1	0	0	0	0	musuh
adverse	1	0	1	1	0	1	0	1	0	0	merugikan
adversity	1	0	0	1	0	1	0	1	0	0	kesulitan
advertise	0	0	0	0	0	0	0	0	0	0	mengiklankan
advertisement	0	0	0	0	0	0	0	0	0	0	iklan
advice	0	0	0	0	0	0	0	0	0	1	nasihat
advisable	0	0	0	0	0	0	1	0	0	1	sebaiknya
advise	0	0	0	0	0	0	1	0	0	1	menasihati
advised	0	0	0	0	0	0	0	0	0	1	disarankan
advisement	0	0	0	0	0	0	0	0	0	0	saran
adviser	0	0	0	0	0	0	1	0	0	1	penasihat
advocacy	1	1	0	0	1	0	1	0	0	1	pembelaan
advocate	0	0	0	0	0	0	0	0	0	1	menganjurkan
aegis	0	0	0	0	0	0	0	0	0	0	perlindungan
aeration	0	0	0	0	0	0	0	0	0	0	aerasi
aerial	0	0	0	0	0	0	0	0	0	0	udara
aerodrome	0	0	0	0	0	0	0	0	0	0	lapangan terbang
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	pesawat terbang
aesthetic	0	0	0	0	0	0	1	0	0	0	estetis
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologi
afar	0	0	0	0	0	0	0	0	0	0	jauh
affable	0	0	0	0	0	0	1	0	0	0	ramah
affair	0	0	0	0	0	0	0	0	0	0	perselingkuhan
affecting	0	0	0	0	0	0	0	0	0	0	mempengaruhi
affection	0	0	0	0	1	0	1	0	0	1	kasih sayang
affections	0	0	0	0	0	0	0	0	0	0	kasih sayang
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	surat sumpah
affiliated	0	0	0	0	0	0	1	0	0	0	berafiliasi
affiliation	0	0	0	0	0	0	0	0	0	0	afiliasi
affinity	0	0	0	0	0	0	0	0	0	0	afinitas
affirm	0	0	0	0	0	0	1	0	0	1	menegaskan
affirmation	0	0	0	0	0	0	1	0	0	0	afirmasi
affirmative	0	0	0	0	0	0	1	0	0	0	setuju
affirmatively	0	0	0	0	0	0	1	0	0	1	dengan tegas
affix	0	0	0	0	0	0	0	0	0	0	afiks
afflict	0	0	0	1	0	1	0	1	0	0	menimpa
afflicted	0	0	0	0	0	1	0	0	0	0	menderita
affliction	0	0	1	1	0	1	0	1	0	0	penderitaan
affluence	0	0	0	0	1	0	1	0	0	0	kemakmuran
affluent	0	0	0	0	0	0	1	0	0	0	makmur
afford	0	0	0	0	0	0	1	0	0	0	memberi
affront	1	0	1	1	0	1	0	1	1	0	penghinaan
afield	0	0	0	0	0	0	0	0	0	0	jauh
afore	0	0	0	0	0	0	0	0	0	0	di depan
aforementioned	0	0	0	0	0	0	0	0	0	0	tersebut di atas
aforesaid	0	0	0	0	0	0	0	0	0	0	tersebut di atas
afraid	0	0	0	1	0	1	0	0	0	0	takut
afresh	0	0	0	0	0	0	0	0	0	0	lagi
aft	0	0	0	0	0	0	0	0	0	0	buritan
aftermath	1	0	1	1	0	1	0	1	0	0	akibat
afternoon	0	0	0	0	0	0	0	0	0	0	sore
aftertaste	0	0	0	0	0	1	0	0	0	0	sisa rasa
afterthought	0	0	0	0	0	0	0	0	0	0	renungan
aga	0	0	0	1	0	0	1	0	0	1	lagi
agate	0	0	0	0	0	0	0	0	0	0	batu akik
age	0	0	0	0	0	0	0	0	0	0	usia
aged	0	0	0	0	0	0	0	0	0	0	berumur
agency	0	0	0	0	0	0	0	0	0	0	agen
agent	0	0	0	0	0	0	0	0	0	0	agen
agglomeration	0	0	0	0	0	0	0	0	0	0	pengelompokan
aggravated	1	0	0	0	0	1	0	0	0	0	diperparah
aggravating	1	0	0	0	0	1	0	1	0	0	memberatkan
aggravation	1	0	1	0	0	1	0	0	0	0	kejengkelan
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	pengumpulan
aggression	1	0	0	1	0	1	0	0	0	0	agresi
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	terperanjat
agile	0	0	0	0	0	0	1	0	0	0	lincah
agility	0	0	0	0	0	0	1	0	0	0	kelincahan
agitated	1	0	0	0	0	1	0	0	0	0	gelisah
agitation	1	0	0	0	0	1	0	0	0	0	agitasi
agnostic	0	0	0	0	0	0	0	0	0	0	agnostis
ago	0	0	0	0	0	0	0	0	0	0	yang lalu
agonizing	0	0	0	1	0	1	0	0	0	0	menyiksa
agony	1	0	0	1	0	1	0	1	0	0	rasa sakit
agree	0	0	0	0	0	0	1	0	0	0	setuju
agreeable	0	0	0	0	0	0	1	0	0	1	menyenangkan
agreed	0	0	0	0	0	0	1	0	0	1	sepakat
agreeing	0	0	0	0	0	0	1	0	0	1	setuju
agreement	0	0	0	0	0	0	1	0	0	1	persetujuan
agricultural	0	0	0	0	0	0	0	0	0	0	pertanian
agriculture	0	0	0	0	0	0	1	0	0	0	pertanian
aground	0	0	0	0	0	1	0	0	0	0	kandas
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	di depan
aid	0	0	0	0	0	0	1	0	0	0	bantuan
aiding	0	0	0	0	0	0	1	0	0	0	membantu
ail	0	0	0	0	0	1	0	1	0	0	bersakit
ailing	0	0	0	1	0	1	0	1	0	0	sakit
ailment	0	0	0	0	0	0	0	0	0	0	penyakit
aim	0	0	0	0	0	0	0	0	0	0	tujuan
aimless	0	0	0	0	0	1	0	0	0	0	tanpa tujuan
air	0	0	0	0	0	0	0	0	0	0	udara
airbag	0	0	0	0	0	0	0	0	0	0	kantong udara
airlift	0	0	0	0	0	0	0	0	0	0	angkutan udara
airline	0	0	0	0	0	0	0	0	0	0	perusahaan penerbangan
airman	0	0	0	0	0	0	0	0	0	0	pilot
airplane	0	0	0	0	0	0	0	0	0	0	pesawat terbang
airport	0	1	0	0	0	0	0	0	0	0	Bandara
airs	0	0	1	0	0	1	0	0	0	0	mengudara
airship	0	0	0	0	0	0	0	0	0	0	kapal udara
aisle	0	0	0	0	0	0	0	0	0	0	lorong
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	terbuka sedikit
akin	0	0	0	0	0	0	0	0	0	1	mirip
alabaster	0	0	0	0	0	0	1	0	0	0	pualam
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	menggelisahkan
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	ceruk
alert	0	0	0	0	0	0	0	0	0	0	peringatan
alertness	0	1	0	1	0	0	1	0	1	0	kewaspadaan
alerts	0	1	0	1	0	0	0	0	1	0	peringatan
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljabar
algebraic	0	0	0	0	0	0	0	0	0	0	aljabar
algorithm	0	0	0	0	0	0	0	0	0	0	algoritma
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	asing
alienate	1	0	1	0	0	1	0	0	0	0	menjauhkan
alienated	0	0	0	0	0	1	0	1	0	0	terasing
alienation	1	0	1	1	0	1	0	1	0	0	pengasingan
alight	0	0	0	0	0	0	0	0	0	0	turun
aligned	0	0	0	0	0	0	0	0	0	0	selaras
alignment	0	0	0	0	0	0	0	0	0	0	penyelarasan
alike	0	0	0	0	0	0	0	0	0	0	sama
alimentation	0	0	0	0	0	0	1	0	0	0	makanan
alimony	0	0	0	0	0	1	0	0	0	0	alimentasi
aliquot	0	0	0	0	0	0	0	0	0	0	alikuot
alive	0	1	0	0	1	0	1	0	0	1	hidup
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloid
allay	0	0	0	0	0	0	1	0	0	0	menenangkan
allegation	1	0	0	0	0	1	0	0	0	0	tuduhan
allege	0	0	0	0	0	1	0	0	0	0	mengatakan
alleged	0	0	0	0	0	0	0	0	0	0	dugaan
allegiance	0	0	0	0	0	0	1	0	0	1	kesetiaan
allegorical	0	0	0	0	0	0	0	0	0	0	alegoris
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	alegro
alleviate	0	0	0	0	0	0	1	0	0	0	meringankan
alleviation	0	0	0	0	0	0	1	0	0	0	pengurangan
alley	0	0	0	0	0	0	0	0	0	0	gang
alliance	0	0	0	0	0	0	0	0	0	1	persekutuan
allied	0	0	0	0	0	0	1	0	0	1	bersekutu
alligator	0	0	0	0	0	0	0	0	0	0	buaya
allocate	0	0	0	0	0	0	0	0	0	0	mengalokasikan
allocation	0	0	0	0	0	0	0	0	0	0	alokasi
allot	0	0	0	0	0	0	0	0	0	0	membagikan
allotment	0	0	0	0	0	0	0	0	0	0	peruntukan
allowable	0	0	0	0	0	0	1	0	0	0	diperbolehkan
allowance	0	0	0	0	0	0	0	0	0	0	uang saku
allowed	0	0	0	0	0	0	0	0	0	0	diizinkan
alloy	0	0	0	0	0	0	0	0	0	0	paduan
allure	0	1	0	0	1	0	1	0	1	0	daya tarik
alluring	0	0	0	0	0	0	1	0	0	0	menarik
allusion	0	0	0	0	0	0	0	0	0	0	kiasan
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	sekutu
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	mahakuasa
aloft	0	0	0	0	0	0	0	0	0	0	tinggi
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	di samping
aloof	0	0	0	0	0	1	0	0	0	0	jauh
aloud	0	0	0	0	0	0	0	0	0	0	nyaring
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetis
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	mengubah
alteration	0	0	0	0	0	0	0	0	0	0	perubahan
altercation	1	0	0	0	0	1	0	0	0	0	pertengkaran
altered	0	0	0	0	0	0	0	0	0	0	diubah
alternate	0	0	0	0	0	0	0	0	0	0	bergantian
alternative	0	0	0	0	0	0	0	0	0	0	alternatif
altitude	0	0	0	0	0	0	0	0	0	0	ketinggian
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	sama sekali
alumnus	0	0	0	0	0	0	0	0	0	0	lulusan
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	campuran
amalgamation	0	0	0	0	0	0	0	0	0	0	penggabungan
amass	0	0	0	0	0	0	0	0	0	0	mengumpulkan
amateur	0	0	0	0	0	0	0	0	0	0	amatir
amaze	0	0	0	0	0	0	0	0	1	0	menakjubkan
amazement	0	0	0	0	0	0	0	0	0	0	keheranan
amazingly	0	0	0	0	1	0	1	0	1	0	luar biasa
ambassador	0	0	0	0	0	0	1	0	0	1	duta besar
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	Sekelilingnya
ambiguity	0	0	0	0	0	0	0	0	0	0	kemenduaan
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigu
ambit	0	0	0	0	0	0	0	0	0	0	berambisi
ambition	0	1	0	0	1	0	1	0	0	1	ambisi
ambitious	0	0	0	0	0	0	0	0	0	0	ambisius
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	penyergapan
ameliorate	0	0	0	0	0	0	1	0	0	0	memperbaiki
amen	0	0	0	0	1	0	1	0	0	1	Amin
amenable	0	0	0	0	0	0	1	0	0	0	menerima
amend	0	0	0	0	0	0	1	0	0	0	mengubah
amendment	0	0	0	0	0	0	0	0	0	0	amandemen
amends	0	0	0	0	0	0	1	0	0	0	mengubah
amenity	0	0	0	0	0	0	1	0	0	0	kenyamanan
amethyst	0	0	0	0	0	0	0	0	0	0	kecubung
amiable	0	0	0	0	0	0	1	0	0	0	ramah
amicable	0	0	0	0	1	0	1	0	0	0	ramah tamah
amid	0	0	0	0	0	0	0	0	0	0	di tengah
amidst	0	0	0	0	0	0	0	0	0	0	di tengah-tengah
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	amunisi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisasi
amount	0	0	0	0	0	0	0	0	0	0	jumlah
amour	0	1	0	0	1	0	1	0	0	1	cinta
ampersand	0	0	0	0	0	0	0	0	0	0	simbol untuk 'dan
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibi
amphibious	0	0	0	0	0	0	0	0	0	0	amfibi
amphitheater	0	0	0	0	0	0	0	0	0	0	ampiteater
amplification	0	0	0	0	0	0	0	0	0	0	amplifikasi
