English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Nepali Word
absence	0	0	0	1	0	1	0	1	0	0	अनुपस्थिति
absent	0	0	0	0	0	1	0	1	0	0	अनुपस्थित
absentee	0	0	0	0	0	1	0	1	0	0	अनुपस्थित
absenteeism	0	0	0	0	0	1	0	0	0	0	अनुपस्थिति
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	निरपेक्ष
absolution	0	0	0	0	1	0	1	0	0	1	मुक्ति
absorbed	0	0	0	0	0	0	1	0	0	0	अवशोषित
absorbent	0	0	0	0	0	0	0	0	0	0	शोषक
absorbing	0	0	0	0	0	0	0	0	0	0	अवशोषित
absorption	0	0	0	0	0	0	0	0	0	0	अवशोषण
abstain	0	0	0	0	0	0	0	0	0	0	परहेज
abstention	0	0	0	0	0	0	0	0	0	0	परित्याग
abstinence	0	0	0	0	0	0	0	0	0	0	परहेज
abstract	0	0	0	0	0	0	0	0	0	0	सार
abstraction	0	0	0	0	0	0	0	0	0	0	अमूर्तता
absurd	0	0	0	0	0	1	0	0	0	0	बेतुका
absurdity	0	0	0	0	0	1	0	0	0	0	मूर्खता
abundance	0	1	1	0	1	1	1	0	0	1	प्रचुरता
abundant	0	0	0	0	1	0	1	0	0	0	प्रचुर मात्रामा
abuse	1	0	1	1	0	1	0	1	0	0	दुरुपयोग
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	अथाह
abyss	0	0	0	1	0	1	0	1	0	0	रसातल
academic	0	0	0	0	0	0	1	0	0	1	शैक्षिक
academy	0	0	0	0	0	0	1	0	0	0	एकेडेमी
accede	0	0	0	0	0	0	0	0	0	0	स्वीकार
accelerate	0	1	0	0	0	0	0	0	0	0	गति दिनु
acceleration	0	0	0	0	0	0	0	0	0	0	प्रवेग
accent	0	0	0	0	0	0	0	0	0	0	उच्चारण
accentuate	0	0	0	0	0	0	0	0	0	0	जोड दिनुहोस्
accept	0	0	0	0	0	0	0	0	0	0	स्वीकार गर्नुहोस्
acceptable	0	0	0	0	0	0	1	0	0	0	स्वीकार्य
acceptance	0	0	0	0	0	0	1	0	0	0	स्वीकृति
access	0	0	0	0	0	0	0	0	0	0	पहुँच
accessible	0	0	0	0	0	0	1	0	0	0	पहुँचयोग्य
accession	0	0	0	0	0	0	0	0	0	0	प्रवेश
accessory	0	0	0	0	0	0	0	0	0	0	सहायक
accident	0	0	0	1	0	1	0	1	1	0	दुर्घटना
accidental	0	0	0	1	0	1	0	0	1	0	आकस्मिक
accidentally	0	0	0	0	0	0	0	0	1	0	संयोगवश
accolade	0	1	0	0	1	0	1	0	1	1	प्रशंसा
accommodate	0	0	0	0	0	0	0	0	0	0	समायोजन
accommodation	0	0	0	0	0	0	1	0	0	0	आवास
accompaniment	0	1	0	0	1	0	1	0	0	1	संगत
accompany	0	0	0	0	0	0	0	0	0	0	साथ दिने
accompanying	0	0	0	0	0	0	0	0	0	0	साथमा रहेका
accomplice	0	0	0	0	0	0	0	0	0	0	सहयोगी
accomplish	0	0	0	0	1	0	1	0	0	0	पूरा गर्ने
accomplished	0	0	0	0	1	0	1	0	0	0	पूरा भयो
accomplishment	0	0	0	0	0	0	1	0	0	0	उपलब्धि
accord	0	0	0	0	0	0	1	0	0	1	सम्झौता
accordance	0	0	0	0	0	0	0	0	0	0	अनुसार
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	खाता
accountability	0	0	0	0	0	0	1	0	0	1	जवाफदेहिता
accountable	0	0	0	0	0	0	1	0	0	1	जवाफदेही
accountant	0	0	0	0	0	0	0	0	0	1	लेखापाल
accounting	0	0	0	0	0	0	0	0	0	0	लेखा
accounts	0	0	0	0	0	0	0	0	0	1	खाताहरू
accredited	0	0	0	0	0	0	1	0	0	1	मान्यता प्राप्त
accretion	0	0	0	0	0	0	0	0	0	0	वृद्धि
accrue	0	0	0	0	0	0	0	0	0	0	जम्मा गर्ने
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	जम्मा गर्ने
accumulation	0	0	0	0	0	0	0	0	0	0	संचय
accuracy	0	0	0	0	0	0	0	0	0	0	शुद्धता
accurate	0	0	0	0	0	0	1	0	0	1	सही
accursed	1	0	0	1	0	1	0	1	0	0	शापित
accusation	1	0	1	0	0	1	0	0	0	0	आरोप
accusative	0	0	0	0	0	1	0	0	0	0	आरोप लगाउने
accused	1	0	0	1	0	1	0	0	0	0	आरोपित
accuser	1	0	0	1	0	1	0	0	0	0	आरोप लगाउने
accusing	1	0	0	1	0	1	0	0	0	0	आरोप लगाउँदै
accustomed	0	0	0	0	0	0	0	0	0	0	अभ्यस्त
ace	0	0	0	0	0	0	1	0	0	0	ऐस
acetic	0	0	0	0	0	0	0	0	0	0	एसिटिक
ache	0	0	0	0	0	1	0	1	0	0	दुखाइ
achieve	0	0	0	0	1	0	1	0	0	1	हासिल गर्ने
achievement	0	1	0	0	1	0	1	0	0	1	उपलब्धि
aching	0	0	0	0	0	1	0	1	0	0	दुख्ने
acid	0	0	0	0	0	1	0	0	0	0	एसिड
acidity	0	0	0	0	0	0	0	0	0	0	अम्लता
acknowledge	0	0	0	0	0	0	0	0	0	0	स्वीकार
acknowledged	0	0	0	0	0	0	0	0	0	0	स्वीकार गरियो
acknowledgment	0	0	0	0	0	0	1	0	0	0	स्वीकृति
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ध्वनिक
acoustics	0	0	0	0	0	0	0	0	0	0	ध्वनिकी
acquaint	0	0	0	0	0	0	0	0	0	0	परिचित
acquaintance	0	0	0	0	0	0	0	0	0	0	परिचित
acquainted	0	0	0	0	0	0	0	0	0	0	परिचित
acquiescence	0	0	0	0	0	0	0	0	0	0	सहमति
acquire	0	0	0	0	0	0	1	0	0	0	प्राप्त गर्ने
acquiring	0	1	0	0	0	0	1	0	0	0	प्राप्त गर्दै
acquisition	0	0	0	0	0	0	0	0	0	0	अधिग्रहण
acquisitions	0	0	0	0	0	0	0	0	0	0	अधिग्रहणहरू
acreage	0	0	0	0	0	0	0	0	0	0	क्षेत्रफल
acres	0	0	0	0	0	0	0	0	0	0	एकड
acrobat	0	0	0	1	1	0	1	0	0	1	एक्रोबेट
act	0	0	0	0	0	0	0	0	0	0	कार्य
acting	0	0	0	0	0	0	0	0	0	0	अभिनय
action	0	0	0	0	0	0	1	0	0	0	कार्य
actionable	1	0	1	0	0	1	0	0	0	0	कारबाही योग्य
active	0	0	0	0	0	0	0	0	0	0	सक्रिय
activity	0	0	0	0	0	0	0	0	0	0	गतिविधि
actor	0	0	0	0	0	0	0	0	0	0	अभिनेता
actual	0	0	0	0	0	0	1	0	0	0	वास्तविक
actuality	0	0	0	0	0	0	0	0	0	0	वास्तविकता
actuary	0	0	0	0	0	0	0	0	0	0	वास्तविक
acuity	0	0	0	0	0	0	1	0	0	0	तीक्ष्णता
acumen	0	0	0	0	0	0	1	0	0	0	कुशाग्रता
acupuncture	0	0	0	0	0	0	0	0	0	0	एक्यूपंक्चर
acutely	0	0	0	0	0	0	0	0	0	0	तीव्र रूपमा
adage	0	0	0	0	0	0	0	0	0	0	कहावत
adamant	0	0	0	0	0	0	0	0	0	0	अडिग
adapt	0	0	0	0	0	0	1	0	0	0	अनुकूल
adaptable	0	0	0	0	0	0	1	0	0	0	अनुकूलन योग्य
add	0	0	0	0	0	0	0	0	0	0	थप्नुहोस्
added	0	0	0	0	0	0	0	0	0	0	थपियो
addendum	0	0	0	0	0	0	0	0	0	0	परिशिष्ट
adder	1	0	1	1	0	1	0	1	0	0	योजक
addiction	0	0	0	0	0	1	0	0	0	0	लत
addition	0	0	0	0	0	0	0	0	0	0	थप
additional	0	0	0	0	0	0	0	0	0	0	अतिरिक्त
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	ठेगाना
addressee	0	0	0	0	0	0	0	0	0	0	सम्बोधनकर्ता
addresses	0	1	0	0	0	0	1	0	0	0	ठेगानाहरू
adept	0	0	0	0	0	0	1	0	0	0	निपुण
adequacy	0	0	0	0	0	0	1	0	0	0	पर्याप्तता
adequate	0	0	0	0	0	0	0	0	0	0	पर्याप्त
adhere	0	0	0	0	0	0	0	0	0	0	पालन
adherence	0	0	0	0	0	0	0	0	0	0	पालना
adherent	0	0	0	0	0	0	0	0	0	0	अनुयायी
adhering	0	0	0	0	0	0	0	0	0	1	पालन गर्दै
adhesion	0	0	0	0	0	0	0	0	0	0	आसंजन
adhesive	0	0	0	0	0	0	0	0	0	0	टाँस्ने
adieu	0	0	0	0	0	0	0	0	0	0	बिदाइ
adipose	0	0	0	0	0	1	0	0	0	0	वसा
adjacency	0	0	0	0	0	0	0	0	0	0	आसन्नता
adjacent	0	0	0	0	0	0	0	0	0	0	छेउछाउ
adjective	0	0	0	0	0	0	0	0	0	0	विशेषण
adjoining	0	0	0	0	0	0	0	0	0	0	आसन्न
adjourn	0	0	0	0	0	0	0	0	0	0	स्थगित
adjournment	0	0	0	0	0	0	0	0	0	0	स्थगित
adjudicate	0	0	0	1	0	1	0	0	0	0	न्याय गर्ने
adjudication	0	0	0	0	0	0	0	0	0	0	निर्णय
adjunct	0	0	0	0	0	0	1	0	0	0	सहायक
adjust	0	0	0	0	0	0	0	0	0	0	समायोजन गर्नुहोस्
adjustment	0	0	0	0	0	0	0	0	0	0	समायोजन
adjuvant	0	0	0	0	0	0	0	0	0	0	सहायक
administer	0	0	0	0	0	0	0	0	0	0	प्रशासन
administration	0	0	0	0	0	0	0	0	0	0	प्रशासन
administrative	0	0	0	0	0	0	0	0	0	1	प्रशासनिक
admirable	0	0	0	0	1	0	1	0	0	1	प्रशंसनीय
admiral	0	0	0	0	0	0	1	0	0	1	एडमिरल
admiralty	0	0	0	0	0	0	0	0	0	0	एडमिरल्टी
admiration	0	0	0	0	1	0	1	0	0	1	प्रशंसा
admire	0	0	0	0	0	0	1	0	0	1	प्रशंसा
admirer	0	0	0	0	0	0	1	0	0	0	प्रशंसक
admissibility	0	0	0	0	0	0	0	0	0	0	स्वीकार्यता
admissible	0	0	0	0	0	0	1	0	0	1	स्वीकार्य
admission	0	0	0	0	0	0	0	0	0	0	भर्ना
admit	0	0	0	0	0	0	0	0	0	0	स्वीकार
admittance	0	0	0	0	0	0	0	0	0	0	प्रवेश
admitted	0	0	0	0	0	0	0	0	0	0	दाखिल भएको
admitting	0	0	0	0	0	0	0	0	0	0	स्वीकार गर्दै
admixture	0	0	0	0	0	0	0	0	0	0	मिश्रण
admonition	0	0	0	1	0	1	0	0	0	0	चेतावनी
ado	0	0	0	0	0	0	0	0	0	0	अडान
adobe	0	0	0	0	0	0	0	0	0	0	एडोब
adolescence	0	0	0	0	0	0	0	0	0	0	किशोरावस्था
adolescent	0	0	0	0	0	0	0	0	0	0	किशोर
adopt	0	0	0	0	0	0	0	0	0	0	अपनाउने
adoption	0	0	0	0	0	0	0	0	0	0	ग्रहण
adorable	0	0	0	0	1	0	1	0	0	0	मनमोहक
adoration	0	0	0	0	1	0	1	0	0	1	आराधना
adore	0	1	0	0	1	0	1	0	0	1	पूजा
adorn	0	0	0	0	0	0	0	0	0	0	सजाउनु
adornment	0	0	0	0	0	0	0	0	0	0	सजावट
adrift	0	1	0	1	0	1	0	1	0	0	बग्ने
adult	0	0	0	0	0	0	0	0	0	0	वयस्क
adulterated	0	0	0	0	0	1	0	0	0	0	मिसावट
adultery	0	0	1	0	0	1	0	1	0	0	व्यभिचार
advance	0	1	0	1	1	0	1	0	1	0	अग्रिम
advanced	0	0	0	0	0	0	1	0	0	0	उन्नत
advancement	0	0	0	0	0	0	1	0	0	0	प्रगति
advancing	0	0	0	0	0	0	0	0	0	0	अगाडि बढ्दै
advantage	0	0	0	0	0	0	1	0	0	0	फाइदा
advantageous	0	0	0	0	0	0	1	0	0	0	फाइदाजनक
advent	0	1	0	0	1	0	1	0	0	1	आगमन
adventure	0	1	0	0	0	0	1	0	0	0	साहसिक
adventurer	0	0	0	0	0	0	0	0	0	0	साहसी
adventurous	0	0	0	0	0	0	1	0	0	0	साहसिक
adversary	1	0	0	0	0	1	0	0	0	0	विरोधी
adverse	1	0	1	1	0	1	0	1	0	0	प्रतिकूल
adversity	1	0	0	1	0	1	0	1	0	0	प्रतिकूलता
advertise	0	0	0	0	0	0	0	0	0	0	विज्ञापन
advertisement	0	0	0	0	0	0	0	0	0	0	विज्ञापन
advice	0	0	0	0	0	0	0	0	0	1	सल्लाह
advisable	0	0	0	0	0	0	1	0	0	1	उचित
advise	0	0	0	0	0	0	1	0	0	1	सल्लाह
advised	0	0	0	0	0	0	0	0	0	1	सल्लाह दिए
advisement	0	0	0	0	0	0	0	0	0	0	सल्लाह
adviser	0	0	0	0	0	0	1	0	0	1	सल्लाहकार
advocacy	1	1	0	0	1	0	1	0	0	1	वकालत
advocate	0	0	0	0	0	0	0	0	0	1	अधिवक्ता
aegis	0	0	0	0	0	0	0	0	0	0	एजिस
aeration	0	0	0	0	0	0	0	0	0	0	वातन
aerial	0	0	0	0	0	0	0	0	0	0	हवाई
aerodrome	0	0	0	0	0	0	0	0	0	0	एयरोड्रोम
aerodynamics	0	0	0	0	0	0	0	0	0	0	वायुगतिकी
aeronautics	0	0	0	0	0	0	0	0	0	0	वैमानिकी
aeroplane	0	0	0	0	0	0	0	0	0	0	हवाईजहाज
aesthetic	0	0	0	0	0	0	1	0	0	0	सौन्दर्य
aesthetics	0	0	0	0	1	0	1	0	0	0	सौन्दर्यशास्त्र
aetiology	0	0	0	0	0	0	0	0	0	0	एटियोलोजी
afar	0	0	0	0	0	0	0	0	0	0	टाढा
affable	0	0	0	0	0	0	1	0	0	0	मिलनसार
affair	0	0	0	0	0	0	0	0	0	0	सम्बन्ध
affecting	0	0	0	0	0	0	0	0	0	0	असर गर्ने
affection	0	0	0	0	1	0	1	0	0	1	स्नेह
affections	0	0	0	0	0	0	0	0	0	0	स्नेह
affiche	0	0	0	0	0	0	0	0	0	0	अफिस
affidavit	0	0	0	0	0	0	0	0	0	0	शपथ पत्र
affiliated	0	0	0	0	0	0	1	0	0	0	सम्बद्ध
affiliation	0	0	0	0	0	0	0	0	0	0	सम्बद्धता
affinity	0	0	0	0	0	0	0	0	0	0	आत्मीयता
affirm	0	0	0	0	0	0	1	0	0	1	पुष्टि
affirmation	0	0	0	0	0	0	1	0	0	0	पुष्टि
affirmative	0	0	0	0	0	0	1	0	0	0	सकारात्मक
affirmatively	0	0	0	0	0	0	1	0	0	1	सकारात्मक रूपमा
affix	0	0	0	0	0	0	0	0	0	0	जोड्नु
afflict	0	0	0	1	0	1	0	1	0	0	पीडा
afflicted	0	0	0	0	0	1	0	0	0	0	पीडित
affliction	0	0	1	1	0	1	0	1	0	0	दु:ख
affluence	0	0	0	0	1	0	1	0	0	0	समृद्धि
affluent	0	0	0	0	0	0	1	0	0	0	धनी
afford	0	0	0	0	0	0	1	0	0	0	किन्न
affront	1	0	1	1	0	1	0	1	1	0	अपमान
afield	0	0	0	0	0	0	0	0	0	0	टाढा
afore	0	0	0	0	0	0	0	0	0	0	अगाडि
aforementioned	0	0	0	0	0	0	0	0	0	0	माथि उल्लेख गरिएको
aforesaid	0	0	0	0	0	0	0	0	0	0	माथि उल्लेख गरिएको
afraid	0	0	0	1	0	1	0	0	0	0	डराउनु
afresh	0	0	0	0	0	0	0	0	0	0	नयाँ
aft	0	0	0	0	0	0	0	0	0	0	पछाडि
aftermath	1	0	1	1	0	1	0	1	0	0	पछिको
afternoon	0	0	0	0	0	0	0	0	0	0	दिउँसो
aftertaste	0	0	0	0	0	1	0	0	0	0	पछिको स्वाद
afterthought	0	0	0	0	0	0	0	0	0	0	पछिको विचार
aga	0	0	0	1	0	0	1	0	0	1	अगा
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	उमेर
aged	0	0	0	0	0	0	0	0	0	0	वृद्ध
agency	0	0	0	0	0	0	0	0	0	0	एजेन्सी
agent	0	0	0	0	0	0	0	0	0	0	एजेन्ट
agglomeration	0	0	0	0	0	0	0	0	0	0	जमघट
aggravated	1	0	0	0	0	1	0	0	0	0	बढेको
aggravating	1	0	0	0	0	1	0	1	0	0	उत्तेजक
aggravation	1	0	1	0	0	1	0	0	0	0	उत्तेजना
aggregate	0	0	0	0	0	0	0	0	0	0	कुल
aggregation	0	0	0	0	0	0	0	0	0	0	एकत्रीकरण
aggression	1	0	0	1	0	1	0	0	0	0	आक्रामकता
aggressive	1	0	0	1	0	1	0	0	0	0	आक्रामक
aggressor	1	0	0	1	0	1	0	0	0	0	आक्रमणकारी
aghast	0	0	1	1	0	1	0	0	1	0	स्तब्ध
agile	0	0	0	0	0	0	1	0	0	0	फुर्तिलो
agility	0	0	0	0	0	0	1	0	0	0	चपलता
agitated	1	0	0	0	0	1	0	0	0	0	उत्तेजित
agitation	1	0	0	0	0	1	0	0	0	0	आन्दोलन
agnostic	0	0	0	0	0	0	0	0	0	0	अज्ञेयवादी
ago	0	0	0	0	0	0	0	0	0	0	पहिले
agonizing	0	0	0	1	0	1	0	0	0	0	पीडादायी
agony	1	0	0	1	0	1	0	1	0	0	पीडा
agree	0	0	0	0	0	0	1	0	0	0	सहमत
agreeable	0	0	0	0	0	0	1	0	0	1	सहमत
agreed	0	0	0	0	0	0	1	0	0	1	सहमत
agreeing	0	0	0	0	0	0	1	0	0	1	सहमत
agreement	0	0	0	0	0	0	1	0	0	1	सम्झौता
agricultural	0	0	0	0	0	0	0	0	0	0	कृषि
agriculture	0	0	0	0	0	0	1	0	0	0	कृषि
aground	0	0	0	0	0	1	0	0	0	0	जमिनमा
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	अगाडि
aid	0	0	0	0	0	0	1	0	0	0	सहायता
aiding	0	0	0	0	0	0	1	0	0	0	सहायता गर्दै
ail	0	0	0	0	0	1	0	1	0	0	रोग
ailing	0	0	0	1	0	1	0	1	0	0	बिरामी
ailment	0	0	0	0	0	0	0	0	0	0	रोग
aim	0	0	0	0	0	0	0	0	0	0	लक्ष्य
aimless	0	0	0	0	0	1	0	0	0	0	लक्ष्यविहीन
air	0	0	0	0	0	0	0	0	0	0	हावा
airbag	0	0	0	0	0	0	0	0	0	0	एयरब्याग
airlift	0	0	0	0	0	0	0	0	0	0	एयरलिफ्ट
airline	0	0	0	0	0	0	0	0	0	0	एयरलाइन
airman	0	0	0	0	0	0	0	0	0	0	एयरम्यान
airplane	0	0	0	0	0	0	0	0	0	0	हवाईजहाज
airport	0	1	0	0	0	0	0	0	0	0	विमानस्थल
airs	0	0	1	0	0	1	0	0	0	0	हावा
airship	0	0	0	0	0	0	0	0	0	0	हवाई जहाज
aisle	0	0	0	0	0	0	0	0	0	0	गलियारे
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	अजर
akin	0	0	0	0	0	0	0	0	0	1	समान
alabaster	0	0	0	0	0	0	1	0	0	0	अलाबास्टर
alarm	0	0	0	1	0	1	0	0	1	0	अलार्म
alarming	0	0	0	1	0	1	0	0	1	0	डरलाग्दो
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	एल्बम
alchemy	0	0	0	0	0	0	0	0	0	0	कीमिया
alcohol	0	0	0	0	0	0	0	0	0	0	रक्सी
alcoholism	1	0	1	1	0	1	0	1	0	0	रक्सी
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	अलर्ट
alertness	0	1	0	1	0	0	1	0	1	0	सतर्कता
alerts	0	1	0	1	0	0	0	0	1	0	अलर्टहरू
alfalfa	0	0	0	0	0	0	0	0	0	0	अल्फाल्फा
algebra	0	0	0	0	0	0	0	0	0	0	बीजगणित
algebraic	0	0	0	0	0	0	0	0	0	0	बीजगणितीय
algorithm	0	0	0	0	0	0	0	0	0	0	एल्गोरिथ्म
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	विदेशी
alienate	1	0	1	0	0	1	0	0	0	0	अलग गर्नु
alienated	0	0	0	0	0	1	0	1	0	0	अलग गरिएको
alienation	1	0	1	1	0	1	0	1	0	0	अलगाव
alight	0	0	0	0	0	0	0	0	0	0	उकालो
aligned	0	0	0	0	0	0	0	0	0	0	पङ्क्तिबद्ध
alignment	0	0	0	0	0	0	0	0	0	0	पङ्क्तिबद्धता
alike	0	0	0	0	0	0	0	0	0	0	समान
alimentation	0	0	0	0	0	0	1	0	0	0	खानपान
alimony	0	0	0	0	0	1	0	0	0	0	भत्ता
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	जीवित
alkali	0	0	0	0	0	0	0	0	0	0	क्षार
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	अल्ला
allegation	1	0	0	0	0	1	0	0	0	0	आरोप
allege	0	0	0	0	0	1	0	0	0	0	आरोप
alleged	0	0	0	0	0	0	0	0	0	0	आरोप
allegiance	0	0	0	0	0	0	1	0	0	1	निष्ठा
allegorical	0	0	0	0	0	0	0	0	0	0	रूपकात्मक
allegory	0	0	0	0	0	0	0	0	0	0	रूपक
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	कम गर्ने
alleviation	0	0	0	0	0	0	1	0	0	0	उन्मूलन
alley	0	0	0	0	0	0	0	0	0	0	गल्ली
alliance	0	0	0	0	0	0	0	0	0	1	गठबन्धन
allied	0	0	0	0	0	0	1	0	0	1	सहयोगी
alligator	0	0	0	0	0	0	0	0	0	0	मगर
allocate	0	0	0	0	0	0	0	0	0	0	आवंटन
allocation	0	0	0	0	0	0	0	0	0	0	विनियोजन
allot	0	0	0	0	0	0	0	0	0	0	आवंटन
allotment	0	0	0	0	0	0	0	0	0	0	आवंटन
allowable	0	0	0	0	0	0	1	0	0	0	स्वीकार्य
allowance	0	0	0	0	0	0	0	0	0	0	भत्ता
allowed	0	0	0	0	0	0	0	0	0	0	अनुमति छ
alloy	0	0	0	0	0	0	0	0	0	0	मिश्र धातु
allure	0	1	0	0	1	0	1	0	1	0	आकर्षण
alluring	0	0	0	0	0	0	1	0	0	0	आकर्षक
allusion	0	0	0	0	0	0	0	0	0	0	संकेत
alluvial	0	0	0	0	0	0	0	0	0	0	जलोढ़
ally	0	0	0	0	0	0	1	0	0	1	सहयोगी
almanac	0	0	0	0	0	0	0	0	0	0	पंचांग
almighty	0	0	0	0	0	0	1	0	0	0	सर्वशक्तिमान
aloft	0	0	0	0	0	0	0	0	0	0	माथि
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	साथमा
aloof	0	0	0	0	0	1	0	0	0	0	टाढा
aloud	0	0	0	0	0	0	0	0	0	0	ठूलो स्वरमा
alphabet	0	0	0	0	0	0	0	0	0	0	वर्णमाला
alphabetical	0	0	0	0	0	0	0	0	0	0	वर्णमाला
altar	0	0	0	0	0	0	0	0	0	0	वेदी
alter	0	0	0	0	0	0	0	0	0	0	परिवर्तन
alteration	0	0	0	0	0	0	0	0	0	0	परिवर्तन
altercation	1	0	0	0	0	1	0	0	0	0	झगडा
altered	0	0	0	0	0	0	0	0	0	0	परिवर्तन गरियो
alternate	0	0	0	0	0	0	0	0	0	0	वैकल्पिक
alternative	0	0	0	0	0	0	0	0	0	0	वैकल्पिक
altitude	0	0	0	0	0	0	0	0	0	0	उचाइ
alto	0	0	0	0	0	0	0	0	0	0	अल्टो
altogether	0	0	0	0	0	0	0	0	0	0	पूरै
alumnus	0	0	0	0	0	0	0	0	0	0	पूर्व छात्र
alveolar	0	0	0	0	0	0	0	0	0	0	वायुकोशीय
amalgam	0	0	0	0	0	0	0	0	0	0	मिश्रण
amalgamation	0	0	0	0	0	0	0	0	0	0	एकीकरण
amass	0	0	0	0	0	0	0	0	0	0	जम्मा गर्नु
amateur	0	0	0	0	0	0	0	0	0	0	शौकिया
amaze	0	0	0	0	0	0	0	0	1	0	अचम्म
amazement	0	0	0	0	0	0	0	0	0	0	अचम्म
amazingly	0	0	0	0	1	0	1	0	1	0	आश्चर्यजनक रूपमा
ambassador	0	0	0	0	0	0	1	0	0	1	राजदूत
amber	0	0	0	0	0	0	0	0	0	0	एम्बर
ambient	0	0	0	0	0	0	0	0	0	0	परिवेश
ambiguity	0	0	0	0	0	0	0	0	0	0	अस्पष्टता
ambiguous	0	0	0	0	0	1	0	0	0	0	अस्पष्ट
ambit	0	0	0	0	0	0	0	0	0	0	दायरा
ambition	0	1	0	0	1	0	1	0	0	1	महत्वाकांक्षा
ambitious	0	0	0	0	0	0	0	0	0	0	महत्वाकांक्षी
