English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Portuguese Word
accretion	0	0	0	0	0	0	0	0	0	0	acreção
accrue	0	0	0	0	0	0	0	0	0	0	acumular
accueil	0	0	0	0	0	0	1	0	0	0	acusar
accumulate	0	0	0	0	0	0	0	0	0	0	acumular
accumulation	0	0	0	0	0	0	0	0	0	0	acumulação
accuracy	0	0	0	0	0	0	0	0	0	0	precisão
accurate	0	0	0	0	0	0	1	0	0	1	exato
accursed	1	0	0	1	0	1	0	1	0	0	maldito
accusation	1	0	1	0	0	1	0	0	0	0	acusação
accusative	0	0	0	0	0	1	0	0	0	0	acusativo
accused	1	0	0	1	0	1	0	0	0	0	acusado
accuser	1	0	0	1	0	1	0	0	0	0	acusador
accusing	1	0	0	1	0	1	0	0	0	0	acusando
accustomed	0	0	0	0	0	0	0	0	0	0	acostumado
ace	0	0	0	0	0	0	1	0	0	0	ás
acetic	0	0	0	0	0	0	0	0	0	0	acético
ache	0	0	0	0	0	1	0	1	0	0	dor
achieve	0	0	0	0	1	0	1	0	0	1	alcançar
achievement	0	1	0	0	1	0	1	0	0	1	conquista
aching	0	0	0	0	0	1	0	1	0	0	dolorido
acid	0	0	0	0	0	1	0	0	0	0	ácido
acidity	0	0	0	0	0	0	0	0	0	0	acidez
acknowledge	0	0	0	0	0	0	0	0	0	0	reconhecer
acknowledged	0	0	0	0	0	0	0	0	0	0	reconhecido
acknowledgment	0	0	0	0	0	0	1	0	0	0	reconhecimento
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acústico
acoustics	0	0	0	0	0	0	0	0	0	0	acústica
acquaint	0	0	0	0	0	0	0	0	0	0	familiarizar
acquaintance	0	0	0	0	0	0	0	0	0	0	conhecimento
acquainted	0	0	0	0	0	0	0	0	0	0	familiarizado
acquiescence	0	0	0	0	0	0	0	0	0	0	aquiescência
acquire	0	0	0	0	0	0	1	0	0	0	adquirir
acquiring	0	1	0	0	0	0	1	0	0	0	adquirindo
acquisition	0	0	0	0	0	0	0	0	0	0	aquisição
acquisitions	0	0	0	0	0	0	0	0	0	0	aquisições
acreage	0	0	0	0	0	0	0	0	0	0	área cultivada
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	acrobata
act	0	0	0	0	0	0	0	0	0	0	Aja
acting	0	0	0	0	0	0	0	0	0	0	atuação
action	0	0	0	0	0	0	1	0	0	0	ação
actionable	1	0	1	0	0	1	0	0	0	0	acionável
active	0	0	0	0	0	0	0	0	0	0	ativo
activity	0	0	0	0	0	0	0	0	0	0	atividade
actor	0	0	0	0	0	0	0	0	0	0	ator
actual	0	0	0	0	0	0	1	0	0	0	real
actuality	0	0	0	0	0	0	0	0	0	0	realidade
actuary	0	0	0	0	0	0	0	0	0	0	atuário
acuity	0	0	0	0	0	0	1	0	0	0	acuidade
acumen	0	0	0	0	0	0	1	0	0	0	perspicácia
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	agudamente
adage	0	0	0	0	0	0	0	0	0	0	adágio
adamant	0	0	0	0	0	0	0	0	0	0	diamante
adapt	0	0	0	0	0	0	1	0	0	0	adaptar
adaptable	0	0	0	0	0	0	1	0	0	0	adaptável
add	0	0	0	0	0	0	0	0	0	0	adicionar
added	0	0	0	0	0	0	0	0	0	0	adicionado
addendum	0	0	0	0	0	0	0	0	0	0	termo aditivo
adder	1	0	1	1	0	1	0	1	0	0	adicionador
addiction	0	0	0	0	0	1	0	0	0	0	vício
addition	0	0	0	0	0	0	0	0	0	0	Adição
additional	0	0	0	0	0	0	0	0	0	0	adicional
additive	0	0	0	0	0	0	0	0	0	0	aditivo
address	0	0	0	0	0	0	0	0	0	0	Morada
addressee	0	0	0	0	0	0	0	0	0	0	destinatário
addresses	0	1	0	0	0	0	1	0	0	0	endereços
adept	0	0	0	0	0	0	1	0	0	0	adepto
adequacy	0	0	0	0	0	0	1	0	0	0	adequação
adequate	0	0	0	0	0	0	0	0	0	0	adequado
adhere	0	0	0	0	0	0	0	0	0	0	aderir
adherence	0	0	0	0	0	0	0	0	0	0	adesão
adherent	0	0	0	0	0	0	0	0	0	0	aderente
adhering	0	0	0	0	0	0	0	0	0	1	aderente
adhesion	0	0	0	0	0	0	0	0	0	0	adesão
adhesive	0	0	0	0	0	0	0	0	0	0	adesivo
adieu	0	0	0	0	0	0	0	0	0	0	adeus
adipose	0	0	0	0	0	1	0	0	0	0	adiposo
adjacency	0	0	0	0	0	0	0	0	0	0	adjacência
adjacent	0	0	0	0	0	0	0	0	0	0	adjacente
adjective	0	0	0	0	0	0	0	0	0	0	adjetivo
adjoining	0	0	0	0	0	0	0	0	0	0	adjacente
adjourn	0	0	0	0	0	0	0	0	0	0	adiar
adjournment	0	0	0	0	0	0	0	0	0	0	adiamento
adjudicate	0	0	0	1	0	1	0	0	0	0	julgar
adjudication	0	0	0	0	0	0	0	0	0	0	adjudicação
adjunct	0	0	0	0	0	0	1	0	0	0	adjunto
adjust	0	0	0	0	0	0	0	0	0	0	ajustar
adjustment	0	0	0	0	0	0	0	0	0	0	ajustamento
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvante
administer	0	0	0	0	0	0	0	0	0	0	administrador
administration	0	0	0	0	0	0	0	0	0	0	administração
administrative	0	0	0	0	0	0	0	0	0	1	administrativo
admirable	0	0	0	0	1	0	1	0	0	1	admirável
admiral	0	0	0	0	0	0	1	0	0	1	almirante
admiralty	0	0	0	0	0	0	0	0	0	0	almirantado
admiration	0	0	0	0	1	0	1	0	0	1	admiração
admire	0	0	0	0	0	0	1	0	0	1	admirar
admirer	0	0	0	0	0	0	1	0	0	0	admirador
admissibility	0	0	0	0	0	0	0	0	0	0	admissibilidade
admissible	0	0	0	0	0	0	1	0	0	1	admissível
admission	0	0	0	0	0	0	0	0	0	0	admissão
admit	0	0	0	0	0	0	0	0	0	0	Admitem
admittance	0	0	0	0	0	0	0	0	0	0	admissão
admitted	0	0	0	0	0	0	0	0	0	0	admitido
admitting	0	0	0	0	0	0	0	0	0	0	admitindo
admixture	0	0	0	0	0	0	0	0	0	0	mistura
admonition	0	0	0	1	0	1	0	0	0	0	admoestação
ado	0	0	0	0	0	0	0	0	0	0	alvoroço
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescência
adolescent	0	0	0	0	0	0	0	0	0	0	adolescente
adopt	0	0	0	0	0	0	0	0	0	0	adotar
adoption	0	0	0	0	0	0	0	0	0	0	adoção
adorable	0	0	0	0	1	0	1	0	0	0	adorável
adoration	0	0	0	0	1	0	1	0	0	1	adoração
adore	0	1	0	0	1	0	1	0	0	1	adorar
adorn	0	0	0	0	0	0	0	0	0	0	adornar
adornment	0	0	0	0	0	0	0	0	0	0	adorno
adrift	0	1	0	1	0	1	0	1	0	0	à deriva
adult	0	0	0	0	0	0	0	0	0	0	adulto
adulterated	0	0	0	0	0	1	0	0	0	0	adulterado
adultery	0	0	1	0	0	1	0	1	0	0	adultério
advance	0	1	0	1	1	0	1	0	1	0	avançar
advanced	0	0	0	0	0	0	1	0	0	0	avançado
advancement	0	0	0	0	0	0	1	0	0	0	avanço
advancing	0	0	0	0	0	0	0	0	0	0	avançando
advantage	0	0	0	0	0	0	1	0	0	0	vantagem
advantageous	0	0	0	0	0	0	1	0	0	0	vantajoso
advent	0	1	0	0	1	0	1	0	0	1	advento
adventure	0	1	0	0	0	0	1	0	0	0	aventura
adventurer	0	0	0	0	0	0	0	0	0	0	aventureiro
adventurous	0	0	0	0	0	0	1	0	0	0	aventureiro
adversary	1	0	0	0	0	1	0	0	0	0	adversário
adverse	1	0	1	1	0	1	0	1	0	0	desfavoraveis
adversity	1	0	0	1	0	1	0	1	0	0	adversidade
advertise	0	0	0	0	0	0	0	0	0	0	anunciar
advertisement	0	0	0	0	0	0	0	0	0	0	propaganda
advice	0	0	0	0	0	0	0	0	0	1	adendo
advisable	0	0	0	0	0	0	1	0	0	1	aconselhável
advise	0	0	0	0	0	0	1	0	0	1	conselho
advised	0	0	0	0	0	0	0	0	0	1	aconselhado
advisement	0	0	0	0	0	0	0	0	0	0	conselho
adviser	0	0	0	0	0	0	1	0	0	1	conselheiro
advocacy	1	1	0	0	1	0	1	0	0	1	advocacia
advocate	0	0	0	0	0	0	0	0	0	1	advogado
aegis	0	0	0	0	0	0	0	0	0	0	égide
aeration	0	0	0	0	0	0	0	0	0	0	arejamento
aerial	0	0	0	0	0	0	0	0	0	0	aéreo
aerodrome	0	0	0	0	0	0	0	0	0	0	aeródromo
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinâmica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronáutica
aeroplane	0	0	0	0	0	0	0	0	0	0	avião
aesthetic	0	0	0	0	0	0	1	0	0	0	estético
aesthetics	0	0	0	0	1	0	1	0	0	0	estética
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	longe
affable	0	0	0	0	0	0	1	0	0	0	afável
affair	0	0	0	0	0	0	0	0	0	0	caso
affecting	0	0	0	0	0	0	0	0	0	0	afetando
affection	0	0	0	0	1	0	1	0	0	1	afeição
affections	0	0	0	0	0	0	0	0	0	0	afetos
affiche	0	0	0	0	0	0	0	0	0	0	afixar
affidavit	0	0	0	0	0	0	0	0	0	0	declaração juramentada
affiliated	0	0	0	0	0	0	1	0	0	0	afiliado
affiliation	0	0	0	0	0	0	0	0	0	0	afiliação
affinity	0	0	0	0	0	0	0	0	0	0	afinidade
affirm	0	0	0	0	0	0	1	0	0	1	afirmar
affirmation	0	0	0	0	0	0	1	0	0	0	afirmação
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativo
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativamente
affix	0	0	0	0	0	0	0	0	0	0	afixo
afflict	0	0	0	1	0	1	0	1	0	0	afligir
afflicted	0	0	0	0	0	1	0	0	0	0	aflito
affliction	0	0	1	1	0	1	0	1	0	0	aflição
affluence	0	0	0	0	1	0	1	0	0	0	afluência
affluent	0	0	0	0	0	0	1	0	0	0	afluente
afford	0	0	0	0	0	0	1	0	0	0	proporcionar
affront	1	0	1	1	0	1	0	1	1	0	afronta
afield	0	0	0	0	0	0	0	0	0	0	longe
afore	0	0	0	0	0	0	0	0	0	0	antes
aforementioned	0	0	0	0	0	0	0	0	0	0	acima mencionado
aforesaid	0	0	0	0	0	0	0	0	0	0	supracitado
afraid	0	0	0	1	0	1	0	0	0	0	com medo
afresh	0	0	0	0	0	0	0	0	0	0	de novo
aft	0	0	0	0	0	0	0	0	0	0	popa
aftermath	1	0	1	1	0	1	0	1	0	0	consequências
afternoon	0	0	0	0	0	0	0	0	0	0	tarde
aftertaste	0	0	0	0	0	1	0	0	0	0	sabor residual
afterthought	0	0	0	0	0	0	0	0	0	0	reflexão tardia
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ágata
age	0	0	0	0	0	0	0	0	0	0	era
aged	0	0	0	0	0	0	0	0	0	0	envelhecido
agency	0	0	0	0	0	0	0	0	0	0	agência
agent	0	0	0	0	0	0	0	0	0	0	agente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeração
aggravated	1	0	0	0	0	1	0	0	0	0	agravado
aggravating	1	0	0	0	0	1	0	1	0	0	agravante
aggravation	1	0	1	0	0	1	0	0	0	0	agravamento
aggregate	0	0	0	0	0	0	0	0	0	0	agregar
aggregation	0	0	0	0	0	0	0	0	0	0	agregação
aggression	1	0	0	1	0	1	0	0	0	0	agressão
aggressive	1	0	0	1	0	1	0	0	0	0	agressivo
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	horrorizado
agile	0	0	0	0	0	0	1	0	0	0	ágil
agility	0	0	0	0	0	0	1	0	0	0	agilidade
agitated	1	0	0	0	0	1	0	0	0	0	agitado
agitation	1	0	0	0	0	1	0	0	0	0	agitação
agnostic	0	0	0	0	0	0	0	0	0	0	agnóstico
ago	0	0	0	0	0	0	0	0	0	0	atrás
agonizing	0	0	0	1	0	1	0	0	0	0	agonizante
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	aceita
agreeable	0	0	0	0	0	0	1	0	0	1	agradável
agreed	0	0	0	0	0	0	1	0	0	1	concordou
agreeing	0	0	0	0	0	0	1	0	0	1	concordando
agreement	0	0	0	0	0	0	1	0	0	1	acordo
agricultural	0	0	0	0	0	0	0	0	0	0	agrícola
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	encalhado
agua	0	0	0	0	0	0	0	0	0	0	água
ahead	0	0	0	0	0	0	1	0	0	0	à frente
aid	0	0	0	0	0	0	1	0	0	0	ajuda
aiding	0	0	0	0	0	0	1	0	0	0	auxiliando
ail	0	0	0	0	0	1	0	1	0	0	todos
ailing	0	0	0	1	0	1	0	1	0	0	doente
ailment	0	0	0	0	0	0	0	0	0	0	doença
aim	0	0	0	0	0	0	0	0	0	0	mirar
aimless	0	0	0	0	0	1	0	0	0	0	sem rumo
air	0	0	0	0	0	0	0	0	0	0	ar
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	transporte aéreo
airline	0	0	0	0	0	0	0	0	0	0	CIA aérea
airman	0	0	0	0	0	0	0	0	0	0	aviador
airplane	0	0	0	0	0	0	0	0	0	0	avião
airport	0	1	0	0	0	0	0	0	0	0	aeroporto
airs	0	0	1	0	0	1	0	0	0	0	ares
airship	0	0	0	0	0	0	0	0	0	0	dirigível
aisle	0	0	0	0	0	0	0	0	0	0	corredor
ait	0	0	0	0	0	0	0	0	0	0	ai
ajar	0	0	0	0	0	0	0	0	0	0	entreaberto
akin	0	0	0	0	0	0	0	0	0	1	aparentado
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarme
alarming	0	0	0	1	0	1	0	0	1	0	alarmante
alb	0	0	0	0	0	0	0	0	0	1	alva
album	0	0	0	0	0	0	0	0	0	0	álbum
alchemy	0	0	0	0	0	0	0	0	0	0	alquimia
alcohol	0	0	0	0	0	0	0	0	0	0	álcool
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoolismo
alcove	0	0	0	0	0	0	0	0	0	0	alcova
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	alerta
alerts	0	1	0	1	0	0	0	0	1	0	alertas
alfalfa	0	0	0	0	0	0	0	0	0	0	alfafa
algebra	0	0	0	0	0	0	0	0	0	0	álgebra
algebraic	0	0	0	0	0	0	0	0	0	0	algébrico
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmo
alibi	0	0	0	0	0	0	0	0	0	0	álibi
alien	0	0	1	1	0	1	0	0	0	0	estrangeiro
alienate	1	0	1	0	0	1	0	0	0	0	alienar
alienated	0	0	0	0	0	1	0	1	0	0	alienado
alienation	1	0	1	1	0	1	0	1	0	0	alienação
alight	0	0	0	0	0	0	0	0	0	0	aceso
aligned	0	0	0	0	0	0	0	0	0	0	alinhado
alignment	0	0	0	0	0	0	0	0	0	0	alinhamento
alike	0	0	0	0	0	0	0	0	0	0	parecido
alimentation	0	0	0	0	0	0	1	0	0	0	alimentação
alimony	0	0	0	0	0	1	0	0	0	0	pensão alimentícia
aliquot	0	0	0	0	0	0	0	0	0	0	alíquota
alive	0	1	0	0	1	0	1	0	0	1	vivo
alkali	0	0	0	0	0	0	0	0	0	0	alcalino
alkaloids	0	0	0	0	0	0	0	0	0	0	alcalóides
allay	0	0	0	0	0	0	1	0	0	0	acalmar
allegation	1	0	0	0	0	1	0	0	0	0	alegação
allege	0	0	0	0	0	1	0	0	0	0	alegar
alleged	0	0	0	0	0	0	0	0	0	0	alegado
allegiance	0	0	0	0	0	0	1	0	0	1	fidelidade
allegorical	0	0	0	0	0	0	0	0	0	0	alegórico
allegory	0	0	0	0	0	0	0	0	0	0	alegoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	aliviar
alleviation	0	0	0	0	0	0	1	0	0	0	alívio
alley	0	0	0	0	0	0	0	0	0	0	beco
alliance	0	0	0	0	0	0	0	0	0	1	aliança
allied	0	0	0	0	0	0	1	0	0	1	aliado
alligator	0	0	0	0	0	0	0	0	0	0	jacaré
allocate	0	0	0	0	0	0	0	0	0	0	distribuir
allocation	0	0	0	0	0	0	0	0	0	0	alocação
allot	0	0	0	0	0	0	0	0	0	0	distribuir
allotment	0	0	0	0	0	0	0	0	0	0	parcela
allowable	0	0	0	0	0	0	1	0	0	0	permitido
allowance	0	0	0	0	0	0	0	0	0	0	mesada
allowed	0	0	0	0	0	0	0	0	0	0	permitido
alloy	0	0	0	0	0	0	0	0	0	0	Liga
allure	0	1	0	0	1	0	1	0	1	0	fascínio
alluring	0	0	0	0	0	0	1	0	0	0	sedutor
allusion	0	0	0	0	0	0	0	0	0	0	alusão
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	aliado
almanac	0	0	0	0	0	0	0	0	0	0	almanaque
almighty	0	0	0	0	0	0	1	0	0	0	todo-poderoso
aloft	0	0	0	0	0	0	0	0	0	0	no alto
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ao lado
aloof	0	0	0	0	0	1	0	0	0	0	distante
aloud	0	0	0	0	0	0	0	0	0	0	em voz alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabético
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	alterar
alteration	0	0	0	0	0	0	0	0	0	0	alteração
altercation	1	0	0	0	0	1	0	0	0	0	altercação
altered	0	0	0	0	0	0	0	0	0	0	alterado
alternate	0	0	0	0	0	0	0	0	0	0	alternar
alternative	0	0	0	0	0	0	0	0	0	0	alternativo
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	completamente
alumnus	0	0	0	0	0	0	0	0	0	0	ex-aluno
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amálgama
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamação
amass	0	0	0	0	0	0	0	0	0	0	acumular
amateur	0	0	0	0	0	0	0	0	0	0	amador
amaze	0	0	0	0	0	0	0	0	1	0	surpreender
amazement	0	0	0	0	0	0	0	0	0	0	espanto
amazingly	0	0	0	0	1	0	1	0	1	0	Surpreendentemente
ambassador	0	0	0	0	0	0	1	0	0	1	embaixador
amber	0	0	0	0	0	0	0	0	0	0	âmbar
ambient	0	0	0	0	0	0	0	0	0	0	ambiente
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguidade
ambiguous	0	0	0	0	0	1	0	0	0	0	ambíguo
ambit	0	0	0	0	0	0	0	0	0	0	âmbito
ambition	0	1	0	0	1	0	1	0	0	1	ambição
ambitious	0	0	0	0	0	0	0	0	0	0	ambicioso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulância
ambush	1	0	0	1	0	1	0	0	1	0	emboscada
ameliorate	0	0	0	0	0	0	1	0	0	0	melhorar
amen	0	0	0	0	1	0	1	0	0	1	um homem
amenable	0	0	0	0	0	0	1	0	0	0	receptivo
amend	0	0	0	0	0	0	1	0	0	0	alterar
amendment	0	0	0	0	0	0	0	0	0	0	alteração
amends	0	0	0	0	0	0	1	0	0	0	corrige
amenity	0	0	0	0	0	0	1	0	0	0	amenidade
amethyst	0	0	0	0	0	0	0	0	0	0	ametista
amiable	0	0	0	0	0	0	1	0	0	0	amável
amicable	0	0	0	0	1	0	1	0	0	0	amigável
amid	0	0	0	0	0	0	0	0	0	0	Entre
amidst	0	0	0	0	0	0	0	0	0	0	no meio
ammonia	0	0	1	0	0	0	0	0	0	0	amônia
ammunition	0	0	0	0	0	0	0	0	0	0	munição
amnesia	0	0	0	0	0	1	0	0	0	0	amnésia
amnesty	0	0	0	0	1	0	1	0	0	0	anistia
amorphous	0	0	0	0	0	0	0	0	0	0	amorfo
amortization	0	0	0	0	0	0	0	0	0	1	amortização
amount	0	0	0	0	0	0	0	0	0	0	quantia
amour	0	1	0	0	1	0	1	0	0	1	amor
ampersand	0	0	0	0	0	0	0	0	0	0	e comercial
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetaminas
amphibian	0	0	0	0	0	0	0	0	0	0	anfíbio
amphibious	0	0	0	0	0	0	0	0	0	0	anfíbio
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteatro
amplification	0	0	0	0	0	0	0	0	0	0	amplificação
amplify	0	0	0	0	0	0	0	0	0	0	amplificar
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
amply	0	0	0	0	0	0	0	0	0	0	amplamente
amputation	0	0	0	0	0	0	0	0	0	0	amputação
amulet	0	0	0	0	0	0	0	0	0	0	amuleto
amuse	0	0	0	0	1	0	1	0	0	0	divertir
amused	0	0	0	0	1	0	1	0	0	0	divertido
amusement	0	0	0	0	1	0	1	0	0	0	diversão
amusing	0	0	0	0	1	0	1	0	0	0	divertido
ana	0	0	0	0	0	0	0	0	0	0	Ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
anaesthesia	0	0	0	0	0	0	0	0	0	0	anestesia
