English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Albanian Word
absurdity	0	0	0	0	0	1	0	0	0	0	absurditet
abundance	0	1	1	0	1	1	1	0	0	1	bollëk
abundant	0	0	0	0	1	0	1	0	0	0	të bollshme
abuse	1	0	1	1	0	1	0	1	0	0	abuzimi
abutment	0	0	0	0	0	0	0	0	0	0	mbështetëse
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	i rrënuar
abyss	0	0	0	1	0	1	0	1	0	0	humnerë
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademi
accede	0	0	0	0	0	0	0	0	0	0	aderojnë
accelerate	0	1	0	0	0	0	0	0	0	0	përshpejtojnë
acceleration	0	0	0	0	0	0	0	0	0	0	nxitimi
accent	0	0	0	0	0	0	0	0	0	0	theks
accentuate	0	0	0	0	0	0	0	0	0	0	nxjerr në pah
accept	0	0	0	0	0	0	0	0	0	0	pranoj
acceptable	0	0	0	0	0	0	1	0	0	0	e pranueshme
acceptance	0	0	0	0	0	0	1	0	0	0	pranimi
access	0	0	0	0	0	0	0	0	0	0	akses
accessible	0	0	0	0	0	0	1	0	0	0	të arritshme
accession	0	0	0	0	0	0	0	0	0	0	aderimi
accessory	0	0	0	0	0	0	0	0	0	0	aksesor
accident	0	0	0	1	0	1	0	1	1	0	aksident
accidental	0	0	0	1	0	1	0	0	1	0	aksidentale
accidentally	0	0	0	0	0	0	0	0	1	0	rastësisht
accolade	0	1	0	0	1	0	1	0	1	1	vlerësim
accommodate	0	0	0	0	0	0	0	0	0	0	akomoduar
accommodation	0	0	0	0	0	0	1	0	0	0	akomodimi
accompaniment	0	1	0	0	1	0	1	0	0	1	shoqërim
accompany	0	0	0	0	0	0	0	0	0	0	shoqërojnë
accompanying	0	0	0	0	0	0	0	0	0	0	shoqëruese
accomplice	0	0	0	0	0	0	0	0	0	0	bashkëpunëtor
accomplish	0	0	0	0	1	0	1	0	0	0	realizoj
accomplished	0	0	0	0	1	0	1	0	0	0	i realizuar
accomplishment	0	0	0	0	0	0	1	0	0	0	arritje
accord	0	0	0	0	0	0	1	0	0	1	marrëveshje
accordance	0	0	0	0	0	0	0	0	0	0	përputhje
accordion	0	0	0	0	0	0	0	0	0	0	fizarmonikë
account	0	0	0	0	0	0	0	0	0	1	llogari
accountability	0	0	0	0	0	0	1	0	0	1	llogaridhënies
accountable	0	0	0	0	0	0	1	0	0	1	të përgjegjshëm
accountant	0	0	0	0	0	0	0	0	0	1	kontabilist
accounting	0	0	0	0	0	0	0	0	0	0	Kontabiliteti
accounts	0	0	0	0	0	0	0	0	0	1	llogaritë
accredited	0	0	0	0	0	0	1	0	0	1	i akredituar
accretion	0	0	0	0	0	0	0	0	0	0	shtim
accrue	0	0	0	0	0	0	0	0	0	0	grumbullohen
accueil	0	0	0	0	0	0	1	0	0	0	pranoj
accumulate	0	0	0	0	0	0	0	0	0	0	grumbullohen
accumulation	0	0	0	0	0	0	0	0	0	0	akumulimi
accuracy	0	0	0	0	0	0	0	0	0	0	saktësi
accurate	0	0	0	0	0	0	1	0	0	1	të sakta
accursed	1	0	0	1	0	1	0	1	0	0	i mallkuar
accusation	1	0	1	0	0	1	0	0	0	0	akuzë
accusative	0	0	0	0	0	1	0	0	0	0	kallëzore
accused	1	0	0	1	0	1	0	0	0	0	i akuzuar
accuser	1	0	0	1	0	1	0	0	0	0	akuzues
accusing	1	0	0	1	0	1	0	0	0	0	duke akuzuar
accustomed	0	0	0	0	0	0	0	0	0	0	i mësuar
ace	0	0	0	0	0	0	1	0	0	0	asi
acetic	0	0	0	0	0	0	0	0	0	0	acetik
ache	0	0	0	0	0	1	0	1	0	0	dhimbje
achieve	0	0	0	0	1	0	1	0	0	1	arritur
achievement	0	1	0	0	1	0	1	0	0	1	arritje
aching	0	0	0	0	0	1	0	1	0	0	me dhimbje
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	aciditeti
acknowledge	0	0	0	0	0	0	0	0	0	0	pranoj
acknowledged	0	0	0	0	0	0	0	0	0	0	pranoi
acknowledgment	0	0	0	0	0	0	1	0	0	0	mirënjohje
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustike
acoustics	0	0	0	0	0	0	0	0	0	0	akustikë
acquaint	0	0	0	0	0	0	0	0	0	0	të njohur
acquaintance	0	0	0	0	0	0	0	0	0	0	njohje
acquainted	0	0	0	0	0	0	0	0	0	0	i njohur
acquiescence	0	0	0	0	0	0	0	0	0	0	pajtim
acquire	0	0	0	0	0	0	1	0	0	0	fitojnë
acquiring	0	1	0	0	0	0	1	0	0	0	duke përvetësuar
acquisition	0	0	0	0	0	0	0	0	0	0	përvetësimi
acquisitions	0	0	0	0	0	0	0	0	0	0	blerjet
acreage	0	0	0	0	0	0	0	0	0	0	sipërfaqe në sipërfaqe
acres	0	0	0	0	0	0	0	0	0	0	hektarë
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	veprojnë
acting	0	0	0	0	0	0	0	0	0	0	duke vepruar
action	0	0	0	0	0	0	1	0	0	0	veprim
actionable	1	0	1	0	0	1	0	0	0	0	vepruese
active	0	0	0	0	0	0	0	0	0	0	aktive
activity	0	0	0	0	0	0	0	0	0	0	aktivitet
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	aktuale
actuality	0	0	0	0	0	0	0	0	0	0	aktualiteti
actuary	0	0	0	0	0	0	0	0	0	0	aktuari
acuity	0	0	0	0	0	0	1	0	0	0	mprehtësia
acumen	0	0	0	0	0	0	1	0	0	0	mendjemprehtësi
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunkturë
acutely	0	0	0	0	0	0	0	0	0	0	në mënyrë akute
adage	0	0	0	0	0	0	0	0	0	0	fjalë e urtë
adamant	0	0	0	0	0	0	0	0	0	0	këmbëngulës
adapt	0	0	0	0	0	0	1	0	0	0	përshtaten
adaptable	0	0	0	0	0	0	1	0	0	0	adaptueshëm
add	0	0	0	0	0	0	0	0	0	0	shtoni
added	0	0	0	0	0	0	0	0	0	0	shtuar
addendum	0	0	0	0	0	0	0	0	0	0	shtojcë
adder	1	0	1	1	0	1	0	1	0	0	shtues
addiction	0	0	0	0	0	1	0	0	0	0	varësia
addition	0	0	0	0	0	0	0	0	0	0	shtesë
additional	0	0	0	0	0	0	0	0	0	0	shtesë
additive	0	0	0	0	0	0	0	0	0	0	aditiv
address	0	0	0	0	0	0	0	0	0	0	adresë
addressee	0	0	0	0	0	0	0	0	0	0	adresues
addresses	0	1	0	0	0	0	1	0	0	0	adresat
adept	0	0	0	0	0	0	1	0	0	0	i aftë
adequacy	0	0	0	0	0	0	1	0	0	0	përshtatshmërisë
adequate	0	0	0	0	0	0	0	0	0	0	adekuate
adhere	0	0	0	0	0	0	0	0	0	0	përmbahen
adherence	0	0	0	0	0	0	0	0	0	0	aderimin
adherent	0	0	0	0	0	0	0	0	0	0	aderues
adhering	0	0	0	0	0	0	0	0	0	1	duke u përmbajtur
adhesion	0	0	0	0	0	0	0	0	0	0	ngjitja
adhesive	0	0	0	0	0	0	0	0	0	0	ngjitës
adieu	0	0	0	0	0	0	0	0	0	0	lamtumire
adipose	0	0	0	0	0	1	0	0	0	0	dhjamor
adjacency	0	0	0	0	0	0	0	0	0	0	afërsi
adjacent	0	0	0	0	0	0	0	0	0	0	ngjitur
adjective	0	0	0	0	0	0	0	0	0	0	mbiemër
adjoining	0	0	0	0	0	0	0	0	0	0	ngjitur
adjourn	0	0	0	0	0	0	0	0	0	0	shtyj
adjournment	0	0	0	0	0	0	0	0	0	0	shtyrje
adjudicate	0	0	0	1	0	1	0	0	0	0	gjykoj
adjudication	0	0	0	0	0	0	0	0	0	0	gjykimi
adjunct	0	0	0	0	0	0	1	0	0	0	ndihmës
adjust	0	0	0	0	0	0	0	0	0	0	rregulloj
adjustment	0	0	0	0	0	0	0	0	0	0	rregullimi
adjuvant	0	0	0	0	0	0	0	0	0	0	ndihmës
administer	0	0	0	0	0	0	0	0	0	0	administrojnë
administration	0	0	0	0	0	0	0	0	0	0	administrata
administrative	0	0	0	0	0	0	0	0	0	1	administrative
admirable	0	0	0	0	1	0	1	0	0	1	e admirueshme
admiral	0	0	0	0	0	0	1	0	0	1	admirali
admiralty	0	0	0	0	0	0	0	0	0	0	admiraliteti
admiration	0	0	0	0	1	0	1	0	0	1	admirim
admire	0	0	0	0	0	0	1	0	0	1	admiroj
admirer	0	0	0	0	0	0	1	0	0	0	admirues
admissibility	0	0	0	0	0	0	0	0	0	0	pranueshmëria
admissible	0	0	0	0	0	0	1	0	0	1	e pranueshme
admission	0	0	0	0	0	0	0	0	0	0	pranimi
admit	0	0	0	0	0	0	0	0	0	0	pranoj
admittance	0	0	0	0	0	0	0	0	0	0	pranimi
admitted	0	0	0	0	0	0	0	0	0	0	pranuar
admitting	0	0	0	0	0	0	0	0	0	0	duke pranuar
admixture	0	0	0	0	0	0	0	0	0	0	përzierje
admonition	0	0	0	1	0	1	0	0	0	0	këshillë
ado	0	0	0	0	0	0	0	0	0	0	zhurmë
adobe	0	0	0	0	0	0	0	0	0	0	qerpiçi
adolescence	0	0	0	0	0	0	0	0	0	0	adoleshencës
adolescent	0	0	0	0	0	0	0	0	0	0	adoleshent
adopt	0	0	0	0	0	0	0	0	0	0	adoptojnë
adoption	0	0	0	0	0	0	0	0	0	0	adoptimi
adorable	0	0	0	0	1	0	1	0	0	0	i adhurueshëm
adoration	0	0	0	0	1	0	1	0	0	1	adhurim
adore	0	1	0	0	1	0	1	0	0	1	adhuroj
adorn	0	0	0	0	0	0	0	0	0	0	zbukuroj
adornment	0	0	0	0	0	0	0	0	0	0	stolisje
adrift	0	1	0	1	0	1	0	1	0	0	larguar
adult	0	0	0	0	0	0	0	0	0	0	i rritur
adulterated	0	0	0	0	0	1	0	0	0	0	i falsifikuar
adultery	0	0	1	0	0	1	0	1	0	0	tradhtia bashkëshortore
advance	0	1	0	1	1	0	1	0	1	0	përpara
advanced	0	0	0	0	0	0	1	0	0	0	i avancuar
advancement	0	0	0	0	0	0	1	0	0	0	avancimi
advancing	0	0	0	0	0	0	0	0	0	0	duke avancuar
advantage	0	0	0	0	0	0	1	0	0	0	avantazh
advantageous	0	0	0	0	0	0	1	0	0	0	të favorshme
advent	0	1	0	0	1	0	1	0	0	1	ardhjen
adventure	0	1	0	0	0	0	1	0	0	0	aventurë
adventurer	0	0	0	0	0	0	0	0	0	0	aventurier
adventurous	0	0	0	0	0	0	1	0	0	0	aventureske
adversary	1	0	0	0	0	1	0	0	0	0	kundërshtar
adverse	1	0	1	1	0	1	0	1	0	0	i pafavorshëm
adversity	1	0	0	1	0	1	0	1	0	0	fatkeqësia
advertise	0	0	0	0	0	0	0	0	0	0	reklamoj
advertisement	0	0	0	0	0	0	0	0	0	0	shpallje
advice	0	0	0	0	0	0	0	0	0	1	këshilla
advisable	0	0	0	0	0	0	1	0	0	1	e këshillueshme
advise	0	0	0	0	0	0	1	0	0	1	këshillë
advised	0	0	0	0	0	0	0	0	0	1	këshilluar
advisement	0	0	0	0	0	0	0	0	0	0	këshillim
adviser	0	0	0	0	0	0	1	0	0	1	këshilltar
advocacy	1	1	0	0	1	0	1	0	0	1	avokatia
advocate	0	0	0	0	0	0	0	0	0	1	avokat
aegis	0	0	0	0	0	0	0	0	0	0	egjis
aeration	0	0	0	0	0	0	0	0	0	0	ajrimi
aerial	0	0	0	0	0	0	0	0	0	0	ajrore
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodromi
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautikë
aeroplane	0	0	0	0	0	0	0	0	0	0	aeroplan
aesthetic	0	0	0	0	0	0	1	0	0	0	estetike
aesthetics	0	0	0	0	1	0	1	0	0	0	estetike
aetiology	0	0	0	0	0	0	0	0	0	0	etiologji
afar	0	0	0	0	0	0	0	0	0	0	larg
affable	0	0	0	0	0	0	1	0	0	0	i dashur
affair	0	0	0	0	0	0	0	0	0	0	çështje
affecting	0	0	0	0	0	0	0	0	0	0	duke prekur
affection	0	0	0	0	1	0	1	0	0	1	dashuri
affections	0	0	0	0	0	0	0	0	0	0	afeksionet
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	betim
affiliated	0	0	0	0	0	0	1	0	0	0	të lidhur
affiliation	0	0	0	0	0	0	0	0	0	0	përkatësia
affinity	0	0	0	0	0	0	0	0	0	0	afiniteti
affirm	0	0	0	0	0	0	1	0	0	1	pohoj
affirmation	0	0	0	0	0	0	1	0	0	0	pohim
affirmative	0	0	0	0	0	0	1	0	0	0	pohuese
affirmatively	0	0	0	0	0	0	1	0	0	1	në mënyrë pozitive
affix	0	0	0	0	0	0	0	0	0	0	fiksoj
afflict	0	0	0	1	0	1	0	1	0	0	mundoj
afflicted	0	0	0	0	0	1	0	0	0	0	të vuajtur
affliction	0	0	1	1	0	1	0	1	0	0	vuajtje
affluence	0	0	0	0	1	0	1	0	0	0	begati
affluent	0	0	0	0	0	0	1	0	0	0	i pasur
afford	0	0	0	0	0	0	1	0	0	0	përballojë
affront	1	0	1	1	0	1	0	1	1	0	fyerje
afield	0	0	0	0	0	0	0	0	0	0	larg
afore	0	0	0	0	0	0	0	0	0	0	më parë
aforementioned	0	0	0	0	0	0	0	0	0	0	të lartpërmendura
aforesaid	0	0	0	0	0	0	0	0	0	0	e lartpërmendur
afraid	0	0	0	1	0	1	0	0	0	0	frikësuar
afresh	0	0	0	0	0	0	0	0	0	0	i ri
aft	0	0	0	0	0	0	0	0	0	0	pas
aftermath	1	0	1	1	0	1	0	1	0	0	pasojat
afternoon	0	0	0	0	0	0	0	0	0	0	pasdite
aftertaste	0	0	0	0	0	1	0	0	0	0	amëz
afterthought	0	0	0	0	0	0	0	0	0	0	pasmendim
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	mosha
aged	0	0	0	0	0	0	0	0	0	0	i moshuar
agency	0	0	0	0	0	0	0	0	0	0	agjenci
agent	0	0	0	0	0	0	0	0	0	0	agjent
agglomeration	0	0	0	0	0	0	0	0	0	0	grumbullim
aggravated	1	0	0	0	0	1	0	0	0	0	e rënduar
aggravating	1	0	0	0	0	1	0	1	0	0	rënduese
aggravation	1	0	1	0	0	1	0	0	0	0	rëndim
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	grumbullimi
aggression	1	0	0	1	0	1	0	0	0	0	sulm
aggressive	1	0	0	1	0	1	0	0	0	0	agresive
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	i tmerruar
agile	0	0	0	0	0	0	1	0	0	0	i shkathët
agility	0	0	0	0	0	0	1	0	0	0	shkathtësi
agitated	1	0	0	0	0	1	0	0	0	0	i trazuar
agitation	1	0	0	0	0	1	0	0	0	0	agjitacion
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	më parë
agonizing	0	0	0	1	0	1	0	0	0	0	vuajtëse
agony	1	0	0	1	0	1	0	1	0	0	agoni
agree	0	0	0	0	0	0	1	0	0	0	dakord
agreeable	0	0	0	0	0	0	1	0	0	1	e pranueshme
agreed	0	0	0	0	0	0	1	0	0	1	ra dakord
agreeing	0	0	0	0	0	0	1	0	0	1	duke rënë dakord
agreement	0	0	0	0	0	0	1	0	0	1	marrëveshje
agricultural	0	0	0	0	0	0	0	0	0	0	bujqësore
agriculture	0	0	0	0	0	0	1	0	0	0	bujqësia
aground	0	0	0	0	0	1	0	0	0	0	në tokë
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	përpara
aid	0	0	0	0	0	0	1	0	0	0	ndihma
aiding	0	0	0	0	0	0	1	0	0	0	duke ndihmuar
ail	0	0	0	0	0	1	0	1	0	0	sëmundje
ailing	0	0	0	1	0	1	0	1	0	0	i sëmurë
ailment	0	0	0	0	0	0	0	0	0	0	sëmundje
aim	0	0	0	0	0	0	0	0	0	0	synojnë
aimless	0	0	0	0	0	1	0	0	0	0	pa qëllim
air	0	0	0	0	0	0	0	0	0	0	ajri
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	transport ajror
airline	0	0	0	0	0	0	0	0	0	0	linjë ajrore
airman	0	0	0	0	0	0	0	0	0	0	fluturues
airplane	0	0	0	0	0	0	0	0	0	0	aeroplan
airport	0	1	0	0	0	0	0	0	0	0	aeroporti
airs	0	0	1	0	0	1	0	0	0	0	ajroset
airship	0	0	0	0	0	0	0	0	0	0	aeroplan
aisle	0	0	0	0	0	0	0	0	0	0	rresht
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	i hapur
akin	0	0	0	0	0	0	0	0	0	1	të ngjashme
alabaster	0	0	0	0	0	0	1	0	0	0	alabastri
alarm	0	0	0	1	0	1	0	0	1	0	alarmi
alarming	0	0	0	1	0	1	0	0	1	0	alarmante
alb	0	0	0	0	0	0	0	0	0	1	Alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkoolit
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoolizmi
alcove	0	0	0	0	0	0	0	0	0	0	kthinë
alert	0	0	0	0	0	0	0	0	0	0	vigjilent
alertness	0	1	0	1	0	0	1	0	1	0	vigjilencë
alerts	0	1	0	1	0	0	0	0	1	0	alarmet
alfalfa	0	0	0	0	0	0	0	0	0	0	jonxhë
algebra	0	0	0	0	0	0	0	0	0	0	algjebër
algebraic	0	0	0	0	0	0	0	0	0	0	algjebrike
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmi
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	i huaj
alienate	1	0	1	0	0	1	0	0	0	0	tjetërsoj
alienated	0	0	0	0	0	1	0	1	0	0	të tjetërsuar
alienation	1	0	1	1	0	1	0	1	0	0	tjetërsimi
alight	0	0	0	0	0	0	0	0	0	0	i ndezur
aligned	0	0	0	0	0	0	0	0	0	0	të përafruar
alignment	0	0	0	0	0	0	0	0	0	0	radhitje
alike	0	0	0	0	0	0	0	0	0	0	njësoj
alimentation	0	0	0	0	0	0	1	0	0	0	ushqimi
alimony	0	0	0	0	0	1	0	0	0	0	alimentacioni
aliquot	0	0	0	0	0	0	0	0	0	0	alikuot
alive	0	1	0	0	1	0	1	0	0	1	të gjallë
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloide
allay	0	0	0	0	0	0	1	0	0	0	qetësoj
allegation	1	0	0	0	0	1	0	0	0	0	pretendim
allege	0	0	0	0	0	1	0	0	0	0	pretendojnë
alleged	0	0	0	0	0	0	0	0	0	0	i supozuar
allegiance	0	0	0	0	0	0	1	0	0	1	besnikërinë
allegorical	0	0	0	0	0	0	0	0	0	0	alegorike
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	alegro
alleviate	0	0	0	0	0	0	1	0	0	0	zbut
alleviation	0	0	0	0	0	0	1	0	0	0	zbutje
alley	0	0	0	0	0	0	0	0	0	0	rrugicë
alliance	0	0	0	0	0	0	0	0	0	1	aleancë
allied	0	0	0	0	0	0	1	0	0	1	aleate
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	ndajnë
allocation	0	0	0	0	0	0	0	0	0	0	alokimi
allot	0	0	0	0	0	0	0	0	0	0	ndajë
allotment	0	0	0	0	0	0	0	0	0	0	ndarje
allowable	0	0	0	0	0	0	1	0	0	0	e lejueshme
allowance	0	0	0	0	0	0	0	0	0	0	kompensim
allowed	0	0	0	0	0	0	0	0	0	0	lejohet
alloy	0	0	0	0	0	0	0	0	0	0	aliazh
allure	0	1	0	0	1	0	1	0	1	0	joshje
alluring	0	0	0	0	0	0	1	0	0	0	joshëse
allusion	0	0	0	0	0	0	0	0	0	0	aludim
alluvial	0	0	0	0	0	0	0	0	0	0	aluviale
ally	0	0	0	0	0	0	1	0	0	1	aleat
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	i plotfuqishëm
aloft	0	0	0	0	0	0	0	0	0	0	lart
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	krahas
aloof	0	0	0	0	0	1	0	0	0	0	i përmbajtur
aloud	0	0	0	0	0	0	0	0	0	0	me zë të lartë
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeti
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetike
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	ndryshoj
alteration	0	0	0	0	0	0	0	0	0	0	ndryshim
altercation	1	0	0	0	0	1	0	0	0	0	grindje
altered	0	0	0	0	0	0	0	0	0	0	i ndryshuar
alternate	0	0	0	0	0	0	0	0	0	0	alternative
alternative	0	0	0	0	0	0	0	0	0	0	alternativë
altitude	0	0	0	0	0	0	0	0	0	0	lartësi mbidetare
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	krejt
alumnus	0	0	0	0	0	0	0	0	0	0	ish-student
alveolar	0	0	0	0	0	0	0	0	0	0	alveolare
amalgam	0	0	0	0	0	0	0	0	0	0	amalgamë
amalgamation	0	0	0	0	0	0	0	0	0	0	shkrirje
amass	0	0	0	0	0	0	0	0	0	0	grumbulloj
amateur	0	0	0	0	0	0	0	0	0	0	amator
amaze	0	0	0	0	0	0	0	0	1	0	mahnitin
amazement	0	0	0	0	0	0	0	0	0	0	habi
amazingly	0	0	0	0	1	0	1	0	1	0	në mënyrë të mahnitshme
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	qelibar
ambient	0	0	0	0	0	0	0	0	0	0	ambienti
ambiguity	0	0	0	0	0	0	0	0	0	0	paqartësi
ambiguous	0	0	0	0	0	1	0	0	0	0	i paqartë
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambicie
ambitious	0	0	0	0	0	0	0	0	0	0	ambicioz
ambulance	0	0	0	1	0	0	0	0	0	1	ambulancë
ambush	1	0	0	1	0	1	0	0	1	0	pritë
ameliorate	0	0	0	0	0	0	1	0	0	0	përmirësoj
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	të pranueshme
amend	0	0	0	0	0	0	1	0	0	0	ndryshoj
amendment	0	0	0	0	0	0	0	0	0	0	amendament
amends	0	0	0	0	0	0	1	0	0	0	ndryshon
amenity	0	0	0	0	0	0	1	0	0	0	komoditet
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	i dashur
amicable	0	0	0	0	1	0	1	0	0	0	miqësore
amid	0	0	0	0	0	0	0	0	0	0	mes
amidst	0	0	0	0	0	0	0	0	0	0	në mes
ammonia	0	0	1	0	0	0	0	0	0	0	amoniaku
ammunition	0	0	0	0	0	0	0	0	0	0	municioni
amnesia	0	0	0	0	0	1	0	0	0	0	amnezi
amnesty	0	0	0	0	1	0	1	0	0	0	amnisti
amorphous	0	0	0	0	0	0	0	0	0	0	amorfe
amortization	0	0	0	0	0	0	0	0	0	1	amortizimi
amount	0	0	0	0	0	0	0	0	0	0	shuma
amour	0	1	0	0	1	0	1	0	0	1	dashuri
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
