English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Latvian Word
abrasion	0	0	0	0	0	1	0	0	0	0	nobrāzums
abroad	0	0	0	0	0	0	0	0	0	0	ārzemēs
abrogate	0	0	0	0	0	1	0	0	0	0	atcelt
abrupt	0	0	0	0	0	0	0	0	1	0	pēkšņi
abruptly	0	0	0	0	0	0	0	0	0	0	pēkšņi
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	prombūtne
absent	0	0	0	0	0	1	0	1	0	0	prombūtnē
absentee	0	0	0	0	0	1	0	1	0	0	prombūtnē esošais
absenteeism	0	0	0	0	0	1	0	0	0	0	neierašanās
absinthe	0	0	0	0	0	0	0	0	0	0	absints
absolute	0	0	0	0	0	0	1	0	0	0	absolūts
absolution	0	0	0	0	1	0	1	0	0	1	absolūciju
absorbed	0	0	0	0	0	0	1	0	0	0	uzsūcas
absorbent	0	0	0	0	0	0	0	0	0	0	absorbējošs
absorbing	0	0	0	0	0	0	0	0	0	0	absorbējošs
absorption	0	0	0	0	0	0	0	0	0	0	absorbcija
abstain	0	0	0	0	0	0	0	0	0	0	atturēties
abstention	0	0	0	0	0	0	0	0	0	0	atturēšanās
abstinence	0	0	0	0	0	0	0	0	0	0	atturība
abstract	0	0	0	0	0	0	0	0	0	0	abstrakts
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakcija
absurd	0	0	0	0	0	1	0	0	0	0	absurds
absurdity	0	0	0	0	0	1	0	0	0	0	absurds
abundance	0	1	1	0	1	1	1	0	0	1	pārpilnība
abundant	0	0	0	0	1	0	1	0	0	0	bagātīgs
abuse	1	0	1	1	0	1	0	1	0	0	ļaunprātīga izmantošana
abutment	0	0	0	0	0	0	0	0	0	0	abatments
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bezdibenis
abyss	0	0	0	1	0	1	0	1	0	0	bezdibenis
academic	0	0	0	0	0	0	1	0	0	1	akadēmiskais
academy	0	0	0	0	0	0	1	0	0	0	akadēmija
accede	0	0	0	0	0	0	0	0	0	0	pievienoties
accelerate	0	1	0	0	0	0	0	0	0	0	paātrināt
acceleration	0	0	0	0	0	0	0	0	0	0	paātrinājums
accent	0	0	0	0	0	0	0	0	0	0	akcents
accentuate	0	0	0	0	0	0	0	0	0	0	akcentēt
accept	0	0	0	0	0	0	0	0	0	0	pieņemt
acceptable	0	0	0	0	0	0	1	0	0	0	pieņemams
acceptance	0	0	0	0	0	0	1	0	0	0	pieņemšana
access	0	0	0	0	0	0	0	0	0	0	piekļuvi
accessible	0	0	0	0	0	0	1	0	0	0	pieejams
accession	0	0	0	0	0	0	0	0	0	0	pievienošanās
accessory	0	0	0	0	0	0	0	0	0	0	piederums
accident	0	0	0	1	0	1	0	1	1	0	nelaimes gadījums
accidental	0	0	0	1	0	1	0	0	1	0	nejauši
accidentally	0	0	0	0	0	0	0	0	1	0	nejauši
accolade	0	1	0	0	1	0	1	0	1	1	atzinība
accommodate	0	0	0	0	0	0	0	0	0	0	izmitināt
accommodation	0	0	0	0	0	0	1	0	0	0	izmitināšana
accompaniment	0	1	0	0	1	0	1	0	0	1	pavadījumā
accompany	0	0	0	0	0	0	0	0	0	0	pavada
accompanying	0	0	0	0	0	0	0	0	0	0	pavadošā
accomplice	0	0	0	0	0	0	0	0	0	0	līdzdalībnieks
accomplish	0	0	0	0	1	0	1	0	0	0	paveikt
accomplished	0	0	0	0	1	0	1	0	0	0	paveikts
accomplishment	0	0	0	0	0	0	1	0	0	0	sasniegums
accord	0	0	0	0	0	0	1	0	0	1	saskaņa
accordance	0	0	0	0	0	0	0	0	0	0	saskaņā
accordion	0	0	0	0	0	0	0	0	0	0	akordeons
account	0	0	0	0	0	0	0	0	0	1	konts
accountability	0	0	0	0	0	0	1	0	0	1	atbildība
accountable	0	0	0	0	0	0	1	0	0	1	atbildīgs
accountant	0	0	0	0	0	0	0	0	0	1	grāmatvedis
accounting	0	0	0	0	0	0	0	0	0	0	grāmatvedība
accounts	0	0	0	0	0	0	0	0	0	1	konti
accredited	0	0	0	0	0	0	1	0	0	1	akreditēta
accretion	0	0	0	0	0	0	0	0	0	0	akrecija
accrue	0	0	0	0	0	0	0	0	0	0	uzkrāties
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	uzkrāties
accumulation	0	0	0	0	0	0	0	0	0	0	uzkrāšanās
accuracy	0	0	0	0	0	0	0	0	0	0	precizitāte
accurate	0	0	0	0	0	0	1	0	0	1	precīzs
accursed	1	0	0	1	0	1	0	1	0	0	nolādēts
accusation	1	0	1	0	0	1	0	0	0	0	apsūdzība
accusative	0	0	0	0	0	1	0	0	0	0	akuzatīvs
accused	1	0	0	1	0	1	0	0	0	0	apsūdzētais
accuser	1	0	0	1	0	1	0	0	0	0	apsūdzētājs
accusing	1	0	0	1	0	1	0	0	0	0	apsūdzot
accustomed	0	0	0	0	0	0	0	0	0	0	pieraduši
ace	0	0	0	0	0	0	1	0	0	0	dūzis
acetic	0	0	0	0	0	0	0	0	0	0	etiķskābe
ache	0	0	0	0	0	1	0	1	0	0	sāpes
achieve	0	0	0	0	1	0	1	0	0	1	sasniegt
achievement	0	1	0	0	1	0	1	0	0	1	sasniegums
aching	0	0	0	0	0	1	0	1	0	0	sāpes
acid	0	0	0	0	0	1	0	0	0	0	skābe
acidity	0	0	0	0	0	0	0	0	0	0	skābums
acknowledge	0	0	0	0	0	0	0	0	0	0	atzīt
acknowledged	0	0	0	0	0	0	0	0	0	0	atzina
acknowledgment	0	0	0	0	0	0	1	0	0	0	atzinība
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustiskā
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	iepazīties
acquaintance	0	0	0	0	0	0	0	0	0	0	iepazīšanās
acquainted	0	0	0	0	0	0	0	0	0	0	iepazinies
acquiescence	0	0	0	0	0	0	0	0	0	0	piekrišanu
acquire	0	0	0	0	0	0	1	0	0	0	iegūt
acquiring	0	1	0	0	0	0	1	0	0	0	iegūstot
acquisition	0	0	0	0	0	0	0	0	0	0	iegūšana
acquisitions	0	0	0	0	0	0	0	0	0	0	iegādes
acreage	0	0	0	0	0	0	0	0	0	0	platību
acres	0	0	0	0	0	0	0	0	0	0	akriem
acrobat	0	0	0	1	1	0	1	0	0	1	akrobāts
act	0	0	0	0	0	0	0	0	0	0	tēlot
acting	0	0	0	0	0	0	0	0	0	0	aktiermāksla
action	0	0	0	0	0	0	1	0	0	0	darbība
actionable	1	0	1	0	0	1	0	0	0	0	apstrīdams
active	0	0	0	0	0	0	0	0	0	0	aktīvs
activity	0	0	0	0	0	0	0	0	0	0	aktivitāte
actor	0	0	0	0	0	0	0	0	0	0	aktieris
actual	0	0	0	0	0	0	1	0	0	0	faktiskais
actuality	0	0	0	0	0	0	0	0	0	0	aktualitāte
actuary	0	0	0	0	0	0	0	0	0	0	aktuārs
acuity	0	0	0	0	0	0	1	0	0	0	asums
acumen	0	0	0	0	0	0	1	0	0	0	asprātība
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktūra
acutely	0	0	0	0	0	0	0	0	0	0	akūti
adage	0	0	0	0	0	0	0	0	0	0	sakāmvārds
adamant	0	0	0	0	0	0	0	0	0	0	nelokāms
adapt	0	0	0	0	0	0	1	0	0	0	pielāgoties
adaptable	0	0	0	0	0	0	1	0	0	0	pielāgojams
add	0	0	0	0	0	0	0	0	0	0	pievienot
added	0	0	0	0	0	0	0	0	0	0	pievienots
addendum	0	0	0	0	0	0	0	0	0	0	papildinājums
adder	1	0	1	1	0	1	0	1	0	0	papildinātājs
addiction	0	0	0	0	0	1	0	0	0	0	atkarība
addition	0	0	0	0	0	0	0	0	0	0	papildinājums
additional	0	0	0	0	0	0	0	0	0	0	papildu
additive	0	0	0	0	0	0	0	0	0	0	piedeva
address	0	0	0	0	0	0	0	0	0	0	adrese
addressee	0	0	0	0	0	0	0	0	0	0	adresāts
addresses	0	1	0	0	0	0	1	0	0	0	adreses
adept	0	0	0	0	0	0	1	0	0	0	lietpratējs
adequacy	0	0	0	0	0	0	1	0	0	0	atbilstība
adequate	0	0	0	0	0	0	0	0	0	0	adekvāti
adhere	0	0	0	0	0	0	0	0	0	0	pieturēties
adherence	0	0	0	0	0	0	0	0	0	0	ievērošanu
adherent	0	0	0	0	0	0	0	0	0	0	pieķērušies
adhering	0	0	0	0	0	0	0	0	0	1	pieturoties
adhesion	0	0	0	0	0	0	0	0	0	0	saķere
adhesive	0	0	0	0	0	0	0	0	0	0	līmi
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	taukains
adjacency	0	0	0	0	0	0	0	0	0	0	blakus
adjacent	0	0	0	0	0	0	0	0	0	0	blakus
adjective	0	0	0	0	0	0	0	0	0	0	īpašības vārds
adjoining	0	0	0	0	0	0	0	0	0	0	blakus
adjourn	0	0	0	0	0	0	0	0	0	0	atlikt
adjournment	0	0	0	0	0	0	0	0	0	0	atlikšana
adjudicate	0	0	0	1	0	1	0	0	0	0	spriest
adjudication	0	0	0	0	0	0	0	0	0	0	spriedumu
adjunct	0	0	0	0	0	0	1	0	0	0	papildinājums
adjust	0	0	0	0	0	0	0	0	0	0	pielāgot
adjustment	0	0	0	0	0	0	0	0	0	0	regulēšana
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvants
administer	0	0	0	0	0	0	0	0	0	0	administrēt
administration	0	0	0	0	0	0	0	0	0	0	administrācija
administrative	0	0	0	0	0	0	0	0	0	1	administratīvā
admirable	0	0	0	0	1	0	1	0	0	1	apbrīnas vērts
admiral	0	0	0	0	0	0	1	0	0	1	admirālis
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitāte
admiration	0	0	0	0	1	0	1	0	0	1	apbrīnu
admire	0	0	0	0	0	0	1	0	0	1	apbrīnot
admirer	0	0	0	0	0	0	1	0	0	0	cienītājs
admissibility	0	0	0	0	0	0	0	0	0	0	pieļaujamību
admissible	0	0	0	0	0	0	1	0	0	1	pieļaujama
admission	0	0	0	0	0	0	0	0	0	0	uzņemšana
admit	0	0	0	0	0	0	0	0	0	0	atzīties
admittance	0	0	0	0	0	0	0	0	0	0	uzņemšana
admitted	0	0	0	0	0	0	0	0	0	0	atzina
admitting	0	0	0	0	0	0	0	0	0	0	atzīstot
admixture	0	0	0	0	0	0	0	0	0	0	piemaisījums
admonition	0	0	0	1	0	1	0	0	0	0	brīdinājums
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	pusaudža gados
adolescent	0	0	0	0	0	0	0	0	0	0	pusaudzis
adopt	0	0	0	0	0	0	0	0	0	0	adoptēt
adoption	0	0	0	0	0	0	0	0	0	0	adopcija
adorable	0	0	0	0	1	0	1	0	0	0	burvīgs
adoration	0	0	0	0	1	0	1	0	0	1	pielūgsme
adore	0	1	0	0	1	0	1	0	0	1	dievinu
adorn	0	0	0	0	0	0	0	0	0	0	izgreznot
adornment	0	0	0	0	0	0	0	0	0	0	rota
adrift	0	1	0	1	0	1	0	1	0	0	dreifēt
adult	0	0	0	0	0	0	0	0	0	0	pieaugušais
adulterated	0	0	0	0	0	1	0	0	0	0	viltots
adultery	0	0	1	0	0	1	0	1	0	0	laulības pārkāpšana
advance	0	1	0	1	1	0	1	0	1	0	iepriekš
advanced	0	0	0	0	0	0	1	0	0	0	uzlabotas
advancement	0	0	0	0	0	0	1	0	0	0	attīstība
advancing	0	0	0	0	0	0	0	0	0	0	virzās uz priekšu
advantage	0	0	0	0	0	0	1	0	0	0	priekšrocība
advantageous	0	0	0	0	0	0	1	0	0	0	izdevīgi
advent	0	1	0	0	1	0	1	0	0	1	advente
adventure	0	1	0	0	0	0	1	0	0	0	piedzīvojums
adventurer	0	0	0	0	0	0	0	0	0	0	piedzīvojumu meklētājs
adventurous	0	0	0	0	0	0	1	0	0	0	piedzīvojumu kārs
adversary	1	0	0	0	0	1	0	0	0	0	pretinieks
adverse	1	0	1	1	0	1	0	1	0	0	nelabvēlīgs
adversity	1	0	0	1	0	1	0	1	0	0	likstas
advertise	0	0	0	0	0	0	0	0	0	0	reklamēt
advertisement	0	0	0	0	0	0	0	0	0	0	reklāma
advice	0	0	0	0	0	0	0	0	0	1	padoms
advisable	0	0	0	0	0	0	1	0	0	1	ieteicams
advise	0	0	0	0	0	0	1	0	0	1	padomu
advised	0	0	0	0	0	0	0	0	0	1	ieteica
advisement	0	0	0	0	0	0	0	0	0	0	padomu
adviser	0	0	0	0	0	0	1	0	0	1	padomnieks
advocacy	1	1	0	0	1	0	1	0	0	1	aizstāvība
advocate	0	0	0	0	0	0	0	0	0	1	advokāts
aegis	0	0	0	0	0	0	0	0	0	0	egis
aeration	0	0	0	0	0	0	0	0	0	0	aerācija
aerial	0	0	0	0	0	0	0	0	0	0	gaisa
aerodrome	0	0	0	0	0	0	0	0	0	0	lidlauks
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	lidmašīna
aesthetic	0	0	0	0	0	0	1	0	0	0	estētiska
aesthetics	0	0	0	0	1	0	1	0	0	0	estētika
aetiology	0	0	0	0	0	0	0	0	0	0	etioloģija
afar	0	0	0	0	0	0	0	0	0	0	tālu
affable	0	0	0	0	0	0	1	0	0	0	laipns
affair	0	0	0	0	0	0	0	0	0	0	afēra
affecting	0	0	0	0	0	0	0	0	0	0	ietekmējot
affection	0	0	0	0	1	0	1	0	0	1	pieķeršanās
affections	0	0	0	0	0	0	0	0	0	0	pieķeršanās
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	apliecinājums
affiliated	0	0	0	0	0	0	1	0	0	0	saistīts
affiliation	0	0	0	0	0	0	0	0	0	0	piederība
affinity	0	0	0	0	0	0	0	0	0	0	afinitāte
affirm	0	0	0	0	0	0	1	0	0	1	apliecināt
affirmation	0	0	0	0	0	0	1	0	0	0	apstiprinājums
affirmative	0	0	0	0	0	0	1	0	0	0	apstiprinošs
affirmatively	0	0	0	0	0	0	1	0	0	1	apstiprinoši
affix	0	0	0	0	0	0	0	0	0	0	piestiprināt
afflict	0	0	0	1	0	1	0	1	0	0	nomocīt
afflicted	0	0	0	0	0	1	0	0	0	0	nomocīts
affliction	0	0	1	1	0	1	0	1	0	0	ciešanas
affluence	0	0	0	0	1	0	1	0	0	0	pārticība
affluent	0	0	0	0	0	0	1	0	0	0	pārtikušais
afford	0	0	0	0	0	0	1	0	0	0	atļauties
affront	1	0	1	1	0	1	0	1	1	0	aizvainojoši
afield	0	0	0	0	0	0	0	0	0	0	laukā
afore	0	0	0	0	0	0	0	0	0	0	iepriekš
aforementioned	0	0	0	0	0	0	0	0	0	0	iepriekšminēto
aforesaid	0	0	0	0	0	0	0	0	0	0	iepriekš minēto
afraid	0	0	0	1	0	1	0	0	0	0	bail
afresh	0	0	0	0	0	0	0	0	0	0	no jauna
aft	0	0	0	0	0	0	0	0	0	0	pakaļgals
aftermath	1	0	1	1	0	1	0	1	0	0	sekas
afternoon	0	0	0	0	0	0	0	0	0	0	pēcpusdiena
aftertaste	0	0	0	0	0	1	0	0	0	0	pēcgarša
afterthought	0	0	0	0	0	0	0	0	0	0	pēcpārdomas
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ahāts
age	0	0	0	0	0	0	0	0	0	0	vecums
aged	0	0	0	0	0	0	0	0	0	0	vecumā
agency	0	0	0	0	0	0	0	0	0	0	aģentūra
agent	0	0	0	0	0	0	0	0	0	0	aģents
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerācija
aggravated	1	0	0	0	0	1	0	0	0	0	saasināts
aggravating	1	0	0	0	0	1	0	1	0	0	pastiprinoši
aggravation	1	0	1	0	0	1	0	0	0	0	saasināšanās
aggregate	0	0	0	0	0	0	0	0	0	0	agregāts
aggregation	0	0	0	0	0	0	0	0	0	0	apkopošana
aggression	1	0	0	1	0	1	0	0	0	0	agresija
aggressive	1	0	0	1	0	1	0	0	0	0	agresīvs
aggressor	1	0	0	1	0	1	0	0	0	0	agresors
aghast	0	0	1	1	0	1	0	0	1	0	satriekts
agile	0	0	0	0	0	0	1	0	0	0	veikls
agility	0	0	0	0	0	0	1	0	0	0	veiklība
agitated	1	0	0	0	0	1	0	0	0	0	satraukts
agitation	1	0	0	0	0	1	0	0	0	0	satraukums
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiķis
ago	0	0	0	0	0	0	0	0	0	0	pirms
agonizing	0	0	0	1	0	1	0	0	0	0	mokoša
agony	1	0	0	1	0	1	0	1	0	0	agonija
agree	0	0	0	0	0	0	1	0	0	0	piekrītu
agreeable	0	0	0	0	0	0	1	0	0	1	patīkami
agreed	0	0	0	0	0	0	1	0	0	1	piekrita
agreeing	0	0	0	0	0	0	1	0	0	1	piekrītot
agreement	0	0	0	0	0	0	1	0	0	1	vienošanās
agricultural	0	0	0	0	0	0	0	0	0	0	lauksaimniecības
agriculture	0	0	0	0	0	0	1	0	0	0	lauksaimniecība
aground	0	0	0	0	0	1	0	0	0	0	uz sēkļa
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	uz priekšu
aid	0	0	0	0	0	0	1	0	0	0	palīdzību
aiding	0	0	0	0	0	0	1	0	0	0	palīdzot
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	slims
ailment	0	0	0	0	0	0	0	0	0	0	kaite
aim	0	0	0	0	0	0	0	0	0	0	mērķis
aimless	0	0	0	0	0	1	0	0	0	0	bezmērķīgs
air	0	0	0	0	0	0	0	0	0	0	gaiss
airbag	0	0	0	0	0	0	0	0	0	0	gaisa spilvens
airlift	0	0	0	0	0	0	0	0	0	0	lidmašīnu
airline	0	0	0	0	0	0	0	0	0	0	aviokompānija
airman	0	0	0	0	0	0	0	0	0	0	lidotājs
airplane	0	0	0	0	0	0	0	0	0	0	lidmašīna
airport	0	1	0	0	0	0	0	0	0	0	lidosta
airs	0	0	1	0	0	1	0	0	0	0	gaisā
airship	0	0	0	0	0	0	0	0	0	0	dirižablis
aisle	0	0	0	0	0	0	0	0	0	0	eja
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	pusloka
akin	0	0	0	0	0	0	0	0	0	1	līdzīgs
alabaster	0	0	0	0	0	0	1	0	0	0	alabastrs
alarm	0	0	0	1	0	1	0	0	1	0	modinātājs
alarming	0	0	0	1	0	1	0	0	1	0	satraucoši
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albums
alchemy	0	0	0	0	0	0	0	0	0	0	alķīmija
alcohol	0	0	0	0	0	0	0	0	0	0	alkohols
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisms
alcove	0	0	0	0	0	0	0	0	0	0	nišā
alert	0	0	0	0	0	0	0	0	0	0	brīdinājums
alertness	0	1	0	1	0	0	1	0	1	0	modrība
alerts	0	1	0	1	0	0	0	0	1	0	brīdinājumus
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebriskā
algorithm	0	0	0	0	0	0	0	0	0	0	algoritms
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	citplanētietis
alienate	1	0	1	0	0	1	0	0	0	0	atsvešināt
alienated	0	0	0	0	0	1	0	1	0	0	atsvešināts
alienation	1	0	1	1	0	1	0	1	0	0	atsvešināšanās
alight	0	0	0	0	0	0	0	0	0	0	aizdegties
aligned	0	0	0	0	0	0	0	0	0	0	izlīdzinātas
alignment	0	0	0	0	0	0	0	0	0	0	izlīdzināšana
alike	0	0	0	0	0	0	0	0	0	0	līdzīgi
alimentation	0	0	0	0	0	0	1	0	0	0	ēdināšana
alimony	0	0	0	0	0	1	0	0	0	0	alimenti
aliquot	0	0	0	0	0	0	0	0	0	0	alikvota daļa
alive	0	1	0	0	1	0	1	0	0	1	dzīvs
alkali	0	0	0	0	0	0	0	0	0	0	sārms
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloīdi
allay	0	0	0	0	0	0	1	0	0	0	mazināt
allegation	1	0	0	0	0	1	0	0	0	0	apgalvojums
allege	0	0	0	0	0	1	0	0	0	0	apgalvot
alleged	0	0	0	0	0	0	0	0	0	0	apgalvots
allegiance	0	0	0	0	0	0	1	0	0	1	uzticību
allegorical	0	0	0	0	0	0	0	0	0	0	alegorisks
allegory	0	0	0	0	0	0	0	0	0	0	alegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	atvieglot
alleviation	0	0	0	0	0	0	1	0	0	0	atvieglošana
alley	0	0	0	0	0	0	0	0	0	0	aleja
alliance	0	0	0	0	0	0	0	0	0	1	alianse
allied	0	0	0	0	0	0	1	0	0	1	sabiedrotais
alligator	0	0	0	0	0	0	0	0	0	0	aligators
allocate	0	0	0	0	0	0	0	0	0	0	piešķirt
allocation	0	0	0	0	0	0	0	0	0	0	sadalīšana
allot	0	0	0	0	0	0	0	0	0	0	piešķirt
allotment	0	0	0	0	0	0	0	0	0	0	piešķiršana
allowable	0	0	0	0	0	0	1	0	0	0	pieļaujama
allowance	0	0	0	0	0	0	0	0	0	0	pabalstu
allowed	0	0	0	0	0	0	0	0	0	0	atļauts
alloy	0	0	0	0	0	0	0	0	0	0	sakausējums
allure	0	1	0	0	1	0	1	0	1	0	vilinājums
alluring	0	0	0	0	0	0	1	0	0	0	pievilcīgs
allusion	0	0	0	0	0	0	0	0	0	0	mājienu
alluvial	0	0	0	0	0	0	0	0	0	0	aluviāls
ally	0	0	0	0	0	0	1	0	0	1	sabiedrotais
almanac	0	0	0	0	0	0	0	0	0	0	almanahs
almighty	0	0	0	0	0	0	1	0	0	0	visvarenais
aloft	0	0	0	0	0	0	0	0	0	0	augstumā
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	līdzās
aloof	0	0	0	0	0	1	0	0	0	0	savrup
aloud	0	0	0	0	0	0	0	0	0	0	skaļi
alphabet	0	0	0	0	0	0	0	0	0	0	alfabēts
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabētiskā secībā
altar	0	0	0	0	0	0	0	0	0	0	altāris
alter	0	0	0	0	0	0	0	0	0	0	mainīt
alteration	0	0	0	0	0	0	0	0	0	0	izmaiņas
altercation	1	0	0	0	0	1	0	0	0	0	strīds
altered	0	0	0	0	0	0	0	0	0	0	mainīts
alternate	0	0	0	0	0	0	0	0	0	0	aizstājējs
alternative	0	0	0	0	0	0	0	0	0	0	alternatīva
altitude	0	0	0	0	0	0	0	0	0	0	augstumā
alto	0	0	0	0	0	0	0	0	0	0	alts
altogether	0	0	0	0	0	0	0	0	0	0	vispār
alumnus	0	0	0	0	0	0	0	0	0	0	absolvents
alveolar	0	0	0	0	0	0	0	0	0	0	alveolārais
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	apvienošana
amass	0	0	0	0	0	0	0	0	0	0	uzkrāj
amateur	0	0	0	0	0	0	0	0	0	0	amatieris
amaze	0	0	0	0	0	0	0	0	1	0	pārsteigt
amazement	0	0	0	0	0	0	0	0	0	0	izbrīns
amazingly	0	0	0	0	1	0	1	0	1	0	apbrīnojami
ambassador	0	0	0	0	0	0	1	0	0	1	vēstnieks
amber	0	0	0	0	0	0	0	0	0	0	dzintars
ambient	0	0	0	0	0	0	0	0	0	0	apkārtējā
ambiguity	0	0	0	0	0	0	0	0	0	0	neskaidrība
ambiguous	0	0	0	0	0	1	0	0	0	0	neviennozīmīgi
ambit	0	0	0	0	0	0	0	0	0	0	vērienu
ambition	0	1	0	0	1	0	1	0	0	1	ambīcijas
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciozi
ambulance	0	0	0	1	0	0	0	0	0	1	ātrā palīdzība
ambush	1	0	0	1	0	1	0	0	1	0	slazds
ameliorate	0	0	0	0	0	0	1	0	0	0	uzlabot
amen	0	0	0	0	1	0	1	0	0	1	āmen
amenable	0	0	0	0	0	0	1	0	0	0	pieņemams
amend	0	0	0	0	0	0	1	0	0	0	grozīt
amendment	0	0	0	0	0	0	0	0	0	0	grozījums
amends	0	0	0	0	0	0	1	0	0	0	groza
amenity	0	0	0	0	0	0	1	0	0	0	ērtībām
amethyst	0	0	0	0	0	0	0	0	0	0	ametists
amiable	0	0	0	0	0	0	1	0	0	0	draudzīgs
amicable	0	0	0	0	1	0	1	0	0	0	draudzīgs
amid	0	0	0	0	0	0	0	0	0	0	vidū
amidst	0	0	0	0	0	0	0	0	0	0	vidū
ammonia	0	0	1	0	0	0	0	0	0	0	amonjaks
ammunition	0	0	0	0	0	0	0	0	0	0	munīcija
amnesia	0	0	0	0	0	1	0	0	0	0	amnēzija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestija
amorphous	0	0	0	0	0	0	0	0	0	0	amorfs
