English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Haitian-Creole Word
accursed	1	0	0	1	0	1	0	1	0	0	madichon
accusation	1	0	1	0	0	1	0	0	0	0	akizasyon
accusative	0	0	0	0	0	1	0	0	0	0	akuzatif
accused	1	0	0	1	0	1	0	0	0	0	akize
accuser	1	0	0	1	0	1	0	0	0	0	akize
accusing	1	0	0	1	0	1	0	0	0	0	akize
accustomed	0	0	0	0	0	0	0	0	0	0	abitye
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	fè mal
achieve	0	0	0	0	1	0	1	0	0	1	reyalize
achievement	0	1	0	0	1	0	1	0	0	1	reyalizasyon
aching	0	0	0	0	0	1	0	1	0	0	fè mal
acid	0	0	0	0	0	1	0	0	0	0	asid
acidity	0	0	0	0	0	0	0	0	0	0	asidite
acknowledge	0	0	0	0	0	0	0	0	0	0	rekonèt
acknowledged	0	0	0	0	0	0	0	0	0	0	rekonèt
acknowledgment	0	0	0	0	0	0	1	0	0	0	rekonesans
acme	0	0	0	0	0	0	0	0	0	0	akme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	konnen
acquaintance	0	0	0	0	0	0	0	0	0	0	konesans
acquainted	0	0	0	0	0	0	0	0	0	0	konnen
acquiescence	0	0	0	0	0	0	0	0	0	0	akize
acquire	0	0	0	0	0	0	1	0	0	0	jwenn
acquiring	0	1	0	0	0	0	1	0	0	0	akizisyon
acquisition	0	0	0	0	0	0	0	0	0	0	akizisyon
acquisitions	0	0	0	0	0	0	0	0	0	0	akizisyon
acreage	0	0	0	0	0	0	0	0	0	0	sipèfisi
acres	0	0	0	0	0	0	0	0	0	0	kawo tè
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	aji
acting	0	0	0	0	0	0	0	0	0	0	aji
action	0	0	0	0	0	0	1	0	0	0	aksyon
actionable	1	0	1	0	0	1	0	0	0	0	aksyonab
active	0	0	0	0	0	0	0	0	0	0	aktif
activity	0	0	0	0	0	0	0	0	0	0	aktivite
actor	0	0	0	0	0	0	0	0	0	0	aktè
actual	0	0	0	0	0	0	1	0	0	0	aktyèl
actuality	0	0	0	0	0	0	0	0	0	0	aktyalite
actuary	0	0	0	0	0	0	0	0	0	0	aktuarya
acuity	0	0	0	0	0	0	1	0	0	0	akwite
acumen	0	0	0	0	0	0	1	0	0	0	kouraj
acupuncture	0	0	0	0	0	0	0	0	0	0	akuponktur
acutely	0	0	0	0	0	0	0	0	0	0	byen klè
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	diman
adapt	0	0	0	0	0	0	1	0	0	0	adapte
adaptable	0	0	0	0	0	0	1	0	0	0	adaptab
add	0	0	0	0	0	0	0	0	0	0	ajoute
added	0	0	0	0	0	0	0	0	0	0	te ajoute
addendum	0	0	0	0	0	0	0	0	0	0	adisyon
adder	1	0	1	1	0	1	0	1	0	0	vipère
addiction	0	0	0	0	0	1	0	0	0	0	dejwe
addition	0	0	0	0	0	0	0	0	0	0	adisyon
additional	0	0	0	0	0	0	0	0	0	0	adisyonèl
additive	0	0	0	0	0	0	0	0	0	0	aditif
address	0	0	0	0	0	0	0	0	0	0	adrès
addressee	0	0	0	0	0	0	0	0	0	0	destinataire
addresses	0	1	0	0	0	0	1	0	0	0	adrès
adept	0	0	0	0	0	0	1	0	0	0	abil
adequacy	0	0	0	0	0	0	1	0	0	0	konpetans
adequate	0	0	0	0	0	0	0	0	0	0	adekwat
adhere	0	0	0	0	0	0	0	0	0	0	respekte
adherence	0	0	0	0	0	0	0	0	0	0	aderans
adherent	0	0	0	0	0	0	0	0	0	0	aderan
adhering	0	0	0	0	0	0	0	0	0	1	adhérant
adhesion	0	0	0	0	0	0	0	0	0	0	adezyon
adhesive	0	0	0	0	0	0	0	0	0	0	adezif
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipoz
adjacency	0	0	0	0	0	0	0	0	0	0	adjasans
adjacent	0	0	0	0	0	0	0	0	0	0	adjasan
adjective	0	0	0	0	0	0	0	0	0	0	adjektif
adjoining	0	0	0	0	0	0	0	0	0	0	vwazin
adjourn	0	0	0	0	0	0	0	0	0	0	ranvwaye
adjournment	0	0	0	0	0	0	0	0	0	0	ajounman
adjudicate	0	0	0	1	0	1	0	0	0	0	jije
adjudication	0	0	0	0	0	0	0	0	0	0	jijman
adjunct	0	0	0	0	0	0	1	0	0	0	adjwen
adjust	0	0	0	0	0	0	0	0	0	0	ajiste
adjustment	0	0	0	0	0	0	0	0	0	0	ajisteman
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administre
administration	0	0	0	0	0	0	0	0	0	0	administrasyon
administrative	0	0	0	0	0	0	0	0	0	1	administratif
admirable	0	0	0	0	1	0	1	0	0	1	admirab
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralite
admiration	0	0	0	0	1	0	1	0	0	1	admirasyon
admire	0	0	0	0	0	0	1	0	0	1	admire
admirer	0	0	0	0	0	0	1	0	0	0	admirateur
admissibility	0	0	0	0	0	0	0	0	0	0	admisibilite
admissible	0	0	0	0	0	0	1	0	0	1	admisib
admission	0	0	0	0	0	0	0	0	0	0	admisyon
admit	0	0	0	0	0	0	0	0	0	0	admèt
admittance	0	0	0	0	0	0	0	0	0	0	admisyon
admitted	0	0	0	0	0	0	0	0	0	0	admèt
admitting	0	0	0	0	0	0	0	0	0	0	admèt
admixture	0	0	0	0	0	0	0	0	0	0	melanj
admonition	0	0	0	1	0	1	0	0	0	0	avètisman
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolesans
adolescent	0	0	0	0	0	0	0	0	0	0	adolesan
adopt	0	0	0	0	0	0	0	0	0	0	adopte
adoption	0	0	0	0	0	0	0	0	0	0	adopsyon
adorable	0	0	0	0	1	0	1	0	0	0	adorabl
adoration	0	0	0	0	1	0	1	0	0	1	adorasyon
adore	0	1	0	0	1	0	1	0	0	1	adore
adorn	0	0	0	0	0	0	0	0	0	0	dekore
adornment	0	0	0	0	0	0	0	0	0	0	dekorasyon
adrift	0	1	0	1	0	1	0	1	0	0	derive
adult	0	0	0	0	0	0	0	0	0	0	granmoun
adulterated	0	0	0	0	0	1	0	0	0	0	adiltè
adultery	0	0	1	0	0	1	0	1	0	0	adiltè
advance	0	1	0	1	1	0	1	0	1	0	avanse
advanced	0	0	0	0	0	0	1	0	0	0	avanse
advancement	0	0	0	0	0	0	1	0	0	0	avansman
advancing	0	0	0	0	0	0	0	0	0	0	avanse
advantage	0	0	0	0	0	0	1	0	0	0	avantaj
advantageous	0	0	0	0	0	0	1	0	0	0	avantaje
advent	0	1	0	0	1	0	1	0	0	1	lavenman
adventure	0	1	0	0	0	0	1	0	0	0	avanti
adventurer	0	0	0	0	0	0	0	0	0	0	avanturyé
adventurous	0	0	0	0	0	0	1	0	0	0	avantur
adversary	1	0	0	0	0	1	0	0	0	0	advèsè
adverse	1	0	1	1	0	1	0	1	0	0	negatif
adversity	1	0	0	1	0	1	0	1	0	0	advèsite
advertise	0	0	0	0	0	0	0	0	0	0	fè piblisite
advertisement	0	0	0	0	0	0	0	0	0	0	reklam
advice	0	0	0	0	0	0	0	0	0	1	konsèy
advisable	0	0	0	0	0	0	1	0	0	1	konseye
advise	0	0	0	0	0	0	1	0	0	1	konseye
advised	0	0	0	0	0	0	0	0	0	1	konseye
advisement	0	0	0	0	0	0	0	0	0	0	konsèy
adviser	0	0	0	0	0	0	1	0	0	1	konseye
advocacy	1	1	0	0	1	0	1	0	0	1	defans
advocate	0	0	0	0	0	0	0	0	0	1	avoka
aegis	0	0	0	0	0	0	0	0	0	0	ejis
aeration	0	0	0	0	0	0	0	0	0	0	aere
aerial	0	0	0	0	0	0	0	0	0	0	ayeryen
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamik
aeronautics	0	0	0	0	0	0	0	0	0	0	aéronautique
aeroplane	0	0	0	0	0	0	0	0	0	0	avyon
aesthetic	0	0	0	0	0	0	1	0	0	0	ayestetik
aesthetics	0	0	0	0	1	0	1	0	0	0	estetik
aetiology	0	0	0	0	0	0	0	0	0	0	etyoloji
afar	0	0	0	0	0	0	0	0	0	0	byen lwen
affable	0	0	0	0	0	0	1	0	0	0	afab
affair	0	0	0	0	0	0	0	0	0	0	zafè
affecting	0	0	0	0	0	0	0	0	0	0	ki afekte
affection	0	0	0	0	1	0	1	0	0	1	afeksyon
affections	0	0	0	0	0	0	0	0	0	0	afeksyon
affiche	0	0	0	0	0	0	0	0	0	0	afich
affidavit	0	0	0	0	0	0	0	0	0	0	afidavi
affiliated	0	0	0	0	0	0	1	0	0	0	afilye
affiliation	0	0	0	0	0	0	0	0	0	0	afilyasyon
affinity	0	0	0	0	0	0	0	0	0	0	afinite
affirm	0	0	0	0	0	0	1	0	0	1	afime
affirmation	0	0	0	0	0	0	1	0	0	0	afimasyon
affirmative	0	0	0	0	0	0	1	0	0	0	afimatif
affirmatively	0	0	0	0	0	0	1	0	0	1	afimativman
affix	0	0	0	0	0	0	0	0	0	0	apoze
afflict	0	0	0	1	0	1	0	1	0	0	aflije
afflicted	0	0	0	0	0	1	0	0	0	0	aflije
affliction	0	0	1	1	0	1	0	1	0	0	afliksyon
affluence	0	0	0	0	1	0	1	0	0	0	richès
affluent	0	0	0	0	0	0	1	0	0	0	rich
afford	0	0	0	0	0	0	1	0	0	0	peye
affront	1	0	1	1	0	1	0	1	1	0	afwont
afield	0	0	0	0	0	0	0	0	0	0	lwen
afore	0	0	0	0	0	0	0	0	0	0	avan
aforementioned	0	0	0	0	0	0	0	0	0	0	mansyone pi wo a
aforesaid	0	0	0	0	0	0	0	0	0	0	susmande
afraid	0	0	0	1	0	1	0	0	0	0	pè
afresh	0	0	0	0	0	0	0	0	0	0	ankò
aft	0	0	0	0	0	0	0	0	0	0	dèyè
aftermath	1	0	1	1	0	1	0	1	0	0	konsekans
afternoon	0	0	0	0	0	0	0	0	0	0	apremidi
aftertaste	0	0	0	0	0	1	0	0	0	0	gou
afterthought	0	0	0	0	0	0	0	0	0	0	apre panse
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	laj
aged	0	0	0	0	0	0	0	0	0	0	ki gen laj
agency	0	0	0	0	0	0	0	0	0	0	ajans
agent	0	0	0	0	0	0	0	0	0	0	ajan
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerasyon
aggravated	1	0	0	0	0	1	0	0	0	0	agrave
aggravating	1	0	0	0	0	1	0	1	0	0	agrave
aggravation	1	0	1	0	0	1	0	0	0	0	agravasyon
aggregate	0	0	0	0	0	0	0	0	0	0	total
aggregation	0	0	0	0	0	0	0	0	0	0	agrégation
aggression	1	0	0	1	0	1	0	0	0	0	agresyon
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	agresè
aghast	0	0	1	1	0	1	0	0	1	0	sezi
agile	0	0	0	0	0	0	1	0	0	0	ajil
agility	0	0	0	0	0	0	1	0	0	0	ladrès
agitated	1	0	0	0	0	1	0	0	0	0	ajite
agitation	1	0	0	0	0	1	0	0	0	0	ajitasyon
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	de sa
agonizing	0	0	0	1	0	1	0	0	0	0	agonizan
agony	1	0	0	1	0	1	0	1	0	0	agoni
agree	0	0	0	0	0	0	1	0	0	0	dakò
agreeable	0	0	0	0	0	0	1	0	0	1	agreyab
agreed	0	0	0	0	0	0	1	0	0	1	te dakò
agreeing	0	0	0	0	0	0	1	0	0	1	dakò
agreement	0	0	0	0	0	0	1	0	0	1	akò
agricultural	0	0	0	0	0	0	0	0	0	0	agrikòl
agriculture	0	0	0	0	0	0	1	0	0	0	agrikilti
aground	0	0	0	0	0	1	0	0	0	0	achou
agua	0	0	0	0	0	0	0	0	0	0	dlo
ahead	0	0	0	0	0	0	1	0	0	0	devan
aid	0	0	0	0	0	0	1	0	0	0	èd
aiding	0	0	0	0	0	0	1	0	0	0	ede
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	malad
ailment	0	0	0	0	0	0	0	0	0	0	maladi
aim	0	0	0	0	0	0	0	0	0	0	vize
aimless	0	0	0	0	0	1	0	0	0	0	san objektif
air	0	0	0	0	0	0	0	0	0	0	lè
airbag	0	0	0	0	0	0	0	0	0	0	èrbag
airlift	0	0	0	0	0	0	0	0	0	0	avyon
airline	0	0	0	0	0	0	0	0	0	0	avyon
airman	0	0	0	0	0	0	0	0	0	0	avyon
airplane	0	0	0	0	0	0	0	0	0	0	avyon
airport	0	1	0	0	0	0	0	0	0	0	ayewopò
airs	0	0	1	0	0	1	0	0	0	0	lè
airship	0	0	0	0	0	0	0	0	0	0	dirijabl
aisle	0	0	0	0	0	0	0	0	0	0	koulwa
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	bouche
akin	0	0	0	0	0	0	0	0	0	1	analogue
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alam
alarming	0	0	0	1	0	1	0	0	1	0	alarmant
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimi
alcohol	0	0	0	0	0	0	0	0	0	0	alkòl
alcoholism	1	0	1	1	0	1	0	1	0	0	alkòl
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	alèt
alertness	0	1	0	1	0	0	1	0	1	0	vijilans
alerts	0	1	0	1	0	0	0	0	1	0	alèt
alfalfa	0	0	0	0	0	0	0	0	0	0	Alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljèb
algebraic	0	0	0	0	0	0	0	0	0	0	aljebrik
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	etranje
alienate	1	0	1	0	0	1	0	0	0	0	alyene
alienated	0	0	0	0	0	1	0	1	0	0	alyene
alienation	1	0	1	1	0	1	0	1	0	0	izolman
alight	0	0	0	0	0	0	0	0	0	0	limen
aligned	0	0	0	0	0	0	0	0	0	0	aliyen
alignment	0	0	0	0	0	0	0	0	0	0	aliyman
alike	0	0	0	0	0	0	0	0	0	0	menm jan
alimentation	0	0	0	0	0	0	1	0	0	0	alimantasyon
alimony	0	0	0	0	0	1	0	0	0	0	pansyon alimantè
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	vivan
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkalwa
allay	0	0	0	0	0	0	1	0	0	0	soulaje
allegation	1	0	0	0	0	1	0	0	0	0	akizasyon
allege	0	0	0	0	0	1	0	0	0	0	akize
alleged	0	0	0	0	0	0	0	0	0	0	swadizan
allegiance	0	0	0	0	0	0	1	0	0	1	fidelite
allegorical	0	0	0	0	0	0	0	0	0	0	alegorik
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	soulaje
alleviation	0	0	0	0	0	0	1	0	0	0	soulajman
alley	0	0	0	0	0	0	0	0	0	0	ale
alliance	0	0	0	0	0	0	0	0	0	1	alyans
allied	0	0	0	0	0	0	1	0	0	1	alye
alligator	0	0	0	0	0	0	0	0	0	0	Kayiman
allocate	0	0	0	0	0	0	0	0	0	0	asiyen
allocation	0	0	0	0	0	0	0	0	0	0	alokasyon
allot	0	0	0	0	0	0	0	0	0	0	lot
allotment	0	0	0	0	0	0	0	0	0	0	alokasyon
allowable	0	0	0	0	0	0	1	0	0	0	akseptab
allowance	0	0	0	0	0	0	0	0	0	0	alokasyon
allowed	0	0	0	0	0	0	0	0	0	0	pèmèt
alloy	0	0	0	0	0	0	0	0	0	0	alyaj
allure	0	1	0	0	1	0	1	0	1	0	atiran
alluring	0	0	0	0	0	0	1	0	0	0	atiran
allusion	0	0	0	0	0	0	0	0	0	0	alizyon
alluvial	0	0	0	0	0	0	0	0	0	0	alluvion
ally	0	0	0	0	0	0	1	0	0	1	alye
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	ki gen tout pouvwa
aloft	0	0	0	0	0	0	0	0	0	0	anlè
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ansanm
aloof	0	0	0	0	0	1	0	0	0	0	lwen
aloud	0	0	0	0	0	0	0	0	0	0	byen fò
alphabet	0	0	0	0	0	0	0	0	0	0	alfabè
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetik
altar	0	0	0	0	0	0	0	0	0	0	lotèl
alter	0	0	0	0	0	0	0	0	0	0	chanje
alteration	0	0	0	0	0	0	0	0	0	0	chanjman
altercation	1	0	0	0	0	1	0	0	0	0	diskisyon
altered	0	0	0	0	0	0	0	0	0	0	chanje
alternate	0	0	0	0	0	0	0	0	0	0	altène
alternative	0	0	0	0	0	0	0	0	0	0	altènatif
altitude	0	0	0	0	0	0	0	0	0	0	altitid
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tout ansanm
alumnus	0	0	0	0	0	0	0	0	0	0	ansyen elèv
alveolar	0	0	0	0	0	0	0	0	0	0	alveolè
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamasyon
amass	0	0	0	0	0	0	0	0	0	0	rasanble
amateur	0	0	0	0	0	0	0	0	0	0	amatè
amaze	0	0	0	0	0	0	0	0	1	0	sezi
amazement	0	0	0	0	0	0	0	0	0	0	sezi
amazingly	0	0	0	0	1	0	1	0	1	0	etonan
ambassador	0	0	0	0	0	0	1	0	0	1	anbasadè
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	anbyen
ambiguity	0	0	0	0	0	0	0	0	0	0	anbigwite
ambiguous	0	0	0	0	0	1	0	0	0	0	anbigwi
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	Anbisyon
ambitious	0	0	0	0	0	0	0	0	0	0	anbisye
ambulance	0	0	0	1	0	0	0	0	0	1	anbilans
ambush	1	0	0	1	0	1	0	0	1	0	anbiskad
ameliorate	0	0	0	0	0	0	1	0	0	0	amelyore
amen	0	0	0	0	1	0	1	0	0	1	amèn
amenable	0	0	0	0	0	0	1	0	0	0	aseptab
amend	0	0	0	0	0	0	1	0	0	0	amande
amendment	0	0	0	0	0	0	0	0	0	0	amannman
amends	0	0	0	0	0	0	1	0	0	0	amann
amenity	0	0	0	0	0	0	1	0	0	0	ekipman
amethyst	0	0	0	0	0	0	0	0	0	0	ametis
amiable	0	0	0	0	0	0	1	0	0	0	amyab
amicable	0	0	0	0	1	0	1	0	0	0	amikal
amid	0	0	0	0	0	0	0	0	0	0	nan mitan
amidst	0	0	0	0	0	0	0	0	0	0	nan mitan
ammonia	0	0	1	0	0	0	0	0	0	0	amonyak
ammunition	0	0	0	0	0	0	0	0	0	0	minisyon
amnesia	0	0	0	0	0	1	0	0	0	0	amnésie
amnesty	0	0	0	0	1	0	1	0	0	0	amnisti
amorphous	0	0	0	0	0	0	0	0	0	0	amorphe
amortization	0	0	0	0	0	0	0	0	0	1	amortissement
amount	0	0	0	0	0	0	0	0	0	0	kantite lajan
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	anfibyen
amphibious	0	0	0	0	0	0	0	0	0	0	anfibi
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteyat
amplification	0	0	0	0	0	0	0	0	0	0	anplifikasyon
amplify	0	0	0	0	0	0	0	0	0	0	anplifye
amplitude	0	0	0	0	0	0	0	0	0	0	anplitid
amply	0	0	0	0	0	0	0	0	0	0	anpil
amputation	0	0	0	0	0	0	0	0	0	0	anpitasyon
amulet	0	0	0	0	0	0	0	0	0	0	Hamlet
amuse	0	0	0	0	1	0	1	0	0	0	amize
amused	0	0	0	0	1	0	1	0	0	0	amize
amusement	0	0	0	0	1	0	1	0	0	0	amizman
amusing	0	0	0	0	1	0	1	0	0	0	amizan
ana	0	0	0	0	0	0	0	0	0	0	ana
