English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Serbian Word
aegis	0	0	0	0	0	0	0	0	0	0	аегис
aeration	0	0	0	0	0	0	0	0	0	0	аерација
aerial	0	0	0	0	0	0	0	0	0	0	ваздушни
aerodrome	0	0	0	0	0	0	0	0	0	0	аеродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аеродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аеронаутике
aeroplane	0	0	0	0	0	0	0	0	0	0	авион
aesthetic	0	0	0	0	0	0	1	0	0	0	естетски
aesthetics	0	0	0	0	1	0	1	0	0	0	естетика
aetiology	0	0	0	0	0	0	0	0	0	0	етиологија
afar	0	0	0	0	0	0	0	0	0	0	афар
affable	0	0	0	0	0	0	1	0	0	0	пријатан
affair	0	0	0	0	0	0	0	0	0	0	афера
affecting	0	0	0	0	0	0	0	0	0	0	утичући
affection	0	0	0	0	1	0	1	0	0	1	наклоност
affections	0	0	0	0	0	0	0	0	0	0	наклоности
affiche	0	0	0	0	0	0	0	0	0	0	аффицхе
affidavit	0	0	0	0	0	0	0	0	0	0	изјава под заклетвом
affiliated	0	0	0	0	0	0	1	0	0	0	повезаним
affiliation	0	0	0	0	0	0	0	0	0	0	припадности
affinity	0	0	0	0	0	0	0	0	0	0	афинитет
affirm	0	0	0	0	0	0	1	0	0	1	афирмисати
affirmation	0	0	0	0	0	0	1	0	0	0	афирмацију
affirmative	0	0	0	0	0	0	1	0	0	0	потврдан
affirmatively	0	0	0	0	0	0	1	0	0	1	афирмативно
affix	0	0	0	0	0	0	0	0	0	0	афикс
afflict	0	0	0	1	0	1	0	1	0	0	афицирати
afflicted	0	0	0	0	0	1	0	0	0	0	напаћени
affliction	0	0	1	1	0	1	0	1	0	0	невоља
affluence	0	0	0	0	1	0	1	0	0	0	богатство
affluent	0	0	0	0	0	0	1	0	0	0	имућан
afford	0	0	0	0	0	0	1	0	0	0	приуштити
affront	1	0	1	1	0	1	0	1	1	0	увреде
afield	0	0	0	0	0	0	0	0	0	0	афиелд
afore	0	0	0	0	0	0	0	0	0	0	афоре
aforementioned	0	0	0	0	0	0	0	0	0	0	горе поменутог
aforesaid	0	0	0	0	0	0	0	0	0	0	поменутог
afraid	0	0	0	1	0	1	0	0	0	0	уплашен
afresh	0	0	0	0	0	0	0	0	0	0	изнова
aft	0	0	0	0	0	0	0	0	0	0	при крми
aftermath	1	0	1	1	0	1	0	1	0	0	последице
afternoon	0	0	0	0	0	0	0	0	0	0	поподневни
aftertaste	0	0	0	0	0	1	0	0	0	0	афтертасте
afterthought	0	0	0	0	0	0	0	0	0	0	накнадно размишљање
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	ахат
age	0	0	0	0	0	0	0	0	0	0	старости
aged	0	0	0	0	0	0	0	0	0	0	старости
agency	0	0	0	0	0	0	0	0	0	0	агенција
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерација
aggravated	1	0	0	0	0	1	0	0	0	0	отежано
aggravating	1	0	0	0	0	1	0	1	0	0	отежавајуће
aggravation	1	0	1	0	0	1	0	0	0	0	погоршање
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	агрегација
aggression	1	0	0	1	0	1	0	0	0	0	агресија
aggressive	1	0	0	1	0	1	0	0	0	0	агресиван
aggressor	1	0	0	1	0	1	0	0	0	0	агресор
aghast	0	0	1	1	0	1	0	0	1	0	згрожен
agile	0	0	0	0	0	0	1	0	0	0	окретан
agility	0	0	0	0	0	0	1	0	0	0	окретност
agitated	1	0	0	0	0	1	0	0	0	0	узнемирен
agitation	1	0	0	0	0	1	0	0	0	0	узнемиреност
agnostic	0	0	0	0	0	0	0	0	0	0	агностички
ago	0	0	0	0	0	0	0	0	0	0	пре
agonizing	0	0	0	1	0	1	0	0	0	0	агонизирајући
agony	1	0	0	1	0	1	0	1	0	0	агонија
agree	0	0	0	0	0	0	1	0	0	0	договорити се
agreeable	0	0	0	0	0	0	1	0	0	1	пријатан
agreed	0	0	0	0	0	0	1	0	0	1	пристао
agreeing	0	0	0	0	0	0	1	0	0	1	слажући се
agreement	0	0	0	0	0	0	1	0	0	1	договор
agricultural	0	0	0	0	0	0	0	0	0	0	пољопривредних
agriculture	0	0	0	0	0	0	1	0	0	0	пољопривреде
aground	0	0	0	0	0	1	0	0	0	0	насукан
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	напред
aid	0	0	0	0	0	0	1	0	0	0	помоћ
aiding	0	0	0	0	0	0	1	0	0	0	помагање
ail	0	0	0	0	0	1	0	1	0	0	аил
ailing	0	0	0	1	0	1	0	1	0	0	аилинг
ailment	0	0	0	0	0	0	0	0	0	0	болест
aim	0	0	0	0	0	0	0	0	0	0	циљ
aimless	0	0	0	0	0	1	0	0	0	0	бесциљно
air	0	0	0	0	0	0	0	0	0	0	ваздух
airbag	0	0	0	0	0	0	0	0	0	0	ваздушни јастук
airlift	0	0	0	0	0	0	0	0	0	0	ваздушни лифт
airline	0	0	0	0	0	0	0	0	0	0	ваздушна линија
airman	0	0	0	0	0	0	0	0	0	0	авијатичар
airplane	0	0	0	0	0	0	0	0	0	0	авион
airport	0	1	0	0	0	0	0	0	0	0	аеродром
airs	0	0	1	0	0	1	0	0	0	0	ваздуха
airship	0	0	0	0	0	0	0	0	0	0	ваздушни брод
aisle	0	0	0	0	0	0	0	0	0	0	пролаз
ait	0	0	0	0	0	0	0	0	0	0	аит
ajar	0	0	0	0	0	0	0	0	0	0	ајар
akin	0	0	0	0	0	0	0	0	0	1	сродан
alabaster	0	0	0	0	0	0	1	0	0	0	алабастер
alarm	0	0	0	1	0	1	0	0	1	0	алармни
alarming	0	0	0	1	0	1	0	0	1	0	алармантно
alb	0	0	0	0	0	0	0	0	0	1	алб
album	0	0	0	0	0	0	0	0	0	0	албум
alchemy	0	0	0	0	0	0	0	0	0	0	алхемија
alcohol	0	0	0	0	0	0	0	0	0	0	алкохол
alcoholism	1	0	1	1	0	1	0	1	0	0	алкохолизам
alcove	0	0	0	0	0	0	0	0	0	0	алцове
alert	0	0	0	0	0	0	0	0	0	0	узбуна
alertness	0	1	0	1	0	0	1	0	1	0	будност
alerts	0	1	0	1	0	0	0	0	1	0	упозорења
alfalfa	0	0	0	0	0	0	0	0	0	0	луцерка
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебарски
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритам
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	ванземаљац
alienate	1	0	1	0	0	1	0	0	0	0	отуђити
alienated	0	0	0	0	0	1	0	1	0	0	отуђен
alienation	1	0	1	1	0	1	0	1	0	0	отуђење
alight	0	0	0	0	0	0	0	0	0	0	упалити
aligned	0	0	0	0	0	0	0	0	0	0	Поравнање
alignment	0	0	0	0	0	0	0	0	0	0	поравнање
alike	0	0	0	0	0	0	0	0	0	0	једнако
alimentation	0	0	0	0	0	0	1	0	0	0	исхрана
alimony	0	0	0	0	0	1	0	0	0	0	алиментација
aliquot	0	0	0	0	0	0	0	0	0	0	аликвот
alive	0	1	0	0	1	0	1	0	0	1	жив
alkali	0	0	0	0	0	0	0	0	0	0	алкалијски
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиди
allay	0	0	0	0	0	0	1	0	0	0	ублажити
allegation	1	0	0	0	0	1	0	0	0	0	навод
allege	0	0	0	0	0	1	0	0	0	0	наводе
alleged	0	0	0	0	0	0	0	0	0	0	наводно
allegiance	0	0	0	0	0	0	1	0	0	1	оданост
allegorical	0	0	0	0	0	0	0	0	0	0	алегоријски
allegory	0	0	0	0	0	0	0	0	0	0	алегорија
allegro	0	0	0	0	0	0	1	0	0	0	аллегро
alleviate	0	0	0	0	0	0	1	0	0	0	ублажити
alleviation	0	0	0	0	0	0	1	0	0	0	ублажавање
alley	0	0	0	0	0	0	0	0	0	0	сокак
alliance	0	0	0	0	0	0	0	0	0	1	савез
allied	0	0	0	0	0	0	1	0	0	1	савезнички
alligator	0	0	0	0	0	0	0	0	0	0	алигатор
allocate	0	0	0	0	0	0	0	0	0	0	издвојити
allocation	0	0	0	0	0	0	0	0	0	0	алокација
allot	0	0	0	0	0	0	0	0	0	0	доделити
allotment	0	0	0	0	0	0	0	0	0	0	алотмент
allowable	0	0	0	0	0	0	1	0	0	0	дозвољено
allowance	0	0	0	0	0	0	0	0	0	0	џепарац
allowed	0	0	0	0	0	0	0	0	0	0	дозвољен
alloy	0	0	0	0	0	0	0	0	0	0	легура
allure	0	1	0	0	1	0	1	0	1	0	привлачност
alluring	0	0	0	0	0	0	1	0	0	0	примамљив
allusion	0	0	0	0	0	0	0	0	0	0	алузија
alluvial	0	0	0	0	0	0	0	0	0	0	алувијалне
ally	0	0	0	0	0	0	1	0	0	1	савезник
almanac	0	0	0	0	0	0	0	0	0	0	алманах
almighty	0	0	0	0	0	0	1	0	0	0	свемогући
aloft	0	0	0	0	0	0	0	0	0	0	алофт
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	поред
aloof	0	0	0	0	0	1	0	0	0	0	резервисан
aloud	0	0	0	0	0	0	0	0	0	0	наглас
alphabet	0	0	0	0	0	0	0	0	0	0	алфабет
alphabetical	0	0	0	0	0	0	0	0	0	0	алфабетски
altar	0	0	0	0	0	0	0	0	0	0	олтар
alter	0	0	0	0	0	0	0	0	0	0	алтер
alteration	0	0	0	0	0	0	0	0	0	0	измена
altercation	1	0	0	0	0	1	0	0	0	0	свађање
altered	0	0	0	0	0	0	0	0	0	0	измењени
alternate	0	0	0	0	0	0	0	0	0	0	наизменично
alternative	0	0	0	0	0	0	0	0	0	0	алтернатива
altitude	0	0	0	0	0	0	0	0	0	0	домет
alto	0	0	0	0	0	0	0	0	0	0	алто
altogether	0	0	0	0	0	0	0	0	0	0	у целини
alumnus	0	0	0	0	0	0	0	0	0	0	алумнус
alveolar	0	0	0	0	0	0	0	0	0	0	алвеоларни
amalgam	0	0	0	0	0	0	0	0	0	0	амалгам
amalgamation	0	0	0	0	0	0	0	0	0	0	спајање
amass	0	0	0	0	0	0	0	0	0	0	нагомилати
amateur	0	0	0	0	0	0	0	0	0	0	аматерски
amaze	0	0	0	0	0	0	0	0	1	0	задивити
amazement	0	0	0	0	0	0	0	0	0	0	чуђење
amazingly	0	0	0	0	1	0	1	0	1	0	невероватно
ambassador	0	0	0	0	0	0	1	0	0	1	амбасадор
amber	0	0	0	0	0	0	0	0	0	0	ћилибар
ambient	0	0	0	0	0	0	0	0	0	0	амбијентални
ambiguity	0	0	0	0	0	0	0	0	0	0	двосмисленост
ambiguous	0	0	0	0	0	1	0	0	0	0	двосмислено
ambit	0	0	0	0	0	0	0	0	0	0	амбиција
ambition	0	1	0	0	1	0	1	0	0	1	амбиција
ambitious	0	0	0	0	0	0	0	0	0	0	амбициозан
ambulance	0	0	0	1	0	0	0	0	0	1	хитна помоћ
ambush	1	0	0	1	0	1	0	0	1	0	заседа
ameliorate	0	0	0	0	0	0	1	0	0	0	побољшати
amen	0	0	0	0	1	0	1	0	0	1	амин
amenable	0	0	0	0	0	0	1	0	0	0	подложан
amend	0	0	0	0	0	0	1	0	0	0	Исправити
amendment	0	0	0	0	0	0	0	0	0	0	амандман
amends	0	0	0	0	0	0	1	0	0	0	поправља
amenity	0	0	0	0	0	0	1	0	0	0	погодности
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	љубазни
amicable	0	0	0	0	1	0	1	0	0	0	пријатељски
amid	0	0	0	0	0	0	0	0	0	0	усред
amidst	0	0	0	0	0	0	0	0	0	0	усред
ammonia	0	0	1	0	0	0	0	0	0	0	амонијак
ammunition	0	0	0	0	0	0	0	0	0	0	муниције
amnesia	0	0	0	0	0	1	0	0	0	0	амнезија
amnesty	0	0	0	0	1	0	1	0	0	0	амнестија
amorphous	0	0	0	0	0	0	0	0	0	0	аморфна
amortization	0	0	0	0	0	0	0	0	0	1	амортизација
amount	0	0	0	0	0	0	0	0	0	0	износ
amour	0	1	0	0	1	0	1	0	0	1	амоур
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетамине
amphibian	0	0	0	0	0	0	0	0	0	0	водоземац
amphibious	0	0	0	0	0	0	0	0	0	0	амфибијски
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатар
amplification	0	0	0	0	0	0	0	0	0	0	појачање
amplify	0	0	0	0	0	0	0	0	0	0	појачати
amplitude	0	0	0	0	0	0	0	0	0	0	амплитуда
amply	0	0	0	0	0	0	0	0	0	0	обилно
amputation	0	0	0	0	0	0	0	0	0	0	ампутација
amulet	0	0	0	0	0	0	0	0	0	0	амајлија
amuse	0	0	0	0	1	0	1	0	0	0	забавити
amused	0	0	0	0	1	0	1	0	0	0	забављена
amusement	0	0	0	0	1	0	1	0	0	0	забава
amusing	0	0	0	0	1	0	1	0	0	0	забаван
