English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Finnish Word
adequate	0	0	0	0	0	0	0	0	0	0	riittävä
adhere	0	0	0	0	0	0	0	0	0	0	kiinni
adherence	0	0	0	0	0	0	0	0	0	0	sitoutuminen
adherent	0	0	0	0	0	0	0	0	0	0	noudattava
adhering	0	0	0	0	0	0	0	0	0	1	kiinni
adhesion	0	0	0	0	0	0	0	0	0	0	adheesiota
adhesive	0	0	0	0	0	0	0	0	0	0	liima
adieu	0	0	0	0	0	0	0	0	0	0	hyvästi
adipose	0	0	0	0	0	1	0	0	0	0	rasvainen
adjacency	0	0	0	0	0	0	0	0	0	0	läheisyys
adjacent	0	0	0	0	0	0	0	0	0	0	vieressä
adjective	0	0	0	0	0	0	0	0	0	0	adjektiivi
adjoining	0	0	0	0	0	0	0	0	0	0	viereinen
adjourn	0	0	0	0	0	0	0	0	0	0	lykätä
adjournment	0	0	0	0	0	0	0	0	0	0	lykkäys
adjudicate	0	0	0	1	0	1	0	0	0	0	tuomitsemaan
adjudication	0	0	0	0	0	0	0	0	0	0	tuomio
adjunct	0	0	0	0	0	0	1	0	0	0	lisäaine
adjust	0	0	0	0	0	0	0	0	0	0	säätää
adjustment	0	0	0	0	0	0	0	0	0	0	säätö
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvantti
administer	0	0	0	0	0	0	0	0	0	0	hallinnoida
administration	0	0	0	0	0	0	0	0	0	0	hallinto
administrative	0	0	0	0	0	0	0	0	0	1	hallinnollinen
admirable	0	0	0	0	1	0	1	0	0	1	ihailtavaa
admiral	0	0	0	0	0	0	1	0	0	1	amiraali
admiralty	0	0	0	0	0	0	0	0	0	0	amiraliteetti
admiration	0	0	0	0	1	0	1	0	0	1	ihailua
admire	0	0	0	0	0	0	1	0	0	1	ihailla
admirer	0	0	0	0	0	0	1	0	0	0	ihailija
admissibility	0	0	0	0	0	0	0	0	0	0	tutkittavaksi ottamisen edellytykset
admissible	0	0	0	0	0	0	1	0	0	1	hyväksyttäväksi
admission	0	0	0	0	0	0	0	0	0	0	sisäänpääsy
admit	0	0	0	0	0	0	0	0	0	0	myöntää
admittance	0	0	0	0	0	0	0	0	0	0	pääsy
admitted	0	0	0	0	0	0	0	0	0	0	hyväksytty
admitting	0	0	0	0	0	0	0	0	0	0	myöntää
admixture	0	0	0	0	0	0	0	0	0	0	sekoitusta
admonition	0	0	0	1	0	1	0	0	0	0	kehotus
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	teini-iässä
adolescent	0	0	0	0	0	0	0	0	0	0	teini-ikäinen
adopt	0	0	0	0	0	0	0	0	0	0	adoptoida
adoption	0	0	0	0	0	0	0	0	0	0	hyväksyminen
adorable	0	0	0	0	1	0	1	0	0	0	ihana
adoration	0	0	0	0	1	0	1	0	0	1	palvonta
adore	0	1	0	0	1	0	1	0	0	1	jumaloida
adorn	0	0	0	0	0	0	0	0	0	0	koristaa
adornment	0	0	0	0	0	0	0	0	0	0	koristelu
adrift	0	1	0	1	0	1	0	1	0	0	tuuliajolla
adult	0	0	0	0	0	0	0	0	0	0	aikuinen
adulterated	0	0	0	0	0	1	0	0	0	0	väärennetty
adultery	0	0	1	0	0	1	0	1	0	0	aviorikos
advance	0	1	0	1	1	0	1	0	1	0	etukäteen
advanced	0	0	0	0	0	0	1	0	0	0	pitkälle kehittynyt
advancement	0	0	0	0	0	0	1	0	0	0	edistymistä
advancing	0	0	0	0	0	0	0	0	0	0	etenee
advantage	0	0	0	0	0	0	1	0	0	0	etu
advantageous	0	0	0	0	0	0	1	0	0	0	edullinen
advent	0	1	0	0	1	0	1	0	0	1	adventti
adventure	0	1	0	0	0	0	1	0	0	0	seikkailu
adventurer	0	0	0	0	0	0	0	0	0	0	seikkailija
adventurous	0	0	0	0	0	0	1	0	0	0	seikkailunhaluinen
adversary	1	0	0	0	0	1	0	0	0	0	vastustaja
adverse	1	0	1	1	0	1	0	1	0	0	haitallisia
adversity	1	0	0	1	0	1	0	1	0	0	vastoinkäymisiä
advertise	0	0	0	0	0	0	0	0	0	0	mainostaa
advertisement	0	0	0	0	0	0	0	0	0	0	mainos
advice	0	0	0	0	0	0	0	0	0	1	neuvoja
advisable	0	0	0	0	0	0	1	0	0	1	suositeltavaa
advise	0	0	0	0	0	0	1	0	0	1	neuvoa
advised	0	0	0	0	0	0	0	0	0	1	neuvoi
advisement	0	0	0	0	0	0	0	0	0	0	neuvoja
adviser	0	0	0	0	0	0	1	0	0	1	neuvonantaja
advocacy	1	1	0	0	1	0	1	0	0	1	edunvalvonta
advocate	0	0	0	0	0	0	0	0	0	1	edustaa
aegis	0	0	0	0	0	0	0	0	0	0	egis
aeration	0	0	0	0	0	0	0	0	0	0	ilmastus
aerial	0	0	0	0	0	0	0	0	0	0	antenni
aerodrome	0	0	0	0	0	0	0	0	0	0	lentopaikka
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamiikka
aeronautics	0	0	0	0	0	0	0	0	0	0	ilmailu
aeroplane	0	0	0	0	0	0	0	0	0	0	lentokone
aesthetic	0	0	0	0	0	0	1	0	0	0	esteettinen
aesthetics	0	0	0	0	1	0	1	0	0	0	estetiikka
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	kaukaa
affable	0	0	0	0	0	0	1	0	0	0	ystävällinen
affair	0	0	0	0	0	0	0	0	0	0	asia
affecting	0	0	0	0	0	0	0	0	0	0	vaikuttavat
affection	0	0	0	0	1	0	1	0	0	1	kiintymystä
affections	0	0	0	0	0	0	0	0	0	0	kiintymyksiä
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	valaehtoinen todistus
affiliated	0	0	0	0	0	0	1	0	0	0	sidoksissa
affiliation	0	0	0	0	0	0	0	0	0	0	kuuluminen
affinity	0	0	0	0	0	0	0	0	0	0	affiniteetti
affirm	0	0	0	0	0	0	1	0	0	1	vahvistaa
affirmation	0	0	0	0	0	0	1	0	0	0	vahvistusta
affirmative	0	0	0	0	0	0	1	0	0	0	myöntävä
affirmatively	0	0	0	0	0	0	1	0	0	1	myöntävästi
affix	0	0	0	0	0	0	0	0	0	0	kiinnittää
afflict	0	0	0	1	0	1	0	1	0	0	vaivata
afflicted	0	0	0	0	0	1	0	0	0	0	kärsinyt
affliction	0	0	1	1	0	1	0	1	0	0	vaivaa
affluence	0	0	0	0	1	0	1	0	0	0	vaurautta
affluent	0	0	0	0	0	0	1	0	0	0	varakkaita
afford	0	0	0	0	0	0	1	0	0	0	olla varaa
affront	1	0	1	1	0	1	0	1	1	0	loukkaus
afield	0	0	0	0	0	0	0	0	0	0	ulkopuolella
afore	0	0	0	0	0	0	0	0	0	0	edellä
aforementioned	0	0	0	0	0	0	0	0	0	0	yllä mainitut
aforesaid	0	0	0	0	0	0	0	0	0	0	edellä mainittu
afraid	0	0	0	1	0	1	0	0	0	0	peloissaan
afresh	0	0	0	0	0	0	0	0	0	0	uudelleen
aft	0	0	0	0	0	0	0	0	0	0	perä
aftermath	1	0	1	1	0	1	0	1	0	0	jälkimainingeissa
afternoon	0	0	0	0	0	0	0	0	0	0	iltapäivällä
aftertaste	0	0	0	0	0	1	0	0	0	0	jälkimaku
afterthought	0	0	0	0	0	0	0	0	0	0	jälkikäteen
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	akaatti
age	0	0	0	0	0	0	0	0	0	0	ikä
aged	0	0	0	0	0	0	0	0	0	0	ikääntynyt
agency	0	0	0	0	0	0	0	0	0	0	virasto
agent	0	0	0	0	0	0	0	0	0	0	agentti
agglomeration	0	0	0	0	0	0	0	0	0	0	taajama
aggravated	1	0	0	0	0	1	0	0	0	0	pahentunut
aggravating	1	0	0	0	0	1	0	1	0	0	raskauttava
aggravation	1	0	1	0	0	1	0	0	0	0	paheneminen
aggregate	0	0	0	0	0	0	0	0	0	0	aggregaatti
aggregation	0	0	0	0	0	0	0	0	0	0	yhdistäminen
aggression	1	0	0	1	0	1	0	0	0	0	aggressiota
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiivinen
aggressor	1	0	0	1	0	1	0	0	0	0	hyökkääjä
aghast	0	0	1	1	0	1	0	0	1	0	kauhistuneena
agile	0	0	0	0	0	0	1	0	0	0	ketterä
agility	0	0	0	0	0	0	1	0	0	0	ketteryyttä
agitated	1	0	0	0	0	1	0	0	0	0	kiihtynyt
agitation	1	0	0	0	0	1	0	0	0	0	agitaatiota
agnostic	0	0	0	0	0	0	0	0	0	0	agnostikko
ago	0	0	0	0	0	0	0	0	0	0	sitten
agonizing	0	0	0	1	0	1	0	0	0	0	tuskallinen
agony	1	0	0	1	0	1	0	1	0	0	tuska
agree	0	0	0	0	0	0	1	0	0	0	olla samaa mieltä
agreeable	0	0	0	0	0	0	1	0	0	1	miellyttävä
agreed	0	0	0	0	0	0	1	0	0	1	sovittu
agreeing	0	0	0	0	0	0	1	0	0	1	samaa mieltä
agreement	0	0	0	0	0	0	1	0	0	1	sopimus
agricultural	0	0	0	0	0	0	0	0	0	0	maatalous
agriculture	0	0	0	0	0	0	1	0	0	0	maataloudessa
aground	0	0	0	0	0	1	0	0	0	0	karille
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	eteenpäin
aid	0	0	0	0	0	0	1	0	0	0	apu
aiding	0	0	0	0	0	0	1	0	0	0	auttamassa
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	sairaana
ailment	0	0	0	0	0	0	0	0	0	0	sairaus
aim	0	0	0	0	0	0	0	0	0	0	tavoite
aimless	0	0	0	0	0	1	0	0	0	0	päämäärätön
air	0	0	0	0	0	0	0	0	0	0	ilmaa
airbag	0	0	0	0	0	0	0	0	0	0	turvatyyny
airlift	0	0	0	0	0	0	0	0	0	0	ilmakuljetus
airline	0	0	0	0	0	0	0	0	0	0	lentoyhtiö
airman	0	0	0	0	0	0	0	0	0	0	lentäjä
airplane	0	0	0	0	0	0	0	0	0	0	lentokone
airport	0	1	0	0	0	0	0	0	0	0	lentokenttä
airs	0	0	1	0	0	1	0	0	0	0	ilmaistaan
airship	0	0	0	0	0	0	0	0	0	0	ilmalaiva
aisle	0	0	0	0	0	0	0	0	0	0	käytävä
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	raollaan
akin	0	0	0	0	0	0	0	0	0	1	samanlainen
alabaster	0	0	0	0	0	0	1	0	0	0	alabasteri
alarm	0	0	0	1	0	1	0	0	1	0	hälytys
alarming	0	0	0	1	0	1	0	0	1	0	hälyttävä
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albumi
alchemy	0	0	0	0	0	0	0	0	0	0	alkemia
alcohol	0	0	0	0	0	0	0	0	0	0	alkoholia
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismi
alcove	0	0	0	0	0	0	0	0	0	0	alkovi
alert	0	0	0	0	0	0	0	0	0	0	hälytys
alertness	0	1	0	1	0	0	1	0	1	0	valppautta
alerts	0	1	0	1	0	0	0	0	1	0	hälytyksiä
alfalfa	0	0	0	0	0	0	0	0	0	0	sinimailanen
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebrallinen
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmi
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	ulkomaalainen
alienate	1	0	1	0	0	1	0	0	0	0	vieraannuttaa
alienated	0	0	0	0	0	1	0	1	0	0	vieraantunut
alienation	1	0	1	1	0	1	0	1	0	0	vieraantuminen
alight	0	0	0	0	0	0	0	0	0	0	palamaan
aligned	0	0	0	0	0	0	0	0	0	0	kohdistettu
alignment	0	0	0	0	0	0	0	0	0	0	linjaus
alike	0	0	0	0	0	0	0	0	0	0	yhtä lailla
alimentation	0	0	0	0	0	0	1	0	0	0	ravintoa
alimony	0	0	0	0	0	1	0	0	0	0	elatusapu
aliquot	0	0	0	0	0	0	0	0	0	0	alikvootti
alive	0	1	0	0	1	0	1	0	0	1	elossa
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidit
allay	0	0	0	0	0	0	1	0	0	0	lievittää
allegation	1	0	0	0	0	1	0	0	0	0	väite
allege	0	0	0	0	0	1	0	0	0	0	väittää
alleged	0	0	0	0	0	0	0	0	0	0	väitetty
allegiance	0	0	0	0	0	0	1	0	0	1	uskollisuutta
allegorical	0	0	0	0	0	0	0	0	0	0	allegorinen
allegory	0	0	0	0	0	0	0	0	0	0	allegoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lievittää
alleviation	0	0	0	0	0	0	1	0	0	0	lievitystä
alley	0	0	0	0	0	0	0	0	0	0	kuja
alliance	0	0	0	0	0	0	0	0	0	1	liittouma
allied	0	0	0	0	0	0	1	0	0	1	liittolainen
alligator	0	0	0	0	0	0	0	0	0	0	alligaattori
allocate	0	0	0	0	0	0	0	0	0	0	jakaa
allocation	0	0	0	0	0	0	0	0	0	0	jakaminen
allot	0	0	0	0	0	0	0	0	0	0	jakaa
allotment	0	0	0	0	0	0	0	0	0	0	siirtolapuutarha
allowable	0	0	0	0	0	0	1	0	0	0	sallittu
allowance	0	0	0	0	0	0	0	0	0	0	korvaus
allowed	0	0	0	0	0	0	0	0	0	0	sallittu
alloy	0	0	0	0	0	0	0	0	0	0	metalliseos
allure	0	1	0	0	1	0	1	0	1	0	viehätys
alluring	0	0	0	0	0	0	1	0	0	0	houkutteleva
allusion	0	0	0	0	0	0	0	0	0	0	viittaus
alluvial	0	0	0	0	0	0	0	0	0	0	tulva-
ally	0	0	0	0	0	0	1	0	0	1	liittolainen
almanac	0	0	0	0	0	0	0	0	0	0	kalenteri
almighty	0	0	0	0	0	0	1	0	0	0	kaikkivaltias
aloft	0	0	0	0	0	0	0	0	0	0	korkealla
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	rinnalla
aloof	0	0	0	0	0	1	0	0	0	0	syrjässä
aloud	0	0	0	0	0	0	0	0	0	0	ääneen
alphabet	0	0	0	0	0	0	0	0	0	0	aakkoset
alphabetical	0	0	0	0	0	0	0	0	0	0	aakkosjärjestyksessä
altar	0	0	0	0	0	0	0	0	0	0	alttari
alter	0	0	0	0	0	0	0	0	0	0	muuttaa
alteration	0	0	0	0	0	0	0	0	0	0	muutosta
altercation	1	0	0	0	0	1	0	0	0	0	kiista
altered	0	0	0	0	0	0	0	0	0	0	muutettu
alternate	0	0	0	0	0	0	0	0	0	0	vaihtoehtoinen
alternative	0	0	0	0	0	0	0	0	0	0	vaihtoehto
altitude	0	0	0	0	0	0	0	0	0	0	korkeus
alto	0	0	0	0	0	0	0	0	0	0	altto
altogether	0	0	0	0	0	0	0	0	0	0	yhteensä
alumnus	0	0	0	0	0	0	0	0	0	0	alumni
alveolar	0	0	0	0	0	0	0	0	0	0	alveolaarinen
amalgam	0	0	0	0	0	0	0	0	0	0	amalgaami
amalgamation	0	0	0	0	0	0	0	0	0	0	yhdistäminen
amass	0	0	0	0	0	0	0	0	0	0	koota
amateur	0	0	0	0	0	0	0	0	0	0	amatööri
amaze	0	0	0	0	0	0	0	0	1	0	hämmästyttää
amazement	0	0	0	0	0	0	0	0	0	0	hämmästys
amazingly	0	0	0	0	1	0	1	0	1	0	mahtavasti
ambassador	0	0	0	0	0	0	1	0	0	1	suurlähettiläs
amber	0	0	0	0	0	0	0	0	0	0	keltainen
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	epäselvyyttä
ambiguous	0	0	0	0	0	1	0	0	0	0	epäselvä
ambit	0	0	0	0	0	0	0	0	0	0	laajuus
ambition	0	1	0	0	1	0	1	0	0	1	kunnianhimoa
ambitious	0	0	0	0	0	0	0	0	0	0	kunnianhimoinen
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanssi
ambush	1	0	0	1	0	1	0	0	1	0	väijytys
ameliorate	0	0	0	0	0	0	1	0	0	0	parantaa
amen	0	0	0	0	1	0	1	0	0	1	aamen
amenable	0	0	0	0	0	0	1	0	0	0	sovittavissa
amend	0	0	0	0	0	0	1	0	0	0	muuttaa
amendment	0	0	0	0	0	0	0	0	0	0	muutos
amends	0	0	0	0	0	0	1	0	0	0	muuttaa
amenity	0	0	0	0	0	0	1	0	0	0	viihtyisyyttä
amethyst	0	0	0	0	0	0	0	0	0	0	ametisti
amiable	0	0	0	0	0	0	1	0	0	0	rakastettava
amicable	0	0	0	0	1	0	1	0	0	0	ystävällinen
amid	0	0	0	0	0	0	0	0	0	0	keskellä
amidst	0	0	0	0	0	0	0	0	0	0	keskellä
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniakkia
ammunition	0	0	0	0	0	0	0	0	0	0	ammukset
