English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hawaiian Word
absorption	0	0	0	0	0	0	0	0	0	0	omo ana
abstain	0	0	0	0	0	0	0	0	0	0	hoole
abstention	0	0	0	0	0	0	0	0	0	0	haʻalele
abstinence	0	0	0	0	0	0	0	0	0	0	ka hoole ana
abstract	0	0	0	0	0	0	0	0	0	0	ʻikeʻike
abstraction	0	0	0	0	0	0	0	0	0	0	kāʻili ʻana
absurd	0	0	0	0	0	1	0	0	0	0	lapuwale
absurdity	0	0	0	0	0	1	0	0	0	0	lapuwale
abundance	0	1	1	0	1	1	1	0	0	1	ka nui
abundant	0	0	0	0	1	0	1	0	0	0	nui loa
abuse	1	0	1	1	0	1	0	1	0	0	hana ino
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	hohonu
academic	0	0	0	0	0	0	1	0	0	1	hoʻonaʻauao
academy	0	0	0	0	0	0	1	0	0	0	hale kula
accede	0	0	0	0	0	0	0	0	0	0	ʻae aku
accelerate	0	1	0	0	0	0	0	0	0	0	hoʻokē
acceleration	0	0	0	0	0	0	0	0	0	0	ka wikiwiki
accent	0	0	0	0	0	0	0	0	0	0	ka leo
accentuate	0	0	0	0	0	0	0	0	0	0	hoʻokūpaʻa
accept	0	0	0	0	0	0	0	0	0	0	e ae aku
acceptable	0	0	0	0	0	0	1	0	0	0	ʻae ʻia
acceptance	0	0	0	0	0	0	1	0	0	0	ka ʻae ʻana
access	0	0	0	0	0	0	0	0	0	0	komo
accessible	0	0	0	0	0	0	1	0	0	0	hiki ke loaa
accession	0	0	0	0	0	0	0	0	0	0	komo ʻana
accessory	0	0	0	0	0	0	0	0	0	0	mea kōkua
accident	0	0	0	1	0	1	0	1	1	0	pōʻino
accidental	0	0	0	1	0	1	0	0	1	0	pōʻino
accidentally	0	0	0	0	0	0	0	0	1	0	pohihihi
accolade	0	1	0	0	1	0	1	0	1	1	hoʻomaikaʻi
accommodate	0	0	0	0	0	0	0	0	0	0	hoʻokipa
accommodation	0	0	0	0	0	0	1	0	0	0	hale noho
accompaniment	0	1	0	0	1	0	1	0	0	1	hoʻokani pila
accompany	0	0	0	0	0	0	0	0	0	0	hele pu
accompanying	0	0	0	0	0	0	0	0	0	0	e hele pū ana
accomplice	0	0	0	0	0	0	0	0	0	0	hoapili
accomplish	0	0	0	0	1	0	1	0	0	0	hoʻokō
accomplished	0	0	0	0	1	0	1	0	0	0	hookoia
accomplishment	0	0	0	0	0	0	1	0	0	0	hoʻokō
accord	0	0	0	0	0	0	1	0	0	1	ʻaelike
accordance	0	0	0	0	0	0	0	0	0	0	kulike
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	mooolelo
accountability	0	0	0	0	0	0	1	0	0	1	kuleana kuleana
accountable	0	0	0	0	0	0	1	0	0	1	kuleana
accountant	0	0	0	0	0	0	0	0	0	1	mea helu
accounting	0	0	0	0	0	0	0	0	0	0	helu helu
accounts	0	0	0	0	0	0	0	0	0	1	mooolelo
accredited	0	0	0	0	0	0	1	0	0	1	ʻae ʻia
accretion	0	0	0	0	0	0	0	0	0	0	hoʻonui
accrue	0	0	0	0	0	0	0	0	0	0	hoʻonui
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	hōʻiliʻili
accumulation	0	0	0	0	0	0	0	0	0	0	hōʻuluʻulu
accuracy	0	0	0	0	0	0	0	0	0	0	pololei
accurate	0	0	0	0	0	0	1	0	0	1	pololei
accursed	1	0	0	1	0	1	0	1	0	0	hōʻino ʻia
accusation	1	0	1	0	0	1	0	0	0	0	hoʻohewa
accusative	0	0	0	0	0	1	0	0	0	0	hoʻopiʻi
accused	1	0	0	1	0	1	0	0	0	0	hoʻopiʻi ʻia
accuser	1	0	0	1	0	1	0	0	0	0	mea hoohewa
accusing	1	0	0	1	0	1	0	0	0	0	hoʻopiʻi
accustomed	0	0	0	0	0	0	0	0	0	0	maʻa
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	ʻeha
achieve	0	0	0	0	1	0	1	0	0	1	hoʻokō
achievement	0	1	0	0	1	0	1	0	0	1	hoʻokō
aching	0	0	0	0	0	1	0	1	0	0	ʻehaʻeha
acid	0	0	0	0	0	1	0	0	0	0	ʻakika
acidity	0	0	0	0	0	0	0	0	0	0	ʻakika
acknowledge	0	0	0	0	0	0	0	0	0	0	e hoʻomaopopo
acknowledged	0	0	0	0	0	0	0	0	0	0	ʻae ʻia
acknowledgment	0	0	0	0	0	0	1	0	0	0	hoʻomaikaʻi
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	leo kani
acoustics	0	0	0	0	0	0	0	0	0	0	nā mea kani
acquaint	0	0	0	0	0	0	0	0	0	0	kamaaina
acquaintance	0	0	0	0	0	0	0	0	0	0	kamaaina
acquainted	0	0	0	0	0	0	0	0	0	0	kamaaina
acquiescence	0	0	0	0	0	0	0	0	0	0	ʻae ʻae
acquire	0	0	0	0	0	0	1	0	0	0	loaa
acquiring	0	1	0	0	0	0	1	0	0	0	ka loaa ana
acquisition	0	0	0	0	0	0	0	0	0	0	loaa
acquisitions	0	0	0	0	0	0	0	0	0	0	loaʻa
acreage	0	0	0	0	0	0	0	0	0	0	ʻeka
acres	0	0	0	0	0	0	0	0	0	0	eka
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	hana
acting	0	0	0	0	0	0	0	0	0	0	hana ana
action	0	0	0	0	0	0	1	0	0	0	hana
actionable	1	0	1	0	0	1	0	0	0	0	hiki ke hana
active	0	0	0	0	0	0	0	0	0	0	ʻeleu
activity	0	0	0	0	0	0	0	0	0	0	hana
actor	0	0	0	0	0	0	0	0	0	0	mea keaka
actual	0	0	0	0	0	0	1	0	0	0	maoli
actuality	0	0	0	0	0	0	0	0	0	0	ʻoiaʻiʻo
actuary	0	0	0	0	0	0	0	0	0	0	mea hoʻokō
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	akamai
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	ʻoi loa
adage	0	0	0	0	0	0	0	0	0	0	ʻōlelo ʻōlelo
adamant	0	0	0	0	0	0	0	0	0	0	kūpaʻa
adapt	0	0	0	0	0	0	1	0	0	0	hoʻololi
adaptable	0	0	0	0	0	0	1	0	0	0	hiki ke hoʻololi
add	0	0	0	0	0	0	0	0	0	0	hoʻohui
added	0	0	0	0	0	0	0	0	0	0	hoʻohui ʻia
addendum	0	0	0	0	0	0	0	0	0	0	mea hoʻohui
adder	1	0	1	1	0	1	0	1	0	0	mea hoʻohui
addiction	0	0	0	0	0	1	0	0	0	0	hoʻohui
addition	0	0	0	0	0	0	0	0	0	0	hoʻohui
additional	0	0	0	0	0	0	0	0	0	0	hou aku
additive	0	0	0	0	0	0	0	0	0	0	mea hoʻohui
address	0	0	0	0	0	0	0	0	0	0	helu wahi
addressee	0	0	0	0	0	0	0	0	0	0	mea hoʻopuka
addresses	0	1	0	0	0	0	1	0	0	0	mau helu wahi
adept	0	0	0	0	0	0	1	0	0	0	akamai
adequacy	0	0	0	0	0	0	1	0	0	0	kupono
adequate	0	0	0	0	0	0	0	0	0	0	lawa
adhere	0	0	0	0	0	0	0	0	0	0	pili
adherence	0	0	0	0	0	0	0	0	0	0	ka pili ana
adherent	0	0	0	0	0	0	0	0	0	0	pili
adhering	0	0	0	0	0	0	0	0	0	1	pili ana
adhesion	0	0	0	0	0	0	0	0	0	0	hoʻopili
adhesive	0	0	0	0	0	0	0	0	0	0	pipili
adieu	0	0	0	0	0	0	0	0	0	0	aloha
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	pili
adjacent	0	0	0	0	0	0	0	0	0	0	pili
adjective	0	0	0	0	0	0	0	0	0	0	huaʻōlelo
adjoining	0	0	0	0	0	0	0	0	0	0	pili
adjourn	0	0	0	0	0	0	0	0	0	0	hoopanee
adjournment	0	0	0	0	0	0	0	0	0	0	hoopanee
adjudicate	0	0	0	1	0	1	0	0	0	0	hooponopono
adjudication	0	0	0	0	0	0	0	0	0	0	ka hookolokolo ana
adjunct	0	0	0	0	0	0	1	0	0	0	hoʻopili
adjust	0	0	0	0	0	0	0	0	0	0	hoʻoponopono
adjustment	0	0	0	0	0	0	0	0	0	0	hoʻoponopono
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	lawelawe
administration	0	0	0	0	0	0	0	0	0	0	hooponopono
administrative	0	0	0	0	0	0	0	0	0	1	hooponopono
admirable	0	0	0	0	1	0	1	0	0	1	mahalo ʻia
admiral	0	0	0	0	0	0	1	0	0	1	Adimarala
admiralty	0	0	0	0	0	0	0	0	0	0	ka mahalo
admiration	0	0	0	0	1	0	1	0	0	1	mahalo
admire	0	0	0	0	0	0	1	0	0	1	mahalo
admirer	0	0	0	0	0	0	1	0	0	0	mea mahalo
admissibility	0	0	0	0	0	0	0	0	0	0	ʻae ʻia
admissible	0	0	0	0	0	0	1	0	0	1	ʻae ʻia
admission	0	0	0	0	0	0	0	0	0	0	komo
admit	0	0	0	0	0	0	0	0	0	0	e ae aku
admittance	0	0	0	0	0	0	0	0	0	0	hoʻokomo
admitted	0	0	0	0	0	0	0	0	0	0	ʻae ʻia
admitting	0	0	0	0	0	0	0	0	0	0	e ae ana
admixture	0	0	0	0	0	0	0	0	0	0	hui ʻana
admonition	0	0	0	1	0	1	0	0	0	0	olelo ao
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ʻōpio
adolescent	0	0	0	0	0	0	0	0	0	0	ʻōpio
adopt	0	0	0	0	0	0	0	0	0	0	hāpai
adoption	0	0	0	0	0	0	0	0	0	0	ka hookama
adorable	0	0	0	0	1	0	1	0	0	0	ʻoluʻolu
adoration	0	0	0	0	1	0	1	0	0	1	hoʻomana
adore	0	1	0	0	1	0	1	0	0	1	mahalo
adorn	0	0	0	0	0	0	0	0	0	0	hoʻonani
adornment	0	0	0	0	0	0	0	0	0	0	kāhiko
adrift	0	1	0	1	0	1	0	1	0	0	holo aku
adult	0	0	0	0	0	0	0	0	0	0	kanaka makua
adulterated	0	0	0	0	0	1	0	0	0	0	moe kolohe
adultery	0	0	1	0	0	1	0	1	0	0	moe kolohe
advance	0	1	0	1	1	0	1	0	1	0	mua
advanced	0	0	0	0	0	0	1	0	0	0	holomua
advancement	0	0	0	0	0	0	1	0	0	0	holomua
advancing	0	0	0	0	0	0	0	0	0	0	e holomua ana
advantage	0	0	0	0	0	0	1	0	0	0	pono
advantageous	0	0	0	0	0	0	1	0	0	0	pono
advent	0	1	0	0	1	0	1	0	0	1	hiki mai
adventure	0	1	0	0	0	0	1	0	0	0	huakaʻi hele
adventurer	0	0	0	0	0	0	0	0	0	0	mea hoʻohiwahiwa
adventurous	0	0	0	0	0	0	1	0	0	0	hoʻokalakupua
adversary	1	0	0	0	0	1	0	0	0	0	ʻenemi
adverse	1	0	1	1	0	1	0	1	0	0	ʻinoʻino
adversity	1	0	0	1	0	1	0	1	0	0	pilikia
advertise	0	0	0	0	0	0	0	0	0	0	hoʻolaha
advertisement	0	0	0	0	0	0	0	0	0	0	hoʻolaha
advice	0	0	0	0	0	0	0	0	0	1	ʻōlelo aʻo
advisable	0	0	0	0	0	0	1	0	0	1	pono
advise	0	0	0	0	0	0	1	0	0	1	aʻo
advised	0	0	0	0	0	0	0	0	0	1	ʻōlelo ʻia
advisement	0	0	0	0	0	0	0	0	0	0	ʻōlelo aʻo
adviser	0	0	0	0	0	0	1	0	0	1	kākāʻōlelo
advocacy	1	1	0	0	1	0	1	0	0	1	hoʻolaha
advocate	0	0	0	0	0	0	0	0	0	1	kākāʻōlelo
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	hoʻohuehu
aerial	0	0	0	0	0	0	0	0	0	0	lewa
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	mokulele
aesthetic	0	0	0	0	0	0	1	0	0	0	nani
aesthetics	0	0	0	0	1	0	1	0	0	0	nā mea nani
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	mamao aku
affable	0	0	0	0	0	0	1	0	0	0	aloha
affair	0	0	0	0	0	0	0	0	0	0	pili
affecting	0	0	0	0	0	0	0	0	0	0	pili ana
affection	0	0	0	0	1	0	1	0	0	1	aloha
affections	0	0	0	0	0	0	0	0	0	0	aloha
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	palapala hoʻohiki
affiliated	0	0	0	0	0	0	1	0	0	0	pili
affiliation	0	0	0	0	0	0	0	0	0	0	pili
affinity	0	0	0	0	0	0	0	0	0	0	pili
affirm	0	0	0	0	0	0	1	0	0	1	e hooiaio
affirmation	0	0	0	0	0	0	1	0	0	0	ka hooiaio ana
affirmative	0	0	0	0	0	0	1	0	0	0	hōʻoiaʻiʻo
affirmatively	0	0	0	0	0	0	1	0	0	1	ʻoiaʻiʻo
affix	0	0	0	0	0	0	0	0	0	0	hoʻopili
afflict	0	0	0	1	0	1	0	1	0	0	ehaeha
afflicted	0	0	0	0	0	1	0	0	0	0	pilikia
affliction	0	0	1	1	0	1	0	1	0	0	ka pilikia
affluence	0	0	0	0	1	0	1	0	0	0	waiwai
affluent	0	0	0	0	0	0	1	0	0	0	waiwai
afford	0	0	0	0	0	0	1	0	0	0	hāʻawi
affront	1	0	1	1	0	1	0	1	1	0	hoowahawaha
afield	0	0	0	0	0	0	0	0	0	0	kaawale
afore	0	0	0	0	0	0	0	0	0	0	mamua
aforementioned	0	0	0	0	0	0	0	0	0	0	i olelo mua ia
aforesaid	0	0	0	0	0	0	0	0	0	0	i olelo mua ia
afraid	0	0	0	1	0	1	0	0	0	0	makau
afresh	0	0	0	0	0	0	0	0	0	0	hou
aft	0	0	0	0	0	0	0	0	0	0	ma hope
aftermath	1	0	1	1	0	1	0	1	0	0	hope
afternoon	0	0	0	0	0	0	0	0	0	0	awakea
aftertaste	0	0	0	0	0	1	0	0	0	0	ʻono hope
afterthought	0	0	0	0	0	0	0	0	0	0	manaʻo hope
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	makahiki
aged	0	0	0	0	0	0	0	0	0	0	ʻelemakule
agency	0	0	0	0	0	0	0	0	0	0	ʻoihana
agent	0	0	0	0	0	0	0	0	0	0	luna
agglomeration	0	0	0	0	0	0	0	0	0	0	hoʻohuihui
aggravated	1	0	0	0	0	1	0	0	0	0	hoehaeha
aggravating	1	0	0	0	0	1	0	1	0	0	hoehaeha
aggravation	1	0	1	0	0	1	0	0	0	0	hoehaehae
aggregate	0	0	0	0	0	0	0	0	0	0	hōʻuluʻulu
aggregation	0	0	0	0	0	0	0	0	0	0	ka hui ʻana
aggression	1	0	0	1	0	1	0	0	0	0	hoehae
aggressive	1	0	0	1	0	1	0	0	0	0	hoʻopaʻapaʻa
aggressor	1	0	0	1	0	1	0	0	0	0	mea hoowahawaha
aghast	0	0	1	1	0	1	0	0	1	0	weliweli
agile	0	0	0	0	0	0	1	0	0	0	ʻeleu
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	hoonaukiuki
agitation	1	0	0	0	0	1	0	0	0	0	haunaele
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	aku nei
agonizing	0	0	0	1	0	1	0	0	0	0	ehaeha
agony	1	0	0	1	0	1	0	1	0	0	ʻehaʻeha
agree	0	0	0	0	0	0	1	0	0	0	ʻae aku
agreeable	0	0	0	0	0	0	1	0	0	1	oluolu
agreed	0	0	0	0	0	0	1	0	0	1	ʻae ʻia
agreeing	0	0	0	0	0	0	1	0	0	1	e ae ana
agreement	0	0	0	0	0	0	1	0	0	1	ʻaelike
agricultural	0	0	0	0	0	0	0	0	0	0	mahiʻai
agriculture	0	0	0	0	0	0	1	0	0	0	mahiʻai
aground	0	0	0	0	0	1	0	0	0	0	pae ʻana
agua	0	0	0	0	0	0	0	0	0	0	akua
ahead	0	0	0	0	0	0	1	0	0	0	i mua
aid	0	0	0	0	0	0	1	0	0	0	kokua
aiding	0	0	0	0	0	0	1	0	0	0	kokua ana
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	maʻi
ailment	0	0	0	0	0	0	0	0	0	0	ʻehaʻeha
aim	0	0	0	0	0	0	0	0	0	0	pahuhopu
aimless	0	0	0	0	0	1	0	0	0	0	kumu ole
air	0	0	0	0	0	0	0	0	0	0	ea
airbag	0	0	0	0	0	0	0	0	0	0	ʻeke ʻea
airlift	0	0	0	0	0	0	0	0	0	0	lele lele
airline	0	0	0	0	0	0	0	0	0	0	mokulele
airman	0	0	0	0	0	0	0	0	0	0	kanaka ea
airplane	0	0	0	0	0	0	0	0	0	0	mokulele
airport	0	1	0	0	0	0	0	0	0	0	kahua mokulele
airs	0	0	1	0	0	1	0	0	0	0	ea
airship	0	0	0	0	0	0	0	0	0	0	moku ea
aisle	0	0	0	0	0	0	0	0	0	0	alahele
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	kino
alabaster	0	0	0	0	0	0	1	0	0	0	ʻalabata
alarm	0	0	0	1	0	1	0	0	1	0	hoʻopāpā
alarming	0	0	0	1	0	1	0	0	1	0	weliweli
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	waiʻona
alcoholism	1	0	1	1	0	1	0	1	0	0	ʻona ʻona
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	makaala
alertness	0	1	0	1	0	0	1	0	1	0	makaala
alerts	0	1	0	1	0	0	0	0	1	0	makaʻala
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	malihini
alienate	1	0	1	0	0	1	0	0	0	0	kaawale
alienated	0	0	0	0	0	1	0	1	0	0	kaawale
alienation	1	0	1	1	0	1	0	1	0	0	kaawale
alight	0	0	0	0	0	0	0	0	0	0	e kau ana
aligned	0	0	0	0	0	0	0	0	0	0	kaulike
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	like like
alimentation	0	0	0	0	0	0	1	0	0	0	ʻai ʻai
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ola
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	hoʻomaha
allegation	1	0	0	0	0	1	0	0	0	0	hoʻopiʻi
allege	0	0	0	0	0	1	0	0	0	0	hoʻopiʻi
alleged	0	0	0	0	0	0	0	0	0	0	ʻōlelo ʻia
allegiance	0	0	0	0	0	0	1	0	0	1	kupaa
allegorical	0	0	0	0	0	0	0	0	0	0	hoʻolikelike
allegory	0	0	0	0	0	0	0	0	0	0	ʻōlelo hoʻohālike
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	hoʻomāmā
alleviation	0	0	0	0	0	0	1	0	0	0	hoʻohaʻahaʻa
alley	0	0	0	0	0	0	0	0	0	0	alahele
alliance	0	0	0	0	0	0	0	0	0	1	kuikahi
allied	0	0	0	0	0	0	1	0	0	1	hui pū
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	hoʻokaʻawale
allocation	0	0	0	0	0	0	0	0	0	0	haawina
allot	0	0	0	0	0	0	0	0	0	0	hāʻawi
allotment	0	0	0	0	0	0	0	0	0	0	haawina
allowable	0	0	0	0	0	0	1	0	0	0	ʻae ʻia
allowance	0	0	0	0	0	0	0	0	0	0	haawina
allowed	0	0	0	0	0	0	0	0	0	0	ʻae ʻia
alloy	0	0	0	0	0	0	0	0	0	0	huikau
allure	0	1	0	0	1	0	1	0	1	0	hoʻohihi
alluring	0	0	0	0	0	0	1	0	0	0	hoʻohiwahiwa
allusion	0	0	0	0	0	0	0	0	0	0	ʻōlelo ʻōlelo
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	hoapili
almanac	0	0	0	0	0	0	0	0	0	0	alemanaka
almighty	0	0	0	0	0	0	1	0	0	0	mana loa
aloft	0	0	0	0	0	0	0	0	0	0	i luna
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ma ka aoao
aloof	0	0	0	0	0	1	0	0	0	0	kaawale
aloud	0	0	0	0	0	0	0	0	0	0	leo nui
alphabet	0	0	0	0	0	0	0	0	0	0	alphabet
alphabetical	0	0	0	0	0	0	0	0	0	0	pīʻāpā
altar	0	0	0	0	0	0	0	0	0	0	kuahu
alter	0	0	0	0	0	0	0	0	0	0	hoʻololi
alteration	0	0	0	0	0	0	0	0	0	0	hoololi
altercation	1	0	0	0	0	1	0	0	0	0	hoʻopaʻapaʻa
altered	0	0	0	0	0	0	0	0	0	0	hoʻololi ʻia
alternate	0	0	0	0	0	0	0	0	0	0	mea e ae
alternative	0	0	0	0	0	0	0	0	0	0	ʻokoʻa
altitude	0	0	0	0	0	0	0	0	0	0	kiʻekiʻe
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	pau loa
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	hui ʻana
amass	0	0	0	0	0	0	0	0	0	0	hōʻiliʻili
amateur	0	0	0	0	0	0	0	0	0	0	kamaʻilio
amaze	0	0	0	0	0	0	0	0	1	0	kāhāhā
amazement	0	0	0	0	0	0	0	0	0	0	kahaha
amazingly	0	0	0	0	1	0	1	0	1	0	kupanaha
ambassador	0	0	0	0	0	0	1	0	0	1	ʻelele
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	pohihihi
ambiguous	0	0	0	0	0	1	0	0	0	0	pohihihi
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	manaʻo manaʻo
ambitious	0	0	0	0	0	0	0	0	0	0	manaʻo nui
ambulance	0	0	0	1	0	0	0	0	0	1	ambulance
ambush	1	0	0	1	0	1	0	0	1	0	hoʻohālua
ameliorate	0	0	0	0	0	0	1	0	0	0	hoʻomaikaʻi
amen	0	0	0	0	1	0	1	0	0	1	Amene
amenable	0	0	0	0	0	0	1	0	0	0	ʻae ʻia
amend	0	0	0	0	0	0	1	0	0	0	hoololi
amendment	0	0	0	0	0	0	0	0	0	0	hoʻololi
amends	0	0	0	0	0	0	1	0	0	0	hoololi
amenity	0	0	0	0	0	0	1	0	0	0	ʻoluʻolu
