English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kannada Word
acutely	0	0	0	0	0	0	0	0	0	0	ತೀವ್ರವಾಗಿ
adage	0	0	0	0	0	0	0	0	0	0	ಗಾದೆ
adamant	0	0	0	0	0	0	0	0	0	0	ಅಚಲ
adapt	0	0	0	0	0	0	1	0	0	0	ಹೊಂದಿಕೊಳ್ಳುತ್ತವೆ
adaptable	0	0	0	0	0	0	1	0	0	0	ಹೊಂದಿಕೊಳ್ಳಬಲ್ಲ
add	0	0	0	0	0	0	0	0	0	0	ಸೇರಿಸಿ
added	0	0	0	0	0	0	0	0	0	0	ಸೇರಿಸಲಾಗಿದೆ
addendum	0	0	0	0	0	0	0	0	0	0	ಅನುಬಂಧ
adder	1	0	1	1	0	1	0	1	0	0	ಸೇರಿಸುವವನು
addiction	0	0	0	0	0	1	0	0	0	0	ಚಟ
addition	0	0	0	0	0	0	0	0	0	0	ಜೊತೆಗೆ
additional	0	0	0	0	0	0	0	0	0	0	ಹೆಚ್ಚುವರಿ
additive	0	0	0	0	0	0	0	0	0	0	ಸಂಯೋಜಕ
address	0	0	0	0	0	0	0	0	0	0	ವಿಳಾಸ
addressee	0	0	0	0	0	0	0	0	0	0	ವಿಳಾಸದಾರ
addresses	0	1	0	0	0	0	1	0	0	0	ವಿಳಾಸಗಳು
adept	0	0	0	0	0	0	1	0	0	0	ಪ್ರವೀಣ
adequacy	0	0	0	0	0	0	1	0	0	0	ಸಮರ್ಪಕತೆ
adequate	0	0	0	0	0	0	0	0	0	0	ಸಮರ್ಪಕ
adhere	0	0	0	0	0	0	0	0	0	0	ಅಂಟಿಕೊಳ್ಳುತ್ತವೆ
adherence	0	0	0	0	0	0	0	0	0	0	ಅನುಸರಣೆ
adherent	0	0	0	0	0	0	0	0	0	0	ಅಂಟಿಕೊಳ್ಳುವ
adhering	0	0	0	0	0	0	0	0	0	1	ಅಂಟಿಕೊಂಡಿದೆ
adhesion	0	0	0	0	0	0	0	0	0	0	ಅಂಟಿಕೊಳ್ಳುವಿಕೆ
adhesive	0	0	0	0	0	0	0	0	0	0	ಅಂಟು
adieu	0	0	0	0	0	0	0	0	0	0	ವಿದಾಯ
adipose	0	0	0	0	0	1	0	0	0	0	ಅಡಿಪೋಸ್
adjacency	0	0	0	0	0	0	0	0	0	0	ಪಕ್ಕದ
adjacent	0	0	0	0	0	0	0	0	0	0	ಪಕ್ಕದ
adjective	0	0	0	0	0	0	0	0	0	0	ವಿಶೇಷಣ
adjoining	0	0	0	0	0	0	0	0	0	0	ಪಕ್ಕದ
adjourn	0	0	0	0	0	0	0	0	0	0	ಮುಂದೂಡು
adjournment	0	0	0	0	0	0	0	0	0	0	ಮುಂದೂಡಿಕೆ
adjudicate	0	0	0	1	0	1	0	0	0	0	ತೀರ್ಪು ನೀಡಿ
adjudication	0	0	0	0	0	0	0	0	0	0	ತೀರ್ಪು
adjunct	0	0	0	0	0	0	1	0	0	0	ಸಹಾಯಕ
adjust	0	0	0	0	0	0	0	0	0	0	ಸರಿಹೊಂದಿಸಿ
adjustment	0	0	0	0	0	0	0	0	0	0	ಹೊಂದಾಣಿಕೆ
adjuvant	0	0	0	0	0	0	0	0	0	0	ಸಹಾಯಕ
administer	0	0	0	0	0	0	0	0	0	0	ಆಡಳಿತ
administration	0	0	0	0	0	0	0	0	0	0	ಆಡಳಿತ
administrative	0	0	0	0	0	0	0	0	0	1	ಆಡಳಿತಾತ್ಮಕ
admirable	0	0	0	0	1	0	1	0	0	1	ಪ್ರಶಂಸನೀಯ
admiral	0	0	0	0	0	0	1	0	0	1	ಅಡ್ಮಿರಲ್
admiralty	0	0	0	0	0	0	0	0	0	0	ಅಡ್ಮಿರಾಲ್ಟಿ
admiration	0	0	0	0	1	0	1	0	0	1	ಅಭಿಮಾನ
admire	0	0	0	0	0	0	1	0	0	1	ಅಚ್ಚುಮೆಚ್ಚು
admirer	0	0	0	0	0	0	1	0	0	0	ಅಭಿಮಾನಿ
admissibility	0	0	0	0	0	0	0	0	0	0	ಸ್ವೀಕಾರಾರ್ಹತೆ
admissible	0	0	0	0	0	0	1	0	0	1	ಸ್ವೀಕಾರಾರ್ಹ
admission	0	0	0	0	0	0	0	0	0	0	ಪ್ರವೇಶ
admit	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಳ್ಳಿ
admittance	0	0	0	0	0	0	0	0	0	0	ಪ್ರವೇಶ
admitted	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಂಡರು
admitting	0	0	0	0	0	0	0	0	0	0	ಒಪ್ಪಿಕೊಳ್ಳುವುದು
admixture	0	0	0	0	0	0	0	0	0	0	ಮಿಶ್ರಣ
admonition	0	0	0	1	0	1	0	0	0	0	ಉಪದೇಶ
ado	0	0	0	0	0	0	0	0	0	0	ಅಡೋ
adobe	0	0	0	0	0	0	0	0	0	0	ಅಡೋಬ್
adolescence	0	0	0	0	0	0	0	0	0	0	ಹದಿಹರೆಯ
adolescent	0	0	0	0	0	0	0	0	0	0	ಹರೆಯದ
adopt	0	0	0	0	0	0	0	0	0	0	ಅಳವಡಿಸಿಕೊಳ್ಳುತ್ತಾರೆ
adoption	0	0	0	0	0	0	0	0	0	0	ದತ್ತು
adorable	0	0	0	0	1	0	1	0	0	0	ಆರಾಧ್ಯ
adoration	0	0	0	0	1	0	1	0	0	1	ಆರಾಧನೆ
adore	0	1	0	0	1	0	1	0	0	1	ಆರಾಧಿಸುತ್ತಾರೆ
adorn	0	0	0	0	0	0	0	0	0	0	ಅಲಂಕರಿಸಲು
adornment	0	0	0	0	0	0	0	0	0	0	ಅಲಂಕಾರ
adrift	0	1	0	1	0	1	0	1	0	0	ಅಲೆಯುವ
adult	0	0	0	0	0	0	0	0	0	0	ವಯಸ್ಕ
adulterated	0	0	0	0	0	1	0	0	0	0	ಕಲಬೆರಕೆ
adultery	0	0	1	0	0	1	0	1	0	0	ವ್ಯಭಿಚಾರ
advance	0	1	0	1	1	0	1	0	1	0	ಮುನ್ನಡೆ
advanced	0	0	0	0	0	0	1	0	0	0	ಮುಂದುವರಿದ
advancement	0	0	0	0	0	0	1	0	0	0	ಪ್ರಗತಿ
advancing	0	0	0	0	0	0	0	0	0	0	ಮುನ್ನಡೆಯುತ್ತಿದೆ
advantage	0	0	0	0	0	0	1	0	0	0	ಅನುಕೂಲ
advantageous	0	0	0	0	0	0	1	0	0	0	ಅನುಕೂಲಕರ
advent	0	1	0	0	1	0	1	0	0	1	ಆಗಮನ
adventure	0	1	0	0	0	0	1	0	0	0	ಸಾಹಸ
adventurer	0	0	0	0	0	0	0	0	0	0	ಸಾಹಸಿ
adventurous	0	0	0	0	0	0	1	0	0	0	ಸಾಹಸಮಯ
adversary	1	0	0	0	0	1	0	0	0	0	ಎದುರಾಳಿ
adverse	1	0	1	1	0	1	0	1	0	0	ಪ್ರತಿಕೂಲ
adversity	1	0	0	1	0	1	0	1	0	0	ಪ್ರತಿಕೂಲತೆ
advertise	0	0	0	0	0	0	0	0	0	0	ಜಾಹೀರಾತು
advertisement	0	0	0	0	0	0	0	0	0	0	ಜಾಹೀರಾತು
advice	0	0	0	0	0	0	0	0	0	1	ಸಲಹೆ
advisable	0	0	0	0	0	0	1	0	0	1	ಸಲಹೆ
advise	0	0	0	0	0	0	1	0	0	1	ಸಲಹೆ
advised	0	0	0	0	0	0	0	0	0	1	ಸಲಹೆ ನೀಡಿದರು
advisement	0	0	0	0	0	0	0	0	0	0	ಸಲಹೆ
adviser	0	0	0	0	0	0	1	0	0	1	ಸಲಹೆಗಾರ
advocacy	1	1	0	0	1	0	1	0	0	1	ವಕಾಲತ್ತು
advocate	0	0	0	0	0	0	0	0	0	1	ವಕೀಲ
aegis	0	0	0	0	0	0	0	0	0	0	ಏಜಿಸ್
aeration	0	0	0	0	0	0	0	0	0	0	ಗಾಳಿಯಾಡುವಿಕೆ
aerial	0	0	0	0	0	0	0	0	0	0	ವೈಮಾನಿಕ
aerodrome	0	0	0	0	0	0	0	0	0	0	ಏರೋಡ್ರೋಮ್
aerodynamics	0	0	0	0	0	0	0	0	0	0	ವಾಯುಬಲವಿಜ್ಞಾನ
aeronautics	0	0	0	0	0	0	0	0	0	0	ಏರೋನಾಟಿಕ್ಸ್
aeroplane	0	0	0	0	0	0	0	0	0	0	ವಿಮಾನ
aesthetic	0	0	0	0	0	0	1	0	0	0	ಸೌಂದರ್ಯದ
aesthetics	0	0	0	0	1	0	1	0	0	0	ಸೌಂದರ್ಯಶಾಸ್ತ್ರ
aetiology	0	0	0	0	0	0	0	0	0	0	ರೋಗಶಾಸ್ತ್ರ
afar	0	0	0	0	0	0	0	0	0	0	ದೂರದ
affable	0	0	0	0	0	0	1	0	0	0	ಸೌಹಾರ್ದಯುತ
affair	0	0	0	0	0	0	0	0	0	0	ಸಂಬಂಧ
affecting	0	0	0	0	0	0	0	0	0	0	ಪರಿಣಾಮ ಬೀರುತ್ತಿದೆ
affection	0	0	0	0	1	0	1	0	0	1	ವಾತ್ಸಲ್ಯ
affections	0	0	0	0	0	0	0	0	0	0	ವಾತ್ಸಲ್ಯಗಳು
affiche	0	0	0	0	0	0	0	0	0	0	ಅಫಿಚೆ
affidavit	0	0	0	0	0	0	0	0	0	0	ಅಫಿಡವಿಟ್
affiliated	0	0	0	0	0	0	1	0	0	0	ಸಂಯೋಜಿತ
affiliation	0	0	0	0	0	0	0	0	0	0	ಬಾಂಧವ್ಯ
affinity	0	0	0	0	0	0	0	0	0	0	ಬಾಂಧವ್ಯ
affirm	0	0	0	0	0	0	1	0	0	1	ದೃಢೀಕರಿಸಿ
affirmation	0	0	0	0	0	0	1	0	0	0	ದೃಢೀಕರಣ
affirmative	0	0	0	0	0	0	1	0	0	0	ದೃಢವಾದ
affirmatively	0	0	0	0	0	0	1	0	0	1	ದೃಢವಾಗಿ
affix	0	0	0	0	0	0	0	0	0	0	ಅಂಟಿಸು
afflict	0	0	0	1	0	1	0	1	0	0	ಬಾಧಿಸುತ್ತವೆ
afflicted	0	0	0	0	0	1	0	0	0	0	ಪೀಡಿತ
affliction	0	0	1	1	0	1	0	1	0	0	ಸಂಕಟ
affluence	0	0	0	0	1	0	1	0	0	0	ಶ್ರೀಮಂತಿಕೆ
affluent	0	0	0	0	0	0	1	0	0	0	ಶ್ರೀಮಂತ
afford	0	0	0	0	0	0	1	0	0	0	ನಿಭಾಯಿಸುತ್ತೇನೆ
affront	1	0	1	1	0	1	0	1	1	0	ಮುಖಭಂಗ
afield	0	0	0	0	0	0	0	0	0	0	ದೂರದಲ್ಲಿ
afore	0	0	0	0	0	0	0	0	0	0	ಮೊದಲು
aforementioned	0	0	0	0	0	0	0	0	0	0	ಮೇಲೆ ತಿಳಿಸಿದ
aforesaid	0	0	0	0	0	0	0	0	0	0	ಮೇಲೆ ಹೇಳಿದ
afraid	0	0	0	1	0	1	0	0	0	0	ಹೆದರುತ್ತಾರೆ
afresh	0	0	0	0	0	0	0	0	0	0	ಹೊಸದಾಗಿ
aft	0	0	0	0	0	0	0	0	0	0	ಹಿಂದೆ
aftermath	1	0	1	1	0	1	0	1	0	0	ನಂತರದ ಪರಿಣಾಮ
afternoon	0	0	0	0	0	0	0	0	0	0	ಮಧ್ಯಾಹ್ನ
aftertaste	0	0	0	0	0	1	0	0	0	0	ನಂತರದ ರುಚಿ
afterthought	0	0	0	0	0	0	0	0	0	0	ನಂತರದ ಚಿಂತನೆ
aga	0	0	0	1	0	0	1	0	0	1	ಆಗಾ
agate	0	0	0	0	0	0	0	0	0	0	ಅಗೇಟ್
age	0	0	0	0	0	0	0	0	0	0	ವಯಸ್ಸು
aged	0	0	0	0	0	0	0	0	0	0	ವಯಸ್ಸಾದ
agency	0	0	0	0	0	0	0	0	0	0	ಸಂಸ್ಥೆ
agent	0	0	0	0	0	0	0	0	0	0	ಏಜೆಂಟ್
agglomeration	0	0	0	0	0	0	0	0	0	0	ಒಟ್ಟುಗೂಡುವಿಕೆ
aggravated	1	0	0	0	0	1	0	0	0	0	ಉಲ್ಬಣಗೊಂಡಿದೆ
aggravating	1	0	0	0	0	1	0	1	0	0	ಉಲ್ಬಣಗೊಳಿಸುತ್ತಿದೆ
aggravation	1	0	1	0	0	1	0	0	0	0	ಉಲ್ಬಣಗೊಳ್ಳುವಿಕೆ
aggregate	0	0	0	0	0	0	0	0	0	0	ಒಟ್ಟು
aggregation	0	0	0	0	0	0	0	0	0	0	ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
aggression	1	0	0	1	0	1	0	0	0	0	ಆಕ್ರಮಣಶೀಲತೆ
aggressive	1	0	0	1	0	1	0	0	0	0	ಆಕ್ರಮಣಕಾರಿ
aggressor	1	0	0	1	0	1	0	0	0	0	ಆಕ್ರಮಣಕಾರಿ
aghast	0	0	1	1	0	1	0	0	1	0	ಗಾಬರಿಯಾದ
agile	0	0	0	0	0	0	1	0	0	0	ಚಾಣಾಕ್ಷ
agility	0	0	0	0	0	0	1	0	0	0	ಚುರುಕುತನ
agitated	1	0	0	0	0	1	0	0	0	0	ತಳಮಳಗೊಂಡರು
agitation	1	0	0	0	0	1	0	0	0	0	ತಳಮಳ
agnostic	0	0	0	0	0	0	0	0	0	0	ಅಜ್ಞೇಯತಾವಾದಿ
ago	0	0	0	0	0	0	0	0	0	0	ಹಿಂದೆ
agonizing	0	0	0	1	0	1	0	0	0	0	ಸಂಕಟಪಡುವ
agony	1	0	0	1	0	1	0	1	0	0	ಸಂಕಟ
agree	0	0	0	0	0	0	1	0	0	0	ಒಪ್ಪುತ್ತೇನೆ
agreeable	0	0	0	0	0	0	1	0	0	1	ಒಪ್ಪುವ
agreed	0	0	0	0	0	0	1	0	0	1	ಒಪ್ಪಿಕೊಂಡರು
agreeing	0	0	0	0	0	0	1	0	0	1	ಒಪ್ಪುತ್ತಿದ್ದಾರೆ
agreement	0	0	0	0	0	0	1	0	0	1	ಒಪ್ಪಂದ
agricultural	0	0	0	0	0	0	0	0	0	0	ಕೃಷಿ
agriculture	0	0	0	0	0	0	1	0	0	0	ಕೃಷಿ
aground	0	0	0	0	0	1	0	0	0	0	ನೆಲದ ಮೇಲೆ
agua	0	0	0	0	0	0	0	0	0	0	ಅಗುವಾ
