English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Maori Word
accountant	0	0	0	0	0	0	0	0	0	1	kaikaute
accounting	0	0	0	0	0	0	0	0	0	0	kaute kaute
accounts	0	0	0	0	0	0	0	0	0	1	kaute
accredited	0	0	0	0	0	0	1	0	0	1	whaimana
accretion	0	0	0	0	0	0	0	0	0	0	pikinga
accrue	0	0	0	0	0	0	0	0	0	0	whakaemi
accueil	0	0	0	0	0	0	1	0	0	0	whakakeke
accumulate	0	0	0	0	0	0	0	0	0	0	whakaemi
accumulation	0	0	0	0	0	0	0	0	0	0	whakaemi
accuracy	0	0	0	0	0	0	0	0	0	0	tika
accurate	0	0	0	0	0	0	1	0	0	1	tika
accursed	1	0	0	1	0	1	0	1	0	0	kanga
accusation	1	0	1	0	0	1	0	0	0	0	whakapae
accusative	0	0	0	0	0	1	0	0	0	0	whakapae
accused	1	0	0	1	0	1	0	0	0	0	whakapaea
accuser	1	0	0	1	0	1	0	0	0	0	kaiwhakapae
accusing	1	0	0	1	0	1	0	0	0	0	whakapae
accustomed	0	0	0	0	0	0	0	0	0	0	taunga
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	mamae
achieve	0	0	0	0	1	0	1	0	0	1	tutuki
achievement	0	1	0	0	1	0	1	0	0	1	paetae
aching	0	0	0	0	0	1	0	1	0	0	mamae
acid	0	0	0	0	0	1	0	0	0	0	waikawa
acidity	0	0	0	0	0	0	0	0	0	0	waikawa
acknowledge	0	0	0	0	0	0	0	0	0	0	whakaae
acknowledged	0	0	0	0	0	0	0	0	0	0	i whakaae
acknowledgment	0	0	0	0	0	0	1	0	0	0	mihinga
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ororongo
acoustics	0	0	0	0	0	0	0	0	0	0	ororongo
acquaint	0	0	0	0	0	0	0	0	0	0	whakamohio
acquaintance	0	0	0	0	0	0	0	0	0	0	taunga
acquainted	0	0	0	0	0	0	0	0	0	0	kua mohio
acquiescence	0	0	0	0	0	0	0	0	0	0	whakaae
acquire	0	0	0	0	0	0	1	0	0	0	whiwhi
acquiring	0	1	0	0	0	0	1	0	0	0	whiwhi
acquisition	0	0	0	0	0	0	0	0	0	0	rironga
acquisitions	0	0	0	0	0	0	0	0	0	0	hokonga
acreage	0	0	0	0	0	0	0	0	0	0	eka
acres	0	0	0	0	0	0	0	0	0	0	eka
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	mahi
acting	0	0	0	0	0	0	0	0	0	0	mahi whakaari
action	0	0	0	0	0	0	1	0	0	0	mahi
actionable	1	0	1	0	0	1	0	0	0	0	ka taea te mahi
active	0	0	0	0	0	0	0	0	0	0	kaha
activity	0	0	0	0	0	0	0	0	0	0	mahi
actor	0	0	0	0	0	0	0	0	0	0	kaiwhakaari
actual	0	0	0	0	0	0	1	0	0	0	tūturu
actuality	0	0	0	0	0	0	0	0	0	0	mooni
actuary	0	0	0	0	0	0	0	0	0	0	kaikorero
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	mohio
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	tino kaha
adage	0	0	0	0	0	0	0	0	0	0	whakatauki
adamant	0	0	0	0	0	0	0	0	0	0	mau tonu
adapt	0	0	0	0	0	0	1	0	0	0	urutau
adaptable	0	0	0	0	0	0	1	0	0	0	urutau
add	0	0	0	0	0	0	0	0	0	0	tāpiri
added	0	0	0	0	0	0	0	0	0	0	tāpirihia
addendum	0	0	0	0	0	0	0	0	0	0	tāpiritanga
adder	1	0	1	1	0	1	0	1	0	0	neke
addiction	0	0	0	0	0	1	0	0	0	0	te waranga
addition	0	0	0	0	0	0	0	0	0	0	tāpiritanga
additional	0	0	0	0	0	0	0	0	0	0	taapiri
additive	0	0	0	0	0	0	0	0	0	0	taapiri
address	0	0	0	0	0	0	0	0	0	0	wāhitau
addressee	0	0	0	0	0	0	0	0	0	0	tangata whai korero
addresses	0	1	0	0	0	0	1	0	0	0	wāhitau
adept	0	0	0	0	0	0	1	0	0	0	matatau
adequacy	0	0	0	0	0	0	1	0	0	0	rawaka
adequate	0	0	0	0	0	0	0	0	0	0	rawaka
adhere	0	0	0	0	0	0	0	0	0	0	piri
adherence	0	0	0	0	0	0	0	0	0	0	piripono
adherent	0	0	0	0	0	0	0	0	0	0	piri
adhering	0	0	0	0	0	0	0	0	0	1	piri
adhesion	0	0	0	0	0	0	0	0	0	0	whakapiringa
adhesive	0	0	0	0	0	0	0	0	0	0	whakapiringa
adieu	0	0	0	0	0	0	0	0	0	0	poroporoaki
adipose	0	0	0	0	0	1	0	0	0	0	kiko
adjacency	0	0	0	0	0	0	0	0	0	0	pātata
adjacent	0	0	0	0	0	0	0	0	0	0	pātata
adjective	0	0	0	0	0	0	0	0	0	0	kupu āhua
adjoining	0	0	0	0	0	0	0	0	0	0	e piri ana
adjourn	0	0	0	0	0	0	0	0	0	0	hikitia
adjournment	0	0	0	0	0	0	0	0	0	0	hikitanga
adjudicate	0	0	0	1	0	1	0	0	0	0	whakawa
adjudication	0	0	0	0	0	0	0	0	0	0	whakawakanga
adjunct	0	0	0	0	0	0	1	0	0	0	taapiri
adjust	0	0	0	0	0	0	0	0	0	0	whakatika
adjustment	0	0	0	0	0	0	0	0	0	0	whakatikatika
adjuvant	0	0	0	0	0	0	0	0	0	0	awhina
administer	0	0	0	0	0	0	0	0	0	0	whakahaere
administration	0	0	0	0	0	0	0	0	0	0	whakahaerenga
administrative	0	0	0	0	0	0	0	0	0	1	whakahaere
admirable	0	0	0	0	1	0	1	0	0	1	whakamīharo
admiral	0	0	0	0	0	0	1	0	0	1	amirara
admiralty	0	0	0	0	0	0	0	0	0	0	whakamīharo
admiration	0	0	0	0	1	0	1	0	0	1	whakamihi
admire	0	0	0	0	0	0	1	0	0	1	whakamihi
admirer	0	0	0	0	0	0	1	0	0	0	whakamīharo
admissibility	0	0	0	0	0	0	0	0	0	0	te whakaae
admissible	0	0	0	0	0	0	1	0	0	1	whakaaetia
admission	0	0	0	0	0	0	0	0	0	0	urunga
admit	0	0	0	0	0	0	0	0	0	0	whakaae
admittance	0	0	0	0	0	0	0	0	0	0	urunga
admitted	0	0	0	0	0	0	0	0	0	0	whakaae
admitting	0	0	0	0	0	0	0	0	0	0	whakaae
admixture	0	0	0	0	0	0	0	0	0	0	whakaurunga
admonition	0	0	0	1	0	1	0	0	0	0	whakatupato
ado	0	0	0	0	0	0	0	0	0	0	tangi
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	taiohitanga
adolescent	0	0	0	0	0	0	0	0	0	0	taiohi
adopt	0	0	0	0	0	0	0	0	0	0	tango
adoption	0	0	0	0	0	0	0	0	0	0	whakatamarikitanga
adorable	0	0	0	0	1	0	1	0	0	0	ataahua
adoration	0	0	0	0	1	0	1	0	0	1	karakia
adore	0	1	0	0	1	0	1	0	0	1	koropiko
adorn	0	0	0	0	0	0	0	0	0	0	whakapaipai
adornment	0	0	0	0	0	0	0	0	0	0	whakapaipai
adrift	0	1	0	1	0	1	0	1	0	0	panuku
adult	0	0	0	0	0	0	0	0	0	0	pakeke
adulterated	0	0	0	0	0	1	0	0	0	0	whakapohehe
adultery	0	0	1	0	0	1	0	1	0	0	puremu
advance	0	1	0	1	1	0	1	0	1	0	mua
advanced	0	0	0	0	0	0	1	0	0	0	matatau
advancement	0	0	0	0	0	0	1	0	0	0	whakamuatanga
advancing	0	0	0	0	0	0	0	0	0	0	whakamua
advantage	0	0	0	0	0	0	1	0	0	0	painga
advantageous	0	0	0	0	0	0	1	0	0	0	painga
advent	0	1	0	0	1	0	1	0	0	1	te taenga mai
adventure	0	1	0	0	0	0	1	0	0	0	mōrearea
adventurer	0	0	0	0	0	0	0	0	0	0	kaihoroi
adventurous	0	0	0	0	0	0	1	0	0	0	whaiwhaiwhai
adversary	1	0	0	0	0	1	0	0	0	0	hoariri
adverse	1	0	1	1	0	1	0	1	0	0	kino
adversity	1	0	0	1	0	1	0	1	0	0	ati
advertise	0	0	0	0	0	0	0	0	0	0	panui
advertisement	0	0	0	0	0	0	0	0	0	0	pānuitanga
advice	0	0	0	0	0	0	0	0	0	1	tohutohu
advisable	0	0	0	0	0	0	1	0	0	1	tika
advise	0	0	0	0	0	0	1	0	0	1	tohutohu
advised	0	0	0	0	0	0	0	0	0	1	tohutohu
advisement	0	0	0	0	0	0	0	0	0	0	tohutohu
adviser	0	0	0	0	0	0	1	0	0	1	kaiwhakatakoto whakaaro
advocacy	1	1	0	0	1	0	1	0	0	1	tautoko
advocate	0	0	0	0	0	0	0	0	0	1	kaiwawao
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	whakarangirangi
aerial	0	0	0	0	0	0	0	0	0	0	rererangi
aerodrome	0	0	0	0	0	0	0	0	0	0	taunga rererangi
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	waka rererangi
aeroplane	0	0	0	0	0	0	0	0	0	0	rererangi
aesthetic	0	0	0	0	0	0	1	0	0	0	rerehua
aesthetics	0	0	0	0	1	0	1	0	0	0	rerehua
aetiology	0	0	0	0	0	0	0	0	0	0	hetiology
afar	0	0	0	0	0	0	0	0	0	0	tawhiti
affable	0	0	0	0	0	0	1	0	0	0	atawhai
affair	0	0	0	0	0	0	0	0	0	0	take
affecting	0	0	0	0	0	0	0	0	0	0	e pa ana
affection	0	0	0	0	1	0	1	0	0	1	aroha
affections	0	0	0	0	0	0	0	0	0	0	aroha
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	oati
affiliated	0	0	0	0	0	0	1	0	0	0	hono
affiliation	0	0	0	0	0	0	0	0	0	0	hononga
affinity	0	0	0	0	0	0	0	0	0	0	hononga
affirm	0	0	0	0	0	0	1	0	0	1	whakaū
affirmation	0	0	0	0	0	0	1	0	0	0	whakaū
affirmative	0	0	0	0	0	0	1	0	0	0	whakaū
affirmatively	0	0	0	0	0	0	1	0	0	1	whakaū
affix	0	0	0	0	0	0	0	0	0	0	whakapiri
afflict	0	0	0	1	0	1	0	1	0	0	whakawhiua
afflicted	0	0	0	0	0	1	0	0	0	0	whakawhiua
affliction	0	0	1	1	0	1	0	1	0	0	mamae
affluence	0	0	0	0	1	0	1	0	0	0	whai rawa
affluent	0	0	0	0	0	0	1	0	0	0	whai rawa
afford	0	0	0	0	0	0	1	0	0	0	utu
affront	1	0	1	1	0	1	0	1	1	0	whakaparahako
afield	0	0	0	0	0	0	0	0	0	0	i tawhiti
afore	0	0	0	0	0	0	0	0	0	0	o mua
aforementioned	0	0	0	0	0	0	0	0	0	0	kua whakahuatia ake nei
aforesaid	0	0	0	0	0	0	0	0	0	0	kua kiia ake nei
afraid	0	0	0	1	0	1	0	0	0	0	wehi
afresh	0	0	0	0	0	0	0	0	0	0	hou
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	whai muri
afternoon	0	0	0	0	0	0	0	0	0	0	ahiahi
aftertaste	0	0	0	0	0	1	0	0	0	0	te reka o muri
afterthought	0	0	0	0	0	0	0	0	0	0	whai whakaaro
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	akete
age	0	0	0	0	0	0	0	0	0	0	tau
aged	0	0	0	0	0	0	0	0	0	0	pakeke
agency	0	0	0	0	0	0	0	0	0	0	ti'amâraa
agent	0	0	0	0	0	0	0	0	0	0	kaihoko
agglomeration	0	0	0	0	0	0	0	0	0	0	whakahiatotanga
aggravated	1	0	0	0	0	1	0	0	0	0	whakakino
aggravating	1	0	0	0	0	1	0	1	0	0	whakararu
aggravation	1	0	1	0	0	1	0	0	0	0	whakakino
aggregate	0	0	0	0	0	0	0	0	0	0	whakahiato
aggregation	0	0	0	0	0	0	0	0	0	0	whakahiatotanga
aggression	1	0	0	1	0	1	0	0	0	0	whakakino
aggressive	1	0	0	1	0	1	0	0	0	0	pukuriri
aggressor	1	0	0	1	0	1	0	0	0	0	kaitukino
aghast	0	0	1	1	0	1	0	0	1	0	whakapouri
agile	0	0	0	0	0	0	1	0	0	0	kakama
agility	0	0	0	0	0	0	1	0	0	0	kakama
agitated	1	0	0	0	0	1	0	0	0	0	whakapouri
agitation	1	0	0	0	0	1	0	0	0	0	whakaohooho
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	i mua
agonizing	0	0	0	1	0	1	0	0	0	0	mamae mamae
agony	1	0	0	1	0	1	0	1	0	0	mamae mamae
agree	0	0	0	0	0	0	1	0	0	0	whakaae
agreeable	0	0	0	0	0	0	1	0	0	1	pai
agreed	0	0	0	0	0	0	1	0	0	1	i whakaae
agreeing	0	0	0	0	0	0	1	0	0	1	whakaae ana
agreement	0	0	0	0	0	0	1	0	0	1	whakaaetanga
agricultural	0	0	0	0	0	0	0	0	0	0	ahuwhenua
agriculture	0	0	0	0	0	0	1	0	0	0	ahuwhenua
aground	0	0	0	0	0	1	0	0	0	0	ki uta
agua	0	0	0	0	0	0	0	0	0	0	akua
ahead	0	0	0	0	0	0	1	0	0	0	kei mua
aid	0	0	0	0	0	0	1	0	0	0	awhina
aiding	0	0	0	0	0	0	1	0	0	0	awhina
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	māuiui
ailment	0	0	0	0	0	0	0	0	0	0	mate
aim	0	0	0	0	0	0	0	0	0	0	whainga
aimless	0	0	0	0	0	1	0	0	0	0	kore whainga
air	0	0	0	0	0	0	0	0	0	0	hau
airbag	0	0	0	0	0	0	0	0	0	0	putea hau
airlift	0	0	0	0	0	0	0	0	0	0	waka rererangi
airline	0	0	0	0	0	0	0	0	0	0	waka rererangi
airman	0	0	0	0	0	0	0	0	0	0	tangata hau
airplane	0	0	0	0	0	0	0	0	0	0	rererangi
airport	0	1	0	0	0	0	0	0	0	0	taunga rererangi
airs	0	0	1	0	0	1	0	0	0	0	hau
airship	0	0	0	0	0	0	0	0	0	0	waka rererangi
aisle	0	0	0	0	0	0	0	0	0	0	aroa
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	tuwhera
akin	0	0	0	0	0	0	0	0	0	1	rite
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	whakaohooho
alarming	0	0	0	1	0	1	0	0	1	0	ohorere
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	pukaemi
alchemy	0	0	0	0	0	0	0	0	0	0	hauhautanga
alcohol	0	0	0	0	0	0	0	0	0	0	waipiro
alcoholism	1	0	1	1	0	1	0	1	0	0	waipiro
alcove	0	0	0	0	0	0	0	0	0	0	kōhao
alert	0	0	0	0	0	0	0	0	0	0	mataara
alertness	0	1	0	1	0	0	1	0	1	0	mataaratanga
alerts	0	1	0	1	0	0	0	0	1	0	matohi
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	taurangi
algebraic	0	0	0	0	0	0	0	0	0	0	taurangi
algorithm	0	0	0	0	0	0	0	0	0	0	hātepe hātepe
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	manene
alienate	1	0	1	0	0	1	0	0	0	0	whakaatea
alienated	0	0	0	0	0	1	0	1	0	0	kua wehea
alienation	1	0	1	1	0	1	0	1	0	0	whakaatea
alight	0	0	0	0	0	0	0	0	0	0	ki runga
aligned	0	0	0	0	0	0	0	0	0	0	whakahāngai
alignment	0	0	0	0	0	0	0	0	0	0	whakahāngaitanga
alike	0	0	0	0	0	0	0	0	0	0	rite tonu
alimentation	0	0	0	0	0	0	1	0	0	0	kai
alimony	0	0	0	0	0	1	0	0	0	0	alimoni
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ora
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	pāhare pāhare
allay	0	0	0	0	0	0	1	0	0	0	whakamau
allegation	1	0	0	0	0	1	0	0	0	0	whakapae
allege	0	0	0	0	0	1	0	0	0	0	whakapae
alleged	0	0	0	0	0	0	0	0	0	0	te whakapae
allegiance	0	0	0	0	0	0	1	0	0	1	piripono
allegorical	0	0	0	0	0	0	0	0	0	0	kupu whakarite
allegory	0	0	0	0	0	0	0	0	0	0	kupu whakarite
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	whakamama
alleviation	0	0	0	0	0	0	1	0	0	0	whakangawaritanga
alley	0	0	0	0	0	0	0	0	0	0	ara
alliance	0	0	0	0	0	0	0	0	0	1	hononga
allied	0	0	0	0	0	0	1	0	0	1	whakahoa
alligator	0	0	0	0	0	0	0	0	0	0	kaaka
allocate	0	0	0	0	0	0	0	0	0	0	tohatoha
allocation	0	0	0	0	0	0	0	0	0	0	tohatoha
allot	0	0	0	0	0	0	0	0	0	0	tohatoha
allotment	0	0	0	0	0	0	0	0	0	0	tohatoha
allowable	0	0	0	0	0	0	1	0	0	0	whakaaetia
allowance	0	0	0	0	0	0	0	0	0	0	tahua
allowed	0	0	0	0	0	0	0	0	0	0	whakaaetia
alloy	0	0	0	0	0	0	0	0	0	0	koranu
allure	0	1	0	0	1	0	1	0	1	0	whakawai
alluring	0	0	0	0	0	0	1	0	0	0	whakahihiri
allusion	0	0	0	0	0	0	0	0	0	0	whakahua
alluvial	0	0	0	0	0	0	0	0	0	0	rewa
ally	0	0	0	0	0	0	1	0	0	1	hoa
almanac	0	0	0	0	0	0	0	0	0	0	aramanaka
almighty	0	0	0	0	0	0	1	0	0	0	kaha rawa
aloft	0	0	0	0	0	0	0	0	0	0	teitei
aloha	0	1	0	0	1	0	1	0	0	0	aroha
alongside	0	0	0	0	0	0	0	0	0	0	taha
aloof	0	0	0	0	0	1	0	0	0	0	tahataha
aloud	0	0	0	0	0	0	0	0	0	0	reo nui
alphabet	0	0	0	0	0	0	0	0	0	0	piapa
alphabetical	0	0	0	0	0	0	0	0	0	0	piapa
altar	0	0	0	0	0	0	0	0	0	0	aata
alter	0	0	0	0	0	0	0	0	0	0	huri
alteration	0	0	0	0	0	0	0	0	0	0	whakarerekētanga
altercation	1	0	0	0	0	1	0	0	0	0	taupatupatu
altered	0	0	0	0	0	0	0	0	0	0	kua whakarereketia
alternate	0	0	0	0	0	0	0	0	0	0	tautahi
alternative	0	0	0	0	0	0	0	0	0	0	kē
altitude	0	0	0	0	0	0	0	0	0	0	teitei
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	katoa
alumnus	0	0	0	0	0	0	0	0	0	0	tauira
alveolar	0	0	0	0	0	0	0	0	0	0	pukoro
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	whakakotahitanga
amass	0	0	0	0	0	0	0	0	0	0	whakaemi
amateur	0	0	0	0	0	0	0	0	0	0	runaruna
amaze	0	0	0	0	0	0	0	0	1	0	whakamīharo
amazement	0	0	0	0	0	0	0	0	0	0	miharo
amazingly	0	0	0	0	1	0	1	0	1	0	whakamiharo
ambassador	0	0	0	0	0	0	1	0	0	1	karere
amber	0	0	0	0	0	0	0	0	0	0	amipere
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	rangirua
ambiguous	0	0	0	0	0	1	0	0	0	0	rangirua
ambit	0	0	0	0	0	0	0	0	0	0	whainga
ambition	0	1	0	0	1	0	1	0	0	1	wawata
ambitious	0	0	0	0	0	0	0	0	0	0	hao nui
ambulance	0	0	0	1	0	0	0	0	0	1	waka tūroro
ambush	1	0	0	1	0	1	0	0	1	0	pehipehi
ameliorate	0	0	0	0	0	0	1	0	0	0	whakapai
amen	0	0	0	0	1	0	1	0	0	1	āmine
amenable	0	0	0	0	0	0	1	0	0	0	whakaae
amend	0	0	0	0	0	0	1	0	0	0	whakatikatika
amendment	0	0	0	0	0	0	0	0	0	0	whakatikatika
amends	0	0	0	0	0	0	1	0	0	0	whakatikatika
amenity	0	0	0	0	0	0	1	0	0	0	whakamarie
amethyst	0	0	0	0	0	0	0	0	0	0	ametihita
amiable	0	0	0	0	0	0	1	0	0	0	atawhai
amicable	0	0	0	0	1	0	1	0	0	0	atawhai
amid	0	0	0	0	0	0	0	0	0	0	waenganui
amidst	0	0	0	0	0	0	0	0	0	0	i waenganui
ammonia	0	0	1	0	0	0	0	0	0	0	haukini
ammunition	0	0	0	0	0	0	0	0	0	0	matā
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	murunga hara
amorphous	0	0	0	0	0	0	0	0	0	0	kārehu
amortization	0	0	0	0	0	0	0	0	0	1	whakamomori
amount	0	0	0	0	0	0	0	0	0	0	nui
amour	0	1	0	0	1	0	1	0	0	1	aroha
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amphetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
amphibious	0	0	0	0	0	0	0	0	0	0	karekau
amphitheater	0	0	0	0	0	0	0	0	0	0	whare tapere
