English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Xhosa Word
advancing	0	0	0	0	0	0	0	0	0	0	ukuqhubela phambili
advantage	0	0	0	0	0	0	1	0	0	0	inzuzo
advantageous	0	0	0	0	0	0	1	0	0	0	luncedo
advent	0	1	0	0	1	0	1	0	0	1	ukufika
adventure	0	1	0	0	0	0	1	0	0	0	adventure
adventurer	0	0	0	0	0	0	0	0	0	0	umntu onomdla
adventurous	0	0	0	0	0	0	1	0	0	0	nomdla
adversary	1	0	0	0	0	1	0	0	0	0	umchasi
adverse	1	0	1	1	0	1	0	1	0	0	embi
adversity	1	0	0	1	0	1	0	1	0	0	ubunzima
advertise	0	0	0	0	0	0	0	0	0	0	bhengeza
advertisement	0	0	0	0	0	0	0	0	0	0	isibhengezo
advice	0	0	0	0	0	0	0	0	0	1	iingcebiso
advisable	0	0	0	0	0	0	1	0	0	1	kucetyiswa
advise	0	0	0	0	0	0	1	0	0	1	cebisa
advised	0	0	0	0	0	0	0	0	0	1	kucetyiswa
advisement	0	0	0	0	0	0	0	0	0	0	ingcebiso
adviser	0	0	0	0	0	0	1	0	0	1	umcebisi
advocacy	1	1	0	0	1	0	1	0	0	1	ukuthethelela
advocate	0	0	0	0	0	0	0	0	0	1	thethelela
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	ukungenisa umoya
aerial	0	0	0	0	0	0	0	0	0	0	emoyeni
aerodrome	0	0	0	0	0	0	0	0	0	0	indawo yeenqwelomoya
aerodynamics	0	0	0	0	0	0	0	0	0	0	iaerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	i-aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	inqwelomoya
aesthetic	0	0	0	0	0	0	1	0	0	0	ubuhle
aesthetics	0	0	0	0	1	0	1	0	0	0	ubuhle
aetiology	0	0	0	0	0	0	0	0	0	0	i-etiology
afar	0	0	0	0	0	0	0	0	0	0	kude
affable	0	0	0	0	0	0	1	0	0	0	nobubele
affair	0	0	0	0	0	0	0	0	0	0	umcimbi
affecting	0	0	0	0	0	0	0	0	0	0	echaphazelayo
affection	0	0	0	0	1	0	1	0	0	1	uthando
affections	0	0	0	0	0	0	0	0	0	0	uthando
affiche	0	0	0	0	0	0	0	0	0	0	i-affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ingxelo efungelweyo
affiliated	0	0	0	0	0	0	1	0	0	0	edibeneyo
affiliation	0	0	0	0	0	0	0	0	0	0	umanyano
affinity	0	0	0	0	0	0	0	0	0	0	ubudlelwane
affirm	0	0	0	0	0	0	1	0	0	1	qinisekisa
affirmation	0	0	0	0	0	0	1	0	0	0	isiqinisekiso
affirmative	0	0	0	0	0	0	1	0	0	0	i-affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	ngokuqinisekileyo
affix	0	0	0	0	0	0	0	0	0	0	ncamathela
afflict	0	0	0	1	0	1	0	1	0	0	xhwalekisa
afflicted	0	0	0	0	0	1	0	0	0	0	uxhwalekile
affliction	0	0	1	1	0	1	0	1	0	0	inkxwaleko
affluence	0	0	0	0	1	0	1	0	0	0	ubutyebi
affluent	0	0	0	0	0	0	1	0	0	0	abazizityebi
afford	0	0	0	0	0	0	1	0	0	0	ukuhlawulela
affront	1	0	1	1	0	1	0	1	1	0	ukucaphukisa
afield	0	0	0	0	0	0	0	0	0	0	ngaphandle
afore	0	0	0	0	0	0	0	0	0	0	ngaphambili
aforementioned	0	0	0	0	0	0	0	0	0	0	ekhankanywe ngasentla
aforesaid	0	0	0	0	0	0	0	0	0	0	sele kukhankanyiwe
afraid	0	0	0	1	0	1	0	0	0	0	yoyika
afresh	0	0	0	0	0	0	0	0	0	0	ngokutsha
aft	0	0	0	0	0	0	0	0	0	0	emva
aftermath	1	0	1	1	0	1	0	1	0	0	emva koko
afternoon	0	0	0	0	0	0	0	0	0	0	njakalanga
aftertaste	0	0	0	0	0	1	0	0	0	0	emva kwencasa
afterthought	0	0	0	0	0	0	0	0	0	0	emva kokucinga
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	iagate
age	0	0	0	0	0	0	0	0	0	0	ubudala
aged	0	0	0	0	0	0	0	0	0	0	ubudala
agency	0	0	0	0	0	0	0	0	0	0	arhente
agent	0	0	0	0	0	0	0	0	0	0	iarhente
agglomeration	0	0	0	0	0	0	0	0	0	0	iagglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	yenziwe mandundu
aggravating	1	0	0	0	0	1	0	1	0	0	ezenza mandundu
aggravation	1	0	1	0	0	1	0	0	0	0	ukuxhwaleka
aggregate	0	0	0	0	0	0	0	0	0	0	i-aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	ukudibanisa
aggression	1	0	0	1	0	1	0	0	0	0	ubundlongondlongo
aggressive	1	0	0	1	0	1	0	0	0	0	ndlongondlongo
aggressor	1	0	0	1	0	1	0	0	0	0	umhlaseli
aghast	0	0	1	1	0	1	0	0	1	0	lusizi
agile	0	0	0	0	0	0	1	0	0	0	ukhawuleza
agility	0	0	0	0	0	0	1	0	0	0	ubuchule
agitated	1	0	0	0	0	1	0	0	0	0	phazamisekile
agitation	1	0	0	0	0	1	0	0	0	0	ukuphazamiseka
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	eyadlulayo
agonizing	0	0	0	1	0	1	0	0	0	0	ebuhlungu
agony	1	0	0	1	0	1	0	1	0	0	intlungu
agree	0	0	0	0	0	0	1	0	0	0	ndivume
agreeable	0	0	0	0	0	0	1	0	0	1	evumayo
agreed	0	0	0	0	0	0	1	0	0	1	wavuma
agreeing	0	0	0	0	0	0	1	0	0	1	evumayo
agreement	0	0	0	0	0	0	1	0	0	1	isivumelwano
agricultural	0	0	0	0	0	0	0	0	0	0	ezolimo
agriculture	0	0	0	0	0	0	1	0	0	0	ezolimo
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	iagua
ahead	0	0	0	0	0	0	1	0	0	0	phambili
aid	0	0	0	0	0	0	1	0	0	0	uncedo
aiding	0	0	0	0	0	0	1	0	0	0	ukunceda
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	egulayo
ailment	0	0	0	0	0	0	0	0	0	0	isigulo
aim	0	0	0	0	0	0	0	0	0	0	injongo
aimless	0	0	0	0	0	1	0	0	0	0	engenanjongo
air	0	0	0	0	0	0	0	0	0	0	umoya
airbag	0	0	0	0	0	0	0	0	0	0	ingxowa yomoya
airlift	0	0	0	0	0	0	0	0	0	0	inqwelo moya
airline	0	0	0	0	0	0	0	0	0	0	inqwelomoya
airman	0	0	0	0	0	0	0	0	0	0	umntu womoya
airplane	0	0	0	0	0	0	0	0	0	0	inqwelomoya
airport	0	1	0	0	0	0	0	0	0	0	kwisikhululo seenqwelomoya
airs	0	0	1	0	0	1	0	0	0	0	emoyeni
airship	0	0	0	0	0	0	0	0	0	0	inqwelomoya
aisle	0	0	0	0	0	0	0	0	0	0	ilayini
ait	0	0	0	0	0	0	0	0	0	0	hayi
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	i-Akin
alabaster	0	0	0	0	0	0	1	0	0	0	ialabhasta
alarm	0	0	0	1	0	1	0	0	1	0	ialam
alarming	0	0	0	1	0	1	0	0	1	0	eyothusayo
alb	0	0	0	0	0	0	0	0	0	1	ialb
album	0	0	0	0	0	0	0	0	0	0	icwecwe
alchemy	0	0	0	0	0	0	0	0	0	0	ialchemy
alcohol	0	0	0	0	0	0	0	0	0	0	utywala
alcoholism	1	0	1	1	0	1	0	1	0	0	ubunxila
alcove	0	0	0	0	0	0	0	0	0	0	ialcove
alert	0	0	0	0	0	0	0	0	0	0	isilumkiso
alertness	0	1	0	1	0	0	1	0	1	0	ukuphaphama
alerts	0	1	0	1	0	0	0	0	1	0	izilumkiso
alfalfa	0	0	0	0	0	0	0	0	0	0	ialfalfa
algebra	0	0	0	0	0	0	0	0	0	0	ialgebra
algebraic	0	0	0	0	0	0	0	0	0	0	ialgebraic
algorithm	0	0	0	0	0	0	0	0	0	0	ialgorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	wasemzini
alienate	1	0	1	0	0	1	0	0	0	0	ahlukanise
alienated	0	0	0	0	0	1	0	1	0	0	ahlukanisiwe
alienation	1	0	1	1	0	1	0	1	0	0	ukwahlukana
alight	0	0	0	0	0	0	0	0	0	0	kukhanya
aligned	0	0	0	0	0	0	0	0	0	0	ilungelelanisiwe
alignment	0	0	0	0	0	0	0	0	0	0	ulungelelwaniso
alike	0	0	0	0	0	0	0	0	0	0	ngokufanayo
alimentation	0	0	0	0	0	0	1	0	0	0	ukutya
alimony	0	0	0	0	0	1	0	0	0	0	isondlo
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ephila
alkali	0	0	0	0	0	0	0	0	0	0	ialkali
alkaloids	0	0	0	0	0	0	0	0	0	0	iialkaloids
allay	0	0	0	0	0	0	1	0	0	0	phelisa
allegation	1	0	0	0	0	1	0	0	0	0	isityholo
allege	0	0	0	0	0	1	0	0	0	0	mangalela
alleged	0	0	0	0	0	0	0	0	0	0	kutyholwa
allegiance	0	0	0	0	0	0	1	0	0	1	intembeko
allegorical	0	0	0	0	0	0	0	0	0	0	iyazekelisa
allegory	0	0	0	0	0	0	0	0	0	0	isikweko
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	nciphisa
alleviation	0	0	0	0	0	0	1	0	0	0	ukunciphisa
alley	0	0	0	0	0	0	0	0	0	0	indlela
alliance	0	0	0	0	0	0	0	0	0	1	umanyano
allied	0	0	0	0	0	0	1	0	0	1	amahlakani
alligator	0	0	0	0	0	0	0	0	0	0	ingwenya
allocate	0	0	0	0	0	0	0	0	0	0	abele
allocation	0	0	0	0	0	0	0	0	0	0	ulwabiwo
allot	0	0	0	0	0	0	0	0	0	0	isabelo
allotment	0	0	0	0	0	0	0	0	0	0	ulwabiwo
allowable	0	0	0	0	0	0	1	0	0	0	kuvumelekile
allowance	0	0	0	0	0	0	0	0	0	0	isibonelelo
allowed	0	0	0	0	0	0	0	0	0	0	kuvunyelwe
alloy	0	0	0	0	0	0	0	0	0	0	ingxubevange
allure	0	1	0	0	1	0	1	0	1	0	umtsalane
alluring	0	0	0	0	0	0	1	0	0	0	enomtsalane
allusion	0	0	0	0	0	0	0	0	0	0	isilawuli
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	umncedisi
almanac	0	0	0	0	0	0	0	0	0	0	ialmanac
almighty	0	0	0	0	0	0	1	0	0	0	usomandla
aloft	0	0	0	0	0	0	0	0	0	0	phezulu
aloha	0	1	0	0	1	0	1	0	0	0	uloha
alongside	0	0	0	0	0	0	0	0	0	0	ecaleni
aloof	0	0	0	0	0	1	0	0	0	0	kude
aloud	0	0	0	0	0	0	0	0	0	0	ngokuvakalayo
alphabet	0	0	0	0	0	0	0	0	0	0	ialfabhethi
alphabetical	0	0	0	0	0	0	0	0	0	0	ngokwealfabhethi
altar	0	0	0	0	0	0	0	0	0	0	isibingelelo
alter	0	0	0	0	0	0	0	0	0	0	guqula
alteration	0	0	0	0	0	0	0	0	0	0	ukuguqulwa
altercation	1	0	0	0	0	1	0	0	0	0	ingxabano
altered	0	0	0	0	0	0	0	0	0	0	itshintshiwe
alternate	0	0	0	0	0	0	0	0	0	0	enye
alternative	0	0	0	0	0	0	0	0	0	0	enye indlela
altitude	0	0	0	0	0	0	0	0	0	0	ukuphakama
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	ngokupheleleyo
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	i-alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	ukudibanisa
amalgamation	0	0	0	0	0	0	0	0	0	0	ukudibanisa
amass	0	0	0	0	0	0	0	0	0	0	qokelela
amateur	0	0	0	0	0	0	0	0	0	0	umntu ongenamdla
amaze	0	0	0	0	0	0	0	0	1	0	mangalisa
amazement	0	0	0	0	0	0	0	0	0	0	ukumangaliswa
amazingly	0	0	0	0	1	0	1	0	1	0	ngokumangalisayo
ambassador	0	0	0	0	0	0	1	0	0	1	unozakuzaku
amber	0	0	0	0	0	0	0	0	0	0	i-amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	ukungaqondakali kakuhle
ambiguous	0	0	0	0	0	1	0	0	0	0	ngaqondakali
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	amabhongo
ambitious	0	0	0	0	0	0	0	0	0	0	namabhongo
ambulance	0	0	0	1	0	0	0	0	0	1	inqwelo yezigulana
ambush	1	0	0	1	0	1	0	0	1	0	lalela
ameliorate	0	0	0	0	0	0	1	0	0	0	phucula
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	iyamkeleka
amend	0	0	0	0	0	0	1	0	0	0	lungisa
amendment	0	0	0	0	0	0	0	0	0	0	isilungiso
amends	0	0	0	0	0	0	1	0	0	0	iyalungisa
amenity	0	0	0	0	0	0	1	0	0	0	uncedo
