English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Spanish Word
acreage	0	0	0	0	0	0	0	0	0	0	superficie en acres
acres	0	0	0	0	0	0	0	0	0	0	hectáreas
acrobat	0	0	0	1	1	0	1	0	0	1	acróbata
act	0	0	0	0	0	0	0	0	0	0	Actuar
acting	0	0	0	0	0	0	0	0	0	0	interino
action	0	0	0	0	0	0	1	0	0	0	acción
actionable	1	0	1	0	0	1	0	0	0	0	procesable
active	0	0	0	0	0	0	0	0	0	0	activo
activity	0	0	0	0	0	0	0	0	0	0	actividad
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	actual
actuality	0	0	0	0	0	0	0	0	0	0	realidad
actuary	0	0	0	0	0	0	0	0	0	0	actuario
acuity	0	0	0	0	0	0	1	0	0	0	agudeza
acumen	0	0	0	0	0	0	1	0	0	0	perspicacia
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	extremadamente
adage	0	0	0	0	0	0	0	0	0	0	adagio
adamant	0	0	0	0	0	0	0	0	0	0	firme
adapt	0	0	0	0	0	0	1	0	0	0	adaptar
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	agregar
added	0	0	0	0	0	0	0	0	0	0	adicional
addendum	0	0	0	0	0	0	0	0	0	0	apéndice
adder	1	0	1	1	0	1	0	1	0	0	sumador
addiction	0	0	0	0	0	1	0	0	0	0	adiccion
addition	0	0	0	0	0	0	0	0	0	0	suma
additional	0	0	0	0	0	0	0	0	0	0	adicional
additive	0	0	0	0	0	0	0	0	0	0	aditivo
address	0	0	0	0	0	0	0	0	0	0	Dirección
addressee	0	0	0	0	0	0	0	0	0	0	destinatario
addresses	0	1	0	0	0	0	1	0	0	0	direcciones
adept	0	0	0	0	0	0	1	0	0	0	adepto
adequacy	0	0	0	0	0	0	1	0	0	0	adecuación
adequate	0	0	0	0	0	0	0	0	0	0	adecuado
adhere	0	0	0	0	0	0	0	0	0	0	adherirse
adherence	0	0	0	0	0	0	0	0	0	0	adherencia
adherent	0	0	0	0	0	0	0	0	0	0	adherente
adhering	0	0	0	0	0	0	0	0	0	1	adherido
adhesion	0	0	0	0	0	0	0	0	0	0	adhesión
adhesive	0	0	0	0	0	0	0	0	0	0	adhesivo
adieu	0	0	0	0	0	0	0	0	0	0	adiós
adipose	0	0	0	0	0	1	0	0	0	0	adiposo
adjacency	0	0	0	0	0	0	0	0	0	0	proximidad
adjacent	0	0	0	0	0	0	0	0	0	0	adyacente
adjective	0	0	0	0	0	0	0	0	0	0	adjetivo
adjoining	0	0	0	0	0	0	0	0	0	0	contiguo
adjourn	0	0	0	0	0	0	0	0	0	0	aplazar
adjournment	0	0	0	0	0	0	0	0	0	0	aplazamiento
adjudicate	0	0	0	1	0	1	0	0	0	0	juzgar
adjudication	0	0	0	0	0	0	0	0	0	0	adjudicación
adjunct	0	0	0	0	0	0	1	0	0	0	adjunto
adjust	0	0	0	0	0	0	0	0	0	0	ajustar
adjustment	0	0	0	0	0	0	0	0	0	0	ajustamiento
adjuvant	0	0	0	0	0	0	0	0	0	0	auxiliar
administer	0	0	0	0	0	0	0	0	0	0	administrar
administration	0	0	0	0	0	0	0	0	0	0	administración
administrative	0	0	0	0	0	0	0	0	0	1	administrativo
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	almirante
admiralty	0	0	0	0	0	0	0	0	0	0	almirantazgo
admiration	0	0	0	0	1	0	1	0	0	1	admiración
admire	0	0	0	0	0	0	1	0	0	1	admirar
admirer	0	0	0	0	0	0	1	0	0	0	admirador
admissibility	0	0	0	0	0	0	0	0	0	0	admisibilidad
admissible	0	0	0	0	0	0	1	0	0	1	admisible
admission	0	0	0	0	0	0	0	0	0	0	admisión
admit	0	0	0	0	0	0	0	0	0	0	admitir
admittance	0	0	0	0	0	0	0	0	0	0	entrada
admitted	0	0	0	0	0	0	0	0	0	0	aceptado
admitting	0	0	0	0	0	0	0	0	0	0	admitiendo
admixture	0	0	0	0	0	0	0	0	0	0	mezcla
admonition	0	0	0	1	0	1	0	0	0	0	amonestación
ado	0	0	0	0	0	0	0	0	0	0	alharaca
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescencia
adolescent	0	0	0	0	0	0	0	0	0	0	adolescente
adopt	0	0	0	0	0	0	0	0	0	0	adoptar
adoption	0	0	0	0	0	0	0	0	0	0	adopción
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adoración
adore	0	1	0	0	1	0	1	0	0	1	adorar
adorn	0	0	0	0	0	0	0	0	0	0	adornar
adornment	0	0	0	0	0	0	0	0	0	0	adorno
adrift	0	1	0	1	0	1	0	1	0	0	a la deriva
adult	0	0	0	0	0	0	0	0	0	0	adulto
adulterated	0	0	0	0	0	1	0	0	0	0	espurio
adultery	0	0	1	0	0	1	0	1	0	0	adulterio
advance	0	1	0	1	1	0	1	0	1	0	ventaja
advanced	0	0	0	0	0	0	1	0	0	0	avanzado
advancement	0	0	0	0	0	0	1	0	0	0	avance
advancing	0	0	0	0	0	0	0	0	0	0	avanzando
advantage	0	0	0	0	0	0	1	0	0	0	ventaja
advantageous	0	0	0	0	0	0	1	0	0	0	ventajoso
advent	0	1	0	0	1	0	1	0	0	1	adviento
adventure	0	1	0	0	0	0	1	0	0	0	aventura
adventurer	0	0	0	0	0	0	0	0	0	0	aventurero
adventurous	0	0	0	0	0	0	1	0	0	0	aventurero
adversary	1	0	0	0	0	1	0	0	0	0	adversario
adverse	1	0	1	1	0	1	0	1	0	0	adverso
adversity	1	0	0	1	0	1	0	1	0	0	adversidad
advertise	0	0	0	0	0	0	0	0	0	0	anunciar
advertisement	0	0	0	0	0	0	0	0	0	0	anuncio publicitario
advice	0	0	0	0	0	0	0	0	0	1	consejo
advisable	0	0	0	0	0	0	1	0	0	1	aconsejable
advise	0	0	0	0	0	0	1	0	0	1	consejo
advised	0	0	0	0	0	0	0	0	0	1	aconsejado
advisement	0	0	0	0	0	0	0	0	0	0	asesoramiento
adviser	0	0	0	0	0	0	1	0	0	1	asesor
advocacy	1	1	0	0	1	0	1	0	0	1	Abogacía
advocate	0	0	0	0	0	0	0	0	0	1	defensor
aegis	0	0	0	0	0	0	0	0	0	0	égida
aeration	0	0	0	0	0	0	0	0	0	0	aireación
aerial	0	0	0	0	0	0	0	0	0	0	aéreo
aerodrome	0	0	0	0	0	0	0	0	0	0	aeródromo
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinámica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronáutica
aeroplane	0	0	0	0	0	0	0	0	0	0	avión
aesthetic	0	0	0	0	0	0	1	0	0	0	estético
aesthetics	0	0	0	0	1	0	1	0	0	0	estética
aetiology	0	0	0	0	0	0	0	0	0	0	etiología
afar	0	0	0	0	0	0	0	0	0	0	lejos
affable	0	0	0	0	0	0	1	0	0	0	afable
affair	0	0	0	0	0	0	0	0	0	0	asunto
affecting	0	0	0	0	0	0	0	0	0	0	conmovedor
affection	0	0	0	0	1	0	1	0	0	1	cariño
affections	0	0	0	0	0	0	0	0	0	0	afectos
affiche	0	0	0	0	0	0	0	0	0	0	afiche
affidavit	0	0	0	0	0	0	0	0	0	0	declaración jurada
affiliated	0	0	0	0	0	0	1	0	0	0	asociado
affiliation	0	0	0	0	0	0	0	0	0	0	afiliación
affinity	0	0	0	0	0	0	0	0	0	0	afinidad
affirm	0	0	0	0	0	0	1	0	0	1	afirmar
affirmation	0	0	0	0	0	0	1	0	0	0	afirmación
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativo
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativamente
affix	0	0	0	0	0	0	0	0	0	0	afijo
afflict	0	0	0	1	0	1	0	1	0	0	afligir
afflicted	0	0	0	0	0	1	0	0	0	0	afligido
affliction	0	0	1	1	0	1	0	1	0	0	aflicción
affluence	0	0	0	0	1	0	1	0	0	0	afluencia
affluent	0	0	0	0	0	0	1	0	0	0	afluente
afford	0	0	0	0	0	0	1	0	0	0	solventar
affront	1	0	1	1	0	1	0	1	1	0	afrenta
afield	0	0	0	0	0	0	0	0	0	0	al campo
afore	0	0	0	0	0	0	0	0	0	0	a proa
aforementioned	0	0	0	0	0	0	0	0	0	0	citado
aforesaid	0	0	0	0	0	0	0	0	0	0	antedicho
afraid	0	0	0	1	0	1	0	0	0	0	atemorizado
afresh	0	0	0	0	0	0	0	0	0	0	de nuevo
aft	0	0	0	0	0	0	0	0	0	0	en popa
aftermath	1	0	1	1	0	1	0	1	0	0	secuelas
afternoon	0	0	0	0	0	0	0	0	0	0	tarde
aftertaste	0	0	0	0	0	1	0	0	0	0	regusto
afterthought	0	0	0	0	0	0	0	0	0	0	idea tardía
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ágata
age	0	0	0	0	0	0	0	0	0	0	años
aged	0	0	0	0	0	0	0	0	0	0	Envejecido
agency	0	0	0	0	0	0	0	0	0	0	agencia
agent	0	0	0	0	0	0	0	0	0	0	agente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeración
aggravated	1	0	0	0	0	1	0	0	0	0	agravado
aggravating	1	0	0	0	0	1	0	1	0	0	agravante
aggravation	1	0	1	0	0	1	0	0	0	0	agravación
aggregate	0	0	0	0	0	0	0	0	0	0	agregar
aggregation	0	0	0	0	0	0	0	0	0	0	agregación
aggression	1	0	0	1	0	1	0	0	0	0	agresión
aggressive	1	0	0	1	0	1	0	0	0	0	agresivo
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	espantado
agile	0	0	0	0	0	0	1	0	0	0	ágil
agility	0	0	0	0	0	0	1	0	0	0	agilidad
agitated	1	0	0	0	0	1	0	0	0	0	agitado
agitation	1	0	0	0	0	1	0	0	0	0	agitación
agnostic	0	0	0	0	0	0	0	0	0	0	agnóstico
ago	0	0	0	0	0	0	0	0	0	0	atrás
agonizing	0	0	0	1	0	1	0	0	0	0	agonizante
agony	1	0	0	1	0	1	0	1	0	0	agonía
agree	0	0	0	0	0	0	1	0	0	0	aceptar
agreeable	0	0	0	0	0	0	1	0	0	1	agradable
agreed	0	0	0	0	0	0	1	0	0	1	acordado
agreeing	0	0	0	0	0	0	1	0	0	1	estar de acuerdo
agreement	0	0	0	0	0	0	1	0	0	1	convenio
agricultural	0	0	0	0	0	0	0	0	0	0	agrícola
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	encallado
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	adelante
aid	0	0	0	0	0	0	1	0	0	0	ayuda
aiding	0	0	0	0	0	0	1	0	0	0	ayudando
ail	0	0	0	0	0	1	0	1	0	0	afligir
ailing	0	0	0	1	0	1	0	1	0	0	enfermo
ailment	0	0	0	0	0	0	0	0	0	0	enfermedad
aim	0	0	0	0	0	0	0	0	0	0	apuntar
aimless	0	0	0	0	0	1	0	0	0	0	sin objetivo
air	0	0	0	0	0	0	0	0	0	0	aire
airbag	0	0	0	0	0	0	0	0	0	0	bolsa de aire
airlift	0	0	0	0	0	0	0	0	0	0	puente aéreo
airline	0	0	0	0	0	0	0	0	0	0	aerolínea
airman	0	0	0	0	0	0	0	0	0	0	aviador
airplane	0	0	0	0	0	0	0	0	0	0	avión
airport	0	1	0	0	0	0	0	0	0	0	aeropuerto
airs	0	0	1	0	0	1	0	0	0	0	aires
airship	0	0	0	0	0	0	0	0	0	0	dirigible
aisle	0	0	0	0	0	0	0	0	0	0	pasillo
ait	0	0	0	0	0	0	0	0	0	0	espera
ajar	0	0	0	0	0	0	0	0	0	0	un frasco
akin	0	0	0	0	0	0	0	0	0	1	parecido
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	alarmante
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	álbum
alchemy	0	0	0	0	0	0	0	0	0	0	alquimia
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholismo
alcove	0	0	0	0	0	0	0	0	0	0	hueco
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	vigilancia
alerts	0	1	0	1	0	0	0	0	1	0	alertas
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	álgebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraico
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmo
alibi	0	0	0	0	0	0	0	0	0	0	coartada
alien	0	0	1	1	0	1	0	0	0	0	extraterrestre
alienate	1	0	1	0	0	1	0	0	0	0	enajenar
alienated	0	0	0	0	0	1	0	1	0	0	alienado
alienation	1	0	1	1	0	1	0	1	0	0	alienación
alight	0	0	0	0	0	0	0	0	0	0	posarse
aligned	0	0	0	0	0	0	0	0	0	0	alineado
alignment	0	0	0	0	0	0	0	0	0	0	alineación
alike	0	0	0	0	0	0	0	0	0	0	similar
alimentation	0	0	0	0	0	0	1	0	0	0	alimentación
alimony	0	0	0	0	0	1	0	0	0	0	pensión alimenticia
aliquot	0	0	0	0	0	0	0	0	0	0	alícuota
alive	0	1	0	0	1	0	1	0	0	1	viva
alkali	0	0	0	0	0	0	0	0	0	0	álcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloides
allay	0	0	0	0	0	0	1	0	0	0	aliviar
allegation	1	0	0	0	0	1	0	0	0	0	alegación
allege	0	0	0	0	0	1	0	0	0	0	alegar
alleged	0	0	0	0	0	0	0	0	0	0	presunto
allegiance	0	0	0	0	0	0	1	0	0	1	lealtad
allegorical	0	0	0	0	0	0	0	0	0	0	alegórico
allegory	0	0	0	0	0	0	0	0	0	0	alegoría
allegro	0	0	0	0	0	0	1	0	0	0	alegro
alleviate	0	0	0	0	0	0	1	0	0	0	aliviar
alleviation	0	0	0	0	0	0	1	0	0	0	alivio
alley	0	0	0	0	0	0	0	0	0	0	callejón
alliance	0	0	0	0	0	0	0	0	0	1	Alianza
allied	0	0	0	0	0	0	1	0	0	1	aliado
alligator	0	0	0	0	0	0	0	0	0	0	caimán
allocate	0	0	0	0	0	0	0	0	0	0	asignar
allocation	0	0	0	0	0	0	0	0	0	0	asignación
allot	0	0	0	0	0	0	0	0	0	0	asignar
allotment	0	0	0	0	0	0	0	0	0	0	asignación
allowable	0	0	0	0	0	0	1	0	0	0	admisible
allowance	0	0	0	0	0	0	0	0	0	0	tolerancia
allowed	0	0	0	0	0	0	0	0	0	0	permitió
alloy	0	0	0	0	0	0	0	0	0	0	aleación
allure	0	1	0	0	1	0	1	0	1	0	seducir
alluring	0	0	0	0	0	0	1	0	0	0	seductor
allusion	0	0	0	0	0	0	0	0	0	0	alusión
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	aliado
almanac	0	0	0	0	0	0	0	0	0	0	almanaque
almighty	0	0	0	0	0	0	1	0	0	0	todopoderoso
aloft	0	0	0	0	0	0	0	0	0	0	en alto
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	junto a
aloof	0	0	0	0	0	1	0	0	0	0	a distancia
aloud	0	0	0	0	0	0	0	0	0	0	en voz alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabético
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	alterar
alteration	0	0	0	0	0	0	0	0	0	0	modificación
altercation	1	0	0	0	0	1	0	0	0	0	altercado
altered	0	0	0	0	0	0	0	0	0	0	alterado
alternate	0	0	0	0	0	0	0	0	0	0	alterno
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	altitud
alto	0	0	0	0	0	0	0	0	0	0	Alto
altogether	0	0	0	0	0	0	0	0	0	0	en total
alumnus	0	0	0	0	0	0	0	0	0	0	antiguo alumno
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamación
amass	0	0	0	0	0	0	0	0	0	0	acumular
amateur	0	0	0	0	0	0	0	0	0	0	aficionado
amaze	0	0	0	0	0	0	0	0	1	0	asombro
amazement	0	0	0	0	0	0	0	0	0	0	asombro
amazingly	0	0	0	0	1	0	1	0	1	0	Asombrosamente
ambassador	0	0	0	0	0	0	1	0	0	1	embajador
amber	0	0	0	0	0	0	0	0	0	0	ámbar
ambient	0	0	0	0	0	0	0	0	0	0	ambiente
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigüedad
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguo
ambit	0	0	0	0	0	0	0	0	0	0	ámbito
ambition	0	1	0	0	1	0	1	0	0	1	ambición
ambitious	0	0	0	0	0	0	0	0	0	0	ambicioso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulancia
ambush	1	0	0	1	0	1	0	0	1	0	emboscada
ameliorate	0	0	0	0	0	0	1	0	0	0	mejorar
amen	0	0	0	0	1	0	1	0	0	1	amén
amenable	0	0	0	0	0	0	1	0	0	0	dócil
amend	0	0	0	0	0	0	1	0	0	0	enmendar
amendment	0	0	0	0	0	0	0	0	0	0	enmienda
amends	0	0	0	0	0	0	1	0	0	0	compensación
amenity	0	0	0	0	0	0	1	0	0	0	amenidad
amethyst	0	0	0	0	0	0	0	0	0	0	amatista
amiable	0	0	0	0	0	0	1	0	0	0	amable
amicable	0	0	0	0	1	0	1	0	0	0	amistoso
amid	0	0	0	0	0	0	0	0	0	0	entre
amidst	0	0	0	0	0	0	0	0	0	0	en medio de
ammonia	0	0	1	0	0	0	0	0	0	0	amoníaco
ammunition	0	0	0	0	0	0	0	0	0	0	munición
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistía
amorphous	0	0	0	0	0	0	0	0	0	0	amorfo
amortization	0	0	0	0	0	0	0	0	0	1	amortización
amount	0	0	0	0	0	0	0	0	0	0	Monto
amour	0	1	0	0	1	0	1	0	0	1	aventura amorosa
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetaminas
amphibian	0	0	0	0	0	0	0	0	0	0	anfibio
amphibious	0	0	0	0	0	0	0	0	0	0	anfibio
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteatro
amplification	0	0	0	0	0	0	0	0	0	0	amplificación
amplify	0	0	0	0	0	0	0	0	0	0	amplificar
amplitude	0	0	0	0	0	0	0	0	0	0	amplitud
amply	0	0	0	0	0	0	0	0	0	0	ampliamente
amputation	0	0	0	0	0	0	0	0	0	0	amputación
amulet	0	0	0	0	0	0	0	0	0	0	amuleto
amuse	0	0	0	0	1	0	1	0	0	0	entretener
amused	0	0	0	0	1	0	1	0	0	0	divertido
amusement	0	0	0	0	1	0	1	0	0	0	diversión
amusing	0	0	0	0	1	0	1	0	0	0	entretenido
ana	0	0	0	0	0	0	0	0	0	0	Ana
