English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tatar Word
absenteeism	0	0	0	0	0	1	0	0	0	0	юклык
absinthe	0	0	0	0	0	0	0	0	0	0	абсинт
absolute	0	0	0	0	0	0	1	0	0	0	абсолют
absolution	0	0	0	0	1	0	1	0	0	1	абсолюция
absorbed	0	0	0	0	0	0	1	0	0	0	сеңдерелгән
absorbent	0	0	0	0	0	0	0	0	0	0	сеңдергеч
absorbing	0	0	0	0	0	0	0	0	0	0	сеңдерүче
absorption	0	0	0	0	0	0	0	0	0	0	үзләштерү
abstain	0	0	0	0	0	0	0	0	0	0	тыелыгыз
abstention	0	0	0	0	0	0	0	0	0	0	тыелу
abstinence	0	0	0	0	0	0	0	0	0	0	тыелу
abstract	0	0	0	0	0	0	0	0	0	0	абстракт
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурд
abundance	0	1	1	0	1	1	1	0	0	1	муллык
abundant	0	0	0	0	1	0	1	0	0	0	мул
abuse	1	0	1	1	0	1	0	1	0	0	җәберләү
abutment	0	0	0	0	0	0	0	0	0	0	абутмент
aby	0	0	0	0	0	0	0	0	0	0	абыстай
abysmal	0	0	0	0	0	1	0	1	0	0	абыстай
abyss	0	0	0	1	0	1	0	1	0	0	упкын
academic	0	0	0	0	0	0	1	0	0	1	академик
academy	0	0	0	0	0	0	1	0	0	0	академия
accede	0	0	0	0	0	0	0	0	0	0	кушылу
accelerate	0	1	0	0	0	0	0	0	0	0	тизләтү
acceleration	0	0	0	0	0	0	0	0	0	0	тизләнеш
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	басым ясау
accept	0	0	0	0	0	0	0	0	0	0	кабул итү
acceptable	0	0	0	0	0	0	1	0	0	0	яраклы
acceptance	0	0	0	0	0	0	1	0	0	0	кабул итү
access	0	0	0	0	0	0	0	0	0	0	керү
accessible	0	0	0	0	0	0	1	0	0	0	мөмкин
accession	0	0	0	0	0	0	0	0	0	0	кушылу
accessory	0	0	0	0	0	0	0	0	0	0	аксессуар
accident	0	0	0	1	0	1	0	1	1	0	авария
accidental	0	0	0	1	0	1	0	0	1	0	очраклы
accidentally	0	0	0	0	0	0	0	0	1	0	очраклы рәвештә
accolade	0	1	0	0	1	0	1	0	1	1	мактау
accommodate	0	0	0	0	0	0	0	0	0	0	урнаштыру
accommodation	0	0	0	0	0	0	1	0	0	0	урнашу
accompaniment	0	1	0	0	1	0	1	0	0	1	озату
accompany	0	0	0	0	0	0	0	0	0	0	озату
accompanying	0	0	0	0	0	0	0	0	0	0	озатучы
accomplice	0	0	0	0	0	0	0	0	0	0	иярчен
accomplish	0	0	0	0	1	0	1	0	0	0	башкару
accomplished	0	0	0	0	1	0	1	0	0	0	башкарылды
accomplishment	0	0	0	0	0	0	1	0	0	0	казаныш
accord	0	0	0	0	0	0	1	0	0	1	килешү
accordance	0	0	0	0	0	0	0	0	0	0	нигезендә
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон
account	0	0	0	0	0	0	0	0	0	1	хисап
accountability	0	0	0	0	0	0	1	0	0	1	җаваплылык
accountable	0	0	0	0	0	0	1	0	0	1	җаваплы
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтер
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтерлык
accounts	0	0	0	0	0	0	0	0	0	1	счетлар
accredited	0	0	0	0	0	0	1	0	0	1	аккредитацияләнгән
accretion	0	0	0	0	0	0	0	0	0	0	аккредитация
accrue	0	0	0	0	0	0	0	0	0	0	җыю
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	тупла
accumulation	0	0	0	0	0	0	0	0	0	0	туплау
accuracy	0	0	0	0	0	0	0	0	0	0	төгәллек
accurate	0	0	0	0	0	0	1	0	0	1	төгәл
accursed	1	0	0	1	0	1	0	1	0	0	ләгънәт
accusation	1	0	1	0	0	1	0	0	0	0	гаепләү
accusative	0	0	0	0	0	1	0	0	0	0	гаепләү
accused	1	0	0	1	0	1	0	0	0	0	гаепләнүче
accuser	1	0	0	1	0	1	0	0	0	0	гаепләүче
accusing	1	0	0	1	0	1	0	0	0	0	гаепләү
accustomed	0	0	0	0	0	0	0	0	0	0	күнеккән
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	сирик
ache	0	0	0	0	0	1	0	1	0	0	авырту
achieve	0	0	0	0	1	0	1	0	0	1	ирешү
achievement	0	1	0	0	1	0	1	0	0	1	казаныш
aching	0	0	0	0	0	1	0	1	0	0	авырту
acid	0	0	0	0	0	1	0	0	0	0	кислотасы
acidity	0	0	0	0	0	0	0	0	0	0	кислотасы
acknowledge	0	0	0	0	0	0	0	0	0	0	танырга
acknowledged	0	0	0	0	0	0	0	0	0	0	таныды
acknowledgment	0	0	0	0	0	0	1	0	0	0	тану
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	акустик
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	таныш
acquaintance	0	0	0	0	0	0	0	0	0	0	танышу
acquainted	0	0	0	0	0	0	0	0	0	0	таныш
acquiescence	0	0	0	0	0	0	0	0	0	0	ризалык
acquire	0	0	0	0	0	0	1	0	0	0	алу
acquiring	0	1	0	0	0	0	1	0	0	0	алу
acquisition	0	0	0	0	0	0	0	0	0	0	алу
acquisitions	0	0	0	0	0	0	0	0	0	0	алу
acreage	0	0	0	0	0	0	0	0	0	0	гектар
acres	0	0	0	0	0	0	0	0	0	0	гектар
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	акт
acting	0	0	0	0	0	0	0	0	0	0	актер
action	0	0	0	0	0	0	1	0	0	0	эш
actionable	1	0	1	0	0	1	0	0	0	0	хәрәкәтчән
active	0	0	0	0	0	0	0	0	0	0	актив
activity	0	0	0	0	0	0	0	0	0	0	эшчәнлек
actor	0	0	0	0	0	0	0	0	0	0	актер
actual	0	0	0	0	0	0	1	0	0	0	актуаль
actuality	0	0	0	0	0	0	0	0	0	0	актуальлек
actuary	0	0	0	0	0	0	0	0	0	0	актуар
acuity	0	0	0	0	0	0	1	0	0	0	кискенлек
acumen	0	0	0	0	0	0	1	0	0	0	акумен
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	кискен
adage	0	0	0	0	0	0	0	0	0	0	гыйбарә
adamant	0	0	0	0	0	0	0	0	0	0	каты
adapt	0	0	0	0	0	0	1	0	0	0	җайлаштыру
adaptable	0	0	0	0	0	0	1	0	0	0	җайлаштырылган
add	0	0	0	0	0	0	0	0	0	0	өстәргә
added	0	0	0	0	0	0	0	0	0	0	өстәлде
addendum	0	0	0	0	0	0	0	0	0	0	өстәмә
adder	1	0	1	1	0	1	0	1	0	0	реклама
addiction	0	0	0	0	0	1	0	0	0	0	наркомания
addition	0	0	0	0	0	0	0	0	0	0	өстәмә
additional	0	0	0	0	0	0	0	0	0	0	өстәмә
additive	0	0	0	0	0	0	0	0	0	0	өстәмә
address	0	0	0	0	0	0	0	0	0	0	адрес
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	адреслары
adept	0	0	0	0	0	0	1	0	0	0	оста
adequacy	0	0	0	0	0	0	1	0	0	0	адекватлык
adequate	0	0	0	0	0	0	0	0	0	0	адекват
adhere	0	0	0	0	0	0	0	0	0	0	ябышу
adherence	0	0	0	0	0	0	0	0	0	0	ябышу
adherent	0	0	0	0	0	0	0	0	0	0	ябыштыручы
adhering	0	0	0	0	0	0	0	0	0	1	ябышу
adhesion	0	0	0	0	0	0	0	0	0	0	ябышу
adhesive	0	0	0	0	0	0	0	0	0	0	ябыштыргыч
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	янәшә
adjacent	0	0	0	0	0	0	0	0	0	0	янәшә
adjective	0	0	0	0	0	0	0	0	0	0	сыйфат
adjoining	0	0	0	0	0	0	0	0	0	0	янәшә
adjourn	0	0	0	0	0	0	0	0	0	0	кичектерү
adjournment	0	0	0	0	0	0	0	0	0	0	кичектерү
adjudicate	0	0	0	1	0	1	0	0	0	0	хөкем итү
adjudication	0	0	0	0	0	0	0	0	0	0	хөкем итү
adjunct	0	0	0	0	0	0	1	0	0	0	яраклаштыру
adjust	0	0	0	0	0	0	0	0	0	0	көйләү
adjustment	0	0	0	0	0	0	0	0	0	0	көйләү
adjuvant	0	0	0	0	0	0	0	0	0	0	яраклаштыручы
administer	0	0	0	0	0	0	0	0	0	0	администратор
administration	0	0	0	0	0	0	0	0	0	0	идарә итү
administrative	0	0	0	0	0	0	0	0	0	1	административ
admirable	0	0	0	0	1	0	1	0	0	1	сокланырлык
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралтия
admiration	0	0	0	0	1	0	1	0	0	1	соклану
admire	0	0	0	0	0	0	1	0	0	1	соклану
admirer	0	0	0	0	0	0	1	0	0	0	сокланучы
admissibility	0	0	0	0	0	0	0	0	0	0	кабул итү
admissible	0	0	0	0	0	0	1	0	0	1	кабул ителә
admission	0	0	0	0	0	0	0	0	0	0	кабул итү
admit	0	0	0	0	0	0	0	0	0	0	танырга
admittance	0	0	0	0	0	0	0	0	0	0	керү
admitted	0	0	0	0	0	0	0	0	0	0	кабул иттеләр
admitting	0	0	0	0	0	0	0	0	0	0	тану
admixture	0	0	0	0	0	0	0	0	0	0	кушылма
admonition	0	0	0	1	0	1	0	0	0	0	үгет
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	яшүсмерлек
adolescent	0	0	0	0	0	0	0	0	0	0	яшүсмер
adopt	0	0	0	0	0	0	0	0	0	0	кабул итү
adoption	0	0	0	0	0	0	0	0	0	0	асрау
adorable	0	0	0	0	1	0	1	0	0	0	матур
adoration	0	0	0	0	1	0	1	0	0	1	табыну
adore	0	1	0	0	1	0	1	0	0	1	табыну
adorn	0	0	0	0	0	0	0	0	0	0	бизәү
adornment	0	0	0	0	0	0	0	0	0	0	бизәк
adrift	0	1	0	1	0	1	0	1	0	0	адрифт
adult	0	0	0	0	0	0	0	0	0	0	олылар
adulterated	0	0	0	0	0	1	0	0	0	0	зина кылу
adultery	0	0	1	0	0	1	0	1	0	0	зина
advance	0	1	0	1	1	0	1	0	1	0	алга
advanced	0	0	0	0	0	0	1	0	0	0	алга киткән
advancement	0	0	0	0	0	0	1	0	0	0	алга китеш
advancing	0	0	0	0	0	0	0	0	0	0	алга
advantage	0	0	0	0	0	0	1	0	0	0	өстенлек
advantageous	0	0	0	0	0	0	1	0	0	0	өстенлекле
advent	0	1	0	0	1	0	1	0	0	1	килү
adventure	0	1	0	0	0	0	1	0	0	0	маҗаралар
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	авантюрист
adversary	1	0	0	0	0	1	0	0	0	0	дошман
adverse	1	0	1	1	0	1	0	1	0	0	тискәре
adversity	1	0	0	1	0	1	0	1	0	0	авырлыклар
advertise	0	0	0	0	0	0	0	0	0	0	реклама
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	киңәш
advisable	0	0	0	0	0	0	1	0	0	1	киңәш
advise	0	0	0	0	0	0	1	0	0	1	киңәш итегез
advised	0	0	0	0	0	0	0	0	0	1	киңәш бирде
advisement	0	0	0	0	0	0	0	0	0	0	консультация
adviser	0	0	0	0	0	0	1	0	0	1	киңәшчесе
advocacy	1	1	0	0	1	0	1	0	0	1	яклау
advocate	0	0	0	0	0	0	0	0	0	1	яклаучы
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	аэрация
aerial	0	0	0	0	0	0	0	0	0	0	һава
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аэронавтика
aeroplane	0	0	0	0	0	0	0	0	0	0	самолет
aesthetic	0	0	0	0	0	0	1	0	0	0	эстетик
aesthetics	0	0	0	0	1	0	1	0	0	0	эстетика
aetiology	0	0	0	0	0	0	0	0	0	0	этиология
afar	0	0	0	0	0	0	0	0	0	0	еракта
affable	0	0	0	0	0	0	1	0	0	0	ягымлы
affair	0	0	0	0	0	0	0	0	0	0	эш
affecting	0	0	0	0	0	0	0	0	0	0	йогынты ясау
affection	0	0	0	0	1	0	1	0	0	1	ярату
affections	0	0	0	0	0	0	0	0	0	0	мәхәббәт
affiche	0	0	0	0	0	0	0	0	0	0	аффика
affidavit	0	0	0	0	0	0	0	0	0	0	афдивит
affiliated	0	0	0	0	0	0	1	0	0	0	бәйләнгән
affiliation	0	0	0	0	0	0	0	0	0	0	бәйләнеш
affinity	0	0	0	0	0	0	0	0	0	0	якынлык
affirm	0	0	0	0	0	0	1	0	0	1	расла
affirmation	0	0	0	0	0	0	1	0	0	0	раслау
affirmative	0	0	0	0	0	0	1	0	0	0	раслаучы
affirmatively	0	0	0	0	0	0	1	0	0	1	.әр сүзнең
affix	0	0	0	0	0	0	0	0	0	0	аффикс
afflict	0	0	0	1	0	1	0	1	0	0	җәфа
afflicted	0	0	0	0	0	1	0	0	0	0	.әр сүзнең
affliction	0	0	1	1	0	1	0	1	0	0	газап
affluence	0	0	0	0	1	0	1	0	0	0	байлык
affluent	0	0	0	0	0	0	1	0	0	0	бай
afford	0	0	0	0	0	0	1	0	0	0	мөмкин
affront	1	0	1	1	0	1	0	1	1	0	афронт
afield	0	0	0	0	0	0	0	0	0	0	кыр
afore	0	0	0	0	0	0	0	0	0	0	алда
aforementioned	0	0	0	0	0	0	0	0	0	0	алда
aforesaid	0	0	0	0	0	0	0	0	0	0	югарыда
afraid	0	0	0	1	0	1	0	0	0	0	курка
afresh	0	0	0	0	0	0	0	0	0	0	яңадан
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	нәтиҗәләре
afternoon	0	0	0	0	0	0	0	0	0	0	төштән соң
aftertaste	0	0	0	0	0	1	0	0	0	0	соңыннан
afterthought	0	0	0	0	0	0	0	0	0	0	уйлану
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	яшь
aged	0	0	0	0	0	0	0	0	0	0	карт
agency	0	0	0	0	0	0	0	0	0	0	агентлыгы
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация
aggravated	1	0	0	0	0	1	0	0	0	0	авыртты
aggravating	1	0	0	0	0	1	0	1	0	0	авырттыра
aggravation	1	0	1	0	0	1	0	0	0	0	көчәйтү
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	агрегат
aggression	1	0	0	1	0	1	0	0	0	0	агрессия
aggressive	1	0	0	1	0	1	0	0	0	0	агрессив
aggressor	1	0	0	1	0	1	0	0	0	0	агрессор
aghast	0	0	1	1	0	1	0	0	1	0	агаст
agile	0	0	0	0	0	0	1	0	0	0	җитез
agility	0	0	0	0	0	0	1	0	0	0	җитезлек
agitated	1	0	0	0	0	1	0	0	0	0	борчыла
agitation	1	0	0	0	0	1	0	0	0	0	агитация
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	элек
agonizing	0	0	0	1	0	1	0	0	0	0	газаплы
agony	1	0	0	1	0	1	0	1	0	0	газап
agree	0	0	0	0	0	0	1	0	0	0	риза
agreeable	0	0	0	0	0	0	1	0	0	1	яраклы
agreed	0	0	0	0	0	0	1	0	0	1	ризалаштылар
agreeing	0	0	0	0	0	0	1	0	0	1	ризалашу
agreement	0	0	0	0	0	0	1	0	0	1	килешү
agricultural	0	0	0	0	0	0	0	0	0	0	авыл хуҗалыгы
agriculture	0	0	0	0	0	0	1	0	0	0	авыл хуҗалыгы
aground	0	0	0	0	0	1	0	0	0	0	җир
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	алда
aid	0	0	0	0	0	0	1	0	0	0	ярдәм
aiding	0	0	0	0	0	0	1	0	0	0	ярдәм
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	авыру
ailment	0	0	0	0	0	0	0	0	0	0	авыру
aim	0	0	0	0	0	0	0	0	0	0	максат
aimless	0	0	0	0	0	1	0	0	0	0	максатсыз
air	0	0	0	0	0	0	0	0	0	0	һава
airbag	0	0	0	0	0	0	0	0	0	0	куркынычсызлык капчыгы
airlift	0	0	0	0	0	0	0	0	0	0	авиатөзелеш
airline	0	0	0	0	0	0	0	0	0	0	авиакомпания
airman	0	0	0	0	0	0	0	0	0	0	очучы
airplane	0	0	0	0	0	0	0	0	0	0	самолет
airport	0	1	0	0	0	0	0	0	0	0	аэропорт
airs	0	0	1	0	0	1	0	0	0	0	эфир
airship	0	0	0	0	0	0	0	0	0	0	десант
aisle	0	0	0	0	0	0	0	0	0	0	придел
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	якын
alabaster	0	0	0	0	0	0	1	0	0	0	алабастер
alarm	0	0	0	1	0	1	0	0	1	0	сигнализация
alarming	0	0	0	1	0	1	0	0	1	0	куркыныч
alb	0	0	0	0	0	0	0	0	0	1	альб
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	спирт
alcoholism	1	0	1	1	0	1	0	1	0	0	алкоголизм
alcove	0	0	0	0	0	0	0	0	0	0	алков
alert	0	0	0	0	0	0	0	0	0	0	уяу
alertness	0	1	0	1	0	0	1	0	1	0	уяулык
alerts	0	1	0	1	0	0	0	0	1	0	хәбәрләр
alfalfa	0	0	0	0	0	0	0	0	0	0	бедән
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебраик
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	чит
alienate	1	0	1	0	0	1	0	0	0	0	читләштерү
alienated	0	0	0	0	0	1	0	1	0	0	читләшкән
alienation	1	0	1	1	0	1	0	1	0	0	читләшү
alight	0	0	0	0	0	0	0	0	0	0	.әр сүзнең
aligned	0	0	0	0	0	0	0	0	0	0	тигезләнгән
alignment	0	0	0	0	0	0	0	0	0	0	тигезләү
alike	0	0	0	0	0	0	0	0	0	0	охшаш
alimentation	0	0	0	0	0	0	1	0	0	0	алимент
alimony	0	0	0	0	0	1	0	0	0	0	алимент
aliquot	0	0	0	0	0	0	0	0	0	0	аликот
alive	0	1	0	0	1	0	1	0	0	1	тере
alkali	0	0	0	0	0	0	0	0	0	0	алкалы
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоидлар
allay	0	0	0	0	0	0	1	0	0	0	алла
allegation	1	0	0	0	0	1	0	0	0	0	гаепләү
allege	0	0	0	0	0	1	0	0	0	0	гаепләү
alleged	0	0	0	0	0	0	0	0	0	0	.әр сүзнең
allegiance	0	0	0	0	0	0	1	0	0	1	тугрылык
allegorical	0	0	0	0	0	0	0	0	0	0	аллегорик
allegory	0	0	0	0	0	0	0	0	0	0	аллегория
allegro	0	0	0	0	0	0	1	0	0	0	аллегро
alleviate	0	0	0	0	0	0	1	0	0	0	җиңеләйтү
alleviation	0	0	0	0	0	0	1	0	0	0	җиңеләйтү
alley	0	0	0	0	0	0	0	0	0	0	аллея
alliance	0	0	0	0	0	0	0	0	0	1	союз
allied	0	0	0	0	0	0	1	0	0	1	союздаш
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор
allocate	0	0	0	0	0	0	0	0	0	0	бүлеп бирү
allocation	0	0	0	0	0	0	0	0	0	0	бүлеп бирү
allot	0	0	0	0	0	0	0	0	0	0	бүлеп бирү
allotment	0	0	0	0	0	0	0	0	0	0	бүлеп бирү
allowable	0	0	0	0	0	0	1	0	0	0	рөхсәтле
allowance	0	0	0	0	0	0	0	0	0	0	пособие
allowed	0	0	0	0	0	0	0	0	0	0	рөхсәт ителгән
alloy	0	0	0	0	0	0	0	0	0	0	эретмәсе
allure	0	1	0	0	1	0	1	0	1	0	allәр сүзнең
alluring	0	0	0	0	0	0	1	0	0	0	кызыктыргыч
allusion	0	0	0	0	0	0	0	0	0	0	аллюзия
alluvial	0	0	0	0	0	0	0	0	0	0	аллювиаль
ally	0	0	0	0	0	0	1	0	0	1	союздаш
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	Чиксез кодрәтле
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	белән бергә
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	кычкырып
alphabet	0	0	0	0	0	0	0	0	0	0	алфавит
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавит тәртибендә
altar	0	0	0	0	0	0	0	0	0	0	корбан китерү урыны
alter	0	0	0	0	0	0	0	0	0	0	үзгәртү
alteration	0	0	0	0	0	0	0	0	0	0	үзгәртү
altercation	1	0	0	0	0	1	0	0	0	0	ызгыш
altered	0	0	0	0	0	0	0	0	0	0	үзгәртелде
alternate	0	0	0	0	0	0	0	0	0	0	альтернатив
alternative	0	0	0	0	0	0	0	0	0	0	альтернатива
altitude	0	0	0	0	0	0	0	0	0	0	биеклек
alto	0	0	0	0	0	0	0	0	0	0	альто
altogether	0	0	0	0	0	0	0	0	0	0	бөтенләй
alumnus	0	0	0	0	0	0	0	0	0	0	тәмамлаучы
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолар
amalgam	0	0	0	0	0	0	0	0	0	0	амалгам
amalgamation	0	0	0	0	0	0	0	0	0	0	кушылу
amass	0	0	0	0	0	0	0	0	0	0	туплау
amateur	0	0	0	0	0	0	0	0	0	0	һәвәскәр
amaze	0	0	0	0	0	0	0	0	1	0	гаҗәпләнү
amazement	0	0	0	0	0	0	0	0	0	0	гаҗәпләнү
amazingly	0	0	0	0	1	0	1	0	1	0	гаҗәп
ambassador	0	0	0	0	0	0	1	0	0	1	илче
amber	0	0	0	0	0	0	0	0	0	0	амбер
ambient	0	0	0	0	0	0	0	0	0	0	әйләнә-тирә
ambiguity	0	0	0	0	0	0	0	0	0	0	аңлаешсызлык
ambiguous	0	0	0	0	0	1	0	0	0	0	ике мәгънәле
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	амбиция
ambitious	0	0	0	0	0	0	0	0	0	0	амбицияле
ambulance	0	0	0	1	0	0	0	0	0	1	ашыгыч ярдәм
ambush	1	0	0	1	0	1	0	0	1	0	подъезд
ameliorate	0	0	0	0	0	0	1	0	0	0	мелиорация
amen	0	0	0	0	1	0	1	0	0	1	амин
amenable	0	0	0	0	0	0	1	0	0	0	уңайлы
amend	0	0	0	0	0	0	1	0	0	0	үзгәртү
amendment	0	0	0	0	0	0	0	0	0	0	төзәтмә
amends	0	0	0	0	0	0	1	0	0	0	төзәтә
amenity	0	0	0	0	0	0	1	0	0	0	уңайлык
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	рәхәт
amicable	0	0	0	0	1	0	1	0	0	0	дус
amid	0	0	0	0	0	0	0	0	0	0	арасында
amidst	0	0	0	0	0	0	0	0	0	0	арасында
ammonia	0	0	1	0	0	0	0	0	0	0	аммиак
ammunition	0	0	0	0	0	0	0	0	0	0	ок
amnesia	0	0	0	0	0	1	0	0	0	0	амнезия
amnesty	0	0	0	0	1	0	1	0	0	0	амнистия
amorphous	0	0	0	0	0	0	0	0	0	0	аморф
amortization	0	0	0	0	0	0	0	0	0	1	амортизация
amount	0	0	0	0	0	0	0	0	0	0	күләме
amour	0	1	0	0	1	0	1	0	0	1	амур
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетаминнар
amphibian	0	0	0	0	0	0	0	0	0	0	амфибия
amphibious	0	0	0	0	0	0	0	0	0	0	амфибия
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатр
