English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hausa Word
advancing	0	0	0	0	0	0	0	0	0	0	ci gaba
advantage	0	0	0	0	0	0	1	0	0	0	amfani
advantageous	0	0	0	0	0	0	1	0	0	0	m
advent	0	1	0	0	1	0	1	0	0	1	zuwan
adventure	0	1	0	0	0	0	1	0	0	0	kasada
adventurer	0	0	0	0	0	0	0	0	0	0	dan kasada
adventurous	0	0	0	0	0	0	1	0	0	0	m
adversary	1	0	0	0	0	1	0	0	0	0	abokin gaba
adverse	1	0	1	1	0	1	0	1	0	0	m
adversity	1	0	0	1	0	1	0	1	0	0	wahala
advertise	0	0	0	0	0	0	0	0	0	0	talla
advertisement	0	0	0	0	0	0	0	0	0	0	talla
advice	0	0	0	0	0	0	0	0	0	1	shawara
advisable	0	0	0	0	0	0	1	0	0	1	nasiha
advise	0	0	0	0	0	0	1	0	0	1	shawara
advised	0	0	0	0	0	0	0	0	0	1	nasiha
advisement	0	0	0	0	0	0	0	0	0	0	shawara
adviser	0	0	0	0	0	0	1	0	0	1	mai ba da shawara
advocacy	1	1	0	0	1	0	1	0	0	1	shawara
advocate	0	0	0	0	0	0	0	0	0	1	lauya
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	iska
aerial	0	0	0	0	0	0	0	0	0	0	na iska
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	jirgin sama
aesthetic	0	0	0	0	0	0	1	0	0	0	ado
aesthetics	0	0	0	0	1	0	1	0	0	0	kayan ado
aetiology	0	0	0	0	0	0	0	0	0	0	ilimin motsa jiki
afar	0	0	0	0	0	0	0	0	0	0	nesa
affable	0	0	0	0	0	0	1	0	0	0	m
affair	0	0	0	0	0	0	0	0	0	0	al'amari
affecting	0	0	0	0	0	0	0	0	0	0	tasiri
affection	0	0	0	0	1	0	1	0	0	1	soyayya
affections	0	0	0	0	0	0	0	0	0	0	soyayya
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	rantsuwa
affiliated	0	0	0	0	0	0	1	0	0	0	mai alaƙa
affiliation	0	0	0	0	0	0	0	0	0	0	alaƙa
affinity	0	0	0	0	0	0	0	0	0	0	kusanci
affirm	0	0	0	0	0	0	1	0	0	1	tabbatar
affirmation	0	0	0	0	0	0	1	0	0	0	tabbatarwa
affirmative	0	0	0	0	0	0	1	0	0	0	m
affirmatively	0	0	0	0	0	0	1	0	0	1	tabbas
affix	0	0	0	0	0	0	0	0	0	0	saka
afflict	0	0	0	1	0	1	0	1	0	0	wahala
afflicted	0	0	0	0	0	1	0	0	0	0	wahala
affliction	0	0	1	1	0	1	0	1	0	0	wahala
affluence	0	0	0	0	1	0	1	0	0	0	wadata
affluent	0	0	0	0	0	0	1	0	0	0	wadata
afford	0	0	0	0	0	0	1	0	0	0	iyawa
affront	1	0	1	1	0	1	0	1	1	0	cin zarafi
afield	0	0	0	0	0	0	0	0	0	0	waje
afore	0	0	0	0	0	0	0	0	0	0	a baya
aforementioned	0	0	0	0	0	0	0	0	0	0	da aka ambata
aforesaid	0	0	0	0	0	0	0	0	0	0	a baya
afraid	0	0	0	1	0	1	0	0	0	0	tsoro
afresh	0	0	0	0	0	0	0	0	0	0	sabo
aft	0	0	0	0	0	0	0	0	0	0	bayan
aftermath	1	0	1	1	0	1	0	1	0	0	bayan
afternoon	0	0	0	0	0	0	0	0	0	0	rana
aftertaste	0	0	0	0	0	1	0	0	0	0	bayan dandano
afterthought	0	0	0	0	0	0	0	0	0	0	bayan tunani
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	shekaru
aged	0	0	0	0	0	0	0	0	0	0	shekaru
agency	0	0	0	0	0	0	0	0	0	0	hukumar
agent	0	0	0	0	0	0	0	0	0	0	wakili
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	ya tsananta
aggravating	1	0	0	0	0	1	0	1	0	0	kara tsananta
aggravation	1	0	1	0	0	1	0	0	0	0	kara tsananta
aggregate	0	0	0	0	0	0	0	0	0	0	tara
aggregation	0	0	0	0	0	0	0	0	0	0	tarawa
aggression	1	0	0	1	0	1	0	0	0	0	zalunci
aggressive	1	0	0	1	0	1	0	0	0	0	m
aggressor	1	0	0	1	0	1	0	0	0	0	mai zalunci
aghast	0	0	1	1	0	1	0	0	1	0	firgita
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	karfin hali
agitated	1	0	0	0	0	1	0	0	0	0	tada hankali
agitation	1	0	0	0	0	1	0	0	0	0	tashin hankali
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	da suka wuce
agonizing	0	0	0	1	0	1	0	0	0	0	azaba
agony	1	0	0	1	0	1	0	1	0	0	azaba
agree	0	0	0	0	0	0	1	0	0	0	yarda
agreeable	0	0	0	0	0	0	1	0	0	1	m
agreed	0	0	0	0	0	0	1	0	0	1	amince
agreeing	0	0	0	0	0	0	1	0	0	1	yarda
agreement	0	0	0	0	0	0	1	0	0	1	yarjejeniya
agricultural	0	0	0	0	0	0	0	0	0	0	noma
agriculture	0	0	0	0	0	0	1	0	0	0	noma
aground	0	0	0	0	0	1	0	0	0	0	kasa
agua	0	0	0	0	0	0	0	0	0	0	aguwa
ahead	0	0	0	0	0	0	1	0	0	0	gaba
aid	0	0	0	0	0	0	1	0	0	0	taimako
aiding	0	0	0	0	0	0	1	0	0	0	taimako
ail	0	0	0	0	0	1	0	1	0	0	ai
ailing	0	0	0	1	0	1	0	1	0	0	rashin lafiya
ailment	0	0	0	0	0	0	0	0	0	0	rashin lafiya
aim	0	0	0	0	0	0	0	0	0	0	manufa
aimless	0	0	0	0	0	1	0	0	0	0	marar manufa
air	0	0	0	0	0	0	0	0	0	0	iska
airbag	0	0	0	0	0	0	0	0	0	0	jakar iska
airlift	0	0	0	0	0	0	0	0	0	0	tashin jirgi
airline	0	0	0	0	0	0	0	0	0	0	jirgin sama
airman	0	0	0	0	0	0	0	0	0	0	jirgin sama
airplane	0	0	0	0	0	0	0	0	0	0	jirgin sama
airport	0	1	0	0	0	0	0	0	0	0	filin jirgin sama
airs	0	0	1	0	0	1	0	0	0	0	iska
airship	0	0	0	0	0	0	0	0	0	0	jirgin sama
aisle	0	0	0	0	0	0	0	0	0	0	hanya
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	ƙararrawa
alarming	0	0	0	1	0	1	0	0	1	0	mai ban tsoro
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	kundin
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	barasa
alcoholism	1	0	1	1	0	1	0	1	0	0	shaye-shaye
alcove	0	0	0	0	0	0	0	0	0	0	alkwari
alert	0	0	0	0	0	0	0	0	0	0	faɗakarwa
alertness	0	1	0	1	0	0	1	0	1	0	faɗakarwa
alerts	0	1	0	1	0	0	0	0	1	0	faɗakarwa
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	baƙo
alienate	1	0	1	0	0	1	0	0	0	0	nisantar da kai
alienated	0	0	0	0	0	1	0	1	0	0	m
alienation	1	0	1	1	0	1	0	1	0	0	ware
alight	0	0	0	0	0	0	0	0	0	0	sauka
aligned	0	0	0	0	0	0	0	0	0	0	daidaitacce
alignment	0	0	0	0	0	0	0	0	0	0	daidaitawa
alike	0	0	0	0	0	0	0	0	0	0	daidai
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliyu
alive	0	1	0	0	1	0	1	0	0	1	mai rai
alkali	0	0	0	0	0	0	0	0	0	0	Alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	sallama
allegation	1	0	0	0	0	1	0	0	0	0	zargi
allege	0	0	0	0	0	1	0	0	0	0	zargin
alleged	0	0	0	0	0	0	0	0	0	0	zargin
allegiance	0	0	0	0	0	0	1	0	0	1	biyayya
allegorical	0	0	0	0	0	0	0	0	0	0	misali
allegory	0	0	0	0	0	0	0	0	0	0	misali
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ragewa
alleviation	0	0	0	0	0	0	1	0	0	0	ragewa
alley	0	0	0	0	0	0	0	0	0	0	layi
alliance	0	0	0	0	0	0	0	0	0	1	kawance
allied	0	0	0	0	0	0	1	0	0	1	kawance
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	kasaftawa
allocation	0	0	0	0	0	0	0	0	0	0	kasafi
allot	0	0	0	0	0	0	0	0	0	0	raba
allotment	0	0	0	0	0	0	0	0	0	0	rabo
allowable	0	0	0	0	0	0	1	0	0	0	halatta
allowance	0	0	0	0	0	0	0	0	0	0	alawus
allowed	0	0	0	0	0	0	0	0	0	0	yarda
alloy	0	0	0	0	0	0	0	0	0	0	gami
allure	0	1	0	0	1	0	1	0	1	0	lallashi
alluring	0	0	0	0	0	0	1	0	0	0	m
allusion	0	0	0	0	0	0	0	0	0	0	ambato
alluvial	0	0	0	0	0	0	0	0	0	0	m
ally	0	0	0	0	0	0	1	0	0	1	abokin tarayya
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	madaukaki
aloft	0	0	0	0	0	0	0	0	0	0	a sama
aloha	0	1	0	0	1	0	1	0	0	0	alhamdulillah
alongside	0	0	0	0	0	0	0	0	0	0	tare
aloof	0	0	0	0	0	1	0	0	0	0	a hankali
aloud	0	0	0	0	0	0	0	0	0	0	babbar murya
alphabet	0	0	0	0	0	0	0	0	0	0	haruffa
alphabetical	0	0	0	0	0	0	0	0	0	0	haruffa
altar	0	0	0	0	0	0	0	0	0	0	bagadi
alter	0	0	0	0	0	0	0	0	0	0	canza
alteration	0	0	0	0	0	0	0	0	0	0	canji
altercation	1	0	0	0	0	1	0	0	0	0	sabani
altered	0	0	0	0	0	0	0	0	0	0	canza
alternate	0	0	0	0	0	0	0	0	0	0	madadin
alternative	0	0	0	0	0	0	0	0	0	0	madadin
altitude	0	0	0	0	0	0	0	0	0	0	tsawo
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	gaba daya
alumnus	0	0	0	0	0	0	0	0	0	0	tsohon dalibi
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	al'umma
amalgamation	0	0	0	0	0	0	0	0	0	0	haduwa
amass	0	0	0	0	0	0	0	0	0	0	tara
amateur	0	0	0	0	0	0	0	0	0	0	mai son
amaze	0	0	0	0	0	0	0	0	1	0	mamaki
amazement	0	0	0	0	0	0	0	0	0	0	mamaki
amazingly	0	0	0	0	1	0	1	0	1	0	abin mamaki
ambassador	0	0	0	0	0	0	1	0	0	1	jakada
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	yanayi
ambiguity	0	0	0	0	0	0	0	0	0	0	rashin fahimta
ambiguous	0	0	0	0	0	1	0	0	0	0	m
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	buri
ambitious	0	0	0	0	0	0	0	0	0	0	m
ambulance	0	0	0	1	0	0	0	0	0	1	motar asibiti
ambush	1	0	0	1	0	1	0	0	1	0	kwanto
ameliorate	0	0	0	0	0	0	1	0	0	0	inganta
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	abin yarda
amend	0	0	0	0	0	0	1	0	0	0	gyara
amendment	0	0	0	0	0	0	0	0	0	0	gyara
amends	0	0	0	0	0	0	1	0	0	0	gyara
amenity	0	0	0	0	0	0	1	0	0	0	abin jin daɗi
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	abin yarda
amicable	0	0	0	0	1	0	1	0	0	0	m
amid	0	0	0	0	0	0	0	0	0	0	tsakani
amidst	0	0	0	0	0	0	0	0	0	0	tsakani
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniya
ammunition	0	0	0	0	0	0	0	0	0	0	harsashi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	afuwa
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	adadin
amour	0	1	0	0	1	0	1	0	0	1	almubazzaranci
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amphetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
amphibious	0	0	0	0	0	0	0	0	0	0	m
amphitheater	0	0	0	0	0	0	0	0	0	0	amphitheater
amplification	0	0	0	0	0	0	0	0	0	0	ƙarawa
amplify	0	0	0	0	0	0	0	0	0	0	fadada
amplitude	0	0	0	0	0	0	0	0	0	0	girma
amply	0	0	0	0	0	0	0	0	0	0	yalwatacce
amputation	0	0	0	0	0	0	0	0	0	0	yankewa
amulet	0	0	0	0	0	0	0	0	0	0	amulet
amuse	0	0	0	0	1	0	1	0	0	0	nishadi
amused	0	0	0	0	1	0	1	0	0	0	nishadi
amusement	0	0	0	0	1	0	1	0	0	0	nishadi
