English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kurdish-Kurmanji Word
accordion	0	0	0	0	0	0	0	0	0	0	akordîyon
account	0	0	0	0	0	0	0	0	0	1	konto
accountability	0	0	0	0	0	0	1	0	0	1	berpirsiyarî
accountable	0	0	0	0	0	0	1	0	0	1	berpirsîyarîn
accountant	0	0	0	0	0	0	0	0	0	1	hesabdar
accounting	0	0	0	0	0	0	0	0	0	0	hesabkirin
accounts	0	0	0	0	0	0	0	0	0	1	hesaban
accredited	0	0	0	0	0	0	1	0	0	1	pejirandî
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	hevgîhandin
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	hevcivandin
accumulation	0	0	0	0	0	0	0	0	0	0	serhevhatin
accuracy	0	0	0	0	0	0	0	0	0	0	tamî
accurate	0	0	0	0	0	0	1	0	0	1	tam
accursed	1	0	0	1	0	1	0	1	0	0	nifir kirin
accusation	1	0	1	0	0	1	0	0	0	0	gilî
accusative	0	0	0	0	0	1	0	0	0	0	berkar
accused	1	0	0	1	0	1	0	0	0	0	gilîdar
accuser	1	0	0	1	0	1	0	0	0	0	tawanbar
accusing	1	0	0	1	0	1	0	0	0	0	tawanbar kirin
accustomed	0	0	0	0	0	0	0	0	0	0	adetî
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	êş
achieve	0	0	0	0	1	0	1	0	0	1	gîhaştin
achievement	0	1	0	0	1	0	1	0	0	1	suxre
aching	0	0	0	0	0	1	0	1	0	0	êşandin
acid	0	0	0	0	0	1	0	0	0	0	tirş
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	nasîn
acknowledged	0	0	0	0	0	0	0	0	0	0	pejirand
acknowledgment	0	0	0	0	0	0	1	0	0	0	nasyarî
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	nasdayin
acquaintance	0	0	0	0	0	0	0	0	0	0	nasî
acquainted	0	0	0	0	0	0	0	0	0	0	nas kirin
acquiescence	0	0	0	0	0	0	0	0	0	0	razîbûn
acquire	0	0	0	0	0	0	1	0	0	0	kirrîn
acquiring	0	1	0	0	0	0	1	0	0	0	bidestxistin
acquisition	0	0	0	0	0	0	0	0	0	0	bidestxistinî
acquisitions	0	0	0	0	0	0	0	0	0	0	destketiyên
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	ewlekarî
acting	0	0	0	0	0	0	0	0	0	0	lîstikvanî
action	0	0	0	0	0	0	1	0	0	0	çalakî
actionable	1	0	1	0	0	1	0	0	0	0	çalakkirin
active	0	0	0	0	0	0	0	0	0	0	jîr
activity	0	0	0	0	0	0	0	0	0	0	çalakî
actor	0	0	0	0	0	0	0	0	0	0	şanoger
actual	0	0	0	0	0	0	1	0	0	0	rast
actuality	0	0	0	0	0	0	0	0	0	0	rastî
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	akpûnktûr
acutely	0	0	0	0	0	0	0	0	0	0	acutely
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	serhişk
adapt	0	0	0	0	0	0	1	0	0	0	lihevanîn
adaptable	0	0	0	0	0	0	1	0	0	0	lihevtê
add	0	0	0	0	0	0	0	0	0	0	lêzêdekirin
added	0	0	0	0	0	0	0	0	0	0	zêde kirin
addendum	0	0	0	0	0	0	0	0	0	0	pêvek
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	peywendî
addition	0	0	0	0	0	0	0	0	0	0	pitir
additional	0	0	0	0	0	0	0	0	0	0	biserre
additive	0	0	0	0	0	0	0	0	0	0	tiştênbiserre
address	0	0	0	0	0	0	0	0	0	0	navnîşan
addressee	0	0	0	0	0	0	0	0	0	0	muxatab
addresses	0	1	0	0	0	0	1	0	0	0	navnîşanan
adept	0	0	0	0	0	0	1	0	0	0	jêhatî
adequacy	0	0	0	0	0	0	1	0	0	0	têra xwe
adequate	0	0	0	0	0	0	0	0	0	0	gordil
adhere	0	0	0	0	0	0	0	0	0	0	pêbend bin
adherence	0	0	0	0	0	0	0	0	0	0	aderence
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	adhering
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	pêvzeliqî
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	cîrantî
adjacent	0	0	0	0	0	0	0	0	0	0	berde
adjective	0	0	0	0	0	0	0	0	0	0	navder
adjoining	0	0	0	0	0	0	0	0	0	0	cîran
adjourn	0	0	0	0	0	0	0	0	0	0	tarloqkirin
adjournment	0	0	0	0	0	0	0	0	0	0	taloqkirin
adjudicate	0	0	0	1	0	1	0	0	0	0	dadkirin
adjudication	0	0	0	0	0	0	0	0	0	0	darizandin
adjunct	0	0	0	0	0	0	1	0	0	0	pêvek
adjust	0	0	0	0	0	0	0	0	0	0	lihevanîn
adjustment	0	0	0	0	0	0	0	0	0	0	lêanî
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	birêvebirin
administration	0	0	0	0	0	0	0	0	0	0	birêvebirî
administrative	0	0	0	0	0	0	0	0	0	1	îdarî
admirable	0	0	0	0	1	0	1	0	0	1	qeşeng
admiral	0	0	0	0	0	0	1	0	0	1	amîral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	dilpêmayî
admire	0	0	0	0	0	0	1	0	0	1	lêşaşman
admirer	0	0	0	0	0	0	1	0	0	0	heyrankar
admissibility	0	0	0	0	0	0	0	0	0	0	pejirandin
admissible	0	0	0	0	0	0	1	0	0	1	dibe
admission	0	0	0	0	0	0	0	0	0	0	mûkir
admit	0	0	0	0	0	0	0	0	0	0	qebûlkirin
admittance	0	0	0	0	0	0	0	0	0	0	berdana
admitted	0	0	0	0	0	0	0	0	0	0	qebûl kirin
admitting	0	0	0	0	0	0	0	0	0	0	qebûl kirin
admixture	0	0	0	0	0	0	0	0	0	0	tevlîhev
admonition	0	0	0	1	0	1	0	0	0	0	şîret
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	xortî
adolescent	0	0	0	0	0	0	0	0	0	0	ciwanan
adopt	0	0	0	0	0	0	0	0	0	0	xwerezarokgirtin
adoption	0	0	0	0	0	0	0	0	0	0	zarokgirtinî
adorable	0	0	0	0	1	0	1	0	0	0	şahî
adoration	0	0	0	0	1	0	1	0	0	1	perizandin
adore	0	1	0	0	1	0	1	0	0	1	limêjkirin
adorn	0	0	0	0	0	0	0	0	0	0	xemilandin
adornment	0	0	0	0	0	0	0	0	0	0	xemilandin
adrift	0	1	0	1	0	1	0	1	0	0	tolazgerî
adult	0	0	0	0	0	0	0	0	0	0	gihîştî
adulterated	0	0	0	0	0	1	0	0	0	0	sexte kirin
adultery	0	0	1	0	0	1	0	1	0	0	marşikandinî
advance	0	1	0	1	1	0	1	0	1	0	pêşveçûn
advanced	0	0	0	0	0	0	1	0	0	0	pêşveçû
advancement	0	0	0	0	0	0	1	0	0	0	barkirin
advancing	0	0	0	0	0	0	0	0	0	0	pêşde diçin
advantage	0	0	0	0	0	0	1	0	0	0	berjewendî
advantageous	0	0	0	0	0	0	1	0	0	0	bi berjewendî
advent	0	1	0	0	1	0	1	0	0	1	hatina
adventure	0	1	0	0	0	0	1	0	0	0	serpêhatî
adventurer	0	0	0	0	0	0	0	0	0	0	maceraperest
adventurous	0	0	0	0	0	0	1	0	0	0	maceraperest
adversary	1	0	0	0	0	1	0	0	0	0	neyar
adverse	1	0	1	1	0	1	0	1	0	0	neyare
adversity	1	0	0	1	0	1	0	1	0	0	dijwarî
advertise	0	0	0	0	0	0	0	0	0	0	gilîkirin
advertisement	0	0	0	0	0	0	0	0	0	0	gilî
advice	0	0	0	0	0	0	0	0	0	1	şêwr
advisable	0	0	0	0	0	0	1	0	0	1	pêşnîyarbar
advise	0	0	0	0	0	0	1	0	0	1	şêwirîn
advised	0	0	0	0	0	0	0	0	0	1	şîret kirin
advisement	0	0	0	0	0	0	0	0	0	0	şîret
adviser	0	0	0	0	0	0	1	0	0	1	şêwirvan
advocacy	1	1	0	0	1	0	1	0	0	1	parêzvanî
advocate	0	0	0	0	0	0	0	0	0	1	pêşnîyarkirin
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	bi firrê
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodînamîka
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	balafir
aesthetic	0	0	0	0	0	0	1	0	0	0	estetîk
aesthetics	0	0	0	0	1	0	1	0	0	0	estetîk
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	dûr
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	karûbar
affecting	0	0	0	0	0	0	0	0	0	0	bandor dike
affection	0	0	0	0	1	0	1	0	0	1	hezkirin
affections	0	0	0	0	0	0	0	0	0	0	hezkirinên
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	beyana bi sond
affiliated	0	0	0	0	0	0	1	0	0	0	girêdayî
affiliation	0	0	0	0	0	0	0	0	0	0	affiliation
affinity	0	0	0	0	0	0	0	0	0	0	affinity
affirm	0	0	0	0	0	0	1	0	0	1	bawerdayin
affirmation	0	0	0	0	0	0	1	0	0	0	erêkirin
affirmative	0	0	0	0	0	0	1	0	0	0	pêgûmananîn
affirmatively	0	0	0	0	0	0	1	0	0	1	bi erêkirin
affix	0	0	0	0	0	0	0	0	0	0	pêvgirêdan
afflict	0	0	0	1	0	1	0	1	0	0	dilêşandin
afflicted	0	0	0	0	0	1	0	0	0	0	êşandin
affliction	0	0	1	1	0	1	0	1	0	0	dilêş
affluence	0	0	0	0	1	0	1	0	0	0	dewlemendî
affluent	0	0	0	0	0	0	1	0	0	0	dewlemed
afford	0	0	0	0	0	0	1	0	0	0	ji xwere kanîn
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	dûr
afore	0	0	0	0	0	0	0	0	0	0	berê
aforementioned	0	0	0	0	0	0	0	0	0	0	navborî
aforesaid	0	0	0	0	0	0	0	0	0	0	jor gotin
afraid	0	0	0	1	0	1	0	0	0	0	tirsane
afresh	0	0	0	0	0	0	0	0	0	0	ji nû ve
aft	0	0	0	0	0	0	0	0	0	0	paş
aftermath	1	0	1	1	0	1	0	1	0	0	paşê
afternoon	0	0	0	0	0	0	0	0	0	0	piştînîvroj
aftertaste	0	0	0	0	0	1	0	0	0	0	piştî tama
afterthought	0	0	0	0	0	0	0	0	0	0	piştî ramanê
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	kalbûn
aged	0	0	0	0	0	0	0	0	0	0	pîr bûye
agency	0	0	0	0	0	0	0	0	0	0	ajans
agent	0	0	0	0	0	0	0	0	0	0	casus
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	xera kirin
aggravating	1	0	0	0	0	1	0	1	0	0	acizker
aggravation	1	0	1	0	0	1	0	0	0	0	xirabbûyî
aggregate	0	0	0	0	0	0	0	0	0	0	aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	kombûn
aggression	1	0	0	1	0	1	0	0	0	0	êrişbazî
aggressive	1	0	0	1	0	1	0	0	0	0	êrşişbaz
aggressor	1	0	0	1	0	1	0	0	0	0	êrişkir
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	aciz kirin
agitation	1	0	0	0	0	1	0	0	0	0	ajîtasyon
agnostic	0	0	0	0	0	0	0	0	0	0	agnostîk
ago	0	0	0	0	0	0	0	0	0	0	pêşî
agonizing	0	0	0	1	0	1	0	0	0	0	êşkêş
agony	1	0	0	1	0	1	0	1	0	0	êş
agree	0	0	0	0	0	0	1	0	0	0	qebûlkirin
agreeable	0	0	0	0	0	0	1	0	0	1	xweş
agreed	0	0	0	0	0	0	1	0	0	1	lihevhati
agreeing	0	0	0	0	0	0	1	0	0	1	lihevhatin
agreement	0	0	0	0	0	0	1	0	0	1	lihevhatin
agricultural	0	0	0	0	0	0	0	0	0	0	cotarî
agriculture	0	0	0	0	0	0	1	0	0	0	cotyarî
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	pêşve
aid	0	0	0	0	0	0	1	0	0	0	alîkarî
aiding	0	0	0	0	0	0	1	0	0	0	alîkarî kirin
ail	0	0	0	0	0	1	0	1	0	0	nexweş
ailing	0	0	0	1	0	1	0	1	0	0	nexweş
ailment	0	0	0	0	0	0	0	0	0	0	êş
aim	0	0	0	0	0	0	0	0	0	0	armanc
aimless	0	0	0	0	0	1	0	0	0	0	bê armanc
air	0	0	0	0	0	0	0	0	0	0	hewa
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	şîrketa balafiran
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	balafir
airport	0	1	0	0	0	0	0	0	0	0	balafirgeh
airs	0	0	1	0	0	1	0	0	0	0	hewa dike
airship	0	0	0	0	0	0	0	0	0	0	hewayî
aisle	0	0	0	0	0	0	0	0	0	0	fitêsa
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	hawar
alarming	0	0	0	1	0	1	0	0	1	0	acizane
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albûm
alchemy	0	0	0	0	0	0	0	0	0	0	alkîmya
alcohol	0	0	0	0	0	0	0	0	0	0	alkol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkolgirî
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	hişyar
alertness	0	1	0	1	0	0	1	0	1	0	hişyarbûn
alerts	0	1	0	1	0	0	0	0	1	0	alerts
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	cebra
algebraic	0	0	0	0	0	0	0	0	0	0	cebrî
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	delîl
alien	0	0	1	1	0	1	0	0	0	0	alien
alienate	1	0	1	0	0	1	0	0	0	0	xerîbkirin
alienated	0	0	0	0	0	1	0	1	0	0	biyanî kirin
alienation	1	0	1	1	0	1	0	1	0	0	xerîbbûyî
alight	0	0	0	0	0	0	0	0	0	0	daketin
aligned	0	0	0	0	0	0	0	0	0	0	li hev kirin
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	nêzhev
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	debar
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	jînde
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allay
allegation	1	0	0	0	0	1	0	0	0	0	îddîa
allege	0	0	0	0	0	1	0	0	0	0	îdîakirin
alleged	0	0	0	0	0	0	0	0	0	0	îdia kirin
allegiance	0	0	0	0	0	0	1	0	0	1	dilsozî
allegorical	0	0	0	0	0	0	0	0	0	0	alegorîk
allegory	0	0	0	0	0	0	0	0	0	0	alegorî
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	sivik kirin
alleviation	0	0	0	0	0	0	1	0	0	0	sivikkirin
alley	0	0	0	0	0	0	0	0	0	0	kûçe
alliance	0	0	0	0	0	0	0	0	0	1	hevkarî
allied	0	0	0	0	0	0	1	0	0	1	hevkar
alligator	0	0	0	0	0	0	0	0	0	0	alîgator
allocate	0	0	0	0	0	0	0	0	0	0	pardan
allocation	0	0	0	0	0	0	0	0	0	0	pardayî
allot	0	0	0	0	0	0	0	0	0	0	belakirin
allotment	0	0	0	0	0	0	0	0	0	0	belakirinî
allowable	0	0	0	0	0	0	1	0	0	0	destûr
allowance	0	0	0	0	0	0	0	0	0	0	heq
allowed	0	0	0	0	0	0	0	0	0	0	destûr kirin
alloy	0	0	0	0	0	0	0	0	0	0	astarê madenî
allure	0	1	0	0	1	0	1	0	1	0	dilkişîn
alluring	0	0	0	0	0	0	1	0	0	0	balkêş
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	hevkar
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	kane
aloft	0	0	0	0	0	0	0	0	0	0	li jor
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	li kêleka
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	gor
alphabet	0	0	0	0	0	0	0	0	0	0	elfabe
alphabetical	0	0	0	0	0	0	0	0	0	0	elfabeyî
altar	0	0	0	0	0	0	0	0	0	0	mêrab
alter	0	0	0	0	0	0	0	0	0	0	gûherrandin
alteration	0	0	0	0	0	0	0	0	0	0	gûherte
altercation	1	0	0	0	0	1	0	0	0	0	pevçûn
altered	0	0	0	0	0	0	0	0	0	0	guhertin
alternate	0	0	0	0	0	0	0	0	0	0	dorbidor
alternative	0	0	0	0	0	0	0	0	0	0	şûndor
altitude	0	0	0	0	0	0	0	0	0	0	bilindayî
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	giştî
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamation
amass	0	0	0	0	0	0	0	0	0	0	komkirin
amateur	0	0	0	0	0	0	0	0	0	0	nekarbend
amaze	0	0	0	0	0	0	0	0	1	0	şaşman
amazement	0	0	0	0	0	0	0	0	0	0	şaşmayî
amazingly	0	0	0	0	1	0	1	0	1	0	ecêb
ambassador	0	0	0	0	0	0	1	0	0	1	sefîr
amber	0	0	0	0	0	0	0	0	0	0	aqût
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	nezelalî
ambiguous	0	0	0	0	0	1	0	0	0	0	nezelal
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	xîret
ambitious	0	0	0	0	0	0	0	0	0	0	xîretwar
ambulance	0	0	0	1	0	0	0	0	0	1	ereba nexweşan
ambush	1	0	0	1	0	1	0	0	1	0	paşî
ameliorate	0	0	0	0	0	0	1	0	0	0	başkirin
amen	0	0	0	0	1	0	1	0	0	1	amîn
amenable	0	0	0	0	0	0	1	0	0	0	amenable
amend	0	0	0	0	0	0	1	0	0	0	serrastkirin
amendment	0	0	0	0	0	0	0	0	0	0	gûhertinî
amends	0	0	0	0	0	0	1	0	0	0	diguherîne
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	ametîst
amiable	0	0	0	0	0	0	1	0	0	0	amiable
amicable	0	0	0	0	1	0	1	0	0	0	dostane
amid	0	0	0	0	0	0	0	0	0	0	di nav
amidst	0	0	0	0	0	0	0	0	0	0	di nava
ammonia	0	0	1	0	0	0	0	0	0	0	amonyak
ammunition	0	0	0	0	0	0	0	0	0	0	cebhane
amnesia	0	0	0	0	0	1	0	0	0	0	hişwendatî
amnesty	0	0	0	0	1	0	1	0	0	0	borîn
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortîzasyon
amount	0	0	0	0	0	0	0	0	0	0	biha
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamîn
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
