English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Persian Word
advancement	0	0	0	0	0	0	1	0	0	0	پیشرفت
advancing	0	0	0	0	0	0	0	0	0	0	پیشبرد
advantage	0	0	0	0	0	0	1	0	0	0	مزیت - فایده - سود - منفعت
advantageous	0	0	0	0	0	0	1	0	0	0	با صرفه
advent	0	1	0	0	1	0	1	0	0	1	ظهور
adventure	0	1	0	0	0	0	1	0	0	0	ماجرا
adventurer	0	0	0	0	0	0	0	0	0	0	ماجراجو
adventurous	0	0	0	0	0	0	1	0	0	0	پرماجرا
adversary	1	0	0	0	0	1	0	0	0	0	حریف
adverse	1	0	1	1	0	1	0	1	0	0	نامطلوب
adversity	1	0	0	1	0	1	0	1	0	0	ناملایمات
advertise	0	0	0	0	0	0	0	0	0	0	تبلیغات
advertisement	0	0	0	0	0	0	0	0	0	0	تبلیغات
advice	0	0	0	0	0	0	0	0	0	1	مشاوره
advisable	0	0	0	0	0	0	1	0	0	1	قابل توصیه
advise	0	0	0	0	0	0	1	0	0	1	توصیه
advised	0	0	0	0	0	0	0	0	0	1	توصیه کرد
advisement	0	0	0	0	0	0	0	0	0	0	نصیحت
adviser	0	0	0	0	0	0	1	0	0	1	مشاور
advocacy	1	1	0	0	1	0	1	0	0	1	دفاع
advocate	0	0	0	0	0	0	0	0	0	1	مدافع
aegis	0	0	0	0	0	0	0	0	0	0	eegis
aeration	0	0	0	0	0	0	0	0	0	0	هوادهی
aerial	0	0	0	0	0	0	0	0	0	0	هوایی
aerodrome	0	0	0	0	0	0	0	0	0	0	فرودگاه
aerodynamics	0	0	0	0	0	0	0	0	0	0	آیرودینامیک
aeronautics	0	0	0	0	0	0	0	0	0	0	هوانوردی
aeroplane	0	0	0	0	0	0	0	0	0	0	هواپیما
aesthetic	0	0	0	0	0	0	1	0	0	0	زیبایی شناختی
aesthetics	0	0	0	0	1	0	1	0	0	0	زیبایی شناسی
aetiology	0	0	0	0	0	0	0	0	0	0	اتیولوژی
afar	0	0	0	0	0	0	0	0	0	0	دور
affable	0	0	0	0	0	0	1	0	0	0	دوست داشتنی
affair	0	0	0	0	0	0	0	0	0	0	امر
affecting	0	0	0	0	0	0	0	0	0	0	موثر بر
affection	0	0	0	0	1	0	1	0	0	1	محبت
affections	0	0	0	0	0	0	0	0	0	0	محبت ها
affiche	0	0	0	0	0	0	0	0	0	0	دلبستگی
affidavit	0	0	0	0	0	0	0	0	0	0	سوگندنامه
affiliated	0	0	0	0	0	0	1	0	0	0	وابسته
affiliation	0	0	0	0	0	0	0	0	0	0	وابستگی
affinity	0	0	0	0	0	0	0	0	0	0	قرابت
affirm	0	0	0	0	0	0	1	0	0	1	تایید کردن
affirmation	0	0	0	0	0	0	1	0	0	0	تایید
affirmative	0	0	0	0	0	0	1	0	0	0	مثبت
affirmatively	0	0	0	0	0	0	1	0	0	1	مثبت
affix	0	0	0	0	0	0	0	0	0	0	چسباندن
afflict	0	0	0	1	0	1	0	1	0	0	مبتلا شدن
afflicted	0	0	0	0	0	1	0	0	0	0	مصیبت زده
affliction	0	0	1	1	0	1	0	1	0	0	مصیبت
affluence	0	0	0	0	1	0	1	0	0	0	ثروتمندی
affluent	0	0	0	0	0	0	1	0	0	0	فراوان
afford	0	0	0	0	0	0	1	0	0	0	استطاعت داشتن
affront	1	0	1	1	0	1	0	1	1	0	توهین
afield	0	0	0	0	0	0	0	0	0	0	دوردست
afore	0	0	0	0	0	0	0	0	0	0	پیش از این
aforementioned	0	0	0	0	0	0	0	0	0	0	فوق الذکر
aforesaid	0	0	0	0	0	0	0	0	0	0	پیش گفته شد
afraid	0	0	0	1	0	1	0	0	0	0	می ترسد
afresh	0	0	0	0	0	0	0	0	0	0	تازه
aft	0	0	0	0	0	0	0	0	0	0	پشت
aftermath	1	0	1	1	0	1	0	1	0	0	عواقب
afternoon	0	0	0	0	0	0	0	0	0	0	بعد از ظهر
aftertaste	0	0	0	0	0	1	0	0	0	0	مزه مزه
afterthought	0	0	0	0	0	0	0	0	0	0	بعد فکر
aga	0	0	0	1	0	0	1	0	0	1	آگا
agate	0	0	0	0	0	0	0	0	0	0	عقیق
age	0	0	0	0	0	0	0	0	0	0	سن
aged	0	0	0	0	0	0	0	0	0	0	سن
agency	0	0	0	0	0	0	0	0	0	0	آژانس
agent	0	0	0	0	0	0	0	0	0	0	عامل
agglomeration	0	0	0	0	0	0	0	0	0	0	تراکم
aggravated	1	0	0	0	0	1	0	0	0	0	تشدید شد
aggravating	1	0	0	0	0	1	0	1	0	0	تشدید کننده
aggravation	1	0	1	0	0	1	0	0	0	0	تشدید
aggregate	0	0	0	0	0	0	0	0	0	0	تجمیع
aggregation	0	0	0	0	0	0	0	0	0	0	تجمع
aggression	1	0	0	1	0	1	0	0	0	0	پرخاشگری
aggressive	1	0	0	1	0	1	0	0	0	0	خشونت آمیز
aggressor	1	0	0	1	0	1	0	0	0	0	متجاوز
aghast	0	0	1	1	0	1	0	0	1	0	مبهوت
agile	0	0	0	0	0	0	1	0	0	0	چابک
agility	0	0	0	0	0	0	1	0	0	0	چابکی
agitated	1	0	0	0	0	1	0	0	0	0	آشفته
agitation	1	0	0	0	0	1	0	0	0	0	تحریک
agnostic	0	0	0	0	0	0	0	0	0	0	اگنستیک
ago	0	0	0	0	0	0	0	0	0	0	پیش
agonizing	0	0	0	1	0	1	0	0	0	0	عذاب آور
agony	1	0	0	1	0	1	0	1	0	0	عذاب
agree	0	0	0	0	0	0	1	0	0	0	موافق
agreeable	0	0	0	0	0	0	1	0	0	1	قابل قبول
agreed	0	0	0	0	0	0	1	0	0	1	موافقت کرد
agreeing	0	0	0	0	0	0	1	0	0	1	موافق
agreement	0	0	0	0	0	0	1	0	0	1	توافق
agricultural	0	0	0	0	0	0	0	0	0	0	کشاورزی
agriculture	0	0	0	0	0	0	1	0	0	0	کشاورزی
aground	0	0	0	0	0	1	0	0	0	0	زمین
agua	0	0	0	0	0	0	0	0	0	0	آگوا
ahead	0	0	0	0	0	0	1	0	0	0	در پیش
aid	0	0	0	0	0	0	1	0	0	0	کمک
aiding	0	0	0	0	0	0	1	0	0	0	کمک کردن
ail	0	0	0	0	0	1	0	1	0	0	بیماری
ailing	0	0	0	1	0	1	0	1	0	0	بیمار
ailment	0	0	0	0	0	0	0	0	0	0	ناراحتی
aim	0	0	0	0	0	0	0	0	0	0	هدف
aimless	0	0	0	0	0	1	0	0	0	0	بی هدف
air	0	0	0	0	0	0	0	0	0	0	هوا
airbag	0	0	0	0	0	0	0	0	0	0	کیسه هوا
airlift	0	0	0	0	0	0	0	0	0	0	حمل و نقل هوایی
airline	0	0	0	0	0	0	0	0	0	0	شرکت هواپیمایی
airman	0	0	0	0	0	0	0	0	0	0	خلبان
airplane	0	0	0	0	0	0	0	0	0	0	هواپیما
airport	0	1	0	0	0	0	0	0	0	0	فرودگاه
airs	0	0	1	0	0	1	0	0	0	0	هوا می گیرد
airship	0	0	0	0	0	0	0	0	0	0	کشتی هوایی
aisle	0	0	0	0	0	0	0	0	0	0	راهرو
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	نیمه باز
akin	0	0	0	0	0	0	0	0	0	1	یکسان
alabaster	0	0	0	0	0	0	1	0	0	0	سنگ سنگی
alarm	0	0	0	1	0	1	0	0	1	0	زنگ خطر. هشدار
alarming	0	0	0	1	0	1	0	0	1	0	هشدار دهنده
alb	0	0	0	0	0	0	0	0	0	1	Alb
album	0	0	0	0	0	0	0	0	0	0	آلبوم
alchemy	0	0	0	0	0	0	0	0	0	0	کیمیاگری
alcohol	0	0	0	0	0	0	0	0	0	0	الکل
alcoholism	1	0	1	1	0	1	0	1	0	0	اعتیاد به الکل
alcove	0	0	0	0	0	0	0	0	0	0	طاقچه
alert	0	0	0	0	0	0	0	0	0	0	هشدار
alertness	0	1	0	1	0	0	1	0	1	0	هوشیاری
alerts	0	1	0	1	0	0	0	0	1	0	هشدارها
alfalfa	0	0	0	0	0	0	0	0	0	0	یونجه
algebra	0	0	0	0	0	0	0	0	0	0	جبر
algebraic	0	0	0	0	0	0	0	0	0	0	جبری
algorithm	0	0	0	0	0	0	0	0	0	0	الگوریتم
alibi	0	0	0	0	0	0	0	0	0	0	عذرخواهی
alien	0	0	1	1	0	1	0	0	0	0	بیگانه
alienate	1	0	1	0	0	1	0	0	0	0	بیگانه کردن
alienated	0	0	0	0	0	1	0	1	0	0	بیگانه شده
alienation	1	0	1	1	0	1	0	1	0	0	بیگانگی
alight	0	0	0	0	0	0	0	0	0	0	شعله ور
aligned	0	0	0	0	0	0	0	0	0	0	هم راستا
alignment	0	0	0	0	0	0	0	0	0	0	هم ترازی
alike	0	0	0	0	0	0	0	0	0	0	یکسان
alimentation	0	0	0	0	0	0	1	0	0	0	تغذیه
alimony	0	0	0	0	0	1	0	0	0	0	نفقه
aliquot	0	0	0	0	0	0	0	0	0	0	کسری
alive	0	1	0	0	1	0	1	0	0	1	زنده
alkali	0	0	0	0	0	0	0	0	0	0	قلیایی
alkaloids	0	0	0	0	0	0	0	0	0	0	آلکالوئیدها
allay	0	0	0	0	0	0	1	0	0	0	آرام کردن
allegation	1	0	0	0	0	1	0	0	0	0	ادعا
allege	0	0	0	0	0	1	0	0	0	0	ادعا کردن
alleged	0	0	0	0	0	0	0	0	0	0	ادعا شده است
allegiance	0	0	0	0	0	0	1	0	0	1	وفاداری
allegorical	0	0	0	0	0	0	0	0	0	0	تمثیلی
allegory	0	0	0	0	0	0	0	0	0	0	تمثیل
allegro	0	0	0	0	0	0	1	0	0	0	آلگرو
alleviate	0	0	0	0	0	0	1	0	0	0	تخفیف دادن
alleviation	0	0	0	0	0	0	1	0	0	0	تخفیف
alley	0	0	0	0	0	0	0	0	0	0	کوچه
alliance	0	0	0	0	0	0	0	0	0	1	اتحاد
allied	0	0	0	0	0	0	1	0	0	1	متحد
alligator	0	0	0	0	0	0	0	0	0	0	تمساح
allocate	0	0	0	0	0	0	0	0	0	0	اختصاص دهد
allocation	0	0	0	0	0	0	0	0	0	0	تخصیص
allot	0	0	0	0	0	0	0	0	0	0	اختصاص دادن
allotment	0	0	0	0	0	0	0	0	0	0	تخصیص
allowable	0	0	0	0	0	0	1	0	0	0	مجاز
allowance	0	0	0	0	0	0	0	0	0	0	کمک هزینه
allowed	0	0	0	0	0	0	0	0	0	0	مجاز
alloy	0	0	0	0	0	0	0	0	0	0	آلیاژ
allure	0	1	0	0	1	0	1	0	1	0	جذابیت
alluring	0	0	0	0	0	0	1	0	0	0	جذاب
allusion	0	0	0	0	0	0	0	0	0	0	کنایه
alluvial	0	0	0	0	0	0	0	0	0	0	آبرفتی
ally	0	0	0	0	0	0	1	0	0	1	متحد
almanac	0	0	0	0	0	0	0	0	0	0	سالنامه
almighty	0	0	0	0	0	0	1	0	0	0	خداوند متعال
aloft	0	0	0	0	0	0	0	0	0	0	بالا
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	در کنار
aloof	0	0	0	0	0	1	0	0	0	0	دور
aloud	0	0	0	0	0	0	0	0	0	0	با صدای بلند
alphabet	0	0	0	0	0	0	0	0	0	0	الفبا
alphabetical	0	0	0	0	0	0	0	0	0	0	حروف الفبا
altar	0	0	0	0	0	0	0	0	0	0	محراب
alter	0	0	0	0	0	0	0	0	0	0	تغییر دهید
alteration	0	0	0	0	0	0	0	0	0	0	تغییر
altercation	1	0	0	0	0	1	0	0	0	0	درگیری
altered	0	0	0	0	0	0	0	0	0	0	تغییر یافته است
alternate	0	0	0	0	0	0	0	0	0	0	متناوب
alternative	0	0	0	0	0	0	0	0	0	0	جایگزین
altitude	0	0	0	0	0	0	0	0	0	0	ارتفاع
alto	0	0	0	0	0	0	0	0	0	0	آلتو
altogether	0	0	0	0	0	0	0	0	0	0	در مجموع
alumnus	0	0	0	0	0	0	0	0	0	0	فارغ التحصیل
alveolar	0	0	0	0	0	0	0	0	0	0	آلوئولی
amalgam	0	0	0	0	0	0	0	0	0	0	آمالگام
amalgamation	0	0	0	0	0	0	0	0	0	0	ادغام
amass	0	0	0	0	0	0	0	0	0	0	جمع کردن
amateur	0	0	0	0	0	0	0	0	0	0	آماتور
amaze	0	0	0	0	0	0	0	0	1	0	شگفت زده کردن
amazement	0	0	0	0	0	0	0	0	0	0	شگفتی
amazingly	0	0	0	0	1	0	1	0	1	0	شگفت آور
ambassador	0	0	0	0	0	0	1	0	0	1	سفیر
amber	0	0	0	0	0	0	0	0	0	0	کهربا
ambient	0	0	0	0	0	0	0	0	0	0	محیط
ambiguity	0	0	0	0	0	0	0	0	0	0	گنگ
ambiguous	0	0	0	0	0	1	0	0	0	0	مبهم
ambit	0	0	0	0	0	0	0	0	0	0	دامنه
ambition	0	1	0	0	1	0	1	0	0	1	هدف - آرزو
ambitious	0	0	0	0	0	0	0	0	0	0	جاه طلب
ambulance	0	0	0	1	0	0	0	0	0	1	آمبولانس
ambush	1	0	0	1	0	1	0	0	1	0	کمین کردن
ameliorate	0	0	0	0	0	0	1	0	0	0	بهبود بخشد
amen	0	0	0	0	1	0	1	0	0	1	آمین
amenable	0	0	0	0	0	0	1	0	0	0	قابلیت
amend	0	0	0	0	0	0	1	0	0	0	اصلاح
amendment	0	0	0	0	0	0	0	0	0	0	اصلاحیه
amends	0	0	0	0	0	0	1	0	0	0	اصلاح می کند
amenity	0	0	0	0	0	0	1	0	0	0	تسهیلات، رفاه
amethyst	0	0	0	0	0	0	0	0	0	0	آمیتیست
amiable	0	0	0	0	0	0	1	0	0	0	دوست داشتنی
amicable	0	0	0	0	1	0	1	0	0	0	دوستانه
amid	0	0	0	0	0	0	0	0	0	0	در میان
