English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Filipino Word
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	kilalanin
acquaintance	0	0	0	0	0	0	0	0	0	0	kakilala
acquainted	0	0	0	0	0	0	0	0	0	0	magkakilala
acquiescence	0	0	0	0	0	0	0	0	0	0	pagsang-ayon
acquire	0	0	0	0	0	0	1	0	0	0	makuha
acquiring	0	1	0	0	0	0	1	0	0	0	pagkuha
acquisition	0	0	0	0	0	0	0	0	0	0	pagkuha
acquisitions	0	0	0	0	0	0	0	0	0	0	mga acquisition
acreage	0	0	0	0	0	0	0	0	0	0	ektarya
acres	0	0	0	0	0	0	0	0	0	0	ektarya
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	kumilos
acting	0	0	0	0	0	0	0	0	0	0	kumikilos
action	0	0	0	0	0	0	1	0	0	0	aksyon
actionable	1	0	1	0	0	1	0	0	0	0	naaaksyunan
active	0	0	0	0	0	0	0	0	0	0	aktibo
activity	0	0	0	0	0	0	0	0	0	0	aktibidad
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	aktuwal
actuality	0	0	0	0	0	0	0	0	0	0	aktuwalidad
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	katalinuhan
acumen	0	0	0	0	0	0	1	0	0	0	katalinuhan
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	talamak
adage	0	0	0	0	0	0	0	0	0	0	kasabihan
adamant	0	0	0	0	0	0	0	0	0	0	matatag
adapt	0	0	0	0	0	0	1	0	0	0	umangkop
adaptable	0	0	0	0	0	0	1	0	0	0	madaling ibagay
add	0	0	0	0	0	0	0	0	0	0	idagdag
added	0	0	0	0	0	0	0	0	0	0	idinagdag
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	pandagdag
addiction	0	0	0	0	0	1	0	0	0	0	pagkagumon
addition	0	0	0	0	0	0	0	0	0	0	karagdagan
additional	0	0	0	0	0	0	0	0	0	0	karagdagang
additive	0	0	0	0	0	0	0	0	0	0	pandagdag
address	0	0	0	0	0	0	0	0	0	0	address
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	mga address
adept	0	0	0	0	0	0	1	0	0	0	sanay
adequacy	0	0	0	0	0	0	1	0	0	0	kasapatan
adequate	0	0	0	0	0	0	0	0	0	0	sapat
adhere	0	0	0	0	0	0	0	0	0	0	sumunod
adherence	0	0	0	0	0	0	0	0	0	0	pagsunod
adherent	0	0	0	0	0	0	0	0	0	0	masunurin
adhering	0	0	0	0	0	0	0	0	0	1	pagsunod
adhesion	0	0	0	0	0	0	0	0	0	0	pagdirikit
adhesive	0	0	0	0	0	0	0	0	0	0	pandikit
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	katabi
adjacent	0	0	0	0	0	0	0	0	0	0	katabi
adjective	0	0	0	0	0	0	0	0	0	0	pang-uri
adjoining	0	0	0	0	0	0	0	0	0	0	kadugtong
adjourn	0	0	0	0	0	0	0	0	0	0	ipagpaliban
adjournment	0	0	0	0	0	0	0	0	0	0	pagpapaliban
adjudicate	0	0	0	1	0	1	0	0	0	0	humatol
adjudication	0	0	0	0	0	0	0	0	0	0	paghatol
adjunct	0	0	0	0	0	0	1	0	0	0	pandagdag
adjust	0	0	0	0	0	0	0	0	0	0	ayusin
adjustment	0	0	0	0	0	0	0	0	0	0	pagsasaayos
adjuvant	0	0	0	0	0	0	0	0	0	0	pantulong
administer	0	0	0	0	0	0	0	0	0	0	mangasiwa
administration	0	0	0	0	0	0	0	0	0	0	pangangasiwa
administrative	0	0	0	0	0	0	0	0	0	1	administratibo
admirable	0	0	0	0	1	0	1	0	0	1	kahanga-hanga
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	paghanga
admiration	0	0	0	0	1	0	1	0	0	1	paghanga
admire	0	0	0	0	0	0	1	0	0	1	humanga
admirer	0	0	0	0	0	0	1	0	0	0	tagahanga
admissibility	0	0	0	0	0	0	0	0	0	0	pagiging matanggap
admissible	0	0	0	0	0	0	1	0	0	1	matanggap
admission	0	0	0	0	0	0	0	0	0	0	pagpasok
admit	0	0	0	0	0	0	0	0	0	0	umamin
admittance	0	0	0	0	0	0	0	0	0	0	pagpasok
admitted	0	0	0	0	0	0	0	0	0	0	inamin
admitting	0	0	0	0	0	0	0	0	0	0	umaamin
admixture	0	0	0	0	0	0	0	0	0	0	pinaghalo
admonition	0	0	0	1	0	1	0	0	0	0	paalala
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	pagdadalaga
adolescent	0	0	0	0	0	0	0	0	0	0	nagbibinata
adopt	0	0	0	0	0	0	0	0	0	0	magpatibay
adoption	0	0	0	0	0	0	0	0	0	0	pag-aampon
adorable	0	0	0	0	1	0	1	0	0	0	kaibig-ibig
adoration	0	0	0	0	1	0	1	0	0	1	pagsamba
adore	0	1	0	0	1	0	1	0	0	1	sambahin
adorn	0	0	0	0	0	0	0	0	0	0	magpalamuti
adornment	0	0	0	0	0	0	0	0	0	0	palamuti
adrift	0	1	0	1	0	1	0	1	0	0	naaanod
adult	0	0	0	0	0	0	0	0	0	0	nasa hustong gulang
adulterated	0	0	0	0	0	1	0	0	0	0	hinaluan
adultery	0	0	1	0	0	1	0	1	0	0	pangangalunya
advance	0	1	0	1	1	0	1	0	1	0	advance
advanced	0	0	0	0	0	0	1	0	0	0	advanced
advancement	0	0	0	0	0	0	1	0	0	0	pagsulong
advancing	0	0	0	0	0	0	0	0	0	0	sumusulong
advantage	0	0	0	0	0	0	1	0	0	0	kalamangan
advantageous	0	0	0	0	0	0	1	0	0	0	may pakinabang
advent	0	1	0	0	1	0	1	0	0	1	pagdating
adventure	0	1	0	0	0	0	1	0	0	0	pakikipagsapalaran
adventurer	0	0	0	0	0	0	0	0	0	0	adventurer
adventurous	0	0	0	0	0	0	1	0	0	0	malakas ang loob
adversary	1	0	0	0	0	1	0	0	0	0	kalaban
adverse	1	0	1	1	0	1	0	1	0	0	salungat
adversity	1	0	0	1	0	1	0	1	0	0	kahirapan
advertise	0	0	0	0	0	0	0	0	0	0	mag-advertise
advertisement	0	0	0	0	0	0	0	0	0	0	patalastas
advice	0	0	0	0	0	0	0	0	0	1	payo
advisable	0	0	0	0	0	0	1	0	0	1	ipinapayong
advise	0	0	0	0	0	0	1	0	0	1	payuhan
advised	0	0	0	0	0	0	0	0	0	1	pinayuhan
advisement	0	0	0	0	0	0	0	0	0	0	payo
adviser	0	0	0	0	0	0	1	0	0	1	tagapayo
advocacy	1	1	0	0	1	0	1	0	0	1	adbokasiya
advocate	0	0	0	0	0	0	0	0	0	1	tagapagtaguyod
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	panghimpapawid
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	eroplano
aesthetic	0	0	0	0	0	0	1	0	0	0	Aesthetic
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	malayo
affable	0	0	0	0	0	0	1	0	0	0	magiliw
affair	0	0	0	0	0	0	0	0	0	0	kapakanan
affecting	0	0	0	0	0	0	0	0	0	0	nakakaapekto
affection	0	0	0	0	1	0	1	0	0	1	pagmamahal
affections	0	0	0	0	0	0	0	0	0	0	mga pagmamahal
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	kaakibat
affiliation	0	0	0	0	0	0	0	0	0	0	pagkakaugnay
affinity	0	0	0	0	0	0	0	0	0	0	pagkakaugnay
affirm	0	0	0	0	0	0	1	0	0	1	pagtibayin
affirmation	0	0	0	0	0	0	1	0	0	0	paninindigan
affirmative	0	0	0	0	0	0	1	0	0	0	sang-ayon
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmatively
affix	0	0	0	0	0	0	0	0	0	0	panlapi
afflict	0	0	0	1	0	1	0	1	0	0	pahirapan
afflicted	0	0	0	0	0	1	0	0	0	0	naghihirap
affliction	0	0	1	1	0	1	0	1	0	0	paghihirap
affluence	0	0	0	0	1	0	1	0	0	0	kasaganaan
affluent	0	0	0	0	0	0	1	0	0	0	mayaman
afford	0	0	0	0	0	0	1	0	0	0	kayang bayaran
affront	1	0	1	1	0	1	0	1	1	0	pagsuway
afield	0	0	0	0	0	0	0	0	0	0	nasa malayo
afore	0	0	0	0	0	0	0	0	0	0	nauna
aforementioned	0	0	0	0	0	0	0	0	0	0	nabanggit
aforesaid	0	0	0	0	0	0	0	0	0	0	nabanggit
afraid	0	0	0	1	0	1	0	0	0	0	takot
afresh	0	0	0	0	0	0	0	0	0	0	muli
aft	0	0	0	0	0	0	0	0	0	0	nasa likuran
aftermath	1	0	1	1	0	1	0	1	0	0	resulta
afternoon	0	0	0	0	0	0	0	0	0	0	hapon
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	pag-iisip
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	edad
aged	0	0	0	0	0	0	0	0	0	0	may edad na
agency	0	0	0	0	0	0	0	0	0	0	ahensya
agent	0	0	0	0	0	0	0	0	0	0	ahente
agglomeration	0	0	0	0	0	0	0	0	0	0	pagsasama-sama
aggravated	1	0	0	0	0	1	0	0	0	0	pinalala
aggravating	1	0	0	0	0	1	0	1	0	0	nagpapalubha
aggravation	1	0	1	0	0	1	0	0	0	0	paglala
aggregate	0	0	0	0	0	0	0	0	0	0	pinagsama-sama
aggregation	0	0	0	0	0	0	0	0	0	0	pagsasama-sama
aggression	1	0	0	1	0	1	0	0	0	0	pagsalakay
aggressive	1	0	0	1	0	1	0	0	0	0	agresibo
aggressor	1	0	0	1	0	1	0	0	0	0	aggressor
aghast	0	0	1	1	0	1	0	0	1	0	sindak
agile	0	0	0	0	0	0	1	0	0	0	maliksi
agility	0	0	0	0	0	0	1	0	0	0	liksi
agitated	1	0	0	0	0	1	0	0	0	0	nabalisa
agitation	1	0	0	0	0	1	0	0	0	0	pagkabalisa
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiko
ago	0	0	0	0	0	0	0	0	0	0	kanina
agonizing	0	0	0	1	0	1	0	0	0	0	naghihirap
agony	1	0	0	1	0	1	0	1	0	0	paghihirap
agree	0	0	0	0	0	0	1	0	0	0	sumang-ayon
agreeable	0	0	0	0	0	0	1	0	0	1	kasundo
agreed	0	0	0	0	0	0	1	0	0	1	sumang-ayon
agreeing	0	0	0	0	0	0	1	0	0	1	sumasang-ayon
agreement	0	0	0	0	0	0	1	0	0	1	kasunduan
agricultural	0	0	0	0	0	0	0	0	0	0	agrikultural
agriculture	0	0	0	0	0	0	1	0	0	0	agrikultura
aground	0	0	0	0	0	1	0	0	0	0	sumadsad
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	sa unahan
aid	0	0	0	0	0	0	1	0	0	0	tulong
aiding	0	0	0	0	0	0	1	0	0	0	pagtulong
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	may sakit
ailment	0	0	0	0	0	0	0	0	0	0	karamdaman
aim	0	0	0	0	0	0	0	0	0	0	pakay
aimless	0	0	0	0	0	1	0	0	0	0	walang layunin
air	0	0	0	0	0	0	0	0	0	0	hangin
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	airline
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	eroplano
airport	0	1	0	0	0	0	0	0	0	0	paliparan
airs	0	0	1	0	0	1	0	0	0	0	nagpapalabas
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	pasilyo
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	nakaawang
akin	0	0	0	0	0	0	0	0	0	1	katulad
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	nakakaalarma
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	alak
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismo
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	alerto
alertness	0	1	0	1	0	0	1	0	1	0	pagiging alerto
alerts	0	1	0	1	0	0	0	0	1	0	mga alerto
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	alien
alienate	1	0	1	0	0	1	0	0	0	0	ihiwalay
alienated	0	0	0	0	0	1	0	1	0	0	nakahiwalay
alienation	1	0	1	1	0	1	0	1	0	0	alienation
alight	0	0	0	0	0	0	0	0	0	0	bumaba
aligned	0	0	0	0	0	0	0	0	0	0	nakahanay
alignment	0	0	0	0	0	0	0	0	0	0	pagkakahanay
alike	0	0	0	0	0	0	0	0	0	0	magkatulad
alimentation	0	0	0	0	0	0	1	0	0	0	pagkain
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	buhay
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloid
allay	0	0	0	0	0	0	1	0	0	0	magpakalma
allegation	1	0	0	0	0	1	0	0	0	0	paratang
allege	0	0	0	0	0	1	0	0	0	0	paratang
alleged	0	0	0	0	0	0	0	0	0	0	diumano
allegiance	0	0	0	0	0	0	1	0	0	1	katapatan
allegorical	0	0	0	0	0	0	0	0	0	0	alegoriko
allegory	0	0	0	0	0	0	0	0	0	0	alegorya
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	magpapagaan
alleviation	0	0	0	0	0	0	1	0	0	0	pagpapagaan
alley	0	0	0	0	0	0	0	0	0	0	eskinita
alliance	0	0	0	0	0	0	0	0	0	1	alyansa
allied	0	0	0	0	0	0	1	0	0	1	kaalyado
alligator	0	0	0	0	0	0	0	0	0	0	buwaya
allocate	0	0	0	0	0	0	0	0	0	0	maglaan
allocation	0	0	0	0	0	0	0	0	0	0	alokasyon
allot	0	0	0	0	0	0	0	0	0	0	maglaan
allotment	0	0	0	0	0	0	0	0	0	0	paglalaan
allowable	0	0	0	0	0	0	1	0	0	0	pinapayagan
allowance	0	0	0	0	0	0	0	0	0	0	allowance
allowed	0	0	0	0	0	0	0	0	0	0	pinapayagan
alloy	0	0	0	0	0	0	0	0	0	0	haluang metal
allure	0	1	0	0	1	0	1	0	1	0	pang-akit
alluring	0	0	0	0	0	0	1	0	0	0	nakakaakit
allusion	0	0	0	0	0	0	0	0	0	0	parunggit
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	kakampi
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	makapangyarihan sa lahat
aloft	0	0	0	0	0	0	0	0	0	0	nasa taas
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	sa tabi
aloof	0	0	0	0	0	1	0	0	0	0	malayo
aloud	0	0	0	0	0	0	0	0	0	0	malakas
alphabet	0	0	0	0	0	0	0	0	0	0	alpabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	ayon sa alpabeto
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	baguhin
alteration	0	0	0	0	0	0	0	0	0	0	pagbabago
altercation	1	0	0	0	0	1	0	0	0	0	alitan
altered	0	0	0	0	0	0	0	0	0	0	binago
alternate	0	0	0	0	0	0	0	0	0	0	kahalili
alternative	0	0	0	0	0	0	0	0	0	0	alternatibo
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	sama-sama
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	pagsasama-sama
amass	0	0	0	0	0	0	0	0	0	0	tipunin
amateur	0	0	0	0	0	0	0	0	0	0	baguhan
amaze	0	0	0	0	0	0	0	0	1	0	humanga
amazement	0	0	0	0	0	0	0	0	0	0	pagkamangha
amazingly	0	0	0	0	1	0	1	0	1	0	kamangha-mangha
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	kalabuan
ambiguous	0	0	0	0	0	1	0	0	0	0	malabo
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambisyon
ambitious	0	0	0	0	0	0	0	0	0	0	ambisyoso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulansya
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	pagbutihin
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	pumapayag
amend	0	0	0	0	0	0	1	0	0	0	baguhin
amendment	0	0	0	0	0	0	0	0	0	0	susog
amends	0	0	0	0	0	0	1	0	0	0	nagbabago
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	amatista
amiable	0	0	0	0	0	0	1	0	0	0	mabait
amicable	0	0	0	0	1	0	1	0	0	0	matulungin
amid	0	0	0	0	0	0	0	0	0	0	sa gitna
amidst	0	0	0	0	0	0	0	0	0	0	sa gitna
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	bala
amnesia	0	0	0	0	0	1	0	0	0	0	nagka amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnestiya
amorphous	0	0	0	0	0	0	0	0	0	0	walang hugis
amortization	0	0	0	0	0	0	0	0	0	1	amortisasyon
amount	0	0	0	0	0	0	0	0	0	0	halaga
amour	0	1	0	0	1	0	1	0	0	1	pagmamahalan
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
