English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Pashto Word
abrogate	0	0	0	0	0	1	0	0	0	0	لغوه کول
abrupt	0	0	0	0	0	0	0	0	1	0	ناڅاپه
abruptly	0	0	0	0	0	0	0	0	0	0	ناڅاپه
abscess	0	0	0	0	0	1	0	1	0	0	غدود
absence	0	0	0	1	0	1	0	1	0	0	نشتوالی
absent	0	0	0	0	0	1	0	1	0	0	غیر حاضر
absentee	0	0	0	0	0	1	0	1	0	0	غیر حاضری
absenteeism	0	0	0	0	0	1	0	0	0	0	غیر حاضری
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	مطلق
absolution	0	0	0	0	1	0	1	0	0	1	خلاصون
absorbed	0	0	0	0	0	0	1	0	0	0	جذب شوی
absorbent	0	0	0	0	0	0	0	0	0	0	جذب کونکی
absorbing	0	0	0	0	0	0	0	0	0	0	جذب
absorption	0	0	0	0	0	0	0	0	0	0	جذب
abstain	0	0	0	0	0	0	0	0	0	0	ډډه کول
abstention	0	0	0	0	0	0	0	0	0	0	ډډه کول
abstinence	0	0	0	0	0	0	0	0	0	0	پرهیزګاري
abstract	0	0	0	0	0	0	0	0	0	0	خلاص
abstraction	0	0	0	0	0	0	0	0	0	0	خلاصون
absurd	0	0	0	0	0	1	0	0	0	0	بې بنسټه
absurdity	0	0	0	0	0	1	0	0	0	0	بې عقلي
abundance	0	1	1	0	1	1	1	0	0	1	کثرت
abundant	0	0	0	0	1	0	1	0	0	0	ډیر
abuse	1	0	1	1	0	1	0	1	0	0	ناوړه ګټه اخیستنه
abutment	0	0	0	0	0	0	0	0	0	0	تخریب
aby	0	0	0	0	0	0	0	0	0	0	ابی
abysmal	0	0	0	0	0	1	0	1	0	0	بې رحمه
abyss	0	0	0	1	0	1	0	1	0	0	خټک
academic	0	0	0	0	0	0	1	0	0	1	علمي
academy	0	0	0	0	0	0	1	0	0	0	اکاډمي
accede	0	0	0	0	0	0	0	0	0	0	منل
accelerate	0	1	0	0	0	0	0	0	0	0	ګړندی کول
acceleration	0	0	0	0	0	0	0	0	0	0	سرعت
accent	0	0	0	0	0	0	0	0	0	0	تلفظ
accentuate	0	0	0	0	0	0	0	0	0	0	ټینګار
accept	0	0	0	0	0	0	0	0	0	0	منل
acceptable	0	0	0	0	0	0	1	0	0	0	د منلو وړ
acceptance	0	0	0	0	0	0	1	0	0	0	منل
access	0	0	0	0	0	0	0	0	0	0	لاسرسی
accessible	0	0	0	0	0	0	1	0	0	0	د لاسرسي وړ
accession	0	0	0	0	0	0	0	0	0	0	الحاق
accessory	0	0	0	0	0	0	0	0	0	0	لوازم
accident	0	0	0	1	0	1	0	1	1	0	حادثه
accidental	0	0	0	1	0	1	0	0	1	0	ناڅاپي
accidentally	0	0	0	0	0	0	0	0	1	0	په ناڅاپي توګه
accolade	0	1	0	0	1	0	1	0	1	1	ستاینه
accommodate	0	0	0	0	0	0	0	0	0	0	ځای ورکول
accommodation	0	0	0	0	0	0	1	0	0	0	استوګنځی
accompaniment	0	1	0	0	1	0	1	0	0	1	ملګرتيا
accompany	0	0	0	0	0	0	0	0	0	0	سره
accompanying	0	0	0	0	0	0	0	0	0	0	سره
accomplice	0	0	0	0	0	0	0	0	0	0	ملګری
accomplish	0	0	0	0	1	0	1	0	0	0	سرته رسول
accomplished	0	0	0	0	1	0	1	0	0	0	بشپړ شوی
accomplishment	0	0	0	0	0	0	1	0	0	0	لاسته راوړنه
accord	0	0	0	0	0	0	1	0	0	1	موافقه
accordance	0	0	0	0	0	0	0	0	0	0	مطابق
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	حساب
accountability	0	0	0	0	0	0	1	0	0	1	حساب ورکول
accountable	0	0	0	0	0	0	1	0	0	1	حساب ورکوونکی
accountant	0	0	0	0	0	0	0	0	0	1	محاسب
accounting	0	0	0	0	0	0	0	0	0	0	محاسبه
accounts	0	0	0	0	0	0	0	0	0	1	حسابونه
accredited	0	0	0	0	0	0	1	0	0	1	تصدیق شوی
accretion	0	0	0	0	0	0	0	0	0	0	زیاتوالی
accrue	0	0	0	0	0	0	0	0	0	0	جمع کول
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	جمع کول
accumulation	0	0	0	0	0	0	0	0	0	0	جمع کول
accuracy	0	0	0	0	0	0	0	0	0	0	دقت
accurate	0	0	0	0	0	0	1	0	0	1	دقیق
accursed	1	0	0	1	0	1	0	1	0	0	ملعون
accusation	1	0	1	0	0	1	0	0	0	0	تور
accusative	0	0	0	0	0	1	0	0	0	0	تورن
accused	1	0	0	1	0	1	0	0	0	0	تورن
accuser	1	0	0	1	0	1	0	0	0	0	تورن
accusing	1	0	0	1	0	1	0	0	0	0	تورنول
accustomed	0	0	0	0	0	0	0	0	0	0	عادی
ace	0	0	0	0	0	0	1	0	0	0	اکا
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	درد
achieve	0	0	0	0	1	0	1	0	0	1	لاسته راوړل
achievement	0	1	0	0	1	0	1	0	0	1	لاسته راوړنه
aching	0	0	0	0	0	1	0	1	0	0	درد
acid	0	0	0	0	0	1	0	0	0	0	تیزاب
acidity	0	0	0	0	0	0	0	0	0	0	تیزابیت
acknowledge	0	0	0	0	0	0	0	0	0	0	اعتراف
acknowledged	0	0	0	0	0	0	0	0	0	0	ومنل شو
acknowledgment	0	0	0	0	0	0	1	0	0	0	اعتراف
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	اکوسټیک
acoustics	0	0	0	0	0	0	0	0	0	0	صوتي
acquaint	0	0	0	0	0	0	0	0	0	0	آشنا
acquaintance	0	0	0	0	0	0	0	0	0	0	آشنا
acquainted	0	0	0	0	0	0	0	0	0	0	آشنا
acquiescence	0	0	0	0	0	0	0	0	0	0	اعتراف
acquire	0	0	0	0	0	0	1	0	0	0	ترلاسه کول
acquiring	0	1	0	0	0	0	1	0	0	0	ترلاسه کول
acquisition	0	0	0	0	0	0	0	0	0	0	استملاک
acquisitions	0	0	0	0	0	0	0	0	0	0	استملاک
acreage	0	0	0	0	0	0	0	0	0	0	جریبه
acres	0	0	0	0	0	0	0	0	0	0	جریبه
acrobat	0	0	0	1	1	0	1	0	0	1	اکروبایټ
act	0	0	0	0	0	0	0	0	0	0	عمل
acting	0	0	0	0	0	0	0	0	0	0	عمل کول
action	0	0	0	0	0	0	1	0	0	0	عمل
actionable	1	0	1	0	0	1	0	0	0	0	د عمل وړ
active	0	0	0	0	0	0	0	0	0	0	فعال
activity	0	0	0	0	0	0	0	0	0	0	فعالیت
actor	0	0	0	0	0	0	0	0	0	0	لوبغاړی
actual	0	0	0	0	0	0	1	0	0	0	واقعي
actuality	0	0	0	0	0	0	0	0	0	0	حقیقت
actuary	0	0	0	0	0	0	0	0	0	0	عمل
acuity	0	0	0	0	0	0	1	0	0	0	ګړندیتوب
acumen	0	0	0	0	0	0	1	0	0	0	هوښیارتیا
acupuncture	0	0	0	0	0	0	0	0	0	0	اکوپنکچر
acutely	0	0	0	0	0	0	0	0	0	0	په شدت سره
adage	0	0	0	0	0	0	0	0	0	0	متل
adamant	0	0	0	0	0	0	0	0	0	0	ثابت
adapt	0	0	0	0	0	0	1	0	0	0	تطابق
adaptable	0	0	0	0	0	0	1	0	0	0	د تطبیق وړ
add	0	0	0	0	0	0	0	0	0	0	اضافه کول
added	0	0	0	0	0	0	0	0	0	0	زیاته کړه
addendum	0	0	0	0	0	0	0	0	0	0	ضمیمه
adder	1	0	1	1	0	1	0	1	0	0	اضافه کونکی
addiction	0	0	0	0	0	1	0	0	0	0	روږديتوب
addition	0	0	0	0	0	0	0	0	0	0	اضافه
additional	0	0	0	0	0	0	0	0	0	0	اضافي
additive	0	0	0	0	0	0	0	0	0	0	اضافه کوونکی
address	0	0	0	0	0	0	0	0	0	0	پته
addressee	0	0	0	0	0	0	0	0	0	0	ادرس
addresses	0	1	0	0	0	0	1	0	0	0	پته
adept	0	0	0	0	0	0	1	0	0	0	ماهر
adequacy	0	0	0	0	0	0	1	0	0	0	کفایت
adequate	0	0	0	0	0	0	0	0	0	0	کافي
adhere	0	0	0	0	0	0	0	0	0	0	پیروي
adherence	0	0	0	0	0	0	0	0	0	0	اطاعت
adherent	0	0	0	0	0	0	0	0	0	0	منونکی
adhering	0	0	0	0	0	0	0	0	0	1	تعقیب
adhesion	0	0	0	0	0	0	0	0	0	0	چپک
adhesive	0	0	0	0	0	0	0	0	0	0	چپکونکی
adieu	0	0	0	0	0	0	0	0	0	0	الوداع
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	نږدېوالی
adjacent	0	0	0	0	0	0	0	0	0	0	څنګ ته
adjective	0	0	0	0	0	0	0	0	0	0	صفت
adjoining	0	0	0	0	0	0	0	0	0	0	نږدې
adjourn	0	0	0	0	0	0	0	0	0	0	ځنډول
adjournment	0	0	0	0	0	0	0	0	0	0	ځنډول
adjudicate	0	0	0	1	0	1	0	0	0	0	قضاوت
adjudication	0	0	0	0	0	0	0	0	0	0	قضاوت
adjunct	0	0	0	0	0	0	1	0	0	0	ملحقه
adjust	0	0	0	0	0	0	0	0	0	0	سمون
adjustment	0	0	0	0	0	0	0	0	0	0	سمون
adjuvant	0	0	0	0	0	0	0	0	0	0	ملاتړ کوونکی
administer	0	0	0	0	0	0	0	0	0	0	اداره کول
administration	0	0	0	0	0	0	0	0	0	0	اداره
administrative	0	0	0	0	0	0	0	0	0	1	اداري
admirable	0	0	0	0	1	0	1	0	0	1	د ستاینې وړ
admiral	0	0	0	0	0	0	1	0	0	1	اډمیرل
admiralty	0	0	0	0	0	0	0	0	0	0	اډمیرلټي
admiration	0	0	0	0	1	0	1	0	0	1	ستاینه
admire	0	0	0	0	0	0	1	0	0	1	ستاینه
admirer	0	0	0	0	0	0	1	0	0	0	مینه وال
admissibility	0	0	0	0	0	0	0	0	0	0	د منلو وړ
admissible	0	0	0	0	0	0	1	0	0	1	د منلو وړ
admission	0	0	0	0	0	0	0	0	0	0	داخله
admit	0	0	0	0	0	0	0	0	0	0	اعتراف
admittance	0	0	0	0	0	0	0	0	0	0	اعتراف
admitted	0	0	0	0	0	0	0	0	0	0	اعتراف وکړ
admitting	0	0	0	0	0	0	0	0	0	0	اعتراف کول
admixture	0	0	0	0	0	0	0	0	0	0	مخلوط
admonition	0	0	0	1	0	1	0	0	0	0	نصیحت
ado	0	0	0	0	0	0	0	0	0	0	اډو
adobe	0	0	0	0	0	0	0	0	0	0	اډوب
adolescence	0	0	0	0	0	0	0	0	0	0	ځوانۍ
adolescent	0	0	0	0	0	0	0	0	0	0	ځوان
adopt	0	0	0	0	0	0	0	0	0	0	اخستل
adoption	0	0	0	0	0	0	0	0	0	0	اخستل
adorable	0	0	0	0	1	0	1	0	0	0	په زړه پورې
adoration	0	0	0	0	1	0	1	0	0	1	عبادت
adore	0	1	0	0	1	0	1	0	0	1	مینه کول
adorn	0	0	0	0	0	0	0	0	0	0	سينګار
adornment	0	0	0	0	0	0	0	0	0	0	زینت
adrift	0	1	0	1	0	1	0	1	0	0	تیریدل
adult	0	0	0	0	0	0	0	0	0	0	بالغ
adulterated	0	0	0	0	0	1	0	0	0	0	زنا شوی
adultery	0	0	1	0	0	1	0	1	0	0	زنا
advance	0	1	0	1	1	0	1	0	1	0	پرمختگ
advanced	0	0	0	0	0	0	1	0	0	0	پرمختللی
advancement	0	0	0	0	0	0	1	0	0	0	پرمختګ
advancing	0	0	0	0	0	0	0	0	0	0	پرمختګ
advantage	0	0	0	0	0	0	1	0	0	0	ګټه
advantageous	0	0	0	0	0	0	1	0	0	0	ګټور
advent	0	1	0	0	1	0	1	0	0	1	راتګ
adventure	0	1	0	0	0	0	1	0	0	0	ساہسک
adventurer	0	0	0	0	0	0	0	0	0	0	اتل
adventurous	0	0	0	0	0	0	1	0	0	0	زړور
adversary	1	0	0	0	0	1	0	0	0	0	مخالف
adverse	1	0	1	1	0	1	0	1	0	0	منفي
adversity	1	0	0	1	0	1	0	1	0	0	مصیبت
advertise	0	0	0	0	0	0	0	0	0	0	اعلان
advertisement	0	0	0	0	0	0	0	0	0	0	اعلان
advice	0	0	0	0	0	0	0	0	0	1	مشوره
advisable	0	0	0	0	0	0	1	0	0	1	د مشورې وړ
advise	0	0	0	0	0	0	1	0	0	1	مشوره
advised	0	0	0	0	0	0	0	0	0	1	مشوره ورکول
advisement	0	0	0	0	0	0	0	0	0	0	مشوره
adviser	0	0	0	0	0	0	1	0	0	1	مشاور
advocacy	1	1	0	0	1	0	1	0	0	1	وکالت
advocate	0	0	0	0	0	0	0	0	0	1	مدافع
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	هوا ورکول
aerial	0	0	0	0	0	0	0	0	0	0	هوايي
aerodrome	0	0	0	0	0	0	0	0	0	0	هوايي ډرامه
aerodynamics	0	0	0	0	0	0	0	0	0	0	ایروډینامیک
aeronautics	0	0	0	0	0	0	0	0	0	0	هوايي چلند
aeroplane	0	0	0	0	0	0	0	0	0	0	الوتکه
aesthetic	0	0	0	0	0	0	1	0	0	0	جمالیاتی
aesthetics	0	0	0	0	1	0	1	0	0	0	جمالیات
aetiology	0	0	0	0	0	0	0	0	0	0	ایټیولوژي
afar	0	0	0	0	0	0	0	0	0	0	لرې
affable	0	0	0	0	0	0	1	0	0	0	وړ
affair	0	0	0	0	0	0	0	0	0	0	معامله
affecting	0	0	0	0	0	0	0	0	0	0	اغیزه کوي
affection	0	0	0	0	1	0	1	0	0	1	مینه
affections	0	0	0	0	0	0	0	0	0	0	مینه
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	اثبات
affiliated	0	0	0	0	0	0	1	0	0	0	وابسته
affiliation	0	0	0	0	0	0	0	0	0	0	تړاو
affinity	0	0	0	0	0	0	0	0	0	0	تړاو
affirm	0	0	0	0	0	0	1	0	0	1	تایید
affirmation	0	0	0	0	0	0	1	0	0	0	تایید
affirmative	0	0	0	0	0	0	1	0	0	0	مثبت
affirmatively	0	0	0	0	0	0	1	0	0	1	په مثبت ډول
affix	0	0	0	0	0	0	0	0	0	0	نښلول
afflict	0	0	0	1	0	1	0	1	0	0	مصیبت
afflicted	0	0	0	0	0	1	0	0	0	0	اخته
affliction	0	0	1	1	0	1	0	1	0	0	رنځ
affluence	0	0	0	0	1	0	1	0	0	0	بډایه
affluent	0	0	0	0	0	0	1	0	0	0	بډایه
afford	0	0	0	0	0	0	1	0	0	0	توان لري
affront	1	0	1	1	0	1	0	1	1	0	سپکاوی
afield	0	0	0	0	0	0	0	0	0	0	لرې
afore	0	0	0	0	0	0	0	0	0	0	مخکې
aforementioned	0	0	0	0	0	0	0	0	0	0	پورته ذکر شوی
aforesaid	0	0	0	0	0	0	0	0	0	0	پورته
afraid	0	0	0	1	0	1	0	0	0	0	ډار
afresh	0	0	0	0	0	0	0	0	0	0	تازه
aft	0	0	0	0	0	0	0	0	0	0	شاته
aftermath	1	0	1	1	0	1	0	1	0	0	وروسته
afternoon	0	0	0	0	0	0	0	0	0	0	ماسپښین
aftertaste	0	0	0	0	0	1	0	0	0	0	وروسته خوند
afterthought	0	0	0	0	0	0	0	0	0	0	وروسته فکر
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	عقیق
age	0	0	0	0	0	0	0	0	0	0	عمر
aged	0	0	0	0	0	0	0	0	0	0	زوړ
agency	0	0	0	0	0	0	0	0	0	0	اداره
agent	0	0	0	0	0	0	0	0	0	0	اجنټ
agglomeration	0	0	0	0	0	0	0	0	0	0	جمع
aggravated	1	0	0	0	0	1	0	0	0	0	زیات شوی
aggravating	1	0	0	0	0	1	0	1	0	0	ځورونکي
aggravation	1	0	1	0	0	1	0	0	0	0	اضطراب
aggregate	0	0	0	0	0	0	0	0	0	0	مجموعي
aggregation	0	0	0	0	0	0	0	0	0	0	مجموعه
aggression	1	0	0	1	0	1	0	0	0	0	یرغل
aggressive	1	0	0	1	0	1	0	0	0	0	تیریدونکی
aggressor	1	0	0	1	0	1	0	0	0	0	یرغلګر
aghast	0	0	1	1	0	1	0	0	1	0	حیران
agile	0	0	0	0	0	0	1	0	0	0	چټک
agility	0	0	0	0	0	0	1	0	0	0	چټکتیا
agitated	1	0	0	0	0	1	0	0	0	0	قهرجن
agitation	1	0	0	0	0	1	0	0	0	0	خوځښت
agnostic	0	0	0	0	0	0	0	0	0	0	اګنوسټیک
ago	0	0	0	0	0	0	0	0	0	0	مخکې
agonizing	0	0	0	1	0	1	0	0	0	0	دردناک
agony	1	0	0	1	0	1	0	1	0	0	درد
agree	0	0	0	0	0	0	1	0	0	0	موافق
agreeable	0	0	0	0	0	0	1	0	0	1	د منلو وړ
agreed	0	0	0	0	0	0	1	0	0	1	موافقه وکړه
agreeing	0	0	0	0	0	0	1	0	0	1	موافقه
agreement	0	0	0	0	0	0	1	0	0	1	تړون
agricultural	0	0	0	0	0	0	0	0	0	0	زراعتي
agriculture	0	0	0	0	0	0	1	0	0	0	کرنه
aground	0	0	0	0	0	1	0	0	0	0	په ځمکه
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	مخکې
aid	0	0	0	0	0	0	1	0	0	0	مرسته
aiding	0	0	0	0	0	0	1	0	0	0	مرسته کول
ail	0	0	0	0	0	1	0	1	0	0	ناروغ
ailing	0	0	0	1	0	1	0	1	0	0	ناروغ
ailment	0	0	0	0	0	0	0	0	0	0	ناروغي
aim	0	0	0	0	0	0	0	0	0	0	هدف
aimless	0	0	0	0	0	1	0	0	0	0	بې هدفه
air	0	0	0	0	0	0	0	0	0	0	هوا
airbag	0	0	0	0	0	0	0	0	0	0	هوايي کڅوړه
airlift	0	0	0	0	0	0	0	0	0	0	هوايي پورته کول
airline	0	0	0	0	0	0	0	0	0	0	هوايي کرښه
airman	0	0	0	0	0	0	0	0	0	0	هوايي ډګروال
airplane	0	0	0	0	0	0	0	0	0	0	الوتکه
airport	0	1	0	0	0	0	0	0	0	0	هوايي ډګر
airs	0	0	1	0	0	1	0	0	0	0	هوا
airship	0	0	0	0	0	0	0	0	0	0	هوايي بېړۍ
aisle	0	0	0	0	0	0	0	0	0	0	لياره
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ازار
akin	0	0	0	0	0	0	0	0	0	1	یو شان
alabaster	0	0	0	0	0	0	1	0	0	0	الابستر
alarm	0	0	0	1	0	1	0	0	1	0	الارم
alarming	0	0	0	1	0	1	0	0	1	0	خطرناک
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	البوم
alchemy	0	0	0	0	0	0	0	0	0	0	کیمیا
alcohol	0	0	0	0	0	0	0	0	0	0	الکول
alcoholism	1	0	1	1	0	1	0	1	0	0	الکوليزم
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	خبرتیا
alertness	0	1	0	1	0	0	1	0	1	0	خبرتیا
alerts	0	1	0	1	0	0	0	0	1	0	خبرتیاوې
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	الجبرا
algebraic	0	0	0	0	0	0	0	0	0	0	الجبریک
algorithm	0	0	0	0	0	0	0	0	0	0	الګوریتم
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	اجنبی
alienate	1	0	1	0	0	1	0	0	0	0	بې ځایه کول
alienated	0	0	0	0	0	1	0	1	0	0	بې ځایه
alienation	1	0	1	1	0	1	0	1	0	0	بیځایه کیدل
alight	0	0	0	0	0	0	0	0	0	0	ښکته
aligned	0	0	0	0	0	0	0	0	0	0	ترتیب شوی
alignment	0	0	0	0	0	0	0	0	0	0	سمون
alike	0	0	0	0	0	0	0	0	0	0	یو شان
alimentation	0	0	0	0	0	0	1	0	0	0	تغذیه
alimony	0	0	0	0	0	1	0	0	0	0	تاوان
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ژوندی
alkali	0	0	0	0	0	0	0	0	0	0	الکلي
alkaloids	0	0	0	0	0	0	0	0	0	0	الکلایډونه
allay	0	0	0	0	0	0	1	0	0	0	لرې کول
allegation	1	0	0	0	0	1	0	0	0	0	تور
allege	0	0	0	0	0	1	0	0	0	0	ادعا
alleged	0	0	0	0	0	0	0	0	0	0	تور
allegiance	0	0	0	0	0	0	1	0	0	1	وفاداري
allegorical	0	0	0	0	0	0	0	0	0	0	تمثيل
allegory	0	0	0	0	0	0	0	0	0	0	تمثیل
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	کمول
alleviation	0	0	0	0	0	0	1	0	0	0	تخفیف
alley	0	0	0	0	0	0	0	0	0	0	کوڅه
alliance	0	0	0	0	0	0	0	0	0	1	اتحاد
allied	0	0	0	0	0	0	1	0	0	1	متحد
alligator	0	0	0	0	0	0	0	0	0	0	الیګیټر
allocate	0	0	0	0	0	0	0	0	0	0	تخصیص
allocation	0	0	0	0	0	0	0	0	0	0	تخصیص
allot	0	0	0	0	0	0	0	0	0	0	تخصیص
allotment	0	0	0	0	0	0	0	0	0	0	تخصیص
allowable	0	0	0	0	0	0	1	0	0	0	د منلو وړ
allowance	0	0	0	0	0	0	0	0	0	0	تخصیص
allowed	0	0	0	0	0	0	0	0	0	0	اجازه
alloy	0	0	0	0	0	0	0	0	0	0	مصر
allure	0	1	0	0	1	0	1	0	1	0	جذب
alluring	0	0	0	0	0	0	1	0	0	0	زړه راښکونکی
allusion	0	0	0	0	0	0	0	0	0	0	اشاره
alluvial	0	0	0	0	0	0	0	0	0	0	جغل
ally	0	0	0	0	0	0	1	0	0	1	ملګری
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	قادر مطلق
aloft	0	0	0	0	0	0	0	0	0	0	لوړ
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	تر څنګ
aloof	0	0	0	0	0	1	0	0	0	0	لرې
aloud	0	0	0	0	0	0	0	0	0	0	په لوړ غږ
alphabet	0	0	0	0	0	0	0	0	0	0	الفبا
alphabetical	0	0	0	0	0	0	0	0	0	0	الفبا
altar	0	0	0	0	0	0	0	0	0	0	قربانګاه
alter	0	0	0	0	0	0	0	0	0	0	بدلون
alteration	0	0	0	0	0	0	0	0	0	0	بدلون
altercation	1	0	0	0	0	1	0	0	0	0	شخړه
altered	0	0	0	0	0	0	0	0	0	0	بدل شوی
alternate	0	0	0	0	0	0	0	0	0	0	بدیل
alternative	0	0	0	0	0	0	0	0	0	0	بدیل
altitude	0	0	0	0	0	0	0	0	0	0	لوړوالی
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	په ټولیز ډول
alumnus	0	0	0	0	0	0	0	0	0	0	مخکنی
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	املګام
amalgamation	0	0	0	0	0	0	0	0	0	0	یوځای کیدل
amass	0	0	0	0	0	0	0	0	0	0	راټولول
amateur	0	0	0	0	0	0	0	0	0	0	شوقي
amaze	0	0	0	0	0	0	0	0	1	0	حیران
amazement	0	0	0	0	0	0	0	0	0	0	حیرانتیا
amazingly	0	0	0	0	1	0	1	0	1	0	په حیرانتیا سره
ambassador	0	0	0	0	0	0	1	0	0	1	سفیر
amber	0	0	0	0	0	0	0	0	0	0	امبر
ambient	0	0	0	0	0	0	0	0	0	0	محیط
ambiguity	0	0	0	0	0	0	0	0	0	0	ابهام
ambiguous	0	0	0	0	0	1	0	0	0	0	مبهم
ambit	0	0	0	0	0	0	0	0	0	0	حد
ambition	0	1	0	0	1	0	1	0	0	1	ارمان
ambitious	0	0	0	0	0	0	0	0	0	0	هوښیار
ambulance	0	0	0	1	0	0	0	0	0	1	امبولانس
ambush	1	0	0	1	0	1	0	0	1	0	برید
ameliorate	0	0	0	0	0	0	1	0	0	0	ښه کول
amen	0	0	0	0	1	0	1	0	0	1	آمین
amenable	0	0	0	0	0	0	1	0	0	0	د منلو وړ
amend	0	0	0	0	0	0	1	0	0	0	تعدیل
amendment	0	0	0	0	0	0	0	0	0	0	تعدیل
amends	0	0	0	0	0	0	1	0	0	0	تعدیل
amenity	0	0	0	0	0	0	1	0	0	0	اسانتیا
amethyst	0	0	0	0	0	0	0	0	0	0	نیلم
amiable	0	0	0	0	0	0	1	0	0	0	دوستانه
amicable	0	0	0	0	1	0	1	0	0	0	دوستانه
amid	0	0	0	0	0	0	0	0	0	0	په منځ کې
amidst	0	0	0	0	0	0	0	0	0	0	په منځ کې
ammonia	0	0	1	0	0	0	0	0	0	0	امونیا
ammunition	0	0	0	0	0	0	0	0	0	0	مهمات
amnesia	0	0	0	0	0	1	0	0	0	0	امینیزیا
amnesty	0	0	0	0	1	0	1	0	0	0	بخښنه
amorphous	0	0	0	0	0	0	0	0	0	0	بې شکله
