English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Lao Word
aboriginal	0	0	0	0	0	0	0	0	0	0	ດັ້ງເດີມ
abort	0	0	0	0	0	1	0	0	0	0	ເອົາລູກອອກ
abortion	0	0	1	1	0	1	0	1	0	0	ການເອົາລູກອອກ
abortive	0	0	0	0	0	1	0	1	0	0	ເອົາລູກອອກ
abound	0	0	0	0	0	0	0	0	0	0	ອຸດົມສົມບູນ
abovementioned	0	0	0	0	0	0	1	0	0	0	ທີ່ກ່າວມາຂ້າງເທິງ
abrasion	0	0	0	0	0	1	0	0	0	0	ການຂັດ
abroad	0	0	0	0	0	0	0	0	0	0	ຕ່າງປະເທດ
abrogate	0	0	0	0	0	1	0	0	0	0	ຍົກເລີກ
abrupt	0	0	0	0	0	0	0	0	1	0	ກະທັນຫັນ
abruptly	0	0	0	0	0	0	0	0	0	0	ທັນທີ
abscess	0	0	0	0	0	1	0	1	0	0	ຝີ
absence	0	0	0	1	0	1	0	1	0	0	ຂາດ
absent	0	0	0	0	0	1	0	1	0	0	ຂາດ
absentee	0	0	0	0	0	1	0	1	0	0	ຂາດ
absenteeism	0	0	0	0	0	1	0	0	0	0	ຂາດເຂີນ
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	ຢ່າງແທ້ຈິງ
absolution	0	0	0	0	1	0	1	0	0	1	ການລະເລີຍ
absorbed	0	0	0	0	0	0	1	0	0	0	ດູດຊຶມ
absorbent	0	0	0	0	0	0	0	0	0	0	ດູດຊຶມ
absorbing	0	0	0	0	0	0	0	0	0	0	ດູດຊຶມ
absorption	0	0	0	0	0	0	0	0	0	0	ການດູດຊຶມ
abstain	0	0	0	0	0	0	0	0	0	0	ງົດ
abstention	0	0	0	0	0	0	0	0	0	0	ການລະເວັ້ນ
abstinence	0	0	0	0	0	0	0	0	0	0	ການລະເວັ້ນ
abstract	0	0	0	0	0	0	0	0	0	0	ບົດຄັດຫຍໍ້
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	ໂງ່
absurdity	0	0	0	0	0	1	0	0	0	0	ໂງ່
abundance	0	1	1	0	1	1	1	0	0	1	ຄວາມອຸດົມສົມບູນ
abundant	0	0	0	0	1	0	1	0	0	0	ອຸດົມສົມບູນ
abuse	1	0	1	1	0	1	0	1	0	0	ການລ່ວງລະເມີດ
abutment	0	0	0	0	0	0	0	0	0	0	ຄວາມຫຼົງໄຫຼ
aby	0	0	0	0	0	0	0	0	0	0	ອາບີ
abysmal	0	0	0	0	0	1	0	1	0	0	ຂີ້ຮ້າຍ
abyss	0	0	0	1	0	1	0	1	0	0	ເຫວ
academic	0	0	0	0	0	0	1	0	0	1	ວິຊາການ
academy	0	0	0	0	0	0	1	0	0	0	ສະຖາບັນການສຶກສາ
accede	0	0	0	0	0	0	0	0	0	0	ຮັບຮອງ
accelerate	0	1	0	0	0	0	0	0	0	0	ເລັ່ງ
acceleration	0	0	0	0	0	0	0	0	0	0	ການເລັ່ງ
accent	0	0	0	0	0	0	0	0	0	0	ສຳນຽງ
accentuate	0	0	0	0	0	0	0	0	0	0	ເນັ້ນສຽງ
accept	0	0	0	0	0	0	0	0	0	0	ຍອມ​ຮັບ
acceptable	0	0	0	0	0	0	1	0	0	0	ຍອມຮັບໄດ້
acceptance	0	0	0	0	0	0	1	0	0	0	ການຍອມຮັບ
access	0	0	0	0	0	0	0	0	0	0	ການເຂົ້າເຖິງ
accessible	0	0	0	0	0	0	1	0	0	0	ເຂົ້າເຖິງໄດ້
accession	0	0	0	0	0	0	0	0	0	0	ການເຂົ້າເປັນສະມາຊິກ
accessory	0	0	0	0	0	0	0	0	0	0	ອຸປະກອນເສີມ
accident	0	0	0	1	0	1	0	1	1	0	ອຸບັດເຫດ
accidental	0	0	0	1	0	1	0	0	1	0	ອຸບັດເຫດ
accidentally	0	0	0	0	0	0	0	0	1	0	ບັງເອີນ
accolade	0	1	0	0	1	0	1	0	1	1	ລາງວັນ
accommodate	0	0	0	0	0	0	0	0	0	0	ຮອງຮັບ
accommodation	0	0	0	0	0	0	1	0	0	0	ທີ່ພັກ
accompaniment	0	1	0	0	1	0	1	0	0	1	ພ້ອມກັບ
accompany	0	0	0	0	0	0	0	0	0	0	ໄປກັບ
accompanying	0	0	0	0	0	0	0	0	0	0	ມາພ້ອມກັບ
accomplice	0	0	0	0	0	0	0	0	0	0	ສົມຮູ້ຮ່ວມຄິດ
accomplish	0	0	0	0	1	0	1	0	0	0	ສໍາເລັດ
accomplished	0	0	0	0	1	0	1	0	0	0	ສໍາ​ເລັດ
accomplishment	0	0	0	0	0	0	1	0	0	0	ຄວາມສຳເລັດ
accord	0	0	0	0	0	0	1	0	0	1	ຕົກລົງ
accordance	0	0	0	0	0	0	0	0	0	0	ສອດຄ່ອງ
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	ບັນຊີ
accountability	0	0	0	0	0	0	1	0	0	1	ຄວາມຮັບຜິດຊອບ
accountable	0	0	0	0	0	0	1	0	0	1	ຮັບຜິດຊອບ
accountant	0	0	0	0	0	0	0	0	0	1	ບັນຊີ
accounting	0	0	0	0	0	0	0	0	0	0	ການບັນຊີ
accounts	0	0	0	0	0	0	0	0	0	1	ບັນຊີ
accredited	0	0	0	0	0	0	1	0	0	1	ໄດ້ຮັບການຮັບຮອງ
accretion	0	0	0	0	0	0	0	0	0	0	ເພີ່ມ​ເຕີມ
accrue	0	0	0	0	0	0	0	0	0	0	ເພີ່ມຂຶ້ນ
accueil	0	0	0	0	0	0	1	0	0	0	ຊົມເຊີຍ
accumulate	0	0	0	0	0	0	0	0	0	0	ສະສົມ
accumulation	0	0	0	0	0	0	0	0	0	0	ການສະສົມ
accuracy	0	0	0	0	0	0	0	0	0	0	ຄວາມຖືກຕ້ອງ
accurate	0	0	0	0	0	0	1	0	0	1	ຖືກຕ້ອງ
accursed	1	0	0	1	0	1	0	1	0	0	ຖືກສາບແຊ່ງ
accusation	1	0	1	0	0	1	0	0	0	0	ການກ່າວຫາ
accusative	0	0	0	0	0	1	0	0	0	0	ກ່າວຫາ
accused	1	0	0	1	0	1	0	0	0	0	ຖືກກ່າວຫາ
accuser	1	0	0	1	0	1	0	0	0	0	ຜູ້​ກ່າວ​ຫາ
accusing	1	0	0	1	0	1	0	0	0	0	ກ່າວຫາ
accustomed	0	0	0	0	0	0	0	0	0	0	ຄຸ້ນເຄີຍ
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	ເຈັບ
achieve	0	0	0	0	1	0	1	0	0	1	ບັນລຸ
achievement	0	1	0	0	1	0	1	0	0	1	ຜົນສໍາເລັດ
aching	0	0	0	0	0	1	0	1	0	0	ເຈັບ
acid	0	0	0	0	0	1	0	0	0	0	ອາຊິດ
acidity	0	0	0	0	0	0	0	0	0	0	ຄວາມສົ້ມ
acknowledge	0	0	0	0	0	0	0	0	0	0	ຮັບ​ຮູ້
acknowledged	0	0	0	0	0	0	0	0	0	0	ຮັບ​ຮູ້
acknowledgment	0	0	0	0	0	0	1	0	0	0	ການ​ຮັບ​ຮູ້​
acme	0	0	0	0	0	0	0	0	0	0	ອາມ
acoustic	0	0	0	0	0	0	0	0	0	0	ສຽງ
acoustics	0	0	0	0	0	0	0	0	0	0	ສຽງແຄນ
acquaint	0	0	0	0	0	0	0	0	0	0	ຄົນຮູ້ຈັກ
acquaintance	0	0	0	0	0	0	0	0	0	0	ຄົນຮູ້ຈັກ
acquainted	0	0	0	0	0	0	0	0	0	0	ຄົນຮູ້ຈັກ
acquiescence	0	0	0	0	0	0	0	0	0	0	ຄວາມ​ເປັນ​ມາ
acquire	0	0	0	0	0	0	1	0	0	0	ໄດ້ມາ
acquiring	0	1	0	0	0	0	1	0	0	0	ໄດ້ມາ
acquisition	0	0	0	0	0	0	0	0	0	0	ການໄດ້ມາ
acquisitions	0	0	0	0	0	0	0	0	0	0	ການຊື້ກິດຈະການ
acreage	0	0	0	0	0	0	0	0	0	0	ສວນ
acres	0	0	0	0	0	0	0	0	0	0	ເຮັກຕາ
acrobat	0	0	0	1	1	0	1	0	0	1	ນັກກາຍຍະກັມ
act	0	0	0	0	0	0	0	0	0	0	ປະຕິບັດ
acting	0	0	0	0	0	0	0	0	0	0	ການສະແດງ
action	0	0	0	0	0	0	1	0	0	0	ການກະທຳ
actionable	1	0	1	0	0	1	0	0	0	0	ສາມາດປະຕິບັດໄດ້
active	0	0	0	0	0	0	0	0	0	0	ເຄື່ອນໄຫວ
activity	0	0	0	0	0	0	0	0	0	0	ກິດ​ຈະ​ກໍາ​
actor	0	0	0	0	0	0	0	0	0	0	ນັກສະແດງ
actual	0	0	0	0	0	0	1	0	0	0	ຕົວຈິງ
actuality	0	0	0	0	0	0	0	0	0	0	ຄວາມເປັນຈິງ
actuary	0	0	0	0	0	0	0	0	0	0	ນັກວິຊາການ
acuity	0	0	0	0	0	0	1	0	0	0	ຄວາມ​ໄວ
acumen	0	0	0	0	0	0	1	0	0	0	ສະຕິປັນຍາ
acupuncture	0	0	0	0	0	0	0	0	0	0	ການຝັງເຂັມ
acutely	0	0	0	0	0	0	0	0	0	0	ສ້ວຍແຫຼມ
adage	0	0	0	0	0	0	0	0	0	0	ຄຳສຸພາສິດ
adamant	0	0	0	0	0	0	0	0	0	0	ແຂງແກ່ນ
adapt	0	0	0	0	0	0	1	0	0	0	ປັບຕົວ
adaptable	0	0	0	0	0	0	1	0	0	0	ສາມາດປັບຕົວໄດ້
add	0	0	0	0	0	0	0	0	0	0	ເພີ່ມ
added	0	0	0	0	0	0	0	0	0	0	ເພີ່ມ
addendum	0	0	0	0	0	0	0	0	0	0	ເອກະສານຊ້ອນທ້າຍ
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	ສິ່ງເສບຕິດ
addition	0	0	0	0	0	0	0	0	0	0	ນອກຈາກນັ້ນ
additional	0	0	0	0	0	0	0	0	0	0	ເພີ່ມເຕີມ
additive	0	0	0	0	0	0	0	0	0	0	ສານເຕີມແຕ່ງ
address	0	0	0	0	0	0	0	0	0	0	ທີ່ຢູ່
addressee	0	0	0	0	0	0	0	0	0	0	ທີ່ຢູ່
addresses	0	1	0	0	0	0	1	0	0	0	ທີ່ຢູ່
adept	0	0	0	0	0	0	1	0	0	0	ຊ່ຽວຊານ
adequacy	0	0	0	0	0	0	1	0	0	0	ຄວາມພຽງພໍ
adequate	0	0	0	0	0	0	0	0	0	0	ພຽງພໍ
adhere	0	0	0	0	0	0	0	0	0	0	ຍຶດຫມັ້ນ
adherence	0	0	0	0	0	0	0	0	0	0	ການຍຶດຫມັ້ນ
adherent	0	0	0	0	0	0	0	0	0	0	ຍຶດໝັ້ນ
adhering	0	0	0	0	0	0	0	0	0	1	ຍຶດໝັ້ນ
adhesion	0	0	0	0	0	0	0	0	0	0	ການຍຶດຕິດ
adhesive	0	0	0	0	0	0	0	0	0	0	ກາວ
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	ໄຂມັນ
adjacency	0	0	0	0	0	0	0	0	0	0	ທີ່ຢູ່ຕິດກັນ
adjacent	0	0	0	0	0	0	0	0	0	0	ຕິດກັບ
adjective	0	0	0	0	0	0	0	0	0	0	ຄຳຄຸນນາມ
adjoining	0	0	0	0	0	0	0	0	0	0	ຕິດກັນ
adjourn	0	0	0	0	0	0	0	0	0	0	ເລື່ອນ
adjournment	0	0	0	0	0	0	0	0	0	0	ເລື່ອນ
adjudicate	0	0	0	1	0	1	0	0	0	0	ຕັດສິນ
adjudication	0	0	0	0	0	0	0	0	0	0	ການ​ພິ​ພາກ​ສາ
adjunct	0	0	0	0	0	0	1	0	0	0	ສົມທົບ
adjust	0	0	0	0	0	0	0	0	0	0	ປັບ
adjustment	0	0	0	0	0	0	0	0	0	0	ການປັບຕົວ
adjuvant	0	0	0	0	0	0	0	0	0	0	ເສີມ
administer	0	0	0	0	0	0	0	0	0	0	ບໍລິຫານ
administration	0	0	0	0	0	0	0	0	0	0	ການບໍລິຫານ
administrative	0	0	0	0	0	0	0	0	0	1	ບໍລິຫານ
admirable	0	0	0	0	1	0	1	0	0	1	ຊົມເຊີຍ
admiral	0	0	0	0	0	0	1	0	0	1	ນາຍພົນເຮືອເອກ
admiralty	0	0	0	0	0	0	0	0	0	0	ນາຍພົນເຮືອເອກ
admiration	0	0	0	0	1	0	1	0	0	1	ຊົມເຊີຍ
admire	0	0	0	0	0	0	1	0	0	1	ຊົມເຊີຍ
admirer	0	0	0	0	0	0	1	0	0	0	ຊົມເຊີຍ
admissibility	0	0	0	0	0	0	0	0	0	0	ການ​ເຂົ້າ​ມາ
admissible	0	0	0	0	0	0	1	0	0	1	ຍອມຮັບໄດ້
admission	0	0	0	0	0	0	0	0	0	0	ການເຂົ້າຮຽນ
admit	0	0	0	0	0	0	0	0	0	0	ຍອມຮັບ
admittance	0	0	0	0	0	0	0	0	0	0	ເສັງເຂົ້າ
admitted	0	0	0	0	0	0	0	0	0	0	ຍອມຮັບ
admitting	0	0	0	0	0	0	0	0	0	0	ຍອມຮັບ
admixture	0	0	0	0	0	0	0	0	0	0	ທາດປະສົມ
admonition	0	0	0	1	0	1	0	0	0	0	ຕັກເຕືອນ
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ໄວລຸ້ນ
adolescent	0	0	0	0	0	0	0	0	0	0	ໄວລຸ້ນ
adopt	0	0	0	0	0	0	0	0	0	0	ຮັບຮອງເອົາ
adoption	0	0	0	0	0	0	0	0	0	0	ການຮັບຮອງເອົາ
adorable	0	0	0	0	1	0	1	0	0	0	ໜ້າຮັກ
adoration	0	0	0	0	1	0	1	0	0	1	ຄວາມເຄົາລົບ
adore	0	1	0	0	1	0	1	0	0	1	ຮັກແພງ
adorn	0	0	0	0	0	0	0	0	0	0	ປະດັບ
adornment	0	0	0	0	0	0	0	0	0	0	ເຄື່ອງປະດັບ
adrift	0	1	0	1	0	1	0	1	0	0	ລອຍ
adult	0	0	0	0	0	0	0	0	0	0	ຜູ້ໃຫຍ່
adulterated	0	0	0	0	0	1	0	0	0	0	ປອມຕົວ
adultery	0	0	1	0	0	1	0	1	0	0	ການຫລິ້ນຊູ້
advance	0	1	0	1	1	0	1	0	1	0	ລ່ວງໜ້າ
advanced	0	0	0	0	0	0	1	0	0	0	ຂັ້ນສູງ
advancement	0	0	0	0	0	0	1	0	0	0	ຄວາມກ້າວຫນ້າ
advancing	0	0	0	0	0	0	0	0	0	0	ກ້າວຫນ້າ
advantage	0	0	0	0	0	0	1	0	0	0	ປະໂຫຍດ
advantageous	0	0	0	0	0	0	1	0	0	0	ປະໂຫຍດ
advent	0	1	0	0	1	0	1	0	0	1	ມາເຖິງ
adventure	0	1	0	0	0	0	1	0	0	0	ຜະຈົນໄພ
adventurer	0	0	0	0	0	0	0	0	0	0	ນັກຜະຈົນໄພ
adventurous	0	0	0	0	0	0	1	0	0	0	ຜະຈົນໄພ
adversary	1	0	0	0	0	1	0	0	0	0	ສັດຕູ
adverse	1	0	1	1	0	1	0	1	0	0	ທາງລົບ
adversity	1	0	0	1	0	1	0	1	0	0	ຄວາມທຸກທໍລະມານ
advertise	0	0	0	0	0	0	0	0	0	0	ໂຄສະນາ
advertisement	0	0	0	0	0	0	0	0	0	0	ການ​ໂຄ​ສະ​ນາ​
advice	0	0	0	0	0	0	0	0	0	1	ຄໍາແນະນໍາ
advisable	0	0	0	0	0	0	1	0	0	1	ແນະນຳ
advise	0	0	0	0	0	0	1	0	0	1	ແນະນຳ
advised	0	0	0	0	0	0	0	0	0	1	ແນະນໍາ
advisement	0	0	0	0	0	0	0	0	0	0	ຄໍາ​ແນະ​ນໍາ​
adviser	0	0	0	0	0	0	1	0	0	1	ທີ່ປຶກສາ
advocacy	1	1	0	0	1	0	1	0	0	1	ສົ່ງເສີມ
advocate	0	0	0	0	0	0	0	0	0	1	ສະໜັບສະໜູນ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	ການລະບາຍອາກາດ
aerial	0	0	0	0	0	0	0	0	0	0	ທາງອາກາດ
aerodrome	0	0	0	0	0	0	0	0	0	0	ສະໜາມບິນ
aerodynamics	0	0	0	0	0	0	0	0	0	0	ຍານອາວະກາດ
aeronautics	0	0	0	0	0	0	0	0	0	0	ການບິນ
aeroplane	0	0	0	0	0	0	0	0	0	0	ຍົນ
aesthetic	0	0	0	0	0	0	1	0	0	0	ຄວາມງາມ
aesthetics	0	0	0	0	1	0	1	0	0	0	ຄວາມງາມ
aetiology	0	0	0	0	0	0	0	0	0	0	ຊີວະວິທະຍາ
afar	0	0	0	0	0	0	0	0	0	0	ໄກ
affable	0	0	0	0	0	0	1	0	0	0	ເປັນໄປໄດ້
affair	0	0	0	0	0	0	0	0	0	0	ເລື່ອງ
affecting	0	0	0	0	0	0	0	0	0	0	ຜົນກະທົບຕໍ່
affection	0	0	0	0	1	0	1	0	0	1	ຮັກແພງ
affections	0	0	0	0	0	0	0	0	0	0	ຄວາມຮັກແພງ
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ໃບຮັບຮອງ
affiliated	0	0	0	0	0	0	1	0	0	0	ທີ່ກ່ຽວຂ້ອງ
affiliation	0	0	0	0	0	0	0	0	0	0	ຄວາມຜູກພັນ
affinity	0	0	0	0	0	0	0	0	0	0	ຄວາມສຳພັນ
affirm	0	0	0	0	0	0	1	0	0	1	ຢືນຢັນ
affirmation	0	0	0	0	0	0	1	0	0	0	ຢືນຢັນ
affirmative	0	0	0	0	0	0	1	0	0	0	ຢືນຢັນ
affirmatively	0	0	0	0	0	0	1	0	0	1	ຢືນຢັນ
affix	0	0	0	0	0	0	0	0	0	0	ຕິດ
afflict	0	0	0	1	0	1	0	1	0	0	ຂົ່ມເຫັງ
afflicted	0	0	0	0	0	1	0	0	0	0	ທົນທຸກ
affliction	0	0	1	1	0	1	0	1	0	0	ຄວາມທຸກ
affluence	0	0	0	0	1	0	1	0	0	0	ຄວາມຮັ່ງມີ
affluent	0	0	0	0	0	0	1	0	0	0	ຮັ່ງມີ
afford	0	0	0	0	0	0	1	0	0	0	ຈ່າຍ
affront	1	0	1	1	0	1	0	1	1	0	ຕໍ່ໜ້າ
afield	0	0	0	0	0	0	0	0	0	0	ໄກ
afore	0	0	0	0	0	0	0	0	0	0	ກ່ອນ
aforementioned	0	0	0	0	0	0	0	0	0	0	ດັ່ງກ່າວ
aforesaid	0	0	0	0	0	0	0	0	0	0	ກ່າວໄວ້ກ່ອນ
afraid	0	0	0	1	0	1	0	0	0	0	ຢ້ານ
afresh	0	0	0	0	0	0	0	0	0	0	ໃໝ່
aft	0	0	0	0	0	0	0	0	0	0	ຫລັງ
aftermath	1	0	1	1	0	1	0	1	0	0	ຫລັງ
afternoon	0	0	0	0	0	0	0	0	0	0	ຕອນບ່າຍ
aftertaste	0	0	0	0	0	1	0	0	0	0	ລົດຊາດຫຼັງ
afterthought	0	0	0	0	0	0	0	0	0	0	ພາຍຫຼັງ
aga	0	0	0	1	0	0	1	0	0	1	ອາກາ
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ອາຍຸ
aged	0	0	0	0	0	0	0	0	0	0	ອາຍຸ
agency	0	0	0	0	0	0	0	0	0	0	ອົງການ
agent	0	0	0	0	0	0	0	0	0	0	ຕົວແທນ
agglomeration	0	0	0	0	0	0	0	0	0	0	ການລວມຕົວ
aggravated	1	0	0	0	0	1	0	0	0	0	ຮ້າຍແຮງຂຶ້ນ
aggravating	1	0	0	0	0	1	0	1	0	0	ຮ້າຍແຮງຂຶ້ນ
aggravation	1	0	1	0	0	1	0	0	0	0	ຮ້າຍແຮງຂຶ້ນ
aggregate	0	0	0	0	0	0	0	0	0	0	ລວມ
aggregation	0	0	0	0	0	0	0	0	0	0	ການລວບລວມ
aggression	1	0	0	1	0	1	0	0	0	0	ການຮຸກຮານ
aggressive	1	0	0	1	0	1	0	0	0	0	ຮຸກຮານ
aggressor	1	0	0	1	0	1	0	0	0	0	ຜູ້ຮຸກຮານ
aghast	0	0	1	1	0	1	0	0	1	0	ໃຈ​ຮ້າຍ
agile	0	0	0	0	0	0	1	0	0	0	ວ່ອງໄວ
agility	0	0	0	0	0	0	1	0	0	0	ວ່ອງໄວ
agitated	1	0	0	0	0	1	0	0	0	0	ວຸ້ນວາຍ
agitation	1	0	0	0	0	1	0	0	0	0	ວຸ້ນວາຍ
agnostic	0	0	0	0	0	0	0	0	0	0	ອະນິຈາ
ago	0	0	0	0	0	0	0	0	0	0	ກ່ອນຫນ້ານີ້
agonizing	0	0	0	1	0	1	0	0	0	0	ເຈັບ​ປວດ
agony	1	0	0	1	0	1	0	1	0	0	ຄວາມ​ເຈັບ​ປວດ
agree	0	0	0	0	0	0	1	0	0	0	ຕົກລົງ
agreeable	0	0	0	0	0	0	1	0	0	1	ຕົກລົງ
agreed	0	0	0	0	0	0	1	0	0	1	ຕົກລົງ
agreeing	0	0	0	0	0	0	1	0	0	1	ຕົກລົງ
agreement	0	0	0	0	0	0	1	0	0	1	ຂໍ້ຕົກລົງ
agricultural	0	0	0	0	0	0	0	0	0	0	ກະສິກຳ
agriculture	0	0	0	0	0	0	1	0	0	0	ກະສິກຳ
aground	0	0	0	0	0	1	0	0	0	0	ພື້ນດິນ
agua	0	0	0	0	0	0	0	0	0	0	ອາກວາ
ahead	0	0	0	0	0	0	1	0	0	0	ລ່ວງໜ້າ
aid	0	0	0	0	0	0	1	0	0	0	ການຊ່ວຍເຫຼືອ
aiding	0	0	0	0	0	0	1	0	0	0	ການ​ຊ່ວຍ​ເຫຼືອ
ail	0	0	0	0	0	1	0	1	0	0	ພະຍາດ
ailing	0	0	0	1	0	1	0	1	0	0	ເຈັບປ່ວຍ
ailment	0	0	0	0	0	0	0	0	0	0	ພະຍາດ
aim	0	0	0	0	0	0	0	0	0	0	ເປົ້າໝາຍ
aimless	0	0	0	0	0	1	0	0	0	0	ບໍ່ມີເປົ້າໝາຍ
air	0	0	0	0	0	0	0	0	0	0	ອາກາດ
airbag	0	0	0	0	0	0	0	0	0	0	ຖົງລົມນິລະໄພ
airlift	0	0	0	0	0	0	0	0	0	0	ເຮືອບິນ
airline	0	0	0	0	0	0	0	0	0	0	ສາຍການບິນ
airman	0	0	0	0	0	0	0	0	0	0	ນັກ​ບິນ
airplane	0	0	0	0	0	0	0	0	0	0	ຍົນ
airport	0	1	0	0	0	0	0	0	0	0	ສະ​ຫນາມ​ບິນ
airs	0	0	1	0	0	1	0	0	0	0	ອອກອາກາດ
airship	0	0	0	0	0	0	0	0	0	0	ເຮືອ​ບິນ
aisle	0	0	0	0	0	0	0	0	0	0	ແຄມທາງ
ait	0	0	0	0	0	0	0	0	0	0	ມັນ
ajar	0	0	0	0	0	0	0	0	0	0	ດັງ
akin	0	0	0	0	0	0	0	0	0	1	ຄ້າຍຄືກັນ
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	ປຸກ
alarming	0	0	0	1	0	1	0	0	1	0	ເປັນຕາຕົກໃຈ
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	ອັນລະບັ້ມ
alchemy	0	0	0	0	0	0	0	0	0	0	ການຜັນແປ
alcohol	0	0	0	0	0	0	0	0	0	0	ເຫຼົ້າ
alcoholism	1	0	1	1	0	1	0	1	0	0	ເຫຼົ້າ
alcove	0	0	0	0	0	0	0	0	0	0	ປະຕູ
alert	0	0	0	0	0	0	0	0	0	0	ເຕືອນ
alertness	0	1	0	1	0	0	1	0	1	0	ຄວາມ​ຕື່ນ​ຕົວ
alerts	0	1	0	1	0	0	0	0	1	0	ແຈ້ງເຕືອນ
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	ພຶດຊະຄະນິດ
algebraic	0	0	0	0	0	0	0	0	0	0	ພຶດຊະຄະນິດ
algorithm	0	0	0	0	0	0	0	0	0	0	ສູດການຄິດໄລ່
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	ມະນຸດຕ່າງດາວ
alienate	1	0	1	0	0	1	0	0	0	0	ແປກປະຫຼາດ
alienated	0	0	0	0	0	1	0	1	0	0	ແປກປະຫຼາດ
alienation	1	0	1	1	0	1	0	1	0	0	ຄວາມແປກປະຫຼາດ
alight	0	0	0	0	0	0	0	0	0	0	ສະຫວ່າງ
aligned	0	0	0	0	0	0	0	0	0	0	ສອດຄ່ອງ
alignment	0	0	0	0	0	0	0	0	0	0	ການຈັດວາງ
alike	0	0	0	0	0	0	0	0	0	0	ຄືກັນ
alimentation	0	0	0	0	0	0	1	0	0	0	ການ​ປະ​ຕິ​ເສດ
alimony	0	0	0	0	0	1	0	0	0	0	ຄ່າລ້ຽງດູ
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
